# File: EIA_net_gen_renewables.csv,,,,,,,,,,,,,,,,,,,
# Title: EIA Net Generation for All Sectors,,,,,,,,,,,,,,,,,,,
# Units: thousand MWh,,,,,,,,,,,,,,,,,,,
# Comments: Data downloaded Wed May 02 2018 11:40:07 GMT-0400 (Eastern Daylight Time),,,,,,,,,,,,,,,,,,,
# Source: U.S. Energy Information Administration - Electricity Data Browser (https://www.eia.gov/electricity/data/browser/#/topic/0?agg=2,0,1&fuel=0082u&geo=00fvvvvvvvvvo&sec=g&freq=A&start=2001&end=2017&ctype=linechart&ltype=pin&rtype=s&maptype=0&rse=0&pin=),,,,,,,,,,,,,,,,,
description,units,source.key,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Maine : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-ME-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Maine : all solar,,ELEC.GEN.TSN-ME-99.A,,,,,,,,,,,,,,,,,
Maine : small-scale solar photovoltaic,thousand megawatthours,ELEC.GEN.DPV-ME-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,13,19,29,41
Maine : all utility-scale solar,,ELEC.GEN.SUN-ME-99.A,,,,,,,,,,,,,,,,,
Maine : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-ME-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,10
Maine : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-ME-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Massachusetts,,ELEC.GEN..A,,,,,,,,,,,,,,,,,
Massachusetts : all fuels (utility-scale),,ELEC.GEN.ALL-MA-99.A,,,,,,,,,,,,,,,,,
Massachusetts : other renewables,,ELEC.GEN.AOR-MA-99.A,,,,,,,,,,,,,,,,,
Massachusetts : wind,thousand megawatthours,ELEC.GEN.WND-MA-99.A,--,0,--,--,--,--,--,4,6,22,61,90,205,225,215,216,221
Massachusetts : all utility-scale solar,,ELEC.GEN.SUN-MA-99.A,,,,,,,,,,,,,,,,,
Massachusetts : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-MA-99.A,--,--,--,--,--,--,--,0,0,1,5,30,105,305,451,609,1052
Massachusetts : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-MA-99.A,--,--,--,--,--,--,--,--,--,--,--,--,2,2,--,--,--
Massachusetts : all solar,,ELEC.GEN.TSN-MA-99.A,,,,,,,,,,,,,,,,,
Massachusetts : small-scale solar photovoltaic,thousand megawatthours,ELEC.GEN.DPV-MA-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,625,862,1254,1502
Massachusetts : all utility-scale solar,,ELEC.GEN.SUN-MA-99.A,,,,,,,,,,,,,,,,,
Massachusetts : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-MA-99.A,--,--,--,--,--,--,--,0,0,1,5,30,105,305,451,609,1052
Massachusetts : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-MA-99.A,--,--,--,--,--,--,--,--,--,--,--,--,2,2,--,--,--
New Hampshire,,ELEC.GEN..A,,,,,,,,,,,,,,,,,
New Hampshire : all fuels (utility-scale),,ELEC.GEN.ALL-NH-99.A,,,,,,,,,,,,,,,,,
New Hampshire : other renewables,,ELEC.GEN.AOR-NH-99.A,,,,,,,,,,,,,,,,,
New Hampshire : wind,thousand megawatthours,ELEC.GEN.WND-NH-99.A,--,--,--,--,--,--,--,10,62,76,66,209,389,412,423,432,414
New Hampshire : all utility-scale solar,,ELEC.GEN.SUN-NH-99.A,,,,,,,,,,,,,,,,,
New Hampshire : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-NH-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
New Hampshire : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-NH-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
New Hampshire : all solar,,ELEC.GEN.TSN-NH-99.A,,,,,,,,,,,,,,,,,
New Hampshire : small-scale solar photovoltaic,thousand megawatthours,ELEC.GEN.DPV-NH-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,14,24,52,87
New Hampshire : all utility-scale solar,,ELEC.GEN.SUN-NH-99.A,,,,,,,,,,,,,,,,,
New Hampshire : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-NH-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
New Hampshire : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-NH-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Rhode Island,,ELEC.GEN..A,,,,,,,,,,,,,,,,,
Rhode Island : all fuels (utility-scale),,ELEC.GEN.ALL-RI-99.A,,,,,,,,,,,,,,,,,
Rhode Island : other renewables,,ELEC.GEN.AOR-RI-99.A,,,,,,,,,,,,,,,,,
Rhode Island : wind,thousand megawatthours,ELEC.GEN.WND-RI-99.A,--,--,--,--,--,--,--,--,--,3,3,1,3,10,10,27,153
Rhode Island : all utility-scale solar,,ELEC.GEN.SUN-RI-99.A,,,,,,,,,,,,,,,,,
Rhode Island : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-RI-99.A,--,--,--,--,--,--,--,--,--,--,--,--,2,10,14,15,20
Rhode Island : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-RI-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Rhode Island : all solar,,ELEC.GEN.TSN-RI-99.A,,,,,,,,,,,,,,,,,
Rhode Island : small-scale solar photovoltaic,thousand megawatthours,ELEC.GEN.DPV-RI-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,11,13,30,55
Rhode Island : all utility-scale solar,,ELEC.GEN.SUN-RI-99.A,,,,,,,,,,,,,,,,,
Rhode Island : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-RI-99.A,--,--,--,--,--,--,--,--,--,--,--,--,2,10,14,15,20
Rhode Island : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-RI-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Vermont,,ELEC.GEN..A,,,,,,,,,,,,,,,,,
Vermont : all fuels (utility-scale),,ELEC.GEN.ALL-VT-99.A,,,,,,,,,,,,,,,,,
Vermont : other renewables,,ELEC.GEN.AOR-VT-99.A,,,,,,,,,,,,,,,,,
Vermont : wind,thousand megawatthours,ELEC.GEN.WND-VT-99.A,12,10,11,11,11,11,11,10,12,14,33,107,236,311,325,291,279
Vermont : all utility-scale solar,,ELEC.GEN.SUN-VT-99.A,,,,,,,,,,,,,,,,,
Vermont : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-VT-99.A,--,--,--,--,--,--,--,--,--,--,2,5,17,24,48,59,129
Vermont : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-VT-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Vermont : all solar,,ELEC.GEN.TSN-VT-99.A,,,,,,,,,,,,,,,,,
Vermont : small-scale solar photovoltaic,thousand megawatthours,ELEC.GEN.DPV-VT-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,33,54,76,110
Vermont : all utility-scale solar,,ELEC.GEN.SUN-VT-99.A,,,,,,,,,,,,,,,,,
Vermont : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-VT-99.A,--,--,--,--,--,--,--,--,--,--,2,5,17,24,48,59,129
Vermont : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-VT-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Middle Atlantic,,ELEC.GEN..A,,,,,,,,,,,,,,,,,
New Jersey,,ELEC.GEN..A,,,,,,,,,,,,,,,,,
New Jersey : all fuels (utility-scale),,ELEC.GEN.ALL-NJ-99.A,,,,,,,,,,,,,,,,,
New Jersey : other renewables,,ELEC.GEN.AOR-NJ-99.A,,,,,,,,,,,,,,,,,
New Jersey : wind,thousand megawatthours,ELEC.GEN.WND-NJ-99.A,--,--,--,--,--,16,20,21,21,13,11,12,11,23,22,21,20
New Jersey : all utility-scale solar,,ELEC.GEN.SUN-NJ-99.A,,,,,,,,,,,,,,,,,
New Jersey : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-NJ-99.A,--,--,--,--,--,--,--,3,11,21,69,304,437,514,628,835,1170
New Jersey : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-NJ-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
New Jersey : all solar,,ELEC.GEN.TSN-NJ-99.A,,,,,,,,,,,,,,,,,
New Jersey : small-scale solar photovoltaic,thousand megawatthours,ELEC.GEN.DPV-NJ-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,1373,1435,1385,1667
New Jersey : all utility-scale solar,,ELEC.GEN.SUN-NJ-99.A,,,,,,,,,,,,,,,,,
New Jersey : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-NJ-99.A,--,--,--,--,--,--,--,3,11,21,69,304,437,514,628,835,1170
New Jersey : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-NJ-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
New York,,ELEC.GEN..A,,,,,,,,,,,,,,,,,
New York : all fuels (utility-scale),,ELEC.GEN.ALL-NY-99.A,,,,,,,,,,,,,,,,,
New York : other renewables,,ELEC.GEN.AOR-NY-99.A,,,,,,,,,,,,,,,,,
New York : wind,thousand megawatthours,ELEC.GEN.WND-NY-99.A,21,82,41,116,103,655,833,1251,2266,2596,2828,2992,3539,3968,3977,3940,3944
New York : all utility-scale solar,,ELEC.GEN.SUN-NY-99.A,,,,,,,,,,,,,,,,,
New York : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-NY-99.A,--,--,--,--,--,--,--,--,--,--,6,53,67,71,101,140,214
New York : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-NY-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
New York : all solar,,ELEC.GEN.TSN-NY-99.A,,,,,,,,,,,,,,,,,
New York : small-scale solar photovoltaic,thousand megawatthours,ELEC.GEN.DPV-NY-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,350,589,873,1180
New York : all utility-scale solar,,ELEC.GEN.SUN-NY-99.A,,,,,,,,,,,,,,,,,
New York : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-NY-99.A,--,--,--,--,--,--,--,--,--,--,6,53,67,71,101,140,214
New York : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-NY-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Pennsylvania,,ELEC.GEN..A,,,,,,,,,,,,,,,,,
Pennsylvania : all fuels (utility-scale),,ELEC.GEN.ALL-PA-99.A,,,,,,,,,,,,,,,,,
Pennsylvania : other renewables,,ELEC.GEN.AOR-PA-99.A,,,,,,,,,,,,,,,,,
Pennsylvania : wind,thousand megawatthours,ELEC.GEN.WND-PA-99.A,11,58,112,306,284,361,470,729,1075,1854,1794,2129,3352,3565,3353,3476,3379
Pennsylvania : all utility-scale solar,,ELEC.GEN.SUN-PA-99.A,,,,,,,,,,,,,,,,,
Pennsylvania : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-PA-99.A,--,--,--,--,--,--,--,0,4,8,23,32,63,62,64,75,91
Pennsylvania : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-PA-99.A,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--
Pennsylvania : all solar,,ELEC.GEN.TSN-PA-99.A,,,,,,,,,,,,,,,,,
Pennsylvania : small-scale solar photovoltaic,thousand megawatthours,ELEC.GEN.DPV-PA-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,252,261,287,362
Pennsylvania : all utility-scale solar,,ELEC.GEN.SUN-PA-99.A,,,,,,,,,,,,,,,,,
Pennsylvania : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-PA-99.A,--,--,--,--,--,--,--,0,4,8,23,32,63,62,64,75,91
Pennsylvania : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-PA-99.A,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--
East North Central,,ELEC.GEN..A,,,,,,,,,,,,,,,,,
Illinois,,ELEC.GEN..A,,,,,,,,,,,,,,,,,
Illinois : all fuels (utility-scale),,ELEC.GEN.ALL-IL-99.A,,,,,,,,,,,,,,,,,
Illinois : other renewables,,ELEC.GEN.AOR-IL-99.A,,,,,,,,,,,,,,,,,
Illinois : wind,thousand megawatthours,ELEC.GEN.WND-IL-99.A,--,--,18,78,141,255,664,2337,2820,4454,6213,7727,9625,10083,10747,10663,11297
Illinois : all utility-scale solar,,ELEC.GEN.SUN-IL-99.A,,,,,,,,,,,,,,,,,
Illinois : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-IL-99.A,--,--,--,--,--,--,--,--,0,14,14,15,52,50,49,49,55
Illinois : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-IL-99.A,--,--,--,--,--,--,--,--,--,--,--,16,--,--,--,--,--
Illinois : all solar,,ELEC.GEN.TSN-IL-99.A,,,,,,,,,,,,,,,,,
Illinois : small-scale solar photovoltaic,thousand megawatthours,ELEC.GEN.DPV-IL-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,21,27,37,58
Illinois : all utility-scale solar,,ELEC.GEN.SUN-IL-99.A,,,,,,,,,,,,,,,,,
Illinois : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-IL-99.A,--,--,--,--,--,--,--,--,0,14,14,15,52,50,49,49,55
Illinois : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-IL-99.A,--,--,--,--,--,--,--,--,--,--,--,16,--,--,--,--,--
Indiana,,ELEC.GEN..A,,,,,,,,,,,,,,,,,
Indiana : all fuels (utility-scale),,ELEC.GEN.ALL-IN-99.A,,,,,,,,,,,,,,,,,
Indiana : other renewables,,ELEC.GEN.AOR-IN-99.A,,,,,,,,,,,,,,,,,
Indiana : wind,thousand megawatthours,ELEC.GEN.WND-IN-99.A,--,--,--,--,--,--,--,238,1403,2934,3285,3210,3481,3496,4515,4899,4742
Indiana : all utility-scale solar,,ELEC.GEN.SUN-IN-99.A,,,,,,,,,,,,,,,,,
Indiana : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-IN-99.A,--,--,--,--,--,--,--,--,--,--,--,NM,31,102,156,226,356
Indiana : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-IN-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Indiana : all solar,,ELEC.GEN.TSN-IN-99.A,,,,,,,,,,,,,,,,,
Indiana : small-scale solar photovoltaic,thousand megawatthours,ELEC.GEN.DPV-IN-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,9,12,17,33
Indiana : all utility-scale solar,,ELEC.GEN.SUN-IN-99.A,,,,,,,,,,,,,,,,,
Indiana : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-IN-99.A,--,--,--,--,--,--,--,--,--,--,--,NM,31,102,156,226,356
Indiana : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-IN-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Michigan,,ELEC.GEN..A,,,,,,,,,,,,,,,,,
Michigan : all fuels (utility-scale),,ELEC.GEN.ALL-MI-99.A,,,,,,,,,,,,,,,,,
Michigan : other renewables,,ELEC.GEN.AOR-MI-99.A,,,,,,,,,,,,,,,,,
Michigan : wind,thousand megawatthours,ELEC.GEN.WND-MI-99.A,0,0,3,2,2,2,3,141,300,360,456,1132,2800,3868,4797,4696,5072
Michigan : all utility-scale solar,,ELEC.GEN.SUN-MI-99.A,,,,,,,,,,,,,,,,,
Michigan : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-MI-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,9,81
Michigan : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-MI-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Michigan : all solar,,ELEC.GEN.TSN-MI-99.A,,,,,,,,,,,,,,,,,
Michigan : small-scale solar photovoltaic,thousand megawatthours,ELEC.GEN.DPV-MI-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,35,38,55,84
Michigan : all utility-scale solar,,ELEC.GEN.SUN-MI-99.A,,,,,,,,,,,,,,,,,
Michigan : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-MI-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,9,81
Michigan : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-MI-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Ohio,,ELEC.GEN..A,,,,,,,,,,,,,,,,,
Ohio : all fuels (utility-scale),,ELEC.GEN.ALL-OH-99.A,,,,,,,,,,,,,,,,,
Ohio : other renewables,,ELEC.GEN.AOR-OH-99.A,,,,,,,,,,,,,,,,,
Ohio : wind,thousand megawatthours,ELEC.GEN.WND-OH-99.A,--,--,--,--,13,14,15,15,14,13,198,985,1146,1153,1203,1245,1563
Ohio : all utility-scale solar,,ELEC.GEN.SUN-OH-99.A,,,,,,,,,,,,,,,,,
Ohio : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-OH-99.A,--,--,--,--,--,--,--,--,--,13,15,37,46,54,56,66,129
Ohio : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-OH-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Ohio : all solar,,ELEC.GEN.TSN-OH-99.A,,,,,,,,,,,,,,,,,
Ohio : small-scale solar photovoltaic,thousand megawatthours,ELEC.GEN.DPV-OH-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,83,95,108,132
Ohio : all utility-scale solar,,ELEC.GEN.SUN-OH-99.A,,,,,,,,,,,,,,,,,
Ohio : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-OH-99.A,--,--,--,--,--,--,--,--,--,13,15,37,46,54,56,66,129
Ohio : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-OH-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Wisconsin,,ELEC.GEN..A,,,,,,,,,,,,,,,,,
Wisconsin : all fuels (utility-scale),,ELEC.GEN.ALL-WI-99.A,,,,,,,,,,,,,,,,,
Wisconsin : other renewables,,ELEC.GEN.AOR-WI-99.A,,,,,,,,,,,,,,,,,
Wisconsin : wind,thousand megawatthours,ELEC.GEN.WND-WI-99.A,72,46,98,104,93,101,109,487,1052,1088,1188,1558,1558,1618,1589,1515,1529
Wisconsin : all utility-scale solar,,ELEC.GEN.SUN-WI-99.A,,,,,,,,,,,,,,,,,
Wisconsin : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-WI-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,3,32
Wisconsin : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-WI-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Wisconsin : all solar,,ELEC.GEN.TSN-WI-99.A,,,,,,,,,,,,,,,,,
Wisconsin : small-scale solar photovoltaic,thousand megawatthours,ELEC.GEN.DPV-WI-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,23,27,35,55
Wisconsin : all utility-scale solar,,ELEC.GEN.SUN-WI-99.A,,,,,,,,,,,,,,,,,
Wisconsin : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-WI-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,3,32
Wisconsin : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-WI-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
West North Central,,ELEC.GEN..A,,,,,,,,,,,,,,,,,
Iowa,,ELEC.GEN..A,,,,,,,,,,,,,,,,,
Iowa : all fuels (utility-scale),,ELEC.GEN.ALL-IA-99.A,,,,,,,,,,,,,,,,,
Iowa : other renewables,,ELEC.GEN.AOR-IA-99.A,,,,,,,,,,,,,,,,,
Iowa : wind,thousand megawatthours,ELEC.GEN.WND-IA-99.A,488,919,982,1050,1647,2318,2757,4084,7421,9170,10709,14032,15568,16307,17873,20072,20816
Iowa : all utility-scale solar,,ELEC.GEN.SUN-IA-99.A,,,,,,,,,,,,,,,,,
Iowa : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-IA-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,9
Iowa : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-IA-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Iowa : all solar,,ELEC.GEN.TSN-IA-99.A,,,,,,,,,,,,,,,,,
Iowa : small-scale solar photovoltaic,thousand megawatthours,ELEC.GEN.DPV-IA-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,24,41,59,89
Iowa : all utility-scale solar,,ELEC.GEN.SUN-IA-99.A,,,,,,,,,,,,,,,,,
Iowa : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-IA-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,9
Iowa : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-IA-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Kansas,,ELEC.GEN..A,,,,,,,,,,,,,,,,,
Kansas : all fuels (utility-scale),,ELEC.GEN.ALL-KS-99.A,,,,,,,,,,,,,,,,,
Kansas : other renewables,,ELEC.GEN.AOR-KS-99.A,,,,,,,,,,,,,,,,,
Kansas : wind,thousand megawatthours,ELEC.GEN.WND-KS-99.A,40,467,366,359,426,992,1153,1759,2863,3405,3720,5195,9433,10845,10999,14111,18501
Kansas : all utility-scale solar,,ELEC.GEN.SUN-KS-99.A,,,,,,,,,,,,,,,,,
Kansas : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-KS-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2,2,4
Kansas : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-KS-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Kansas : all solar,,ELEC.GEN.TSN-KS-99.A,,,,,,,,,,,,,,,,,
Kansas : small-scale solar photovoltaic,thousand megawatthours,ELEC.GEN.DPV-KS-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,3,5,8,17
Kansas : all utility-scale solar,,ELEC.GEN.SUN-KS-99.A,,,,,,,,,,,,,,,,,
Kansas : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-KS-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2,2,4
Kansas : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-KS-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Minnesota,,ELEC.GEN..A,,,,,,,,,,,,,,,,,
Minnesota : all fuels (utility-scale),,ELEC.GEN.ALL-MN-99.A,,,,,,,,,,,,,,,,,
Minnesota : other renewables,,ELEC.GEN.AOR-MN-99.A,,,,,,,,,,,,,,,,,
Minnesota : wind,thousand megawatthours,ELEC.GEN.WND-MN-99.A,897,906,978,812,1582,2055,2639,4355,5053,4792,6726,8176,8259,9691,9779,9933,10885
Minnesota : all utility-scale solar,,ELEC.GEN.SUN-MN-99.A,,,,,,,,,,,,,,,,,
Minnesota : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-MN-99.A,--,--,--,--,--,--,--,--,--,--,--,0,3,3,3,10,728
Minnesota : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-MN-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Minnesota : all solar,,ELEC.GEN.TSN-MN-99.A,,,,,,,,,,,,,,,,,
Minnesota : small-scale solar photovoltaic,thousand megawatthours,ELEC.GEN.DPV-MN-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,19,26,37,57
Minnesota : all utility-scale solar,,ELEC.GEN.SUN-MN-99.A,,,,,,,,,,,,,,,,,
Minnesota : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-MN-99.A,--,--,--,--,--,--,--,--,--,--,--,0,3,3,3,10,728
Minnesota : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-MN-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
