# File: reeds_regions_states.csv
# Title: Mapping File from ReEDS Regions to Various Other USA Subnational Regions
# Units: NA
# Comments: Region = ReEDS region.
# Source: Information based on ReEDS version 2017.  Files provided by ReEDS team in April 2017.
# Column types: icccccccc 
# ----------
Region,BA,NERC,RTO,EIA.Census.Region,State,Interconnect,Country,Custom
75,p33,nr12,rto5,MTN,CO,WSCC,USA,OTH
76,p33,nr12,rto5,MTN,CO,WSCC,USA,OTH
77,p34,nr12,rto5,MTN,CO,WSCC,USA,OTH
78,p34,nr12,rto5,MTN,CO,WSCC,USA,OTH
79,p33,nr12,rto5,MTN,CO,WSCC,USA,OTH
80,p33,nr12,rto5,MTN,CO,WSCC,USA,OTH
81,p33,nr12,rto5,MTN,CO,WSCC,USA,OTH
82,p33,nr12,rto5,MTN,CO,WSCC,USA,OTH
83,p34,nr12,rto5,MTN,CO,WSCC,USA,OTH
84,p34,nr12,rto5,MTN,CO,WSCC,USA,OTH
85,p33,nr12,rto5,MTN,CO,WSCC,USA,OTH
86,p34,nr12,rto5,MTN,CO,WSCC,USA,OTH
87,p34,nr12,rto5,MTN,CO,WSCC,USA,OTH
88,p31,nr12,rto3,MTN,NM,WSCC,USA,OTH
89,p31,nr12,rto3,MTN,NM,WSCC,USA,OTH
90,p31,nr12,rto3,MTN,NM,WSCC,USA,OTH
91,p31,nr12,rto3,MTN,NM,WSCC,USA,OTH
92,p31,nr12,rto3,MTN,NM,WSCC,USA,OTH
93,p31,nr12,rto3,MTN,NM,WSCC,USA,OTH
94,p59,nr12,rto3,MTN,TX,WSCC,USA,OTH
95,p32,nr11,rto5,MTN,SD,WSCC,USA,OTH
96,p35,nr5,rto11,WNC,MT,eastern,USA,OTH
97,p36,nr5,rto11,WNC,ND,eastern,USA,OTH
98,p36,nr5,rto11,WNC,ND,eastern,USA,OTH
99,p37,nr5,rto11,WNC,ND,eastern,USA,OTH
100,p36,nr5,rto11,WNC,ND,eastern,USA,OTH
101,p36,nr5,rto11,WNC,ND,eastern,USA,OTH
102,p37,nr5,rto11,WNC,ND,eastern,USA,OTH
103,p37,nr5,rto11,WNC,ND,eastern,USA,OTH
104,p38,nr5,rto11,WNC,SD,eastern,USA,OTH
105,p38,nr5,rto11,WNC,SD,eastern,USA,OTH
106,p38,nr5,rto11,WNC,SD,eastern,USA,OTH
107,p38,nr5,rto11,WNC,SD,eastern,USA,OTH
108,p38,nr5,rto11,WNC,SD,eastern,USA,OTH
109,p38,nr5,rto11,WNC,SD,eastern,USA,OTH
110,p38,nr5,rto11,WNC,SD,eastern,USA,OTH
111,p38,nr5,rto11,WNC,SD,eastern,USA,OTH
112,p38,nr5,rto11,WNC,SD,eastern,USA,OTH
113,p38,nr5,rto11,WNC,SD,eastern,USA,OTH
114,p39,nr5,rto8,WNC,NE,eastern,USA,OTH
115,p39,nr5,rto8,WNC,NE,eastern,USA,OTH
116,p40,nr5,rto8,WNC,NE,eastern,USA,OTH
117,p40,nr5,rto8,WNC,NE,eastern,USA,OTH
118,p40,nr5,rto8,WNC,NE,eastern,USA,OTH
119,p41,nr5,rto8,WNC,NE,eastern,USA,OTH
120,p42,nr5,rto11,WNC,MN,eastern,USA,OTH
121,p43,nr5,rto11,WNC,MN,eastern,USA,OTH
122,p44,nr5,rto11,WNC,MN,eastern,USA,OTH
123,p44,nr5,rto11,WNC,MN,eastern,USA,OTH
124,p43,nr5,rto11,WNC,MN,eastern,USA,OTH
125,p43,nr5,rto11,WNC,MN,eastern,USA,OTH
126,p43,nr5,rto11,WNC,MN,eastern,USA,OTH
127,p43,nr5,rto11,WNC,MN,eastern,USA,OTH
128,p43,nr5,rto11,WNC,MN,eastern,USA,OTH
129,p46,nr5,rto11,ENC,WI,eastern,USA,OTH
130,p46,nr5,rto11,ENC,WI,eastern,USA,OTH
131,p46,nr5,rto11,ENC,WI,eastern,USA,OTH
132,p45,nr5,rto6,WNC,IA,eastern,USA,OTH
133,p69,nr5,rto6,WNC,IA,eastern,USA,OTH
134,p45,nr5,rto6,WNC,IA,eastern,USA,OTH
135,p52,nr10,rto8,WNC,KS,eastern,USA,OTH
136,p53,nr10,rto8,WNC,KS,eastern,USA,OTH
137,p53,nr10,rto8,WNC,KS,eastern,USA,OTH
138,p53,nr10,rto8,WNC,KS,eastern,USA,OTH
139,p53,nr10,rto8,WNC,KS,eastern,USA,OTH
140,p53,nr10,rto8,WNC,KS,eastern,USA,OTH
141,p53,nr10,rto8,WNC,KS,eastern,USA,OTH
142,p53,nr10,rto8,WNC,KS,eastern,USA,OTH
143,p53,nr10,rto8,WNC,KS,eastern,USA,OTH
144,p54,nr10,rto8,WNC,MO,eastern,USA,OTH
145,p54,nr10,rto8,WNC,MO,eastern,USA,OTH
146,p55,nr10,rto8,WNC,MO,eastern,USA,OTH
147,p55,nr10,rto8,WNC,MO,eastern,USA,OTH
148,p47,nr10,rto8,WSC,NM,eastern,USA,OTH
149,p48,nr10,rto8,WSC,TX,eastern,USA,OTH
150,p48,nr10,rto8,WSC,TX,eastern,USA,OTH
151,p57,nr10,rto8,WSC,TX,eastern,USA,OTH
152,p49,nr10,rto8,WSC,OK,eastern,USA,OTH
153,p50,nr10,rto8,WSC,OK,eastern,USA,OTH
154,p50,nr10,rto8,WSC,OK,eastern,USA,OTH
155,p50,nr10,rto8,WSC,OK,eastern,USA,OTH
156,p50,nr10,rto8,WSC,OK,eastern,USA,OTH
157,p51,nr10,rto8,WSC,OK,eastern,USA,OTH
158,p50,nr10,rto8,WSC,OK,eastern,USA,OTH
159,p56,nr10,rto8,WSC,AR,eastern,USA,OTH
160,p56,nr10,rto8,WSC,AR,eastern,USA,OTH
161,p58,nr9,rto13,WSC,LA,eastern,USA,OTH
162,p58,nr9,rto13,WSC,LA,eastern,USA,OTH
163,p61,nr2,rto10,WSC,TX,texas,USA,OTH
164,p62,nr2,rto10,WSC,TX,texas,USA,OTH
165,p60,nr2,rto10,WSC,TX,texas,USA,OTH
166,p61,nr2,rto10,WSC,TX,texas,USA,OTH
167,p63,nr2,rto10,WSC,TX,texas,USA,OTH
168,p63,nr2,rto10,WSC,TX,texas,USA,OTH
169,p63,nr2,rto10,WSC,TX,texas,USA,OTH
170,p63,nr2,rto10,WSC,TX,texas,USA,OTH
171,p64,nr2,rto10,WSC,TX,texas,USA,OTH
172,p65,nr2,rto10,WSC,TX,texas,USA,OTH
173,p65,nr2,rto10,WSC,TX,texas,USA,OTH
174,p65,nr2,rto10,WSC,TX,texas,USA,OTH
175,p67,nr2,rto10,WSC,TX,texas,USA,OTH
176,p68,nr5,rto11,WNC,MN,eastern,USA,OTH
177,p69,nr5,rto6,WNC,IA,eastern,USA,OTH
178,p70,nr5,rto6,WNC,IA,eastern,USA,OTH
179,p70,nr5,rto6,WNC,IA,eastern,USA,OTH
180,p70,nr5,rto6,WNC,IA,eastern,USA,OTH
181,p70,nr5,rto6,WNC,IA,eastern,USA,OTH
182,p70,nr5,rto6,WNC,IA,eastern,USA,OTH
183,p70,nr5,rto6,WNC,IA,eastern,USA,OTH
184,p71,nr4,rto6,WNC,MO,eastern,USA,OTH
185,p72,nr4,rto6,WNC,MO,eastern,USA,OTH
186,p73,nr4,rto13,WNC,MO,eastern,USA,OTH
187,p84,nr9,rto13,WNC,MO,eastern,USA,OTH
188,p84,nr9,rto13,WNC,MO,eastern,USA,OTH
189,p72,nr4,rto6,WNC,MO,eastern,USA,OTH
190,p72,nr4,rto6,WNC,MO,eastern,USA,OTH
191,p74,nr4,rto6,ENC,MI,eastern,USA,OTH
192,p75,nr4,rto6,ENC,WI,eastern,USA,OTH
193,p76,nr4,rto6,ENC,WI,eastern,USA,OTH
194,p77,nr4,rto11,ENC,WI,eastern,USA,OTH
195,p78,nr4,rto6,ENC,WI,eastern,USA,OTH
196,p76,nr4,rto6,ENC,WI,eastern,USA,OTH
197,p75,nr4,rto6,ENC,WI,eastern,USA,OTH
198,p79,nr4,rto6,ENC,WI,eastern,USA,OTH
199,p80,nr4,rto7,ENC,IL,eastern,USA,OTH
200,p81,nr4,rto6,ENC,IL,eastern,USA,OTH
201,p81,nr4,rto6,ENC,IL,eastern,USA,OTH
202,p81,nr4,rto6,ENC,IL,eastern,USA,OTH
203,p82,nr4,rto6,ENC,IL,eastern,USA,OTH
204,p81,nr4,rto6,ENC,IL,eastern,USA,OTH
205,p81,nr4,rto6,ENC,IL,eastern,USA,OTH
206,p80,nr4,rto7,ENC,IL,eastern,USA,OTH
207,p80,nr4,rto7,ENC,IL,eastern,USA,OTH
208,p83,nr4,rto6,ENC,IL,eastern,USA,OTH
209,p83,nr4,rto6,ENC,IL,eastern,USA,OTH
210,p83,nr4,rto6,ENC,IL,eastern,USA,OTH
211,p103,nr1,rto6,ENC,MI,eastern,USA,OTH
212,p103,nr1,rto6,ENC,MI,eastern,USA,OTH
213,p104,nr1,rto7,ENC,MI,eastern,USA,OTH
214,p103,nr1,rto6,ENC,MI,eastern,USA,OTH
215,p103,nr1,rto6,ENC,MI,eastern,USA,OTH
216,p103,nr1,rto6,ENC,MI,eastern,USA,OTH
217,p103,nr1,rto6,ENC,MI,eastern,USA,OTH
218,p103,nr1,rto6,ENC,MI,eastern,USA,OTH
219,p105,nr1,rto6,ENC,IN,eastern,USA,OTH
220,p105,nr1,rto6,ENC,IN,eastern,USA,OTH
221,p105,nr1,rto6,ENC,IN,eastern,USA,OTH
222,p105,nr1,rto6,ENC,IN,eastern,USA,OTH
223,p106,nr1,rto6,ENC,IN,eastern,USA,OTH
224,p107,nr1,rto6,ENC,IN,eastern,USA,OTH
225,p105,nr1,rto6,ENC,IN,eastern,USA,OTH
226,p105,nr1,rto6,ENC,IN,eastern,USA,OTH
227,p111,nr1,rto7,ENC,OH,eastern,USA,OTH
228,p112,nr1,rto7,ENC,OH,eastern,USA,OTH
229,p112,nr1,rto7,ENC,OH,eastern,USA,OTH
230,p113,nr1,rto7,ENC,OH,eastern,USA,OTH
231,p114,nr1,rto7,ENC,OH,eastern,USA,OTH
232,p112,nr1,rto7,ENC,OH,eastern,USA,OTH
233,p112,nr1,rto7,ENC,OH,eastern,USA,OTH
234,p111,nr1,rto7,ENC,OH,eastern,USA,OTH
235,p112,nr1,rto7,ENC,OH,eastern,USA,OTH
236,p108,nr1,rto6,ESC,KY,eastern,USA,OTH
237,p109,nr1,rto7,ESC,KY,eastern,USA,OTH
238,p109,nr1,rto7,ESC,KY,eastern,USA,OTH
239,p109,nr1,rto7,ESC,KY,eastern,USA,OTH
240,p109,nr1,rto7,ESC,KY,eastern,USA,OTH
241,p109,nr1,rto7,ESC,KY,eastern,USA,OTH
242,p110,nr1,rto7,ESC,KY,eastern,USA,OTH
243,p118,nr1,rto7,SA,VA,eastern,USA,OTH
244,p118,nr1,rto7,SA,VA,eastern,USA,OTH
245,p118,nr1,rto7,SA,VA,eastern,USA,OTH
246,p117,nr1,rto7,SA,WV,eastern,USA,OTH
247,p117,nr1,rto7,SA,WV,eastern,USA,OTH
248,p117,nr1,rto7,SA,WV,eastern,USA,OTH
249,p116,nr1,rto7,SA,WV,eastern,USA,OTH
250,p116,nr1,rto7,SA,WV,eastern,USA,OTH
251,p115,nr1,rto7,MA,PA,eastern,USA,OTH
252,p115,nr1,rto7,MA,PA,eastern,USA,OTH
253,p121,nr1,rto7,SA,MD,eastern,USA,RGGI
254,p120,nr1,rto7,MA,PA,eastern,USA,OTH
255,p119,nr1,rto12,MA,PA,eastern,USA,OTH
256,p66,nr9,rto13,WSC,TX,eastern,USA,OTH
257,p85,nr9,rto13,WSC,AR,eastern,USA,OTH
258,p85,nr9,rto13,WSC,AR,eastern,USA,OTH
259,p85,nr9,rto13,WSC,AR,eastern,USA,OTH
260,p86,nr9,rto13,WSC,LA,eastern,USA,OTH
261,p58,nr9,rto13,WSC,LA,eastern,USA,OTH
262,p87,nr9,rto13,ESC,MS,eastern,USA,OTH
263,p88,nr9,rto14,ESC,MS,eastern,USA,OTH
264,p87,nr9,rto13,ESC,MS,eastern,USA,OTH
265,p89,nr9,rto14,ESC,AL,eastern,USA,OTH
266,p89,nr9,rto14,ESC,AL,eastern,USA,OTH
267,p90,nr9,rto9,ESC,AL,eastern,USA,OTH
268,p90,nr9,rto9,ESC,AL,eastern,USA,OTH
269,p91,nr9,rto9,SA,FL,eastern,USA,OTH
270,p91,nr9,rto9,SA,FL,eastern,USA,OTH
271,p91,nr9,rto9,SA,FL,eastern,USA,OTH
272,p94,nr9,rto9,SA,GA,eastern,USA,OTH
273,p94,nr9,rto9,SA,GA,eastern,USA,OTH
274,p94,nr9,rto9,SA,GA,eastern,USA,OTH
275,p94,nr9,rto9,SA,GA,eastern,USA,OTH
276,p92,nr9,rto14,ESC,TN,eastern,USA,OTH
277,p92,nr9,rto14,ESC,TN,eastern,USA,OTH
278,p92,nr9,rto14,ESC,TN,eastern,USA,OTH
279,p92,nr9,rto14,ESC,TN,eastern,USA,OTH
280,p92,nr9,rto14,ESC,TN,eastern,USA,OTH
281,p92,nr9,rto14,ESC,TN,eastern,USA,OTH
282,p92,nr9,rto14,ESC,TN,eastern,USA,OTH
283,p92,nr9,rto14,ESC,TN,eastern,USA,OTH
284,p92,nr9,rto14,ESC,TN,eastern,USA,OTH
285,p92,nr9,rto14,ESC,TN,eastern,USA,OTH
286,p93,nr9,rto14,ESC,KY,eastern,USA,OTH
287,p93,nr9,rto14,ESC,KY,eastern,USA,OTH
288,p97,nr9,rto15,SA,NC,eastern,USA,OTH
289,p97,nr9,rto15,SA,NC,eastern,USA,OTH
290,p97,nr9,rto15,SA,NC,eastern,USA,OTH
291,p98,nr9,rto15,SA,NC,eastern,USA,OTH
292,p98,nr9,rto15,SA,NC,eastern,USA,OTH
293,p98,nr9,rto15,SA,NC,eastern,USA,OTH
294,p98,nr9,rto15,SA,NC,eastern,USA,OTH
295,p95,nr9,rto15,SA,SC,eastern,USA,OTH
296,p96,nr9,rto15,SA,SC,eastern,USA,OTH
297,p96,nr9,rto15,SA,SC,eastern,USA,OTH
298,p96,nr9,rto15,SA,SC,eastern,USA,OTH
299,p96,nr9,rto15,SA,SC,eastern,USA,OTH
300,p99,nr9,rto7,SA,VA,eastern,USA,OTH
301,p100,nr9,rto7,SA,VA,eastern,USA,OTH
302,p99,nr9,rto7,SA,VA,eastern,USA,OTH
303,p99,nr9,rto7,SA,VA,eastern,USA,OTH
304,p99,nr9,rto7,SA,VA,eastern,USA,OTH
305,p99,nr9,rto7,SA,VA,eastern,USA,OTH
306,p99,nr9,rto7,SA,VA,eastern,USA,OTH
307,p99,nr9,rto7,SA,VA,eastern,USA,OTH
308,p116,nr1,rto7,SA,WV,eastern,USA,OTH
309,p101,nr8,rto16,SA,FL,eastern,USA,OTH
310,p101,nr8,rto16,SA,FL,eastern,USA,OTH
311,p101,nr8,rto16,SA,FL,eastern,USA,OTH
312,p101,nr8,rto16,SA,FL,eastern,USA,OTH
313,p102,nr8,rto16,SA,FL,eastern,USA,OTH
314,p124,nr3,rto12,SA,VA,eastern,USA,OTH
315,p123,nr3,rto12,SA,MD,eastern,USA,RGGI
316,p123,nr3,rto12,SA,MD,eastern,USA,RGGI
317,p123,nr3,rto12,SA,MD,eastern,USA,RGGI
318,p125,nr3,rto12,SA,DE,eastern,USA,RGGI
319,p125,nr3,rto12,SA,DE,eastern,USA,RGGI
320,p122,nr3,rto12,MA,PA,eastern,USA,OTH
321,p122,nr3,rto12,MA,PA,eastern,USA,OTH
322,p122,nr3,rto12,MA,PA,eastern,USA,OTH
323,p122,nr3,rto12,MA,PA,eastern,USA,OTH
324,p122,nr3,rto12,MA,PA,eastern,USA,OTH
325,p122,nr3,rto12,MA,PA,eastern,USA,OTH
326,p122,nr3,rto12,MA,PA,eastern,USA,OTH
327,p122,nr3,rto12,MA,PA,eastern,USA,OTH
328,p126,nr3,rto12,MA,NJ,eastern,USA,OTH
329,p126,nr3,rto12,MA,NJ,eastern,USA,OTH
330,p126,nr3,rto12,MA,NJ,eastern,USA,OTH
331,p126,nr3,rto12,MA,NJ,eastern,USA,OTH
332,p126,nr3,rto12,MA,NJ,eastern,USA,OTH
333,p127,nr6,rto17,MA,NY,eastern,USA,RGGI
334,p127,nr6,rto17,MA,NY,eastern,USA,RGGI
335,p127,nr6,rto17,MA,NY,eastern,USA,RGGI
336,p127,nr6,rto17,MA,NY,eastern,USA,RGGI
337,p127,nr6,rto17,MA,NY,eastern,USA,RGGI
338,p127,nr6,rto17,MA,NY,eastern,USA,RGGI
339,p127,nr6,rto17,MA,NY,eastern,USA,RGGI
340,p127,nr6,rto17,MA,NY,eastern,USA,RGGI
341,p127,nr6,rto17,MA,NY,eastern,USA,RGGI
342,p128,nr6,rto17,MA,NY,eastern,USA,RGGI
343,p132,nr7,rto18,NE,CT,eastern,USA,RGGI
344,p132,nr7,rto18,NE,CT,eastern,USA,RGGI
345,p133,nr7,rto18,NE,RI,eastern,USA,RGGI
346,p133,nr7,rto18,NE,RI,eastern,USA,RGGI
347,p131,nr7,rto18,NE,MA,eastern,USA,RGGI
348,p131,nr7,rto18,NE,MA,eastern,USA,RGGI
349,p131,nr7,rto18,NE,MA,eastern,USA,RGGI
350,p129,nr7,rto18,NE,VT,eastern,USA,RGGI
351,p129,nr7,rto18,NE,VT,eastern,USA,RGGI
352,p129,nr7,rto18,NE,VT,eastern,USA,RGGI
353,p130,nr7,rto18,NE,NH,eastern,USA,RGGI
354,p130,nr7,rto18,NE,NH,eastern,USA,RGGI
355,p134,nr7,rto18,NE,ME,eastern,USA,RGGI
356,p134,nr7,rto18,NE,ME,eastern,USA,RGGI
357,p135,nr13,rto4,PA,MEX,wscc,MEX,MEX
358,p136,nr13,rto4,PA,MEX,wscc,MEX,MEX
359,p137,nr11,rto33,PA,BC,WSCC,CAN,CAN
360,p137,nr11,rto33,PA,BC,WSCC,CAN,CAN
361,p137,nr11,rto33,PA,BC,WSCC,CAN,CAN
362,p138,nr11,rto33,PA,BC,WSCC,CAN,CAN
363,p139,nr11,rto33,PA,BC,WSCC,CAN,CAN
364,p139,nr11,rto33,PA,BC,WSCC,CAN,CAN
365,p139,nr11,rto33,PA,BC,WSCC,CAN,CAN
366,p139,nr11,rto33,PA,BC,WSCC,CAN,CAN
367,p140,nr11,rto34,MTN,AB,WSCC,CAN,CAN
368,p141,nr11,rto34,MTN,AB,WSCC,CAN,CAN
369,p142,nr5,rto35,WNC,SK,eastern,CAN,CAN
370,p143,nr5,rto36,WNC,MB,eastern,CAN,CAN
371,p144,nr6,rto37,MA,ON,eastern,CAN,CAN
372,p145,nr6,rto37,MA,ON,eastern,CAN,CAN
373,p146,nr6,rto37,MA,ON,eastern,CAN,CAN
374,p147,nr6,rto37,MA,ON,eastern,CAN,CAN
375,p148,nr14,rto38,NE,QC,quebec,CAN,CAN
376,p149,nr14,rto38,NE,QC,quebec,CAN,CAN
377,p150,nr14,rto38,NE,QC,quebec,CAN,CAN
378,p151,nr14,rto38,NE,QC,quebec,CAN,CAN
379,p151,nr14,rto38,NE,QC,quebec,CAN,CAN
380,p151,nr14,rto38,NE,QC,quebec,CAN,CAN
381,p151,nr14,rto38,NE,QC,quebec,CAN,CAN
382,p151,nr14,rto38,NE,QC,quebec,CAN,CAN
383,p151,nr14,rto38,NE,QC,quebec,CAN,CAN
384,p151,nr14,rto38,NE,QC,quebec,CAN,CAN
385,p151,nr14,rto38,NE,QC,quebec,CAN,CAN
386,p151,nr14,rto38,NE,QC,quebec,CAN,CAN
387,p151,nr14,rto38,NE,QC,quebec,CAN,CAN
388,p151,nr14,rto38,NE,QC,quebec,CAN,CAN
389,p151,nr14,rto38,NE,QC,quebec,CAN,CAN
390,p151,nr14,rto38,NE,QC,quebec,CAN,CAN
391,p151,nr14,rto38,NE,QC,quebec,CAN,CAN
392,p151,nr14,rto38,NE,QC,quebec,CAN,CAN
393,p151,nr14,rto38,NE,QC,quebec,CAN,CAN
394,p151,nr14,rto38,NE,QC,quebec,CAN,CAN
395,p151,nr14,rto38,NE,QC,quebec,CAN,CAN
396,p151,nr14,rto38,NE,QC,quebec,CAN,CAN
397,p151,nr14,rto38,NE,QC,quebec,CAN,CAN
398,p151,nr14,rto38,NE,QC,quebec,CAN,CAN
399,p151,nr14,rto38,NE,QC,quebec,CAN,CAN
400,p151,nr14,rto38,NE,QC,quebec,CAN,CAN
401,p152,nr7,rto39,NE,NB,eastern,CAN,CAN
402,p153,nr7,rto39,NE,NS,eastern,CAN,CAN
403,p154,nr14,rto38,NE,NL,quebec,CAN,CAN
404,p155,nr14,rto38,NE,NFI,quebec,CAN,CAN
405,p156,nr7,rto39,NE,PEI,eastern,CAN,CAN
