# File: EIA_coal_prod_state_ton_surface_2001_2021.csv
# Title: US Aggregate coal mine production by state; surface
# Units: short tons
# Source: EIA https://www.eia.gov/coal/data/browser/#/topic/33?agg=2,0,1&rank=g&geo=nvg1qag9vvlpns00&mntp=8&linechart=COAL.PRODUCTION.TOT-US-SUR.A&columnchart=COAL.PRODUCTION.TOT-US-SUR.A&map=COAL.PRODUCTION.TOT-US-SUR.A&freq=A&start=2001&end=2021&ctype=map&ltype=pin&rtype=s&maptype=0&rse=0&pin=
# Comments: release data Oct 2022
# Column types: cnnnnnnnnnnnnnnnnnnnnn
# ----------
state,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
US-KY,52938238,48553112,43567777,42478235,46032081,47665579,46063728,50848966,44186048,40967199,43518008,32664025,25759419,24527447,18046716,10156590,10272624,8603487,7258531,4551429,4928660
US-LA,3715136,3802509,4028110,3805488,4160962,4114016,3126586,3843243,3657416,3944542,3864700,3971129,2809771,2604888,3438728,2797656,2078567,1483241,1537669,676582,300093
US-MA,,,,,,,,,,,,,,,,,,,,,
US-MD,1399490,1819681,1755752,1886228,2008548,2227640,1690489,2106827,1810727,1908140,2064110,1485891,1254836,1260020,1322792,906959,1063914,862300,835924,630666,887605
US-ME,,,,,,,,,,,,,,,,,,,,,
US-MI,,,,,,,,,,,,,,,,,,,,,
US-MN,,,,,,,,,,,,,,,,,,,,,
US-MO,366435,248016,533441,578065,597618,394100,236107,247049,452456,458477,464738,421587,413703,362813,138206,233898,244345,258902,189273,158739,44162
US-MS,603827,2305262,3695385,3586363,3555351,3797455,3545266,2841512,3439987,4003505,2746744,2952818,3575069,3737100,3143392,2869740,2603668,2939738,2697331,2587165,3200580
US-MT,39142820,37385807,36962172,39830925,40191746,41501958,43342668,44617448,38710305,40343313,36872668,30986349,33548599,36660264,35444359,26726614,29348023,31043660,27448405,20398634,21333038
US-NC,,,,,,,,,,,,,,,,,,,,,
US-ND,30475417,30798895,30775437,29942871,29956259,30411056,29606266,29627097,29945292,28948944,28231419,27528666,27639060,29157193,28801826,28120859,28787505,29643430,26996860,26438192,26512608
US-NE,,,,,,,,,,,,,,,,,,,,,
US-NH,,,,,,,,,,,,,,,,,,,,,
US-NJ,,,,,,,,,,,,,,,,,,,,,
US-NM,28937456,27162945,20498619,19564910,20613251,18919380,17552789,18598652,18624901,16058697,17939432,17491900,15979261,13163757,13161277,9010372,8516241,8944028,10759701,9003410,7693226
US-NV,,,,,,,,,,,,,,,,,,,,,
US-NY,,,,,,,,,,,,,,,,,,,,,
US-OH,12505972,10306245,9181541,8951766,8895621,7596008,6782770,9197924,10193773,9243567,9194204,8202853,7686627,6702679,4820822,3266962,2688366,2474619,1446737,1050205,978296
US-OK,1299826,942818,1172480,1383167,1391038,1534277,1133647,1022919,571776,616520,736307,704484,692337,506249,389493,270552,242095,403864,227341,795,505
US-OR,,,,,,,,,,,,,,,,,,,,,
US-PA,16011203,12611867,11495449,12771872,12931261,12227888,11503890,12095241,9299963,10925620,11864630,9677333,8844460,7997973,6136892,4333600,5496703,5248460,5464465,4167713,4407113
US-RI,,,,,,,,,,,,,,,,,,,,,
US-SC,,,,,,,,,,,,,,,,,,,,,
US-SD,,,,,,,,,,,,,,,,,,,,,
US-TN,2003194,2080866,1907392,2060605,1992885,1612815,1762803,1544028,1153755,1225463,1124384,517337,367518,217644,366287,220703,101866,58229,122340,9058,
US-TX,45042406,45246622,47516757,45862826,45938679,45547617,41948406,39016927,35093268,40982001,45903597,44178225,42850619,43654013,35917966,39000584,36382244,24822522,23306690,19682282,17250400
US-UT,,267517,25083,,,,,,,,,570138,741178,555268,315693,669025,723944,493532,240010,569090,434165
US-VA,10271385,9465079,10371244,10983172,11357321,11058630,9615498,8906897,8080934,8216817,7061430,6594734,4428879,3992431,4237323,3938934,3381856,3283234,3581823,2500525,2667918
US-VT,,,,,,,,,,,,,,,,,,,,,
US-WA,4624245,5827162,6231874,5653221,5265672,2579549,,,,,,,,,,,,,,,
US-WI,,,,,,,,,,,,,,,,,,,,,
US-WV,62865447,62159803,52918564,57060752,62640558,67745824,68627001,69408612,56240100,50675619,51266750,39955835,33967002,30551182,20343321,15712719,20238889,23158959,23055128,11529071,13343744
US-WY,368749172,373161336,376269987,396449905,403908469,446223102,450746424,464143021,427634787,438703228,435630278,396805054,383481212,392295368,372682329,296050867,314738644,301977169,274718342,216131475,235577612
