# File: Alaska_offshore_gas_oil_2022.csv
# Title: Alaska offshore oil and gas production
# Units: indicated in column titles
# Source: Alaska Oil and Gas Conservation Commission Production Data http://aogweb.state.ak.us/DataMiner4/Forms/Production.aspx
# Column types: iccnnnnn
# ----------
year,ProductionType,AreaType,oilprod_bbl,gasprod_thouCFG,oilprod_EJ,gasprod_EJ,oilprod_mbblpd
1983,Oil Production,nonarctic,21576014,11092402,0.123242192,0.011702484,0.059112367
1984,Gas Production,nonarctic,0,57363506,0,0.060518499,0
1984,Oil Production,nonarctic,19307065,10244087,0.110281955,0.010807512,0.052896068
1985,Gas Production,nonarctic,0,53331929,0,0.056265185,0
1985,Oil Production,nonarctic,14632586,8432350,0.083581331,0.008896129,0.040089277
1986,Gas Production,nonarctic,0,53780049,0,0.056737952,0
1986,Oil Production,nonarctic,15367307,7949885,0.087778058,0.008387129,0.042102211
1987,Gas Production,nonarctic,0,53527491,0,0.056471503,0
1987,Oil Production,nonarctic,13946486,7752892,0.079662328,0.008179301,0.038209551
1988,Gas Production,nonarctic,0,58194099,0,0.061394774,0
1988,Oil Production,nonarctic,13448712,8821012,0.076819043,0.009306168,0.036845786
1989,Gas Production,nonarctic,0,72825691,0,0.076831104,0
1989,Oil Production,nonarctic,13264025,8904150,0.075764111,0.009393878,0.036339795
1990,Gas Production,nonarctic,0,95158864,0,0.100392602,0
1990,Oil Production,nonarctic,9057507,5638167,0.05173648,0.005948266,0.024815088
1991,Gas Production,nonarctic,0,101283231,0,0.106853809,0
1991,Oil Production,nonarctic,13197174,8493837,0.075382258,0.008960998,0.036156641
1992,Gas Production,nonarctic,0,111099559,0,0.117210035,0
1992,Oil Production,nonarctic,13229286,8960278,0.075565682,0.009453093,0.036244619
1993,Gas Production,nonarctic,0,105947537,0,0.111774652,0
1993,Oil Production,nonarctic,12026608,7809359,0.068695985,0.008238874,0.032949611
1994,Gas Production,nonarctic,0,100347565,0,0.105866681,0
1994,Oil Production,nonarctic,12828912,7698832,0.073278745,0.008122268,0.035147704
1995,Gas Production,nonarctic,0,105336655,0,0.111130171,0
1995,Oil Production,nonarctic,12747506,7378333,0.072813754,0.007784141,0.034924674
1996,Gas Production,nonarctic,0,119645864,0,0.126226387,0
1996,Oil Production,nonarctic,11644192,6768247,0.066511625,0.007140501,0.031901896
1997,Gas Production,nonarctic,0,116567559,0,0.122978775,0
1997,Oil Production,nonarctic,10315131,7696291,0.058920028,0.008119587,0.028260633
1998,Gas Production,nonarctic,0,125915078,0,0.132840407,0
1998,Oil Production,nonarctic,9751130,7735784,0.055698455,0.008161252,0.026715425
1999,Gas Production,nonarctic,0,119552702,0,0.126128101,0
1999,Oil Production,nonarctic,9110458,6931377,0.052038936,0.007312603,0.024960159
2000,Gas Production,nonarctic,0,115534975,0,0.121889399,0
2000,Oil Production,nonarctic,9095255,6664782,0.051952097,0.007031345,0.024918507
2001,Gas Production,nonarctic,0,114983654,0,0.121307755,0
2001,Oil Production,nonarctic,9580930,6485531,0.054726272,0.006842235,0.026249123
2002,Gas Production,nonarctic,0,103534295,0,0.109228681,0
2002,Oil Production,nonarctic,9709205,5590906,0.055458979,0.005898406,0.026600562
2003,Gas Production,nonarctic,0,85616624,0,0.090325538,0
2003,Oil Production,nonarctic,8727759,4321900,0.049852959,0.004559605,0.023911668
2004,Gas Production,nonarctic,0,73858426,0,0.077920639,0
2004,Oil Production,nonarctic,7150077,3656794,0.04084124,0.003857918,0.019589252
2005,Gas Production,nonarctic,0,75337059,0,0.079480597,0
2005,Oil Production,nonarctic,6202830,3393141,0.035430565,0.003579764,0.016994055
2006,Gas Production,nonarctic,0,62368320,0,0.065798578,0
2006,Oil Production,nonarctic,5452023,2923046,0.031141955,0.003083814,0.014937049
2007,Gas Production,nonarctic,0,49151784,0,0.051855132,0
2007,Oil Production,nonarctic,4826611,2812552,0.027569602,0.002967242,0.013223592
2008,Gas Production,nonarctic,0,45139659,0,0.04762234,0
2008,Oil Production,nonarctic,4220549,2569538,0.024107776,0.002710863,0.011563148
2009,Gas Production,nonarctic,0,44524845,0,0.046973711,0
2009,Oil Production,nonarctic,2474393,1701231,0.014133733,0.001794799,0.006779159
2010,Gas Production,nonarctic,0,41979915,0,0.04428881,0
2010,Oil Production,nonarctic,3208904,1831614,0.01832926,0.001932353,0.008791518
2011,Gas Production,nonarctic,0,37101698,0,0.039142291,0
2011,Oil Production,nonarctic,3327125,1946948,0.019004538,0.00205403,0.009115411
2012,Gas Production,nonarctic,0,33103021,0,0.034923687,0
2012,Oil Production,nonarctic,3454859,1981972,0.019734155,0.00209098,0.009465367
2013,Gas Production,nonarctic,0,27297084,0,0.028798424,0
2013,Oil Production,nonarctic,4186587,2754535,0.023913785,0.002906034,0.011470101
2014,Gas Production,nonarctic,0,22776457,0,0.024029162,0
2014,Oil Production,nonarctic,4889885,4137716,0.027931023,0.00436529,0.013396945
2015,Gas Production,nonarctic,0,16551542,0,0.017461877,0
2015,Oil Production,nonarctic,5107621,4564212,0.029174731,0.004815244,0.013993482
2016,Gas Production,nonarctic,0,17062405,0,0.018000837,0
2016,Oil Production,nonarctic,4438188,3570965,0.02535093,0.003767368,0.012159419
2017,Gas Production,nonarctic,0,19718860,0,0.020803397,0
2017,Oil Production,nonarctic,3974864,3088231,0.022704423,0.003258084,0.010890038
2018,Gas Production,nonarctic,0,21235187,0,0.022403122,0
2018,Oil Production,nonarctic,4362368,3480919,0.024917846,0.00367237,0.011951693
2019,Gas Production,nonarctic,0,16832476,0,0.017758262,0
2019,Oil Production,nonarctic,4066990,3549271,0.023230647,0.003744481,0.011142438
2020,Gas Production,nonarctic,0,19415029,0,0.020482856,0
2020,Oil Production,nonarctic,3694032,3408721,0.021100311,0.003596201,0.010120636
2021,Gas Production,nonarctic,0,19736281,0,0.020821776,0
2021,Oil Production,nonarctic,2733179,2965502,0.015611918,0.003128605,0.007488162
2022,Gas Production,nonarctic,0,22472520,0,0.023708509,0
2022,Oil Production,nonarctic,2629403,2589676,0.01501915,0.002732108,0.007203844
