# File: EIA_tight_oil_production_mbbl_per_day.csv
# Title: EIA monthly tight oil production by play
# Comments: Estimates are given by oil play
# Units: million bbl per day
# Source: EIA https://www.eia.gov/petroleum/data.php#crude
# Column types: cnnnnnnnnnn
# ----------
Date,Eagle Ford (TX) ,Spraberry (TX Permian),Bakken (ND & MT),Wolfcamp (TX & NM Permian),Bonespring (TX & NM Permian),Niobrara-Codell (CO & WY),Mississippian (OK),Austin Chalk (LA & TX),Woodford (OK),Rest of US 'tight oil'
31-Jul-07,0,0.026,0.075,0.102,0.013,0.037,0.016,0.041,0.001,0.163
31-Aug-07,0,0.026,0.075,0.102,0.013,0.038,0.017,0.042,0.001,0.165
30-Sep-07,0,0.026,0.077,0.104,0.013,0.037,0.016,0.04,0.001,0.165
31-Oct-07,0,0.026,0.081,0.105,0.012,0.039,0.016,0.04,0.001,0.168
30-Nov-07,0,0.027,0.08,0.108,0.013,0.039,0.016,0.042,0.001,0.169
31-Dec-07,0,0.027,0.085,0.11,0.014,0.037,0.013,0.041,0.001,0.17
31-Jan-08,0,0.027,0.086,0.111,0.013,0.036,0.017,0.042,0.002,0.169
29-Feb-08,0,0.028,0.085,0.114,0.014,0.041,0.017,0.04,0.001,0.17
31-Mar-08,0,0.028,0.091,0.116,0.015,0.043,0.019,0.044,0.001,0.171
30-Apr-08,0,0.028,0.098,0.116,0.014,0.044,0.018,0.043,0.002,0.167
31-May-08,0,0.028,0.106,0.118,0.013,0.044,0.018,0.042,0.002,0.166
30-Jun-08,0.001,0.028,0.116,0.118,0.013,0.045,0.017,0.043,0.002,0.167
31-Jul-08,0,0.029,0.121,0.124,0.014,0.044,0.016,0.043,0.002,0.167
31-Aug-08,0,0.029,0.127,0.126,0.014,0.045,0.016,0.043,0.003,0.168
30-Sep-08,0.001,0.029,0.14,0.118,0.015,0.05,0.016,0.039,0.003,0.163
31-Oct-08,0.001,0.03,0.156,0.131,0.016,0.049,0.016,0.044,0.003,0.174
30-Nov-08,0.001,0.031,0.168,0.139,0.017,0.05,0.017,0.044,0.004,0.178
31-Dec-08,0.001,0.031,0.157,0.141,0.017,0.047,0.018,0.043,0.003,0.178
31-Jan-09,0.001,0.03,0.145,0.142,0.017,0.048,0.017,0.042,0.003,0.179
28-Feb-09,0.001,0.031,0.15,0.142,0.017,0.049,0.019,0.041,0.004,0.181
31-Mar-09,0.001,0.031,0.155,0.142,0.018,0.05,0.017,0.039,0.004,0.176
30-Apr-09,0.002,0.03,0.157,0.139,0.017,0.046,0.019,0.039,0.004,0.174
31-May-09,0.002,0.03,0.165,0.136,0.017,0.047,0.018,0.038,0.004,0.172
30-Jun-09,0.001,0.03,0.173,0.133,0.016,0.047,0.019,0.036,0.004,0.169
31-Jul-09,0.002,0.03,0.186,0.132,0.016,0.046,0.018,0.035,0.004,0.166
31-Aug-09,0.002,0.031,0.189,0.134,0.017,0.047,0.017,0.034,0.004,0.166
30-Sep-09,0.003,0.031,0.195,0.136,0.016,0.048,0.016,0.035,0.004,0.172
31-Oct-09,0.005,0.032,0.198,0.139,0.016,0.046,0.016,0.034,0.003,0.17
30-Nov-09,0.007,0.032,0.202,0.144,0.018,0.049,0.017,0.035,0.003,0.174
31-Dec-09,0.007,0.031,0.2,0.145,0.017,0.046,0.015,0.036,0.004,0.169
31-Jan-10,0.008,0.031,0.201,0.147,0.02,0.05,0.014,0.036,0.004,0.173
28-Feb-10,0.007,0.032,0.22,0.152,0.021,0.051,0.016,0.036,0.005,0.177
31-Mar-10,0.012,0.032,0.236,0.152,0.021,0.052,0.017,0.036,0.005,0.186
30-Apr-10,0.016,0.033,0.243,0.155,0.022,0.051,0.018,0.035,0.005,0.183
31-May-10,0.02,0.034,0.259,0.162,0.023,0.052,0.016,0.036,0.006,0.182
30-Jun-10,0.027,0.034,0.275,0.165,0.022,0.05,0.017,0.036,0.006,0.18
31-Jul-10,0.032,0.035,0.283,0.172,0.022,0.046,0.017,0.036,0.006,0.186
31-Aug-10,0.035,0.035,0.291,0.179,0.024,0.054,0.017,0.036,0.006,0.192
30-Sep-10,0.044,0.034,0.306,0.185,0.025,0.055,0.017,0.036,0.006,0.198
31-Oct-10,0.051,0.037,0.306,0.19,0.03,0.055,0.018,0.037,0.007,0.205
30-Nov-10,0.066,0.037,0.321,0.198,0.031,0.057,0.02,0.038,0.008,0.211
31-Dec-10,0.087,0.037,0.309,0.207,0.031,0.062,0.019,0.038,0.008,0.21
31-Jan-11,0.093,0.037,0.308,0.213,0.033,0.058,0.02,0.037,0.008,0.215
28-Feb-11,0.105,0.034,0.316,0.202,0.03,0.059,0.017,0.037,0.008,0.204
31-Mar-11,0.122,0.037,0.327,0.221,0.038,0.065,0.023,0.039,0.008,0.225
30-Apr-11,0.135,0.038,0.32,0.224,0.037,0.068,0.022,0.039,0.011,0.233
31-May-11,0.159,0.039,0.334,0.229,0.038,0.066,0.023,0.039,0.012,0.242
30-Jun-11,0.178,0.038,0.355,0.234,0.044,0.07,0.022,0.038,0.012,0.237
31-Jul-11,0.21,0.039,0.396,0.238,0.046,0.069,0.024,0.035,0.011,0.239
31-Aug-11,0.242,0.039,0.414,0.25,0.05,0.073,0.025,0.036,0.011,0.244
30-Sep-11,0.275,0.041,0.433,0.257,0.051,0.076,0.028,0.038,0.013,0.245
31-Oct-11,0.3,0.043,0.46,0.268,0.052,0.078,0.028,0.039,0.014,0.253
30-Nov-11,0.339,0.045,0.481,0.281,0.06,0.082,0.029,0.041,0.014,0.257
31-Dec-11,0.364,0.048,0.506,0.283,0.061,0.08,0.029,0.04,0.017,0.257
31-Jan-12,0.393,0.048,0.549,0.286,0.065,0.083,0.032,0.039,0.017,0.258
29-Feb-12,0.417,0.048,0.56,0.296,0.071,0.086,0.035,0.039,0.018,0.267
31-Mar-12,0.443,0.045,0.583,0.307,0.074,0.089,0.035,0.037,0.017,0.26
30-Apr-12,0.489,0.047,0.613,0.314,0.082,0.085,0.038,0.038,0.017,0.268
31-May-12,0.522,0.047,0.646,0.32,0.085,0.095,0.043,0.037,0.019,0.271
30-Jun-12,0.547,0.046,0.666,0.328,0.088,0.09,0.043,0.037,0.018,0.275
31-Jul-12,0.582,0.046,0.678,0.338,0.095,0.093,0.044,0.035,0.023,0.277
31-Aug-12,0.628,0.048,0.706,0.344,0.098,0.096,0.048,0.036,0.022,0.282
30-Sep-12,0.634,0.048,0.731,0.356,0.104,0.104,0.051,0.036,0.024,0.295
31-Oct-12,0.677,0.051,0.751,0.363,0.106,0.116,0.058,0.036,0.025,0.308
30-Nov-12,0.709,0.052,0.738,0.372,0.113,0.123,0.061,0.036,0.022,0.308
31-Dec-12,0.744,0.049,0.77,0.373,0.116,0.126,0.065,0.036,0.023,0.306
31-Jan-13,0.779,0.05,0.741,0.373,0.114,0.121,0.067,0.037,0.028,0.307
28-Feb-13,0.822,0.054,0.783,0.381,0.117,0.128,0.054,0.037,0.027,0.31
31-Mar-13,0.863,0.055,0.788,0.385,0.122,0.129,0.066,0.036,0.031,0.322
30-Apr-13,0.878,0.055,0.796,0.397,0.139,0.132,0.075,0.034,0.033,0.324
31-May-13,0.936,0.056,0.813,0.413,0.146,0.131,0.078,0.036,0.034,0.323
30-Jun-13,0.989,0.054,0.826,0.415,0.153,0.134,0.076,0.036,0.033,0.322
31-Jul-13,1.019,0.055,0.876,0.428,0.153,0.144,0.077,0.036,0.036,0.324
31-Aug-13,1.04,0.057,0.915,0.436,0.159,0.153,0.081,0.035,0.039,0.333
30-Sep-13,1.067,0.057,0.938,0.45,0.167,0.154,0.082,0.035,0.041,0.333
31-Oct-13,1.059,0.055,0.948,0.464,0.171,0.172,0.083,0.034,0.043,0.333
30-Nov-13,1.081,0.055,0.982,0.453,0.167,0.179,0.089,0.034,0.04,0.333
31-Dec-13,1.146,0.056,0.935,0.481,0.174,0.173,0.084,0.035,0.038,0.333
31-Jan-14,1.17,0.064,0.942,0.493,0.187,0.173,0.087,0.034,0.039,0.332
28-Feb-14,1.212,0.063,0.956,0.505,0.204,0.18,0.084,0.034,0.044,0.336
31-Mar-14,1.236,0.063,0.979,0.534,0.204,0.198,0.096,0.032,0.043,0.347
30-Apr-14,1.304,0.068,1.008,0.544,0.206,0.204,0.068,0.033,0.042,0.353
31-May-14,1.312,0.07,1.043,0.555,0.212,0.222,0.101,0.033,0.049,0.355
30-Jun-14,1.377,0.071,1.095,0.566,0.22,0.231,0.101,0.033,0.049,0.355
31-Jul-14,1.418,0.075,1.117,0.588,0.239,0.237,0.105,0.034,0.052,0.35
31-Aug-14,1.433,0.073,1.135,0.623,0.242,0.25,0.123,0.035,0.051,0.368
30-Sep-14,1.439,0.078,1.188,0.623,0.23,0.252,0.114,0.037,0.057,0.379
31-Oct-14,1.468,0.082,1.186,0.656,0.258,0.264,0.119,0.037,0.061,0.384
30-Nov-14,1.509,0.087,1.191,0.683,0.268,0.269,0.122,0.037,0.065,0.386
31-Dec-14,1.596,0.094,1.231,0.686,0.268,0.284,0.126,0.038,0.06,0.395
31-Jan-15,1.582,0.092,1.194,0.644,0.259,0.291,0.124,0.039,0.062,0.382
28-Feb-15,1.605,0.098,1.181,0.681,0.284,0.299,0.133,0.045,0.059,0.398
31-Mar-15,1.623,0.102,1.193,0.722,0.309,0.304,0.146,0.044,0.068,0.409
30-Apr-15,1.573,0.1,1.174,0.748,0.32,0.309,0.143,0.044,0.073,0.415
31-May-15,1.542,0.102,1.206,0.749,0.326,0.309,0.145,0.043,0.069,0.412
30-Jun-15,1.497,0.112,1.214,0.747,0.308,0.306,0.144,0.043,0.069,0.402
31-Jul-15,1.499,0.114,1.21,0.738,0.307,0.315,0.135,0.041,0.076,0.383
31-Aug-15,1.444,0.112,1.189,0.771,0.326,0.32,0.14,0.04,0.072,0.381
30-Sep-15,1.429,0.116,1.163,0.789,0.32,0.318,0.137,0.039,0.077,0.38
31-Oct-15,1.424,0.12,1.175,0.785,0.318,0.319,0.139,0.042,0.077,0.374
30-Nov-15,1.388,0.132,1.184,0.808,0.32,0.316,0.132,0.047,0.081,0.373
31-Dec-15,1.393,0.137,1.153,0.77,0.276,0.305,0.142,0.047,0.088,0.368
31-Jan-16,1.362,0.148,1.123,0.804,0.294,0.307,0.145,0.044,0.091,0.345
29-Feb-16,1.314,0.148,1.121,0.82,0.312,0.3,0.136,0.044,0.07,0.348
31-Mar-16,1.268,0.153,1.113,0.836,0.311,0.291,0.143,0.041,0.084,0.342
30-Apr-16,1.235,0.158,1.043,0.852,0.307,0.292,0.139,0.042,0.076,0.322
31-May-16,1.182,0.164,1.048,0.869,0.302,0.286,0.147,0.04,0.082,0.32
30-Jun-16,1.15,0.162,1.029,0.891,0.3,0.281,0.149,0.042,0.078,0.31
31-Jul-16,1.127,0.17,1.031,0.915,0.297,0.29,0.144,0.041,0.077,0.299
31-Aug-16,1.107,0.18,0.984,0.939,0.289,0.292,0.15,0.04,0.075,0.3
30-Sep-16,1.106,0.184,0.973,0.931,0.283,0.292,0.148,0.045,0.073,0.3
31-Oct-16,1.098,0.182,1.045,0.972,0.287,0.292,0.155,0.046,0.074,0.294
30-Nov-16,1.086,0.179,1.036,0.99,0.291,0.288,0.158,0.054,0.074,0.298
31-Dec-16,1.091,0.192,0.943,0.989,0.298,0.282,0.153,0.052,0.076,0.292
31-Jan-17,1.094,0.207,0.985,1.003,0.299,0.275,0.15,0.056,0.076,0.295
28-Feb-17,1.112,0.218,1.035,1.067,0.315,0.272,0.162,0.057,0.08,0.298
31-Mar-17,1.101,0.23,1.027,1.099,0.304,0.285,0.166,0.061,0.083,0.295
30-Apr-17,1.073,0.234,1.052,1.112,0.316,0.3,0.17,0.072,0.08,0.296
31-May-17,1.071,0.248,1.042,1.177,0.328,0.307,0.169,0.079,0.077,0.298
30-Jun-17,1.063,0.247,1.034,1.224,0.316,0.315,0.181,0.076,0.077,0.293
31-Jul-17,1.073,0.258,1.05,1.249,0.313,0.33,0.192,0.067,0.072,0.292
31-Aug-17,0.965,0.264,1.09,1.272,0.334,0.357,0.206,0.056,0.07,0.298
30-Sep-17,1.073,0.285,1.108,1.337,0.35,0.379,0.2,0.071,0.079,0.312
31-Oct-17,1.126,0.3,1.185,1.453,0.354,0.387,0.214,0.098,0.086,0.319
30-Nov-17,1.166,0.328,1.198,1.493,0.369,0.399,0.225,0.091,0.084,0.32
31-Dec-17,1.186,0.344,1.184,1.49,0.413,0.411,0.233,0.089,0.075,0.322
31-Jan-18,1.149,0.338,1.179,1.504,0.415,0.408,0.26,0.087,0.081,0.318
28-Feb-18,1.146,0.357,1.177,1.611,0.432,0.401,0.254,0.083,0.084,0.325
31-Mar-18,1.157,0.393,1.163,1.711,0.454,0.411,0.262,0.102,0.091,0.333
30-Apr-18,1.17,0.398,1.228,1.761,0.468,0.427,0.242,0.102,0.091,0.326
31-May-18,1.17,0.399,1.249,1.779,0.478,0.424,0.245,0.099,0.089,0.326
30-Jun-18,1.216,0.432,1.232,1.859,0.483,0.404,0.229,0.089,0.091,0.321
31-Jul-18,1.179,0.442,1.274,1.935,0.482,0.416,0.234,0.102,0.098,0.329
31-Aug-18,1.194,0.473,1.296,2.042,0.519,0.46,0.282,0.112,0.104,0.349
30-Sep-18,1.224,0.489,1.362,2.095,0.525,0.479,0.257,0.122,0.109,0.361
31-Oct-18,1.179,0.482,1.395,2.175,0.557,0.489,0.281,0.114,0.103,0.361
30-Nov-18,1.222,0.503,1.38,2.206,0.587,0.509,0.281,0.12,0.101,0.363
31-Dec-18,1.242,0.505,1.404,2.254,0.592,0.512,0.283,0.122,0.104,0.368
31-Jan-19,1.205,0.517,1.405,2.26,0.552,0.495,0.277,0.114,0.101,0.36
28-Feb-19,1.216,0.541,1.338,2.298,0.582,0.486,0.268,0.107,0.094,0.358
31-Mar-19,1.211,0.547,1.395,2.313,0.618,0.474,0.29,0.101,0.101,0.345
30-Apr-19,1.241,0.564,1.394,2.389,0.615,0.494,0.308,0.099,0.102,0.352
31-May-19,1.227,0.589,1.396,2.449,0.61,0.502,0.301,0.109,0.101,0.361
30-Jun-19,1.234,0.614,1.426,2.437,0.61,0.505,0.293,0.115,0.1,0.37
31-Jul-19,1.233,0.62,1.447,2.494,0.621,0.513,0.298,0.117,0.094,0.371
31-Aug-19,1.213,0.628,1.482,2.591,0.64,0.521,0.288,0.119,0.092,0.383
30-Sep-19,1.25,0.646,1.445,2.637,0.671,0.518,0.303,0.117,0.122,0.398
31-Oct-19,1.273,0.673,1.52,2.679,0.668,0.558,0.289,0.111,0.128,0.397
30-Nov-19,1.26,0.712,1.52,2.749,0.691,0.565,0.265,0.108,0.121,0.405
31-Dec-19,1.271,0.717,1.478,2.723,0.712,0.545,0.265,0.116,0.13,0.411
31-Jan-20,1.262,0.742,1.433,2.755,0.701,0.529,0.239,0.112,0.118,0.384
29-Feb-20,1.254,0.74,1.456,2.783,0.671,0.511,0.233,0.119,0.12,0.381
31-Mar-20,1.251,0.776,1.436,2.843,0.682,0.5,0.233,0.121,0.122,0.378
30-Apr-20,1.163,0.735,1.227,2.68,0.651,0.49,0.21,0.106,0.106,0.337
31-May-20,0.827,0.651,0.863,2.296,0.559,0.434,0.153,0.088,0.06,0.289
30-Jun-20,0.898,0.73,0.896,2.493,0.57,0.44,0.192,0.088,0.102,0.324
31-Jul-20,0.989,0.733,1.045,2.515,0.6,0.452,0.203,0.089,0.107,0.328
31-Aug-20,1.014,0.723,1.168,2.469,0.592,0.451,0.19,0.095,0.104,0.341
30-Sep-20,1.005,0.739,1.226,2.436,0.593,0.427,0.176,0.089,0.107,0.345
31-Oct-20,1.012,0.736,1.233,2.465,0.609,0.408,0.166,0.093,0.101,0.319
30-Nov-20,1.005,0.743,1.228,2.481,0.627,0.403,0.195,0.097,0.104,0.322
31-Dec-20,0.975,0.764,1.193,2.455,0.613,0.384,0.18,0.091,0.096,0.332
31-Jan-21,0.953,0.779,1.149,2.506,0.615,0.381,0.176,0.089,0.093,0.329
28-Feb-21,0.808,0.628,1.085,2.045,0.533,0.377,0.124,0.075,0.066,0.306
31-Mar-21,0.995,0.856,1.11,2.574,0.624,0.374,0.17,0.099,0.089,0.325
30-Apr-21,1,0.885,1.123,2.56,0.628,0.408,0.172,0.096,0.085,0.325
31-May-21,0.974,0.929,1.131,2.549,0.679,0.413,0.171,0.106,0.088,0.323
30-Jun-21,0.964,0.935,1.136,2.534,0.716,0.4,0.165,0.11,0.086,0.329
31-Jul-21,0.98,0.972,1.08,2.589,0.709,0.407,0.158,0.11,0.084,0.317
31-Aug-21,0.982,1.024,1.109,2.609,0.714,0.414,0.154,0.115,0.082,0.327
30-Sep-21,0.989,1.071,1.115,2.628,0.72,0.429,0.159,0.119,0.091,0.328
31-Oct-21,0.956,1.093,1.112,2.649,0.735,0.456,0.16,0.114,0.089,0.319
30-Nov-21,0.956,1.098,1.164,2.639,0.777,0.45,0.154,0.118,0.086,0.326
31-Dec-21,0.954,1.107,1.147,2.647,0.745,0.449,0.152,0.122,0.085,0.322
31-Jan-22,0.94,1.094,1.093,2.586,0.746,0.43,0.145,0.123,0.082,0.319
28-Feb-22,0.931,1.088,1.097,2.541,0.794,0.439,0.143,0.122,0.077,0.322
31-Mar-22,0.934,1.15,1.131,2.664,0.807,0.443,0.156,0.12,0.09,0.33
30-Apr-22,0.963,1.168,0.91,2.691,0.831,0.44,0.155,0.119,0.092,0.331
31-May-22,0.952,1.178,1.063,2.648,0.837,0.436,0.156,0.119,0.09,0.342
30-Jun-22,0.978,1.204,1.101,2.611,0.824,0.429,0.152,0.12,0.089,0.349
31-Jul-22,0.964,1.225,1.075,2.65,0.838,0.429,0.148,0.121,0.086,0.351
31-Aug-22,0.975,1.282,1.077,2.645,0.85,0.432,0.151,0.117,0.089,0.355
30-Sep-22,0.996,1.372,1.127,2.618,0.927,0.43,0.148,0.112,0.085,0.356
31-Oct-22,0.891,1.28,1.123,2.736,0.932,0.433,0.151,0.109,0.087,0.356
30-Nov-22,0.883,1.31,1.1,2.766,0.903,0.449,0.158,0.112,0.091,0.358
31-Dec-22,0.867,1.332,0.959,2.783,0.913,0.449,0.148,0.117,0.086,0.349
31-Jan-23,0.887,1.35,1.062,2.804,0.924,0.449,0.154,0.121,0.089,0.358
28-Feb-23,0.896,1.369,1.058,2.824,0.935,0.45,0.159,0.121,0.091,0.358
31-Mar-23,0.905,1.382,1.054,2.851,0.945,0.45,0.163,0.121,0.094,0.362
