# File: EIA_gas_market_wellhead_price_states.csv
# Title: US Natural Gas Wellhead Price by state
# Units: Dollars per Thousand Cubic Feet (nominal dollar)
# Source: EIA https://www.eia.gov/dnav/ng/ng_pri_sum_a_EPG0_FWA_DMcf_a.htm
# Comments: release data Feb 28 2023
# Column types: innnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
Date,U.S. Natural Gas Wellhead Price (Dollars per Thousand Cubic Feet),Alabama Natural Gas Wellhead Price (Dollars per Thousand Cubic Feet),Alaska Natural Gas Wellhead Price (Dollars per Thousand Cubic Feet),Arizona Natural Gas Wellhead Price (Dollars per Thousand Cubic Feet),Arkansas Natural Gas Wellhead Price (Dollars per Thousand Cubic Feet),California Natural Gas Wellhead Price (Dollars per Thousand Cubic Feet),Colorado Natural Gas Wellhead Price (Dollars per Thousand Cubic Feet),Florida Natural Gas Wellhead Price (Dollars per Thousand Cubic Feet),Illinois Natural Gas Wellhead Price (Dollars per Thousand Cubic Feet),Indiana Natural Gas Wellhead Price (Dollars per Thousand Cubic Feet),Kansas Natural Gas Wellhead Price (Dollars per Thousand Cubic Feet),Kentucky Natural Gas Wellhead Price (Dollars per Thousand Cubic Feet),Louisiana Natural Gas Wellhead Price (Dollars per Thousand Cubic Feet),Maryland Natural Gas Wellhead Price (Dollars per Thousand Cubic Feet),Michigan Natural Gas Wellhead Price (Dollars per Thousand Cubic Feet),Mississippi Natural Gas Wellhead Price (Dollars per Thousand Cubic Feet),Missouri Natural Gas Wellhead Price (Dollars per Thousand Cubic Feet),Montana Natural Gas Wellhead Price (Dollars per Thousand Cubic Feet),Nebraska Natural Gas Wellhead Price (Dollars per Thousand Cubic Feet),Nevada Natural Gas Wellhead Price (Dollars per Thousand Cubic Feet),New Mexico Natural Gas Wellhead Price (Dollars per Thousand Cubic Feet),New York Natural Gas Wellhead Price (Dollars per Thousand Cubic Feet),North Dakota Natural Gas Wellhead Price (Dollars per Thousand Cubic Feet),Ohio Natural Gas Wellhead Price (Dollars per Thousand Cubic Feet),Oklahoma Natural Gas Wellhead Price (Dollars per Thousand Cubic Feet),Oregon Natural Gas Wellhead Price (Dollars per Thousand Cubic Feet),Pennsylvania Natural Gas Wellhead Price (Dollars per Thousand Cubic Feet),South Dakota Natural Gas Wellhead Price (Dollars per Thousand Cubic Feet),Tennessee Natural Gas Wellhead Price (Dollars per Thousand Cubic Feet),Texas Natural Gas Wellhead Price (Dollars per Thousand Cubic Feet),Utah Natural Gas Wellhead Price (Dollars per Thousand Cubic Feet),Virginia Natural Gas Wellhead Price (Dollars per Thousand Cubic Feet),West Virginia Natural Gas Wellhead Price (Dollars per Thousand Cubic Feet),Wyoming Natural Gas Wellhead Price (Dollars per Thousand Cubic Feet),Texas--RRC District 8A Coalbed Methane Production (Billion Cubic Feet),Texas--RRC District 9 Coalbed Methane Production (Billion Cubic Feet),Texas--RRC District 10 Coalbed Methane Production (Billion Cubic Feet),Texas--State Offshore Coalbed Methane Production (Billion Cubic Feet),Utah Coalbed Methane Production (Billion Cubic Feet),Virginia Coalbed Methane Production (Billion Cubic Feet),West Virginia Coalbed Methane Production (Billion Cubic Feet),Wyoming Coalbed Methane Production (Billion Cubic Feet),Lower 48 Federal Offshore Coalbed Methane Production (Billion Cubic Feet),Lower 48 States Coalbed Methane Production (Billion Cubic Feet),Eastern States Coalbed Methane Production (Billion Cubic Feet),Western States Coalbed Methane Production (Billion Cubic Feet),"Other States Natural Gas Coalbed Methane, Reserves Based Production (Bcf)"
1974,0.3,0.74,0.17,0.2,0.26,0.44,0.2,0.54,0.4,0.14,0.17,0.5,0.31,0.24,0.5,0.29,0.3,0.25,0.34,,0.31,0.55,0.2,0.48,0.28,,0.44,,0.35,0.31,0.41,0.51,0.33,0.25,,,,,,,,,,,,,
1975,0.44,0.87,0.3,0.28,0.35,0.7,0.26,0.97,0.7,0.39,0.17,0.54,0.42,0.27,0.63,0.5,0.33,0.43,0.54,,0.4,0.74,0.23,0.71,0.32,,0.67,,0.44,0.52,0.48,0.51,0.37,0.34,,,,,,,,,,,,,
1976,0.58,0.99,0.39,0.28,0.53,0.94,0.48,0.98,0.99,0.52,0.42,0.55,0.46,0.32,0.89,0.71,0.34,0.45,0.51,,0.56,1.13,0.34,1.02,0.5,,0.68,,0.51,0.72,0.5,1.14,0.57,0.41,,,,,,,,,,,,,
1977,0.79,1.47,0.4,0.33,0.58,1.17,0.81,1.09,1.2,0.69,0.48,0.55,0.7,0.39,1.01,0.73,0.4,0.72,0.65,,0.81,1.16,0.35,1.4,0.79,,0.8,,0.74,0.9,0.61,1.26,0.61,0.64,,,,,,,,,,,,,
1978,0.91,1.5,0.52,0.37,0.75,1.36,0.84,1.39,1.29,0.71,0.57,0.58,0.84,0.61,1.2,1.15,,0.85,0.68,,0.99,1.19,0.46,1.57,0.9,,0.86,,1.64,0.99,0.64,1.31,0.66,0.79,,,,,,,,,,,,,
1979,1.18,2.04,0.52,0.41,0.96,1.7,1.41,1.57,1.86,1.05,0.76,0.95,1.11,1.04,1.74,1.6,,1.21,0.85,,1.37,1.27,1.28,1.81,1.12,2,1.33,2.11,1.7,1.23,0.72,1.68,1.05,1.13,,,,,,,,,,,,,
1980,1.59,3.19,0.73,,0.7,2.17,1.47,1.73,1.9,1.35,0.77,0.89,1.61,0.46,2.35,2.32,,1.45,0.83,,1.76,1.95,1.19,1.98,1.51,2.4,2.13,,1.76,1.56,1.12,2.85,3,1.92,,,,,,,,,,,,,
1981,1.98,4.77,0.62,,1.81,2.57,1.97,2.71,2.47,2.08,0.92,1.01,2.07,0.48,2.86,3.21,,1.91,1.45,,2.13,2.67,1.94,2.17,1.88,2.6,2.33,2.75,2.55,1.87,1.1,2.15,3,2.77,,,,,,,,,,,,,
1982,2.46,3.44,0.63,2.59,2.13,3.09,3.17,2.46,2.62,1.55,1.51,1.52,2.6,0.78,3.19,3.91,,2.15,1.99,,2.47,3.75,2.3,2.71,2.74,3.33,2.8,3.08,3,2.17,3.06,3.69,3.2,3.22,,,,,,,,,,,,,
1983,2.59,4.28,0.73,3.08,2.29,3.57,3.38,2.33,2.84,2.09,1.57,1.51,2.67,0.55,3.58,3.78,,2.41,2.93,,2.68,3.85,2.27,3.24,2.83,3.33,3,3.37,2.5,2.36,3.4,3.3,3.1,3.18,,,,,,,,,,,,,
1984,2.66,3.73,0.73,2.9,2.54,3.8,3.43,2.57,2.78,3.38,1.49,1.7,2.73,0.55,3.76,3.47,3.75,2.46,2.24,,2.71,4,2.26,3.19,2.72,2.78,3.25,3.67,3.5,2.45,4.08,3,3.45,3.32,,,,,,,,,,,,,
1985,2.51,3.71,0.74,,2.55,3.36,2.9,2.43,2.77,2.51,1.27,2.39,2.66,0.59,3.6,3.17,3.5,2.39,3.01,,2.62,3.37,1.9,3.08,2.47,2.4,3.16,2.51,2.48,2.33,3.52,3.02,3.85,3.01,,,,,,,,,,,,,
1986,1.94,2.89,0.5,,2.51,2.89,2.05,1.2,2.57,1.23,1.21,1.88,2.21,0.65,3.6,2.13,3.75,2.05,2.82,,1.87,3.39,1.35,2.84,1.71,2,2.5,2.46,1.78,1.65,2.9,2.45,3.9,2.52,,,,,,,,,,,,,
1987,1.67,2.97,0.94,,2.29,2.37,1.76,1.68,2.24,1.71,1.15,1.82,1.78,0.55,3.24,1.94,3.75,1.8,2.42,,1.66,2,1.3,2.58,1.47,1.45,2.25,2.71,1.31,1.47,1.88,2.08,3.85,1.76,,,,,,,,,,,,,
1988,1.69,2.65,1.27,,1.94,2.39,1.59,1.53,2.19,1.57,1.36,2.56,1.81,0.93,3.18,1.86,3.75,1.7,2.66,,1.7,2.3,2,2.55,1.55,1.6,2.15,1.95,1.5,1.51,2.39,2.08,3.05,1.53,,,,,,,,,,,,,
1989,1.69,2.72,1.36,1.8,2.41,2.32,1.52,2.05,2.15,1.71,1.44,2.13,1.82,0.85,3.16,1.97,3.5,1.55,2.23,,1.56,2.2,1.78,2.55,1.59,1.4,2.4,1.11,1.65,1.53,1.58,2.19,3.11,1.24,,,,,,,,,,,,,
1990,1.71,2.75,1.38,1.2,2.06,2.36,1.55,2.25,2.11,2.01,1.56,2.24,1.83,1.14,3,1.76,1.57,1.79,2.26,,1.69,2.2,1.79,2.54,1.57,1.39,2.35,1.56,1.65,1.57,1.7,2.3,3.19,1.16,,,,,,,,,,,,,
1991,1.64,2.33,1.48,1.5,1.92,2.46,1.41,2.46,2.17,1.72,1.37,2.03,1.73,1.55,2.79,1.66,1.32,1.66,2.06,,1.37,2.15,1.67,2.38,1.47,1.42,2.2,1.12,1.72,1.59,1.54,1.88,2.97,1.06,,,,,,,,,,,,,
1992,1.74,2.29,1.41,1.85,2.15,2.34,1.37,2.51,2.15,2.01,1.54,1.92,1.73,1.91,2.71,1.64,1.56,1.62,1.78,,1.6,2.25,1.97,2.35,1.7,1.29,1.95,1.79,1.79,1.77,1.63,1.85,3.01,1.13,,,,,,,,,,,,,
1993,2.04,2.46,1.42,1.3,2.81,2.38,1.61,2.17,2.3,2.09,1.8,2.28,2.14,2.44,2.38,1.73,1.57,1.55,1.81,,1.79,2.4,1.84,2.46,1.88,1.7,2.71,2.13,2.65,2.09,1.77,2.29,3.5,1.99,,,,,,,,,,,,,
1994,1.85,2.17,1.27,1.4,2.65,1.5,1.39,1.28,2.4,1.97,1.6,2.24,2.08,1.37,1.96,1.49,1.49,1.46,1.6,,1.58,2.35,,2.43,1.7,2.06,2.76,1.73,2.16,1.89,1.54,2.15,2.62,2.05,,,,,,,,,,,,,
1995,1.55,1.82,1.64,1.2,3.02,1.73,0.95,1.24,,1.9,1.36,1.64,1.58,1.42,1.67,1.24,1.7,1.36,1.19,,1.26,2.3,,2.33,1.44,0.93,2.84,1.59,1.54,1.61,1.15,1.72,2.22,1.78,,,,,,,,,,,,,
1996,2.17,2.62,1.61,1.65,3.82,1.82,1.37,,,2.3,1.92,2.55,2.33,,2.21,1.66,1.56,1.41,1.43,,1.67,,,2.63,2.21,2.26,,,2.54,2.29,1.39,,,2.57,,,,,,,,,,,,,
1997,2.32,2.67,1.82,2.4,4.03,2.41,2.23,,,2.18,2.05,2.66,2.36,2.23,2.19,1.73,1.7,1.59,1.53,,1.76,2.56,2.16,2.7,2.32,2.19,,2.09,2.55,2.48,1.86,,,2.42,,,,,,,,,,,,,
1998,1.96,2.21,1.32,1.88,3.92,1.97,1.9,,,2.09,1.7,2.39,2.02,2.6,1.77,1.42,,1.53,1.3,,1.76,2.56,2.14,2.95,1.77,2.38,,2.47,2.15,2.06,1.73,,,1.78,,,,,,,,,,,,,
1999,2.19,2.32,1.37,2.08,4.1,2.36,2.18,,,2.19,1.8,2.07,2.22,2.73,1.77,1.63,,1.68,1.36,,2.11,2.16,2.32,2.43,2.05,2.52,,2.13,2.28,2.31,1.93,,,1.97,,,,,,,,,,,,,
2000,3.68,3.99,1.76,3.5,5.23,4.81,3.67,,,3.51,3.21,3.16,3.68,3.75,2.44,3.3,,2.84,2.26,,3.43,3.75,3.94,4.06,3.63,2.69,,3.56,4.09,3.93,3.28,,,3.34,,,,,,,,,,,,,
2001,4,4.23,1.99,4.12,4.99,6.93,3.84,,,3.28,3.66,4.78,3.99,4.15,3.47,3.93,,3.12,2.16,,3.89,5,3.53,4.54,4.03,3.66,,3.42,3.6,4.12,3.52,,,3.49,,,,,,,,,,,,,
2002,2.95,3.48,2.13,2.6,4.43,2.92,2.41,,,3.11,2.61,3.01,3.2,5.98,2.16,3.06,,2.39,1.52,,2.68,3.03,2.73,4.52,2.94,3.97,,2.95,3.41,3.16,1.99,,,2.7,,,,,,,,,,,,,
2003,4.88,5.93,2.41,4.33,5.17,5.04,4.54,,,5.41,4.33,4.54,5.64,4.5,4.01,5.13,,3.73,3.17,,4.56,5.78,3.53,5.9,4.97,4.48,,4.98,5.22,5.18,4.11,,,4.13,,,,,,,,,,,,,
2004,5.46,6.66,3.42,5.12,5.68,5.65,5.21,,,6.3,4.94,5.26,5.96,6.25,3.85,5.83,,4.51,3.22,,4.97,6.98,5.73,6.65,5.52,3.89,,5.49,6.9,5.83,5.24,,,4.96,,,,,,,,,,,,,
2005,7.33,9.28,4.75,6.86,7.26,7.45,7.43,,,9.11,6.51,6.84,8.72,7.43,5.3,8.54,,6.57,4.29,,6.91,7.78,8.4,9.03,7.21,4.25,,7.44,9.55,7.55,7.16,,,6.86,,,,,,,,,,,,,
2006,6.39,7.57,5.79,5.7,6.43,6.47,6.12,,,6.01,5.61,8.83,6.93,,,6.84,,5.53,,,6.18,7.13,6.52,7.75,6.32,,,6.4,6.78,6.6,5.49,,,5.85,,,,,,,,,,,,,
2007,6.25,7.44,5.63,5.98,6.61,6.62,4.57,,,5.78,5.69,7.35,7.02,,,6.7,,5.72,4.86,,6.88,8.85,6.67,7.59,6.24,5.27,,7.22,6.63,6.98,,,,4.65,,,,,,,,,,,,,
2008,7.97,9.65,7.39,7.09,8.72,8.38,6.94,,,7.58,6.85,8.42,8.73,,5.63,8.8,,7.5,6.22,,8.4,8.94,8.55,7.88,7.56,5.33,,7.94,8.85,8.51,6.15,,,6.86,,,,,,,,,,,,,
2009,3.67,4.32,2.93,3.19,3.43,3.96,3.21,,,4.05,3.16,,3.82,,3.92,3.73,,3.16,2.97,,4.17,4.21,3.74,4.36,3.53,4,,,3.83,3.81,3.38,,,3.4,,,,,,,,,,,,,
2010,4.48,4.46,3.17,4.11,3.84,4.87,3.96,,,4.13,4.23,4.47,4.23,,3.79,4.17,,3.64,3.98,,5.32,4.65,3.92,4.63,4.71,4.92,,,4.35,4.7,4.23,,,4.3,,,,,,,,,,,,,
2011,3.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,2.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
