INPUT_TABLE
Variable ID
GlobalTechShrwt

sector.name,subsector.name,technology,year,share.weight
industrial processes,adipic acid,adipic acid,2040,1
industrial processes,nitric acid,nitric acid,2040,1
industrial processes,foams,foams,2040,1
industrial processes,solvents,solvents,2040,1
industrial processes,HCFC_22_Prod,HCFC_22_Prod,2040,1
industrial processes,semiconductors,semiconductors,2040,1
industrial processes,Al_Mg,Al_Mg,2040,1
industrial processes,other industrial processes,other industrial processes,2040,1
urban processes,landfills,landfills,2045,1
urban processes,wastewater treatment,wastewater treatment,2045,1
urban processes,aerosols,aerosols,2045,1
urban processes,fire_exting,fire_exting,2045,1
industrial processes,adipic acid,adipic acid,2045,1
industrial processes,nitric acid,nitric acid,2045,1
industrial processes,foams,foams,2045,1
industrial processes,solvents,solvents,2045,1
industrial processes,HCFC_22_Prod,HCFC_22_Prod,2045,1
industrial processes,semiconductors,semiconductors,2045,1
industrial processes,Al_Mg,Al_Mg,2045,1
industrial processes,other industrial processes,other industrial processes,2045,1
urban processes,landfills,landfills,2050,1
urban processes,wastewater treatment,wastewater treatment,2050,1
urban processes,aerosols,aerosols,2050,1
urban processes,fire_exting,fire_exting,2050,1
industrial processes,adipic acid,adipic acid,2050,1
industrial processes,nitric acid,nitric acid,2050,1
industrial processes,foams,foams,2050,1
industrial processes,solvents,solvents,2050,1
industrial processes,HCFC_22_Prod,HCFC_22_Prod,2050,1
industrial processes,semiconductors,semiconductors,2050,1
industrial processes,Al_Mg,Al_Mg,2050,1
industrial processes,other industrial processes,other industrial processes,2050,1
urban processes,landfills,landfills,2055,1
urban processes,wastewater treatment,wastewater treatment,2055,1
urban processes,aerosols,aerosols,2055,1
urban processes,fire_exting,fire_exting,2055,1
industrial processes,adipic acid,adipic acid,2055,1
industrial processes,nitric acid,nitric acid,2055,1
industrial processes,foams,foams,2055,1
industrial processes,solvents,solvents,2055,1
industrial processes,HCFC_22_Prod,HCFC_22_Prod,2055,1
industrial processes,semiconductors,semiconductors,2055,1
industrial processes,Al_Mg,Al_Mg,2055,1
industrial processes,other industrial processes,other industrial processes,2055,1
urban processes,landfills,landfills,2060,1
urban processes,wastewater treatment,wastewater treatment,2060,1
urban processes,aerosols,aerosols,2060,1
urban processes,fire_exting,fire_exting,2060,1
industrial processes,adipic acid,adipic acid,2060,1
industrial processes,nitric acid,nitric acid,2060,1
industrial processes,foams,foams,2060,1
industrial processes,solvents,solvents,2060,1
industrial processes,HCFC_22_Prod,HCFC_22_Prod,2060,1
industrial processes,semiconductors,semiconductors,2060,1
industrial processes,Al_Mg,Al_Mg,2060,1
industrial processes,other industrial processes,other industrial processes,2060,1
urban processes,landfills,landfills,2065,1
urban processes,wastewater treatment,wastewater treatment,2065,1
urban processes,aerosols,aerosols,2065,1
urban processes,fire_exting,fire_exting,2065,1
industrial processes,adipic acid,adipic acid,2065,1
industrial processes,nitric acid,nitric acid,2065,1
industrial processes,foams,foams,2065,1
industrial processes,solvents,solvents,2065,1
industrial processes,HCFC_22_Prod,HCFC_22_Prod,2065,1
industrial processes,semiconductors,semiconductors,2065,1
industrial processes,Al_Mg,Al_Mg,2065,1
industrial processes,other industrial processes,other industrial processes,2065,1
urban processes,landfills,landfills,2070,1
urban processes,wastewater treatment,wastewater treatment,2070,1
urban processes,aerosols,aerosols,2070,1
urban processes,fire_exting,fire_exting,2070,1
industrial processes,adipic acid,adipic acid,2070,1
industrial processes,nitric acid,nitric acid,2070,1
industrial processes,foams,foams,2070,1
industrial processes,solvents,solvents,2070,1
industrial processes,HCFC_22_Prod,HCFC_22_Prod,2070,1
industrial processes,semiconductors,semiconductors,2070,1
industrial processes,Al_Mg,Al_Mg,2070,1
industrial processes,other industrial processes,other industrial processes,2070,1
urban processes,landfills,landfills,2075,1
urban processes,wastewater treatment,wastewater treatment,2075,1
urban processes,aerosols,aerosols,2075,1
urban processes,fire_exting,fire_exting,2075,1
industrial processes,adipic acid,adipic acid,2075,1
industrial processes,nitric acid,nitric acid,2075,1
industrial processes,foams,foams,2075,1
industrial processes,solvents,solvents,2075,1
industrial processes,HCFC_22_Prod,HCFC_22_Prod,2075,1
industrial processes,semiconductors,semiconductors,2075,1
industrial processes,Al_Mg,Al_Mg,2075,1
industrial processes,other industrial processes,other industrial processes,2075,1
urban processes,landfills,landfills,2080,1
urban processes,wastewater treatment,wastewater treatment,2080,1
urban processes,aerosols,aerosols,2080,1
urban processes,fire_exting,fire_exting,2080,1
industrial processes,adipic acid,adipic acid,2080,1
industrial processes,nitric acid,nitric acid,2080,1
industrial processes,foams,foams,2080,1
industrial processes,solvents,solvents,2080,1
industrial processes,HCFC_22_Prod,HCFC_22_Prod,2080,1
industrial processes,semiconductors,semiconductors,2080,1
industrial processes,Al_Mg,Al_Mg,2080,1
industrial processes,other industrial processes,other industrial processes,2080,1
urban processes,landfills,landfills,2085,1
urban processes,wastewater treatment,wastewater treatment,2085,1
urban processes,aerosols,aerosols,2085,1
urban processes,fire_exting,fire_exting,2085,1
industrial processes,adipic acid,adipic acid,2085,1
industrial processes,nitric acid,nitric acid,2085,1
industrial processes,foams,foams,2085,1
industrial processes,solvents,solvents,2085,1
industrial processes,HCFC_22_Prod,HCFC_22_Prod,2085,1
industrial processes,semiconductors,semiconductors,2085,1
industrial processes,Al_Mg,Al_Mg,2085,1
industrial processes,other industrial processes,other industrial processes,2085,1
urban processes,landfills,landfills,2090,1
urban processes,wastewater treatment,wastewater treatment,2090,1
urban processes,aerosols,aerosols,2090,1
urban processes,fire_exting,fire_exting,2090,1
industrial processes,adipic acid,adipic acid,2090,1
industrial processes,nitric acid,nitric acid,2090,1
industrial processes,foams,foams,2090,1
industrial processes,solvents,solvents,2090,1
industrial processes,HCFC_22_Prod,HCFC_22_Prod,2090,1
industrial processes,semiconductors,semiconductors,2090,1
industrial processes,Al_Mg,Al_Mg,2090,1
industrial processes,other industrial processes,other industrial processes,2090,1
urban processes,landfills,landfills,2095,1
urban processes,wastewater treatment,wastewater treatment,2095,1
urban processes,aerosols,aerosols,2095,1
urban processes,fire_exting,fire_exting,2095,1
industrial processes,adipic acid,adipic acid,2095,1
industrial processes,nitric acid,nitric acid,2095,1
industrial processes,foams,foams,2095,1
industrial processes,solvents,solvents,2095,1
industrial processes,HCFC_22_Prod,HCFC_22_Prod,2095,1
industrial processes,semiconductors,semiconductors,2095,1
industrial processes,Al_Mg,Al_Mg,2095,1
industrial processes,other industrial processes,other industrial processes,2095,1
urban processes,landfills,landfills,2100,1
urban processes,wastewater treatment,wastewater treatment,2100,1
urban processes,aerosols,aerosols,2100,1
urban processes,fire_exting,fire_exting,2100,1
industrial processes,adipic acid,adipic acid,2100,1
industrial processes,nitric acid,nitric acid,2100,1
industrial processes,foams,foams,2100,1
industrial processes,solvents,solvents,2100,1
industrial processes,HCFC_22_Prod,HCFC_22_Prod,2100,1
industrial processes,semiconductors,semiconductors,2100,1
industrial processes,Al_Mg,Al_Mg,2100,1
industrial processes,other industrial processes,other industrial processes,2100,1
