INPUT_TABLE
Variable ID
OutputEmissCoeffAg

region,AgSupplySector,AgSupplySubsector,AgProductionTechnology,year,Non.CO2,emiss.coef
Pakistan,FodderGrass,FodderGrassAEZ01,FodderGrassAEZ01,1975,BC_AWB,5e-07
South Africa,FodderGrass,FodderGrassAEZ01,FodderGrassAEZ01,1975,BC_AWB,2.5e-05
South America_Northern,FodderGrass,FodderGrassAEZ01,FodderGrassAEZ01,1975,BC_AWB,3.23e-05
South America_Southern,FodderGrass,FodderGrassAEZ01,FodderGrassAEZ01,1975,BC_AWB,6.6e-06
Africa_Eastern,FodderGrass,FodderGrassAEZ01,FodderGrassAEZ01,1975,OC_AWB,2.18e-05
Africa_Northern,FodderGrass,FodderGrassAEZ01,FodderGrassAEZ01,1975,OC_AWB,1.7e-06
Africa_Southern,FodderGrass,FodderGrassAEZ01,FodderGrassAEZ01,1975,OC_AWB,3.6e-06
Africa_Western,FodderGrass,FodderGrassAEZ01,FodderGrassAEZ01,1975,OC_AWB,2.5e-05
Australia_NZ,FodderGrass,FodderGrassAEZ01,FodderGrassAEZ01,1975,OC_AWB,0.0001693
Brazil,FodderGrass,FodderGrassAEZ01,FodderGrassAEZ01,1975,OC_AWB,2.79e-05
India,FodderGrass,FodderGrassAEZ01,FodderGrassAEZ01,1975,OC_AWB,2.46e-05
Mexico,FodderGrass,FodderGrassAEZ01,FodderGrassAEZ01,1975,OC_AWB,0.0001581
Middle East,FodderGrass,FodderGrassAEZ01,FodderGrassAEZ01,1975,OC_AWB,5.54e-05
Pakistan,FodderGrass,FodderGrassAEZ01,FodderGrassAEZ01,1975,OC_AWB,2.4e-06
South Africa,FodderGrass,FodderGrassAEZ01,FodderGrassAEZ01,1975,OC_AWB,0.0001197
South America_Northern,FodderGrass,FodderGrassAEZ01,FodderGrassAEZ01,1975,OC_AWB,0.0001547
South America_Southern,FodderGrass,FodderGrassAEZ01,FodderGrassAEZ01,1975,OC_AWB,3.14e-05
Africa_Eastern,FodderHerb,FodderHerbAEZ01,FodderHerbAEZ01,1975,BC_AWB,4.6e-06
Africa_Northern,FodderHerb,FodderHerbAEZ01,FodderHerbAEZ01,1975,BC_AWB,4e-07
Africa_Southern,FodderHerb,FodderHerbAEZ01,FodderHerbAEZ01,1975,BC_AWB,8e-07
Africa_Western,FodderHerb,FodderHerbAEZ01,FodderHerbAEZ01,1975,BC_AWB,5.2e-06
Australia_NZ,FodderHerb,FodderHerbAEZ01,FodderHerbAEZ01,1975,BC_AWB,3.54e-05
Brazil,FodderHerb,FodderHerbAEZ01,FodderHerbAEZ01,1975,BC_AWB,5.8e-06
India,FodderHerb,FodderHerbAEZ01,FodderHerbAEZ01,1975,BC_AWB,5.1e-06
Mexico,FodderHerb,FodderHerbAEZ01,FodderHerbAEZ01,1975,BC_AWB,3.31e-05
Middle East,FodderHerb,FodderHerbAEZ01,FodderHerbAEZ01,1975,BC_AWB,1.16e-05
Pakistan,FodderHerb,FodderHerbAEZ01,FodderHerbAEZ01,1975,BC_AWB,5e-07
South Africa,FodderHerb,FodderHerbAEZ01,FodderHerbAEZ01,1975,BC_AWB,2.5e-05
South America_Northern,FodderHerb,FodderHerbAEZ01,FodderHerbAEZ01,1975,BC_AWB,3.23e-05
South America_Southern,FodderHerb,FodderHerbAEZ01,FodderHerbAEZ01,1975,BC_AWB,6.6e-06
Africa_Eastern,FodderHerb,FodderHerbAEZ01,FodderHerbAEZ01,1975,OC_AWB,2.18e-05
Africa_Northern,FodderHerb,FodderHerbAEZ01,FodderHerbAEZ01,1975,OC_AWB,1.7e-06
Africa_Southern,FodderHerb,FodderHerbAEZ01,FodderHerbAEZ01,1975,OC_AWB,3.6e-06
Africa_Western,FodderHerb,FodderHerbAEZ01,FodderHerbAEZ01,1975,OC_AWB,2.5e-05
Australia_NZ,FodderHerb,FodderHerbAEZ01,FodderHerbAEZ01,1975,OC_AWB,0.0001693
Brazil,FodderHerb,FodderHerbAEZ01,FodderHerbAEZ01,1975,OC_AWB,2.79e-05
India,FodderHerb,FodderHerbAEZ01,FodderHerbAEZ01,1975,OC_AWB,2.46e-05
Mexico,FodderHerb,FodderHerbAEZ01,FodderHerbAEZ01,1975,OC_AWB,0.0001581
Middle East,FodderHerb,FodderHerbAEZ01,FodderHerbAEZ01,1975,OC_AWB,5.54e-05
Pakistan,FodderHerb,FodderHerbAEZ01,FodderHerbAEZ01,1975,OC_AWB,2.4e-06
South Africa,FodderHerb,FodderHerbAEZ01,FodderHerbAEZ01,1975,OC_AWB,0.0001197
South America_Northern,FodderHerb,FodderHerbAEZ01,FodderHerbAEZ01,1975,OC_AWB,0.0001547
South America_Southern,FodderHerb,FodderHerbAEZ01,FodderHerbAEZ01,1975,OC_AWB,3.14e-05
Africa_Eastern,MiscCrop,MiscCropAEZ01,MiscCropAEZ01,1975,BC_AWB,4.6e-06
Africa_Northern,MiscCrop,MiscCropAEZ01,MiscCropAEZ01,1975,BC_AWB,4e-07
Africa_Southern,MiscCrop,MiscCropAEZ01,MiscCropAEZ01,1975,BC_AWB,8e-07
Africa_Western,MiscCrop,MiscCropAEZ01,MiscCropAEZ01,1975,BC_AWB,5.2e-06
Australia_NZ,MiscCrop,MiscCropAEZ01,MiscCropAEZ01,1975,BC_AWB,3.54e-05
Brazil,MiscCrop,MiscCropAEZ01,MiscCropAEZ01,1975,BC_AWB,5.8e-06
India,MiscCrop,MiscCropAEZ01,MiscCropAEZ01,1975,BC_AWB,5.1e-06
Mexico,MiscCrop,MiscCropAEZ01,MiscCropAEZ01,1975,BC_AWB,3.31e-05
Middle East,MiscCrop,MiscCropAEZ01,MiscCropAEZ01,1975,BC_AWB,1.16e-05
Pakistan,MiscCrop,MiscCropAEZ01,MiscCropAEZ01,1975,BC_AWB,5e-07
South Africa,MiscCrop,MiscCropAEZ01,MiscCropAEZ01,1975,BC_AWB,2.5e-05
South America_Northern,MiscCrop,MiscCropAEZ01,MiscCropAEZ01,1975,BC_AWB,3.23e-05
South America_Southern,MiscCrop,MiscCropAEZ01,MiscCropAEZ01,1975,BC_AWB,6.6e-06
Africa_Eastern,MiscCrop,MiscCropAEZ01,MiscCropAEZ01,1975,OC_AWB,2.18e-05
Africa_Northern,MiscCrop,MiscCropAEZ01,MiscCropAEZ01,1975,OC_AWB,1.7e-06
Africa_Southern,MiscCrop,MiscCropAEZ01,MiscCropAEZ01,1975,OC_AWB,3.6e-06
Africa_Western,MiscCrop,MiscCropAEZ01,MiscCropAEZ01,1975,OC_AWB,2.5e-05
Australia_NZ,MiscCrop,MiscCropAEZ01,MiscCropAEZ01,1975,OC_AWB,0.0001693
Brazil,MiscCrop,MiscCropAEZ01,MiscCropAEZ01,1975,OC_AWB,2.79e-05
India,MiscCrop,MiscCropAEZ01,MiscCropAEZ01,1975,OC_AWB,2.46e-05
Mexico,MiscCrop,MiscCropAEZ01,MiscCropAEZ01,1975,OC_AWB,0.0001581
Middle East,MiscCrop,MiscCropAEZ01,MiscCropAEZ01,1975,OC_AWB,5.54e-05
Pakistan,MiscCrop,MiscCropAEZ01,MiscCropAEZ01,1975,OC_AWB,2.4e-06
South Africa,MiscCrop,MiscCropAEZ01,MiscCropAEZ01,1975,OC_AWB,0.0001197
South America_Northern,MiscCrop,MiscCropAEZ01,MiscCropAEZ01,1975,OC_AWB,0.0001547
South America_Southern,MiscCrop,MiscCropAEZ01,MiscCropAEZ01,1975,OC_AWB,3.14e-05
Africa_Eastern,OilCrop,OilCropAEZ01,OilCropAEZ01,1975,BC_AWB,4.6e-06
Africa_Northern,OilCrop,OilCropAEZ01,OilCropAEZ01,1975,BC_AWB,4e-07
Africa_Southern,OilCrop,OilCropAEZ01,OilCropAEZ01,1975,BC_AWB,8e-07
Africa_Western,OilCrop,OilCropAEZ01,OilCropAEZ01,1975,BC_AWB,5.2e-06
Australia_NZ,OilCrop,OilCropAEZ01,OilCropAEZ01,1975,BC_AWB,3.54e-05
Brazil,OilCrop,OilCropAEZ01,OilCropAEZ01,1975,BC_AWB,5.8e-06
India,OilCrop,OilCropAEZ01,OilCropAEZ01,1975,BC_AWB,5.1e-06
Mexico,OilCrop,OilCropAEZ01,OilCropAEZ01,1975,BC_AWB,3.31e-05
Middle East,OilCrop,OilCropAEZ01,OilCropAEZ01,1975,BC_AWB,1.16e-05
Pakistan,OilCrop,OilCropAEZ01,OilCropAEZ01,1975,BC_AWB,5e-07
South Africa,OilCrop,OilCropAEZ01,OilCropAEZ01,1975,BC_AWB,2.5e-05
South America_Northern,OilCrop,OilCropAEZ01,OilCropAEZ01,1975,BC_AWB,3.23e-05
South America_Southern,OilCrop,OilCropAEZ01,OilCropAEZ01,1975,BC_AWB,6.6e-06
Africa_Eastern,OilCrop,OilCropAEZ01,OilCropAEZ01,1975,OC_AWB,2.18e-05
Africa_Northern,OilCrop,OilCropAEZ01,OilCropAEZ01,1975,OC_AWB,1.7e-06
Africa_Southern,OilCrop,OilCropAEZ01,OilCropAEZ01,1975,OC_AWB,3.6e-06
Africa_Western,OilCrop,OilCropAEZ01,OilCropAEZ01,1975,OC_AWB,2.5e-05
Australia_NZ,OilCrop,OilCropAEZ01,OilCropAEZ01,1975,OC_AWB,0.0001693
Brazil,OilCrop,OilCropAEZ01,OilCropAEZ01,1975,OC_AWB,2.79e-05
India,OilCrop,OilCropAEZ01,OilCropAEZ01,1975,OC_AWB,2.46e-05
Mexico,OilCrop,OilCropAEZ01,OilCropAEZ01,1975,OC_AWB,0.0001581
Middle East,OilCrop,OilCropAEZ01,OilCropAEZ01,1975,OC_AWB,5.54e-05
Pakistan,OilCrop,OilCropAEZ01,OilCropAEZ01,1975,OC_AWB,2.4e-06
South Africa,OilCrop,OilCropAEZ01,OilCropAEZ01,1975,OC_AWB,0.0001197
South America_Northern,OilCrop,OilCropAEZ01,OilCropAEZ01,1975,OC_AWB,0.0001547
South America_Southern,OilCrop,OilCropAEZ01,OilCropAEZ01,1975,OC_AWB,3.14e-05
Africa_Eastern,OtherGrain,OtherGrainAEZ01,OtherGrainAEZ01,1975,BC_AWB,4.6e-06
Africa_Northern,OtherGrain,OtherGrainAEZ01,OtherGrainAEZ01,1975,BC_AWB,4e-07
Africa_Southern,OtherGrain,OtherGrainAEZ01,OtherGrainAEZ01,1975,BC_AWB,8e-07
Africa_Western,OtherGrain,OtherGrainAEZ01,OtherGrainAEZ01,1975,BC_AWB,5.2e-06
Australia_NZ,OtherGrain,OtherGrainAEZ01,OtherGrainAEZ01,1975,BC_AWB,3.54e-05
Brazil,OtherGrain,OtherGrainAEZ01,OtherGrainAEZ01,1975,BC_AWB,5.8e-06
India,OtherGrain,OtherGrainAEZ01,OtherGrainAEZ01,1975,BC_AWB,5.1e-06
Mexico,OtherGrain,OtherGrainAEZ01,OtherGrainAEZ01,1975,BC_AWB,3.31e-05
Middle East,OtherGrain,OtherGrainAEZ01,OtherGrainAEZ01,1975,BC_AWB,1.16e-05
Pakistan,OtherGrain,OtherGrainAEZ01,OtherGrainAEZ01,1975,BC_AWB,5e-07
South Africa,OtherGrain,OtherGrainAEZ01,OtherGrainAEZ01,1975,BC_AWB,2.5e-05
South America_Northern,OtherGrain,OtherGrainAEZ01,OtherGrainAEZ01,1975,BC_AWB,3.23e-05
South America_Southern,OtherGrain,OtherGrainAEZ01,OtherGrainAEZ01,1975,BC_AWB,6.6e-06
Africa_Eastern,OtherGrain,OtherGrainAEZ01,OtherGrainAEZ01,1975,OC_AWB,2.18e-05
Africa_Northern,OtherGrain,OtherGrainAEZ01,OtherGrainAEZ01,1975,OC_AWB,1.7e-06
Africa_Southern,OtherGrain,OtherGrainAEZ01,OtherGrainAEZ01,1975,OC_AWB,3.6e-06
Africa_Western,OtherGrain,OtherGrainAEZ01,OtherGrainAEZ01,1975,OC_AWB,2.5e-05
Australia_NZ,OtherGrain,OtherGrainAEZ01,OtherGrainAEZ01,1975,OC_AWB,0.0001693
Brazil,OtherGrain,OtherGrainAEZ01,OtherGrainAEZ01,1975,OC_AWB,2.79e-05
India,OtherGrain,OtherGrainAEZ01,OtherGrainAEZ01,1975,OC_AWB,2.46e-05
Mexico,OtherGrain,OtherGrainAEZ01,OtherGrainAEZ01,1975,OC_AWB,0.0001581
Middle East,OtherGrain,OtherGrainAEZ01,OtherGrainAEZ01,1975,OC_AWB,5.54e-05
Pakistan,OtherGrain,OtherGrainAEZ01,OtherGrainAEZ01,1975,OC_AWB,2.4e-06
South Africa,OtherGrain,OtherGrainAEZ01,OtherGrainAEZ01,1975,OC_AWB,0.0001197
South America_Northern,OtherGrain,OtherGrainAEZ01,OtherGrainAEZ01,1975,OC_AWB,0.0001547
South America_Southern,OtherGrain,OtherGrainAEZ01,OtherGrainAEZ01,1975,OC_AWB,3.14e-05
Africa_Eastern,PalmFruit,PalmFruitAEZ01,PalmFruitAEZ01,1975,BC_AWB,4.6e-06
Africa_Northern,PalmFruit,PalmFruitAEZ01,PalmFruitAEZ01,1975,BC_AWB,4e-07
Africa_Southern,PalmFruit,PalmFruitAEZ01,PalmFruitAEZ01,1975,BC_AWB,8e-07
Africa_Western,PalmFruit,PalmFruitAEZ01,PalmFruitAEZ01,1975,BC_AWB,5.2e-06
Australia_NZ,PalmFruit,PalmFruitAEZ01,PalmFruitAEZ01,1975,BC_AWB,3.54e-05
Brazil,PalmFruit,PalmFruitAEZ01,PalmFruitAEZ01,1975,BC_AWB,5.8e-06
India,PalmFruit,PalmFruitAEZ01,PalmFruitAEZ01,1975,BC_AWB,5.1e-06
Mexico,PalmFruit,PalmFruitAEZ01,PalmFruitAEZ01,1975,BC_AWB,3.31e-05
Middle East,PalmFruit,PalmFruitAEZ01,PalmFruitAEZ01,1975,BC_AWB,1.16e-05
Pakistan,PalmFruit,PalmFruitAEZ01,PalmFruitAEZ01,1975,BC_AWB,5e-07
South Africa,PalmFruit,PalmFruitAEZ01,PalmFruitAEZ01,1975,BC_AWB,2.5e-05
South America_Northern,PalmFruit,PalmFruitAEZ01,PalmFruitAEZ01,1975,BC_AWB,3.23e-05
South America_Southern,PalmFruit,PalmFruitAEZ01,PalmFruitAEZ01,1975,BC_AWB,6.6e-06
Africa_Eastern,PalmFruit,PalmFruitAEZ01,PalmFruitAEZ01,1975,OC_AWB,2.18e-05
Africa_Northern,PalmFruit,PalmFruitAEZ01,PalmFruitAEZ01,1975,OC_AWB,1.7e-06
Africa_Southern,PalmFruit,PalmFruitAEZ01,PalmFruitAEZ01,1975,OC_AWB,3.6e-06
Africa_Western,PalmFruit,PalmFruitAEZ01,PalmFruitAEZ01,1975,OC_AWB,2.5e-05
Australia_NZ,PalmFruit,PalmFruitAEZ01,PalmFruitAEZ01,1975,OC_AWB,0.0001693
Brazil,PalmFruit,PalmFruitAEZ01,PalmFruitAEZ01,1975,OC_AWB,2.79e-05
India,PalmFruit,PalmFruitAEZ01,PalmFruitAEZ01,1975,OC_AWB,2.46e-05
Mexico,PalmFruit,PalmFruitAEZ01,PalmFruitAEZ01,1975,OC_AWB,0.0001581
Middle East,PalmFruit,PalmFruitAEZ01,PalmFruitAEZ01,1975,OC_AWB,5.54e-05
Pakistan,PalmFruit,PalmFruitAEZ01,PalmFruitAEZ01,1975,OC_AWB,2.4e-06
South Africa,PalmFruit,PalmFruitAEZ01,PalmFruitAEZ01,1975,OC_AWB,0.0001197
South America_Northern,PalmFruit,PalmFruitAEZ01,PalmFruitAEZ01,1975,OC_AWB,0.0001547
South America_Southern,PalmFruit,PalmFruitAEZ01,PalmFruitAEZ01,1975,OC_AWB,3.14e-05
Africa_Eastern,Rice,RiceAEZ01,RiceAEZ01,1975,BC_AWB,4.6e-06
Africa_Northern,Rice,RiceAEZ01,RiceAEZ01,1975,BC_AWB,4e-07
Africa_Southern,Rice,RiceAEZ01,RiceAEZ01,1975,BC_AWB,8e-07
Africa_Western,Rice,RiceAEZ01,RiceAEZ01,1975,BC_AWB,5.2e-06
Australia_NZ,Rice,RiceAEZ01,RiceAEZ01,1975,BC_AWB,3.54e-05
Brazil,Rice,RiceAEZ01,RiceAEZ01,1975,BC_AWB,5.8e-06
India,Rice,RiceAEZ01,RiceAEZ01,1975,BC_AWB,5.1e-06
Mexico,Rice,RiceAEZ01,RiceAEZ01,1975,BC_AWB,3.31e-05
Middle East,Rice,RiceAEZ01,RiceAEZ01,1975,BC_AWB,1.16e-05
Pakistan,Rice,RiceAEZ01,RiceAEZ01,1975,BC_AWB,5e-07
South Africa,Rice,RiceAEZ01,RiceAEZ01,1975,BC_AWB,2.5e-05
South America_Northern,Rice,RiceAEZ01,RiceAEZ01,1975,BC_AWB,3.23e-05
South America_Southern,Rice,RiceAEZ01,RiceAEZ01,1975,BC_AWB,6.6e-06
Africa_Eastern,Rice,RiceAEZ01,RiceAEZ01,1975,OC_AWB,2.18e-05
Africa_Northern,Rice,RiceAEZ01,RiceAEZ01,1975,OC_AWB,1.7e-06
Africa_Southern,Rice,RiceAEZ01,RiceAEZ01,1975,OC_AWB,3.6e-06
Africa_Western,Rice,RiceAEZ01,RiceAEZ01,1975,OC_AWB,2.5e-05
Australia_NZ,Rice,RiceAEZ01,RiceAEZ01,1975,OC_AWB,0.0001693
Brazil,Rice,RiceAEZ01,RiceAEZ01,1975,OC_AWB,2.79e-05
India,Rice,RiceAEZ01,RiceAEZ01,1975,OC_AWB,2.46e-05
Mexico,Rice,RiceAEZ01,RiceAEZ01,1975,OC_AWB,0.0001581
Middle East,Rice,RiceAEZ01,RiceAEZ01,1975,OC_AWB,5.54e-05
Pakistan,Rice,RiceAEZ01,RiceAEZ01,1975,OC_AWB,2.4e-06
South Africa,Rice,RiceAEZ01,RiceAEZ01,1975,OC_AWB,0.0001197
South America_Northern,Rice,RiceAEZ01,RiceAEZ01,1975,OC_AWB,0.0001547
South America_Southern,Rice,RiceAEZ01,RiceAEZ01,1975,OC_AWB,3.14e-05
Africa_Eastern,Root_Tuber,Root_TuberAEZ01,Root_TuberAEZ01,1975,BC_AWB,4.6e-06
Africa_Northern,Root_Tuber,Root_TuberAEZ01,Root_TuberAEZ01,1975,BC_AWB,4e-07
Africa_Southern,Root_Tuber,Root_TuberAEZ01,Root_TuberAEZ01,1975,BC_AWB,8e-07
Africa_Western,Root_Tuber,Root_TuberAEZ01,Root_TuberAEZ01,1975,BC_AWB,5.2e-06
Australia_NZ,Root_Tuber,Root_TuberAEZ01,Root_TuberAEZ01,1975,BC_AWB,3.54e-05
Brazil,Root_Tuber,Root_TuberAEZ01,Root_TuberAEZ01,1975,BC_AWB,5.8e-06
India,Root_Tuber,Root_TuberAEZ01,Root_TuberAEZ01,1975,BC_AWB,5.1e-06
Mexico,Root_Tuber,Root_TuberAEZ01,Root_TuberAEZ01,1975,BC_AWB,3.31e-05
Middle East,Root_Tuber,Root_TuberAEZ01,Root_TuberAEZ01,1975,BC_AWB,1.16e-05
Pakistan,Root_Tuber,Root_TuberAEZ01,Root_TuberAEZ01,1975,BC_AWB,5e-07
South Africa,Root_Tuber,Root_TuberAEZ01,Root_TuberAEZ01,1975,BC_AWB,2.5e-05
South America_Northern,Root_Tuber,Root_TuberAEZ01,Root_TuberAEZ01,1975,BC_AWB,3.23e-05
South America_Southern,Root_Tuber,Root_TuberAEZ01,Root_TuberAEZ01,1975,BC_AWB,6.6e-06
Africa_Eastern,Root_Tuber,Root_TuberAEZ01,Root_TuberAEZ01,1975,OC_AWB,2.18e-05
