INPUT_TABLE
Variable ID
ResEmissCoef

region,subsector,Non.CO2,emiss.coef
Southeast Asia,crude oil,NMVOC,0.0773486
Southeast Asia,natural gas,NMVOC,0.0773486
Southeast Asia,coal,NOx,0.0009892
Southeast Asia,crude oil,NOx,0.0003799
Southeast Asia,natural gas,NOx,0.0003799
Taiwan,coal,CO,0
Taiwan,crude oil,CO,0
Taiwan,natural gas,CO,0
Taiwan,coal,NH3,0
Taiwan,crude oil,NH3,0
Taiwan,natural gas,NH3,0
Taiwan,coal,NMVOC,0
Taiwan,crude oil,NMVOC,4.4721508
Taiwan,natural gas,NMVOC,4.4721508
Taiwan,coal,NOx,0
Taiwan,crude oil,NOx,0
Taiwan,natural gas,NOx,0
Argentina,coal,CO,272.9615851
Argentina,crude oil,CO,0.0009388
Argentina,natural gas,CO,0.0009388
Argentina,coal,NH3,0
Argentina,crude oil,NH3,0
Argentina,natural gas,NH3,0
Argentina,coal,NMVOC,89.5505551
Argentina,crude oil,NMVOC,0.0597125
Argentina,natural gas,NMVOC,0.0597125
Argentina,coal,NOx,0.2474213
Argentina,crude oil,NOx,0.0001708
Argentina,natural gas,NOx,0.0001708
Colombia,coal,CO,0.1228665
Colombia,crude oil,CO,0.0018122
Colombia,natural gas,CO,0.0018122
Colombia,coal,NH3,0
Colombia,crude oil,NH3,0
Colombia,natural gas,NH3,0
Colombia,coal,NMVOC,0.0525145
Colombia,crude oil,NMVOC,0.0824386
Colombia,natural gas,NMVOC,0.0824386
Colombia,coal,NOx,8.79e-05
Colombia,crude oil,NOx,0.000329
Colombia,natural gas,NOx,0.000329
