INPUT_TABLE
Variable ID
ResEmissCoef

region,subsector,Non.CO2,input.emissions
Mexico,natural gas,CH4,0.1662567
Mexico,coal,N2O,0.0001998
Mexico,crude oil,N2O,6.9e-06
Mexico,natural gas,N2O,6.9e-06
Middle East,coal,CH4,1.0397762
Middle East,crude oil,CH4,0.1485916
Middle East,natural gas,CH4,0.1485916
Middle East,coal,N2O,0.0007711
Middle East,crude oil,N2O,1.5e-05
Middle East,natural gas,N2O,1.5e-05
Pakistan,coal,CH4,0.9662745
Pakistan,crude oil,CH4,1.1087967
Pakistan,natural gas,CH4,1.1087967
Pakistan,coal,N2O,0.0003896
Pakistan,crude oil,N2O,2.23e-05
Pakistan,natural gas,N2O,2.23e-05
Russia,coal,CH4,0.3878445
Russia,crude oil,CH4,0.3692103
Russia,natural gas,CH4,0.3692103
Russia,coal,N2O,1.3e-06
Russia,crude oil,N2O,3.84e-05
Russia,natural gas,N2O,3.84e-05
South Africa,coal,CH4,0.2180424
South Africa,crude oil,CH4,0.7739744
South Africa,natural gas,CH4,0.7739744
South Africa,coal,N2O,3.36e-05
South Africa,crude oil,N2O,0
South Africa,natural gas,N2O,0
South America_Northern,coal,CH4,0.5805645
South America_Northern,crude oil,CH4,0.1346931
South America_Northern,natural gas,CH4,0.1346931
South America_Northern,coal,N2O,1.06e-05
South America_Northern,crude oil,N2O,1.02e-05
South America_Northern,natural gas,N2O,1.02e-05
South America_Southern,coal,CH4,6.2006148
South America_Southern,crude oil,CH4,0.319083
South America_Southern,natural gas,CH4,0.319083
South America_Southern,coal,N2O,0.0076677
South America_Southern,crude oil,N2O,2.54e-05
South America_Southern,natural gas,N2O,2.54e-05
South Asia,coal,CH4,4.463689
South Asia,crude oil,CH4,0.41569
South Asia,natural gas,CH4,0.41569
South Asia,coal,N2O,0.0048377
South Asia,crude oil,N2O,5e-07
South Asia,natural gas,N2O,5e-07
South Korea,coal,CH4,0.9570004
South Korea,crude oil,CH4,4.832953
South Korea,natural gas,CH4,4.832953
South Korea,coal,N2O,2.35e-05
South Korea,crude oil,N2O,0
South Korea,natural gas,N2O,0
Southeast Asia,coal,CH4,1.0085237
Southeast Asia,crude oil,CH4,0.2795336
Southeast Asia,natural gas,CH4,0.2795336
Southeast Asia,coal,N2O,0.0004144
Southeast Asia,crude oil,N2O,9.9e-06
Southeast Asia,natural gas,N2O,9.9e-06
Taiwan,coal,CH4,0
Taiwan,crude oil,CH4,2.282339
Taiwan,natural gas,CH4,2.282339
Taiwan,coal,N2O,0
Taiwan,crude oil,N2O,1e-07
Taiwan,natural gas,N2O,1e-07
Argentina,coal,CH4,62.4140233
Argentina,crude oil,CH4,0.246237
Argentina,natural gas,CH4,0.246237
Argentina,coal,N2O,0.0817288
Argentina,crude oil,N2O,5e-06
Argentina,natural gas,N2O,5e-06
Colombia,coal,CH4,0.1060269
Colombia,crude oil,CH4,0.2302594
Colombia,natural gas,CH4,0.2302594
Colombia,coal,N2O,3.69e-05
Colombia,crude oil,N2O,9.4e-06
Colombia,natural gas,N2O,9.4e-06
