# File: en_construction.csv
# Title: construction energy use by region
# Units: Thousand tonnes
# Description: Regional construction production
# Source: IEA
# Column types: ciccnic
# ----------
region,GCAM_region_ID,flow,fuel,value,year,unit
Europe_Eastern,14,CONSTRUC,electricity,87,2015,ktoe
Europe_Eastern,14,CONSTRUC,gas,43,2015,ktoe
Europe_Eastern,14,CONSTRUC,heat,16,2015,ktoe
Europe_Eastern,14,CONSTRUC,refined liquids,259,2015,ktoe
Europe_Non_EU,15,CONSTRUC,biomass_tradbio,0,2015,ktoe
Europe_Non_EU,15,CONSTRUC,coal,4,2015,ktoe
Europe_Non_EU,15,CONSTRUC,electricity,323,2015,ktoe
Europe_Non_EU,15,CONSTRUC,gas,296,2015,ktoe
Europe_Non_EU,15,CONSTRUC,heat,0,2015,ktoe
Europe_Non_EU,15,CONSTRUC,refined liquids,326,2015,ktoe
European Free Trade Association,16,CONSTRUC,biomass_tradbio,67,2015,ktoe
European Free Trade Association,16,CONSTRUC,coal,0,2015,ktoe
European Free Trade Association,16,CONSTRUC,electricity,158,2015,ktoe
European Free Trade Association,16,CONSTRUC,gas,15,2015,ktoe
European Free Trade Association,16,CONSTRUC,heat,15,2015,ktoe
European Free Trade Association,16,CONSTRUC,refined liquids,316,2015,ktoe
India,17,CONSTRUC,electricity,41,2015,ktoe
India,17,CONSTRUC,refined liquids,320,2015,ktoe
Indonesia,18,CONSTRUC,refined liquids,505,2015,ktoe
Japan,19,CONSTRUC,electricity,535,2015,ktoe
Japan,19,CONSTRUC,gas,65,2015,ktoe
Japan,19,CONSTRUC,refined liquids,1382,2015,ktoe
Mexico,20,CONSTRUC,electricity,45,2015,ktoe
Mexico,20,CONSTRUC,refined liquids,261,2015,ktoe
Middle East,21,CONSTRUC,electricity,0,2015,ktoe
Russia,23,CONSTRUC,biomass,0,2015,ktoe
Russia,23,CONSTRUC,biomass_tradbio,2,2015,ktoe
Russia,23,CONSTRUC,coal,68,2015,ktoe
Russia,23,CONSTRUC,electricity,1044,2015,ktoe
Russia,23,CONSTRUC,gas,2261,2015,ktoe
Russia,23,CONSTRUC,heat,668,2015,ktoe
Russia,23,CONSTRUC,refined liquids,1116,2015,ktoe
South Africa,24,CONSTRUC,electricity,9,2015,ktoe
South Africa,24,CONSTRUC,refined liquids,106,2015,ktoe
South America_Northern,25,CONSTRUC,refined liquids,9.28837042,2015,ktoe
South America_Southern,26,CONSTRUC,biomass_tradbio,1,2015,ktoe
South America_Southern,26,CONSTRUC,electricity,18,2015,ktoe
South America_Southern,26,CONSTRUC,gas,0,2015,ktoe
South America_Southern,26,CONSTRUC,refined liquids,100,2015,ktoe
South Asia,27,CONSTRUC,gas,0,2015,ktoe
South Korea,28,CONSTRUC,biomass,26,2015,ktoe
South Korea,28,CONSTRUC,gas,8,2015,ktoe
South Korea,28,CONSTRUC,refined liquids,822,2015,ktoe
Southeast Asia,29,CONSTRUC,electricity,319,2015,ktoe
Southeast Asia,29,CONSTRUC,gas,5,2015,ktoe
Southeast Asia,29,CONSTRUC,refined biofuels_FT,2,2015,ktoe
Southeast Asia,29,CONSTRUC,refined liquids,957,2015,ktoe
Taiwan,30,CONSTRUC,electricity,54,2015,ktoe
Taiwan,30,CONSTRUC,refined liquids,51,2015,ktoe
Colombia,32,CONSTRUC,electricity,8,2015,ktoe
Colombia,32,CONSTRUC,gas,0,2015,ktoe
Colombia,32,CONSTRUC,refined liquids,1,2015,ktoe
USA,1,CONSTRUC,Hydrogen,0,2015,ktoe
Africa_Eastern,2,CONSTRUC,Hydrogen,0,2015,ktoe
Africa_Northern,3,CONSTRUC,Hydrogen,0,2015,ktoe
Africa_Southern,4,CONSTRUC,Hydrogen,0,2015,ktoe
Africa_Western,5,CONSTRUC,Hydrogen,0,2015,ktoe
Australia_NZ,6,CONSTRUC,Hydrogen,0,2015,ktoe
Brazil,7,CONSTRUC,Hydrogen,0,2015,ktoe
Canada,8,CONSTRUC,Hydrogen,0,2015,ktoe
Central America and Caribbean,9,CONSTRUC,Hydrogen,0,2015,ktoe
Central Asia,10,CONSTRUC,Hydrogen,0,2015,ktoe
China,11,CONSTRUC,Hydrogen,0,2015,ktoe
EU-12,12,CONSTRUC,Hydrogen,0,2015,ktoe
EU-15,13,CONSTRUC,Hydrogen,0,2015,ktoe
Europe_Eastern,14,CONSTRUC,Hydrogen,0,2015,ktoe
Europe_Non_EU,15,CONSTRUC,Hydrogen,0,2015,ktoe
European Free Trade Association,16,CONSTRUC,Hydrogen,0,2015,ktoe
India,17,CONSTRUC,Hydrogen,0,2015,ktoe
Indonesia,18,CONSTRUC,Hydrogen,0,2015,ktoe
Japan,19,CONSTRUC,Hydrogen,0,2015,ktoe
Mexico,20,CONSTRUC,Hydrogen,0,2015,ktoe
Middle East,21,CONSTRUC,Hydrogen,0,2015,ktoe
Pakistan,22,CONSTRUC,Hydrogen,0,2015,ktoe
Russia,23,CONSTRUC,Hydrogen,0,2015,ktoe
South Africa,24,CONSTRUC,Hydrogen,0,2015,ktoe
South America_Northern,25,CONSTRUC,Hydrogen,0,2015,ktoe
South America_Southern,26,CONSTRUC,Hydrogen,0,2015,ktoe
South Asia,27,CONSTRUC,Hydrogen,0,2015,ktoe
South Korea,28,CONSTRUC,Hydrogen,0,2015,ktoe
Southeast Asia,29,CONSTRUC,Hydrogen,0,2015,ktoe
Taiwan,30,CONSTRUC,Hydrogen,0,2015,ktoe
Argentina,31,CONSTRUC,Hydrogen,0,2015,ktoe
Colombia,32,CONSTRUC,Hydrogen,0,2015,ktoe
