# File: en_mining.csv
# Title: mining energy use by region
# Units: Thousand tonnes
# Description: Regional mining production
# Source: IEA
# Column types: ciccnic
# ----------
region,GCAM_region_ID,flow,fuel,value,year,unit
Africa_Southern,4,MINING,electricity,131,1994,ktoe
Africa_Southern,4,MINING,electricity,137,1995,ktoe
Africa_Southern,4,MINING,electricity,137,1996,ktoe
Africa_Southern,4,MINING,electricity,147,1997,ktoe
Africa_Southern,4,MINING,electricity,204,1998,ktoe
Africa_Southern,4,MINING,electricity,206,1999,ktoe
Africa_Southern,4,MINING,electricity,236,2000,ktoe
Africa_Southern,4,MINING,electricity,244,2001,ktoe
Africa_Southern,4,MINING,electricity,255,2002,ktoe
Africa_Southern,4,MINING,electricity,216,2003,ktoe
Africa_Southern,4,MINING,electricity,255,2004,ktoe
Africa_Southern,4,MINING,electricity,262,2005,ktoe
Africa_Southern,4,MINING,electricity,280,2006,ktoe
Africa_Southern,4,MINING,electricity,256,2007,ktoe
Africa_Southern,4,MINING,electricity,227,2008,ktoe
Africa_Southern,4,MINING,electricity,221,2009,ktoe
Africa_Southern,4,MINING,electricity,235,2010,ktoe
Africa_Southern,4,MINING,electricity,249,2011,ktoe
Africa_Southern,4,MINING,electricity,247,2012,ktoe
Africa_Southern,4,MINING,electricity,273,2013,ktoe
Africa_Southern,4,MINING,electricity,296.0961476,2014,ktoe
Africa_Southern,4,MINING,electricity,296.0957768,2015,ktoe
Africa_Southern,4,MINING,refined liquids,53,1980,ktoe
Africa_Southern,4,MINING,refined liquids,69,1981,ktoe
Africa_Southern,4,MINING,refined liquids,59,1982,ktoe
Africa_Southern,4,MINING,refined liquids,59,1983,ktoe
Africa_Southern,4,MINING,refined liquids,59,1984,ktoe
Africa_Southern,4,MINING,refined liquids,78,1985,ktoe
Africa_Southern,4,MINING,refined liquids,92,1986,ktoe
Africa_Southern,4,MINING,refined liquids,100,1987,ktoe
Africa_Southern,4,MINING,refined liquids,92,1988,ktoe
Africa_Southern,4,MINING,refined liquids,121,1989,ktoe
Africa_Southern,4,MINING,refined liquids,113,1990,ktoe
Africa_Southern,4,MINING,refined liquids,107,1991,ktoe
Africa_Southern,4,MINING,refined liquids,174,1992,ktoe
Africa_Southern,4,MINING,refined liquids,160,1993,ktoe
Africa_Southern,4,MINING,refined liquids,98,1994,ktoe
Africa_Southern,4,MINING,refined liquids,110,1995,ktoe
Africa_Southern,4,MINING,refined liquids,140,1996,ktoe
Africa_Southern,4,MINING,refined liquids,170,1997,ktoe
Africa_Southern,4,MINING,refined liquids,162,1998,ktoe
Africa_Southern,4,MINING,refined liquids,165,1999,ktoe
Africa_Southern,4,MINING,refined liquids,189,2000,ktoe
Africa_Southern,4,MINING,refined liquids,189,2001,ktoe
Africa_Southern,4,MINING,refined liquids,227,2002,ktoe
Africa_Southern,4,MINING,refined liquids,243,2003,ktoe
Africa_Southern,4,MINING,refined liquids,215,2004,ktoe
Africa_Southern,4,MINING,refined liquids,217,2005,ktoe
Africa_Southern,4,MINING,refined liquids,223,2006,ktoe
Africa_Southern,4,MINING,refined liquids,253,2007,ktoe
Africa_Southern,4,MINING,refined liquids,300,2008,ktoe
Africa_Southern,4,MINING,refined liquids,315,2009,ktoe
Africa_Southern,4,MINING,refined liquids,343.1330964,2010,ktoe
Africa_Southern,4,MINING,refined liquids,415.3062539,2011,ktoe
Africa_Southern,4,MINING,refined liquids,481.577948,2012,ktoe
Africa_Southern,4,MINING,refined liquids,467.4627346,2013,ktoe
Africa_Southern,4,MINING,refined liquids,484.3457429,2014,ktoe
Africa_Southern,4,MINING,refined liquids,489.9381628,2015,ktoe
Africa_Western,5,MINING,biomass_tradbio,8,2010,ktoe
Africa_Western,5,MINING,biomass_tradbio,13,2011,ktoe
Africa_Western,5,MINING,biomass_tradbio,12,2012,ktoe
Africa_Western,5,MINING,biomass_tradbio,18,2013,ktoe
Africa_Western,5,MINING,biomass_tradbio,21,2014,ktoe
Africa_Western,5,MINING,biomass_tradbio,18,2015,ktoe
Africa_Western,5,MINING,electricity,17,1971,ktoe
Africa_Western,5,MINING,electricity,19,1972,ktoe
Africa_Western,5,MINING,electricity,22,1973,ktoe
Africa_Western,5,MINING,electricity,1,1975,ktoe
Africa_Western,5,MINING,electricity,1,1976,ktoe
Africa_Western,5,MINING,electricity,1,1978,ktoe
Africa_Western,5,MINING,electricity,2,1979,ktoe
Africa_Western,5,MINING,electricity,1,1980,ktoe
Africa_Western,5,MINING,electricity,2,1981,ktoe
Africa_Western,5,MINING,electricity,2,1982,ktoe
Africa_Western,5,MINING,electricity,3,1983,ktoe
Africa_Western,5,MINING,electricity,2,1984,ktoe
Africa_Western,5,MINING,electricity,7,1994,ktoe
Africa_Western,5,MINING,electricity,7,1995,ktoe
Africa_Western,5,MINING,electricity,8,1996,ktoe
Africa_Western,5,MINING,electricity,8,1997,ktoe
Africa_Western,5,MINING,electricity,6,1998,ktoe
Africa_Western,5,MINING,electricity,6,1999,ktoe
Africa_Western,5,MINING,electricity,3,2000,ktoe
Africa_Western,5,MINING,electricity,4,2001,ktoe
Africa_Western,5,MINING,electricity,4,2002,ktoe
Africa_Western,5,MINING,electricity,4,2003,ktoe
Africa_Western,5,MINING,electricity,4,2004,ktoe
Africa_Western,5,MINING,electricity,4,2005,ktoe
Africa_Western,5,MINING,electricity,5,2006,ktoe
Africa_Western,5,MINING,electricity,46,2007,ktoe
Africa_Western,5,MINING,electricity,49,2008,ktoe
Africa_Western,5,MINING,electricity,42,2009,ktoe
Africa_Western,5,MINING,electricity,50,2010,ktoe
Africa_Western,5,MINING,electricity,34,2011,ktoe
Africa_Western,5,MINING,electricity,37,2012,ktoe
Africa_Western,5,MINING,electricity,39,2013,ktoe
Africa_Western,5,MINING,electricity,42.41897162,2014,ktoe
Africa_Western,5,MINING,electricity,69.41850774,2015,ktoe
Africa_Western,5,MINING,refined liquids,27,1971,ktoe
Africa_Western,5,MINING,refined liquids,28,1972,ktoe
Africa_Western,5,MINING,refined liquids,31,1973,ktoe
Africa_Western,5,MINING,refined liquids,46,1974,ktoe
Africa_Western,5,MINING,refined liquids,51,1975,ktoe
Africa_Western,5,MINING,refined liquids,18,1976,ktoe
Africa_Western,5,MINING,refined liquids,20,1977,ktoe
Africa_Western,5,MINING,refined liquids,18,1978,ktoe
Africa_Western,5,MINING,refined liquids,21,1979,ktoe
Africa_Western,5,MINING,refined liquids,23,1980,ktoe
Africa_Western,5,MINING,refined liquids,23,1981,ktoe
Africa_Western,5,MINING,refined liquids,24,1982,ktoe
Africa_Western,5,MINING,refined liquids,27,1983,ktoe
Africa_Western,5,MINING,refined liquids,31,1984,ktoe
Africa_Western,5,MINING,refined liquids,31,1985,ktoe
Africa_Western,5,MINING,refined liquids,31,1986,ktoe
Africa_Western,5,MINING,refined liquids,32,1987,ktoe
Africa_Western,5,MINING,refined liquids,32,1988,ktoe
Africa_Western,5,MINING,refined liquids,2,2006,ktoe
Africa_Western,5,MINING,refined liquids,1,2008,ktoe
Africa_Western,5,MINING,refined liquids,2,2009,ktoe
Africa_Western,5,MINING,refined liquids,26.45565651,2010,ktoe
Africa_Western,5,MINING,refined liquids,27.2896619,2011,ktoe
Africa_Western,5,MINING,refined liquids,28.53608409,2012,ktoe
Africa_Western,5,MINING,refined liquids,28.09690136,2013,ktoe
Africa_Western,5,MINING,refined liquids,27.65212712,2014,ktoe
Africa_Western,5,MINING,refined liquids,25.94747984,2015,ktoe
Australia_NZ,6,MINING,coal,9,1974,ktoe
Australia_NZ,6,MINING,coal,21,1975,ktoe
Australia_NZ,6,MINING,coal,23,1976,ktoe
Australia_NZ,6,MINING,coal,23,1977,ktoe
Australia_NZ,6,MINING,coal,16,1978,ktoe
Australia_NZ,6,MINING,coal,18,1979,ktoe
Australia_NZ,6,MINING,coal,21,1980,ktoe
Australia_NZ,6,MINING,coal,23,1981,ktoe
Australia_NZ,6,MINING,coal,40,1982,ktoe
Australia_NZ,6,MINING,coal,37,1983,ktoe
Australia_NZ,6,MINING,coal,49,1984,ktoe
Australia_NZ,6,MINING,coal,65,1985,ktoe
Australia_NZ,6,MINING,coal,69,1986,ktoe
Australia_NZ,6,MINING,coal,100,1987,ktoe
Australia_NZ,6,MINING,coal,123,1988,ktoe
Australia_NZ,6,MINING,coal,130,1989,ktoe
Australia_NZ,6,MINING,coal,172,1990,ktoe
Australia_NZ,6,MINING,coal,183,1991,ktoe
Australia_NZ,6,MINING,coal,177,1992,ktoe
Australia_NZ,6,MINING,coal,196,1993,ktoe
Australia_NZ,6,MINING,coal,172,1994,ktoe
Australia_NZ,6,MINING,coal,205,1995,ktoe
Australia_NZ,6,MINING,coal,214,1996,ktoe
Australia_NZ,6,MINING,coal,243,1997,ktoe
Australia_NZ,6,MINING,coal,186,1998,ktoe
Australia_NZ,6,MINING,coal,183,1999,ktoe
Australia_NZ,6,MINING,coal,183,2000,ktoe
Australia_NZ,6,MINING,coal,184,2001,ktoe
Australia_NZ,6,MINING,coal,147,2002,ktoe
Australia_NZ,6,MINING,coal,6,2003,ktoe
Australia_NZ,6,MINING,coal,6,2004,ktoe
Australia_NZ,6,MINING,coal,6,2005,ktoe
Australia_NZ,6,MINING,coal,6,2006,ktoe
Australia_NZ,6,MINING,coal,6,2007,ktoe
Australia_NZ,6,MINING,coal,6,2008,ktoe
Australia_NZ,6,MINING,coal,11,2009,ktoe
Australia_NZ,6,MINING,coal,5,2010,ktoe
Australia_NZ,6,MINING,coal,102,2011,ktoe
Australia_NZ,6,MINING,coal,83,2012,ktoe
Australia_NZ,6,MINING,coal,59,2013,ktoe
Australia_NZ,6,MINING,coal,59,2014,ktoe
Australia_NZ,6,MINING,coal,51,2015,ktoe
Australia_NZ,6,MINING,electricity,6,1971,ktoe
Australia_NZ,6,MINING,electricity,7,1972,ktoe
Australia_NZ,6,MINING,electricity,7,1973,ktoe
Australia_NZ,6,MINING,electricity,270,1974,ktoe
Australia_NZ,6,MINING,electricity,288,1975,ktoe
Australia_NZ,6,MINING,electricity,292,1976,ktoe
Australia_NZ,6,MINING,electricity,292,1977,ktoe
Australia_NZ,6,MINING,electricity,286,1978,ktoe
Australia_NZ,6,MINING,electricity,282,1979,ktoe
Australia_NZ,6,MINING,electricity,271,1980,ktoe
Australia_NZ,6,MINING,electricity,273,1981,ktoe
Australia_NZ,6,MINING,electricity,286,1982,ktoe
Australia_NZ,6,MINING,electricity,280,1983,ktoe
Australia_NZ,6,MINING,electricity,264,1984,ktoe
Australia_NZ,6,MINING,electricity,279,1985,ktoe
Australia_NZ,6,MINING,electricity,314,1986,ktoe
Australia_NZ,6,MINING,electricity,322,1987,ktoe
Australia_NZ,6,MINING,electricity,357,1988,ktoe
Australia_NZ,6,MINING,electricity,447,1989,ktoe
Australia_NZ,6,MINING,electricity,526,1990,ktoe
Australia_NZ,6,MINING,electricity,536,1991,ktoe
Australia_NZ,6,MINING,electricity,550,1992,ktoe
Australia_NZ,6,MINING,electricity,562,1993,ktoe
Australia_NZ,6,MINING,electricity,582,1994,ktoe
Australia_NZ,6,MINING,electricity,617,1995,ktoe
Australia_NZ,6,MINING,electricity,673,1996,ktoe
Australia_NZ,6,MINING,electricity,667,1997,ktoe
Australia_NZ,6,MINING,electricity,710,1998,ktoe
Australia_NZ,6,MINING,electricity,776,1999,ktoe
Australia_NZ,6,MINING,electricity,800,2000,ktoe
Australia_NZ,6,MINING,electricity,863,2001,ktoe
Australia_NZ,6,MINING,electricity,1248,2002,ktoe
Australia_NZ,6,MINING,electricity,688,2003,ktoe
Australia_NZ,6,MINING,electricity,741,2004,ktoe
Australia_NZ,6,MINING,electricity,728,2005,ktoe
Australia_NZ,6,MINING,electricity,931,2006,ktoe
Australia_NZ,6,MINING,electricity,907,2007,ktoe
Australia_NZ,6,MINING,electricity,912,2008,ktoe
Australia_NZ,6,MINING,electricity,1038,2009,ktoe
Australia_NZ,6,MINING,electricity,1054,2010,ktoe
