# File: alumina_energy_region_IAI.csv
# Title: Alumina energy by IAI region
# Units: TJ
# Description: Regional alumina energy consumption
# Source: International Aluminum Institute: Metallurgical Alumina Refining Fuel Consumption 1st Jan 1985 to 1st Jan 2022 (all); https://international-aluminium.org/statistics/metallurgical-alumina-refining-fuel-consumption/
# Column types: cicnnnnnnnc
# ----------
flow,year,fuel,Africa & Asia (ex China),North America,South America,Oceania,Europe,China,World Reported,unit
Alumina,1993,Oil,16716,2819,73905,19108,40966,0,153514,TJ
Alumina,1993,Gas,0,63408,14741,80311,6624,0,165084,TJ
Alumina,1993,Electricity,1874,2836,7623,7373,9419,0,29125,TJ
Alumina,1993,Other,116,2099,0,2215,0,0,0,TJ
Alumina,1994,Coal,16092,0,3616,3945659164,0,0,0,TJ
Alumina,1994,Oil,16402,2225,77098,19001,37924,0,152650,TJ
Alumina,1994,Gas,176,56160,16212,82009,6187,0,160744,TJ
Alumina,1994,Electricity,1717,3147,6468,7350,9225,0,27907,TJ
Alumina,1994,Other,188,1763,0,1951,0,0,0,TJ
Alumina,1995,Coal,16717,0,4000,4079961516,0,0,0,TJ
Alumina,1995,Oil,17040,994,79106,19451,40825,0,157416,TJ
Alumina,1995,Gas,0,58665,17334,95068,6017,0,177084,TJ
Alumina,1995,Electricity,1951,4952,4681,7601,9572,0,28757,TJ
Alumina,1995,Other,347,2297,0,2644,0,0,0,TJ
Alumina,1996,Coal,17364,0,4081,4009861543,0,0,0,TJ
Alumina,1996,Oil,16901,2948,86967,19838,38380,0,165034,TJ
Alumina,1996,Gas,0,61924,19536,92564,354,0,174378,TJ
Alumina,1996,Electricity,1972,2487,6526,7367,7736,0,26088,TJ
Alumina,1996,Other,385,1181,0,1566,0,0,0,TJ
Alumina,1997,Coal,17736,0,4144,3956961449,0,0,0,TJ
Alumina,1997,Oil,15652,1935,89054,19998,42123,0,168762,TJ
Alumina,1997,Gas,0,46306,19566,98841,305,0,165018,TJ
Alumina,1997,Electricity,2007,3285,7578,7375,7986,0,28231,TJ
Alumina,1997,Other,835,933,0,1768,0,0,0,TJ
Alumina,1998,Coal,18462,0,7756,40460,0,98055,164733,TJ
Alumina,1998,Oil,16838,2141,96011,20524,34359,6170,176043,TJ
Alumina,1998,Gas,0,43054,17643,99703,311,17048,177759,TJ
Alumina,1998,Electricity,3215,3423,6820,7701,6508,12678,40345,TJ
Alumina,1998,Other,338,463,1353,2154,0,0,0,TJ
Alumina,1999,Coal,20199,0,8634,42781,0,106522,178136,TJ
Alumina,1999,Oil,16541,2607,96080,19821,35048,6703,176800,TJ
Alumina,1999,Gas,0,44706,17222,101736,304,18520,182488,TJ
Alumina,1999,Electricity,2970,3872,4857,7921,6390,13773,39783,TJ
Alumina,1999,Other,405,460,1470,2335,0,0,0,TJ
Alumina,2000,Coal,19115,0,7636,42527,0,111849,181127,TJ
Alumina,2000,Oil,13533,1840,105256,18915,36213,7038,182795,TJ
Alumina,2000,Gas,0,44983,19862,105766,357,19447,190415,TJ
Alumina,2000,Electricity,2734,4756,4123,7748,6601,14462,40424,TJ
Alumina,2000,Other,320,497,1543,2360,0,0,0,TJ
Alumina,2001,Coal,21541,0,4662,43730,0,116904,186837,TJ
Alumina,2001,Oil,15294,3742,97733,20569,36688,7356,181382,TJ
Alumina,2001,Gas,0,31967,21283,108019,329,20325,181923,TJ
Alumina,2001,Electricity,720,3901,4008,6162,6725,15115,36631,TJ
Alumina,2001,Other,0,454,1613,2067,0,0,0,TJ
Alumina,2002,Coal,20391,0,3824,43786,0,134082,202083,TJ
Alumina,2002,Oil,16591,2720,100649,21514,49279,8437,199190,TJ
Alumina,2002,Gas,0,38587,19013,108882,328,23312,190122,TJ
Alumina,2002,Electricity,748,3787,4429,9951,11694,17336,47945,TJ
Alumina,2002,Other,0,514,1850,2364,0,0,0,TJ
Alumina,2003,Coal,10366,0,3824,45374,0,131145,190709,TJ
Alumina,2003,Oil,12521,4630,108150,22416,46642,8252,202611,TJ
Alumina,2003,Gas,0,39963,19208,107979,3278,22801,193229,TJ
Alumina,2003,Electricity,754,3120,7279,12959,12233,16956,53301,TJ
Alumina,2003,Other,5740,475,1810,8025,0,0,0,TJ
Alumina,2004,Coal,28802,0,4587,47462,9701,138722,229274,TJ
Alumina,2004,Oil,13014,4989,80023,22603,48640,8729,177998,TJ
Alumina,2004,Gas,0,39838,22889,107955,17921,24119,212722,TJ
Alumina,2004,Electricity,762,3182,8035,14424,13516,17936,57855,TJ
Alumina,2004,Other,5559,458,1914,7931,0,0,0,TJ
Alumina,2005,Coal,26767,0,4568,45481,0,159918,236734,TJ
Alumina,2005,Oil,14868,5827,106411,18164,48260,10062,203592,TJ
Alumina,2005,Gas,0,52919,25817,113220,3749,27804,223509,TJ
Alumina,2005,Electricity,2208,3494,8680,19818,13184,20677,68061,TJ
Alumina,2005,Other,7035851,476,2207,9237,0,0,0,TJ
Alumina,2006,Coal,27188,0,4611,48128,273,220917,301117,TJ
Alumina,2006,Oil,17817,3942,124974,20496,34769,13901,215899,TJ
Alumina,2006,Gas,21,58125,26370,118034,63497,38410,304457,TJ
Alumina,2006,Electricity,2298,3625,10935,18474,23685,28563,87580,TJ
Alumina,2006,Other,25164513,11384,3048,21461,0,0,0,TJ
Alumina,2007,Coal,7810,0,5416,51811,182,370791,436010,TJ
Alumina,2007,Oil,11771,4299,118037,21050,42854,23331,221342,TJ
Alumina,2007,Gas,840,37298,26496,123431,51294,64468,303827,TJ
Alumina,2007,Electricity,599,3432,10619,9826,31051,47941,103468,TJ
Alumina,2007,Other,2905,11632,2,5359,0,5116,25014,TJ
Alumina,2008,Coal,32820,65,14708,51414,46,384911,483964,TJ
Alumina,2008,Oil,17598,3935,116719,26379,32106,24220,220957,TJ
Alumina,2008,Gas,52,38978,24526,118054,49634,66922,298166,TJ
Alumina,2008,Electricity,924,4185,7287,19012,27776,49767,108951,TJ
Alumina,2008,Other,3080,11842,0,3416,12837,5311,36486,TJ
Alumina,2009,Coal,26274,95,19596,18,32822,335131,413936,TJ
Alumina,2009,Oil,17844,1324,73842,26336,23517,21087,163950,TJ
Alumina,2009,Gas,44,17369,15032,49091,97708,58268,237512,TJ
Alumina,2009,Electricity,1251,2322,5474,13758,17096,43331,83232,TJ
Alumina,2009,Other,1965,11002,0,30673,10768,4624,59032,TJ
Alumina,2010,Coal,12251,0,26991,19901,23,418387,477553,TJ
Alumina,2010,Oil,11570,0,76232,21835,21919,26326,157882,TJ
Alumina,2010,Gas,589,30271,25484,97061,49963,72743,276111,TJ
Alumina,2010,Electricity,404,2079,5378,3520,8288,54095,73764,TJ
Alumina,2010,Other,4224,10998,0,17984,28132,5773,67111,TJ
Alumina,2011,Coal,29083,0,29111,36032,17,469300,563543,TJ
Alumina,2011,Oil,9909,0,74634,44108,19024,29530,177205,TJ
Alumina,2011,Gas,590,32296,22078,115447,50819,81595,302825,TJ
Alumina,2011,Electricity,1175,1918,7284,5868,7532,60678,84455,TJ
Alumina,2011,Other,3563,12322,0,16039,27143,6476,65543,TJ
Alumina,2012,Coal,29351,82,26975,43101,0,514362,613871,TJ
Alumina,2012,Oil,4958,3,74123,22034,13825,32365,147308,TJ
Alumina,2012,Gas,497,39746,18689,121836,52125,89430,322323,TJ
Alumina,2012,Electricity,1247,2173,3831,7777,7010,66504,88542,TJ
Alumina,2012,Other,3280,887,0,17551,17362,7098,46178,TJ
Alumina,2013,Coal,31700,78,26425,46050,0,521152,625405,TJ
Alumina,2013,Oil,7374,27,72404,23540,12863,32792,149000,TJ
Alumina,2013,Gas,387,45164,8576,124471,57264,90610,326472,TJ
Alumina,2013,Electricity,155,3064,2617,8383,12001,67382,93602,TJ
Alumina,2013,Other,3315,15476,0,20722,16787,7191,63491,TJ
Alumina,2014,Coal,32045,71,28657,53153,0,543293,657219,TJ
Alumina,2014,Oil,7514,25,71672,15678,9728,34185,138802,TJ
Alumina,2014,Gas,361,50384,7838,126981,56912,94460,336936,TJ
Alumina,2014,Electricity,75,3113,4026,10897,10330,70245,98686,TJ
Alumina,2014,Other,2988,14727,0,11984,15636,7497,52832,TJ
Alumina,2015,Coal,54114,0,27387,56731,16265,535313,689810,TJ
Alumina,2015,Oil,13314,0,70764,4131,156,33683,122048,TJ
Alumina,2015,Gas,510,35672,7433,125744,69698,93072,332129,TJ
Alumina,2015,Electricity,106,1980,3774,8446,11110,69213,94629,TJ
Alumina,2015,Other,3609,13404,0,12954,187,7387,37541,TJ
Alumina,2016,Coal,55898,78,29352,66064,0,505767,657159,TJ
Alumina,2016,Oil,13880,27,65737,4881,27,31824,116376,TJ
Alumina,2016,Gas,663,25684,5607,129860,92138,87935,341887,TJ
Alumina,2016,Electricity,186,12141,3357,5703,4627,65393,91407,TJ
Alumina,2016,Other,3690,216,0,13192,316,6979,24393,TJ
Alumina,2017,Coal,46548,83,29229,67012,0,588006,730878,TJ
Alumina,2017,Oil,16788,29,63836,2409,17,36999,120078,TJ
Alumina,2017,Gas,12927,20944,5537,128722,94332,102233,364695,TJ
Alumina,2017,Electricity,1669,1395,4243,5420,4515,76026,93268,TJ
Alumina,2017,Other,3790,1,0,12701,322,8114,24928,TJ
Alumina,2018,Coal,48904,0,26064,67075,0,605777,747820,TJ
Alumina,2018,Oil,14147,0,47317,425,28,38117,100034,TJ
Alumina,2018,Gas,17276,15557,5491,125635,86228,105323,355510,TJ
Alumina,2018,Electricity,1774,2501,3188,5619,4319,78324,95725,TJ
Alumina,2018,Other,3768,1418,0,13546,293,8359,27384,TJ
Alumina,2019,Coal,19865,0,25886,38840,0,523281,607872,TJ
Alumina,2019,Oil,11500,1,39961,106,137,32926,84631,TJ
Alumina,2019,Gas,15842,5710,5491,115585,97758,90980,331366,TJ
Alumina,2019,Electricity,3359,3115,3556,3643,4184,67658,85515,TJ
Alumina,2019,Other,3728,1398,0,12866,148,7221,25361,TJ
Alumina,2020,Coal,18516,0,27593,66132,0,505957,618198,TJ
Alumina,2020,Oil,13228,0,45695,552,129,31836,91440,TJ
Alumina,2020,Gas,18355,4446,2659,131804,100841,87968,346073,TJ
Alumina,2020,Electricity,217,8850,3330,5151,4067,65418,87033,TJ
Alumina,2020,Other,3137,0,2252,12736,4361,6982,29468,TJ
Alumina,2021,Coal,20326,0,25968,62232,0,520971,629497,TJ
Alumina,2021,Oil,14134,0,49390,593,44,32781,96943,TJ
Alumina,2021,Gas,33835,4446,2256,149421,103723,90579,384262,TJ
Alumina,2021,Electricity,1618,8850,3772,15458,3061,67359,100119,TJ
Alumina,2021,Other,1604,0,2954,668,147,7189,12561,TJ
