# File: steel_prod.csv
# Title: Crude steel production by country and sector
# Units: Thousand tonnes
# Description: National steel production
# Source: World Steel Association
# Column types: cinnnc
# ----------
iso,year,BLASTFUR,EAF with scrap,EAF with DRI,unit_prod
mex,1973,3850,1830,5810,thousand tons
mkd,1973,0.0735,37.9,80.5,thousand tons
mmr,1973,0,4.41,14,thousand tons
mys,1973,0,644,2040,thousand tons
nld,1973,4050,65.5,51.5,thousand tons
nor,1973,0,280,220,thousand tons
nzl,1973,406,26.4,83.6,thousand tons
pak,1973,625,17.7,55.9,thousand tons
per,1973,211,81.9,259,thousand tons
phl,1973,0,75.2,238,thousand tons
pol,1973,5300,1360,1060,thousand tons
prk,1973,1100,0,0,thousand tons
prt,1973,302,279,219,thousand tons
pry,1973,56.6,0,0,thousand tons
qat,1973,0,129,407,thousand tons
rom,1973,2460,546,429,thousand tons
rus,1973,37200,2030,4310,thousand tons
sau,1973,0,526,1670,thousand tons
sgp,1973,0,106,337,thousand tons
slv,1973,0.368,7.15,22.6,thousand tons
svk,1973,2540,118,92.6,thousand tons
svn,1973,0,214,168,thousand tons
swe,1973,2380,820,645,thousand tons
syr,1973,0,12.4,39.1,thousand tons
tha,1973,0,371,1170,thousand tons
tto,1973,0,131,414,thousand tons
tun,1973,125,10.4,33,thousand tons
tur,1973,3850,2140,4550,thousand tons
twn,1973,7330,1220,3870,thousand tons
ukr,1973,22600,232,493,thousand tons
ury,1973,0,6.71,21.2,thousand tons
usa,1973,39700,26400,8800,thousand tons
uzb,1973,83.8,51.7,164,thousand tons
ven,1973,0.294,677,2140,thousand tons
vnm,1973,0,54,171,thousand tons
zaf,1973,3440,672,2130,thousand tons
alb,1974,0,1.2,2.54,thousand tons
are,1974,0,16.1,51.1,thousand tons
arg,1974,1660,403,1280,thousand tons
aus,1974,4500,198,626,thousand tons
aut,1974,3860,227,179,thousand tons
bel,1974,6660,1140,896,thousand tons
bgr,1974,1060,252,198,thousand tons
bih,1974,40,5.62,11.9,thousand tons
blr,1974,0,359,763,thousand tons
bra,1974,16500,1030,3260,thousand tons
can,1974,7180,3910,1300,thousand tons
che,1974,0,418,329,thousand tons
chl,1974,848,38.8,123,thousand tons
chn,1974,80900,14300,755,thousand tons
col,1974,209,68.2,216,thousand tons
cub,1974,0,60.2,191,thousand tons
cze,1974,4250,219,172,thousand tons
deu,1974,24700,5570,4380,thousand tons
dnk,1974,0,335,263,thousand tons
dom,1974,0.0747,6.97,22.1,thousand tons
dza,1974,562,16.1,51.1,thousand tons
ecu,1974,0,10.4,32.9,thousand tons
egy,1974,880,298,942,thousand tons
esp,1974,3150,4880,3830,thousand tons
est,1974,0.747,0,0,thousand tons
fin,1974,2340,404,317,thousand tons
fra,1974,9350,3530,2780,thousand tons
gbr,1974,8630,1450,1140,thousand tons
gha,1974,0,4.48,14.2,thousand tons
grc,1974,0,455,358,thousand tons
gtm,1974,0.374,29.9,94.5,thousand tons
hrv,1974,0,17,36.1,thousand tons
hun,1974,1220,97.5,76.6,thousand tons
idn,1974,0,511,1620,thousand tons
ind,1974,12900,1740,5500,thousand tons
irl,1974,0,151,118,thousand tons
irn,1974,1640,789,2500,thousand tons
isr,1974,0,50.2,159,thousand tons
ita,1974,7980,6730,5290,thousand tons
jor,1974,0,5.38,17,thousand tons
jpn,1974,56600,8020,14900,thousand tons
kaz,1974,3560,0,0,thousand tons
ken,1974,0,3.59,11.4,thousand tons
kor,1974,18400,6890,6890,thousand tons
lby,1974,0,189,599,thousand tons
lka,1974,0,5.38,17,thousand tons
lux,1974,0,1080,845,thousand tons
lva,1974,371,0.837,0.657,thousand tons
mar,1974,3.74,0,0,thousand tons
mda,1974,0,217,461,thousand tons
mex,1974,3910,1860,5900,thousand tons
mkd,1974,0.0747,38.5,81.7,thousand tons
mmr,1974,0,4.48,14.2,thousand tons
mys,1974,0,654,2070,thousand tons
nld,1974,4110,66.5,52.3,thousand tons
nor,1974,0,284,223,thousand tons
nzl,1974,413,26.8,84.9,thousand tons
pak,1974,635,17.9,56.8,thousand tons
per,1974,214,83.2,264,thousand tons
phl,1974,0,76.4,242,thousand tons
pol,1974,5380,1380,1080,thousand tons
prk,1974,1120,0,0,thousand tons
prt,1974,306,284,223,thousand tons
pry,1974,57.5,0,0,thousand tons
qat,1974,0,131,414,thousand tons
rom,1974,2500,555,436,thousand tons
rus,1974,37700,2060,4370,thousand tons
sau,1974,0,534,1690,thousand tons
sgp,1974,0,108,342,thousand tons
slv,1974,0.374,7.26,23,thousand tons
svk,1974,2580,120,94,thousand tons
svn,1974,0,217,171,thousand tons
swe,1974,2420,833,655,thousand tons
syr,1974,0,12.6,39.7,thousand tons
tha,1974,0,377,1190,thousand tons
tto,1974,0,133,421,thousand tons
tun,1974,127,10.6,33.5,thousand tons
tur,1974,3910,2170,4620,thousand tons
twn,1974,7450,1240,3930,thousand tons
ukr,1974,23000,235,500,thousand tons
ury,1974,0,6.81,21.6,thousand tons
usa,1974,40300,26800,8940,thousand tons
uzb,1974,85.2,52.5,166,thousand tons
ven,1974,0.299,687,2180,thousand tons
vnm,1974,0,54.9,174,thousand tons
zaf,1974,3490,682,2160,thousand tons
alb,1975,0,1.21,2.58,thousand tons
are,1975,0,16.4,51.9,thousand tons
arg,1975,1690,409,1300,thousand tons
aus,1975,4570,201,635,thousand tons
aut,1975,3920,231,181,thousand tons
bel,1975,6760,1160,910,thousand tons
bgr,1975,1080,256,201,thousand tons
bih,1975,40.6,5.7,12.1,thousand tons
blr,1975,0,365,775,thousand tons
bra,1975,16800,1050,3310,thousand tons
can,1975,7290,3970,1320,thousand tons
che,1975,0,425,334,thousand tons
chl,1975,861,39.4,125,thousand tons
chn,1975,82200,14600,766,thousand tons
col,1975,212,69.3,219,thousand tons
cub,1975,0,61.2,194,thousand tons
cze,1975,4320,222,175,thousand tons
deu,1975,25100,5660,4450,thousand tons
dnk,1975,0,340,267,thousand tons
dom,1975,0.0759,7.08,22.4,thousand tons
dza,1975,570,16.4,51.9,thousand tons
ecu,1975,0,10.6,33.4,thousand tons
egy,1975,894,302,957,thousand tons
esp,1975,3200,4950,3890,thousand tons
est,1975,0.759,0,0,thousand tons
fin,1975,2380,410,322,thousand tons
fra,1975,9490,3590,2820,thousand tons
gbr,1975,8760,1470,1160,thousand tons
gha,1975,0,4.55,14.4,thousand tons
grc,1975,0,462,363,thousand tons
gtm,1975,0.379,30.3,96,thousand tons
hrv,1975,0,17.2,36.6,thousand tons
hun,1975,1240,99,77.8,thousand tons
idn,1975,0,519,1640,thousand tons
ind,1975,13100,1760,5590,thousand tons
irl,1975,0,153,120,thousand tons
irn,1975,1670,801,2540,thousand tons
isr,1975,0,51,161,thousand tons
ita,1975,8100,6830,5370,thousand tons
jor,1975,0,5.46,17.3,thousand tons
jpn,1975,57500,8140,15100,thousand tons
kaz,1975,3620,0,0,thousand tons
ken,1975,0,3.64,11.5,thousand tons
kor,1975,18700,6990,6990,thousand tons
lby,1975,0,192,608,thousand tons
lka,1975,0,5.46,17.3,thousand tons
lux,1975,0,1090,858,thousand tons
lva,1975,376,0.85,0.668,thousand tons
mar,1975,3.79,0,0,thousand tons
mda,1975,0,220,468,thousand tons
mex,1975,3970,1890,5990,thousand tons
mkd,1975,0.0759,39.1,83,thousand tons
mmr,1975,0,4.55,14.4,thousand tons
mys,1975,0,665,2100,thousand tons
nld,1975,4180,67.5,53.1,thousand tons
nor,1975,0,288,227,thousand tons
nzl,1975,419,27.2,86.2,thousand tons
pak,1975,645,18.2,57.7,thousand tons
per,1975,218,84.5,268,thousand tons
phl,1975,0,77.6,246,thousand tons
pol,1975,5470,1400,1100,thousand tons
prk,1975,1140,0,0,thousand tons
prt,1975,311,288,226,thousand tons
pry,1975,58.4,0,0,thousand tons
qat,1975,0,133,420,thousand tons
rom,1975,2540,563,442,thousand tons
rus,1975,38300,2090,4440,thousand tons
sau,1975,0,543,1720,thousand tons
sgp,1975,0,110,348,thousand tons
slv,1975,0.379,7.37,23.3,thousand tons
svk,1975,2610,121,95.5,thousand tons
svn,1975,0,220,173,thousand tons
swe,1975,2450,846,665,thousand tons
syr,1975,0,12.7,40.4,thousand tons
tha,1975,0,382,1210,thousand tons
tto,1975,0,135,427,thousand tons
tun,1975,129,10.7,34,thousand tons
tur,1975,3970,2210,4690,thousand tons
twn,1975,7560,1260,3990,thousand tons
ukr,1975,23400,239,508,thousand tons
ury,1975,0,6.92,21.9,thousand tons
usa,1975,40900,27200,9070,thousand tons
uzb,1975,86.5,53.3,169,thousand tons
ven,1975,0.303,698,2210,thousand tons
vnm,1975,0,55.7,176,thousand tons
zaf,1975,3550,693,2190,thousand tons
alb,1976,0,1.24,2.64,thousand tons
are,1976,0,16.8,53.1,thousand tons
arg,1976,1730,419,1330,thousand tons
aus,1976,4680,205,650,thousand tons
aut,1976,4010,236,185,thousand tons
bel,1976,6910,1180,930,thousand tons
bgr,1976,1100,261,205,thousand tons
bih,1976,41.5,5.83,12.4,thousand tons
blr,1976,0,373,792,thousand tons
bra,1976,17200,1070,3390,thousand tons
can,1976,7450,4060,1350,thousand tons
che,1976,0,434,341,thousand tons
chl,1976,881,40.3,128,thousand tons
chn,1976,84000,14900,784,thousand tons
col,1976,217,70.8,224,thousand tons
cub,1976,0,62.6,198,thousand tons
cze,1976,4420,227,179,thousand tons
deu,1976,25600,5790,4550,thousand tons
dnk,1976,0,348,273,thousand tons
dom,1976,0.0776,7.24,22.9,thousand tons
dza,1976,583,16.8,53.1,thousand tons
ecu,1976,0,10.8,34.2,thousand tons
egy,1976,914,309,979,thousand tons
esp,1976,3270,5060,3980,thousand tons
est,1976,0.776,0,0,thousand tons
fin,1976,2430,419,329,thousand tons
fra,1976,9710,3670,2880,thousand tons
gbr,1976,8960,1510,1180,thousand tons
gha,1976,0,4.65,14.7,thousand tons
grc,1976,0,473,371,thousand tons
gtm,1976,0.388,31,98.2,thousand tons
hrv,1976,0,17.6,37.5,thousand tons
hun,1976,1270,101,79.5,thousand tons
idn,1976,0,530,1680,thousand tons
ind,1976,13400,1800,5710,thousand tons
irl,1976,0,156,123,thousand tons
irn,1976,1710,819,2590,thousand tons
isr,1976,0,52.1,165,thousand tons
ita,1976,8280,6990,5490,thousand tons
jor,1976,0,5.59,17.7,thousand tons
jpn,1976,58800,8320,15500,thousand tons
kaz,1976,3700,0,0,thousand tons
ken,1976,0,3.72,11.8,thousand tons
kor,1976,19100,7150,7150,thousand tons
lby,1976,0,196,622,thousand tons
lka,1976,0,5.59,17.7,thousand tons
lux,1976,0,1120,878,thousand tons
lva,1976,385,0.869,0.683,thousand tons
mar,1976,3.88,0,0,thousand tons
mda,1976,0,225,479,thousand tons
mex,1976,4060,1940,6130,thousand tons
mkd,1976,0.0776,39.9,84.9,thousand tons
mmr,1976,0,4.65,14.7,thousand tons
mys,1976,0,680,2150,thousand tons
nld,1976,4270,69.1,54.3,thousand tons
nor,1976,0,295,232,thousand tons
nzl,1976,429,27.9,88.2,thousand tons
pak,1976,659,18.6,59,thousand tons
per,1976,222,86.4,274,thousand tons
phl,1976,0,79.3,251,thousand tons
pol,1976,5590,1430,1120,thousand tons
prk,1976,1160,0,0,thousand tons
prt,1976,318,295,231,thousand tons
pry,1976,59.7,0,0,thousand tons
qat,1976,0,136,430,thousand tons
rom,1976,2600,576,453,thousand tons
rus,1976,39200,2140,4540,thousand tons
sau,1976,0,555,1760,thousand tons
sgp,1976,0,112,356,thousand tons
slv,1976,0.388,7.54,23.9,thousand tons
svk,1976,2670,124,97.6,thousand tons
svn,1976,0,225,177,thousand tons
swe,1976,2510,865,680,thousand tons
syr,1976,0,13,41.3,thousand tons
tha,1976,0,391,1240,thousand tons
tto,1976,0,138,437,thousand tons
tun,1976,132,11,34.8,thousand tons
tur,1976,4060,2260,4800,thousand tons
twn,1976,7740,1290,4080,thousand tons
ukr,1976,23900,245,520,thousand tons
ury,1976,0,7.08,22.4,thousand tons
usa,1976,41900,27800,9280,thousand tons
uzb,1976,88.4,54.6,173,thousand tons
ven,1976,0.31,714,2260,thousand tons
vnm,1976,0,57,180,thousand tons
zaf,1976,3630,709,2240,thousand tons
alb,1977,0,1.27,2.7,thousand tons
are,1977,0,17.1,54.2,thousand tons
arg,1977,1760,428,1360,thousand tons
aus,1977,4780,210,664,thousand tons
aut,1977,4090,241,190,thousand tons
bel,1977,7070,1210,951,thousand tons
bgr,1977,1130,267,210,thousand tons
bih,1977,42.4,5.96,12.7,thousand tons
blr,1977,0,381,810,thousand tons
bra,1977,17500,1090,3460,thousand tons
can,1977,7620,4150,1380,thousand tons
che,1977,0,444,349,thousand tons
chl,1977,900,41.2,130,thousand tons
chn,1977,85900,15200,801,thousand tons
col,1977,222,72.4,229,thousand tons
cub,1977,0,63.9,202,thousand tons
cze,1977,4510,232,182,thousand tons
deu,1977,26200,5920,4650,thousand tons
dnk,1977,0,356,279,thousand tons
dom,1977,0.0793,7.4,23.4,thousand tons
dza,1977,596,17.1,54.2,thousand tons
ecu,1977,0,11,35,thousand tons
egy,1977,934,316,1000,thousand tons
esp,1977,3340,5180,4070,thousand tons
est,1977,0.793,0,0,thousand tons
fin,1977,2480,429,337,thousand tons
fra,1977,9920,3750,2950,thousand tons
gbr,1977,9160,1540,1210,thousand tons
gha,1977,0,4.76,15.1,thousand tons
grc,1977,0,483,380,thousand tons
gtm,1977,0.396,31.7,100,thousand tons
hrv,1977,0,18,38.3,thousand tons
hun,1977,1300,103,81.3,thousand tons
idn,1977,0,542,1720,thousand tons
ind,1977,13700,1840,5840,thousand tons
irl,1977,0,160,126,thousand tons
irn,1977,1750,837,2650,thousand tons
isr,1977,0,53.3,169,thousand tons
ita,1977,8470,7140,5610,thousand tons
jor,1977,0,5.71,18.1,thousand tons
jpn,1977,60100,8510,15800,thousand tons
kaz,1977,3780,0,0,thousand tons
ken,1977,0,3.81,12.1,thousand tons
kor,1977,19600,7310,7310,thousand tons
lby,1977,0,201,636,thousand tons
lka,1977,0,5.71,18.1,thousand tons
lux,1977,0,1140,897,thousand tons
lva,1977,393,0.888,0.698,thousand tons
mar,1977,3.96,0,0,thousand tons
mda,1977,0,230,490,thousand tons
mex,1977,4150,1980,6260,thousand tons
mkd,1977,0.0793,40.8,86.8,thousand tons
mmr,1977,0,4.76,15.1,thousand tons
mys,1977,0,695,2200,thousand tons
nld,1977,4370,70.6,55.5,thousand tons
nor,1977,0,302,237,thousand tons
nzl,1977,438,28.5,90.2,thousand tons
pak,1977,674,19,60.3,thousand tons
per,1977,227,88.3,280,thousand tons
phl,1977,0,81.1,257,thousand tons
pol,1977,5720,1460,1150,thousand tons
prk,1977,1190,0,0,thousand tons
prt,1977,325,301,237,thousand tons
pry,1977,61.1,0,0,thousand tons
qat,1977,0,139,439,thousand tons
rom,1977,2650,589,463,thousand tons
rus,1977,40100,2180,4640,thousand tons
sau,1977,0,567,1800,thousand tons
sgp,1977,0,115,363,thousand tons
slv,1977,0.396,7.71,24.4,thousand tons
svk,1977,2730,127,99.8,thousand tons
svn,1977,0,230,181,thousand tons
swe,1977,2570,885,695,thousand tons
syr,1977,0,13.3,42.2,thousand tons
tha,1977,0,400,1270,thousand tons
tto,1977,0,141,447,thousand tons
tun,1977,135,11.2,35.6,thousand tons
tur,1977,4150,2310,4900,thousand tons
twn,1977,7910,1320,4170,thousand tons
ukr,1977,24400,250,531,thousand tons
ury,1977,0,7.23,22.9,thousand tons
usa,1977,42800,28500,9490,thousand tons
uzb,1977,90.4,55.8,177,thousand tons
ven,1977,0.317,730,2310,thousand tons
vnm,1977,0,58.2,184,thousand tons
zaf,1977,3710,724,2290,thousand tons
alb,1978,0,1.3,2.75,thousand tons
are,1978,0,17.5,55.4,thousand tons
arg,1978,1800,437,1380,thousand tons
aus,1978,4880,214,679,thousand tons
aut,1978,4180,246,194,thousand tons
bel,1978,7220,1240,972,thousand tons
bgr,1978,1150,273,215,thousand tons
bih,1978,43.3,6.09,12.9,thousand tons
blr,1978,0,389,827,thousand tons
bra,1978,17900,1120,3540,thousand tons
can,1978,7780,4240,1410,thousand tons
che,1978,0,454,356,thousand tons
chl,1978,920,42.1,133,thousand tons
chn,1978,87700,15500,818,thousand tons
col,1978,227,74,234,thousand tons
cub,1978,0,65.3,207,thousand tons
cze,1978,4610,237,186,thousand tons
deu,1978,26800,6050,4750,thousand tons
dnk,1978,0,363,286,thousand tons
dom,1978,0.081,7.56,24,thousand tons
dza,1978,609,17.5,55.4,thousand tons
ecu,1978,0,11.3,35.7,thousand tons
egy,1978,954,323,1020,thousand tons
esp,1978,3420,5290,4160,thousand tons
est,1978,0.81,0,0,thousand tons
fin,1978,2540,438,344,thousand tons
fra,1978,10100,3830,3010,thousand tons
gbr,1978,9360,1570,1240,thousand tons
gha,1978,0,4.86,15.4,thousand tons
grc,1978,0,494,388,thousand tons
gtm,1978,0.405,32.4,103,thousand tons
hrv,1978,0,18.4,39.1,thousand tons
hun,1978,1330,106,83.1,thousand tons
idn,1978,0,554,1750,thousand tons
ind,1978,14000,1880,5970,thousand tons
irl,1978,0,163,128,thousand tons
irn,1978,1780,855,2710,thousand tons
isr,1978,0,54.4,172,thousand tons
ita,1978,8650,7300,5730,thousand tons
jor,1978,0,5.83,18.5,thousand tons
jpn,1978,61400,8690,16100,thousand tons
kaz,1978,3860,0,0,thousand tons
ken,1978,0,3.89,12.3,thousand tons
kor,1978,20000,7470,7470,thousand tons
lby,1978,0,205,650,thousand tons
lka,1978,0,5.83,18.5,thousand tons
lux,1978,0,1170,916,thousand tons
lva,1978,402,0.907,0.713,thousand tons
mar,1978,4.05,0,0,thousand tons
mda,1978,0,235,500,thousand tons
mex,1978,4240,2020,6400,thousand tons
mkd,1978,0.081,41.7,88.6,thousand tons
mmr,1978,0,4.86,15.4,thousand tons
mys,1978,0,710,2250,thousand tons
nld,1978,4460,72.1,56.7,thousand tons
nor,1978,0,308,242,thousand tons
nzl,1978,448,29.1,92.1,thousand tons
pak,1978,689,19.4,61.6,thousand tons
per,1978,232,90.3,286,thousand tons
phl,1978,0,82.8,262,thousand tons
pol,1978,5840,1490,1170,thousand tons
prk,1978,1220,0,0,thousand tons
prt,1978,332,308,242,thousand tons
pry,1978,62.4,0,0,thousand tons
qat,1978,0,142,449,thousand tons
rom,1978,2710,601,473,thousand tons
rus,1978,40900,2230,4740,thousand tons
sau,1978,0,580,1840,thousand tons
sgp,1978,0,117,371,thousand tons
slv,1978,0.405,7.87,24.9,thousand tons
svk,1978,2790,130,102,thousand tons
svn,1978,0,235,185,thousand tons
swe,1978,2620,904,710,thousand tons
