# File: aluminum_prod_region_IAA.csv
# Title: Aluminum and alumina production by IAA region
# Units: Thousand tons
# Description: Regional aluminum production
# Source: World aluminum Association
# Column types: cicnc
# ----------
flow,year,IAA_region,value,unit
Aluminum,1977,West Europe,3292,Thousand metric tons
Aluminum,1978,Africa,336,Thousand metric tons
Aluminum,1978,Asia (ex China),1511,Thousand metric tons
Aluminum,1978,China (Estimated),0,Thousand metric tons
Aluminum,1978,East & Central Europe,0,Thousand metric tons
Aluminum,1978,GCC,0,Thousand metric tons
Aluminum,1978,North America,5409,Thousand metric tons
Aluminum,1978,Oceania,414,Thousand metric tons
Aluminum,1978,South America,413,Thousand metric tons
Aluminum,1978,West Europe,3345,Thousand metric tons
Aluminum,1979,Africa,401,Thousand metric tons
Aluminum,1979,Asia (ex China),1460,Thousand metric tons
Aluminum,1979,China (Estimated),0,Thousand metric tons
Aluminum,1979,East & Central Europe,0,Thousand metric tons
Aluminum,1979,GCC,0,Thousand metric tons
Aluminum,1979,North America,5421,Thousand metric tons
Aluminum,1979,Oceania,425,Thousand metric tons
Aluminum,1979,South America,668,Thousand metric tons
Aluminum,1979,West Europe,3425,Thousand metric tons
Aluminum,1980,Africa,437,Thousand metric tons
Aluminum,1980,Asia (ex China),1567,Thousand metric tons
Aluminum,1980,China (Estimated),0,Thousand metric tons
Aluminum,1980,East & Central Europe,0,Thousand metric tons
Aluminum,1980,GCC,0,Thousand metric tons
Aluminum,1980,North America,5726,Thousand metric tons
Aluminum,1980,Oceania,460,Thousand metric tons
Aluminum,1980,South America,821,Thousand metric tons
Aluminum,1980,West Europe,3595,Thousand metric tons
Aluminum,1981,Africa,483,Thousand metric tons
Aluminum,1981,Asia (ex China),1330,Thousand metric tons
Aluminum,1981,China (Estimated),0,Thousand metric tons
Aluminum,1981,East & Central Europe,0,Thousand metric tons
Aluminum,1981,GCC,0,Thousand metric tons
Aluminum,1981,North America,5603,Thousand metric tons
Aluminum,1981,Oceania,536,Thousand metric tons
Aluminum,1981,South America,793,Thousand metric tons
Aluminum,1981,West Europe,3551,Thousand metric tons
Aluminum,1982,Africa,501,Thousand metric tons
Aluminum,1982,Asia (ex China),1003,Thousand metric tons
Aluminum,1982,China (Estimated),0,Thousand metric tons
Aluminum,1982,East & Central Europe,0,Thousand metric tons
Aluminum,1982,GCC,0,Thousand metric tons
Aluminum,1982,North America,4343,Thousand metric tons
Aluminum,1982,Oceania,548,Thousand metric tons
Aluminum,1982,South America,795,Thousand metric tons
Aluminum,1982,West Europe,3306,Thousand metric tons
Aluminum,1983,Africa,436,Thousand metric tons
Aluminum,1983,Asia (ex China),987,Thousand metric tons
Aluminum,1983,China (Estimated),0,Thousand metric tons
Aluminum,1983,East & Central Europe,0,Thousand metric tons
Aluminum,1983,GCC,0,Thousand metric tons
Aluminum,1983,North America,4448,Thousand metric tons
Aluminum,1983,Oceania,700,Thousand metric tons
Aluminum,1983,South America,942,Thousand metric tons
Aluminum,1983,West Europe,3322,Thousand metric tons
Aluminum,1984,Africa,413,Thousand metric tons
Aluminum,1984,Asia (ex China),1182,Thousand metric tons
Aluminum,1984,China (Estimated),0,Thousand metric tons
Aluminum,1984,East & Central Europe,0,Thousand metric tons
Aluminum,1984,GCC,0,Thousand metric tons
Aluminum,1984,North America,5327,Thousand metric tons
Aluminum,1984,Oceania,998,Thousand metric tons
Aluminum,1984,South America,1035,Thousand metric tons
Aluminum,1984,West Europe,3502,Thousand metric tons
Aluminum,1985,Africa,472,Thousand metric tons
Aluminum,1985,Asia (ex China),1163,Thousand metric tons
Aluminum,1985,China (Estimated),0,Thousand metric tons
Aluminum,1985,East & Central Europe,0,Thousand metric tons
Aluminum,1985,GCC,0,Thousand metric tons
Aluminum,1985,North America,4781,Thousand metric tons
Aluminum,1985,Oceania,1091,Thousand metric tons
Aluminum,1985,South America,1160,Thousand metric tons
Aluminum,1985,West Europe,3327,Thousand metric tons
Aluminum,1986,Africa,556,Thousand metric tons
Aluminum,1986,Asia (ex China),1074,Thousand metric tons
Aluminum,1986,China (Estimated),0,Thousand metric tons
Aluminum,1986,East & Central Europe,0,Thousand metric tons
Aluminum,1986,GCC,0,Thousand metric tons
Aluminum,1986,North America,4402,Thousand metric tons
Aluminum,1986,Oceania,1119,Thousand metric tons
Aluminum,1986,South America,1397,Thousand metric tons
Aluminum,1986,West Europe,3399,Thousand metric tons
Aluminum,1987,Africa,572,Thousand metric tons
Aluminum,1987,Asia (ex China),927,Thousand metric tons
Aluminum,1987,China (Estimated),0,Thousand metric tons
Aluminum,1987,East & Central Europe,0,Thousand metric tons
Aluminum,1987,GCC,0,Thousand metric tons
Aluminum,1987,North America,4889,Thousand metric tons
Aluminum,1987,Oceania,1273,Thousand metric tons
Aluminum,1987,South America,1486,Thousand metric tons
Aluminum,1987,West Europe,3462,Thousand metric tons
Aluminum,1988,Africa,597,Thousand metric tons
Aluminum,1988,Asia (ex China),981,Thousand metric tons
Aluminum,1988,China (Estimated),0,Thousand metric tons
Aluminum,1988,East & Central Europe,0,Thousand metric tons
Aluminum,1988,GCC,0,Thousand metric tons
Aluminum,1988,North America,5475,Thousand metric tons
Aluminum,1988,Oceania,1407,Thousand metric tons
Aluminum,1988,South America,1553,Thousand metric tons
Aluminum,1988,West Europe,3488,Thousand metric tons
Aluminum,1989,Africa,603,Thousand metric tons
Aluminum,1989,Asia (ex China),1093,Thousand metric tons
Aluminum,1989,China (Estimated),0,Thousand metric tons
Aluminum,1989,East & Central Europe,0,Thousand metric tons
Aluminum,1989,GCC,0,Thousand metric tons
Aluminum,1989,North America,5587,Thousand metric tons
Aluminum,1989,Oceania,1501,Thousand metric tons
Aluminum,1989,South America,1698,Thousand metric tons
Aluminum,1989,West Europe,3580,Thousand metric tons
Aluminum,1990,Africa,602,Thousand metric tons
Aluminum,1990,Asia (ex China),1118,Thousand metric tons
Aluminum,1990,China (Estimated),0,Thousand metric tons
Aluminum,1990,East & Central Europe,0,Thousand metric tons
Aluminum,1990,GCC,0,Thousand metric tons
Aluminum,1990,North America,5617,Thousand metric tons
Aluminum,1990,Oceania,1498,Thousand metric tons
Aluminum,1990,South America,1790,Thousand metric tons
Aluminum,1990,West Europe,3561,Thousand metric tons
Aluminum,1991,Africa,612,Thousand metric tons
Aluminum,1991,Asia (ex China),1223,Thousand metric tons
Aluminum,1991,China (Estimated),0,Thousand metric tons
Aluminum,1991,East & Central Europe,0,Thousand metric tons
Aluminum,1991,GCC,0,Thousand metric tons
Aluminum,1991,North America,5947,Thousand metric tons
Aluminum,1991,Oceania,1495,Thousand metric tons
Aluminum,1991,South America,1996,Thousand metric tons
Aluminum,1991,West Europe,3505,Thousand metric tons
Aluminum,1992,Africa,617,Thousand metric tons
Aluminum,1992,Asia (ex China),1379,Thousand metric tons
Aluminum,1992,China (Estimated),0,Thousand metric tons
Aluminum,1992,East & Central Europe,0,Thousand metric tons
Aluminum,1992,GCC,0,Thousand metric tons
Aluminum,1992,North America,6016,Thousand metric tons
Aluminum,1992,Oceania,1483,Thousand metric tons
Aluminum,1992,South America,1949,Thousand metric tons
Aluminum,1992,West Europe,3319,Thousand metric tons
Aluminum,1993,Africa,616,Thousand metric tons
Aluminum,1993,Asia (ex China),1530,Thousand metric tons
Aluminum,1993,China (Estimated),0,Thousand metric tons
Aluminum,1993,East & Central Europe,0,Thousand metric tons
Aluminum,1993,GCC,0,Thousand metric tons
Aluminum,1993,North America,6000,Thousand metric tons
Aluminum,1993,Oceania,1653,Thousand metric tons
Aluminum,1993,South America,1949,Thousand metric tons
Aluminum,1993,West Europe,3236,Thousand metric tons
Aluminum,1994,Africa,576,Thousand metric tons
Aluminum,1994,Asia (ex China),1585,Thousand metric tons
Aluminum,1994,China (Estimated),0,Thousand metric tons
Aluminum,1994,East & Central Europe,0,Thousand metric tons
Aluminum,1994,GCC,0,Thousand metric tons
Aluminum,1994,North America,5554,Thousand metric tons
Aluminum,1994,Oceania,1583,Thousand metric tons
Aluminum,1994,South America,1976,Thousand metric tons
Aluminum,1994,West Europe,3961,Thousand metric tons
Aluminum,1995,Africa,631,Thousand metric tons
Aluminum,1995,Asia (ex China),1656,Thousand metric tons
Aluminum,1995,China (Estimated),0,Thousand metric tons
Aluminum,1995,East & Central Europe,0,Thousand metric tons
Aluminum,1995,GCC,0,Thousand metric tons
Aluminum,1995,North America,5546,Thousand metric tons
Aluminum,1995,Oceania,1566,Thousand metric tons
Aluminum,1995,South America,2058,Thousand metric tons
Aluminum,1995,West Europe,5885,Thousand metric tons
Aluminum,1996,Africa,1015,Thousand metric tons
Aluminum,1996,Asia (ex China),1624,Thousand metric tons
Aluminum,1996,China (Estimated),0,Thousand metric tons
Aluminum,1996,East & Central Europe,3185,Thousand metric tons
Aluminum,1996,GCC,0,Thousand metric tons
Aluminum,1996,North America,5860,Thousand metric tons
Aluminum,1996,Oceania,1656,Thousand metric tons
Aluminum,1996,South America,2107,Thousand metric tons
Aluminum,1996,West Europe,3192,Thousand metric tons
Aluminum,1997,Africa,1106,Thousand metric tons
Aluminum,1997,Asia (ex China),1910,Thousand metric tons
Aluminum,1997,China (Estimated),0,Thousand metric tons
Aluminum,1997,East & Central Europe,3316,Thousand metric tons
Aluminum,1997,GCC,0,Thousand metric tons
Aluminum,1997,North America,5930,Thousand metric tons
Aluminum,1997,Oceania,1804,Thousand metric tons
Aluminum,1997,South America,2116,Thousand metric tons
Aluminum,1997,West Europe,3297,Thousand metric tons
Aluminum,1998,Africa,1043,Thousand metric tons
Aluminum,1998,Asia (ex China),1843,Thousand metric tons
Aluminum,1998,China (Estimated),0,Thousand metric tons
Aluminum,1998,East & Central Europe,3419,Thousand metric tons
Aluminum,1998,GCC,0,Thousand metric tons
Aluminum,1998,North America,6086,Thousand metric tons
Aluminum,1998,Oceania,1934,Thousand metric tons
Aluminum,1998,South America,2075,Thousand metric tons
Aluminum,1998,West Europe,3549,Thousand metric tons
Aluminum,1999,Africa,1095,Thousand metric tons
Aluminum,1999,Asia (ex China),1966,Thousand metric tons
Aluminum,1999,China (Estimated),2598,Thousand metric tons
Aluminum,1999,East & Central Europe,3584,Thousand metric tons
Aluminum,1999,GCC,0,Thousand metric tons
Aluminum,1999,North America,6169,Thousand metric tons
Aluminum,1999,Oceania,2028,Thousand metric tons
Aluminum,1999,South America,2093,Thousand metric tons
Aluminum,1999,West Europe,3720,Thousand metric tons
Aluminum,2000,Africa,1178,Thousand metric tons
Aluminum,2000,Asia (ex China),2221,Thousand metric tons
Aluminum,2000,China (Estimated),2794,Thousand metric tons
Aluminum,2000,East & Central Europe,3689,Thousand metric tons
Aluminum,2000,GCC,0,Thousand metric tons
Aluminum,2000,North America,6041,Thousand metric tons
Aluminum,2000,Oceania,2094,Thousand metric tons
Aluminum,2000,South America,2167,Thousand metric tons
Aluminum,2000,West Europe,3801,Thousand metric tons
Aluminum,2001,Africa,1369,Thousand metric tons
Aluminum,2001,Asia (ex China),2234,Thousand metric tons
Aluminum,2001,China (Estimated),3371,Thousand metric tons
Aluminum,2001,East & Central Europe,3728,Thousand metric tons
Aluminum,2001,GCC,0,Thousand metric tons
Aluminum,2001,North America,5222,Thousand metric tons
Aluminum,2001,Oceania,2122,Thousand metric tons
Aluminum,2001,South America,1991,Thousand metric tons
Aluminum,2001,West Europe,3885,Thousand metric tons
Aluminum,2002,Africa,1372,Thousand metric tons
Aluminum,2002,Asia (ex China),2261,Thousand metric tons
Aluminum,2002,China (Estimated),4321,Thousand metric tons
Aluminum,2002,East & Central Europe,3825,Thousand metric tons
Aluminum,2002,GCC,0,Thousand metric tons
Aluminum,2002,North America,5413,Thousand metric tons
Aluminum,2002,Oceania,2170,Thousand metric tons
Aluminum,2002,South America,2230,Thousand metric tons
Aluminum,2002,West Europe,3928,Thousand metric tons
Aluminum,2003,Africa,1428,Thousand metric tons
Aluminum,2003,Asia (ex China),2475,Thousand metric tons
Aluminum,2003,China (Estimated),5547,Thousand metric tons
Aluminum,2003,East & Central Europe,3996,Thousand metric tons
Aluminum,2003,GCC,0,Thousand metric tons
Aluminum,2003,North America,5495,Thousand metric tons
Aluminum,2003,Oceania,2198,Thousand metric tons
Aluminum,2003,South America,2275,Thousand metric tons
Aluminum,2003,West Europe,4068,Thousand metric tons
Aluminum,2004,Africa,1711,Thousand metric tons
Aluminum,2004,Asia (ex China),2735,Thousand metric tons
Aluminum,2004,China (Estimated),6689,Thousand metric tons
Aluminum,2004,East & Central Europe,4139,Thousand metric tons
Aluminum,2004,GCC,0,Thousand metric tons
Aluminum,2004,North America,5110,Thousand metric tons
Aluminum,2004,Oceania,2246,Thousand metric tons
Aluminum,2004,South America,2356,Thousand metric tons
Aluminum,2004,West Europe,4295,Thousand metric tons
Aluminum,2005,Africa,1753,Thousand metric tons
Aluminum,2005,Asia (ex China),3139,Thousand metric tons
Aluminum,2005,China (Estimated),7806,Thousand metric tons
Aluminum,2005,East & Central Europe,4194,Thousand metric tons
Aluminum,2005,GCC,0,Thousand metric tons
Aluminum,2005,North America,5382,Thousand metric tons
Aluminum,2005,Oceania,2252,Thousand metric tons
Aluminum,2005,South America,2391,Thousand metric tons
Aluminum,2005,West Europe,4352,Thousand metric tons
Aluminum,2006,Africa,1864,Thousand metric tons
Aluminum,2006,Asia (ex China),3493,Thousand metric tons
Aluminum,2006,China (Estimated),9349,Thousand metric tons
Aluminum,2006,East & Central Europe,4230,Thousand metric tons
Aluminum,2006,GCC,0,Thousand metric tons
Aluminum,2006,North America,5333,Thousand metric tons
Aluminum,2006,Oceania,2274,Thousand metric tons
Aluminum,2006,South America,2493,Thousand metric tons
Aluminum,2006,West Europe,4182,Thousand metric tons
Aluminum,2007,Africa,1815,Thousand metric tons
Aluminum,2007,Asia (ex China),3717,Thousand metric tons
Aluminum,2007,China (Estimated),12588,Thousand metric tons
Aluminum,2007,East & Central Europe,4460,Thousand metric tons
Aluminum,2007,GCC,0,Thousand metric tons
Aluminum,2007,North America,5642,Thousand metric tons
Aluminum,2007,Oceania,2315,Thousand metric tons
Aluminum,2007,South America,2558,Thousand metric tons
Aluminum,2007,West Europe,4305,Thousand metric tons
Aluminum,2008,Africa,1715,Thousand metric tons
Aluminum,2008,Asia (ex China),3923,Thousand metric tons
Aluminum,2008,China (Estimated),13585,Thousand metric tons
Aluminum,2008,East & Central Europe,4658,Thousand metric tons
Aluminum,2008,GCC,0,Thousand metric tons
Aluminum,2008,North America,5783,Thousand metric tons
Aluminum,2008,Oceania,2297,Thousand metric tons
Aluminum,2008,South America,2660,Thousand metric tons
Aluminum,2008,West Europe,4618,Thousand metric tons
Aluminum,2009,Africa,1681,Thousand metric tons
Aluminum,2009,Asia (ex China),4400,Thousand metric tons
Aluminum,2009,China (Estimated),13684,Thousand metric tons
Aluminum,2009,East & Central Europe,4117,Thousand metric tons
Aluminum,2009,GCC,0,Thousand metric tons
Aluminum,2009,North America,4759,Thousand metric tons
Aluminum,2009,Oceania,2211,Thousand metric tons
Aluminum,2009,South America,2508,Thousand metric tons
Aluminum,2009,West Europe,3722,Thousand metric tons
Aluminum,2010,Africa,1742,Thousand metric tons
Aluminum,2010,Asia (ex China),2500,Thousand metric tons
Aluminum,2010,China (Estimated),17331,Thousand metric tons
Aluminum,2010,East & Central Europe,4253,Thousand metric tons
Aluminum,2010,GCC,2724,Thousand metric tons
Aluminum,2010,North America,4689,Thousand metric tons
Aluminum,2010,Oceania,2277,Thousand metric tons
Aluminum,2010,South America,2305,Thousand metric tons
Aluminum,2010,West Europe,3800,Thousand metric tons
Aluminum,2011,Africa,1805,Thousand metric tons
Aluminum,2011,Asia (ex China),2533,Thousand metric tons
Aluminum,2011,China (Estimated),20072,Thousand metric tons
Aluminum,2011,East & Central Europe,4319,Thousand metric tons
Aluminum,2011,GCC,3483,Thousand metric tons
Aluminum,2011,North America,4969,Thousand metric tons
Aluminum,2011,Oceania,2306,Thousand metric tons
Aluminum,2011,South America,2185,Thousand metric tons
Aluminum,2011,West Europe,4027,Thousand metric tons
Aluminum,2012,Africa,1639,Thousand metric tons
Aluminum,2012,Asia (ex China),2535,Thousand metric tons
Aluminum,2012,China (Estimated),23534,Thousand metric tons
Aluminum,2012,East & Central Europe,4323,Thousand metric tons
Aluminum,2012,GCC,3662,Thousand metric tons
Aluminum,2012,North America,4851,Thousand metric tons
Aluminum,2012,Oceania,2186,Thousand metric tons
Aluminum,2012,South America,2052,Thousand metric tons
Aluminum,2012,West Europe,3605,Thousand metric tons
Aluminum,2013,Africa,1812,Thousand metric tons
Aluminum,2013,Asia (ex China),2439,Thousand metric tons
Aluminum,2013,China (Estimated),26534,Thousand metric tons
Aluminum,2013,East & Central Europe,3995,Thousand metric tons
Aluminum,2013,GCC,3887,Thousand metric tons
Aluminum,2013,North America,4918,Thousand metric tons
Aluminum,2013,Oceania,2104,Thousand metric tons
Aluminum,2013,South America,1906,Thousand metric tons
Aluminum,2013,West Europe,3616,Thousand metric tons
Aluminum,2014,Africa,1746,Thousand metric tons
Aluminum,2014,Asia (ex China),2429,Thousand metric tons
Aluminum,2014,China (Estimated),28317,Thousand metric tons
Aluminum,2014,East & Central Europe,3764,Thousand metric tons
Aluminum,2014,GCC,4832,Thousand metric tons
Aluminum,2014,North America,4585,Thousand metric tons
Aluminum,2014,Oceania,2035,Thousand metric tons
Aluminum,2014,South America,1543,Thousand metric tons
Aluminum,2014,West Europe,3596,Thousand metric tons
Aluminum,2015,Africa,1687,Thousand metric tons
Aluminum,2015,Asia (ex China),3001,Thousand metric tons
Aluminum,2015,China (Estimated),31518,Thousand metric tons
Aluminum,2015,East & Central Europe,3829,Thousand metric tons
Aluminum,2015,GCC,5104,Thousand metric tons
Aluminum,2015,North America,4469,Thousand metric tons
Aluminum,2015,Oceania,1978,Thousand metric tons
Aluminum,2015,South America,1325,Thousand metric tons
Aluminum,2015,West Europe,3745,Thousand metric tons
Aluminum,2016,Africa,1691,Thousand metric tons
Aluminum,2016,Asia (ex China),3442,Thousand metric tons
Aluminum,2016,China (Estimated),32641,Thousand metric tons
Aluminum,2016,East & Central Europe,3981,Thousand metric tons
Aluminum,2016,GCC,5197,Thousand metric tons
Aluminum,2016,North America,4027,Thousand metric tons
Aluminum,2016,Oceania,1971,Thousand metric tons
Aluminum,2016,South America,1361,Thousand metric tons
Aluminum,2016,West Europe,3779,Thousand metric tons
Aluminum,2017,Africa,1679,Thousand metric tons
Aluminum,2017,Asia (ex China),3951,Thousand metric tons
Aluminum,2017,China (Estimated),35905,Thousand metric tons
Aluminum,2017,East & Central Europe,3999,Thousand metric tons
Aluminum,2017,GCC,5149,Thousand metric tons
Aluminum,2017,North America,3950,Thousand metric tons
Aluminum,2017,Oceania,1817,Thousand metric tons
Aluminum,2017,South America,1378,Thousand metric tons
Aluminum,2017,West Europe,3776,Thousand metric tons
Aluminum,2018,Africa,1668,Thousand metric tons
Aluminum,2018,Asia (ex China),4415,Thousand metric tons
Aluminum,2018,China (Estimated),36485,Thousand metric tons
Aluminum,2018,East & Central Europe,4049,Thousand metric tons
Aluminum,2018,GCC,5331,Thousand metric tons
Aluminum,2018,North America,3774,Thousand metric tons
Aluminum,2018,Oceania,1917,Thousand metric tons
Aluminum,2018,South America,1164,Thousand metric tons
Aluminum,2018,West Europe,3733,Thousand metric tons
Aluminum,2019,Africa,1504,Thousand metric tons
Aluminum,2019,Asia (ex China),4029,Thousand metric tons
Aluminum,2019,China (Estimated),32683,Thousand metric tons
Aluminum,2019,East & Central Europe,3800,Thousand metric tons
Aluminum,2019,GCC,5145,Thousand metric tons
Aluminum,2019,North America,3485,Thousand metric tons
Aluminum,2019,Oceania,1755,Thousand metric tons
Aluminum,2019,South America,983,Thousand metric tons
Aluminum,2019,West Europe,3155,Thousand metric tons
Alumina,2000,Africa & Asia (ex China),3812.01,Thousand metric tons
Alumina,2000,China (Estimated),0,Thousand metric tons
Alumina,2000,East & Central Europe,4144.98,Thousand metric tons
Alumina,2000,North America,4624.98,Thousand metric tons
Alumina,2000,Oceania,15409.02,Thousand metric tons
Alumina,2000,South America,11256.99,Thousand metric tons
Alumina,2000,West Europe,4528.98,Thousand metric tons
Alumina,2001,Africa & Asia (ex China),4081.02,Thousand metric tons
Alumina,2001,China (Estimated),0,Thousand metric tons
Alumina,2001,East & Central Europe,4323.99,Thousand metric tons
Alumina,2001,North America,4655.01,Thousand metric tons
Alumina,2001,Oceania,16110,Thousand metric tons
Alumina,2001,South America,10652.01,Thousand metric tons
Alumina,2001,West Europe,4669.02,Thousand metric tons
Alumina,2002,Africa & Asia (ex China),4704,Thousand metric tons
Alumina,2002,China (Estimated),0,Thousand metric tons
Alumina,2002,East & Central Europe,4453.98,Thousand metric tons
Alumina,2002,North America,4612.02,Thousand metric tons
Alumina,2002,Oceania,16179,Thousand metric tons
Alumina,2002,South America,11012.01,Thousand metric tons
Alumina,2002,West Europe,4859.01,Thousand metric tons
Alumina,2003,Africa & Asia (ex China),5064,Thousand metric tons
Alumina,2003,China (Estimated),5549.01,Thousand metric tons
Alumina,2003,East & Central Europe,4596.99,Thousand metric tons
Alumina,2003,North America,5204.01,Thousand metric tons
Alumina,2003,Oceania,16550.01,Thousand metric tons
Alumina,2003,South America,12261.99,Thousand metric tons
Alumina,2003,West Europe,4834.02,Thousand metric tons
Alumina,2004,Africa & Asia (ex China),5238.99,Thousand metric tons
Alumina,2004,China (Estimated),6361.98,Thousand metric tons
Alumina,2004,East & Central Europe,4770.99,Thousand metric tons
Alumina,2004,North America,5894.97,Thousand metric tons
Alumina,2004,Oceania,16746,Thousand metric tons
Alumina,2004,South America,12824.01,Thousand metric tons
Alumina,2004,West Europe,4982.01,Thousand metric tons
Alumina,2005,Africa & Asia (ex China),5269.02,Thousand metric tons
Alumina,2005,China (Estimated),7518.99,Thousand metric tons
Alumina,2005,East & Central Europe,4833,Thousand metric tons
Alumina,2005,North America,5945.01,Thousand metric tons
Alumina,2005,Oceania,17684.01,Thousand metric tons
Alumina,2005,South America,12965.01,Thousand metric tons
Alumina,2005,West Europe,4930.98,Thousand metric tons
Alumina,2006,Africa & Asia (ex China),5018.97,Thousand metric tons
Alumina,2006,China (Estimated),12918,Thousand metric tons
Alumina,2006,East & Central Europe,4853.04,Thousand metric tons
Alumina,2006,North America,5928.99,Thousand metric tons
Alumina,2006,Oceania,18341.01,Thousand metric tons
Alumina,2006,South America,14667,Thousand metric tons
Alumina,2006,West Europe,4998,Thousand metric tons
Alumina,2007,Africa & Asia (ex China),5263.02,Thousand metric tons
Alumina,2007,China (Estimated),20047.02,Thousand metric tons
Alumina,2007,East & Central Europe,4920,Thousand metric tons
Alumina,2007,North America,5289.99,Thousand metric tons
Alumina,2007,Oceania,18987.03,Thousand metric tons
Alumina,2007,South America,14913,Thousand metric tons
Alumina,2007,West Europe,5111.01,Thousand metric tons
Alumina,2008,Africa & Asia (ex China),5815.98,Thousand metric tons
Alumina,2008,China (Estimated),22740.99,Thousand metric tons
Alumina,2008,East & Central Europe,4770.99,Thousand metric tons
Alumina,2008,North America,5276.97,Thousand metric tons
Alumina,2008,Oceania,19416.03,Thousand metric tons
Alumina,2008,South America,15589.02,Thousand metric tons
Alumina,2008,West Europe,5089.02,Thousand metric tons
Alumina,2009,Africa & Asia (ex China),5685,Thousand metric tons
Alumina,2009,China (Estimated),23854.98,Thousand metric tons
Alumina,2009,East & Central Europe,4189.02,Thousand metric tons
Alumina,2009,North America,3540,Thousand metric tons
Alumina,2009,Oceania,19957.98,Thousand metric tons
Alumina,2009,South America,13161,Thousand metric tons
Alumina,2009,West Europe,3501,Thousand metric tons
Alumina,2010,Africa & Asia (ex China),5711.01,Thousand metric tons
Alumina,2010,China (Estimated),31071,Thousand metric tons
Alumina,2010,East & Central Europe,4199.04,Thousand metric tons
Alumina,2010,North America,4446,Thousand metric tons
Alumina,2010,Oceania,19647,Thousand metric tons
Alumina,2010,South America,13608.99,Thousand metric tons
Alumina,2010,West Europe,4005.03,Thousand metric tons
Alumina,2011,Africa & Asia (ex China),5921.04,Thousand metric tons
Alumina,2011,China (Estimated),38916,Thousand metric tons
Alumina,2011,East & Central Europe,4310.97,Thousand metric tons
Alumina,2011,North America,4823.01,Thousand metric tons
Alumina,2011,Oceania,19115.01,Thousand metric tons
Alumina,2011,South America,14823,Thousand metric tons
Alumina,2011,West Europe,4131,Thousand metric tons
Alumina,2012,Africa & Asia (ex China),5391,Thousand metric tons
Alumina,2012,China (Estimated),41409,Thousand metric tons
Alumina,2012,East & Central Europe,4057,Thousand metric tons
Alumina,2012,North America,5226,Thousand metric tons
Alumina,2012,Oceania,20997,Thousand metric tons
Alumina,2012,South America,13786,Thousand metric tons
Alumina,2012,West Europe,4106,Thousand metric tons
Alumina,2013,Africa & Asia (ex China),4980,Thousand metric tons
Alumina,2013,China (Estimated),46326,Thousand metric tons
Alumina,2013,East & Central Europe,4101,Thousand metric tons
Alumina,2013,North America,5873,Thousand metric tons
Alumina,2013,Oceania,21240,Thousand metric tons
Alumina,2013,South America,13069,Thousand metric tons
Alumina,2013,West Europe,4163,Thousand metric tons
Alumina,2014,Africa & Asia (ex China),5307,Thousand metric tons
Alumina,2014,China (Estimated),53796,Thousand metric tons
Alumina,2014,East & Central Europe,3982,Thousand metric tons
Alumina,2014,North America,5551,Thousand metric tons
Alumina,2014,Oceania,20269,Thousand metric tons
