# File: assumption_steel.csv
# Title: Crude steel production by region
# Units: Mt
# Description: Crude steel production 2020 for deep dive regions
# Source: World Steel Association
# Column types: cnnnnnnnnnnnnnnnnnnn
# ----------
region,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
Mexico,16.87,18.26,19.955,20.84518881,21.62562615,22.28366056,22.81976645,23.23093911,23.51891812,23.68544305,23.72671846,23.71438328,23.67168458,23.59435249,23.47179141,23.30099661,23.08861011,22.86104186,22.62493387
Middle East,20,29.378,34.475,37.37604612,40.14159914,42.79773558,45.33043441,47.64875538,49.69831779,51.45592796,52.90822003,54.06855986,54.95306509,55.55990119,55.91566885,56.05915526,56.03058901,55.871116,55.57588781
Pakistan,1.401,2.892,4.966,5.368446684,5.740643404,6.088386272,6.418333634,6.727755089,7.00747745,7.240375835,7.425923324,7.572885942,7.685766452,7.773139273,7.831579427,7.866954881,7.871697156,7.854428569,7.816945438
Russia,66.942,70.91,71.7,71.16516282,70.51972191,69.94246138,69.59044862,69.31065655,69.04652072,68.7293557,68.3945143,67.92987765,67.38594975,66.7450542,65.97638358,65.09054371,64.12389747,63.0820003,61.92899436
South Africa,7.617,6.422,6.301,6.53649552,6.736574721,6.902502473,7.043477818,7.158005913,7.24942141,7.316804405,7.364064493,7.380277807,7.36245466,7.312204883,7.230908334,7.131443674,7.014270854,6.878929923,6.724960929
South America_Northern,2.207302,1.343,0.444,0.468981771,0.491898723,0.511947869,0.529078226,0.543315286,0.554569829,0.562994804,0.568666686,0.571521745,0.571458016,0.56865394,0.563810535,0.557068006,0.548694015,0.538930731,0.528096799
South America_Southern,2.328104,3.0605,3.008,3.1275787,3.230627504,3.315008045,3.381297345,3.428612902,3.456886833,3.467035578,3.460858081,3.445108857,3.421247424,3.389545322,3.349934666,3.303399781,3.251841437,3.19787319,3.142615136
South Asia,0.1082,0.13,0.13,0.138257898,0.145966017,0.153035496,0.159383819,0.164864509,0.169408232,0.172993994,0.175593477,0.177368781,0.178415116,0.178840877,0.178690494,0.178017187,0.176893706,0.175422099,0.173695132
South Korea,58.914,69.7,71.411852,71.79220999,71.82113456,71.35978779,70.33007337,68.78260928,66.79115316,64.4988816,62.05186362,59.51951819,56.96981802,54.45771978,52.02805654,49.70830664,47.51582481,45.46362711,43.45047757
Southeast Asia,15.95619,15.915,22.418,23.35308107,24.14845297,24.7949861,25.29309779,25.64320542,25.84546548,25.92768416,25.9025386,25.77503703,25.5617171,25.26388303,24.89588136,24.47383239,24.01375205,23.5316563,23.03317942
Taiwan,19.755,21.37,22.438,22.438,22.438,22.438,22.438,22.438,22.438,22.438,22.438,22.438,22.438,22.438,22.438,22.438,22.438,22.438,22.438
USA,80.495,78.9,87.761182,91.08646401,94.25302998,97.20426947,99.93372009,102.4302665,104.7918785,107.1470281,109.5298367,111.7748673,113.777688,115.4656615,116.7943268,117.7779009,118.4667906,118.8917567,119.0303101
