# File: NREL_ATB_capital_2022.csv
# Title: Technology overnight capital cost assumptions by year from NREL 2022 ATB
# Units: $2020/kW
# Source: NREL 2022 Annual Technology Baseline for 2020-2050 (https://data.openei.org/submissions/5716)
# Comments: tech_type corresponds to tab within the ATB workbooks; tech_detail corresponds to the more detailed technologies within those tabs
# Users can specify how ATB technologies are mapped to GCAM technologies in energy/mappings/atb_gcam_mapping.csv
# Column types: ccccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# -------------
tech_type,tech_detail,input,case,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Offshore Wind,Class 4,capital,low tech,2816.4,2689.41,2604.56,2544.36,2497.66,2459.51,2427.25,2399.31,2374.66,2352.61,2332.66,2314.46,2297.71,2282.2,2267.76,2254.25,2241.57,2229.61,2218.29,2207.56,2197.35,2187.61,2178.31,2169.41,2160.86,2152.66,2144.76,2137.15,2129.8,2122.71,2115.85
Offshore Wind,Class 5,capital,adv tech,2511.55,2227.2,2106.96,2021.65,1955.47,1901.41,1855.69,1816.1,1781.17,1749.92,1721.66,1695.86,1672.12,1650.14,1629.68,1610.55,1592.57,1575.62,1559.58,1544.37,1529.91,1516.11,1502.93,1490.31,1478.2,1466.57,1455.38,1444.59,1434.19,1424.13,1414.41
Offshore Wind,Class 5,capital,central,2636.56,2401.32,2288.11,2207.78,2145.48,2094.57,2051.53,2014.25,1981.36,1951.94,1925.33,1901.04,1878.69,1858,1838.73,1820.71,1803.79,1787.83,1772.73,1758.41,1744.79,1731.8,1719.39,1707.5,1696.1,1685.15,1674.62,1664.46,1654.66,1645.2,1636.04
Offshore Wind,Class 5,capital,low tech,2866.1,2736.87,2650.52,2589.26,2541.74,2502.91,2470.08,2441.64,2416.56,2394.12,2373.83,2355.3,2338.25,2322.47,2307.78,2294.03,2281.12,2268.95,2257.44,2246.51,2236.12,2226.22,2216.75,2207.69,2198.99,2190.64,2182.61,2174.86,2167.39,2160.17,2153.19
Offshore Wind,Class 6,capital,adv tech,2534.8,2247.82,2126.46,2040.36,1973.58,1919.01,1872.87,1832.91,1797.66,1766.12,1737.6,1711.56,1687.6,1665.42,1644.77,1625.46,1607.31,1590.2,1574.02,1558.67,1544.07,1530.15,1516.84,1504.1,1491.89,1480.15,1468.85,1457.97,1447.47,1437.32,1427.51
Offshore Wind,Class 6,capital,central,2660.97,2423.55,2309.29,2228.22,2165.34,2113.96,2070.52,2032.9,1999.71,1970.01,1943.16,1918.64,1896.08,1875.2,1855.76,1837.57,1820.48,1804.38,1789.14,1774.69,1760.94,1747.83,1735.3,1723.31,1711.81,1700.75,1690.12,1679.87,1669.98,1660.43,1651.19
Offshore Wind,Class 6,capital,low tech,2892.63,2762.2,2675.06,2613.23,2565.27,2526.08,2492.95,2464.25,2438.93,2416.29,2395.8,2377.1,2359.9,2343.97,2329.14,2315.27,2302.24,2289.96,2278.34,2267.31,2256.83,2246.83,2237.27,2228.13,2219.35,2210.92,2202.81,2194.99,2187.45,2180.17,2173.12
Offshore Wind,Class 7,capital,adv tech,2766.34,2453.14,2320.71,2226.74,2153.86,2094.3,2043.95,2000.34,1961.87,1927.45,1896.32,1867.9,1841.76,1817.55,1795.02,1773.94,1754.13,1735.46,1717.8,1701.05,1685.11,1669.92,1655.4,1641.5,1628.16,1615.35,1603.03,1591.15,1579.69,1568.61,1557.9
Offshore Wind,Class 7,capital,central,2904.04,2644.93,2520.24,2431.76,2363.14,2307.07,2259.66,2218.59,2182.37,2149.97,2120.66,2093.9,2069.28,2046.49,2025.27,2005.42,1986.78,1969.2,1952.57,1936.8,1921.79,1907.49,1893.82,1880.73,1868.17,1856.11,1844.5,1833.32,1822.53,1812.1,1802.02
Offshore Wind,Class 7,capital,low tech,3156.86,3014.52,2919.41,2851.93,2799.59,2756.83,2720.67,2689.35,2661.72,2637.01,2614.65,2594.24,2575.47,2558.08,2541.9,2526.76,2512.54,2499.14,2486.45,2474.42,2462.98,2452.07,2441.64,2431.66,2422.08,2412.88,2404.03,2395.5,2387.27,2379.32,2371.62
Offshore Wind,Class 8,capital,adv tech,3387.62,3027.52,2869.85,2757.98,2671.21,2600.31,2540.37,2488.44,2442.64,2401.67,2364.61,2330.77,2299.65,2270.83,2244,2218.9,2195.33,2173.1,2152.08,2132.13,2113.16,2095.07,2077.78,2061.23,2045.36,2030.11,2015.43,2001.29,1987.64,1974.46,1961.71
Offshore Wind,Class 8,capital,central,3553.9,3256.28,3108.2,3003.14,2921.64,2855.06,2798.76,2749.99,2706.98,2668.5,2633.69,2601.91,2572.68,2545.62,2520.42,2496.85,2474.71,2453.84,2434.09,2415.36,2397.54,2380.55,2364.31,2348.77,2333.86,2319.54,2305.76,2292.47,2279.66,2267.28,2255.3
Offshore Wind,Class 8,capital,low tech,3849.13,3677.58,3562.38,3480.65,3417.25,3365.45,3321.66,3283.72,3250.25,3220.32,3193.24,3168.52,3145.78,3124.73,3105.13,3086.79,3069.57,3053.33,3037.97,3023.39,3009.53,2996.31,2983.68,2971.59,2960,2948.85,2938.13,2927.8,2917.83,2908.2,2898.88
Offshore Wind,Class 9,capital,adv tech,3400.47,3039.01,2880.74,2768.44,2681.34,2610.17,2550,2497.88,2451.91,2410.78,2373.58,2339.61,2308.37,2279.44,2252.51,2227.32,2203.65,2181.34,2160.24,2140.22,2121.17,2103.01,2085.66,2069.05,2053.12,2037.81,2023.07,2008.88,1995.18,1981.95,1969.15
Offshore Wind,Class 9,capital,central,3567.38,3268.63,3119.99,3014.53,2932.73,2865.89,2809.38,2760.42,2717.25,2678.62,2643.68,2611.78,2582.44,2555.27,2529.98,2506.32,2484.1,2463.14,2443.32,2424.52,2406.63,2389.58,2373.28,2357.68,2342.72,2328.34,2314.5,2301.17,2288.31,2275.88,2263.86
Offshore Wind,Class 9,capital,low tech,3863.73,3691.53,3575.89,3493.85,3430.21,3378.22,3334.26,3296.17,3262.58,3232.54,3205.36,3180.54,3157.71,3136.58,3116.9,3098.5,3081.21,3064.91,3049.49,3034.86,3020.95,3007.68,2995,2982.87,2971.22,2960.04,2949.28,2938.9,2928.9,2919.23,2909.88
Offshore Wind,Class 10,capital,adv tech,3494.02,3122.61,2959.99,2844.61,2755.11,2681.98,2620.16,2566.6,2519.36,2477.1,2438.88,2403.98,2371.87,2342.15,2314.48,2288.59,2264.28,2241.35,2219.67,2199.1,2179.53,2160.87,2143.04,2125.97,2109.6,2093.87,2078.73,2064.15,2050.07,2036.47,2023.32
Offshore Wind,Class 10,capital,central,3665.52,3358.55,3205.82,3097.46,3013.41,2944.73,2886.66,2836.37,2792,2752.31,2716.41,2683.64,2653.49,2625.57,2599.58,2575.27,2552.44,2530.91,2510.54,2491.22,2472.84,2455.32,2438.57,2422.54,2407.17,2392.39,2378.18,2364.48,2351.26,2338.49,2326.14
Offshore Wind,Class 10,capital,low tech,3970.02,3793.08,3674.27,3589.97,3524.58,3471.15,3425.98,3386.85,3352.34,3321.47,3293.54,3268.04,3244.59,3222.87,3202.65,3183.74,3165.98,3149.23,3133.38,3118.35,3104.06,3090.42,3077.4,3064.93,3052.96,3041.47,3030.41,3019.76,3009.47,2999.54,2989.93
Offshore Wind,Class 11,capital,adv tech,3621.69,3236.71,3068.14,2948.54,2855.78,2779.98,2715.89,2660.38,2611.41,2567.61,2527.99,2491.81,2458.54,2427.73,2399.05,2372.22,2347.01,2323.25,2300.77,2279.45,2259.16,2239.82,2221.34,2203.65,2186.68,2170.38,2154.69,2139.57,2124.98,2110.88,2097.25
Offshore Wind,Class 11,capital,central,3799.46,3481.27,3322.96,3210.64,3123.51,3052.33,2992.14,2940,2894.02,2852.88,2815.67,2781.69,2750.44,2721.51,2694.57,2669.37,2645.7,2623.38,2602.27,2582.24,2563.19,2545.03,2527.68,2511.06,2495.12,2479.81,2465.07,2450.87,2437.17,2423.93,2411.13
Offshore Wind,Class 11,capital,low tech,4115.08,3931.68,3808.52,3721.14,3653.36,3597.99,3551.16,3510.61,3474.83,3442.83,3413.88,3387.45,3363.14,3340.63,3319.67,3300.07,3281.66,3264.29,3247.87,3232.29,3217.47,3203.34,3189.84,3176.91,3164.52,3152.6,3141.14,3130.09,3119.43,3109.14,3099.18
Offshore Wind,Class 12,capital,adv tech,3660.45,3271.35,3100.98,2980.1,2886.34,2809.73,2744.96,2688.85,2639.36,2595.09,2555.05,2518.49,2484.85,2453.71,2424.72,2397.61,2372.13,2348.12,2325.4,2303.85,2283.35,2263.8,2245.12,2227.24,2210.09,2193.61,2177.75,2162.47,2147.72,2133.48,2119.7
Offshore Wind,Class 12,capital,central,3840.12,3518.53,3358.53,3245,3156.94,3085,3024.17,2971.47,2924.99,2883.41,2845.8,2811.47,2779.88,2750.64,2723.41,2697.94,2674.02,2651.46,2630.12,2609.88,2590.63,2572.27,2554.73,2537.94,2521.83,2506.35,2491.46,2477.1,2463.26,2449.88,2436.94
Offshore Wind,Class 12,capital,low tech,4159.13,3973.76,3849.28,3760.97,3692.47,3636.5,3589.17,3548.18,3512.02,3479.68,3450.42,3423.71,3399.13,3376.38,3355.2,3335.39,3316.78,3299.23,3282.64,3266.89,3251.91,3237.63,3223.98,3210.92,3198.39,3186.35,3174.76,3163.6,3152.82,3142.42,3132.35
Offshore Wind,Class 13,capital,adv tech,3664.42,3274.89,3104.34,2983.33,2889.47,2812.78,2747.94,2691.77,2642.22,2597.9,2557.81,2521.21,2487.54,2456.37,2427.35,2400.2,2374.7,2350.66,2327.92,2306.34,2285.82,2266.25,2247.55,2229.65,2212.48,2195.98,2180.11,2164.81,2150.05,2135.79,2122
Offshore Wind,Class 13,capital,central,3844.28,3522.34,3362.17,3248.52,3160.36,3088.34,3027.44,2974.69,2928.16,2886.54,2848.89,2814.51,2782.89,2753.61,2726.36,2700.86,2676.91,2654.33,2632.97,2612.71,2593.44,2575.06,2557.5,2540.68,2524.56,2509.06,2494.15,2479.79,2465.92,2452.53,2439.58
Offshore Wind,Class 13,capital,low tech,4163.63,3978.06,3853.45,3765.04,3696.47,3640.43,3593.06,3552.02,3515.83,3483.45,3454.16,3427.42,3402.82,3380.04,3358.84,3339,3320.37,3302.81,3286.19,3270.43,3255.43,3241.14,3227.48,3214.4,3201.85,3189.8,3178.2,3167.02,3156.24,3145.82,3135.74
Offshore Wind,Class 14,capital,adv tech,4025.5,3597.6,3410.24,3277.3,3174.19,3089.94,3018.71,2957.01,2902.59,2853.9,2809.86,2769.65,2732.66,2698.42,2666.54,2636.72,2608.7,2582.29,2557.31,2533.61,2511.06,2489.56,2469.02,2449.36,2430.49,2412.37,2394.93,2378.13,2361.91,2346.25,2331.09
Offshore Wind,Class 14,capital,central,4223.09,3869.43,3693.47,3568.62,3471.78,3392.66,3325.76,3267.81,3216.7,3170.97,3129.61,3091.85,3057.11,3024.95,2995.01,2967,2940.69,2915.89,2892.42,2870.16,2848.99,2828.8,2809.51,2791.04,2773.32,2756.3,2739.93,2724.14,2708.91,2694.2,2679.97
Offshore Wind,Class 14,capital,low tech,4573.91,4370.06,4233.17,4136.05,4060.71,3999.16,3947.12,3902.04,3862.27,3826.7,3794.52,3765.15,3738.13,3713.11,3689.81,3668.03,3647.56,3628.26,3610.01,3592.69,3576.22,3560.51,3545.51,3531.14,3517.36,3504.12,3491.38,3479.1,3467.25,3455.8,3444.73
Land-Based Wind,Class 1,capital,adv tech,1405.17,1331.93,1258.69,1185.45,1112.21,1038.98,965.74,892.5,819.26,746.03,672.79,664.38,655.97,647.56,639.15,630.74,622.33,613.92,605.51,597.1,588.69,580.28,571.87,563.46,555.05,546.64,538.23,529.82,521.41,513,504.59
Land-Based Wind,Class 1,capital,central,1405.17,1355.96,1306.75,1257.54,1208.33,1159.12,1109.91,1060.7,1011.49,962.28,913.07,903.94,894.81,885.68,876.55,867.42,858.29,849.15,840.02,830.89,821.76,812.63,803.5,794.37,785.24,776.11,766.98,757.85,748.72,739.59,730.46
Land-Based Wind,Class 1,capital,low tech,1405.17,1360.76,1316.36,1271.95,1227.55,1183.15,1138.74,1094.34,1049.93,1005.53,961.13,956.32,951.51,946.71,941.9,937.1,932.29,927.49,922.68,917.88,913.07,908.26,903.46,898.65,893.85,889.04,884.24,879.43,874.62,869.82,865.01
Land-Based Wind,Class 2,capital,adv tech,1405.17,1331.93,1258.69,1185.45,1112.21,1038.98,965.74,892.5,819.26,746.03,672.79,664.38,655.97,647.56,639.15,630.74,622.33,613.92,605.51,597.1,588.69,580.28,571.87,563.46,555.05,546.64,538.23,529.82,521.41,513,504.59
Land-Based Wind,Class 2,capital,central,1405.17,1355.96,1306.75,1257.54,1208.33,1159.12,1109.91,1060.7,1011.49,962.28,913.07,903.94,894.81,885.68,876.55,867.42,858.29,849.15,840.02,830.89,821.76,812.63,803.5,794.37,785.24,776.11,766.98,757.85,748.72,739.59,730.46
Land-Based Wind,Class 2,capital,low tech,1405.17,1360.76,1316.36,1271.95,1227.55,1183.15,1138.74,1094.34,1049.93,1005.53,961.13,956.32,951.51,946.71,941.9,937.1,932.29,927.49,922.68,917.88,913.07,908.26,903.46,898.65,893.85,889.04,884.24,879.43,874.62,869.82,865.01
Land-Based Wind,Class 3,capital,adv tech,1405.17,1331.93,1258.69,1185.45,1112.21,1038.98,965.74,892.5,819.26,746.03,672.79,664.38,655.97,647.56,639.15,630.74,622.33,613.92,605.51,597.1,588.69,580.28,571.87,563.46,555.05,546.64,538.23,529.82,521.41,513,504.59
Land-Based Wind,Class 3,capital,central,1405.17,1355.96,1306.75,1257.54,1208.33,1159.12,1109.91,1060.7,1011.49,962.28,913.07,903.94,894.81,885.68,876.55,867.42,858.29,849.15,840.02,830.89,821.76,812.63,803.5,794.37,785.24,776.11,766.98,757.85,748.72,739.59,730.46
Land-Based Wind,Class 3,capital,low tech,1405.17,1360.76,1316.36,1271.95,1227.55,1183.15,1138.74,1094.34,1049.93,1005.53,961.13,956.32,951.51,946.71,941.9,937.1,932.29,927.49,922.68,917.88,913.07,908.26,903.46,898.65,893.85,889.04,884.24,879.43,874.62,869.82,865.01
Land-Based Wind,Class 4,capital,adv tech,1405.17,1331.93,1258.69,1185.45,1112.21,1038.98,965.74,892.5,819.26,746.03,672.79,664.38,655.97,647.56,639.15,630.74,622.33,613.92,605.51,597.1,588.69,580.28,571.87,563.46,555.05,546.64,538.23,529.82,521.41,513,504.59
Land-Based Wind,Class 4,capital,central,1405.17,1355.96,1306.75,1257.54,1208.33,1159.12,1109.91,1060.7,1011.49,962.28,913.07,903.94,894.81,885.68,876.55,867.42,858.29,849.15,840.02,830.89,821.76,812.63,803.5,794.37,785.24,776.11,766.98,757.85,748.72,739.59,730.46
Land-Based Wind,Class 4,capital,low tech,1405.17,1360.76,1316.36,1271.95,1227.55,1183.15,1138.74,1094.34,1049.93,1005.53,961.13,956.32,951.51,946.71,941.9,937.1,932.29,927.49,922.68,917.88,913.07,908.26,903.46,898.65,893.85,889.04,884.24,879.43,874.62,869.82,865.01
Land-Based Wind,Class 5,capital,adv tech,1405.17,1331.93,1258.69,1185.45,1112.21,1038.98,965.74,892.5,819.26,746.03,672.79,664.38,655.97,647.56,639.15,630.74,622.33,613.92,605.51,597.1,588.69,580.28,571.87,563.46,555.05,546.64,538.23,529.82,521.41,513,504.59
Land-Based Wind,Class 5,capital,central,1405.17,1355.96,1306.75,1257.54,1208.33,1159.12,1109.91,1060.7,1011.49,962.28,913.07,903.94,894.81,885.68,876.55,867.42,858.29,849.15,840.02,830.89,821.76,812.63,803.5,794.37,785.24,776.11,766.98,757.85,748.72,739.59,730.46
Land-Based Wind,Class 5,capital,low tech,1405.17,1360.76,1316.36,1271.95,1227.55,1183.15,1138.74,1094.34,1049.93,1005.53,961.13,956.32,951.51,946.71,941.9,937.1,932.29,927.49,922.68,917.88,913.07,908.26,903.46,898.65,893.85,889.04,884.24,879.43,874.62,869.82,865.01
Land-Based Wind,Class 6,capital,adv tech,1405.17,1331.93,1258.69,1185.45,1112.21,1038.98,965.74,892.5,819.26,746.03,672.79,664.38,655.97,647.56,639.15,630.74,622.33,613.92,605.51,597.1,588.69,580.28,571.87,563.46,555.05,546.64,538.23,529.82,521.41,513,504.59
Land-Based Wind,Class 6,capital,central,1405.17,1355.96,1306.75,1257.54,1208.33,1159.12,1109.91,1060.7,1011.49,962.28,913.07,903.94,894.81,885.68,876.55,867.42,858.29,849.15,840.02,830.89,821.76,812.63,803.5,794.37,785.24,776.11,766.98,757.85,748.72,739.59,730.46
Land-Based Wind,Class 6,capital,low tech,1405.17,1360.76,1316.36,1271.95,1227.55,1183.15,1138.74,1094.34,1049.93,1005.53,961.13,956.32,951.51,946.71,941.9,937.1,932.29,927.49,922.68,917.88,913.07,908.26,903.46,898.65,893.85,889.04,884.24,879.43,874.62,869.82,865.01
Land-Based Wind,Class 7,capital,adv tech,1405.17,1331.93,1258.69,1185.45,1112.21,1038.98,965.74,892.5,819.26,746.03,672.79,664.38,655.97,647.56,639.15,630.74,622.33,613.92,605.51,597.1,588.69,580.28,571.87,563.46,555.05,546.64,538.23,529.82,521.41,513,504.59
Land-Based Wind,Class 7,capital,central,1405.17,1355.96,1306.75,1257.54,1208.33,1159.12,1109.91,1060.7,1011.49,962.28,913.07,903.94,894.81,885.68,876.55,867.42,858.29,849.15,840.02,830.89,821.76,812.63,803.5,794.37,785.24,776.11,766.98,757.85,748.72,739.59,730.46
Land-Based Wind,Class 7,capital,low tech,1405.17,1360.76,1316.36,1271.95,1227.55,1183.15,1138.74,1094.34,1049.93,1005.53,961.13,956.32,951.51,946.71,941.9,937.1,932.29,927.49,922.68,917.88,913.07,908.26,903.46,898.65,893.85,889.04,884.24,879.43,874.62,869.82,865.01
Land-Based Wind,Class 8,capital,adv tech,1405.17,1331.93,1258.69,1185.45,1112.21,1038.98,965.74,892.5,819.26,746.03,672.79,664.38,655.97,647.56,639.15,630.74,622.33,613.92,605.51,597.1,588.69,580.28,571.87,563.46,555.05,546.64,538.23,529.82,521.41,513,504.59
Land-Based Wind,Class 8,capital,central,1405.17,1355.96,1306.75,1257.54,1208.33,1159.12,1109.91,1060.7,1011.49,962.28,913.07,903.94,894.81,885.68,876.55,867.42,858.29,849.15,840.02,830.89,821.76,812.63,803.5,794.37,785.24,776.11,766.98,757.85,748.72,739.59,730.46
Land-Based Wind,Class 8,capital,low tech,1405.17,1360.76,1316.36,1271.95,1227.55,1183.15,1138.74,1094.34,1049.93,1005.53,961.13,956.32,951.51,946.71,941.9,937.1,932.29,927.49,922.68,917.88,913.07,908.26,903.46,898.65,893.85,889.04,884.24,879.43,874.62,869.82,865.01
Land-Based Wind,Class 9,capital,adv tech,1405.17,1331.93,1258.69,1185.45,1112.21,1038.98,965.74,892.5,819.26,746.03,672.79,664.38,655.97,647.56,639.15,630.74,622.33,613.92,605.51,597.1,588.69,580.28,571.87,563.46,555.05,546.64,538.23,529.82,521.41,513,504.59
Land-Based Wind,Class 9,capital,central,1405.17,1355.96,1306.75,1257.54,1208.33,1159.12,1109.91,1060.7,1011.49,962.28,913.07,903.94,894.81,885.68,876.55,867.42,858.29,849.15,840.02,830.89,821.76,812.63,803.5,794.37,785.24,776.11,766.98,757.85,748.72,739.59,730.46
Land-Based Wind,Class 9,capital,low tech,1405.17,1360.76,1316.36,1271.95,1227.55,1183.15,1138.74,1094.34,1049.93,1005.53,961.13,956.32,951.51,946.71,941.9,937.1,932.29,927.49,922.68,917.88,913.07,908.26,903.46,898.65,893.85,889.04,884.24,879.43,874.62,869.82,865.01
Land-Based Wind,Class 10,capital,adv tech,1405.17,1331.93,1258.69,1185.45,1112.21,1038.98,965.74,892.5,819.26,746.03,672.79,664.38,655.97,647.56,639.15,630.74,622.33,613.92,605.51,597.1,588.69,580.28,571.87,563.46,555.05,546.64,538.23,529.82,521.41,513,504.59
Land-Based Wind,Class 10,capital,central,1405.17,1355.96,1306.75,1257.54,1208.33,1159.12,1109.91,1060.7,1011.49,962.28,913.07,903.94,894.81,885.68,876.55,867.42,858.29,849.15,840.02,830.89,821.76,812.63,803.5,794.37,785.24,776.11,766.98,757.85,748.72,739.59,730.46
Land-Based Wind,Class 10,capital,low tech,1405.17,1360.76,1316.36,1271.95,1227.55,1183.15,1138.74,1094.34,1049.93,1005.53,961.13,956.32,951.51,946.71,941.9,937.1,932.29,927.49,922.68,917.88,913.07,908.26,903.46,898.65,893.85,889.04,884.24,879.43,874.62,869.82,865.01
Solar - Utility PV,Utility PV - Class 10,capital,adv tech,1302.77,1139.2,1079.67,1020.15,960.62,901.09,841.57,782.04,722.51,662.99,603.46,596.04,588.62,581.19,573.77,566.35,558.93,551.51,544.09,536.66,529.24,521.82,514.4,506.98,499.55,492.13,484.71,477.29,469.87,462.44,455.02
Solar - Utility PV,Utility PV - Class 10,capital,central,1302.77,1139.2,1094.21,1049.23,1004.24,959.26,914.27,869.29,824.3,779.32,734.33,727.79,721.24,714.7,708.16,701.61,695.07,688.53,681.98,675.44,668.9,662.35,655.81,649.27,642.72,636.18,629.63,623.09,616.55,610,603.46
Solar - Utility PV,Utility PV - Class 10,capital,low tech,1302.77,1139.2,1136.96,1134.71,1132.47,1130.23,1127.98,1125.74,1123.5,1121.25,1119.01,1099.78,1080.54,1061.31,1042.08,1022.84,1003.61,984.37,965.14,945.9,926.67,907.44,888.2,868.97,849.73,830.5,811.27,792.03,772.8,753.56,734.33
Solar - Utility PV,Utility PV - Class 9,capital,adv tech,1302.77,1139.2,1079.67,1020.15,960.62,901.09,841.57,782.04,722.51,662.99,603.46,596.04,588.62,581.19,573.77,566.35,558.93,551.51,544.09,536.66,529.24,521.82,514.4,506.98,499.55,492.13,484.71,477.29,469.87,462.44,455.02
Solar - Utility PV,Utility PV - Class 9,capital,central,1302.77,1139.2,1094.21,1049.23,1004.24,959.26,914.27,869.29,824.3,779.32,734.33,727.79,721.24,714.7,708.16,701.61,695.07,688.53,681.98,675.44,668.9,662.35,655.81,649.27,642.72,636.18,629.63,623.09,616.55,610,603.46
Solar - Utility PV,Utility PV - Class 9,capital,low tech,1302.77,1139.2,1136.96,1134.71,1132.47,1130.23,1127.98,1125.74,1123.5,1121.25,1119.01,1099.78,1080.54,1061.31,1042.08,1022.84,1003.61,984.37,965.14,945.9,926.67,907.44,888.2,868.97,849.73,830.5,811.27,792.03,772.8,753.56,734.33
Solar - Utility PV,Utility PV - Class 8,capital,adv tech,1302.77,1139.2,1079.67,1020.15,960.62,901.09,841.57,782.04,722.51,662.99,603.46,596.04,588.62,581.19,573.77,566.35,558.93,551.51,544.09,536.66,529.24,521.82,514.4,506.98,499.55,492.13,484.71,477.29,469.87,462.44,455.02
Solar - Utility PV,Utility PV - Class 8,capital,central,1302.77,1139.2,1094.21,1049.23,1004.24,959.26,914.27,869.29,824.3,779.32,734.33,727.79,721.24,714.7,708.16,701.61,695.07,688.53,681.98,675.44,668.9,662.35,655.81,649.27,642.72,636.18,629.63,623.09,616.55,610,603.46
