# File: aluminum_prod_USGS.csv
# Title: Aluminum production by country
# Units: Thousand tons
# Description: National aluminum production
# Source: USGS Mineral Yearbooks - Aluminum
# Column types: ccinc
# ----------
country,iso,year,value,unit
Hungary,hun,1994,31,Thousand metric tons
Iceland,isl,1994,99,Thousand metric tons
India,ind,1994,472,Thousand metric tons
Indonesia,idn,1994,222,Thousand metric tons
Iran,irn,1994,116,Thousand metric tons
Italy,ita,1994,176,Thousand metric tons
Japan,jpn,1994,17,Thousand metric tons
Netherlands,nld,1994,219,Thousand metric tons
New Zealand,nzl,1994,269,Thousand metric tons
Norway,nor,1994,857,Thousand metric tons
Poland,pol,1994,50,Thousand metric tons
Romania,rom,1994,120,Thousand metric tons
Russia,rus,1994,2670,Thousand metric tons
Serbia and Montenegro,scg,1994,7,Thousand metric tons
Slovakia,svk,1994,33,Thousand metric tons
Slovenia,svn,1994,77,Thousand metric tons
South Africa,zaf,1994,172,Thousand metric tons
Spain,esp,1994,338,Thousand metric tons
Suriname,sur,1994,27,Thousand metric tons
Sweden,swe,1994,84,Thousand metric tons
Switzerland,che,1994,24,Thousand metric tons
Tajikistan,tjk,1994,235,Thousand metric tons
Turkey,tur,1994,60,Thousand metric tons
Ukraine,ukr,1994,100,Thousand metric tons
United Arab Emirates,are,1994,247,Thousand metric tons
United Kingdom,gbr,1994,231,Thousand metric tons
United States,usa,1994,3299,Thousand metric tons
Venezuela,ven,1994,585,Thousand metric tons
Argentina,arg,1995,186,Thousand metric tons
Australia,aus,1995,1297,Thousand metric tons
Azerbaijan,aze,1995,10,Thousand metric tons
Bahrain,bhr,1995,451,Thousand metric tons
Bosnia and Herzegovina,bih,1995,10,Thousand metric tons
Brazil,bra,1995,1188,Thousand metric tons
Cameroon,cmr,1995,79,Thousand metric tons
Canada,can,1995,2172,Thousand metric tons
China,chn,1995,1680,Thousand metric tons
Croatia,hrv,1995,31,Thousand metric tons
Egypt,egy,1995,180,Thousand metric tons
France,fra,1995,372,Thousand metric tons
Germany,deu,1995,575,Thousand metric tons
Ghana,gha,1995,135,Thousand metric tons
Greece,grc,1995,144,Thousand metric tons
Hungary,hun,1995,25,Thousand metric tons
Iceland,isl,1995,100,Thousand metric tons
India,ind,1995,537,Thousand metric tons
Indonesia,idn,1995,220,Thousand metric tons
Iran,irn,1995,118,Thousand metric tons
Italy,ita,1995,198,Thousand metric tons
Japan,jpn,1995,18,Thousand metric tons
Mexico,mex,1995,10,Thousand metric tons
Netherlands,nld,1995,216,Thousand metric tons
New Zealand,nzl,1995,273,Thousand metric tons
Norway,nor,1995,847,Thousand metric tons
Poland,pol,1995,56,Thousand metric tons
Romania,rom,1995,141,Thousand metric tons
Russia,rus,1995,2724,Thousand metric tons
Serbia and Montenegro,scg,1995,17,Thousand metric tons
Slovakia,svk,1995,31,Thousand metric tons
Slovenia,svn,1995,58,Thousand metric tons
South Africa,zaf,1995,195,Thousand metric tons
Spain,esp,1995,361,Thousand metric tons
Suriname,sur,1995,28,Thousand metric tons
Sweden,swe,1995,95,Thousand metric tons
Switzerland,che,1995,21,Thousand metric tons
Tajikistan,tjk,1995,232,Thousand metric tons
Turkey,tur,1995,62,Thousand metric tons
Ukraine,ukr,1995,98,Thousand metric tons
United Arab Emirates,are,1995,240,Thousand metric tons
United Kingdom,gbr,1995,238,Thousand metric tons
United States,usa,1995,3375,Thousand metric tons
Venezuela,ven,1995,630,Thousand metric tons
Argentina,arg,1996,186,Thousand metric tons
Australia,aus,1996,1372,Thousand metric tons
Azerbaijan,aze,1996,10,Thousand metric tons
Bahrain,bhr,1996,461,Thousand metric tons
Bosnia and Herzegovina,bih,1996,10,Thousand metric tons
Brazil,bra,1996,1195,Thousand metric tons
Cameroon,cmr,1996,82,Thousand metric tons
Canada,can,1996,2283,Thousand metric tons
China,chn,1996,1770,Thousand metric tons
Croatia,hrv,1996,38,Thousand metric tons
Egypt,egy,1996,177,Thousand metric tons
France,fra,1996,380,Thousand metric tons
Germany,deu,1996,576,Thousand metric tons
Ghana,gha,1996,137,Thousand metric tons
Greece,grc,1996,141,Thousand metric tons
Iceland,isl,1996,104,Thousand metric tons
India,ind,1996,531,Thousand metric tons
Indonesia,idn,1996,225,Thousand metric tons
Iran,irn,1996,118,Thousand metric tons
Italy,ita,1996,184,Thousand metric tons
Japan,jpn,1996,17,Thousand metric tons
Mexico,mex,1996,61,Thousand metric tons
Netherlands,nld,1996,227,Thousand metric tons
New Zealand,nzl,1996,285,Thousand metric tons
Norway,nor,1996,863,Thousand metric tons
Poland,pol,1996,52,Thousand metric tons
Romania,rom,1996,141,Thousand metric tons
Russia,rus,1996,2874,Thousand metric tons
Serbia and Montenegro,scg,1996,37,Thousand metric tons
Slovakia,svk,1996,35,Thousand metric tons
Slovenia,svn,1996,60,Thousand metric tons
South Africa,zaf,1996,617,Thousand metric tons
Spain,esp,1996,362,Thousand metric tons
Suriname,sur,1996,32,Thousand metric tons
Sweden,swe,1996,98,Thousand metric tons
Switzerland,che,1996,27,Thousand metric tons
Tajikistan,tjk,1996,198,Thousand metric tons
Turkey,tur,1996,62,Thousand metric tons
Ukraine,ukr,1996,90,Thousand metric tons
United Arab Emirates,are,1996,251,Thousand metric tons
United Kingdom,gbr,1996,240,Thousand metric tons
United States,usa,1996,3577,Thousand metric tons
Venezuela,ven,1996,635,Thousand metric tons
Argentina,arg,1997,185,Thousand metric tons
Australia,aus,1997,1495,Thousand metric tons
Azerbaijan,aze,1997,10,Thousand metric tons
Bahrain,bhr,1997,480,Thousand metric tons
Bosnia and Herzegovina,bih,1997,15,Thousand metric tons
Brazil,bra,1997,1200,Thousand metric tons
Cameroon,cmr,1997,82,Thousand metric tons
Canada,can,1997,2327,Thousand metric tons
China,chn,1997,2000,Thousand metric tons
Croatia,hrv,1997,35,Thousand metric tons
Egypt,egy,1997,177,Thousand metric tons
France,fra,1997,390,Thousand metric tons
Germany,deu,1997,575,Thousand metric tons
Ghana,gha,1997,152,Thousand metric tons
Greece,grc,1997,145,Thousand metric tons
Iceland,isl,1997,104,Thousand metric tons
India,ind,1997,494,Thousand metric tons
Indonesia,idn,1997,200,Thousand metric tons
Iran,irn,1997,118,Thousand metric tons
Italy,ita,1997,185,Thousand metric tons
Japan,jpn,1997,17,Thousand metric tons
Mexico,mex,1997,65,Thousand metric tons
Netherlands,nld,1997,230,Thousand metric tons
New Zealand,nzl,1997,305,Thousand metric tons
Norway,nor,1997,919,Thousand metric tons
Poland,pol,1997,55,Thousand metric tons
Romania,rom,1997,140,Thousand metric tons
Russia,rus,1997,2906,Thousand metric tons
Serbia and Montenegro,scg,1997,65,Thousand metric tons
Slovakia,svk,1997,35,Thousand metric tons
Slovenia,svn,1997,60,Thousand metric tons
South Africa,zaf,1997,660,Thousand metric tons
Spain,esp,1997,362,Thousand metric tons
Suriname,sur,1997,32,Thousand metric tons
Sweden,swe,1997,98,Thousand metric tons
Switzerland,che,1997,27,Thousand metric tons
Tajikistan,tjk,1997,189,Thousand metric tons
Turkey,tur,1997,60,Thousand metric tons
Ukraine,ukr,1997,101,Thousand metric tons
United Arab Emirates,are,1997,250,Thousand metric tons
United Kingdom,gbr,1997,240,Thousand metric tons
United States,usa,1997,3603,Thousand metric tons
Venezuela,ven,1997,640,Thousand metric tons
Argentina,arg,1998,187,Thousand metric tons
Australia,aus,1998,1627,Thousand metric tons
Bahrain,bhr,1998,501,Thousand metric tons
Bosnia and Herzegovina,bih,1998,28,Thousand metric tons
Brazil,bra,1998,1208,Thousand metric tons
Cameroon,cmr,1998,82,Thousand metric tons
Canada,can,1998,2374,Thousand metric tons
China,chn,1998,2340,Thousand metric tons
Croatia,hrv,1998,16,Thousand metric tons
Egypt,egy,1998,195,Thousand metric tons
France,fra,1998,424,Thousand metric tons
Germany,deu,1998,612,Thousand metric tons
Ghana,gha,1998,56,Thousand metric tons
Greece,grc,1998,146,Thousand metric tons
Hungary,hun,1998,35,Thousand metric tons
Iceland,isl,1998,173,Thousand metric tons
India,ind,1998,542,Thousand metric tons
Indonesia,idn,1998,133,Thousand metric tons
Iran,irn,1998,124,Thousand metric tons
Italy,ita,1998,187,Thousand metric tons
Japan,jpn,1998,16,Thousand metric tons
Mexico,mex,1998,62,Thousand metric tons
Netherlands,nld,1998,264,Thousand metric tons
New Zealand,nzl,1998,318,Thousand metric tons
Nigeria,nga,1998,20,Thousand metric tons
Norway,nor,1998,996,Thousand metric tons
Poland,pol,1998,54,Thousand metric tons
Romania,rom,1998,174,Thousand metric tons
Russia,rus,1998,3005,Thousand metric tons
Serbia and Montenegro,scg,1998,60,Thousand metric tons
Slovakia,svk,1998,108,Thousand metric tons
Slovenia,svn,1998,74,Thousand metric tons
South Africa,zaf,1998,677,Thousand metric tons
Spain,esp,1998,362,Thousand metric tons
Suriname,sur,1998,29,Thousand metric tons
Sweden,swe,1998,96,Thousand metric tons
Switzerland,che,1998,32,Thousand metric tons
Tajikistan,tjk,1998,196,Thousand metric tons
Turkey,tur,1998,62,Thousand metric tons
Ukraine,ukr,1998,107,Thousand metric tons
United Arab Emirates,are,1998,352,Thousand metric tons
United Kingdom,gbr,1998,258,Thousand metric tons
United States,usa,1998,3713,Thousand metric tons
Venezuela,ven,1998,585,Thousand metric tons
Argentina,arg,1999,206,Thousand metric tons
Australia,aus,1999,1718,Thousand metric tons
Bahrain,bhr,1999,503,Thousand metric tons
Bosnia and Herzegovina,bih,1999,70,Thousand metric tons
Brazil,bra,1999,1250,Thousand metric tons
Cameroon,cmr,1999,90,Thousand metric tons
Canada,can,1999,2390,Thousand metric tons
China,chn,1999,2530,Thousand metric tons
Croatia,hrv,1999,14,Thousand metric tons
Egypt,egy,1999,193,Thousand metric tons
France,fra,1999,455,Thousand metric tons
Germany,deu,1999,634,Thousand metric tons
Ghana,gha,1999,104,Thousand metric tons
Greece,grc,1999,170,Thousand metric tons
Hungary,hun,1999,34,Thousand metric tons
Iceland,isl,1999,220,Thousand metric tons
India,ind,1999,614,Thousand metric tons
Indonesia,idn,1999,106,Thousand metric tons
Iran,irn,1999,137,Thousand metric tons
Italy,ita,1999,187,Thousand metric tons
Japan,jpn,1999,11,Thousand metric tons
Mexico,mex,1999,63,Thousand metric tons
Netherlands,nld,1999,286,Thousand metric tons
New Zealand,nzl,1999,327,Thousand metric tons
Nigeria,nga,1999,16,Thousand metric tons
Norway,nor,1999,1020,Thousand metric tons
Poland,pol,1999,51,Thousand metric tons
Romania,rom,1999,174,Thousand metric tons
Russia,rus,1999,3146,Thousand metric tons
Serbia and Montenegro,scg,1999,73,Thousand metric tons
Slovakia,svk,1999,109,Thousand metric tons
Slovenia,svn,1999,77,Thousand metric tons
South Africa,zaf,1999,689,Thousand metric tons
Spain,esp,1999,364,Thousand metric tons
Suriname,sur,1999,6,Thousand metric tons
Sweden,swe,1999,99,Thousand metric tons
Switzerland,che,1999,34,Thousand metric tons
Tajikistan,tjk,1999,229,Thousand metric tons
Turkey,tur,1999,62,Thousand metric tons
Ukraine,ukr,1999,115,Thousand metric tons
United Arab Emirates,are,1999,440,Thousand metric tons
United Kingdom,gbr,1999,272,Thousand metric tons
United States,usa,1999,3779,Thousand metric tons
Venezuela,ven,1999,570,Thousand metric tons
Argentina,arg,2000,262,Thousand metric tons
Australia,aus,2000,1769,Thousand metric tons
Bahrain,bhr,2000,509,Thousand metric tons
Bosnia and Herzegovina,bih,2000,95,Thousand metric tons
Brazil,bra,2000,1271,Thousand metric tons
Cameroon,cmr,2000,96,Thousand metric tons
Canada,can,2000,2373,Thousand metric tons
China,chn,2000,2800,Thousand metric tons
Croatia,hrv,2000,14,Thousand metric tons
Egypt,egy,2000,193,Thousand metric tons
France,fra,2000,441,Thousand metric tons
Germany,deu,2000,644,Thousand metric tons
Ghana,gha,2000,156,Thousand metric tons
Greece,grc,2000,168,Thousand metric tons
Hungary,hun,2000,34,Thousand metric tons
Iceland,isl,2000,224,Thousand metric tons
India,ind,2000,644,Thousand metric tons
Indonesia,idn,2000,160,Thousand metric tons
Iran,irn,2000,140,Thousand metric tons
Italy,ita,2000,189,Thousand metric tons
Japan,jpn,2000,7,Thousand metric tons
Mexico,mex,2000,61,Thousand metric tons
Mozambique,moz,2000,54,Thousand metric tons
Netherlands,nld,2000,302,Thousand metric tons
New Zealand,nzl,2000,328,Thousand metric tons
Norway,nor,2000,1026,Thousand metric tons
Poland,pol,2000,47,Thousand metric tons
Romania,rom,2000,179,Thousand metric tons
Russia,rus,2000,3245,Thousand metric tons
Serbia and Montenegro,scg,2000,88,Thousand metric tons
Slovakia,svk,2000,110,Thousand metric tons
Slovenia,svn,2000,100,Thousand metric tons
South Africa,zaf,2000,673,Thousand metric tons
Spain,esp,2000,366,Thousand metric tons
Sweden,swe,2000,101,Thousand metric tons
Switzerland,che,2000,35,Thousand metric tons
Tajikistan,tjk,2000,300,Thousand metric tons
Turkey,tur,2000,61,Thousand metric tons
Ukraine,ukr,2000,119,Thousand metric tons
United Arab Emirates,are,2000,470,Thousand metric tons
United Kingdom,gbr,2000,305,Thousand metric tons
United States,usa,2000,3668,Thousand metric tons
Venezuela,ven,2000,569,Thousand metric tons
Argentina,arg,2001,245,Thousand metric tons
Australia,aus,2001,1798,Thousand metric tons
Bahrain,bhr,2001,522,Thousand metric tons
Bosnia and Herzegovina,bih,2001,96,Thousand metric tons
Brazil,bra,2001,1131,Thousand metric tons
Cameroon,cmr,2001,81,Thousand metric tons
Canada,can,2001,2583,Thousand metric tons
China,chn,2001,3250,Thousand metric tons
Croatia,hrv,2001,15,Thousand metric tons
Egypt,egy,2001,189,Thousand metric tons
France,fra,2001,462,Thousand metric tons
Germany,deu,2001,652,Thousand metric tons
Ghana,gha,2001,162,Thousand metric tons
Greece,grc,2001,163,Thousand metric tons
Hungary,hun,2001,35,Thousand metric tons
Iceland,isl,2001,243,Thousand metric tons
India,ind,2001,624,Thousand metric tons
Indonesia,idn,2001,180,Thousand metric tons
Iran,irn,2001,140,Thousand metric tons
Italy,ita,2001,187,Thousand metric tons
Japan,jpn,2001,7,Thousand metric tons
Mexico,mex,2001,52,Thousand metric tons
Mozambique,moz,2001,266,Thousand metric tons
Netherlands,nld,2001,294,Thousand metric tons
New Zealand,nzl,2001,322,Thousand metric tons
Norway,nor,2001,1068,Thousand metric tons
Poland,pol,2001,45,Thousand metric tons
Romania,rom,2001,182,Thousand metric tons
Russia,rus,2001,3300,Thousand metric tons
Serbia and Montenegro,scg,2001,100,Thousand metric tons
Slovakia,svk,2001,110,Thousand metric tons
Slovenia,svn,2001,100,Thousand metric tons
South Africa,zaf,2001,662,Thousand metric tons
Spain,esp,2001,376,Thousand metric tons
Sweden,swe,2001,102,Thousand metric tons
Switzerland,che,2001,35,Thousand metric tons
Tajikistan,tjk,2001,289,Thousand metric tons
Turkey,tur,2001,61,Thousand metric tons
Ukraine,ukr,2001,106,Thousand metric tons
United Arab Emirates,are,2001,500,Thousand metric tons
United Kingdom,gbr,2001,341,Thousand metric tons
United States,usa,2001,2637,Thousand metric tons
Venezuela,ven,2001,571,Thousand metric tons
Argentina,arg,2002,269,Thousand metric tons
Australia,aus,2002,1836,Thousand metric tons
Bahrain,bhr,2002,519,Thousand metric tons
Bosnia and Herzegovina,bih,2002,102,Thousand metric tons
Brazil,bra,2002,1318,Thousand metric tons
Cameroon,cmr,2002,67,Thousand metric tons
Canada,can,2002,2709,Thousand metric tons
China,chn,2002,4300,Thousand metric tons
Croatia,hrv,2002,15,Thousand metric tons
Egypt,egy,2002,195,Thousand metric tons
France,fra,2002,463,Thousand metric tons
Germany,deu,2002,653,Thousand metric tons
Ghana,gha,2002,117,Thousand metric tons
Greece,grc,2002,165,Thousand metric tons
Hungary,hun,2002,35,Thousand metric tons
Iceland,isl,2002,285,Thousand metric tons
India,ind,2002,671,Thousand metric tons
Indonesia,idn,2002,160,Thousand metric tons
Iran,irn,2002,169,Thousand metric tons
Italy,ita,2002,190,Thousand metric tons
Japan,jpn,2002,6,Thousand metric tons
Mexico,mex,2002,39,Thousand metric tons
Mozambique,moz,2002,268,Thousand metric tons
Netherlands,nld,2002,284,Thousand metric tons
New Zealand,nzl,2002,335,Thousand metric tons
Norway,nor,2002,1096,Thousand metric tons
Poland,pol,2002,49,Thousand metric tons
Romania,rom,2002,187,Thousand metric tons
Russia,rus,2002,3347,Thousand metric tons
Serbia and Montenegro,scg,2002,112,Thousand metric tons
Slovakia,svk,2002,147,Thousand metric tons
Slovenia,svn,2002,88,Thousand metric tons
South Africa,zaf,2002,707,Thousand metric tons
Spain,esp,2002,380,Thousand metric tons
Sweden,swe,2002,101,Thousand metric tons
Switzerland,che,2002,40,Thousand metric tons
Tajikistan,tjk,2002,308,Thousand metric tons
Turkey,tur,2002,63,Thousand metric tons
Ukraine,ukr,2002,112,Thousand metric tons
United Arab Emirates,are,2002,536,Thousand metric tons
United Kingdom,gbr,2002,344,Thousand metric tons
United States,usa,2002,2707,Thousand metric tons
Venezuela,ven,2002,605,Thousand metric tons
Argentina,arg,2003,272,Thousand metric tons
Australia,aus,2003,1857,Thousand metric tons
Azerbaijan,aze,2003,19,Thousand metric tons
Bahrain,bhr,2003,532,Thousand metric tons
Bosnia and Herzegovina,bih,2003,113,Thousand metric tons
Brazil,bra,2003,1381,Thousand metric tons
Cameroon,cmr,2003,77,Thousand metric tons
Canada,can,2003,2792,Thousand metric tons
China,chn,2003,5450,Thousand metric tons
Egypt,egy,2003,195,Thousand metric tons
France,fra,2003,443,Thousand metric tons
Germany,deu,2003,661,Thousand metric tons
Ghana,gha,2003,16,Thousand metric tons
Greece,grc,2003,165,Thousand metric tons
Hungary,hun,2003,35,Thousand metric tons
Iceland,isl,2003,286,Thousand metric tons
India,ind,2003,799,Thousand metric tons
Indonesia,idn,2003,200,Thousand metric tons
Iran,irn,2003,182,Thousand metric tons
Italy,ita,2003,191,Thousand metric tons
Japan,jpn,2003,6,Thousand metric tons
Mozambique,moz,2003,409,Thousand metric tons
Netherlands,nld,2003,283,Thousand metric tons
New Zealand,nzl,2003,340,Thousand metric tons
Norway,nor,2003,1192,Thousand metric tons
Poland,pol,2003,45,Thousand metric tons
Romania,rom,2003,197,Thousand metric tons
Russia,rus,2003,3478,Thousand metric tons
Serbia and Montenegro,scg,2003,120,Thousand metric tons
Slovakia,svk,2003,131,Thousand metric tons
Slovenia,svn,2003,110,Thousand metric tons
South Africa,zaf,2003,738,Thousand metric tons
Spain,esp,2003,389,Thousand metric tons
Sweden,swe,2003,101,Thousand metric tons
Switzerland,che,2003,44,Thousand metric tons
Tajikistan,tjk,2003,319,Thousand metric tons
Turkey,tur,2003,63,Thousand metric tons
Ukraine,ukr,2003,114,Thousand metric tons
United Arab Emirates,are,2003,560,Thousand metric tons
United Kingdom,gbr,2003,343,Thousand metric tons
United States,usa,2003,2703,Thousand metric tons
Venezuela,ven,2003,601,Thousand metric tons
Argentina,arg,2004,272,Thousand metric tons
Australia,aus,2004,1894,Thousand metric tons
Azerbaijan,aze,2004,30,Thousand metric tons
Bahrain,bhr,2004,532,Thousand metric tons
Bosnia and Herzegovina,bih,2004,121,Thousand metric tons
Brazil,bra,2004,1457,Thousand metric tons
Cameroon,cmr,2004,86,Thousand metric tons
Canada,can,2004,2592,Thousand metric tons
China,chn,2004,6670,Thousand metric tons
Egypt,egy,2004,216,Thousand metric tons
France,fra,2004,451,Thousand metric tons
Germany,deu,2004,668,Thousand metric tons
Greece,grc,2004,167,Thousand metric tons
Hungary,hun,2004,35,Thousand metric tons
Iceland,isl,2004,271,Thousand metric tons
India,ind,2004,862,Thousand metric tons
Indonesia,idn,2004,247,Thousand metric tons
Iran,irn,2004,213,Thousand metric tons
Italy,ita,2004,195,Thousand metric tons
