# File: A323.globaltech_coef.csv
# Title: IRONSTL production default coefficients
# Units: scrap input is unitless (Mt scrap per Mt IRONSTL); all others are GJ per ton
# Column types: cccccnnn
# ----------
steel_region,supplysector,subsector,technology,minicam.energy.input,1971,2025,2100
coal_intensive,iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,refined liquids industrial,0.1,0.1,0.1
coal_intensive,iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,elect_td_ind,2.3,2.3,1.2
coal_intensive,iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,wholesale gas,0.1,0.1,0
coal_intensive,iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,H2 industrial,2.3,2.3,1.3
coal_intensive,iron and steel,BLASTFUR,BLASTFUR,delivered coal,23.6,23.6,13.8
coal_intensive,iron and steel,BLASTFUR,BLASTFUR,refined liquids industrial,0.1,0.1,0.1
coal_intensive,iron and steel,BLASTFUR,BLASTFUR,elect_td_ind,1.6,1.6,0.9
coal_intensive,iron and steel,BLASTFUR,BLASTFUR,wholesale gas,0.1,0.1,0
coal_intensive,iron and steel,BLASTFUR,BLASTFUR CCS,delivered coal,23.6,23.6,13.4
coal_intensive,iron and steel,BLASTFUR,BLASTFUR CCS,refined liquids industrial,0.1,0.1,0.1
coal_intensive,iron and steel,BLASTFUR,BLASTFUR CCS,elect_td_ind,2.3,2.3,1.3
coal_intensive,iron and steel,BLASTFUR,BLASTFUR CCS,wholesale gas,0.1,0.1,0
coal_intensive,iron and steel,EAF with DRI,EAF with DRI,delivered coal,22,22,16.4
coal_intensive,iron and steel,EAF with DRI,EAF with DRI,refined liquids industrial,0.1,0.1,0.1
coal_intensive,iron and steel,EAF with DRI,EAF with DRI,elect_td_ind,3.4,3.4,2.5
coal_intensive,iron and steel,EAF with DRI,EAF with DRI,wholesale gas,0.1,0.1,0.1
coal_intensive,iron and steel,EAF with DRI,EAF with DRI CCS,delivered coal,22,22,15.5
coal_intensive,iron and steel,EAF with DRI,EAF with DRI CCS,refined liquids industrial,0.1,0.1,0.1
coal_intensive,iron and steel,EAF with DRI,EAF with DRI CCS,elect_td_ind,4.9,4.9,3.5
coal_intensive,iron and steel,EAF with DRI,EAF with DRI CCS,wholesale gas,0.1,0.1,0.1
