# File: rsrc_fol_prod_vintage.csv
# Title: fossil fuel resource production in historical years by vintage used for EPA scaling
# Units: EJ
# Source: ModelInterface output from resource production by tech and vintage
# Column types: cccinnnn
# ----------
region,resource,subresource,year,1990,2005,2010,2015
South America_Northern,coal,coal,1990,0.0640972,0.0640632,0.0213685,0.00477125
South America_Northern,coal,coal,2005,0,0.154959,0.0606135,0.0202448
South America_Northern,crude oil,crude oil,1975,5.17338,5.48714,4.81933,3.82215
South America_Northern,crude oil,crude oil,2005,0,1.23144,1.19678,1.34351
South America_Northern,natural gas,natural gas,1975,0.341954,0,0,0
South America_Northern,natural gas,natural gas,1990,0.354079,0.343744,0,0
South America_Northern,natural gas,natural gas,2005,0,0.46289,0.452207,0.456367
South America_Northern,natural gas,natural gas,2010,0,0,0.360684,0.356317
South America_Northern,natural gas,natural gas,2015,0,0,0,0.0105323
South America_Southern,coal,coal,1975,0.0415524,0.00506234,0.00278784,0.00376919
South America_Southern,coal,coal,1990,0.0212252,0.00744286,0.0102053,0.019637
South America_Southern,coal,coal,2015,0,0,0,0.0356513
South America_Southern,crude oil,crude oil,1975,0.644099,0.645654,0.580731,0.446147
South America_Southern,crude oil,crude oil,1990,0.368298,0.365848,0.394967,0.444104
South America_Southern,crude oil,crude oil,2005,0,0.440435,0.46684,0.525013
South America_Southern,crude oil,crude oil,2010,0,0,0.126089,0.13893
South America_Southern,crude oil,crude oil,2015,0,0,0,0.081605
South America_Southern,natural gas,natural gas,1975,0.11105,0,0,0
South America_Southern,natural gas,natural gas,1990,0.0792389,0.0752103,0,0
South America_Southern,natural gas,natural gas,2005,0,0.498061,0.492905,0.495362
South America_Southern,natural gas,natural gas,2010,0,0,0.435414,0.430654
South America_Southern,natural gas,natural gas,2015,0,0,0,0.402815
South Asia,coal,coal,1975,0.0014686,0.0115707,0.0158616,0.018834
South Asia,coal,coal,2005,0,0.00211694,0.00282196,0.00368183
South Asia,coal,coal,2010,0,0,0.0207818,0.0267903
South Asia,coal,coal,2015,0,0,0,0.034327
South Asia,crude oil,crude oil,1975,2.58E-04,2.58E-04,1.92E-04,1.22E-04
South Asia,crude oil,crude oil,1990,0.105005,0.104982,0.093681,0.0840509
South Asia,crude oil,crude oil,2005,0,0.181542,0.158144,0.141303
South Asia,natural gas,natural gas,1975,0.0739708,0,0,0
South Asia,natural gas,natural gas,1990,0.0862418,0.0827704,0,0
South Asia,natural gas,natural gas,2005,0,0.373037,0.369214,0.370656
South Asia,natural gas,natural gas,2010,0,0,0.472829,0.470396
South Asia,natural gas,natural gas,2015,0,0,0,0.57318
South Korea,coal,coal,1975,0.313103,0.0527392,0.0242558,0.0178391
South Korea,coal,coal,2010,0,0,0.0151757,0.0145353
South Korea,crude oil,crude oil,2005,0,0.0224461,0.0224435,0.0226802
South Korea,crude oil,crude oil,2010,0,0,0.00605597,0.00468636
South Korea,natural gas,natural gas,2005,0,0.0183597,0.0183118,0.00620942
South Korea,natural gas,natural gas,2010,0,0,0.00225812,7.51E-04
Southeast Asia,coal,coal,1975,0.900421,0.309981,0,0
Southeast Asia,coal,coal,1990,0.488358,0.476848,0.413981,0.243239
Southeast Asia,coal,coal,2005,0,1.19538,1.24342,1.37598
Southeast Asia,coal,coal,2010,0,0,0.427227,0.463032
Southeast Asia,coal,coal,2015,0,0,0,0.016304
Southeast Asia,crude oil,crude oil,1975,0.631069,0.631528,0.528346,0.377614
Southeast Asia,crude oil,crude oil,1990,1.3474,1.34655,1.35112,1.39128
Southeast Asia,crude oil,crude oil,2005,0,1.66968,1.63559,1.67741
Southeast Asia,natural gas,natural gas,1975,0.249742,0,0,0
Southeast Asia,natural gas,natural gas,1990,0.967372,0.952393,0,0
Southeast Asia,natural gas,natural gas,2005,0,3.33328,3.30911,3.32273
Southeast Asia,natural gas,natural gas,2010,0,0,1.32073,1.30002
Southeast Asia,natural gas,natural gas,2015,0,0,0,0.580047
Taiwan,coal,coal,1975,0.0121092,0,0,0
Taiwan,crude oil,crude oil,1975,0.0074549,0.001219,5.62E-04,3.33E-04
Taiwan,natural gas,natural gas,1975,0.043408,0,0,0
Taiwan,natural gas,natural gas,2005,0,0.0182764,0.0100517,0.0110784
USA,coal,coal,1975,14.641,5.03053,0,0
USA,coal,coal,1990,7.77211,7.54861,6.70893,3.38114
USA,coal,coal,2005,0,11.0628,11.7539,11.221
USA,coal,coal,2010,0,0,3.40494,3.18445
USA,crude oil,crude oil,1975,18.2181,13.5579,15.0221,19.455
USA,crude oil,crude oil,2015,0,0,0,4.76781
USA,natural gas,natural gas,1975,17.3719,0,0,0
USA,natural gas,natural gas,2005,0,17.5503,17.5028,17.5174
USA,natural gas,natural gas,2010,0,0,3.48225,3.41835
USA,natural gas,natural gas,2015,0,0,0,5.28455
