# File: WSA_steel_trade_1970_2018.csv
# Title: Steel imports and exports by country
# Units: thousand tons
# Description: Imports and exports of semi-finished and finished steel products (1970-2021)
# Source: World Steel Association Statistical Year Books (1980 1989 1999 2009 2019)
# Column types: ccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
Country,Metric,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Belarus,Exports,117.66937,116.3251132,114.2618352,109.6194596,107.1654093,122.3117456,117.2785977,125.047152,96.91154281,116,112,111,118,83,86,137,145,143,147,143,133,84,474,414,493,489,663,1081,1313,1293,1262,1367,837,1300,1512,1592,1915,1909,2037,1962,1915,1970,2167,1872,2123,2170,1885,2000,2172,2287.76,2141.20,2113.13
Belgium-Luxembourg,Exports,12787,12406,14428,15982,16615,12620,12712,12189,13422,14432,13671,12638,10841,11257,12586,12634,11760,12388,14198,14005,14586,14368,13105,13845,14926,14190,14673,16459,17647,20717,21857,20531,20316,20680,23534,21599,24561,26647,25914,15280,18212,19887,17325,16606,17164,18110,19644,20980,20998,20887.09,16886.59,18494.65
Benin,Exports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,Exports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.67,0.05,0.03
Bosnia-Herzegovina,Exports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,22,16,20,20,20,273,334,266,386,425,464,455,521,606,499,452,352,393.89,355.51,401.24
Brazil,Exports,583,261,332,431,228,149,262,364,936,1478,1506,1850,2386,5133,6464,7109,6140,6546,10916,10780,8995,10922,11787,12237,11078,9655,10257,9163,8756,9977,9565,9260,11651,12941,12006,12535,12626,10414,9152,8607,8983,10824,9673,8081,9766,13708,13399,15317,13914,12733.07,10713.35,11492.71
Bulgaria,Exports,654,826,1105,889,810,793,1114,1049,1079,922,1050,1073,933,896,1039,920,959,792,528,675,434,619,967,1488,1916,1880,1290,1825,2336,1205,1332,1522,1331,1736,1774,1615,1854,1850,1323,957,908,1205,983,946,999,943,1064,1354,1388,1134.47,1142.79,1271.48
Cameroon,Exports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,12,,,1,0.09,0.39,1.03
Canada,Exports,1555,1502,1483,1537,1771,1299,1816,2142,2763,2680,3534,3575,3193,2976,3459,3586,3819,4202,3627,3984,3797,4579,4840,4895,4445,4716,4929,4787,5262,4755,5024,4601,5593,5486,5392,5970,6135,6824,7440,4947,7023,6356,6166,5767,6201,6038,5848,6482,6435,7705.50,5140.53,7538.77
Chile,Exports,12,62,5,,1,89,70,59,70,32,9,5,163,146,99,100,127,94,46,14,140,145,188,95,64,61,94,68,93,70,113,45,111,128,98,86,105,142,77,103,115,114,80,51,118,79,84,116,222,239.78,239.81,300.60
China,Exports,,,,,,,,,,368,398,617,1101,492,203,181,198,150,150,901,2611,4378,4037,1412,2566,10745,7131,8907,5863,5658,11159,7276,6642,8244,20074,27414,51706,66357,56304,23969,41646,47899,54793,61543,92907,111556,108066,74808,68767,63744.39,53086.76,66208.00
Colombia,Exports,,,,,,,,,,5,9,4,,,,,,,,,73,85,162,,46,50,10,8,37,37,105,153,140,99,135,172,165,245,273,191,203,188,178,119,100,66,66,89,98,69.57,50.12,58.97
Congo,Exports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,Exports,,,,,,,,,,17,25,17,7,,8,9,9,10,10,14,,2,14,16,21,21,20,20,20,,,,,,,,,,,7,4,2,6,12,14,110,213,324,221,0.00,11.34,253.07
Croatia,Exports,31.47,24.82,34.07,76.55,68.55,34.69,49.03,29.6,34.9,35,26,27,39,59,93,118,95,178,195,111,175.7,118.4,102,83,79,45,41,59,98,69,60,65,31,41,40,50,50,37,119,82,85,109,34,121,210,218,106,64,219,193.10,123.62,273.70
Cuba,Exports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,17,41,47,40,24,9,32,49,49,16.00,0.01,9.09
Cyprus,Exports,,,,,,,,,,,,,,,,,,,,3,,,9,1,2,2,2,2,1,1,7,5,1,1,1,2,,,,,,,1,1,1,1,,4,,3.48,11.55,2.90
Czech Republic,Exports,1214.559286,1283.030468,1413.079759,1345.068116,1412.620221,1494.418009,1562.429653,1585.406559,1652.499127,1621,1596,1566,1516,1617,1735,1789,1829,1897,1866,1748,1721,2154,2368,3740,4298,3703,3808,4000,3799,3820,4003,4439,4579,4734,4448,4700,5171,5513,5185,3877,4651,4855,4642,4751,4736,4830,5192,4785,5068,4561.38,4614.19,5146.82
Dem. Rep. of the Congo,Exports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Exports,252,252,262,266,310,284,332,470,547,676,646,586,475,799,640,543,577,618,620,638,603,658,681,662,664,830,798,1031,905,1034,1101,1116,930,1034,1026,863,963,1080,1097,680,857,976,798,797,790,935,946,984,1052,1039.26,956.88,1059.39
Djibouti,Exports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,Exports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,36,90,47,35,43,44,33,48,66,75.48,66.00,85.15
Ecuador,Exports,,,,,,,,,,,,,,,,,,,,,,2,3,,,,,,,,,,,,,,,,,10,27,25,20,22,21,40,41,40,60,75.44,55.30,61.66
Egypt,Exports,,,,,,,,,,,,,,,,,,,,70,175,190,425,460,503,402,400,478,450,403,547,679,1143,1337,1793,1883,2219,1000,1065,941,1184,1425,847,1958,1153,453,808,1477,1453,1162.33,2008.97,1995.22
El Salvador,Exports,,,,,,,,,,31,10,2,,,,,,,,,1,6,3,17,18,3,3,3,3,3,3,3,3,145,125,131,137,130,120,100,4,2,6,4,8,5,10,12,11,7.46,3.87,3.95
Equatorial Guinea,Exports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,Exports,5.856846473,5.789937759,5.687240664,5.456172199,5.334024896,6.087914938,5.837396266,6.22406639,4.823651452,6,6,6,6,4,4,7,7,7,7,7,7,4,9,85,78,54,33,38,123,103,19,20,38,250,99,224,289,273,295,120,204,274,194,107,114,104,109,138,151,173.06,158.01,176.85
Ethiopia,Exports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00
Finland,Exports,397,402,550,528,764,547,539,959,1187,1161,954,1027,868,1070,1143,1333,1274,1540,1417,1469,1636,1931,2175,2330,2416,2164,2611,1248,1327,3081,2859,2939,3165,3723,4024,3483,3643,1997,2027,1397,2490,2861,1820,1617,1840,1902,1948,2018,2194,3531.33,1804.90,2221.94
France,Exports,7522,7861,8390,8590,10287,8559,8547,10135,10921,11073,11310,11416,9393,9529,11187,11408,10966,11039,11399,11604,11473,12071,11849,12072,12826,12796,13124,14884,15056,16177,17442,16897,17629,17476,18672,17551,18795,18211,17125,11999,14141,14224,14579,14164,14944,14003,13689,14782,14415,13557.38,10592.75,12556.93
Gabon,Exports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,Exports,3.904564315,3.859958506,3.791493776,3.637448133,3.556016598,4.058609959,3.89159751,4.149377593,3.215767635,4,4,4,4,3,3,5,5,5,5,5,4,3,89,,,,22,81,80,15,22,,,,,,,2,8,13,82,106,106,258,223,91,70,99,65,83.23,52.71,52.45
Germany,Exports,12331,13766,15095,18639,24014,17735,16502,17057,19968,21697,21943,22457,20201,20920,23118,24784,22967,23767,25134,23910,22366,19531,18740,19159,19785,20324,20437,23663,22400,20933,24579,23890,24683,24673,27279,26035,29219,29869,28639,20778,25352,26379,25818,24161,24757,25146,25521,26365,25999,24061.13,21564.76,23949.83
Ghana,Exports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,,1,,2,2,0.03,0.29,0.36
Greece,Exports,179,126,178,311,440,334,354,224,461,482,522,377,291,487,705,708,723,500,500,884,811,892,948,599,616,606,662,578,529,568,475,496,612,643,895,858,973,1096,1302,1035,1170,1742,1215,973,920,997,990,1292,1631,1309.52,1366.60,1305.10
Guatemala,Exports,,,,,,,,,,13,16,19,19,16,11,9,8,8,8,10,11,26,47,54,71,111,120,120,120,50,50,50,50,130,118,118,121,120,4,4,9,8,13,13,14,16,61,82,82,50.93,17.13,60.26
Guinea,Exports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,Exports,,,,,,,,,,3,3,,2,1,1,,,,,,2,3,3,3,3,3,3,3,3,3,3,3,3,23,24,24,25,25,25,20,20,2,13,12,19,17,28,21,14,18.63,1.40,26.83
"Hong Kong, China",Exports,63,22,40,127,94,27,13,,56,66,112,115,125,307,630,893,719,800,850,573,580,676,1310,2643,2762,2564,2600,2600,2700,2400,3500,3500,4000,3000,1500,1500,1500,1500,1500,1226,1432,1246,1168,1087,1281,168,988,839,704,569.08,587.33,178.51
Hungary,Exports,918,958,1113,1152,914,1060,1255,1295,1139,1417,1220,1112,1021,1135,1423,1268,1292,1231,1550,1350,1510,1193,995,1024,1052,929,954,950,976,1077,1001,1045,1108,842,830,1251,1203,1142,1403,1090,1316,1470,1698,1766,1607,1440,1404,1892,2086,1851.27,1715.70,1412.81
Iceland,Exports,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,1,,2,5,,1,,1,0.16,0.07,0.22
India,Exports,686,335,201,141,186,739,1509,1312,500,61,49,0,11,25,154,15,27,50,113,375,327,663,763,1552,1310,1259,1400,1614,1114,2354,3171,3187,3641,5069,5487,5999,6870,6590,7485,5552,6690,8940,8232,10078,10379,7563,10325,16335,11101,13355.84,17296.46,20373.54
Indonesia,Exports,,,,,,,,,,115,24,16,2,0,50,111,225,607,700,560,353,706,670,783,746,775,627,605,1950,1339,1179,839,984,983,1207,1145,1709,1532,1516,1104,1236,1249,901,660,1342,2003,1599,2425,3792,3964.02,5818.45,9855.88
Iran,Exports,,,,,,,,,,,,,,,,,,,,,,,,,,650,700,800,800,385,522,550,600,1237,1400,1500,2000,582,450,131,297,270,260,368,2868,3798,5654,7460,9273,1127.44,1818.26,1586.67
Iraq,Exports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,1,,0.06,0.04,0.26
Ireland,Exports,17,15,45,68,68,33,33,31,58,25,37,36,55,113,143,187,191,213,245,316,312,278,262,349,263,288,309,316,345,305,319,169,44,62,64,49,58,58,47,34,37,44,50,47,65,93,121,91,100,95.77,85.57,117.47
Israel,Exports,,,,,,,,,,15,61,25,4,2,3,39,16,15,15,15,20,20,20,20,20,20,20,20,20,,,,,,,,,,,42,47,59,35,17,7,6,5,8,10,35.00,5.04,4.73
Italy,Exports,1767,3145,3800,3488,4785,6301,6051,6740,8271,6894,6771,8234,6991,7367,7779,8007,7247,7234,6806,7758,8213,8954,9568,11890,10722,10173,10922,10695,10192,9803,11730,11804,11388,11338,13350,14363,17052,17908,18040,12750,15316,17125,17926,16640,17328,16475,17895,18190,18180,17948.16,15390.70,17185.57
Ivory Coast,Exports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,,0.01,0.01,0.04
Jamaica,Exports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,0.20,0.05,0.09
Japan,Exports,17562,23158,20919,24808,32221,28926,36009,33400,30856,30659,29693,28456,28641,30875,31929,31527,28707,25217,23304,19743,16631,17916,18564,23506,22407,22129,19262,22892,24996,26085,28478,29494,35157,33728,34768,32040,34557,35629,36923,33306,42735,40656,41458,42502,41346,40804,40505,37471,35839,33126.98,31071.75,33763.46
Jordan,Exports,,,,,,,,,,6,5,5,7,2,4,5,5,5,5,11,6,5,12,15,5,10,10,10,10,,,,,,,,,,,1,,1,1,3,,1,76,72,117,119.73,135.01,120.53
Kazakhstan,Exports,388.6816296,384.241324,377.4259713,362.0914278,353.9852886,404.0161731,387.3908431,413.0516786,320.1150509,382,371,366,391,275,283,451,480,471,485,471,438,276,3500,1500,832,1894,2190,2931,2424,3201,3564,3553,3738,3835,4177,3538,3417,3977,3585,3408,2860,2491,1693,1132,1650,1704,2500,1732,1389,1244.02,1593.08,1390.54
Kenya,Exports,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,1,1,1,,1,,1,,,,0.27,0.03,0.06
Kuwait,Exports,,,,,,,,,,79,70,210,305,176,104,100,100,100,100,63,18,,2,,,,,,,,,,,,,,,,,2,3,16,6,8,3,,109,101,112,189.79,182.99,167.81
Kyrgyzstan,Exports,1.952282158,1.929979253,1.895746888,1.818724066,1.778008299,2.029304979,1.945798755,2.074688797,1.607883817,2,2,2,2,1,1,2,2,2,2,2,2,1,,,,29,11,4,13,2,,,,,,,,3,1,,10,11,9,8,10,2,,,,0.00,0.15,0.14
Latvia,Exports,47.38721237,46.84586005,46.01494719,44.14539325,43.15711052,49.25676631,47.22984251,50.35835534,39.02772539,47,45,45,48,33,34,55,59,57,59,57,53,34,256,340,353,297,267,400,477,556,500,550,600,648,722,805,842,918,895,865,894,833,1151,622,399,576,486,458,487,481.31,466.81,508.70
Lebanon,Exports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,14,27,20,24,4,1,,,1,0.61,1.30,4.09
Libya,Exports,,,,,,,,,,,,,,,,,,,,52,,,,,,,,,,480,376,461,489,388,306,306,310,340,245,95,124,92,47,9,3,13,6,18,51,14.96,62.15,47.37
Lithuania,Exports,10.82629197,10.70261222,10.5127782,10.08565164,9.859864202,11.25341852,10.79033855,11.50509242,8.916446624,11,10,10,11,8,8,13,13,13,14,13,12,8,,,276,326,61,63,84,100,77,80,50,187,103,126,145,189,213,178,205,253,284,258,269,330,380,386,400,346.52,409.94,475.71
Macedonia,Exports,101.21,79.83,109.56,246.17,220.45,111.56,157.65,95.19,112.23,111,83,88,124,191,299,379,306,571,627,357.1,565.1,380.8,328,290,71,62,143,250,587,450,400,350,260,353,360,400,516,685,769,423,519,622,484,373,431,406,512,595,617,561.77,560.78,614.41
Madagascar,Exports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Exports,32,47,78,61,70,14,13,48,20,90,89,19,21,28,84,72,75,75,75,175,163,435,660,1061,1997,1036,897,541,1599,1966,1769,1748,2049,2672,3837,2970,3726,3861,2754,2920,2294,2746,2319,1618,2100,1823,1428,1725,1693,5159.34,8484.98,8310.42
Malta,Exports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,1,7,,1.27,0.09,0.16
Mauritania,Exports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritius,Exports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,Exports,208,357,412,141,119,67,145,240,384,252,67,42,293,1004,894,433,1081,1332,1247,1129,1417,1137,1480,2051,2246,5930,5352,5497,5961,5164,5137,3994,4672,4621,5518,5450,4990,5609,5993,3619,5183,5537,4688,5639,5395,3898,4084,5180,5825,5141.62,5259.03,5949.99
Moldova,Exports,2.484722746,2.456337231,2.412768767,2.314739721,2.262919653,2.582751792,2.476471143,2.640513014,2.046397586,2,2,2,3,2,2,3,3,3,3,3,3,2,101,100,580,25,14,3,,1,,,,,,,,807,722,273,224,221,314,147,344,273,194,375,467,321.63,340.47,419.37
Mongolia,Exports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montenegro,Exports,,,,,,,,,,,,,,,,,,,,7,11.1,7.5,6.4,,,0.7,4.4,12.9,15.2,2.264993026,3.748953975,5.428172943,5.389121339,5.154811715,12.34030683,20.50209205,28,107,129,59,23,36,20,12,8,27,19,18,16,17.78,12.89,5.54
Morocco,Exports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,64,169,141,92,47,65,107,155,133,101.75,90.35,156.96
Mozambique,Exports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myanmar,Exports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,2,,2,1,7,5,5.59,5.49,23.05
Netherlands,Exports,3110,3780,4441,4803,5232,4007,4423,4102,4582,4957,4569,4908,4004,4231,5105,5137,5166,5215,5635,5763,5697,6247,6001,5727,6609,6317,6481,6819,6752,6373,6501,6171,7160,7689,8958,8240,10241,10717,10029,7707,9271,10441,9734,8761,9715,10630,10214,10916,11029,10037.44,9067.36,10127.68
New Zealand,Exports,17,25,46,45,39,40,45,45,45,45,125,45,87,120,150,150,150,140,72,312,363,415,536,435,410,410,424,424,304,370,340,306,276,280,200,214,250,248,365,275,406,448,421,475,287,347,188,192,221,168.53,198.69,121.50
Nicaragua,Exports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,5,5,5,5,5,5,5,5,4,5,,,,1,2,1,,1,4.95,0.05,5.31
Nigeria,Exports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,5,,19,6,1,10,5,0.06,0.03,0.00
North Korea,Exports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,130,67,78,60,57,33,40,29,16,,,
Norway,Exports,471,505,554,630,590,587,628,484,591,686,651,665,567,704,733,754,570,760,672,650,560,566,611,687,624,482,755,1682,1227,1023,827,879,832,910,1124,1255,910,873,685,591,507,547,664,567,551,521,571,540,491,586.60,529.24,521.33
Oman,Exports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,40,195,56,49,101,118,268,653,779,1979.61,2688.26,4535.27
Other Africa,Exports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,41,43,59,54,63,28,24,21,25,,,
Other Asia,Exports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1039,189,1203,1384,952,985,1127,1159,1258,1505,,,
Other C.I.S.,Exports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Europe,Exports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,13,5,8,3,2,2,2,3,5,,,
Other Middle East,Exports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,30,30,30,30,30,30,30,156,170,151,238,,,,,,,,,,,
Other North America,Exports,,,,,,,,,,,,,,,,,,,,,6,1,1,,,,,,,206,244,181,201,259,262,263,225,130,94,31,1,4,6,4,4,18,3,9,1,,,
Other Oceania,Exports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,21,4,1,1,,,,2,,,
Other South America,Exports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Pakistan,Exports,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,585,1063,292,220,159,224,53,65,117,543,111.30,151.58,119.27
Panama,Exports,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,3,5,4,7,3,11,5,4,5,7,0.00,0.00,0.00
Paraguay,Exports,,,,,,,,,,,,,,,,,,,,16,7,24,28,43,93,27,29,17,15,2,23,22,20,43,26,25,26,48,42,11,9,3,,,,,1,,5,2.33,3.93,8.47
Peru,Exports,,,,,,,,,,25,6,,8,15,2,19,2,,,4,2,,1,11,11,10,22,35,45,71,93,117,92,93,98,117,125,107,113,135,138,134,166,166,178,149,215,209,219,263.24,187.53,217.67
Philippines,Exports,99,67,4,2,1,2,18,17,53,83,122,8,,3,,4,1,4,5,15,30,90,42,49,65,78,64,87,66,34,35,35,669,700,92,159,345,110,148,76,57,105,140,65,149,21,29,37,33,38.56,22.03,36.43
Poland,Exports,1498,1492,1479,1402,1470,1485,1579,1794,1923,1988,1936,1667,1639,2336,2296,2187,2234,2257,2348,2382,3597,3690,3475,3270,4119,3622,3709,4435,3311,3186,3940,3763,3079,3693,4915,4045,4179,4988,5560,4188,4240,4907,5392,4895,5024,5084,5396,6190,6017,5887.85,5362.58,5745.32
Portugal,Exports,41,35,36,34,23,26,71,28,33,100,68,20,32,166,229,327,243,161,119,147,187,148,271,351,228,352,455,393,469,728,843,668,679,504,1242,1364,1574,1796,1573,1442,1314,1639,1728,2044,2369,2324,2443,2591,2416,2385.69,2322.82,2489.60
Qatar,Exports,,,,,,,,,,330,440,450,393,395,443,480,480,480,480,497,541,497,509,551,529,464,483,455,468,486,629,764,600,562,442,500,500,700,900,800,900,585,1000,1000,45,,349,529,1410,1491.89,547.40,276.19
Romania,Exports,1371,1502,1197,1388,1308,1477,2100,1640,2239,1948,1984,2083,1901,2175,2779,2932,3060,3100,3100,3202,1882,1227,1676,2616,2752,2951,2618,2924,2804,2444,2728,2802,3492,3657,3703,3900,3609,3785,3193,2030,2950,3157,2682,2277,2339,2585,2506,2789,2859,2907.69,2667.04,3347.99
Russia,Exports,4790.900415,4736.169087,4652.162863,4463.148859,4363.232365,4979.914419,4774.990145,5091.286307,3945.746888,4714,4572,4512,4821,3386,3483,5561,5922,5803,5982,5804,5397,3407,7176,16678,25645,27371,26994,26120,24831,27494,27506,25575,27654,28244,30446,30853,31462,29411,28429,27587,27382,24729,26678,23641,28084,29702,31186,31159,33343,29464.22,28838.41,32582.85
Saudi Arabia,Exports,,,,,,,,,,,,,,,,,,,,400,670,670,700,900,1000,1000,1000,1000,1000,820,592,600,600,600,600,600,674,700,900,101,132,699,285,247,123,1129,1141,1138,1775,2496.68,1303.69,1522.08
Senegal,Exports,,,,,,,,,,,,,,,,,,,,,1,,2,4,,,,,,,,,,,,,,,,,,1,,,,,,,,0.93,0.50,0.22
Serbia,Exports,99.83463856,78.74745418,108.07182,242.8321076,217.4615889,110.0487435,155.5179848,93.90386795,110.707718,110,82,87,122,188,295,374,302,564,619,352.2,557.5,375.6,323.6,,,37.3,219.6,647.1,762.8,113.735007,188.251046,272.5718271,270.6108787,258.8451883,619.6596932,1029.497908,1406,1483,1427,982,1284,1116,488,609,748,908,936,1141,1444,1498.49,1110.23,1066.21
Singapore,Exports,67,109,75,153,218,185,213,390,497,356,414,412,412,317,408,369,375,465,586,680,661,758,741,795,308,1018,933,935,558,603,666,660,718,687,852,1797,2029,2558,2866,1691,1904,2312,2252,2275,2155,1729,1708,1479,1634,1781.54,1765.68,1212.91
Slovak Republic,Exports,1428.440714,1508.969532,1661.920241,1581.931884,1661.379779,1757.581991,1837.570347,1864.593441,1943.500873,1906,1877,1841,1783,1901,2041,2104,2151,2231,2195,2055.4,2024.6,2533.1,2785,3645,3215,3467,3843,2838,2929,2749,3118,3276,3545,4044,3815,3927,4527,4600,4277,3548,4590,4372,4760,4786,4931,4835,5089,5197,5064,4228.22,3591.75,5088.74
Slovenia,Exports,68.5,54.03,74.15,166.61,149.21,75.51,106.7,64.43,75.96,75,56,60,84,129,202,257,207,387,425,241.7,382.5,257.7,222,224,305,228,225,268,291,298,335,250,250,392,463,460,567,704,859,589,688,843,817,807,871,993,1010,1103,1226,1154.71,1096.63,1271.96
South Africa,Exports,393,281,519,632,612,324,1098,2108,2226,2214,1693,1630,1985,1739,1708,2899,3164,2636,2648,1842,2948,3571,4103,3751,4179,3353,3753,4046,3856,3767,4133,4272,3965,5098,4453,4594,3483,3219,2188,2844,3018,2567,2216,1888,2339,2190,2194,2562,2857,4301.86,1484.52,1538.00
South Korea,Exports,80,122,428,808,1185,931,1354,1246,1631,3117,4482,4663,5546,5639,5848,5650,5860,6040,6992,7719,7572,8062,10721,11444,10029,9795,10438,11739,17476,13691,13848,14078,12952,14090,15019,16124,18016,18264,19718,20237,24628,28866,30227,28927,31906,31173,30586,31355,30056,29986.21,28581.48,26781.24
