# File: Andrew_cement_production.csv
# Title: Andrew historical cement production
# Units: kt cement
# Description: Historical cement production 1880 - 2024 by country, energy use, energy intensity, process-based emissions, energy-use emissions, and total emissions
# Source: 1. annual_cement_production.csv from https://zenodo.org/records/14931651 documented here https://essd.copernicus.org/articles/11/1675/2019/
# Column types: ncccc
# ----------
Year,AFG,ALB,DZA,AND,AGO,AIA,ATA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BES,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CAN,CPV,CYM,CAF,TCD,CHL,CHN,CXR,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CUW,CYP,CZE,CSK,PRK,COD,VDR,DNK,DJI,DMA,DOM,East & West Pakistan,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FRO,FLK,DEW,FSM,Federation of Malaya-Singapore,FJI,FIN,YMD,DDR,PCZ,YEM (886),FRA,French Equatorial Africa,GUF,French Indo-China,PYF,French West Africa,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRL,GRD,GLP,GTM,GIN,GNB,GUY,HTI,HND,HKG,HUN,ISL,IND,IDN,IRQ,IRL,IRN,ISR,ITA,JAM,JPN,Japan (Excluding The Ruyuku Islands),JOR,KAZ,KEN,KIR,KSV,KWT,Kuwaiti Oil Fires,KGZ,LAO,LVA,LBN,Leeward Islands,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MKD,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MTQ,MRT,MUS,MEX,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,ANT,Netherland Antilles and Aruba,NLD,NCL,NZL,NIC,NER,NGA,NIU,NOR,PSE,OMN,Pacific Islands (Palau),PAK,PLW,PAN,PNG,PRY,Peninsular Malaysia,PER,PHL,BOL,POL,PRT,QAT,CMR,KOR,MDA,SSD,Republic of South Vietnam,SDN (729),REU,Rhodesia-Nyasaland,ROU,RUS,RWA,Rwanda-Urundi,Ryukyu Islands,Sabah,SHN,LCA,SXM,WSM,STP,Sarawak,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,KNA (659),KNA (658),SPM,VCT,SDN (736),SUR,SWZ,SWE,CHE,SYR,TWN,TJK,Tanganyika,THA,TLS,TGO,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,United Korea,TZA,USA,URY,SUN,UZB,VUT,VEN,VNM,WLF,YEM (887),YUG,SCG,ZMB,Zanzibar,ZWE
1890,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,0,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,1278.177604,,,,,,,,,,,,,
1891,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,0,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,0,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,1313.773572,,,,,,,,,,,,,
1892,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,0,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,0,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,1399.384151,,,,,,,,,,,,,
1893,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,0,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,0,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,1278.571762,,,,,,,,,,,,,
1894,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,0,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,0,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,1336.054285,,,,,,,,,,,,,
1895,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,0,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,0,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,1395.035151,,,,,,,,,,,,,
1896,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,0,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,0,,,0,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,1519.988516,,,,,,,,,,,,,
1897,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,0,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,0,,,0,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,1755.810686,,,,,,,,,,,,,
1898,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,0,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,0,,,0,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,1935.034353,,,,,,,,,,,,,
1899,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,0,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,0,,,0,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,2479.73565,,,,,,,,,,,,,
1900,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,0,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,0,,,0,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,2680.4,,,,,,,,,,,,,
1901,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,0,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,0,,,0,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,3202.4,,,,,,,,,,,,,
1902,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,0,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,0,,,0,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,4147.6,,,,,,,,,,,,,
1903,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,0,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,0,,,0,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,4898,,,,,,,,,,,,,0
1904,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,0,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,0,,,0,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,5282.7,,,,,0,,,,,,,,0
1905,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,0,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,0,0,,,0,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,6750.3,,,,,,,,,,,,,0
1906,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,0,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,0,,,0,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,8643.6,,,,,,,,,,,,,0
1907,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,0,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,0,,,0,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,8897.8,,,,,,,,,,,,,0
1908,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,0,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,0,,,0,,,,,,,,,,222.125,,,0,,,,,,,,,,,,,,,,,,,9059,,,,,0,,,,,,,,0
1909,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,0,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,0,0,,,0,,,,,,,,,,220.115,,,0,,,,,,,0,,,,,,,,,,,,11437,,,,,,,,,,,,,0
1910,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,0,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,0,0,,,0,,,,,,,,,,257.756,,,0,,,,,,,0,,,,,,,,,,,,13366,,,,,,,,,,,,,0
1911,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,0,0,,,0,,,,,,,,,,282.862,,,0,,,,,,,0,,,,,,,,,,,,13678,,,,,,,,,,,,,0
1912,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,0,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,0,0,,,0,,,,,,,,,,339.616,,,0,,,,,,,0,,,,,,,,,,,,14337,,,,,,,,,,,,,0
1913,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,0,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,0,0,,,0,,,,,,,,,,390.11,,,0,,,,,,,0,,,,,,,,,,,,15994,,,,,0,,,,,,,,0
1914,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,278.251,,,0,,,,,,,0,,,,,,,,,,,,15322,,,,,0,,,,,,,,0
1915,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,306.102,,,0,,,,,,,0,,,,,,,,,,,,14919,,,,,0,,,,,,,,0
1916,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,347.256,,,0,,,,,,,0,0,,,,,,,,,,,15890,,,,,0,,,,,,,,0
1917,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,280.708,,,0,,,,,,,0,0,,,,,,,,,,,16085,,,,,0,,,,,,,,0
1918,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,227.12,,,0,,,,,,,0,0,,,,,,,,,,,12311,,,,,0,,,,,,,,0
1919,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,0,,0,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,0,0,,,0,,,,,,,,,,235.714,,,0,,,,,,,0,,,,,,,,,,,,13995,,,,,0,,,,,,,,0
