# File: NREL_ATB_capital.csv
# Title: Technology overnight capital cost assumptions by year from NREL 2019 ATB
# Units: $2015/kW for 2015-2016; $2017/kW for 2017-2050
# Source: NREL 2019 Annual Technology Baseline for 2017-2050 (https://atb.nrel.gov/electricity/2019/files/2019-ATB-data.xlsm); NREL 2017 Annual Technology Baseline for 2015-2016 (https://data.nrel.gov/files/71/2017-ATB-data.xlsm)
# Comments: tech_type corresponds to tab within the ATB workbooks; tech_detail corresponds to the more detailed technologies within those tabs.
# Users can specify how ATB technologies are mapped to GCAM technologies in energy/mappings/atb_gcam_mapping.csv.
# Column types: ccccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn 
# ----------
tech_type,tech_detail,input,case,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Offshore Wind,TRG 9 - Mid,capital,central,5706,5490,4522,4335,4154,3982,3816,3658,3506,3360,3221,3087,2959,2836,2718,2605,2497,2393,2294,2198,2107,2020,1936,1855,1778,1704,1634,1566,1501,1438,1379,1321,1266,1214,1163,1115
Offshore Wind,TRG 9 - Constant,capital,low tech,5706,5706,4522,4522,4522,4522,4522,4522,4522,4522,4522,4522,4522,4522,4522,4522,4522,4522,4522,4522,4522,4522,4522,4522,4522,4522,4522,4522,4522,4522,4522,4522,4522,4522,4522,4522
Offshore Wind,TRG 10 - Low,capital,adv tech,5800,5377,4646,3562,3414,3272,3137,3006,2881,2762,2647,2537,2432,2331,2234,2141,2052,1967,1885,1807,1732,1660,1591,1525,1461,1401,1343,1287,1233,1182,1133,1086,1041,998,956,916
Offshore Wind,TRG 10 - Mid,capital,central,5800,5578,4646,4453,4268,4091,3921,3758,3602,3452,3309,3171,3039,2913,2792,2676,2565,2459,2356,2258,2165,2075,1989,1906,1827,1751,1678,1608,1542,1478,1416,1357,1301,1247,1195,1146
Offshore Wind,TRG 10 - Constant,capital,low tech,5800,5800,4646,4646,4646,4646,4646,4646,4646,4646,4646,4646,4646,4646,4646,4646,4646,4646,4646,4646,4646,4646,4646,4646,4646,4646,4646,4646,4646,4646,4646,4646,4646,4646,4646,4646
Offshore Wind,TRG 11 - Low,capital,adv tech,5964,5533,4655,3569,3421,3279,3143,3012,2887,2767,2652,2542,2436,2335,2238,2145,2056,1971,1889,1810,1735,1663,1594,1528,1464,1403,1345,1289,1236,1184,1135,1088,1043,999,958,918
Offshore Wind,TRG 11 - Mid,capital,central,5964,5735,4655,4461,4276,4098,3928,3765,3609,3459,3315,3177,3045,2919,2798,2681,2570,2463,2361,2263,2169,2079,1992,1910,1830,1754,1681,1612,1545,1480,1419,1360,1304,1249,1197,1148
Offshore Wind,TRG 11 - Constant,capital,low tech,5964,5964,4655,4655,4655,4655,4655,4655,4655,4655,4655,4655,4655,4655,4655,4655,4655,4655,4655,4655,4655,4655,4655,4655,4655,4655,4655,4655,4655,4655,4655,4655,4655,4655,4655,4655
Offshore Wind,TRG 12 - Low,capital,adv tech,5988,5571,4599,3526,3380,3239,3105,2976,2852,2734,2620,2511,2407,2307,2211,2119,2031,1947,1866,1789,1714,1643,1575,1509,1447,1387,1329,1274,1221,1170,1122,1075,1030,987,946,907
Offshore Wind,TRG 12 - Mid,capital,central,5988,5766,4599,4408,4225,4049,3881,3720,3565,3417,3275,3139,3009,2884,2764,2649,2539,2434,2333,2236,2143,2054,1968,1887,1808,1733,1661,1592,1526,1463,1402,1344,1288,1234,1183,1134
Offshore Wind,TRG 12 - Constant,capital,low tech,5988,5988,4599,4599,4599,4599,4599,4599,4599,4599,4599,4599,4599,4599,4599,4599,4599,4599,4599,4599,4599,4599,4599,4599,4599,4599,4599,4599,4599,4599,4599,4599,4599,4599,4599,4599
Offshore Wind,TRG 13 - Low,capital,adv tech,6109,5691,4827,3701,3547,3400,3259,3123,2994,2869,2750,2636,2526,2421,2321,2224,2132,2043,1959,1877,1799,1724,1653,1584,1518,1455,1395,1337,1281,1228,1177,1128,1081,1036,993,952
Offshore Wind,TRG 13 - Mid,capital,central,6109,5885,4827,4626,4434,4250,4073,3904,3742,3586,3438,3295,3158,3027,2901,2780,2665,2554,2448,2346,2249,2156,2066,1980,1898,1819,1744,1671,1602,1535,1471,1410,1352,1296,1242,1190
Offshore Wind,TRG 13 - Constant,capital,low tech,6109,6109,4827,4827,4827,4827,4827,4827,4827,4827,4827,4827,4827,4827,4827,4827,4827,4827,4827,4827,4827,4827,4827,4827,4827,4827,4827,4827,4827,4827,4827,4827,4827,4827,4827,4827
Offshore Wind,TRG 14 - Low,capital,adv tech,6280,5868,4997,3831,3672,3520,3373,3233,3099,2970,2847,2729,2615,2507,2402,2303,2207,2115,2027,1943,1862,1785,1711,1640,1572,1506,1444,1384,1326,1271,1219,1168,1119,1073,1028,986
Offshore Wind,TRG 14 - Mid,capital,central,6280,6058,4997,4789,4590,4399,4217,4042,3874,3713,3558,3411,3269,3133,3003,2878,2759,2644,2534,2429,2328,2231,2139,2050,1965,1883,1805,1730,1658,1589,1523,1460,1399,1341,1285,1232
Offshore Wind,TRG 14 - Constant,capital,low tech,6280,6280,4997,4997,4997,4997,4997,4997,4997,4997,4997,4997,4997,4997,4997,4997,4997,4997,4997,4997,4997,4997,4997,4997,4997,4997,4997,4997,4997,4997,4997,4997,4997,4997,4997,4997
Offshore Wind,TRG 15 - Low,capital,adv tech,6612,6179,5257,4031,3863,3703,3549,3402,3260,3125,2995,2871,2751,2637,2528,2423,2322,2225,2133,2044,1959,1878,1800,1725,1654,1585,1519,1456,1396,1338,1282,1229,1178,1129,1082,1037
Offshore Wind,TRG 15 - Mid,capital,central,6612,6377,5257,5038,4829,4629,4436,4252,4075,3906,3744,3588,3439,3296,3159,3028,2902,2782,2666,2556,2449,2348,2250,2157,2067,1981,1899,1820,1744,1672,1602,1536,1472,1411,1352,1296
Offshore Wind,TRG 15 - Constant,capital,low tech,6612,6612,5257,5257,5257,5257,5257,5257,5257,5257,5257,5257,5257,5257,5257,5257,5257,5257,5257,5257,5257,5257,5257,5257,5257,5257,5257,5257,5257,5257,5257,5257,5257,5257,5257,5257
Land-Based Wind,TRG 1 - Low,capital,adv tech,1540,1428,1575,1538,1502,1465,1429,1392,1356,1319,1283,1246,1210,1173,1137,1100,1085,1071,1056,1041,1026,1011,996,981,966,951,935,920,905,889,874,858,843,827,811,796
Land-Based Wind,TRG 1 - Mid,capital,central,1540,1483,1575,1548,1521,1494,1467,1440,1413,1387,1360,1333,1306,1279,1252,1225,1212,1199,1185,1172,1159,1145,1132,1119,1105,1092,1078,1065,1051,1038,1024,1011,997,984,970,957
Land-Based Wind,TRG 1 - Constant,capital,low tech,1540,1540,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575
Land-Based Wind,TRG 2 - Low,capital,adv tech,1559,1447,1575,1538,1502,1465,1429,1392,1356,1319,1283,1246,1210,1173,1137,1100,1086,1072,1058,1044,1030,1016,1002,987,973,958,944,929,914,899,884,869,854,839,824,808
Land-Based Wind,TRG 2 - Mid,capital,central,1559,1502,1575,1548,1521,1494,1467,1440,1413,1387,1360,1333,1306,1279,1252,1225,1212,1200,1187,1174,1161,1148,1135,1122,1109,1096,1083,1070,1057,1044,1031,1018,1004,991,978,965
Land-Based Wind,TRG 2 - Constant,capital,low tech,1559,1559,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575
Land-Based Wind,TRG 3 - Low,capital,adv tech,1566,1458,1575,1538,1502,1465,1429,1392,1356,1319,1283,1246,1210,1173,1137,1100,1087,1074,1061,1048,1034,1021,1007,994,980,966,952,938,924,909,895,881,866,851,836,821
Land-Based Wind,TRG 3 - Mid,capital,central,1566,1511,1575,1548,1521,1494,1467,1440,1413,1387,1360,1333,1306,1279,1252,1225,1213,1200,1188,1176,1163,1151,1139,1126,1113,1101,1088,1076,1063,1050,1037,1024,1012,999,986,973
Land-Based Wind,TRG 3 - Constant,capital,low tech,1566,1566,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575
Land-Based Wind,TRG 4 - Low,capital,adv tech,1572,1467,1575,1538,1502,1465,1429,1392,1356,1319,1283,1246,1210,1173,1137,1100,1088,1076,1064,1051,1039,1026,1013,1000,987,974,961,947,933,920,906,892,877,863,849,834
Land-Based Wind,TRG 4 - Mid,capital,central,1572,1518,1575,1548,1521,1494,1467,1440,1413,1387,1360,1333,1306,1279,1252,1225,1213,1201,1190,1178,1166,1154,1142,1130,1118,1105,1093,1081,1069,1056,1044,1031,1019,1006,993,981
Land-Based Wind,TRG 4 - Constant,capital,low tech,1572,1572,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575
Land-Based Wind,TRG 5 - Low,capital,adv tech,1582,1485,1575,1538,1502,1465,1429,1392,1356,1319,1283,1246,1210,1173,1137,1100,1089,1078,1066,1055,1043,1031,1019,1007,994,982,969,956,943,930,916,903,889,875,861,847
Land-Based Wind,TRG 5 - Mid,capital,central,1582,1533,1575,1548,1521,1494,1467,1440,1413,1387,1360,1333,1306,1279,1252,1225,1214,1202,1191,1180,1168,1157,1145,1133,1122,1110,1098,1086,1074,1062,1050,1038,1026,1014,1001,989
Land-Based Wind,TRG 5 - Constant,capital,low tech,1582,1582,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575
Land-Based Wind,TRG 6 - Low,capital,adv tech,1608,1525,1575,1538,1502,1465,1429,1392,1356,1319,1283,1246,1210,1173,1137,1100,1090,1079,1069,1058,1047,1036,1025,1013,1001,989,977,965,953,940,927,914,901,887,874,860
Land-Based Wind,TRG 6 - Mid,capital,central,1608,1567,1575,1548,1521,1494,1467,1440,1413,1387,1360,1333,1306,1279,1252,1225,1214,1203,1193,1182,1171,1160,1148,1137,1126,1114,1103,1092,1080,1068,1057,1045,1033,1021,1009,997
Land-Based Wind,TRG 6 - Constant,capital,low tech,1608,1608,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575
Land-Based Wind,TRG 7 - Low,capital,adv tech,1643,1573,1575,1538,1502,1465,1429,1392,1356,1319,1283,1246,1210,1173,1137,1100,1091,1081,1071,1062,1051,1041,1030,1020,1008,997,986,974,962,950,938,925,912,899,886,872
Land-Based Wind,TRG 7 - Mid,capital,central,1643,1608,1575,1548,1521,1494,1467,1440,1413,1387,1360,1333,1306,1279,1252,1225,1215,1204,1194,1184,1173,1162,1152,1141,1130,1119,1108,1097,1086,1074,1063,1052,1040,1028,1017,1005
Land-Based Wind,TRG 7 - Constant,capital,low tech,1643,1643,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575
Land-Based Wind,TRG 8 - Low,capital,adv tech,1672,1609,1575,1538,1502,1465,1429,1392,1356,1319,1283,1246,1210,1173,1137,1100,1092,1083,1074,1065,1056,1046,1036,1026,1016,1005,994,983,972,960,948,936,924,911,898,885
Land-Based Wind,TRG 8 - Mid,capital,central,1672,1642,1575,1548,1521,1494,1467,1440,1413,1387,1360,1333,1306,1279,1252,1225,1215,1205,1196,1186,1175,1165,1155,1145,1134,1124,1113,1102,1091,1080,1069,1058,1047,1036,1024,1013
Land-Based Wind,TRG 8 - Constant,capital,low tech,1672,1672,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575
Land-Based Wind,TRG 9 - Low,capital,adv tech,1677,1646,1575,1538,1502,1465,1429,1392,1356,1319,1283,1246,1210,1173,1137,1100,1093,1085,1077,1068,1060,1051,1042,1032,1023,1013,1003,992,981,970,959,947,935,923,911,898
Land-Based Wind,TRG 9 - Mid,capital,central,1677,1664,1575,1548,1521,1494,1467,1440,1413,1387,1360,1333,1306,1279,1252,1225,1216,1206,1197,1187,1178,1168,1158,1148,1138,1128,1118,1107,1097,1086,1076,1065,1054,1043,1032,1021
Land-Based Wind,TRG 9 - Constant,capital,low tech,1677,1677,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575
Land-Based Wind,TRG 10 - Low,capital,adv tech,1677,1668,1575,1538,1502,1465,1429,1392,1356,1319,1283,1246,1210,1173,1137,1100,1093,1087,1079,1072,1064,1056,1048,1039,1030,1021,1011,1001,991,980,970,958,947,935,923,911
Land-Based Wind,TRG 10 - Mid,capital,central,1677,1675,1575,1548,1521,1494,1467,1440,1413,1387,1360,1333,1306,1279,1252,1225,1216,1207,1198,1189,1180,1171,1161,1152,1142,1133,1123,1113,1103,1093,1082,1072,1061,1051,1040,1029
Land-Based Wind,TRG 10 - Constant,capital,low tech,1677,1677,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575
Solar - Utility PV,Utility PV - Seattle - Low,capital,adv tech,1988,1494,1096,1100,949,890,857,823,790,757,724,690,657,624,590,557,541,525,509,493,477,465,453,441,429,417,410,402,395,388,380,374,369,363,357,351
Solar - Utility PV,Utility PV - Seattle - Mid,capital,central,1988,1494,1096,1100,1080,1060,1040,1019,998,977,956,934,913,892,871,850,841,831,822,812,803,793,784,775,765,756,748,739,731,723,715,707,699,690,682,674
Solar - Utility PV,Utility PV - Seattle - Constant,capital,low tech,1988,1494,1096,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100
Solar - Utility PV,Utility PV - Chicago - Low,capital,adv tech,1988,1494,1096,1100,949,890,857,823,790,757,724,690,657,624,590,557,541,525,509,493,477,465,453,441,429,417,410,402,395,388,380,374,369,363,357,351
Solar - Utility PV,Utility PV - Chicago - Mid,capital,central,1988,1494,1096,1100,1080,1060,1040,1019,998,977,956,934,913,892,871,850,841,831,822,812,803,793,784,775,765,756,748,739,731,723,715,707,699,690,682,674
Solar - Utility PV,Utility PV - Chicago - Constant,capital,low tech,1988,1494,1096,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100
Solar - Utility PV,Utility PV - Kansas City - Low,capital,adv tech,1988,1494,1096,1100,949,890,857,823,790,757,724,690,657,624,590,557,541,525,509,493,477,465,453,441,429,417,410,402,395,388,380,374,369,363,357,351
Solar - Utility PV,Utility PV - Kansas City - Mid,capital,central,1988,1494,1096,1100,1080,1060,1040,1019,998,977,956,934,913,892,871,850,841,831,822,812,803,793,784,775,765,756,748,739,731,723,715,707,699,690,682,674
Solar - Utility PV,Utility PV - Kansas City - Constant,capital,low tech,1988,1494,1096,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100
Solar - Utility PV,Utility PV - Los Angeles - Low,capital,adv tech,1988,1494,1096,1100,949,890,857,823,790,757,724,690,657,624,590,557,541,525,509,493,477,465,453,441,429,417,410,402,395,388,380,374,369,363,357,351
Solar - Utility PV,Utility PV - Los Angeles - Mid,capital,central,1988,1494,1096,1100,1080,1060,1040,1019,998,977,956,934,913,892,871,850,841,831,822,812,803,793,784,775,765,756,748,739,731,723,715,707,699,690,682,674
Solar - Utility PV,Utility PV - Los Angeles - Constant,capital,low tech,1988,1494,1096,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100
Solar - Utility PV,"Utility PV - Daggett, CA - Low",capital,adv tech,1988,1494,1096,1100,949,890,857,823,790,757,724,690,657,624,590,557,541,525,509,493,477,465,453,441,429,417,410,402,395,388,380,374,369,363,357,351
Solar - Utility PV,"Utility PV - Daggett, CA - Mid",capital,central,1988,1494,1096,1100,1080,1060,1040,1019,998,977,956,934,913,892,871,850,841,831,822,812,803,793,784,775,765,756,748,739,731,723,715,707,699,690,682,674
Solar - Utility PV,"Utility PV - Daggett, CA - Constant",capital,low tech,1988,1494,1096,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100
Solar - PV Dist. Comm,Comm PV - Seattle - Low,capital,adv tech,2433,2152,1832,1786,1315,1231,1108,1070,1032,995,957,920,882,844,807,769,750,732,713,694,675,656,638,619,600,581,576,571,566,561,536,535,533,532,531,530
Solar - PV Dist. Comm,Comm PV - Seattle - Mid,capital,central,2433,2152,1832,1786,1699,1601,1578,1542,1505,1469,1432,1396,1359,1323,1286,1250,1238,1226,1215,1203,1191,1179,1168,1156,1144,1132,1119,1106,1093,1079,1066,1053,1040,1026,1013,1000
Solar - PV Dist. Comm,Comm PV - Seattle - Constant,capital,low tech,2433,2152,1832,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786
Solar - PV Dist. Comm,Comm PV - Chicago - Low,capital,adv tech,2433,2152,1832,1786,1315,1231,1108,1070,1032,995,957,920,882,844,807,769,750,732,713,694,675,656,638,619,600,581,576,571,566,561,536,535,533,532,531,530
Solar - PV Dist. Comm,Comm PV - Chicago - Mid,capital,central,2433,2152,1832,1786,1699,1601,1578,1542,1505,1469,1432,1396,1359,1323,1286,1250,1238,1226,1215,1203,1191,1179,1168,1156,1144,1132,1119,1106,1093,1079,1066,1053,1040,1026,1013,1000
Solar - PV Dist. Comm,Comm PV - Chicago - Constant,capital,low tech,2433,2152,1832,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786
Solar - PV Dist. Comm,Comm PV - Kansas City - Low,capital,adv tech,2433,2152,1832,1786,1315,1231,1108,1070,1032,995,957,920,882,844,807,769,750,732,713,694,675,656,638,619,600,581,576,571,566,561,536,535,533,532,531,530
Solar - PV Dist. Comm,Comm PV - Kansas City - Mid,capital,central,2433,2152,1832,1786,1699,1601,1578,1542,1505,1469,1432,1396,1359,1323,1286,1250,1238,1226,1215,1203,1191,1179,1168,1156,1144,1132,1119,1106,1093,1079,1066,1053,1040,1026,1013,1000
Solar - PV Dist. Comm,Comm PV - Kansas City - Constant,capital,low tech,2433,2152,1832,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786
Solar - PV Dist. Comm,Comm PV - Los Angeles - Low,capital,adv tech,2433,2152,1832,1786,1315,1231,1108,1070,1032,995,957,920,882,844,807,769,750,732,713,694,675,656,638,619,600,581,576,571,566,561,536,535,533,532,531,530
