# File: Smith_irradiance_ctry_kwh.csv
# Title: Average and direct normal irradiance suitable for weighting regional solar capacity
# Units: kwh/m2/day for Irradiance; m2 for area
iso,irradiance,irradiance.area,dni,dni.area
isl,230081.0457,102504.3355,0,0
ind,6002199.459,1117691.813,141109.1635,912295.5731
idn,2172004.514,431674.1543,80432.68369,438678.1116
irn,8892689.107,1602223.232,459712.0403,3264710.922
irq,2573353.923,467253.5595,121399.6625,851466.5061
irl,106204.7465,38735.32187,0,0
isr,313371.3891,54935.94011,5010.4177,36238.77236
ita,714142.1257,153924.1693,16761.03353,105705.2434
jam,7010.495929,1090.792223,6899.574799,46152.34065
jpn,492597.9542,119975.5627,5711.811647,27031.41353
jor,742021.0582,128434.9789,26842.65043,197356.8824
kaz,10176054.2,2373803.098,111853.1223,667199.0347
ken,3477448.906,604676.4125,95243.70206,576691.1975
kor,64854.30126,14277.87536,1339.083088,7176.001469
prk,248717.7868,51591.17756,194.2479658,1256.018728
kwt,181007.9542,32292.15183,15122.3403,110282.3868
kgz,1095451.512,224989.8991,10376.92074,61256.30646
lva,62637.81998,19604.49252,0,0
lbn,72492.80798,13275.03912,54.71335943,411.2755298
lby,10695053.78,1720027.686,1167562.736,9169092.611
ltu,8505.930145,2599.11547,0,0
lux,7103.548033,2273.000233,0,0
mys,355799.8818,72108.08915,3411.772487,16884.64805
mlt,0,0,35.42608314,265.30548
mex,9200930.228,1578843.376,185561.9765,1333561.64
mda,32004.31421,8433.893247,0,0
mng,8247556.174,1653472.429,135893.2681,1009406.935
mar,4085584.651,696596.5934,267541.4924,1926666.794
moz,4202129.035,754484.4374,829.6381043,4984.455604
mmr,605212.554,122230.3268,513.012571,3032.390139
nam,5660940.12,886452.5152,321043.1796,2497068.726
ant,0,0,130.3572922,1016.574093
npl,610454.1778,105304.18,0,0
nld,51893.39164,17059.24708,0,0
nic,384721.4059,72000.4501,582.3183366,3588.631641
nga,4617708.847,807564.9102,424.4359882,3218.380298
nor,472630.1045,201726.8705,0,0
nzl,1070215.341,260500.7532,5837.082564,27949.56612
omn,2244268.377,355432.089,248099.5473,1904348.629
OTHER_Africa,52182676.25,8485163.468,3261873.317,24492466.18
OTHER_Southeast Asia,5079195.941,923235.6044,177090.6376,1173606.192
OTHER_Latin America,473838.0835,92860.09131,8019.05755,53439.99925
pak,3861834.682,685173.2424,175716.6861,1196093.14
pan,208964.1734,44893.63646,738.1284095,3470.93554
pry,1728860.179,340195.9892,0,0
per,3391893.917,596263.2412,5195.858855,32415.19747
phl,555185.1658,104895.8808,12403.55373,75436.08894
pol,150831.2698,49190.95951,0,0
prt,375808.2767,75111.71416,668.4568845,4058.584063
qat,80616.3575,13944.12311,4379.162288,31006.33528
rom,210455.5269,54296.50457,543.1684417,2725.565548
rus,22748362.5,8046870.226,3497.618887,16933.94178
sau,13150255.98,2118263.385,1523221.281,11937633.2
sen,1354131.368,230591.0727,9027.089318,56324.32997
scg,171568.6182,42181.52995,0,0
sgp,11241.48669,2507.201214,0,0
svk,42706.27378,13209.22992,0,0
svn,71966.3337,18664.10157,0,0
zaf,7321479.787,1221242.162,160090.5051,1315806.053
esp,1395930.555,286268.6436,6114.240645,42430.3753
lka,103010.4551,19090.96945,1897.568711,10930.98171
sdn,16097242.31,2565396.06,1049300.733,8043609.574
swe,215412.4331,87514.67597,0,0
che,61368.20231,15997.61959,0,0
syr,1070536.654,198431.8363,53802.0734,376288.5841
twn,62351.19979,14363.07569,954.4856882,4323.201364
tjk,1003026.164,193174.6108,31863.95006,230610.9017
tza,4280516.965,755094.0417,2684.477223,15318.91307
tha,361899.2483,70474.5023,477.7969486,2312.437718
tgo,282316.8742,51172.09784,0,0
tto,17736.6688,3026.735289,100.9917998,681.7845806
tun,927630.8247,169599.905,71792.79997,520701.5349
tur,2174349.945,442252.8055,3787.78754,24548.17246
tkm,2696605.567,552605.8688,213909.9879,1269929.873
are,650901.1099,106564.8048,60406.39189,460773.5093
gbr,278396.4726,98367.86752,287.7620628,2171.081657
ukr,433059.6855,119563.2763,375.8078678,2067.223151
ury,889061.0567,180616.5057,411.242595,2329.836787
usa,19401774.85,4468418.545,519517.2778,3777528.079
uzb,2215070.956,454826.1359,130464.5349,811849.7322
ven,2565225.861,483564.0081,5666.823418,35487.10391
vnm,730864.1679,165070.5539,1657.32128,9351.659158
yem,3122826.964,478099.0991,261823.2209,2049308.437
zmb,3486827.795,578133.7457,0,0
zwe,2296581.224,382884.8706,0,0
