# File: reeds_offshore_wind_curve_capacity.csv
# Title: REEDS Offshore Wind Curve Capacity
# Units: MW
# Comments: Wind resource potential in MW for each region-class bin
# Source: NREL
# Column types: iccnnnnn
#  ----------
Wind_Resource_Region,Wind_Class,Wind_Type,wsc1,wsc2,wsc3,wsc4,wsc5
20,class2,OFFSHORE,0.663,0.465,39.939,11.286,57.489
20,class8,OFFSHORE,0.09,529.266,414.564,1340.28,716.637
20,class5,OFFSHORE,0.093,0.645,29.322,56.022,115.779
25,class4,OFFSHORE,39.654,13.74,67.53,377.553,55.878
25,class10,OFFSHORE,5.022,22.344,131.097,235.275,234.381
25,class7,OFFSHORE,0.285,7.35,4.788,77.607,20.427
25,class3,OFFSHORE,0.564,2.466,3.468,2.043,31.017
25,class9,OFFSHORE,0.471,80.145,836.427,345.198,558.261
25,class6,OFFSHORE,3.69,1.029,1.71,0.093,0.282
25,class2,OFFSHORE,0.315,0.189,0.189,0,0
25,class8,OFFSHORE,0.093,0.984,2.703,286.956,1405.053
29,class4,OFFSHORE,0.492,1.578,0.984,7.632,88.089
29,class10,OFFSHORE,10.755,37.473,268.044,2952.636,8083.104
29,class7,OFFSHORE,0.291,0.198,7.167,39.903,66.582
29,class3,OFFSHORE,0.423,12.612,0.417,18.795,25.548
29,class9,OFFSHORE,0.498,19.368,140.781,2115.315,1330.02
29,class6,OFFSHORE,0.99,6.807,19.431,1.32,4.152
29,class2,OFFSHORE,0.195,1.005,10.779,4.17,25.437
29,class8,OFFSHORE,0.018,0.099,17.892,130.638,1360.479
29,class5,OFFSHORE,1.089,21.186,0,0,0
29,class1,OFFSHORE,1.092,2.091,0.396,3.384,27.096
31,class4,OFFSHORE,1.503,21.441,130.455,58.737,23.313
31,class10,OFFSHORE,228.255,4852.212,413.187,1237.593,1599.9
31,class7,OFFSHORE,2.223,2.505,3.216,23.703,65.277
31,class3,OFFSHORE,2.712,7.734,14.013,0.099,68.463
125,class4,OFFSHORE,0.081,7.878,0.846,5.49,4.038
125,class10,OFFSHORE,0.003,3.96,634.809,1540.023,3065.256
125,class7,OFFSHORE,0.645,6.378,2.67,7.614,2.118
125,class3,OFFSHORE,5.664,0,0,0,0
129,class4,OFFSHORE,3.885,41.016,44.964,1131.168,1257.453
129,class10,OFFSHORE,0.213,19.935,46.467,550.86,193.551
129,class7,OFFSHORE,0.162,15.342,47.226,79.269,312.819
129,class3,OFFSHORE,0.867,4.35,20.373,38.022,18.132
162,class4,OFFSHORE,983.274,2424.567,6483.852,821.358,2908.611
162,class7,OFFSHORE,0.21,0.315,0.315,0.315,0.105
162,class3,OFFSHORE,1.566,0.105,3.444,0.264,27.027
174,class4,OFFSHORE,4.893,9.852,10.659,199.653,305.253
174,class10,OFFSHORE,4695.339,6849.744,11035.536,11146.095,6072.852
174,class7,OFFSHORE,41.934,542.592,2666.409,3148.797,3128.481
174,class3,OFFSHORE,256.47,339.357,1281.855,3211.203,2630.13
174,class9,OFFSHORE,0.561,4.569,405.675,683.286,640.248
174,class6,OFFSHORE,2.676,14.484,195.408,3448.983,8717.721
174,class2,OFFSHORE,76.641,76.014,175.719,3523.875,7774.035
174,class5,OFFSHORE,20.034,426.645,544.473,1548.6,71.274
174,class1,OFFSHORE,14.718,25.425,195.918,643.209,189.093
175,class4,OFFSHORE,203.001,1786.371,1756.662,4606.419,1643.784
175,class10,OFFSHORE,2482.533,3506.19,3591.954,2214.282,5448.279
175,class7,OFFSHORE,918.564,2626.401,6741.771,4774.554,412.341
175,class3,OFFSHORE,18.252,20.364,23.715,23.586,821.523
191,class4,OFFSHORE,524.586,1309.935,888.255,444.468,388.296
191,class10,OFFSHORE,1293.81,3623.175,12670.248,9692.565,653.859
191,class7,OFFSHORE,553.338,2081.091,279.318,69.036,62.196
191,class3,OFFSHORE,647.028,1371.411,2055.57,128.478,30.9
191,class9,OFFSHORE,3685.302,4399.767,11480.478,8073.969,3897.723
191,class6,OFFSHORE,961.182,710.277,647.871,131.124,2.859
191,class2,OFFSHORE,8.457,201.888,432.819,15.135,61.728
191,class8,OFFSHORE,2127.465,3535.815,4806.939,3684.894,2037.195
191,class5,OFFSHORE,1.494,55.149,195.687,128.223,287.517
191,class1,OFFSHORE,54.648,60.999,33.417,11.925,78.828
192,class4,OFFSHORE,0.006,34.461,67.593,168.366,157.14
192,class7,OFFSHORE,1.425,7.92,0,0,0
192,class3,OFFSHORE,0.717,97.668,428.262,31.623,16.866
197,class4,OFFSHORE,1.749,359.049,213.699,162.189,279.708
197,class7,OFFSHORE,81.066,12.456,9.078,144.318,155.022
197,class3,OFFSHORE,1.389,34.302,692.01,913.32,1185.009
197,class9,OFFSHORE,6.654,1331.031,3031.26,5122.953,595.311
197,class6,OFFSHORE,8.598,60.702,437.934,861.519,1064.505
197,class2,OFFSHORE,24.309,56.823,32.421,862.425,627.072
198,class4,OFFSHORE,32.508,26.418,255.45,311.61,148.584
198,class10,OFFSHORE,87.108,428.577,2536.407,5454.201,3493.632
198,class7,OFFSHORE,3.66,228.783,84.861,257.346,204.624
198,class3,OFFSHORE,25.089,324.681,299.058,179.553,120.534
198,class9,OFFSHORE,2.235,1040.619,708.753,1672.428,580.551
198,class6,OFFSHORE,129.831,205.014,564.48,295.719,71.463
198,class2,OFFSHORE,24.528,181.932,101.409,78.585,108.594
206,class4,OFFSHORE,19.827,26.007,62.7,142.587,180.024
206,class10,OFFSHORE,0.702,883.005,445.179,1055.325,1126.179
206,class7,OFFSHORE,6.093,43.119,5.832,148.416,129.729
206,class3,OFFSHORE,32.388,117.987,135.948,59.043,393.702
206,class6,OFFSHORE,35.553,74.28,54.282,444.738,737.484
206,class2,OFFSHORE,148.593,407.25,199.962,421.992,35.748
211,class4,OFFSHORE,362.31,443.121,1288.527,1035.093,459.921
211,class10,OFFSHORE,0.111,1325.115,822.99,997.518,1478.853
211,class7,OFFSHORE,0.138,601.77,722.934,700.656,314.559
211,class3,OFFSHORE,0.81,1718.559,1807.278,398.694,280.26
211,class9,OFFSHORE,289.95,783.354,751.926,327.759,384.495
211,class6,OFFSHORE,0.735,0.639,26.898,1237.611,454.017
211,class2,OFFSHORE,0.168,2.937,3.126,359.583,409.617
211,class8,OFFSHORE,144.858,11.085,558.909,0,0
211,class5,OFFSHORE,22.725,9.021,21.222,0,0
212,class4,OFFSHORE,11.46,89.679,78.462,104.973,332.472
212,class10,OFFSHORE,7.989,115.446,2704.752,2303.418,2632.128
212,class7,OFFSHORE,207.936,2.124,4.611,113.643,5.583
212,class3,OFFSHORE,479.898,524.988,899.037,5.409,28.752
212,class9,OFFSHORE,10.896,1419.417,4839.303,7897.842,10797.48
212,class6,OFFSHORE,37.362,87.663,665.733,949.626,1214.673
212,class2,OFFSHORE,31.785,159.516,358.794,582.108,1024.542
212,class5,OFFSHORE,0.012,0.267,0.636,4.209,0
213,class4,OFFSHORE,9.489,27.498,26.91,61.236,248.202
213,class10,OFFSHORE,19.479,26.289,1058.028,1946.052,2172.051
213,class7,OFFSHORE,6.3,22.041,25.725,135.501,1060.881
213,class3,OFFSHORE,142.704,73.131,93.315,507.711,679.398
213,class6,OFFSHORE,0.09,1.155,69.669,485.448,0
214,class4,OFFSHORE,0.06,562.098,68.763,473.004,70.086
214,class10,OFFSHORE,64.926,375.6,923.574,449.586,238.263
214,class7,OFFSHORE,0.009,33.057,247.026,300.912,332.586
214,class3,OFFSHORE,0.06,136.305,917.532,819.009,975.831
214,class9,OFFSHORE,66.162,136.521,2.787,814.29,0
214,class6,OFFSHORE,1.152,0.948,0.108,634.971,332.346
214,class2,OFFSHORE,1.8,0.507,280.053,218.028,162.048
216,class4,OFFSHORE,0.015,1134.285,399.192,92.877,262.758
216,class10,OFFSHORE,7.566,692.085,1179.72,2854.803,371.955
216,class7,OFFSHORE,15.492,855.765,1057.407,864.693,1.458
216,class3,OFFSHORE,22.872,1298.28,355.509,454.731,228.522
216,class9,OFFSHORE,91.908,1501.422,567.558,1101.186,309.357
216,class6,OFFSHORE,2.073,8.313,139.86,778.254,264.426
216,class2,OFFSHORE,1.014,14.523,25.935,36.078,57.129
217,class4,OFFSHORE,125.637,31.599,74.757,623.499,231.354
217,class3,OFFSHORE,20.808,72.678,2.355,32.136,259.203
218,class4,OFFSHORE,8.601,17.133,242.454,530.76,656.442
218,class10,OFFSHORE,0.021,3055.737,1101.714,541.623,4.965
218,class7,OFFSHORE,2.415,38.157,615.768,594.939,968.853
218,class3,OFFSHORE,1.323,59.064,29.019,1403.025,2284.074
218,class9,OFFSHORE,3.927,1.293,49.56,133.446,311.01
218,class6,OFFSHORE,9.699,93.846,1456.83,1151.925,812.76
218,class2,OFFSHORE,17.334,387.42,806.973,6.273,3.948
219,class4,OFFSHORE,22.659,35.463,58.218,24.096,61.683
219,class10,OFFSHORE,6.96,0.48,0,0,0
219,class7,OFFSHORE,2.184,57.927,126.795,297.687,143.586
219,class3,OFFSHORE,86.562,156.555,97.335,168.312,354.411
227,class4,OFFSHORE,30.066,70.773,118.689,119.127,157.704
227,class3,OFFSHORE,98.655,59.223,160.284,201.189,762.789
234,class4,OFFSHORE,57.111,22.593,123.408,76.707,157.725
234,class3,OFFSHORE,247.824,1476.39,3500.328,2028.489,2278.644
234,class2,OFFSHORE,64.014,94.14,4.014,95.259,61.635
256,class4,OFFSHORE,326.697,935.853,336.579,168.942,2058.414
256,class10,OFFSHORE,0.105,15.645,0.105,1.293,0
256,class7,OFFSHORE,0.84,0.525,0.63,75.543,120.864
256,class3,OFFSHORE,3.021,4.893,1.677,36.357,6.474
261,class4,OFFSHORE,1418.685,4610.085,5660.16,12036.741,168.849
264,class4,OFFSHORE,0.087,13.074,8.928,272.631,129.099
267,class4,OFFSHORE,385.95,195.774,593.496,1103.085,1600.35
268,class4,OFFSHORE,39.54,151.758,105.204,161.649,251.028
269,class4,OFFSHORE,498.102,1023.912,426.558,1006.953,488.55
270,class4,OFFSHORE,1.839,337.239,7.986,75.636,2431.584
275,class4,OFFSHORE,823.074,5790.153,12409.149,5816.259,2281.443
275,class10,OFFSHORE,32.484,1691.601,4183.731,1512.591,1892.076
275,class7,OFFSHORE,310.35,388.71,1652.73,6562.683,6531.015
275,class3,OFFSHORE,0.102,9.327,0.102,0,0
292,class4,OFFSHORE,16.179,37.986,192.558,174.822,1.302
292,class10,OFFSHORE,28.866,2274.684,9841.023,11878.233,8694.81
292,class7,OFFSHORE,20.133,23.868,172.845,2721.207,6664.434
292,class3,OFFSHORE,313.074,5327.703,5461.176,5810.823,335.676
292,class6,OFFSHORE,113.457,0,0,0,0
293,class4,OFFSHORE,0.723,21.072,67.893,115.644,1233.927
293,class10,OFFSHORE,0.099,426.999,0,0,0
293,class7,OFFSHORE,0.297,28.308,35.49,2449.884,2876.925
293,class3,OFFSHORE,126.867,0.849,2695.146,4515.759,3833.523
294,class4,OFFSHORE,1.068,115.641,234.69,706.113,3013.812
294,class10,OFFSHORE,6976.884,7340.523,2314.287,5689.947,3386.442
294,class7,OFFSHORE,7.473,2003.607,480.462,1698.729,963.678
294,class3,OFFSHORE,252.168,255.717,3155.412,20877.285,185.097
294,class9,OFFSHORE,27.822,625.887,972.567,1172.4,655.125
294,class6,OFFSHORE,36.198,157.038,886.959,7448.496,11100.534
294,class2,OFFSHORE,25.719,348.678,1289.262,4025.568,7725.561
297,class4,OFFSHORE,29.82,287.556,2881.17,2033.445,359.034
297,class10,OFFSHORE,1700.736,3140.235,1789.065,1044.177,687.681
297,class7,OFFSHORE,1.122,201.291,544.383,1533.831,2669.571
297,class3,OFFSHORE,98.316,0.408,0.102,963.144,580.035
298,class4,OFFSHORE,360.666,10.155,0.306,0.102,0.906
298,class10,OFFSHORE,2063.259,8011.974,6823.143,8788.662,6707.529
298,class7,OFFSHORE,33.498,2934.834,46.659,2031.882,2132.265
298,class3,OFFSHORE,169.47,2780.523,5071.485,7184.412,577.266
298,class6,OFFSHORE,0.201,1.008,1.41,0.102,0.504
299,class4,OFFSHORE,18.192,104.739,824.511,483.351,1.122
299,class10,OFFSHORE,2960.616,9250.521,7066.455,6736.968,3616.539
299,class7,OFFSHORE,93.516,5511.399,127.806,2142.744,826.551
299,class3,OFFSHORE,98.883,4360.452,5320.107,2529.531,1526.139
305,class4,OFFSHORE,16.95,66.006,83.43,177.795,361.707
307,class4,OFFSHORE,90.552,64.656,35.118,219.9,368.142
307,class10,OFFSHORE,0.288,272.736,647.016,0,0
307,class7,OFFSHORE,1.251,6.321,267.696,1110.519,1438.014
307,class3,OFFSHORE,888.465,3986.022,1402.515,556.581,27.141
307,class6,OFFSHORE,7.596,0,0,0,0
309,class4,OFFSHORE,23.001,22.404,1577.859,1782.858,56.148
310,class4,OFFSHORE,218.061,75.819,1504.713,6244.41,2252.73
310,class10,OFFSHORE,179.904,176.529,0,0,0
310,class7,OFFSHORE,271.092,0,0,0,0
311,class4,OFFSHORE,1.584,8.934,85.038,923.718,1842.489
312,class4,OFFSHORE,0.108,0.108,0.108,0,0
313,class4,OFFSHORE,66.984,225.912,132.765,595.602,3383.31
314,class4,OFFSHORE,168.111,254.58,341.991,156.429,147.978
314,class10,OFFSHORE,2.919,200.787,1750.023,2074.197,626.403
314,class7,OFFSHORE,138.393,598.503,1439.55,3152.418,4835.43
314,class3,OFFSHORE,878.958,4558.107,4745.709,1918.875,2382.948
314,class6,OFFSHORE,16.131,26.505,87.384,21.933,609.972
315,class4,OFFSHORE,59.973,250.047,580.35,509.442,299.712
315,class10,OFFSHORE,2.031,683.472,3337.44,4195.605,464.271
315,class7,OFFSHORE,33.75,278.292,2536.746,3843.618,1043.511
315,class3,OFFSHORE,16.728,2049.45,1587.258,1808.814,550.398
316,class4,OFFSHORE,280.644,94.947,45.045,135.471,641.619
317,class4,OFFSHORE,3.189,151.833,66.456,145.857,272.856
318,class4,OFFSHORE,19.557,79.491,175.32,157.548,342.279
318,class7,OFFSHORE,4.917,12.666,5.571,5.283,1601.316
318,class3,OFFSHORE,43.212,27.747,777.135,1187.838,1729.704
320,class4,OFFSHORE,7.587,6.072,0.807,20.37,73.128
320,class7,OFFSHORE,19.731,0,0,0,0
320,class3,OFFSHORE,36.048,5.508,53.874,618.657,1766.094
320,class6,OFFSHORE,3.555,4.803,32.463,32.814,511.947
320,class2,OFFSHORE,13.329,0.09,94.275,513.906,155.01
330,class4,OFFSHORE,6.822,16.812,32.28,29.631,102.807
330,class10,OFFSHORE,229.791,3390.393,2534.649,2602.227,2337.645
330,class7,OFFSHORE,2536.824,9.669,103.398,125.775,1.857
330,class3,OFFSHORE,41.997,65.991,351.183,479.457,906.528
330,class9,OFFSHORE,27.48,47.7,164.178,0.093,331.485
330,class6,OFFSHORE,194.382,818.832,1125.624,4335.672,4030.266
330,class2,OFFSHORE,260.73,886.692,1228.926,2829.63,2065.329
330,class5,OFFSHORE,1.197,174.045,0.186,52.158,1146.417
331,class4,OFFSHORE,0.093,3.438,10.449,0.645,0.192
332,class4,OFFSHORE,16.944,118.56,228.9,238.722,340.542
332,class10,OFFSHORE,19.266,659.592,4331.676,3774.309,2496.324
332,class7,OFFSHORE,154.563,5991.264,2449.134,3692.31,1523.337
332,class3,OFFSHORE,286.944,3270.864,3047.184,2285.559,0.093
332,class6,OFFSHORE,2.697,43.779,5.094,563.202,1430.919
332,class2,OFFSHORE,61.638,327.165,0.093,8.634,746.901
333,class4,OFFSHORE,18.405,9.675,59.514,43.965,443.988
333,class10,OFFSHORE,0.174,17.643,2.436,14.25,3922.203
333,class7,OFFSHORE,9.156,25.944,6.561,20.601,1607.352
333,class3,OFFSHORE,68.136,49.86,64.182,1568.124,597.753
333,class6,OFFSHORE,0.09,25.623,15.741,112.614,0
333,class2,OFFSHORE,0.105,13.917,3.324,0.087,2.799
334,class4,OFFSHORE,14.685,18.504,18.063,49.323,282.966
334,class10,OFFSHORE,32.619,42.045,788.871,4694.829,1824.492
334,class7,OFFSHORE,27.714,14.673,287.784,156.81,29.184
334,class3,OFFSHORE,49.029,16.566,21.042,160.563,408.411
334,class6,OFFSHORE,0.087,0.525,12.315,35.94,54.018
336,class4,OFFSHORE,7.986,6.603,43.668,75.795,1004.289
336,class10,OFFSHORE,16.236,31.821,716.409,875.316,278.199
336,class7,OFFSHORE,11.535,20.91,16.359,19.521,1579.107
336,class3,OFFSHORE,13.359,5.982,17.655,32.823,1151.577
341,class4,OFFSHORE,1.008,13.236,23.778,64.203,62.892
341,class3,OFFSHORE,0.093,1.125,1.461,143.697,74.862
342,class4,OFFSHORE,209.214,271.743,591.351,343.179,121.776
342,class10,OFFSHORE,10.434,5060.154,9679.38,7288.143,5527.929
342,class7,OFFSHORE,36.969,117.885,596.289,240.105,1902.903
342,class3,OFFSHORE,102.639,178.545,283.251,354.822,1034.598
342,class9,OFFSHORE,0.219,7.047,239.7,2448.363,2888.196
342,class6,OFFSHORE,26.493,1101.414,3701.625,2843.574,2016.174
342,class2,OFFSHORE,282.297,1228.401,1188.663,1528.443,2328.138
342,class5,OFFSHORE,11.145,2434.515,4213.239,3879.573,3229.428
342,class1,OFFSHORE,5.835,271.599,35.415,0,0
344,class4,OFFSHORE,69.108,56.259,82.044,246.27,264.279
344,class10,OFFSHORE,0.18,0.813,13.395,5.073,13.401
344,class7,OFFSHORE,19.308,11.181,4.707,23.187,81.972
344,class3,OFFSHORE,12.834,22.929,72.402,97.443,260.001
345,class4,OFFSHORE,27.399,6.051,26.079,30.153,55.935
345,class10,OFFSHORE,676.017,1716.606,1861.2,1313.805,1191.129
345,class7,OFFSHORE,0.18,0.09,0.18,174.522,241.518
345,class3,OFFSHORE,0.096,0.723,1.08,59.961,121.008
345,class9,OFFSHORE,3.534,64.305,1127.286,1106.277,458.724
345,class6,OFFSHORE,0.09,0.63,4.965,48.321,421.917
345,class2,OFFSHORE,27.024,9.399,22.332,242.181,198.072
345,class5,OFFSHORE,394.536,1824.276,1257.03,11.856,369.621
345,class1,OFFSHORE,2.262,12.024,0.45,113.7,20.109
346,class4,OFFSHORE,2.595,0.069,1.17,10.911,2.52
346,class3,OFFSHORE,0.003,3.939,0.318,1.443,117.204
346,class6,OFFSHORE,0.27,0.09,9.75,5.778,70.257
346,class2,OFFSHORE,0.21,157.305,37.695,342.324,52.776
346,class5,OFFSHORE,1.173,8.076,326.859,519.882,31.641
348,class4,OFFSHORE,25.347,15.27,153.777,91.125,99.105
348,class10,OFFSHORE,1.143,102.789,19.587,276.228,256.101
348,class7,OFFSHORE,1.497,1.437,12.222,12.189,191.232
348,class3,OFFSHORE,12.858,170.94,317.025,477.453,31.659
348,class9,OFFSHORE,4.965,15.384,1023.582,1202.634,1163.13
348,class6,OFFSHORE,68.895,225.138,350.595,584.187,319.815
348,class2,OFFSHORE,3.279,8.325,22.455,201.153,245.19
348,class8,OFFSHORE,1058.052,1162.23,1164.861,0,0
348,class5,OFFSHORE,186.939,28.41,0.087,0.318,0.177
349,class4,OFFSHORE,177.936,22.257,50.925,238.467,111.306
349,class10,OFFSHORE,14.073,32410.401,27205.065,20697.081,24222.141
349,class7,OFFSHORE,2.772,8349.534,9444.306,10072.614,5261.76
349,class3,OFFSHORE,326.904,492.186,329.646,1105.494,1470.327
349,class9,OFFSHORE,1538.997,5350.068,15405.465,8187.378,5140.347
349,class6,OFFSHORE,1226.226,2153.589,1291.725,107.796,2866.104
349,class2,OFFSHORE,673.533,5846.517,1096.521,256.308,55.011
349,class8,OFFSHORE,3627.453,3878.277,2143.08,4542.273,3340.704
349,class5,OFFSHORE,507.03,5494.353,5505.732,4376.298,6572.67
349,class1,OFFSHORE,134.184,163.11,593.238,2519.118,5637.306
354,class4,OFFSHORE,0.264,0.264,1.41,13.218,24.972
356,class4,OFFSHORE,347.01,706.221,278.442,149.985,205.98
356,class10,OFFSHORE,1.959,7.578,1039.701,10.188,13586.196
356,class7,OFFSHORE,30.702,115.983,365.172,202.431,14.226
356,class3,OFFSHORE,243.54,658.341,335.322,89.133,219.105
356,class9,OFFSHORE,1117.278,6672.564,12211.953,7900.122,6716.445
356,class6,OFFSHORE,215.13,475.434,236.499,60.894,49.557
356,class2,OFFSHORE,72.717,363.957,283.944,123.279,79.857
356,class8,OFFSHORE,1292.19,2420.19,5975.685,12999.09,7829.175
356,class5,OFFSHORE,268.671,467.817,229.011,375.624,174.879
356,class1,OFFSHORE,1.23,5.565,26.163,55.374,5.052
