# File: EIA_TOT_intlship_kbbld.csv
# Title: EIA International Energy Statistics - Bunkering
# Description: Total (TOT) petroleum products bunkering by international ships in thousand barrels of oil per day
# Units: thousands barrels of oil per day
# Source: EIA
# Column types: ccnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
Country,Unit,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Cameroon,1000 bbl/d,1.1,1.2,1.1,1.1,1.1,0.3,0,0.3,0.4,0.4,0.4,1.6,1.6,1.6,0.4,0.4,0.4,1.9,1.8,0.2,2.4,2.4,2.4,2.4,2.3,2.4,2.5,2.6,2.770383562
Canada,1000 bbl/d,6.8,10,11,12,12,12,11,11,12,12,12,8.7,22,20,20,20,22,19,19,13,10,11,12,9.9,10,12,9.3,7,7.882109589
Cape Verde,1000 bbl/d,0.2,0.2,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.2,0.2,0.3,0.4,0.4,0.4,0.4,2.3,2.314712329
Cayman Islands,1000 bbl/d,0,0.02172,0.3,0.3,0.2,0.1,0,0,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.3,0.5,0.5,0.5,0.2,0.2,0.2,0.2,0.2,0.217260274
Central African Republic,1000 bbl/d,0.02438,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0,0.3,0.4,0.4,0.4,0.3,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.716958904
Chad,1000 bbl/d,0.4,0.5,0.4,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.4,0.4,0.4,0.391068493
Chile,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4,8.9,1.4,5.4,5.425068493
China,1000 bbl/d,0,0,0,0,35,40,45,45,57,69,22,19,39,73,76,72,80,106,151,140,158,212,194,234,276,232,302,147,282.1820822
Colombia,1000 bbl/d,4,3.8,2.9,2.5,2.5,2.8,2.5,2.4,2.4,2.4,3.8,3.5,4.1,3.5,3.5,4.6,4.7,19,18,15,17,19,18,21,28,30,42,38,39.87073973
Comoros,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065178082,0.065178082
Congo (Brazzaville),1000 bbl/d,0.2,0.2,0.2,0.2,0.1,0.1,0.2,0.1,0.1,0.2,0.2,0.2,0.8,0.8,0,0,0,0.2,0.2,0.1,0,0.6,0.9,0,1.3,1.3,1.3,1.4,0.869041096
Congo (Kinshasa),1000 bbl/d,3.1,3.1,2.8,2.8,2.8,2.9,0.6,2.9,3,3.2,2.5,2.5,3.1,2.5,0.036393443,0.036493151,0.036493151,0.036493151,2.6,2.5,2.6,3,0.3,0.3,3.2,3.2,3.3,3.6,4.910082192
Cook Islands,1000 bbl/d,0,0,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0.043452055,0.043452055
Costa Rica,1000 bbl/d,0,0,1.8,1.5,1.7,1,1.4,1.3,1.3,1.3,1.3,1.3,1.3,2.5,0,0,0,0,0,0,0,3.9,0,3.4,3.4,4,3.6,3.4,3.366712329
Cote dIvoire (IvoryCoast),1000 bbl/d,1.3,1.5,1.5,1.5,1.4,1.8,0.1,1.7,1.8,1.9,3.2,1.7,1.7,1.7,1.7,1.7,1.7,3.7,3.6,3.1,3.2,3.2,2.5,2.3,1.5,1.4,1.7,1.8,2.34339726
Croatia,1000 bbl/d,NA,NA,NA,NA,NA,NA,0,0,0.9,0.7,2.1,1.7,1.8,1.8,0.3,0.6,0.5,0.4,1.1,1.1,1.2,1.4,1.5,1.1,1.3,1.6,1.4,1.7,2.498493151
Cuba,1000 bbl/d,5.7,3.5,4.1,4.1,3.3,3.3,1.8,1.3,1.2,1.2,1.3,3.3,8,8,1.9,1.9,1.3,4.8,6,2.8,3.9,4.8,0.9,3.6,3.6,3.8,5.7,3.8,15.91046575
Cyprus,1000 bbl/d,0.5,3.1,1.1,1.5,6.2,5.2,1.1,0.9,6.3,6.9,7.3,7.2,7.5,8.5,3.6,3.6,2.6,8.8,7.5,11,12,12,11,9.9,9.3,10,9.4,9.7,9.445506849
Czech Republic,1000 bbl/d,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark,1000 bbl/d,9.1,13,17,17,18,16,17,25,29,30,29,26,28,25,24,21,18,19,15,15,20,21,18,10,12,13,9.9,12,13.63945205
Djibouti,1000 bbl/d,1.7,1.7,1.7,7.9,7.6,7.8,6.4,2.3,7.9,8,8.1,8.2,8.2,8.2,8.2,8.2,8.2,8.7,8.8,8,4.5,3.8,4,4.1,4.1,4.1,4.1,2.3,2.295260274
Dominica,1000 bbl/d,0.02438,0.02438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039972603,0.039972603
Dominican Republic,1000 bbl/d,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,2,0,2.1,2,2.1,2,2,9,10,9.2,10.01569863
Ecuador,1000 bbl/d,0.8,2.6,4.9,2.7,3.9,2.6,4.4,7.2,7.1,6.8,9.3,9.9,3.4,3.4,5.1,4.7,4.2,4.7,4.1,4.1,5.5,12,26,30,17,18,17,16,16.13747945
Egypt,1000 bbl/d,29,29,34,31,47,31,30,34,31,31,40,42,49,56,51,51,57,61,49,34,37,40,28,26,26,24,52,51,43.94671233
El Salvador,1000 bbl/d,0.9,1.2,0.9,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,1.6,2,2.3,2.3,2.3,2.4,2.6,3,3.302356164
Equatorial Guinea,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.8,0.8,0.8,0.8,0.8,0.8,0.760410959
Eritrea,1000 bbl/d,NA,NA,NA,NA,NA,NA,NA,NA,1.4,1.2,1.4,1.4,1.5,1.5,0,0.1,0.1,0.018246575,0,0,0.3,0.3,0.065178082,0.021726027,0.8,0.021726027,0.021726027,0.021726027,0.021726027
Estonia,1000 bbl/d,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,5.2,5.844465753
Ethiopia,1000 bbl/d,0.4,0.2,1.2,1.3,1.3,1.3,2.2,1.3,0.07386,0.2,0.2,0.2,0.2,0.2,0,0,0,0,2.1,2.1,3.3,4.8,4.6,5.1,7,5.9,6.4,7.6,8.386246575
Falkland Islands (Islas Malvinas),1000 bbl/d,0.01824,0.01824,0.01819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faroe Islands,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043452055,0.065178082,0.065178082,0.065178082,0.002172603,0.065178082,0.065178082,0.4,0.416767123
Fiji,1000 bbl/d,0.2,2.1,2,2.5,2.5,2.2,0.6,1.2,1.1,1.1,1.1,1.1,1,0.5,0.8,0.8,0.6,1.4,1.7,1.4,1.3,7.2,6,3.7,3.7,3.7,3.7,3.5,3.454438356
Finland,1000 bbl/d,9.5,8.7,8.6,9.8,11,10,13,9.9,7.8,0,0.6,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Former Czechoslovakia,1000 bbl/d,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Former Serbia and Montenegro,1000 bbl/d,NA,NA,NA,NA,NA,NA,0,0,0,0,1.2,1.2,2.1,2.1,0,0,0,1.3,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Former U.S.S.R.,1000 bbl/d,80,82,91,89,78,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Former Yugoslavia,1000 bbl/d,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
France,1000 bbl/d,42,41,44,47,54,53,47,46,38,45,50,53,48,54,56,47,46,52,58,54,53,54,47,47,45,49,46,39,33.69260274
French Guiana,1000 bbl/d,0,0,0.02431,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.08281694,0.2,0.4,0.5,0.4,0.8,0.9,0.8,0.8,0.9,0.869041096
French Polynesia,1000 bbl/d,0.03649,0.6,1.7,1.5,1.5,1.5,0.6,1.5,0.8,0.9,0.9,0.9,0.9,0.9,0.7,0.7,0.9,0.9,1,1,1.1,1.1,1.2,1,1,1,1,1.1,1.117315068
Gabon,1000 bbl/d,2.2,1.8,1.9,1.9,1.9,2.8,1.9,1.2,1.3,2.7,2.9,2.8,6.3,6.3,1.3,0,3.7,4,4.1,3.6,4.3,4.1,5.1,4.4,5.5,5.1,5.4,5.3,4.940986301
"Gambia, The",1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgia,1000 bbl/d,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.4,0.8,1,0.9,0.9,0.9,0.8,0.8,1.8,1.738082192
Germany,1000 bbl/d,NA,NA,NA,NA,NA,38,34,42,39,39,39,41,38,39,41,42,45,49,49,46,48,57,55,51,52,51,47,43,42.98931507
"Germany, East",1000 bbl/d,9.1,11,11,11,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Germany, West",1000 bbl/d,75,55,43,37,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ghana,1000 bbl/d,0.9,1,0.9,0.8,0.9,0.9,0.8,0.5,0.5,1.1,1.1,0.5,1.2,1.1,0,0,0,2,2.4,2,3.4,2.5,3.9,4.3,4.4,5.6,6.5,6.3,2.671835616
Gibraltar,1000 bbl/d,7,6.7,8.6,8.2,8.4,8.6,16,16,16,16,16,16,18,16,40,19,20,21,21,22,23,23,24,24,47,50,51,73,54.26556164
Greece,1000 bbl/d,32,34,39,36,48,43,48,59,62,67,59,59,66,58,67,65,59,60,60,53,58,58,57,40,49,48,42,38,35.05934247
Greenland,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.4,0.5,0.3,1.8,1.8,1.8,0.8,0.813863014
Grenada,1000 bbl/d,0.01824,0.02438,0.02431,0.02438,0.02438,0.02438,0,0.04876,0.04876,0.04876,0.04863,0.04876,0.04876,0.048767123,0.04863388,0.048767123,0.048767123,0.073150685,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.08690411,0.08690411
Guadeloupe,1000 bbl/d,0.09753,0.09753,0.09726,0.09753,2,2.1,1.7,1.6,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.8,1.8,1.9,2.2,2,2.3,2.4,2.4,3,3,3,3,2.8,2.802657534
Guam,1000 bbl/d,1,0.5,0.5,1.4,2.1,2.1,2,2.1,2.1,2.1,2,2,2,2,2,2,2.1,2.1,2.1,2.1,2.1,2.1,0,0,0,0,0,0,0
Guatemala,1000 bbl/d,2.4,2.7,2.5,2.8,2.9,3,2.4,2.5,2.5,2.5,0,2.5,2.5,2.5,2.4,2.5,2.5,2.5,3.4,2.5,3.3,3,3,3,7.1,7.2,7,7.3,7.079643836
Guinea,1000 bbl/d,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.3,0.6,0.6,0.6,0.6,0.6,0.5,0.543150685
Guinea-Bissau,1000 bbl/d,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.238986301
Guyana,1000 bbl/d,0.1,0.1,0.1,0.1,0.1,0.1,0.05459,0.3,0.3,0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.217260274
Haiti,1000 bbl/d,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.1,0.2,0.2,0.3,0.3,0.3,0,0,0,0,0.5,0.5,0.5,0.4,0.5,0.4,0.4,0.4,0.4,1.9,1.933616438
Hawaiian Trade Zone,1000 bbl/d,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Honduras,1000 bbl/d,0,0,0,0,0.7,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.6,0.6,0.5,1,1.1,1,0.5,1,0.9,1.455643836
Hong Kong,1000 bbl/d,45,44,53,57,53,51,27,83,84,102,103,104,113,113,65,71,123,170,214,160,219,257,210,295,345,295,276,284,268.2616712
Hungary,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iceland,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,1000 bbl/d,15,18,22,19,18,18,4.7,17,16,16,14,24,33,33,26,11,17,15,14,18,57,100,95,35,27,17,103,108,109.6109863
Indonesia,1000 bbl/d,5.6,5.9,7.3,11,17,7.3,16,13,16,16,17,19,19,21,18,5.6,13,17,22,20,22,24,34,16,17,18,20,21,21.60161644
Iran,1000 bbl/d,24,25,28,27,51,49,9,11,9.8,10,10,10,13,15,42,30,32,34,30,29,30,37,38,85,70,67,60,59,94.63106849
Iraq,1000 bbl/d,3.7,3.8,2.9,3.8,2.8,0.9,0,0,0,0,0,0,0,0,0,0,0,8.8,8.8,7.1,17,18,14,15,23,23,11,12,14.8799726
Ireland,1000 bbl/d,0.4,0.3,0.4,0.4,0.5,0.6,0.3,0.7,0.7,2.3,3,3,3.1,3.1,3,3.2,2.9,3.3,2.9,2.1,2.4,2.1,1.6,1.9,2.3,1.6,1.9,2.6,2.564712329
Israel,1000 bbl/d,2.1,2.5,2.1,2.4,3.3,4.1,3.5,3.6,3.8,3.9,1.8,3.4,2.9,2.8,3.5,3.3,5,5,4.1,5.2,4.8,6.2,7,6.4,6.2,5.7,5.9,4.5,2.186958904
Italy,1000 bbl/d,67,63,59,55,51,48,46,46,45,47,45,45,55,49,50,50,55,59,64,64,61,54,70,61,63,66,57,46,42.48673973
Jamaica,1000 bbl/d,0.4,0.6,1.6,0.03295,0.2,0.8,0.8,0.8,0.7,0.6,0.8,1.5,1.5,1.5,0.6,0.6,0.6,0.6,4.5,4,5.6,5.8,4.9,4.1,5.7,5.8,5.4,5.3,7.702410959
Japan,1000 bbl/d,109,99,89,93,98,108,108,125,128,116,80,96,106,100,91,87,84,92,100,107,109,104,96,87,82,76,74,72,65.87742466
Jordan,1000 bbl/d,4.1,4,4.1,4.3,5,2.3,4.7,4.9,4.6,5.3,6.4,6.4,4.8,5,0.8,0.1,0.1,4.8,5.3,4.2,2.4,7.3,2.6,7.8,7.9,7.2,7.9,7.9,7.123561644
Kazakhstan,1000 bbl/d,NA,NA,NA,NA,NA,NA,0,0,0,0,8.1,6.5,5.2,5.2,0,0,0,0,0,0,5.4,6.6,6.9,3.8,4.4,3.8,4.3,3.6,4.910082192
Kenya,1000 bbl/d,9.1,4.5,2,3,3.1,2.4,2.8,3.1,2.5,1,1,4.1,1.3,1.6,1.6,1.6,1.6,0.2,0.7,1.1,0.9,0.9,12,13,12,15,15,13,12.22731507
Kiribati,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02431694,0.046109589,0.046109589,0.046109589,0.046109589,0.046109589,0.046109589,0.046109589,0.046109589,0.08690411,0.08690411
"Korea, North",1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Korea, South",1000 bbl/d,21,29,29,35,30,45,58,72,78,87,99,111,115,125,116,113,108,121,132,188,189,175,169,153,162,160,158,145,152.2687123
Kosovo,1000 bbl/d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.3,0.3,0.3,0.043452055
Kuwait,1000 bbl/d,25,24,25,26,20,2.7,4.8,14,10,11,12,13,16,16,12,9.7,10,10,27,17,24,22,34,24,25,35,37,37,36.52493151
Kyrgyzstan,1000 bbl/d,NA,NA,NA,NA,NA,NA,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6,11,5.8,1.1,1.1,1,0.08690411
Laos,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.238986301
Latvia,1000 bbl/d,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,3.8,3.7,3.6,4.9,5.9,5.2,5.1,6,7.4,7.3,6.6,7.2,7.2,6.760383562
Lebanon,1000 bbl/d,0.4,3.6,2.4,2.1,1.7,1.5,0.2,0.7,3,3.6,3.7,3.8,7.9,7.9,0,0,0.3,3,3,3,2.5,3.2,4,4.2,5.3,5.4,5,6.1,5.54090411
Lesotho,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liberia,1000 bbl/d,1.2,1.3,1.2,1.1,0.5,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.6,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.41630137
Libya,1000 bbl/d,5.7,4.8,4.6,5.6,6,5.8,5.7,5.6,5.8,4.9,5.1,4.9,2.7,2.7,1.6,1.6,1.6,1.6,6.1,4.8,5.4,5.6,5.7,6.7,7.1,4,11,7.7,4.318821918
Lithuania,1000 bbl/d,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1.1,1,1.4,1.8,1.9,1.9,2.1,2.8,3.3,3.7,3.8,3.3,3.2,3.7,3.9,3.6,3.1,1.84769863
Luxembourg,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macau,1000 bbl/d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3,0,3.6,3.2,3.3,3.3,3.2,4.548565521
Macedonia,1000 bbl/d,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0.8,0.1,0.4,0.1,0.2,0.1,0.065178082,0.2,0.08690411,0.043452055,0.2,0.238986301
Madagascar,1000 bbl/d,0.3,0.2,0.2,0.3,0.2,0.3,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,1,1.4,1,1,1,1,1.5,1.479917808
Malawi,1000 bbl/d,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0,0,0,0,0,0,0,0,0
Malaysia,1000 bbl/d,6.5,6.9,7.2,1.3,1.8,2.2,2.2,2.4,1.2,4.7,4.9,3,8.3,7.4,4,2.9,1.8,1.4,46,2.4,36,47,46,46,51,57,54,69,57.04356164
