# File: A23.globaltech_capital_atb_raw.csv
# Title: Electricity technology capital costs (ATB Version)
# Units: 2017$/kW (2015$/kW for 2015 costs)
# Source: NREL ATB 2019 Spreadsheet (2019)
# ATB costs for 2015 are based on NREL ATB 2017 data except in some cases where the 2015 cost is lower than the 2020 costs and the costs in other periods are trending down.
# Note that some technologies in ATB have the same cost for multiple variations (e.g. Coal, Gas) and for them only one variation is represented.
# Column types: ccnnnnnnnn 
# ----------
Technology,Resource,2015,2020,2025,2030,2035,2040,2045,2050
Land-Based Wind,TRG 10 - Mid,1677.471768,1494.230769,1359.615385,1225,1180.197023,1132.620767,1082.271233,1029.14842
Land-Based Wind,TRG 2 - Mid,1558.897798,1494.230769,1359.615385,1225,1161.036188,1096.316027,1030.839517,964.6066582
Land-Based Wind,TRG 3 - Mid,1565.619965,1494.230769,1359.615385,1225,1163.431292,1100.854119,1037.268481,972.6743784
Land-Based Wind,TRG 4 - Mid,1571.737473,1494.230769,1359.615385,1225,1165.826397,1105.392212,1043.697446,980.7420986
Land-Based Wind,TRG 5 - Mid,1582.071381,1494.230769,1359.615385,1225,1168.221501,1109.930304,1050.12641,988.8098188
Land-Based Wind,TRG 6 - Mid,1607.789241,1494.230769,1359.615385,1225,1170.616605,1114.468397,1056.555375,996.877539
Land-Based Wind,TRG 7 - Mid,1642.93126,1494.230769,1359.615385,1225,1173.01171,1119.00649,1062.984339,1004.945259
Land-Based Wind,TRG 8 - Mid,1672.396398,1494.230769,1359.615385,1225,1175.406814,1123.544582,1069.413304,1013.012979
Land-Based Wind,TRG 9 - Mid,1677.468073,1494.230769,1359.615385,1225,1177.801919,1128.082675,1075.842268,1021.0807
Solar - Utility PV,Mid,1988.359538,1060,955.5555556,850,802.8823118,755.7646235,714.9124817,674.0603399
Solar - PV Dist. Comm,Mid,2432.911467,1600.898422,1432.344385,1250,1191.178499,1132.356998,1066.178499,1000
Solar - PV Dist. Res,Mid,4024.774529,2510.84315,1959.668643,1408.494136,1274.709875,1140.925613,1083.516329,1070
Solar - CSP,Mid,7963.360039,6622.211309,5452.4,4691,4241,4005.4,3887.6,3793.8
Geothermal,Deep EGS / Binary - Mid,12487.47454,32703.0604,31893.61888,31104.21205,30334.34401,29583.53118,28851.30189,28137.1962
Geothermal,Deep EGS / Flash - Mid,8305.16001,14708.03176,14343.98964,13988.95801,13642.71386,13305.03968,12975.72336,12654.55802
Geothermal,Hydro / Binary - Mid,5603.419686,5528.909947,5392.062532,5258.602261,5128.445299,5001.509883,4877.716277,4756.986717
Geothermal,Hydro / Flash - Mid,4682.674786,4285.848414,4179.768321,4076.313844,3975.419993,3877.023392,3781.062229,3687.476224
Geothermal,NF EGS / Binary - Mid,12487.47454,32703.0604,31893.61888,31104.21205,30334.34401,29583.53118,28851.30189,28137.1962
Geothermal,NF EGS / Flash - Mid,8305.16001,14708.03176,14343.98964,13988.95801,13642.71386,13305.03968,12975.72336,12654.55802
Coal CCS,Coal CCS 30% -Mid,5179.50163,5080.270852,4940.023154,4840.580778,4727.286823,4611.674566,4502.719136,4353.833169
Coal CCS,Coal CCS 90% -Mid,5727.79484,5618.059916,5462.966473,5352.997118,5227.709606,5099.859081,4979.370072,4814.72338
Coal IGCC,Coal IGCC-Mid,4054.687827,3948.276913,3752.655345,3648.941856,3564.97858,3493.749837,3434.044368,3343.712967
Coal new,Coal new-Mid,3711.03161,3660.481634,3594.430302,3558.058323,3511.59952,3463.391614,3420.19184,3346.369467
Gas CC CCS,Gas CC CCS- Mid,2242.025253,2173.569891,2031.196587,1943.44084,1872.436963,1811.27079,1757.516552,1688.259836
Gas CC,Gas CC- Mid,1010.284035,887.1185931,851.0010885,833.470378,819.566593,808.1343896,799.1572398,783.0167008
Gas CT,Gas CT- Mid,863.8589618,902.7138143,854.8935545,833.2916692,818.0247278,806.5318172,798.0732085,782.4571807
Nuclear,Nuclear Gen III - Mid,6199.716072,6069.467414,5882.369137,5743.866168,5588.872039,5431.15371,5281.268744,5084.71403
Biopower,CofireNew - Mid,4013.169374,4027.049472,3892.496571,3856.124592,3809.665789,3761.457883,3718.258109,3644.435736
Biopower,CofireOld - Mid,4013.169374,4027.049472,3892.496571,3856.124592,3809.665789,3761.457883,3718.258109,3644.435736
Biopower,Dedicated - Mid,3827.296857,3748.840511,3730.15288,3667.482796,3594.350128,3519.446341,3449.625387,3349.111867
Storage,Battery Storage - Mid,1484.5,1284.064924,967.558651,810.3404394,759.694162,709.0478845,658.401607,607.7553296
Offshore Wind,TRG 1 - Low,3535.238433,2165.937039,1840.028963,1563.160204,1327.951827,1128.135204,958.3849448,814.1769702
Offshore Wind,TRG 10 - Low,5799.960493,3272.456451,2646.934854,2140.980094,1731.737279,1400.720172,1132.976129,916.4106688
Offshore Wind,TRG 11 - Low,5963.52757,3278.760895,2652.03422,2145.104729,1735.073501,1403.418684,1135.158828,918.1761499
Offshore Wind,TRG 12 - Low,5987.984403,3239.411939,2620.206715,2119.36097,1714.250595,1386.576022,1121.535597,907.1569649
Offshore Wind,TRG 13 - Low,6108.721833,3399.890749,2750.010415,2224.353028,1799.173692,1455.266288,1177.095897,952.0970566
Offshore Wind,TRG 14 - Low,6279.665747,3519.551867,2846.798619,2302.640417,1862.496649,1506.485226,1218.524466,985.6066623
Offshore Wind,TRG 15 - Low,6612.405535,3702.823986,2995.038746,2422.544826,1959.481641,1584.931787,1281.97617,1036.929737
Offshore Wind,TRG 2 - Low,3577.42447,2226.015028,1891.06703,1606.518584,1364.786082,1159.427016,984.9682846,836.7603206
Offshore Wind,TRG 3 - Low,3630.883801,2293.473172,1948.374762,1655.203234,1406.145163,1194.562805,1014.817199,862.1178756
Offshore Wind,TRG 4 - Low,3919.524656,2490.827217,2116.032986,1797.633962,1527.14437,1297.355288,1102.14252,936.3033738
Offshore Wind,TRG 5 - Low,4383.23455,2648.169495,2249.700006,1911.188134,1623.612071,1379.307515,1171.763412,995.4484261
Offshore Wind,TRG 6 - Low,5400.322975,3148.04066,2546.30082,2059.581996,1665.898218,1347.466077,1089.901417,881.5695763
Offshore Wind,TRG 7 - Low,5475.659366,3065.448421,2479.495874,2005.546642,1622.191582,1312.113852,1061.306678,858.4406483
Offshore Wind,TRG 8 - Low,5561.289935,3073.205844,2485.770485,2010.621878,1626.2967,1315.434287,1063.992421,860.613018
Offshore Wind,TRG 9 - Low,5705.729858,3185.496026,2576.596689,2084.086888,1685.719063,1363.498218,1102.869056,892.0584849
Land-Based Wind,TRG 1 - Low,1539.900635,1465.384615,1282.692308,1100,1025.964884,950.5570837,873.7765998,795.623432
Land-Based Wind,TRG 10 - Low,1677.471768,1465.384615,1282.692308,1100,1064.056861,1020.56396,969.5212988,910.9288759
Land-Based Wind,TRG 2 - Low,1558.897798,1465.384615,1282.692308,1100,1030.197326,958.3356256,884.4148997,808.435148
Land-Based Wind,TRG 3 - Low,1565.619965,1465.384615,1282.692308,1100,1034.429768,966.1141674,895.0531996,821.246864
Land-Based Wind,TRG 4 - Low,1571.737473,1465.384615,1282.692308,1100,1038.662209,973.8927093,905.6914994,834.05858
Land-Based Wind,TRG 5 - Low,1582.071381,1465.384615,1282.692308,1100,1042.894651,981.6712511,916.3297993,846.870296
Land-Based Wind,TRG 6 - Low,1607.789241,1465.384615,1282.692308,1100,1047.127093,989.449793,926.9680992,859.682012
Land-Based Wind,TRG 7 - Low,1642.93126,1465.384615,1282.692308,1100,1051.359535,997.2283348,937.6063991,872.493728
Land-Based Wind,TRG 8 - Low,1672.396398,1465.384615,1282.692308,1100,1055.591977,1005.006877,948.244699,885.305444
Land-Based Wind,TRG 9 - Low,1677.468073,1465.384615,1282.692308,1100,1059.824419,1012.785419,958.8829989,898.11716
Solar - Utility PV,Low,1988.359538,890.0130898,723.5168187,557.0205476,477.3651707,416.9245319,380.2640214,351.1492842
Solar - PV Dist. Comm,Low,2432.911467,1231.013883,957.2454832,769.2882938,675.1725836,581.0568735,535.7350562,530
Solar - PV Dist. Res,Low,4024.774529,2217.032349,1510.132105,803.2318613,705.8839201,608.5359788,561.9737812,550
Solar - CSP,Low,7963.360039,6622.211309,4928.796932,3197.188098,3038.225863,2879.263628,2720.301393,2561.339159
Geothermal,Deep EGS / Binary - Low,12487.47454,25459.87202,15577.98723,5696.102436,5696.102436,5696.102436,5696.102436,5696.102436
Geothermal,Deep EGS / Flash - Low,8305.16001,11768.37971,7721.471226,3674.56274,3674.56274,3674.56274,3674.56274,3674.56274
Geothermal,Hydro / Binary - Low,5603.419686,5383.710713,5062.243707,4740.776701,4740.776701,4740.776701,4740.776701,4740.776701
Geothermal,Hydro / Flash - Low,4682.674786,4103.627392,3767.352065,3431.076738,3431.076738,3431.076738,3431.076738,3431.076738
Geothermal,NF EGS / Binary - Low,12487.47454,25459.87202,15577.98723,5696.102436,5696.102436,5696.102436,5696.102436,5696.102436
Geothermal,NF EGS / Flash - Low,8305.16001,11768.37971,7721.471226,3674.56274,3674.56274,3674.56274,3674.56274,3674.56274
Coal CCS,Coal CCS 30% -Low,5179.50163,5080.270852,4940.023154,4840.580778,4727.286823,4611.674566,4502.719136,4353.833169
Coal CCS,Coal CCS 90% -Low,5727.79484,5618.059916,5462.966473,5352.997118,5227.709606,5099.859081,4979.370072,4814.72338
Coal IGCC,Coal IGCC-Low,4054.687827,3948.276913,3752.655345,3648.941856,3564.97858,3493.749837,3434.044368,3343.712967
Coal new,Coal new-Low,3711.03161,3660.481634,3594.430302,3558.058323,3511.59952,3463.391614,3420.19184,3346.369467
Gas CC CCS,Gas CC CCS- Low,2108.716944,2173.569891,2031.196587,1943.44084,1872.436963,1811.27079,1757.516552,1688.259836
Gas CC,Gas CC- Low,906.437525,887.1185931,851.0010885,833.470378,819.566593,808.1343896,799.1572398,783.0167008
Gas CT,Gas CT- Low,899.1125441,902.7138143,854.8935545,833.2916692,818.0247278,806.5318172,798.0732085,782.4571807
Nuclear,Nuclear Gen III - Low,6199.716072,6069.467414,5882.369137,5743.866168,5588.872039,5431.15371,5281.268744,5084.71403
Biopower,CofireNew - Low,4013.169374,4027.049472,3892.496571,3856.124592,3809.665789,3761.457883,3718.258109,3644.435736
Biopower,CofireOld - Low,4013.169374,4027.049472,3892.496571,3856.124592,3809.665789,3761.457883,3718.258109,3644.435736
Biopower,Dedicated - Low,3827.296857,3748.840511,3730.15288,3667.482796,3594.350128,3519.446341,3449.625387,3349.111867
Storage,Battery Storage - Low,1484.5,1161.817928,718.214719,485.8511334,438.3222182,390.793303,343.2643878,295.7354725
