# File: NREL_ATB_capital_2021.csv
# Title: Technology overnight capital cost assumptions by year from NREL 2021 ATB
# Units: $2019/kW
# Source: NREL 2021 Annual Technology Baseline for 2019-2050 (https://data.openei.org/submissions/4129)
# Comments: tech_type corresponds to tab within the ATB workbooks; tech_detail corresponds to the more detailed technologies within those tabs.
# Users can specify how ATB technologies are mapped to GCAM technologies in energy/mappings/atb_gcam_mapping.csv.
# Column types: ccccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
tech_type,tech_detail,input,case,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Offshore Wind,Class 8,capital,low tech,3969,3811,3691,3593,3508,3433,3364,3301,3241,3185,3132,3081,3056,3034,3012,2992,2974,2956,2939,2923,2907,2893,2879,2865,2852,2840,2828,2816,2805,2794,2784,2774
Offshore Wind,Class 9,capital,adv tech,3644,3367,3160,2992,2849,2723,2609,2504,2407,2316,2230,2149,2104,2063,2024,1987,1953,1921,1890,1860,1832,1806,1780,1756,1732,1709,1688,1666,1646,1626,1607,1589
Offshore Wind,Class 9,capital,central,3776,3532,3350,3202,3075,2964,2863,2770,2684,2603,2527,2454,2415,2379,2345,2313,2283,2254,2227,2202,2177,2154,2131,2110,2089,2069,2050,2032,2014,1997,1980,1964
Offshore Wind,Class 9,capital,low tech,3984,3825,3705,3607,3522,3446,3377,3313,3254,3197,3144,3093,3068,3045,3024,3004,2985,2967,2950,2934,2918,2904,2890,2876,2863,2851,2838,2827,2816,2805,2794,2784
Offshore Wind,Class 10,capital,adv tech,3744,3459,3247,3075,2928,2798,2681,2573,2474,2380,2292,2208,2162,2119,2080,2042,2007,1973,1942,1912,1883,1855,1829,1804,1780,1756,1734,1712,1691,1671,1651,1632
Offshore Wind,Class 10,capital,central,3880,3629,3442,3290,3160,3045,2941,2846,2758,2675,2596,2521,2481,2444,2409,2376,2345,2316,2289,2262,2237,2213,2190,2168,2147,2126,2107,2088,2069,2052,2034,2018
Offshore Wind,Class 10,capital,low tech,4094,3931,3807,3706,3619,3541,3470,3404,3343,3285,3230,3178,3152,3129,3107,3086,3067,3049,3031,3014,2999,2984,2969,2955,2942,2929,2917,2905,2893,2882,2871,2861
Offshore Wind,Class 11,capital,adv tech,3881,3586,3366,3187,3035,2900,2779,2667,2564,2467,2376,2288,2241,2197,2156,2117,2080,2046,2013,1981,1952,1923,1896,1870,1845,1821,1797,1775,1753,1732,1712,1692
Offshore Wind,Class 11,capital,central,4022,3762,3568,3410,3275,3156,3049,2950,2859,2772,2691,2614,2572,2533,2497,2463,2431,2401,2372,2345,2319,2294,2270,2247,2225,2204,2184,2164,2145,2127,2109,2092
Offshore Wind,Class 11,capital,low tech,4244,4074,3947,3841,3751,3670,3597,3529,3465,3405,3348,3294,3268,3243,3221,3199,3179,3160,3142,3125,3108,3093,3078,3063,3049,3036,3023,3011,2999,2987,2976,2965
Offshore Wind,Class 12,capital,adv tech,3923,3624,3402,3221,3067,2931,2808,2696,2591,2494,2401,2313,2265,2220,2179,2139,2102,2067,2034,2003,1973,1944,1916,1890,1864,1840,1817,1794,1772,1751,1730,1710
Offshore Wind,Class 12,capital,central,4065,3802,3606,3447,3311,3190,3082,2982,2889,2802,2720,2641,2600,2560,2524,2490,2457,2427,2398,2370,2344,2318,2294,2271,2249,2228,2207,2187,2168,2149,2131,2114
Offshore Wind,Class 12,capital,low tech,4289,4118,3989,3883,3791,3709,3635,3567,3502,3442,3384,3329,3303,3278,3255,3233,3213,3194,3175,3158,3141,3126,3110,3096,3082,3068,3055,3043,3031,3019,3008,2997
Offshore Wind,Class 13,capital,adv tech,3927,3628,3406,3225,3070,2934,2811,2699,2594,2496,2404,2315,2267,2223,2181,2142,2105,2070,2036,2005,1975,1946,1918,1892,1867,1842,1819,1796,1774,1753,1732,1712
Offshore Wind,Class 13,capital,central,4069,3806,3610,3451,3314,3194,3085,2985,2892,2805,2723,2644,2602,2563,2527,2492,2460,2429,2400,2372,2346,2321,2297,2274,2251,2230,2209,2190,2170,2152,2134,2116
Offshore Wind,Class 13,capital,low tech,4294,4122,3993,3887,3795,3713,3639,3570,3506,3446,3388,3333,3306,3282,3259,3237,3216,3197,3179,3161,3145,3129,3114,3099,3085,3072,3059,3046,3034,3022,3011,3000
Offshore Wind,Class 14,capital,adv tech,4314,3986,3741,3542,3373,3223,3088,2965,2850,2742,2640,2544,2491,2442,2396,2353,2312,2274,2237,2202,2169,2138,2107,2078,2050,2024,1998,1973,1949,1925,1903,1881
Offshore Wind,Class 14,capital,central,4470,4181,3966,3791,3641,3508,3389,3279,3177,3082,2991,2905,2859,2816,2776,2738,2702,2669,2637,2606,2577,2550,2523,2498,2473,2450,2427,2405,2384,2364,2344,2325
Offshore Wind,Class 14,capital,low tech,4717,4529,4387,4270,4169,4079,3998,3922,3852,3785,3722,3661,3632,3605,3580,3556,3533,3512,3492,3473,3455,3437,3421,3405,3389,3374,3360,3346,3333,3320,3308,3296
Land-Based Wind,Class 1,capital,adv tech,1376,1312,1248,1184,1119,1055,991,927,863,799,735,671,662,654,646,637,629,620,612,604,595,587,578,570,562,553,545,537,528,520,511,503
Land-Based Wind,Class 1,capital,central,1376,1334,1291,1249,1207,1164,1122,1080,1037,995,953,910,901,892,883,874,865,856,847,837,828,819,810,801,792,783,774,765,755,746,737,728
Land-Based Wind,Class 1,capital,low tech,1376,1338,1300,1262,1224,1186,1148,1110,1072,1034,996,958,953,949,944,939,934,929,925,920,915,910,905,901,896,891,886,881,877,872,867,862
Land-Based Wind,Class 2,capital,adv tech,1376,1312,1248,1184,1119,1055,991,927,863,799,735,671,662,654,646,637,629,620,612,604,595,587,578,570,562,553,545,537,528,520,511,503
Land-Based Wind,Class 2,capital,central,1376,1334,1291,1249,1207,1164,1122,1080,1037,995,953,910,901,892,883,874,865,856,847,837,828,819,810,801,792,783,774,765,755,746,737,728
Land-Based Wind,Class 2,capital,low tech,1376,1338,1300,1262,1224,1186,1148,1110,1072,1034,996,958,953,949,944,939,934,929,925,920,915,910,905,901,896,891,886,881,877,872,867,862
Land-Based Wind,Class 3,capital,adv tech,1376,1312,1248,1184,1119,1055,991,927,863,799,735,671,662,654,646,637,629,620,612,604,595,587,578,570,562,553,545,537,528,520,511,503
Land-Based Wind,Class 3,capital,central,1376,1334,1291,1249,1207,1164,1122,1080,1037,995,953,910,901,892,883,874,865,856,847,837,828,819,810,801,792,783,774,765,755,746,737,728
Land-Based Wind,Class 3,capital,low tech,1376,1338,1300,1262,1224,1186,1148,1110,1072,1034,996,958,953,949,944,939,934,929,925,920,915,910,905,901,896,891,886,881,877,872,867,862
Land-Based Wind,Class 4,capital,adv tech,1376,1312,1248,1184,1119,1055,991,927,863,799,735,671,662,654,646,637,629,620,612,604,595,587,578,570,562,553,545,537,528,520,511,503
Land-Based Wind,Class 4,capital,central,1376,1334,1291,1249,1207,1164,1122,1080,1037,995,953,910,901,892,883,874,865,856,847,837,828,819,810,801,792,783,774,765,755,746,737,728
Land-Based Wind,Class 4,capital,low tech,1376,1338,1300,1262,1224,1186,1148,1110,1072,1034,996,958,953,949,944,939,934,929,925,920,915,910,905,901,896,891,886,881,877,872,867,862
Land-Based Wind,Class 5,capital,adv tech,1376,1312,1248,1184,1119,1055,991,927,863,799,735,671,662,654,646,637,629,620,612,604,595,587,578,570,562,553,545,537,528,520,511,503
Land-Based Wind,Class 5,capital,central,1376,1334,1291,1249,1207,1164,1122,1080,1037,995,953,910,901,892,883,874,865,856,847,837,828,819,810,801,792,783,774,765,755,746,737,728
Land-Based Wind,Class 5,capital,low tech,1376,1338,1300,1262,1224,1186,1148,1110,1072,1034,996,958,953,949,944,939,934,929,925,920,915,910,905,901,896,891,886,881,877,872,867,862
Land-Based Wind,Class 6,capital,adv tech,1376,1312,1248,1184,1119,1055,991,927,863,799,735,671,662,654,646,637,629,620,612,604,595,587,578,570,562,553,545,537,528,520,511,503
Land-Based Wind,Class 6,capital,central,1376,1334,1291,1249,1207,1164,1122,1080,1037,995,953,910,901,892,883,874,865,856,847,837,828,819,810,801,792,783,774,765,755,746,737,728
Land-Based Wind,Class 6,capital,low tech,1376,1338,1300,1262,1224,1186,1148,1110,1072,1034,996,958,953,949,944,939,934,929,925,920,915,910,905,901,896,891,886,881,877,872,867,862
Land-Based Wind,Class 7,capital,adv tech,1376,1312,1248,1184,1119,1055,991,927,863,799,735,671,662,654,646,637,629,620,612,604,595,587,578,570,562,553,545,537,528,520,511,503
Land-Based Wind,Class 7,capital,central,1376,1334,1291,1249,1207,1164,1122,1080,1037,995,953,910,901,892,883,874,865,856,847,837,828,819,810,801,792,783,774,765,755,746,737,728
Land-Based Wind,Class 7,capital,low tech,1376,1338,1300,1262,1224,1186,1148,1110,1072,1034,996,958,953,949,944,939,934,929,925,920,915,910,905,901,896,891,886,881,877,872,867,862
Land-Based Wind,Class 8,capital,adv tech,1376,1312,1248,1184,1119,1055,991,927,863,799,735,671,662,654,646,637,629,620,612,604,595,587,578,570,562,553,545,537,528,520,511,503
Land-Based Wind,Class 8,capital,central,1376,1334,1291,1249,1207,1164,1122,1080,1037,995,953,910,901,892,883,874,865,856,847,837,828,819,810,801,792,783,774,765,755,746,737,728
Land-Based Wind,Class 8,capital,low tech,1376,1338,1300,1262,1224,1186,1148,1110,1072,1034,996,958,953,949,944,939,934,929,925,920,915,910,905,901,896,891,886,881,877,872,867,862
Land-Based Wind,Class 9,capital,adv tech,1376,1312,1248,1184,1119,1055,991,927,863,799,735,671,662,654,646,637,629,620,612,604,595,587,578,570,562,553,545,537,528,520,511,503
Land-Based Wind,Class 9,capital,central,1376,1334,1291,1249,1207,1164,1122,1080,1037,995,953,910,901,892,883,874,865,856,847,837,828,819,810,801,792,783,774,765,755,746,737,728
Land-Based Wind,Class 9,capital,low tech,1376,1338,1300,1262,1224,1186,1148,1110,1072,1034,996,958,953,949,944,939,934,929,925,920,915,910,905,901,896,891,886,881,877,872,867,862
Land-Based Wind,Class 10,capital,adv tech,1376,1312,1248,1184,1119,1055,991,927,863,799,735,671,662,654,646,637,629,620,612,604,595,587,578,570,562,553,545,537,528,520,511,503
Land-Based Wind,Class 10,capital,central,1376,1334,1291,1249,1207,1164,1122,1080,1037,995,953,910,901,892,883,874,865,856,847,837,828,819,810,801,792,783,774,765,755,746,737,728
Land-Based Wind,Class 10,capital,low tech,1376,1338,1300,1262,1224,1186,1148,1110,1072,1034,996,958,953,949,944,939,934,929,925,920,915,910,905,901,896,891,886,881,877,872,867,862
Solar - Utility PV,Utility PV - Class 10,capital,adv tech,1362,1347,1275,1203,1130,1058,986,913,841,769,696,624,616,609,601,593,586,578,570,563,555,547,540,532,524,517,509,501,494,486,478,471
Solar - Utility PV,Utility PV - Class 10,capital,central,1362,1347,1288,1230,1171,1112,1053,995,936,877,818,759,753,746,739,732,726,719,712,705,699,692,685,678,671,665,658,651,644,638,631,624
Solar - Utility PV,Utility PV - Class 10,capital,low tech,1362,1347,1328,1309,1290,1271,1252,1233,1214,1195,1176,1157,1137,1117,1098,1078,1058,1038,1018,998,978,958,938,919,899,879,859,839,819,799,779,759
Solar - Utility PV,Utility PV - Class 9,capital,adv tech,1362,1347,1275,1203,1130,1058,986,913,841,769,696,624,616,609,601,593,586,578,570,563,555,547,540,532,524,517,509,501,494,486,478,471
Solar - Utility PV,Utility PV - Class 9,capital,central,1362,1347,1288,1230,1171,1112,1053,995,936,877,818,759,753,746,739,732,726,719,712,705,699,692,685,678,671,665,658,651,644,638,631,624
Solar - Utility PV,Utility PV - Class 9,capital,low tech,1362,1347,1328,1309,1290,1271,1252,1233,1214,1195,1176,1157,1137,1117,1098,1078,1058,1038,1018,998,978,958,938,919,899,879,859,839,819,799,779,759
Solar - Utility PV,Utility PV - Class 8,capital,adv tech,1362,1347,1275,1203,1130,1058,986,913,841,769,696,624,616,609,601,593,586,578,570,563,555,547,540,532,524,517,509,501,494,486,478,471
Solar - Utility PV,Utility PV - Class 8,capital,central,1362,1347,1288,1230,1171,1112,1053,995,936,877,818,759,753,746,739,732,726,719,712,705,699,692,685,678,671,665,658,651,644,638,631,624
Solar - Utility PV,Utility PV - Class 8,capital,low tech,1362,1347,1328,1309,1290,1271,1252,1233,1214,1195,1176,1157,1137,1117,1098,1078,1058,1038,1018,998,978,958,938,919,899,879,859,839,819,799,779,759
Solar - Utility PV,Utility PV - Class 7,capital,adv tech,1362,1347,1275,1203,1130,1058,986,913,841,769,696,624,616,609,601,593,586,578,570,563,555,547,540,532,524,517,509,501,494,486,478,471
Solar - Utility PV,Utility PV - Class 7,capital,central,1362,1347,1288,1230,1171,1112,1053,995,936,877,818,759,753,746,739,732,726,719,712,705,699,692,685,678,671,665,658,651,644,638,631,624
Solar - Utility PV,Utility PV - Class 7,capital,low tech,1362,1347,1328,1309,1290,1271,1252,1233,1214,1195,1176,1157,1137,1117,1098,1078,1058,1038,1018,998,978,958,938,919,899,879,859,839,819,799,779,759
Solar - Utility PV,Utility PV - Class 6,capital,adv tech,1362,1347,1275,1203,1130,1058,986,913,841,769,696,624,616,609,601,593,586,578,570,563,555,547,540,532,524,517,509,501,494,486,478,471
Solar - Utility PV,Utility PV - Class 6,capital,central,1362,1347,1288,1230,1171,1112,1053,995,936,877,818,759,753,746,739,732,726,719,712,705,699,692,685,678,671,665,658,651,644,638,631,624
Solar - Utility PV,Utility PV - Class 6,capital,low tech,1362,1347,1328,1309,1290,1271,1252,1233,1214,1195,1176,1157,1137,1117,1098,1078,1058,1038,1018,998,978,958,938,919,899,879,859,839,819,799,779,759
Solar - Utility PV,Utility PV - Class 5,capital,adv tech,1362,1347,1275,1203,1130,1058,986,913,841,769,696,624,616,609,601,593,586,578,570,563,555,547,540,532,524,517,509,501,494,486,478,471
Solar - Utility PV,Utility PV - Class 5,capital,central,1362,1347,1288,1230,1171,1112,1053,995,936,877,818,759,753,746,739,732,726,719,712,705,699,692,685,678,671,665,658,651,644,638,631,624
Solar - Utility PV,Utility PV - Class 5,capital,low tech,1362,1347,1328,1309,1290,1271,1252,1233,1214,1195,1176,1157,1137,1117,1098,1078,1058,1038,1018,998,978,958,938,919,899,879,859,839,819,799,779,759
Solar - Utility PV,Utility PV - Class 4,capital,adv tech,1362,1347,1275,1203,1130,1058,986,913,841,769,696,624,616,609,601,593,586,578,570,563,555,547,540,532,524,517,509,501,494,486,478,471
Solar - Utility PV,Utility PV - Class 4,capital,central,1362,1347,1288,1230,1171,1112,1053,995,936,877,818,759,753,746,739,732,726,719,712,705,699,692,685,678,671,665,658,651,644,638,631,624
Solar - Utility PV,Utility PV - Class 4,capital,low tech,1362,1347,1328,1309,1290,1271,1252,1233,1214,1195,1176,1157,1137,1117,1098,1078,1058,1038,1018,998,978,958,938,919,899,879,859,839,819,799,779,759
Solar - Utility PV,Utility PV - Class 3,capital,adv tech,1362,1347,1275,1203,1130,1058,986,913,841,769,696,624,616,609,601,593,586,578,570,563,555,547,540,532,524,517,509,501,494,486,478,471
Solar - Utility PV,Utility PV - Class 3,capital,central,1362,1347,1288,1230,1171,1112,1053,995,936,877,818,759,753,746,739,732,726,719,712,705,699,692,685,678,671,665,658,651,644,638,631,624
Solar - Utility PV,Utility PV - Class 3,capital,low tech,1362,1347,1328,1309,1290,1271,1252,1233,1214,1195,1176,1157,1137,1117,1098,1078,1058,1038,1018,998,978,958,938,919,899,879,859,839,819,799,779,759
Solar - Utility PV,Utility PV - Class 2,capital,adv tech,1362,1347,1275,1203,1130,1058,986,913,841,769,696,624,616,609,601,593,586,578,570,563,555,547,540,532,524,517,509,501,494,486,478,471
Solar - Utility PV,Utility PV - Class 2,capital,central,1362,1347,1288,1230,1171,1112,1053,995,936,877,818,759,753,746,739,732,726,719,712,705,699,692,685,678,671,665,658,651,644,638,631,624
Solar - Utility PV,Utility PV - Class 2,capital,low tech,1362,1347,1328,1309,1290,1271,1252,1233,1214,1195,1176,1157,1137,1117,1098,1078,1058,1038,1018,998,978,958,938,919,899,879,859,839,819,799,779,759
Solar - Utility PV,Utility PV - Class 1,capital,adv tech,1362,1347,1275,1203,1130,1058,986,913,841,769,696,624,616,609,601,593,586,578,570,563,555,547,540,532,524,517,509,501,494,486,478,471
Solar - Utility PV,Utility PV - Class 1,capital,central,1362,1347,1288,1230,1171,1112,1053,995,936,877,818,759,753,746,739,732,726,719,712,705,699,692,685,678,671,665,658,651,644,638,631,624
Solar - Utility PV,Utility PV - Class 1,capital,low tech,1362,1347,1328,1309,1290,1271,1252,1233,1214,1195,1176,1157,1137,1117,1098,1078,1058,1038,1018,998,978,958,938,919,899,879,859,839,819,799,779,759
Solar - PV Dist. Comm,Commercial PV - Class 10,capital,adv tech,1763,1720,1617,1513,1409,1306,1202,1098,995,891,787,684,675,666,657,648,640,631,622,613,604,596,587,578,569,560,551,543,534,525,516,507
Solar - PV Dist. Comm,Commercial PV - Class 10,capital,central,1763,1720,1637,1554,1471,1388,1305,1222,1139,1057,974,891,880,870,859,849,839,828,818,808,797,787,777,766,756,746,735,725,715,704,694,684
Solar - PV Dist. Comm,Commercial PV - Class 10,capital,low tech,1763,1720,1692,1663,1635,1606,1578,1549,1521,1492,1464,1435,1408,1381,1354,1326,1299,1272,1245,1217,1190,1163,1136,1108,1081,1054,1027,999,972,945,918,891
Solar - PV Dist. Comm,Commercial PV - Class 9,capital,adv tech,1763,1720,1617,1513,1409,1306,1202,1098,995,891,787,684,675,666,657,648,640,631,622,613,604,596,587,578,569,560,551,543,534,525,516,507
Solar - PV Dist. Comm,Commercial PV - Class 9,capital,central,1763,1720,1637,1554,1471,1388,1305,1222,1139,1057,974,891,880,870,859,849,839,828,818,808,797,787,777,766,756,746,735,725,715,704,694,684
Solar - PV Dist. Comm,Commercial PV - Class 9,capital,low tech,1763,1720,1692,1663,1635,1606,1578,1549,1521,1492,1464,1435,1408,1381,1354,1326,1299,1272,1245,1217,1190,1163,1136,1108,1081,1054,1027,999,972,945,918,891
Solar - PV Dist. Comm,Commercial PV - Class 8,capital,adv tech,1763,1720,1617,1513,1409,1306,1202,1098,995,891,787,684,675,666,657,648,640,631,622,613,604,596,587,578,569,560,551,543,534,525,516,507
Solar - PV Dist. Comm,Commercial PV - Class 8,capital,central,1763,1720,1637,1554,1471,1388,1305,1222,1139,1057,974,891,880,870,859,849,839,828,818,808,797,787,777,766,756,746,735,725,715,704,694,684
Solar - PV Dist. Comm,Commercial PV - Class 8,capital,low tech,1763,1720,1692,1663,1635,1606,1578,1549,1521,1492,1464,1435,1408,1381,1354,1326,1299,1272,1245,1217,1190,1163,1136,1108,1081,1054,1027,999,972,945,918,891
Solar - PV Dist. Comm,Commercial PV - Class 7,capital,adv tech,1763,1720,1617,1513,1409,1306,1202,1098,995,891,787,684,675,666,657,648,640,631,622,613,604,596,587,578,569,560,551,543,534,525,516,507
Solar - PV Dist. Comm,Commercial PV - Class 7,capital,central,1763,1720,1637,1554,1471,1388,1305,1222,1139,1057,974,891,880,870,859,849,839,828,818,808,797,787,777,766,756,746,735,725,715,704,694,684
Solar - PV Dist. Comm,Commercial PV - Class 7,capital,low tech,1763,1720,1692,1663,1635,1606,1578,1549,1521,1492,1464,1435,1408,1381,1354,1326,1299,1272,1245,1217,1190,1163,1136,1108,1081,1054,1027,999,972,945,918,891
Solar - PV Dist. Comm,Commercial PV - Class 6,capital,adv tech,1763,1720,1617,1513,1409,1306,1202,1098,995,891,787,684,675,666,657,648,640,631,622,613,604,596,587,578,569,560,551,543,534,525,516,507
Solar - PV Dist. Comm,Commercial PV - Class 6,capital,central,1763,1720,1637,1554,1471,1388,1305,1222,1139,1057,974,891,880,870,859,849,839,828,818,808,797,787,777,766,756,746,735,725,715,704,694,684
Solar - PV Dist. Comm,Commercial PV - Class 6,capital,low tech,1763,1720,1692,1663,1635,1606,1578,1549,1521,1492,1464,1435,1408,1381,1354,1326,1299,1272,1245,1217,1190,1163,1136,1108,1081,1054,1027,999,972,945,918,891
Solar - PV Dist. Comm,Commercial PV - Class 5,capital,adv tech,1763,1720,1617,1513,1409,1306,1202,1098,995,891,787,684,675,666,657,648,640,631,622,613,604,596,587,578,569,560,551,543,534,525,516,507
Solar - PV Dist. Comm,Commercial PV - Class 5,capital,central,1763,1720,1637,1554,1471,1388,1305,1222,1139,1057,974,891,880,870,859,849,839,828,818,808,797,787,777,766,756,746,735,725,715,704,694,684
Solar - PV Dist. Comm,Commercial PV - Class 5,capital,low tech,1763,1720,1692,1663,1635,1606,1578,1549,1521,1492,1464,1435,1408,1381,1354,1326,1299,1272,1245,1217,1190,1163,1136,1108,1081,1054,1027,999,972,945,918,891
Solar - PV Dist. Comm,Commercial PV - Class 4,capital,adv tech,1763,1720,1617,1513,1409,1306,1202,1098,995,891,787,684,675,666,657,648,640,631,622,613,604,596,587,578,569,560,551,543,534,525,516,507
Solar - PV Dist. Comm,Commercial PV - Class 4,capital,central,1763,1720,1637,1554,1471,1388,1305,1222,1139,1057,974,891,880,870,859,849,839,828,818,808,797,787,777,766,756,746,735,725,715,704,694,684
Solar - PV Dist. Comm,Commercial PV - Class 4,capital,low tech,1763,1720,1692,1663,1635,1606,1578,1549,1521,1492,1464,1435,1408,1381,1354,1326,1299,1272,1245,1217,1190,1163,1136,1108,1081,1054,1027,999,972,945,918,891
Solar - PV Dist. Comm,Commercial PV - Class 3,capital,adv tech,1763,1720,1617,1513,1409,1306,1202,1098,995,891,787,684,675,666,657,648,640,631,622,613,604,596,587,578,569,560,551,543,534,525,516,507
