GRIDID,FIRST_Iso3,FIRST_Coun
64,NOR,Norway
93,NPL,Nepal
227,NRU,Nauru
73,NZL,New Zealand
70,OMN,Oman
35,PAK,Pakistan
113,PAN,Panama
225,PCN,Pitcairn
19,PER,Peru
62,PHL,Philippines
192,PLW,Palau
52,PNG,Papua New Guinea
72,POL,Poland
168,PRI,Puerto Rico
97,PRK,"Korea, Dem. People's Rep. of"
109,PRT,Portugal
60,PRY,Paraguay
174,PSE,Occupied Palestinian Territory
159,PYF,French Polynesia
164,QAT,Qatar
179,REU,Reunion
80,ROU,Romania
1,RUS,Russia
151,RWA,Rwanda
15,SAU,Saudi Arabia
106,SCG,Serbia and Montenegro
10,SDN,Sudan
85,SEN,Senegal
198,SGP,Singapore
203,SHN,Saint Helena
122,SJM,Svalbard
133,SLB,Solomon Islands
119,SLE,Sierra Leone
155,SLV,El Salvador
229,SMR,San Marino
41,SOM,Somalia
211,SPM,Saint Pierre and Miquelon
191,STP,Sao Tome and Principe
92,SUR,Suriname
131,SVK,Slovakia
156,SVN,Slovenia
55,SWE,Sweden
161,SWZ,Swaziland
213,SYC,Seychelles
87,SYR,Syrian Arab Republic
185,TCA,Turks and Caicos Islands
20,TCD,Chad
126,TGO,Togo
50,THA,Thailand
95,TJK,Tajikistan
215,TKL,Tokelau
53,TKM,Turkmenistan
162,TLS,East Timor
177,TON,Tonga
172,TTO,Trinidad and Tobago
91,TUN,Tunisia
36,TUR,Turkey
210,TUV,Tuvalu
135,TWN,Taiwan
32,TZA,United Rep. of Tanzania
82,UGA,Uganda
45,UKR,Ukraine
89,URY,Uruguay
3,USA,United States of America
58,UZB,Uzbekistan
193,VCT,Saint Vincent
30,VEN,Venezuela
200,VGB,British Virgin Islands
196,VIR,United States Virgin Islands
68,VNM,Viet Nam
157,VUT,Vanuatu
217,WLF,Wallis and Futuna
176,WSM,Western Samoa
57,YEM,Yemen
23,ZAF,South Africa
38,ZMB,Zambia
61,ZWE,Zimbabwe
222,ESH,Western Sahara
219,GGY,Channel Islands
