 Parameters for 1990 Calibration
 Can use this file instead of calibrating:
 Calibrated for inputs:
 ..\inputs\14reg\ERBPROIN_14.csv                                         
 ..\inputs\14reg\agLU\Auto_Deforest.csv                                  
 ..\inputs\14reg\cal_data1990_14.csv                                     
 ..\inputs\14reg\non-CO2\SO2\so2input14Reg.csv                           
 ..\inputs\14reg\non-CO2\CH4&N2O\ch4n2o_epadata.csv                      
 ..\inputs\14reg\non-CO2\CH4&N2O\ccurves_epa(11-02).csv                  
 ..\inputs\14reg\non-CO2\reactives\noxinput.csv                          
 ..\inputs\14reg\non-CO2\reactives\vocinput.csv                          
 ..\inputs\14reg\non-CO2\reactives\coinput.csv                           
 ..\inputs\14reg\non-CO2\highGWP\HGWPinputs.csv                          
 ..\inputs\14reg\non-CO2\highGWP\HGWPccurves.csv                         
 ..\inputs\14reg\non-CO2\CO2_Cement.csv                                  
 ..\inputs\14reg\non-CO2\blackcarbon\black_carbon.csv                    
 ..\inputs\14reg\non-CO2\blackcarbon\Aerosol_Forcing.csv                 
 ..\inputs\14reg\Scen\sres\SRES_B2_create25%.csv                         
 ..\inputs\14reg\Scen\UN_98Med_pop.csv                                   
 ..\inputs\14reg\foss\IIASA_WEC_Resources.csv                            
 ..\inputs\14reg\foss\Bal_Foss.csv                                       
 ..\inputs\14reg\tech\B2_elec_gen.csv                                    
 ..\inputs\14reg\Scen\SRES-B2_envcosts.csv                               
 
 
 
 Labor productivity growth rate
INPUT_TABLE
 Variable ID
 8
 ,,PROLM,
 Region,1975,1990,2005,2020,2035,2050,2065,2080,2095,
 1, 0.01700000, 0.01182053, 0.01625687, 0.01327163, 0.01153696, 0.00763936, 0.00891368, 0.00942800, 0.01144058,USA     
 2, 0.01700000, 0.00464944, 0.01929975, 0.00898325, 0.02427862, 0.00289829, 0.01244631, 0.00416035, 0.01079440,Canada  
 3, 0.01700000, 0.01276381, 0.02412501, 0.00601229, 0.01088040, 0.00525313, 0.01111539, 0.01198366, 0.00940605,WEurope 
 4, 0.01700000, 0.01029146, 0.01256980, 0.02274386, 0.00482081, 0.00944134, 0.00427238, 0.01259479, 0.01513707,Japan   
 5, 0.01700000, 0.02907385, 0.01214050, 0.02076053, 0.01868842, 0.01330929, 0.00680864,-0.00269523, 0.00938635,Aus&NZ  
 6, 0.01700000, 0.06596290,-0.03437571, 0.03504105, 0.05415488, 0.05387794, 0.02416891, 0.01594825, 0.01284700,FSU     
 7, 0.02500000, 0.09024491, 0.08126216, 0.07193781, 0.06492439, 0.04521973, 0.03182358, 0.01848914, 0.01175357,China&Re
 8, 0.02500000, 0.12315863,-0.00440557, 0.00818625, 0.02104482, 0.02584945, 0.01461361, 0.00903131, 0.00130054,MiddleEa
 9, 0.02500000, 0.06476590, 0.00343276, 0.01582551, 0.03870472, 0.04868245, 0.03907091, 0.03282567, 0.02193282,Africa  
10, 0.02500000, 0.01379231, 0.01084367, 0.01882774, 0.03586691, 0.03422829, 0.02302071, 0.01359649, 0.00661446,LatinAme
11, 0.02500000, 0.02518191, 0.02247681, 0.05082361, 0.04467511, 0.03793384, 0.02116152, 0.01815543, 0.01508882,S&EAsia 
12, 0.01700000, 0.05009889, 0.01940061, 0.05872671, 0.05832314, 0.04904288, 0.01765849, 0.01013359, 0.00828985,EEurope 
13, 0.01700000, 0.12904990, 0.04739461, 0.04314824, 0.02040874, 0.01349868, 0.00053104, 0.00127389, 0.00115519,Korea   
14, 0.02000000, 0.07369627, 0.03433722, 0.06048281, 0.05262516, 0.04454699, 0.02632216, 0.02241676, 0.01855213,India   
 
 
 1990 Normalized to unity
 BSJKLM Logit function scale parameters for enduse sectors
INPUT_TABLE
 Variable ID
240
 ,,BSJKLM,
 Fuel,1975,1990,2005,2020,2035,2050,2065,2080,2095,Sector,Region
 4, 0.75410000, 0.80067188, 0.75750391, 0.71433594, 0.67116797, 0.62800000, 0.62800000, 0.62800000, 0.62800000, 2, 4,Japan   
 4, 0.39220000, 0.94596777, 0.79197583, 0.63798389, 0.48399194, 0.33000000, 0.33000000, 0.33000000, 0.33000000, 3, 4,Japan   
 4, 0.47870000, 0.76344913, 0.72583684, 0.68822456, 0.65061228, 0.61300000, 0.61300000, 0.61300000, 0.61300000, 1, 5,Aus&NZ  
 4, 0.75410000, 0.74555514, 0.71616636, 0.68677757, 0.65738879, 0.62800000, 0.62800000, 0.62800000, 0.62800000, 2, 5,Aus&NZ  
 4, 0.39220000, 0.11320762, 0.16740572, 0.22160381, 0.27580191, 0.33000000, 0.33000000, 0.33000000, 0.33000000, 3, 5,Aus&NZ  
 4, 0.40820000, 0.34486073, 0.35864555, 0.37243036, 0.38621518, 0.40000000, 0.40000000, 0.40000000, 0.40000000, 1, 6,FSU     
 4, 0.84780000, 0.68853255, 0.67339941, 0.65826628, 0.64313314, 0.62800000, 0.62800000, 0.62800000, 0.62800000, 2, 6,FSU     
 4, 0.12730000, 0.13038464, 0.18028848, 0.23019232, 0.28009616, 0.33000000, 0.33000000, 0.33000000, 0.33000000, 3, 6,FSU     
 4, 0.26050000, 0.08221414, 0.13828560, 0.19435707, 0.25042853, 0.30650000, 0.45975000, 0.61300000, 0.61300000, 1, 7,China&Re
 4, 0.52180000, 0.68998021, 0.67448516, 0.65899011, 0.64349505, 0.62800000, 0.62800000, 0.62800000, 0.62800000, 2, 7,China&Re
 4, 0.00430000, 0.40264492, 0.38448369, 0.36632246, 0.34816123, 0.33000000, 0.33000000, 0.33000000, 0.33000000, 3, 7,China&Re
 4, 0.75190000, 0.61656452, 0.61915109, 0.62173767, 0.62432424, 0.62691082, 0.61995541, 0.61300000, 0.61300000, 1, 8,MiddleEa
 4, 0.59430000, 0.40351089, 0.40263316, 0.40175544, 0.40087772, 0.40000000, 0.51400000, 0.62800000, 0.62800000, 2, 8,MiddleEa
 4, 0.00000000, 0.37171864, 0.36128898, 0.35085932, 0.34042966, 0.33000000, 0.33000000, 0.33000000, 0.33000000, 3, 8,MiddleEa
 4, 0.34730000, 0.12433978, 0.16987984, 0.21541989, 0.26095995, 0.30650000, 0.45975000, 0.61300000, 0.61300000, 1, 9,Africa  
 4, 0.44410000, 0.74702472, 0.71726854, 0.68751236, 0.65775618, 0.62800000, 0.62800000, 0.62800000, 0.62800000, 2, 9,Africa  
 4, 0.06380000, 0.17367641, 0.21275731, 0.25183820, 0.29091910, 0.33000000, 0.33000000, 0.33000000, 0.33000000, 3, 9,Africa  
 4, 0.45930000, 0.41308705, 0.41379372, 0.41450039, 0.41520707, 0.41591374, 0.51445687, 0.61300000, 0.61300000, 1,10,LatinAme
 4, 0.43040000, 0.65268670, 0.64651502, 0.64034335, 0.63417167, 0.62800000, 0.62800000, 0.62800000, 0.62800000, 2,10,LatinAme
 4, 0.43330000, 0.12065848, 0.17299386, 0.22532924, 0.27766462, 0.33000000, 0.33000000, 0.33000000, 0.33000000, 3,10,LatinAme
 4, 0.54540000, 0.35122007, 0.35292740, 0.35463473, 0.35634206, 0.35804939, 0.48552470, 0.61300000, 0.61300000, 1,11,S&EAsia 
 4, 0.75760000, 0.62239086, 0.62379315, 0.62519543, 0.62659772, 0.62800000, 0.62800000, 0.62800000, 0.62800000, 2,11,S&EAsia 
 4, 0.01790000, 0.25630861, 0.27473146, 0.29315431, 0.31157715, 0.33000000, 0.33000000, 0.33000000, 0.33000000, 3,11,S&EAsia 
 4, 0.40820000, 0.51504231, 0.53953173, 0.56402115, 0.58851058, 0.61300000, 0.61300000, 0.61300000, 0.61300000, 1,12,EEurope 
 4, 0.84780000, 0.78020257, 0.74215192, 0.70410128, 0.66605064, 0.62800000, 0.62800000, 0.62800000, 0.62800000, 2,12,EEurope 
 4, 0.12730000, 0.85209119, 0.72156840, 0.59104560, 0.46052280, 0.33000000, 0.33000000, 0.33000000, 0.33000000, 3,12,EEurope 
 4, 0.44634512, 0.33603329, 0.33295217, 0.32987104, 0.32678992, 0.32370879, 0.46835439, 0.61300000, 0.61300000, 1,13,Korea   
 4, 0.38053933, 0.70929812, 0.68897359, 0.66864906, 0.64832453, 0.62800000, 0.62800000, 0.62800000, 0.62800000, 2,13,Korea   
 4, 0.01764233, 0.81767399, 0.69575549, 0.57383699, 0.45191850, 0.33000000, 0.33000000, 0.33000000, 0.33000000, 3,13,Korea   
 4, 0.54540000, 0.10907844, 0.15843383, 0.20778922, 0.25714461, 0.30650000, 0.45975000, 0.61300000, 0.61300000, 1,14,India   
 4, 0.75760000, 0.71588869, 0.69391652, 0.67194434, 0.64997217, 0.62800000, 0.62800000, 0.62800000, 0.62800000, 2,14,India   
 4, 0.01790000, 0.90479671, 0.76109753, 0.61739835, 0.47369918, 0.33000000, 0.33000000, 0.33000000, 0.33000000, 3,14,India   
 
 
 COAL/BIOMASS SUBSECTOR END USE SHARE COEFFICIENTS
INPUT_TABLE
 Variable ID
82
 ,,BSSJKLM,
 Sub sec,1975,1990,2005,2020,2035,2050,2065,2080,2095,Sector,Region
 1, 1.00000000, 0.08590511, 0.12860384, 0.17130256, 0.21400128, 0.25670000, 0.25000000, 0.25000000, 0.25000000, 1, 1,USA     
 1, 1.00000000, 0.26561368, 0.38671026, 0.50780684, 0.62890342, 0.75000000, 1.00000000, 1.00000000, 1.00000000, 2, 1,USA     
 1, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 3, 1,USA     
 1, 1.00000000, 0.01147162, 0.01722872, 0.02298581, 0.02874291, 0.03450000, 0.25000000, 0.25000000, 0.25000000, 1, 2,Canada  
 1, 1.00000000, 0.12252109, 0.21689082, 0.31126054, 0.40563027, 0.50000000, 1.00000000, 1.00000000, 1.00000000, 2, 2,Canada  
 1, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 3, 2,Canada  
 1, 1.00000000, 0.48378196, 0.48783647, 0.49189098, 0.49594549, 0.50000000, 0.25000000, 0.25000000, 0.25000000, 1, 3,WEurope 
 1, 1.00000000, 0.73148896, 0.79861672, 0.86574448, 0.93287224, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 2, 3,WEurope 
 1, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 3, 3,WEurope 
 1, 1.00000000, 0.77007184, 0.70255388, 0.63503592, 0.56751796, 0.50000000, 0.25000000, 0.25000000, 0.25000000, 1, 4,Japan   
 1, 1.00000000, 0.71946597, 0.78959948, 0.85973298, 0.92986649, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 2, 4,Japan   
 1, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 3, 4,Japan   
 1, 1.00000000, 0.03741295, 0.05620971, 0.07500647, 0.09380324, 0.11260000, 0.25000000, 0.25000000, 0.25000000, 1, 5,Aus&NZ  
 1, 1.00000000, 0.30637840, 0.47978380, 0.65318920, 0.82659460, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 2, 5,Aus&NZ  
 1, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 3, 5,Aus&NZ  
 1, 1.00000000, 0.38597836, 0.41448377, 0.44298918, 0.47149459, 0.50000000, 0.25000000, 0.25000000, 0.25000000, 1, 6,FSU     
 1, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 2, 6,FSU     
 1, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 3, 6,FSU     
 1, 1.00000000, 0.12197812, 0.18320859, 0.24443906, 0.30566953, 0.36690000, 0.25000000, 0.25000000, 0.25000000, 1, 7,China&Re
 1, 1.00000000, 0.70560658, 0.77920493, 0.85280329, 0.92640164, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 2, 7,China&Re
 1, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 3, 7,China&Re
 1, 1.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.25000000, 0.25000000, 0.25000000, 1, 8,MiddleEa
 1, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 2, 8,MiddleEa
 1, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 3, 8,MiddleEa
 1, 1.00000000, 0.00703736, 0.01057802, 0.01411868, 0.01765934, 0.02120000, 0.25000000, 0.25000000, 0.25000000, 1, 9,Africa  
 1, 1.00000000, 0.64762979, 0.73572234, 0.82381489, 0.91190745, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 2, 9,Africa  
 1, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 3, 9,Africa  
 1, 1.00000000, 0.00088859, 0.00134144, 0.00179430, 0.00224715, 0.00270000, 0.25000000, 0.25000000, 0.25000000, 1,10,LatinAme
 1, 1.00000000, 0.30291240, 0.47718430, 0.65145620, 0.82572810, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 2,10,LatinAme
 1, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 3,10,LatinAme
 1, 1.00000000, 0.00115023, 0.00173768, 0.00232512, 0.00291256, 0.00350000, 0.25000000, 0.25000000, 0.25000000, 1,11,S&EAsia 
 1, 1.00000000, 0.14812668, 0.23609501, 0.32406334, 0.41203167, 0.50000000, 1.00000000, 1.00000000, 1.00000000, 2,11,S&EAsia 
 1, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 3,11,S&EAsia 
 1, 1.00000000, 0.67289343, 0.62967007, 0.58644671, 0.54322336, 0.50000000, 0.25000000, 0.25000000, 0.25000000, 1,12,EEurope 
 1, 1.00000000, 0.97287699, 0.97965774, 0.98643850, 0.99321925, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 2,12,EEurope 
 1, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 3,12,EEurope 
 1, 1.00000000, 0.81211366, 0.73408525, 0.65605683, 0.57802842, 0.50000000, 0.25000000, 0.25000000, 0.25000000, 1,13,Korea   
 1, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 2,13,Korea   
 1, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 3,13,Korea   
 1, 1.00000000, 0.00410958, 0.00618218, 0.00825479, 0.01032739, 0.01240000, 0.25000000, 0.25000000, 0.25000000, 1,14,India   
 1, 1.00000000, 0.23981647, 0.30486235, 0.36990823, 0.43495412, 0.50000000, 1.00000000, 1.00000000, 1.00000000, 2,14,India   
 1, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 3,14,India   
 2, 0.00000000, 0.91409489, 0.93557116, 0.95704744, 0.97852372, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 1, 1,USA     
 2, 0.00000000, 0.73438632, 0.80078974, 0.86719316, 0.93359658, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 2, 1,USA     
 2, 0.00000000, 0.00000000, 0.25000000, 0.50000000, 0.75000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 3, 1,USA     
 2, 0.00000000, 0.98852838, 0.99139628, 0.99426419, 0.99713209, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 1, 2,Canada  
 2, 0.00000000, 0.87747891, 0.90810918, 0.93873946, 0.96936973, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 2, 2,Canada  
 2, 0.00000000, 0.00000000, 0.25000000, 0.50000000, 0.75000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 3, 2,Canada  
 2, 0.00000000, 0.51621804, 0.63716353, 0.75810902, 0.87905451, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 1, 3,WEurope 
 2, 0.00000000, 0.26851104, 0.45138328, 0.63425552, 0.81712776, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 2, 3,WEurope 
 2, 0.00000000, 0.00000000, 0.25000000, 0.50000000, 0.75000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 3, 3,WEurope 
 2, 0.00000000, 0.22992816, 0.42244612, 0.61496408, 0.80748204, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 1, 4,Japan   
 2, 0.00000000, 0.28053403, 0.46040052, 0.64026702, 0.82013351, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 2, 4,Japan   
 2, 0.00000000, 0.00000000, 0.25000000, 0.50000000, 0.75000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 3, 4,Japan   
 2, 0.00000000, 0.96258705, 0.97194029, 0.98129353, 0.99064676, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 1, 5,Aus&NZ  
 2, 0.00000000, 0.69362160, 0.77021620, 0.84681080, 0.92340540, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 2, 5,Aus&NZ  
 2, 0.00000000, 0.00000000, 0.25000000, 0.50000000, 0.75000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 3, 5,Aus&NZ  
 2, 0.00000000, 0.61402164, 0.71051623, 0.80701082, 0.90350541, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 1, 6,FSU     
 2, 0.00000000, 0.00000000, 0.25000000, 0.50000000, 0.75000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 2, 6,FSU     
 2, 0.00000000, 0.00000000, 0.25000000, 0.50000000, 0.75000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 3, 6,FSU     
 2, 0.00000000, 0.87802188, 0.90851641, 0.93901094, 0.96950547, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 1, 7,China&Re
 2, 0.00000000, 0.29439342, 0.47079507, 0.64719671, 0.82359836, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 2, 7,China&Re
 2, 0.00000000, 0.00000000, 0.25000000, 0.50000000, 0.75000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 3, 7,China&Re
 2, 0.00000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 1, 8,MiddleEa
 2, 0.00000000, 0.00000000, 0.25000000, 0.50000000, 0.75000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 2, 8,MiddleEa
 2, 0.00000000, 0.00000000, 0.25000000, 0.50000000, 0.75000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 3, 8,MiddleEa
 2, 0.00000000, 0.99296264, 0.99472198, 0.99648132, 0.99824066, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 1, 9,Africa  
 2, 0.00000000, 0.35237021, 0.51427766, 0.67618511, 0.83809255, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 2, 9,Africa  
 2, 0.00000000, 0.00000000, 0.25000000, 0.50000000, 0.75000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 3, 9,Africa  
 2, 0.00000000, 0.99911141, 0.99933356, 0.99955570, 0.99977785, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 1,10,LatinAme
 2, 0.00000000, 0.69708760, 0.77281570, 0.84854380, 0.92427190, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 2,10,LatinAme
 2, 0.00000000, 0.00000000, 0.25000000, 0.50000000, 0.75000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 3,10,LatinAme
 2, 0.00000000, 0.99884977, 0.99913732, 0.99942488, 0.99971244, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 1,11,S&EAsia 
 2, 0.00000000, 0.85187332, 0.88890499, 0.92593666, 0.96296833, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 2,11,S&EAsia 
 2, 0.00000000, 0.00000000, 0.25000000, 0.50000000, 0.75000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 3,11,S&EAsia 
 2, 0.00000000, 0.32710657, 0.49532993, 0.66355329, 0.83177664, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 1,12,EEurope 
 2, 0.00000000, 0.02712301, 0.27034226, 0.51356150, 0.75678075, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 2,12,EEurope 
 2, 0.00000000, 0.00000000, 0.25000000, 0.50000000, 0.75000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 3,12,EEurope 
 2, 0.00000000, 0.18788634, 0.39091475, 0.59394317, 0.79697158, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 1,13,Korea   
 2, 0.00000000, 0.00000000, 0.25000000, 0.50000000, 0.75000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 2,13,Korea   
 2, 0.00000000, 0.00000000, 0.25000000, 0.50000000, 0.75000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 3,13,Korea   
 2, 0.00000000, 0.99589042, 0.99691782, 0.99794521, 0.99897261, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 1,14,India   
 2, 0.00000000, 0.76018353, 0.82013765, 0.88009177, 0.94004588, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 2,14,India   
 2, 0.00000000, 0.00000000, 0.25000000, 0.50000000, 0.75000000, 1.00000000, 1.00000000, 1.00000000, 1.00000000, 3,14,India   
 
 
 1990 Normalized to unity
 BSUILM Logit function scale parameters for electricity
INPUT_TABLE
 Variable ID
15
 ,,BSUILM,
 Fuel,1975,1990,2005.0,2020,2035,2050,2065,2080,2095,Region
 1, 0.09150000, 0.05936834, 0.07983846, 0.09489230, 0.10994615, 0.12500000, 0.12500000, 0.12500000, 0.12500000, 1,USA     
 1, 0.16800000, 0.05699222, 0.10030546, 0.10853697, 0.11676849, 0.12500000, 0.12500000, 0.12500000, 0.12500000, 2,Canada  
 1, 0.16800000, 0.15680171, 0.17073006, 0.15548671, 0.14024335, 0.12500000, 0.12500000, 0.12500000, 0.12500000, 3,WEurope 
 1, 0.19370000, 0.18053846, 0.18120198, 0.16246799, 0.14373399, 0.12500000, 0.12500000, 0.12500000, 0.12500000, 4,Japan   
 1, 0.19370000, 0.05497514, 0.08123003, 0.09582002, 0.11041001, 0.12500000, 0.12500000, 0.12500000, 0.12500000, 5,Aus&NZ  
 1, 0.11570000, 0.17948866, 0.18593774, 0.16562516, 0.14531258, 0.12500000, 0.12500000, 0.12500000, 0.12500000, 6,FSU     
 1, 0.05470000, 0.18739397, 0.20476725, 0.17817816, 0.15158908, 0.12500000, 0.12500000, 0.12500000, 0.12500000, 7,China&Re
 1, 0.20000000, 0.43099232, 0.37467914, 0.29145276, 0.20822638, 0.12500000, 0.12500000, 0.12500000, 0.12500000, 8,MiddleEa
 1, 0.18510000, 0.11484368, 0.13236793, 0.12991195, 0.12745598, 0.12500000, 0.12500000, 0.12500000, 0.12500000, 9,Africa  
 1, 0.20000000, 0.20597658, 0.28986632, 0.23491088, 0.17995544, 0.12500000, 0.12500000, 0.12500000, 0.12500000,10,LatinAme
 1, 0.11580000, 0.23628619, 0.24496163, 0.20497442, 0.16498721, 0.12500000, 0.12500000, 0.12500000, 0.12500000,11,S&EAsia 
 1, 0.11570000, 0.08777417, 0.10379928, 0.11086619, 0.11793309, 0.12500000, 0.12500000, 0.12500000, 0.12500000,12,EEurope 
 1, 1.00000000, 0.15532467, 0.15462808, 0.14475206, 0.13487603, 0.12500000, 0.12500000, 0.12500000, 0.12500000,13,Korea   
 1, 1.00000000, 0.06039398, 0.08776051, 0.10017367, 0.11258684, 0.12500000, 0.12500000, 0.12500000, 0.12500000,14,India   
 2, 0.02740000, 0.06018210, 0.08050446, 0.09533630, 0.11016815, 0.12500000, 0.12500000, 0.12500000, 0.12500000, 1,USA     
 2, 0.06940000, 0.00844352, 0.04148071, 0.06932048, 0.09716024, 0.12500000, 0.12500000, 0.12500000, 0.12500000, 2,Canada  
 2, 0.06940000, 0.03600165, 0.06327461, 0.08384974, 0.10442487, 0.12500000, 0.12500000, 0.12500000, 0.12500000, 3,WEurope 
 2, 0.20000000, 0.29887326, 0.27948872, 0.22799248, 0.17649624, 0.12500000, 0.12500000, 0.12500000, 0.12500000, 4,Japan   
 2, 0.20000000, 0.09499840, 0.11761672, 0.12007781, 0.12253891, 0.12500000, 0.12500000, 0.12500000, 0.12500000, 5,Aus&NZ  
 2, 0.05650000, 0.21284998, 0.21468934, 0.18479289, 0.15489645, 0.12500000, 0.12500000, 0.12500000, 0.12500000, 6,FSU     
 2, 0.00740000, 0.00279823, 0.03384101, 0.06422734, 0.09461367, 0.12500000, 0.12500000, 0.12500000, 0.12500000, 7,China&Re
 2, 0.04080000, 0.43396648, 0.37704905, 0.29303270, 0.20901635, 0.12500000, 0.12500000, 0.12500000, 0.12500000, 8,MiddleEa
 2, 0.01280000, 0.10337995, 0.12227431, 0.12318287, 0.12409144, 0.12500000, 0.12500000, 0.12500000, 0.12500000, 9,Africa  
 2, 0.04530000, 0.17806971, 0.25482752, 0.21155168, 0.16827584, 0.12500000, 0.12500000, 0.12500000, 0.12500000,10,LatinAme
 2, 0.00070000, 0.13731422, 0.15544535, 0.14529690, 0.13514845, 0.12500000, 0.12500000, 0.12500000, 0.12500000,11,S&EAsia 
 2, 0.05650000, 0.08418465, 0.10083238, 0.10888825, 0.11694413, 0.12500000, 0.12500000, 0.12500000, 0.12500000,12,EEurope 
 2, 0.50045025, 0.02553888, 0.05153614, 0.07602410, 0.10051205, 0.12500000, 0.12500000, 0.12500000, 0.12500000,13,Korea   
 2, 1.00000000, 0.03555473, 0.06451849, 0.08467899, 0.10483950, 0.12500000, 0.12500000, 0.12500000, 0.12500000,14,India   
 3, 0.20000000, 0.36729795, 0.33910533, 0.27740356, 0.21570178, 0.15400000, 0.12500000, 0.12500000, 0.12500000, 1,USA     
 3, 0.20000000, 0.14307376, 0.20610741, 0.18107161, 0.15603580, 0.13100000, 0.12500000, 0.12500000, 0.12500000, 2,Canada  
 3, 0.20000000, 0.18042081, 0.19524002, 0.17649338, 0.15774674, 0.13900010, 0.12500000, 0.12500000, 0.12500000, 3,WEurope 
 3, 0.04580000, 0.12044653, 0.13479071, 0.13619381, 0.13759690, 0.13900000, 0.12500000, 0.12500000, 0.12500000, 4,Japan   
 3, 0.04580000, 0.67498313, 0.65765326, 0.49710217, 0.33655109, 0.17600000, 0.12500000, 0.12500000, 0.12500000, 5,Aus&NZ  
 3, 0.20000000, 0.16472167, 0.17621118, 0.16314079, 0.15007039, 0.13700000, 0.12500000, 0.12500000, 0.12500000, 6,FSU     
 3, 0.20000000, 0.61978769, 0.61814174, 0.47109449, 0.32404725, 0.17700000, 0.12500000, 0.12500000, 0.12500000, 7,China&Re
 3, 0.00000000, 0.07626663, 0.08777181, 0.09451454, 0.10125727, 0.10800000, 0.12500000, 0.12500000, 0.12500000, 8,MiddleEa
 3, 0.20000000, 0.56010568, 0.53566363, 0.41377575, 0.29188788, 0.17000000, 0.12500000, 0.12500000, 0.12500000, 9,Africa  
 3, 0.03190000, 0.09009963, 0.14137565, 0.13191710, 0.12245855, 0.11300000, 0.12500000, 0.12500000, 0.12500000,10,LatinAme
 3, 0.20000000, 0.22939173, 0.24272585, 0.20881724, 0.17490862, 0.14100000, 0.12500000, 0.12500000, 0.12500000,11,S&EAsia 
