,,,,,output-ratio,,,,,,,,
region,supplysector,subsector,technology,minicam-energy-input,1975,1990,2005,2020,2035,2050,2065,2080,2095

Non-energy costs,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,
2020,,,,,,,,,,,,,
,,,,,input-cost,,,,,,,,
region,supplysector,subsector,technology,minicam-non-energy-input,1975,1990,2005,2020,2035,2050,2065,2080,2095
ALL,refined liquids enduse,coal to liquids,coal to liquids CCS Level 1,non-energy,3.80,3.80,3.80,3.80,3.74,3.69,3.63,3.58,3.53
ALL,refined liquids industrial,coal to liquids,coal to liquids CCS Level 1,non-energy,2.70,2.70,2.70,2.70,2.66,2.62,2.58,2.54,2.50
ALL,refined liquids enduse,coal to liquids,coal to liquids CCS Level 2,non-energy,3.80,3.80,3.80,3.80,3.74,3.69,3.63,3.58,3.53
ALL,refined liquids industrial,coal to liquids,coal to liquids CCS Level 2,non-energy,2.70,2.70,2.70,2.70,2.66,2.62,2.58,2.54,2.50

Logit exponent,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,
2030,,,,,,,,,,,,
,,,,logitexp,,,,,,,,
region,supplysector,subsector,technology,1975,1990,2005,2020,2035,2050,2065,2080,2095
ALL,refined liquids enduse,coal to liquids,coal to liquids CCS Level 1,-13,-13,-13,-13,-13,-13,-13,-13,-13
ALL,refined liquids industrial,coal to liquids,coal to liquids CCS Level 1,-13,-13,-13,-13,-13,-13,-13,-13,-13
ALL,refined liquids enduse,coal to liquids,coal to liquids CCS Level 2,-13,-13,-13,-13,-13,-13,-13,-13,-13
ALL,refined liquids industrial,coal to liquids,coal to liquids CCS Level 2,-13,-13,-13,-13,-13,-13,-13,-13,-13

CCS Parameters,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,
2050,,,,standard-capture-component,,,,,,,,
,,,,storage-market,,,,,,,,
region,supplysector,subsector,technology,1975,1990,2005,2020,2035,2050,2065,2080,2095
ALL,refined liquids enduse,coal to liquids,coal to liquids CCS Level 1,carbon-storage,carbon-storage,carbon-storage,carbon-storage,carbon-storage,carbon-storage,carbon-storage,carbon-storage,carbon-storage
ALL,refined liquids industrial,coal to liquids,coal to liquids CCS Level 1,carbon-storage,carbon-storage,carbon-storage,carbon-storage,carbon-storage,carbon-storage,carbon-storage,carbon-storage,carbon-storage
ALL,refined liquids enduse,coal to liquids,coal to liquids CCS Level 2,carbon-storage,carbon-storage,carbon-storage,carbon-storage,carbon-storage,carbon-storage,carbon-storage,carbon-storage,carbon-storage
ALL,refined liquids industrial,coal to liquids,coal to liquids CCS Level 2,carbon-storage,carbon-storage,carbon-storage,carbon-storage,carbon-storage,carbon-storage,carbon-storage,carbon-storage,carbon-storage

INPUT_TABLE,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,
2051,,,,standard-capture-component,,,,,,,,
,,,,remove-fraction,,,,,,,,
region,supplysector,subsector,technology,1975,1990,2005,2020,2035,2050,2065,2080,2095
ALL,refined liquids enduse,coal to liquids,coal to liquids CCS Level 1,0.818,0.818,0.818,0.818,0.818,0.818,0.818,0.818,0.818
ALL,refined liquids industrial,coal to liquids,coal to liquids CCS Level 1,0.818,0.818,0.818,0.818,0.818,0.818,0.818,0.818,0.818
ALL,refined liquids enduse,coal to liquids,coal to liquids CCS Level 2,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981
ALL,refined liquids industrial,coal to liquids,coal to liquids CCS Level 2,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981

INPUT_TABLE,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,
2052,,,,standard-capture-component,,,,,,,,
,,,,intensity-penalty,,,,,,,,
region,supplysector,subsector,technology,1975,1990,2005,2020,2035,2050,2065,2080,2095
ALL,refined liquids enduse,coal to liquids,coal to liquids CCS Level 1,0.040,0.040,0.040,0.040,0.040,0.040,0.040,0.040,0.040
ALL,refined liquids industrial,coal to liquids,coal to liquids CCS Level 1,0.040,0.040,0.040,0.040,0.040,0.040,0.040,0.040,0.040
ALL,refined liquids enduse,coal to liquids,coal to liquids CCS Level 2,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100
ALL,refined liquids industrial,coal to liquids,coal to liquids CCS Level 2,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100

INPUT_TABLE,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,
2053,,,,standard-capture-component,,,,,,,,
,,,,non-energy-penalty,,,,,,,,
region,supplysector,subsector,technology,1975,1990,2005,2020,2035,2050,2065,2080,2095
ALL,refined liquids enduse,coal to liquids,coal to liquids CCS Level 1,0.186,0.186,0.186,0.186,0.189,0.192,0.195,0.198,0.201
ALL,refined liquids industrial,coal to liquids,coal to liquids CCS Level 1,0.262,0.262,0.262,0.262,0.266,0.270,0.274,0.278,0.283
ALL,refined liquids enduse,coal to liquids,coal to liquids CCS Level 2,0.309,0.309,0.309,0.309,0.313,0.318,0.323,0.328,0.333
ALL,refined liquids industrial,coal to liquids,coal to liquids CCS Level 2,0.434,0.434,0.434,0.434,0.441,0.448,0.454,0.461,0.468
