filename; year; sector; africa;central_america;east_asia;eastern_europe;ec25_europe;latin_america;middle_east;north_america;north_central_asia;oceania;oecd_europe;old_ec_europe;south_america;south_asia;south_east_asia;world;global;;field1;field2;field3;field4;field5;field6;field7
RETRO_FIRES_V2_1968_CH4.nc;1968;forestfire;0.8741;0.1973;0.09171;0.03606;0.04366;1.846;0.000376;0.3047;0.2237;0.04946;0.03142;0.03119;1.649;0.0697;0.8581;4.482;4.506;;field1;field2;field3;field4;field5;field6;field7
RETRO_FIRES_V2_1968_CH4.nc;1968;grassfire;0.66;0;0.004431;0;0;0.04916;0;0;0.004109;0.2506;0;0;0.04916;1.58E-06;1.80E-05;0.9704;0.9704;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1973;CH4;;
RETRO_FIRES_V2_1968_CH4.nc;1968;woodedfire;2.964;0.001976;0.01472;0;0.0004913;1.954;1.93E-05;0.0225;0.0391;0.1092;0.000472;0.000472;1.952;0.1058;0.0001114;5.2;5.201;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1973;CH4;;
RETRO_FIRES_V2_1969_CH4.nc;1969;forestfire;0.9219;0.5045;0.1554;0.01098;0.08286;2.297;0.0002758;0.7336;0.3718;0.1108;0.07004;0.06993;1.793;0.07251;1.32;6.241;6.277;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1973;CH4;;
RETRO_FIRES_V2_1969_CH4.nc;1969;grassfire;0.6364;0;0.001222;0;0;0.05504;0;0;0.002336;0.5628;0;0;0.05504;3.51E-06;1.26E-05;1.263;1.263;m^2;RETRO;FIRES;V2;1973;CH4;;
RETRO_FIRES_V2_1969_CH4.nc;1969;woodedfire;2.869;0.0009424;0.01012;0;1.41E-05;2.187;1.41E-05;0.05738;0.03439;0.2538;0.0003605;0;2.186;0.0916;0.0001458;5.503;5.505;;field1;field2;field3;field4;field5;field6;field7
RETRO_FIRES_V2_1970_CH4.nc;1970;forestfire;0.9704;0.319;0.123;0.009483;0.1111;2.17;0.0005785;0.329;0.3278;0.08045;0.09671;0.09669;1.851;0.07116;0.9313;5.291;5.317;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1974;CH4;;
RETRO_FIRES_V2_1970_CH4.nc;1970;grassfire;1.097;0;0.00298;0;0;0.06954;0;0;0.003653;0.417;0;0;0.06954;5.18E-06;5.03E-06;1.592;1.592;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1974;CH4;;
RETRO_FIRES_V2_1970_CH4.nc;1970;woodedfire;5.092;0.003406;0.01489;0;2.89E-05;2.787;2.89E-05;0.01498;0.03757;0.1881;0.0003048;0;2.784;0.09916;0.0001694;8.226;8.228;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1974;CH4;;
RETRO_FIRES_V2_1971_CH4.nc;1971;forestfire;1.019;0.3985;0.02368;0.02384;0.02608;2.359;0.0002585;0.439;0.2601;0.0544;0.01998;0.01998;1.96;0.06375;0.3212;4.636;4.647;m^2;RETRO;FIRES;V2;1974;CH4;;
RETRO_FIRES_V2_1971_CH4.nc;1971;grassfire;0.6372;0;0.00148;0;0;0.02623;0;0;0.00199;0.2867;0;0;0.02623;8.34E-06;1.30E-05;0.9553;0.9553;;field1;field2;field3;field4;field5;field6;field7
RETRO_FIRES_V2_1971_CH4.nc;1971;woodedfire;2.821;0.002319;0.008321;0;0.0003363;1.058;1.27E-05;0.02643;0.02419;0.125;0.0003236;0.0003236;1.056;0.1152;0.0001606;4.174;4.175;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1975;CH4;;
RETRO_FIRES_V2_1972_CH4.nc;1972;forestfire;1.068;0.3164;0.1276;0.1803;0.2634;2.336;0.0002075;0.2679;0.6827;0.1633;0.2434;0.2432;2.02;0.06863;2.232;7.851;7.961;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1975;CH4;;
RETRO_FIRES_V2_1972_CH4.nc;1972;grassfire;0.6705;0;0.001104;0;0;0.04781;0;0;0.002256;0.593;0;0;0.04781;2.44E-06;1.94E-05;1.319;1.319;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1975;CH4;;
RETRO_FIRES_V2_1972_CH4.nc;1972;woodedfire;3;0.001534;0.008646;0;2.43E-05;1.91;1.07E-05;0.02169;0.0356;0.2647;0.0001976;1.37E-05;1.908;0.1171;0.0001097;5.356;5.357;m^2;RETRO;FIRES;V2;1975;CH4;;
RETRO_FIRES_V2_1973_CH4.nc;1973;forestfire;1.116;0.4299;0.1096;0.01116;0.05622;2.569;0.0004469;0.1839;0.2257;0.0533;0.04498;0.04473;2.139;0.1193;1.066;5.647;5.685;;field1;field2;field3;field4;field5;field6;field7
RETRO_FIRES_V2_1973_CH4.nc;1973;grassfire;0.7614;0;0.00249;0;0;0.02782;0;0;0.005781;0.2782;0;0;0.02782;2.23E-06;1.28E-05;1.081;1.081;kg(species)/m^2/s*gboxarea*1.e-9*366*86400;RETRO;FIRES;V2;1976;CH4;;
RETRO_FIRES_V2_1973_CH4.nc;1973;woodedfire;3.401;0.0007596;0.02687;0;0.0001917;1.114;2.28E-05;0.009897;0.07855;0.1252;0.0009215;0.0001689;1.114;0.08224;9.04E-05;4.823;4.824;kg(species)/m^2/s*gboxarea*1.e-9*366*86400;RETRO;FIRES;V2;1976;CH4;;
RETRO_FIRES_V2_1974_CH4.nc;1974;forestfire;1.164;0.5727;0.01651;0.03468;0.03729;2.841;0.0004289;0.1861;0.0735;0.07328;0.02245;0.02219;2.269;0.06169;0.2944;4.809;4.824;kg(species)/m^2/s*gboxarea*1.e-9*366*86400;RETRO;FIRES;V2;1976;CH4;;
RETRO_FIRES_V2_1974_CH4.nc;1974;grassfire;0.5059;0;0.0008367;0;0;0.03422;0;0;0.0009636;0.3797;0;0;0.03422;4.89E-07;1.20E-06;0.9229;0.9229;m^2;RETRO;FIRES;V2;1976;CH4;;
RETRO_FIRES_V2_1974_CH4.nc;1974;woodedfire;2.297;0.001461;0.005748;0;2.27E-05;1.358;2.27E-05;0.01718;0.01327;0.1648;0;0;1.357;0.1145;0.000183;3.968;3.973;;field1;field2;field3;field4;field5;field6;field7
RETRO_FIRES_V2_1975_CH4.nc;1975;forestfire;1.213;0.5273;0.09584;0.01148;0.04425;2.899;0.0004041;0.2723;0.09888;0.09689;0.03767;0.03756;2.372;0.07036;0.4031;5.253;5.278;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1977;CH4;;
RETRO_FIRES_V2_1975_CH4.nc;1975;grassfire;0.653;0;0.0009606;0;0;0.04754;0;0;0.0006851;0.4991;0;0;0.04754;1.76E-06;1.63E-05;1.202;1.202;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1977;CH4;;
RETRO_FIRES_V2_1975_CH4.nc;1975;woodedfire;2.99;0.001173;0.004001;0;0.0001235;1.856;2.03E-05;0.009151;0.01112;0.2254;0.0001033;0.0001033;1.855;0.0967;4.71E-05;5.191;5.193;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1977;CH4;;
RETRO_FIRES_V2_1976_CH4.nc;1976;forestfire;1.263;0.4164;0.02716;0.003652;0.05577;2.838;0.0002018;0.5481;0.0607;0.1504;0.05228;0.05207;2.421;0.0773;0.964;6.034;6.062;m^2;RETRO;FIRES;V2;1977;CH4;;
RETRO_FIRES_V2_1976_CH4.nc;1976;grassfire;0.5906;0;0.003235;0;0;0.06472;0;0;0.01034;0.768;0;0;0.06472;5.48E-06;5.42E-06;1.459;1.459;;field1;field2;field3;field4;field5;field6;field7
RETRO_FIRES_V2_1976_CH4.nc;1976;woodedfire;2.662;0.0006553;0.04363;0;0.0002828;2.548;9.82E-06;0.0283;0.1509;0.3351;0.001955;0.0002729;2.548;0.13;0.0001608;5.881;5.892;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1978;CH4;;
RETRO_FIRES_V2_1977_CH4.nc;1977;forestfire;1.31;0.5349;0.1068;0.00977;0.03415;3.105;0.0004996;0.481;0.3097;0.1506;0.02645;0.02626;2.57;0.1014;2.713;8.37;8.47;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1978;CH4;;
RETRO_FIRES_V2_1977_CH4.nc;1977;grassfire;0.7922;0;0.001471;0;0;0.03044;0;0;0.002418;0.7505;0;0;0.03044;3.10E-06;2.23E-05;1.579;1.579;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1978;CH4;;
RETRO_FIRES_V2_1977_CH4.nc;1977;woodedfire;3.556;0.001152;0.01088;0;2.63E-05;1.201;2.63E-05;0.03025;0.02776;0.3512;0.001024;0;1.2;0.0977;0.0001463;5.27;5.271;m^2;RETRO;FIRES;V2;1978;CH4;;
RETRO_FIRES_V2_1978_CH4.nc;1978;forestfire;1.359;0.587;0.08317;0.009672;0.1098;3.188;0.0005156;0.1036;0.08957;0.08978;0.1017;0.1016;2.601;0.07956;1.437;6.59;6.621;;field1;field2;field3;field4;field5;field6;field7
RETRO_FIRES_V2_1978_CH4.nc;1978;grassfire;0.6796;0;0.0009728;0;0;0.05145;0;0;0.001276;0.4577;0;0;0.05145;3.44E-06;5.26E-06;1.192;1.192;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1979;CH4;;
RETRO_FIRES_V2_1978_CH4.nc;1978;woodedfire;3.13;0.001386;0.007422;0;2.66E-05;2.04;2.66E-05;0.01911;0.01664;0.2099;0.0001259;0;2.039;0.1077;0.0001267;5.526;5.527;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1979;CH4;;
RETRO_FIRES_V2_1979_CH4.nc;1979;forestfire;1.407;0.8302;0.1066;0.008595;0.06198;3.651;0.0003765;0.6831;0.1298;0.1482;0.05225;0.05196;2.821;0.07488;1.948;8.266;8.324;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1979;CH4;;
RETRO_FIRES_V2_1979_CH4.nc;1979;grassfire;0.9533;0;0.003422;0;0;0.05624;0;0;0.003896;0.7428;0;0;0.05624;0;1.77E-05;1.76;1.76;m^2;RETRO;FIRES;V2;1979;CH4;;
RETRO_FIRES_V2_1979_CH4.nc;1979;woodedfire;4.441;0.005993;0.009425;0;1.87E-05;2.263;1.87E-05;0.01596;0.0242;0.3468;0;0;2.257;0.1176;0.0001671;7.214;7.215;;field1;field2;field3;field4;field5;field6;field7
RETRO_FIRES_V2_1980_CH4.nc;1980;forestfire;1.457;0.6139;0.1127;0.006621;0.06951;3.448;0.0004094;0.9981;0.09924;0.1725;0.0634;0.06312;2.834;0.07222;2.239;8.708;8.766;kg(species)/m^2/s*gboxarea*1.e-9*366*86400;RETRO;FIRES;V2;1980;CH4;;
RETRO_FIRES_V2_1980_CH4.nc;1980;grassfire;0.9841;0;0.00144;0;0;0.0621;0;0;0.00123;0.8712;0;0;0.0621;3.14E-06;1.38E-05;1.921;1.921;kg(species)/m^2/s*gboxarea*1.e-9*366*86400;RETRO;FIRES;V2;1980;CH4;;
RETRO_FIRES_V2_1980_CH4.nc;1980;woodedfire;4.407;0.01576;0.003915;0;4.01E-05;2.513;2.28E-05;0.01514;0.01347;0.4032;0.0004374;1.74E-05;2.497;0.1136;6.58E-05;7.468;7.469;kg(species)/m^2/s*gboxarea*1.e-9*366*86400;RETRO;FIRES;V2;1980;CH4;;
RETRO_FIRES_V2_1981_CH4.nc;1981;forestfire;1.504;0.3433;0.142;0.01525;0.06913;3.18;0.0007833;0.9427;0.1595;0.07179;0.0562;0.05582;2.837;0.06487;1.645;7.821;7.863;m^2;RETRO;FIRES;V2;1980;CH4;;
RETRO_FIRES_V2_1981_CH4.nc;1981;grassfire;0.6996;0;0.002186;0;0;0.04588;0;0;0.002843;0.3565;0;0;0.04588;0;2.11E-05;1.11;1.11;;field1;field2;field3;field4;field5;field6;field7
RETRO_FIRES_V2_1981_CH4.nc;1981;woodedfire;3.164;0.00602;0.01422;0;0.0006416;1.82;4.03E-05;0.0252;0.04076;0.1591;0.0006774;0.0006013;1.814;0.08344;0.0001005;5.301;5.302;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1981;CH4;;
RETRO_FIRES_V2_1982_CH4.nc;1982;forestfire;1.553;0.9517;0.1775;0.01335;0.03862;4.113;0.0003006;0.3108;0.2078;0.3777;0.03565;0.03556;3.162;0.08745;9.112;16.1;16.51;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1981;CH4;;
RETRO_FIRES_V2_1982_CH4.nc;1982;grassfire;0.8974;0;0.000962;0;0;0.05121;0;0;0.001439;0.7245;0;0;0.05121;0;1.78E-05;1.678;1.678;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1981;CH4;;
RETRO_FIRES_V2_1982_CH4.nc;1982;woodedfire;4.039;0.004072;0.005689;0;0.0001472;2.045;1.48E-05;0.01001;0.01894;0.3242;0.0001324;0.0001324;2.041;0.1108;0.0001315;6.554;6.557;m^2;RETRO;FIRES;V2;1981;CH4;;
RETRO_FIRES_V2_1983_CH4.nc;1983;forestfire;1.601;0.5414;0.09685;0.04997;0.06572;3.598;0.0007022;0.3523;0.05898;0.08302;0.0589;0.05881;3.057;0.1204;4.027;10.1;10.28;;field1;field2;field3;field4;field5;field6;field7
RETRO_FIRES_V2_1983_CH4.nc;1983;grassfire;0.8099;0;0.001314;0;0;0.05298;0;0;0.001304;0.4312;0;0;0.05298;2.38E-06;1.74E-05;1.298;1.298;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1982;CH4;;
RETRO_FIRES_V2_1983_CH4.nc;1983;woodedfire;3.679;0.003237;0.008535;0;7.01E-05;2.084;3.62E-05;0.02473;0.02025;0.1966;3.39E-05;3.39E-05;2.081;0.1073;5.34E-05;6.116;6.117;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1982;CH4;;
RETRO_FIRES_V2_1984_CH4.nc;1984;forestfire;1.651;0.5959;0.1015;0.01551;0.1171;3.797;0.000341;0.1472;0.1848;0.08657;0.1017;0.1016;3.201;0.09949;1.583;7.857;7.896;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1982;CH4;;
RETRO_FIRES_V2_1984_CH4.nc;1984;grassfire;0.624;0;0.004361;0;0;0.02098;0;0;0.005015;0.4355;0;0;0.02098;1.78E-06;2.12E-05;1.09;1.09;m^2;RETRO;FIRES;V2;1982;CH4;;
RETRO_FIRES_V2_1984_CH4.nc;1984;woodedfire;2.758;0.005733;0.009273;0;0.0004244;0.8432;1.68E-05;0.008562;0.0356;0.1953;0.001188;0.0004076;0.8375;0.1294;0.0001499;3.976;3.978;;field1;field2;field3;field4;field5;field6;field7
RETRO_FIRES_V2_1985_CH4.nc;1985;forestfire;1.698;0.695;0.09754;0.0148;0.04845;3.991;0.0005108;0.2486;0.3973;0.1665;0.03518;0.03511;3.296;0.06776;1.134;7.955;7.988;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1983;CH4;;
RETRO_FIRES_V2_1985_CH4.nc;1985;grassfire;0.5457;0;0.00144;0;0;0.02775;0;0;0.002431;0.8537;0;0;0.02775;1.43E-06;1.09E-05;1.436;1.436;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1983;CH4;;
RETRO_FIRES_V2_1985_CH4.nc;1985;woodedfire;2.451;0.002017;0.0121;0;2.61E-05;1.111;2.61E-05;0.02583;0.03864;0.3981;0.0005004;0;1.109;0.09607;8.28E-05;4.127;4.129;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1983;CH4;;
RETRO_FIRES_V2_1986_CH4.nc;1986;forestfire;1.747;0.7522;0.1527;0.05599;0.1302;4.035;0.0003862;0.3169;0.4463;0.1219;0.1189;0.1187;3.283;0.08301;2.985;10.31;10.38;m^2;RETRO;FIRES;V2;1983;CH4;;
RETRO_FIRES_V2_1986_CH4.nc;1986;grassfire;0.5395;0;0.003321;0;0;0.03807;0;0;0.006748;0.5921;0;0;0.03807;4.82E-06;3.40E-06;1.189;1.189;;field1;field2;field3;field4;field5;field6;field7
RETRO_FIRES_V2_1986_CH4.nc;1986;woodedfire;2.411;0.009222;0.02511;0;0.0005006;1.513;1.93E-05;0.01505;0.08004;0.2732;0.001948;0.0004814;1.503;0.115;5.34E-05;4.421;4.424;kg(species)/m^2/s*gboxarea*1.e-9*366*86400;RETRO;FIRES;V2;1984;CH4;;
RETRO_FIRES_V2_1987_CH4.nc;1987;forestfire;1.795;0.8773;0.245;0.04204;0.09126;4.135;0.0005239;0.2966;0.3022;0.07533;0.07023;0.07017;3.257;0.06;6.144;13.36;13.53;kg(species)/m^2/s*gboxarea*1.e-9*366*86400;RETRO;FIRES;V2;1984;CH4;;
RETRO_FIRES_V2_1987_CH4.nc;1987;grassfire;0.7869;0;0.01338;0;0;0.06323;0;0;0.01787;0.3528;0;0;0.06323;4.16E-06;1.36E-05;1.235;1.235;m^2;RETRO;FIRES;V2;1992;CH4;;
RETRO_FIRES_V2_1987_CH4.nc;1987;woodedfire;3.61;0.01218;0.04645;0;0.0002106;2.542;3.62E-05;0.01248;0.1332;0.1607;0.0014;0.0001745;2.53;0.09214;5.47E-05;6.569;6.57;;field1;field2;field3;field4;field5;field6;field7
RETRO_FIRES_V2_1988_CH4.nc;1988;forestfire;1.845;1.003;0.1856;0.01472;0.06547;4.195;0.000788;0.5553;0.5275;0.07233;0.04861;0.04849;3.192;0.06917;1.205;8.852;8.878;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1993;CH4;;
RETRO_FIRES_V2_1988_CH4.nc;1988;grassfire;0.4873;0;0.001413;0;0;0.03888;0;0;0.00279;0.3719;0;0;0.03888;0;3.80E-05;0.9074;0.9074;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1993;CH4;;
RETRO_FIRES_V2_1988_CH4.nc;1988;woodedfire;2.176;0.009721;0.0158;0;9.53E-05;1.551;9.53E-05;0.05687;0.04217;0.1701;1.11E-05;0;1.541;0.09692;0.0001743;4.1;4.101;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1993;CH4;;
RETRO_FIRES_V2_1989_CH4.nc;1989;forestfire;1.892;0.7125;0.1279;0.1176;0.2003;3.753;0.0005984;1.183;0.2632;0.07582;0.1917;0.1917;3.041;0.06379;1.078;8.979;9.014;m^2;RETRO;FIRES;V2;1993;CH4;;
RETRO_FIRES_V2_1989_CH4.nc;1989;grassfire;0.6412;0;0.006445;0;0;0.03901;0;0;0.005373;0.3845;0;0;0.03901;2.48E-06;8.92E-06;1.079;1.079;;field1;field2;field3;field4;field5;field6;field7
RETRO_FIRES_V2_1989_CH4.nc;1989;woodedfire;2.875;0.0016;0.01145;0;0.0001289;1.54;3.48E-05;0.01774;0.0489;0.1739;0.0005586;9.41E-05;1.538;0.1075;1.94E-05;4.77;4.771;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1994;CH4;;
RETRO_FIRES_V2_1990_CH4.nc;1990;forestfire;1.941;0.587;0.1934;0.2267;0.3607;3.591;0.0006161;0.654;0.3741;0.1018;0.2783;0.2783;3.004;0.0727;2.368;10.18;10.26;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1994;CH4;;
RETRO_FIRES_V2_1990_CH4.nc;1990;grassfire;1.081;0;0.004802;0;0;0.05827;0;0;0.005905;0.4963;0;0;0.05827;2.68E-06;3.60E-05;1.647;1.647;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1994;CH4;;
RETRO_FIRES_V2_1990_CH4.nc;1990;woodedfire;4.878;0.0003405;0.01519;0;0.0001908;2.289;3.39E-05;0.06906;0.04463;0.2309;0.0008059;0.0001569;2.289;0.1058;0.000205;7.625;7.626;m^2;RETRO;FIRES;V2;1994;CH4;;
