Delete aggregate buildings,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
region,gcam-consumer,gcam-consumer,supplysector,supplysector,supplysector,supplysector,supplysector,supplysector,renewresource,,,,,,,,
gcam-consumer,nodeInput,building-node-input,thermal-building-demand-input,1990,2005,,,,,,,,,,,,
resid,resid,resid_building,resid heating,3.517969348,4.113024153,,,,,,,,,,,,
resid,resid,resid_building,resid cooling,1.026788232,2.660073921,,,,,,,,,,,,
comm,comm,comm_building,comm heating,1.360118084,1.640519178,,,,,,,,,,,,
comm,comm,comm_building,comm cooling,1.282360089,1.60860208,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Shell conductance and floor to surface ratio,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,
201,,,[BTU/ ft^2 hr F],,,,,,,,,,,,,,
,,,shell-conductance,,floor-to-surface-ratio,,,,AEO 2009 average insulation,,,,,,,,
gcam-consumer,nodeInput,building-node-input,year,shell-conductance,year,floor-to-surface-ratio,,,,,,,,,,,
resid,resid,resid_building,1975,0.234,1975,5.5,,,,,,,,,,,
resid,resid,resid_building,1990,0.234,1990,5.5,,,,,,,,,,,
resid,resid,resid_building,2005,0.219,2005,5.5,,,0.219,,,,,,,,
resid,resid,resid_building,2020,0.202,2020,5.5,,,0.198500563,,,,,,,,
resid,resid,resid_building,2035,0.184,2035,5.5,,,0.184318552,,,,,,,,
resid,resid,resid_building,2050,0.170,2050,5.5,,,,,,,,,,,
resid,resid,resid_building,2065,0.160,2065,5.5,,,,,,,,,,,
resid,resid,resid_building,2080,0.151,2080,5.5,,,,,,,,,,,
resid,resid,resid_building,2095,0.144,2095,5.5,,,,,,,,,,,
comm,comm,comm_building,1975,0.219,1975,5.5,,,,,,,,,,,
comm,comm,comm_building,1990,0.219,1990,5.5,,,,,,,,,,,
comm,comm,comm_building,2005,0.219,2005,5.5,,,,,,,,,,,
comm,comm,comm_building,2020,0.201,2020,5.5,,,,,,,,,,,
comm,comm,comm_building,2035,0.183,2035,5.5,,,,,,,,,,,
comm,comm,comm_building,2050,0.170,2050,5.5,,,,,,,,,,,
comm,comm,comm_building,2065,0.164,2065,5.5,,,,,,,,,,,
comm,comm,comm_building,2080,0.158,2080,5.5,,,,,,,,,,,
comm,comm,comm_building,2095,0.152,2095,5.5,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Demand function type,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,
202,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
gcam-consumer,nodeInput,prodDmdFnType,,,,,,,,,,,,,,,
resid,resid,building-function,,,,,,,,,,,,,,,
comm,comm,building-function,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Demand function type,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,
203,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
gcam-consumer,nodeInput,building-node-input,prodDmdFnType,,,,,,,,,,,,,,
resid,resid,resid_building,building-service-function,,,,,,,,,,,,,,
comm,comm,comm_building,building-service-function,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Building service supply,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,
300,,,,,,,,,,,,,,,,,
,,,,price,keyword,,,,,,,,,,,,
supplysector,output-unit,input-unit,price-unit,1975,final-energy,logit-exponent,,,,,,,,,,,
resid heating,EJ,EJ,1975$/GJ,6.7,building,-3,,,,,,,,,,,
resid cooling,EJ,EJ,1975$/GJ,9.3,building,-3,,,,,,,,,,,
resid hot water,EJ,EJ,1975$/GJ,11.5,building,-3,,,,,,,,,,,
resid lighting,EJ,EJ,1975$/GJ,650,building,-3,,,,,,,,,,,
resid appliances,EJ,EJ,1975$/GJ,22,building,-2,,,,,,,,,,,
resid other appliances,EJ,EJ,1975$/GJ,45,building,-3,,,,,,,,,,,
resid other,EJ,EJ,1975$/GJ,45,building,-2,,,,,,,,,,,
comm heating,EJ,EJ,1975$/GJ,5.5,building,-3,,,,,,,,,,,
comm cooling,EJ,EJ,1975$/GJ,7.9,building,-3,,,,,,,,,,,
comm hot water,EJ,EJ,1975$/GJ,7.2,building,-3,,,,,,,,,,,
comm ventilation,EJ,EJ,1975$/GJ,5,building,-3,,,,,,,,,,,
comm cooking,EJ,EJ,1975$/GJ,7,building,-3,,,,,,,,,,,
comm lighting,EJ,EJ,1975$/GJ,163,building,-3,,,,,,,,,,,
comm refrigeration,EJ,EJ,1975$/GJ,7,building,-3,,,,,,,,,,,
comm office,EJ,EJ,1975$/GJ,53,building,-3,,,,,,,,,,,
comm other,EJ,EJ,1975$/GJ,33,building,-2,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Subsector shareweight scaling,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,
302,,,,,,,,,,,,,,,,,
,,share-weight,interpolation-rule,,,,,,,,,,,,,,
supplysector,subsector,1975 fillout,apply-to,from-year,to-year,interpolation-function,,,,,,,,,,,
resid heating,biomass,1,share-weight,2005,9999,fixed,,,,,,,,,,,
resid heating,gas,1,share-weight,2005,9999,fixed,,,,,,,,,,,
resid heating,electricity,1,share-weight,2005,9999,fixed,,,,,,,,,,,
resid heating,refined liquids,1,share-weight,2005,9999,fixed,,,,,,,,,,,
resid cooling,electricity,1,share-weight,2005,9999,fixed,,,,,,,,,,,
resid hot water,gas,1,share-weight,2005,9999,fixed,,,,,,,,,,,
resid hot water,electricity,1,share-weight,2005,9999,fixed,,,,,,,,,,,
resid hot water,refined liquids,1,share-weight,2005,9999,fixed,,,,,,,,,,,
resid lighting,electricity,1,share-weight,2005,9999,fixed,,,,,,,,,,,
resid appliances,gas,1,share-weight,2005,9999,fixed,,,,,,,,,,,
resid appliances,electricity,1,share-weight,2005,9999,fixed,,,,,,,,,,,
resid appliances,refined liquids,1,share-weight,2005,9999,fixed,,,,,,,,,,,
resid other appliances,electricity,1,share-weight,2005,9999,fixed,,,,,,,,,,,
resid other,gas,1,share-weight,2005,9999,fixed,,,,,,,,,,,
resid other,electricity,1,share-weight,2005,9999,fixed,,,,,,,,,,,
resid other,refined liquids,1,share-weight,2005,9999,fixed,,,,,,,,,,,
comm heating,biomass,1,share-weight,2005,9999,fixed,,,,,,,,,,,
comm heating,gas,1,share-weight,2005,9999,fixed,,,,,,,,,,,
comm heating,electricity,1,share-weight,2005,9999,fixed,,,,,,,,,,,
comm heating,refined liquids,1,share-weight,2005,9999,fixed,,,,,,,,,,,
comm cooling,gas,1,share-weight,2005,9999,fixed,,,,,,,,,,,
comm cooling,electricity,1,share-weight,2005,9999,fixed,,,,,,,,,,,
comm hot water,gas,1,share-weight,2005,9999,fixed,,,,,,,,,,,
comm hot water,electricity,1,share-weight,2005,9999,fixed,,,,,,,,,,,
comm hot water,refined liquids,1,share-weight,2005,9999,fixed,,,,,,,,,,,
comm ventilation,electricity,1,share-weight,2005,9999,fixed,,,,,,,,,,,
comm cooking,gas,1,share-weight,2005,9999,fixed,,,,,,,,,,,
comm cooking,electricity,1,share-weight,2005,9999,fixed,,,,,,,,,,,
comm lighting,electricity,1,share-weight,2005,9999,fixed,,,,,,,,,,,
comm refrigeration,electricity,1,share-weight,2005,9999,fixed,,,,,,,,,,,
comm office,electricity,1,share-weight,2005,9999,fixed,,,,,,,,,,,
comm other,gas,1,share-weight,2005,9999,fixed,,,,,,,,,,,
comm other,electricity,1,share-weight,2005,9999,fixed,,,,,,,,,,,
comm other,refined liquids,1,share-weight,2005,9999,fixed,,,,,,,,,,,
comm other,coal,1,share-weight,2005,2020,linear,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Technology logit exponent,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,
303,,,,,,,,,,,,,,,,,
,,logit-exponent,,,,,,,,,,,,,,,
supplysector,subsector,1975 fillout,,,,,,,,,,,,,,,
resid heating,biomass,-6,,,,,,,,,,,,,,,
resid heating,gas,-6,,,,,,,,,,,,,,,
resid heating,electricity,-6,,,,,,,,,,,,,,,
resid heating,refined liquids,-6,,,,,,,,,,,,,,,
resid cooling,electricity,-6,,,,,,,,,,,,,,,
resid hot water,gas,-6,,,,,,,,,,,,,,,
resid hot water,electricity,-6,,,,,,,,,,,,,,,
resid hot water,refined liquids,-6,,,,,,,,,,,,,,,
resid lighting,electricity,-2,,,,,,,,,,,,,,,
resid appliances,gas,-6,,,,,,,,,,,,,,,
resid appliances,electricity,-6,,,,,,,,,,,,,,,
resid appliances,refined liquids,-6,,,,,,,,,,,,,,,
resid other appliances,electricity,-6,,,,,,,,,,,,,,,
resid other,gas,-6,,,,,,,,,,,,,,,
resid other,electricity,-6,,,,,,,,,,,,,,,
resid other,refined liquids,-6,,,,,,,,,,,,,,,
comm heating,biomass,-6,,,,,,,,,,,,,,,
comm heating,gas,-6,,,,,,,,,,,,,,,
comm heating,electricity,-6,,,,,,,,,,,,,,,
comm heating,refined liquids,-6,,,,,,,,,,,,,,,
comm cooling,gas,-6,,,,,,,,,,,,,,,
comm cooling,electricity,-6,,,,,,,,,,,,,,,
comm hot water,gas,-6,,,,,,,,,,,,,,,
comm hot water,electricity,-6,,,,,,,,,,,,,,,
comm hot water,refined liquids,-6,,,,,,,,,,,,,,,
comm ventilation,electricity,-6,,,,,,,,,,,,,,,
comm cooking,gas,-6,,,,,,,,,,,,,,,
comm cooking,electricity,-6,,,,,,,,,,,,,,,
comm lighting,electricity,-2,,,,,,,,,,,,,,,
comm refrigeration,electricity,-6,,,,,,,,,,,,,,,
comm office,electricity,-6,,,,,,,,,,,,,,,
comm other,gas,-6,,,,,,,,,,,,,,,
comm other,electricity,-6,,,,,,,,,,,,,,,
comm other,refined liquids,-6,,,,,,,,,,,,,,,
comm other,coal,-6,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Get rid of coal starting in 2020,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,
999,,,,,,,,,,,,,,,,,
,,sharewt,,,,,,,,,,,,,,,
supplysector,subsector,2020 fillout,,,,,,,,,,,,,,,
comm other,coal,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Technology shareweight scaling,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,
1000,,,,,,,,,,,,,,,,,
,,,interpolation-rule,,,,,,,,,,,,,,
supplysector,subsector,technology,apply-to,from-year,to-year,interpolation-function,,,,,,,,,,,
resid heating,biomass,wood furnace,share-weight,2005,9999,fixed,,,,,,,,,,,
resid heating,gas,gas furnace,share-weight,2005,9999,fixed,,,,,,,,,,,
resid heating,electricity,electric furnace,share-weight,2005,9999,fixed,,,,,,,,,,,
resid heating,electricity,electric heat pump,share-weight,2005,9999,fixed,,,,,,,,,,,
resid heating,refined liquids,fuel furnace,share-weight,2005,9999,fixed,,,,,,,,,,,
resid cooling,electricity,air conditioning,share-weight,2005,9999,fixed,,,,,,,,,,,
resid hot water,gas,gas water heater,share-weight,2005,9999,fixed,,,,,,,,,,,
resid hot water,electricity,electric resistance water heater,share-weight,2005,9999,fixed,,,,,,,,,,,
resid hot water,electricity,electric heat pump water heater,share-weight,2005,2050,linear,,,,,,,,,,,
resid hot water,refined liquids,fuel water heater,share-weight,2005,9999,fixed,,,,,,,,,,,
resid lighting,electricity,incandescent,share-weight,2005,2050,s-curve,,,,,,,,,,,
resid lighting,electricity,fluorescent,share-weight,2005,2050,s-curve,,,,,,,,,,,
resid lighting,electricity,solid state,share-weight,2005,2050,s-curve,,,,,,,,,,,
resid appliances,gas,gas appliances,share-weight,2005,9999,fixed,,,,,,,,,,,
resid appliances,electricity,electric appliances,share-weight,2005,9999,fixed,,,,,,,,,,,
resid appliances,refined liquids,fuel appliances,share-weight,2005,9999,fixed,,,,,,,,,,,
resid other appliances,electricity,electricity,share-weight,2005,9999,fixed,,,,,,,,,,,
resid other,gas,gas,share-weight,2005,9999,fixed,,,,,,,,,,,
resid other,electricity,electricity,share-weight,2005,9999,fixed,,,,,,,,,,,
resid other,refined liquids,refined liquids,share-weight,2005,9999,fixed,,,,,,,,,,,
comm heating,biomass,biomass boiler,share-weight,2005,9999,fixed,,,,,,,,,,,
comm heating,gas,gas furnace,share-weight,2005,9999,fixed,,,,,,,,,,,
comm heating,electricity,electric furnace,share-weight,2005,9999,fixed,,,,,,,,,,,
comm heating,electricity,electric heat pump,share-weight,2005,9999,fixed,,,,,,,,,,,
comm heating,refined liquids,fuel boiler,share-weight,2005,9999,fixed,,,,,,,,,,,
comm cooling,gas,gas cooling,share-weight,2005,9999,fixed,,,,,,,,,,,
comm cooling,electricity,air conditioning,share-weight,2005,9999,fixed,,,,,,,,,,,
comm hot water,gas,gas water heater,share-weight,2005,9999,fixed,,,,,,,,,,,
comm hot water,electricity,electric resistance water heater,share-weight,2005,9999,fixed,,,,,,,,,,,
comm hot water,electricity,electric heat pump water heater,share-weight,2005,2050,s-curve,,,,,,,,,,,
comm hot water,refined liquids,fuel water heater,share-weight,2005,9999,fixed,,,,,,,,,,,
comm ventilation,electricity,ventilation,share-weight,2005,9999,fixed,,,,,,,,,,,
comm cooking,gas,gas stove,share-weight,2005,9999,fixed,,,,,,,,,,,
comm cooking,electricity,electric stove,share-weight,2005,9999,fixed,,,,,,,,,,,
comm lighting,electricity,incandescent,share-weight,2005,2050,s-curve,,,,,,,,,,,
comm lighting,electricity,fluorescent,share-weight,2005,2050,s-curve,,,,,,,,,,,
comm lighting,electricity,solid state,share-weight,2005,2050,s-curve,,,,,,,,,,,
comm refrigeration,electricity,refrigeration,share-weight,2005,9999,fixed,,,,,,,,,,,
comm office,electricity,office equipment,share-weight,2005,9999,fixed,,,,,,,,,,,
comm other,gas,gas,share-weight,2005,9999,fixed,,,,,,,,,,,
comm other,electricity,electricity,share-weight,2005,9999,fixed,,,,,,,,,,,
comm other,refined liquids,refined liquids,share-weight,2005,9999,fixed,,,,,,,,,,,
comm other,coal,coal,share-weight,2005,9999,fixed,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Technology efficiencies (unpartitioned technologies),,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,
1001,,,,,,,,,,,,,,,,,
,,,,efficiency,,,,,,,,,,,,,
supplysector,subsector,technology,minicam-energy-input,1975,1990,2005,2020,2035,2050,2065,2080,2095,,conversions,notes,,
resid heating,biomass,wood furnace,delivered biomass,1,0.400,0.400,0.406,0.412,0.418,0.425,0.431,0.438,,,,,
resid heating,gas,gas furnace,delivered gas,1,0.694,0.814,0.827,0.839,0.852,0.865,0.878,0.891,,,,,
resid heating,electricity,electric furnace,elect_td_bld,1,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,
resid heating,electricity,electric heat pump,elect_td_bld,1,1.584,2.095,2.405,2.427,2.520,2.616,2.716,2.819,,3.412,HSPF to Efficiency,,
resid heating,refined liquids,fuel furnace,refined liquids enduse,1,0.760,0.817,0.841,0.847,0.860,0.873,0.886,0.900,,,,,
resid cooling,electricity,air conditioning,elect_td_bld,1,2.259,2.918,3.652,3.762,3.905,4.054,4.209,4.369,,3.792,SEER to Efficiency,,
resid hot water,gas,gas water heater,delivered gas,1,0.521,0.560,0.613,0.628,0.637,0.647,0.656,0.666,,,,,
resid hot water,electricity,electric resistance water heater,elect_td_bld,1,0.847,0.888,0.948,0.990,0.990,0.990,0.990,0.990,,,,,
resid hot water,electricity,electric heat pump water heater,elect_td_bld,1,2.200,2.200,2.200,2.233,2.267,2.301,2.336,2.371,,,,,
resid hot water,refined liquids,fuel water heater,refined liquids enduse,1,0.512,0.545,0.609,0.636,0.646,0.656,0.666,0.676,,,,,
resid lighting,electricity,incandescent,elect_td_bld,1,0.021,0.021,0.021,0.022,0.022,0.022,0.023,0.023,,683,lumens / W to Efficiency,,
resid lighting,electricity,fluorescent,elect_td_bld,1,0.120,0.120,0.122,0.124,0.126,0.127,0.129,0.131,,683,lumens / W to Efficiency,,
resid lighting,electricity,solid state,elect_td_bld,1,1.000,0.154,0.154,0.160,0.166,0.172,0.179,0.185,,683,lumens / W to Efficiency,,
resid appliances,gas,gas appliances,delivered gas,1,0.990,1.000,1.007,1.015,1.030,1.045,1.061,1.077,,,,,
resid appliances,electricity,electric appliances,elect_td_bld,1,0.709,1.000,1.108,1.129,1.146,1.163,1.181,1.199,,,,,
resid appliances,refined liquids,fuel appliances,refined liquids enduse,1,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,LPG stoves; no improvement,,
resid other appliances,electricity,electricity,elect_td_bld,1,1.000,1.000,0.913,0.948,0.984,1.022,1.061,1.101,,,,,
resid other,gas,gas,delivered gas,1,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,category doesn't exist after 2005,,
resid other,electricity,electricity,elect_td_bld,1,1.000,1.000,1.091,1.132,1.176,1.220,1.267,1.315,,,,,
resid other,refined liquids,refined liquids,refined liquids enduse,1,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,kerosene and coal; no improvement,,
comm heating,biomass,biomass boiler,delivered biomass,1,0.650,0.650,0.660,0.670,0.680,0.690,0.701,0.711,,,,,
comm heating,gas,gas furnace,delivered gas,1,0.700,0.728,0.773,0.813,0.826,0.838,0.851,0.864,,,,,
comm heating,electricity,electric furnace,elect_td_bld,1,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,
comm heating,electricity,electric heat pump,elect_td_bld,1,3.000,3.100,3.300,3.426,3.557,3.692,3.833,3.980,,,,,
comm heating,refined liquids,fuel boiler,refined liquids enduse,1,0.700,0.757,0.796,0.800,0.812,0.825,0.837,0.850,,,,,
comm cooling,gas,gas cooling,delivered gas,1,0.800,0.833,0.919,0.967,0.980,0.980,0.980,0.980,,,,,
comm cooling,electricity,air conditioning,elect_td_bld,1,2.400,2.730,3.165,3.391,3.520,3.655,3.794,3.939,,,,,
comm hot water,gas,gas water heater,delivered gas,1,0.800,0.816,0.844,0.859,0.872,0.885,0.898,0.912,,,,,
comm hot water,electricity,electric resistance water heater,elect_td_bld,1,0.970,0.983,0.990,0.990,0.990,0.990,0.990,0.990,,,,,
comm hot water,electricity,electric heat pump water heater,elect_td_bld,1,1.000,2.100,2.200,2.400,2.436,2.473,2.510,2.548,,,,,
comm hot water,refined liquids,fuel water heater,refined liquids enduse,1,0.750,0.768,0.801,0.805,0.817,0.829,0.842,0.855,,,,,
comm ventilation,electricity,ventilation,elect_td_bld,1,0.743,0.743,0.695,0.650,0.650,0.650,0.650,0.650,,,,,
comm cooking,gas,gas stove,delivered gas,1,0.514,0.514,0.527,0.533,0.541,0.550,0.558,0.566,,,,,
comm cooking,electricity,electric stove,elect_td_bld,1,0.722,0.713,0.748,0.755,0.766,0.778,0.789,0.801,,,,,
comm lighting,electricity,incandescent,elect_td_bld,1,0.021,0.021,0.021,0.022,0.022,0.022,0.023,0.023,,683,lumens / W to Efficiency,,
comm lighting,electricity,fluorescent,elect_td_bld,1,0.120,0.120,0.122,0.124,0.126,0.127,0.129,0.131,,683,lumens / W to Efficiency,,
comm lighting,electricity,solid state,elect_td_bld,1,1.000,0.154,0.154,0.160,0.166,0.172,0.179,0.185,,683,lumens / W to Efficiency,,
comm refrigeration,electricity,refrigeration,elect_td_bld,1,1.396,1.964,2.482,2.668,2.770,2.876,2.985,3.099,,,,,
comm office,electricity,office equipment,elect_td_bld,1,1.000,1.000,1.038,1.078,1.119,1.162,1.206,1.252,,,,,
comm other,gas,gas,delivered gas,1,1.000,1.000,1.038,1.078,1.119,1.162,1.206,1.252,,,,,
comm other,electricity,electricity,elect_td_bld,1,1.000,1.000,0.974,1.011,1.049,1.089,1.131,1.174,,,,,
comm other,refined liquids,refined liquids,refined liquids enduse,1,1.000,1.000,1.038,1.078,1.119,1.162,1.206,1.252,,,,,
comm other,coal,coal,delivered coal,1,1,1,1,1,1,1,1,1,,,,,
,,,,,,,,,,,,,,,,,
Calibration (unpartitioned technologies),,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,
1002,,,,,,,,,,,,,,,,,
,,,,calibrated-value,,sharewt,,,,,,,,,,Service output (for satiation calc),
