region,LandAllocatorRoot,LandNode1,LandNode2,LandNode3,LandNode4,LandNode5,LandLeaf,hist.veg.carbon.density,hist.soil.carbon.density,veg.carbon.density,soil.carbon.density,mature.age.year.fillout,mature.age,min.veg.carbon.density,min.soil.carbon.density,level,Irr_Rfd,GLU
Africa_Eastern,root,AgroForestLand_CongoR,AgroForest_NonPasture_CongoR,CropLand_CongoR,biomass_grass_CongoR,biomass_grass_CongoR_IRR,biomass_grass_CongoR_IRR_hi,0.3,9.5,0.3,9.5,1975,30,0,0,hi,irr,CongoR
Africa_Eastern,root,AgroForestLand_LChad,AgroForest_NonPasture_LChad,CropLand_LChad,biomass_grass_LChad,biomass_grass_LChad_IRR,biomass_grass_LChad_IRR_hi,0.4,10.3,0.4,10.3,1975,25,0,0,hi,irr,LChad
Africa_Eastern,root,AgroForestLand_Madasgacar,AgroForest_NonPasture_Madasgacar,CropLand_Madasgacar,biomass_grass_Madasgacar,biomass_grass_Madasgacar_IRR,biomass_grass_Madasgacar_IRR_hi,0.2,9.5,0.2,9.5,1975,31,0,0,hi,irr,Madasgacar
Africa_Eastern,root,AgroForestLand_NileR,AgroForest_NonPasture_NileR,CropLand_NileR,biomass_grass_NileR,biomass_grass_NileR_IRR,biomass_grass_NileR_IRR_hi,0.4,9.7,0.4,9.7,1975,28,0,0,hi,irr,NileR
Africa_Eastern,root,AgroForestLand_RiftValley,AgroForest_NonPasture_RiftValley,CropLand_RiftValley,biomass_grass_RiftValley,biomass_grass_RiftValley_IRR,biomass_grass_RiftValley_IRR_hi,0.3,8.5,0.3,8.5,1975,31,0,0,hi,irr,RiftValley
Africa_Eastern,root,AgroForestLand_ShebJubR,AgroForest_NonPasture_ShebJubR,CropLand_ShebJubR,biomass_grass_ShebJubR,biomass_grass_ShebJubR_IRR,biomass_grass_ShebJubR_IRR_hi,0.3,8.8,0.3,8.8,1975,23,0,0,hi,irr,ShebJubR
Africa_Northern,root,AgroForestLand_AfrCstNE,AgroForest_NonPasture_AfrCstNE,CropLand_AfrCstNE,biomass_grass_AfrCstNE,biomass_grass_AfrCstNE_IRR,biomass_grass_AfrCstNE_IRR_hi,0.7,3.8,0.7,3.8,1975,50,0,0,hi,irr,AfrCstNE
Africa_Northern,root,AgroForestLand_AfrCstNW,AgroForest_NonPasture_AfrCstNW,CropLand_AfrCstNW,biomass_grass_AfrCstNW,biomass_grass_AfrCstNW_IRR,biomass_grass_AfrCstNW_IRR_hi,0.4,5.3,0.4,5.3,1975,43,0,0,hi,irr,AfrCstNW
Africa_Northern,root,AgroForestLand_AfrIntN,AgroForest_NonPasture_AfrIntN,CropLand_AfrIntN,biomass_grass_AfrIntN,biomass_grass_AfrIntN_IRR,biomass_grass_AfrIntN_IRR_hi,0.3,5,0.3,5,1975,48,0,0,hi,irr,AfrIntN
Africa_Northern,root,AgroForestLand_MeditE,AgroForest_NonPasture_MeditE,CropLand_MeditE,biomass_grass_MeditE,biomass_grass_MeditE_IRR,biomass_grass_MeditE_IRR_hi,0.8,11.2696709585122,0.8,11.2696709585122,1975,36.7682403433476,0,0,hi,irr,MeditE
Africa_Northern,root,AgroForestLand_MeditS,AgroForest_NonPasture_MeditS,CropLand_MeditS,biomass_grass_MeditS,biomass_grass_MeditS_IRR,biomass_grass_MeditS_IRR_hi,0.4,6.2,0.4,6.2,1975,39,0,0,hi,irr,MeditS
Africa_Northern,root,AgroForestLand_NileR,AgroForest_NonPasture_NileR,CropLand_NileR,biomass_grass_NileR,biomass_grass_NileR_IRR,biomass_grass_NileR_IRR_hi,0.9,11.2696709585122,0.9,11.2696709585122,1975,36.7682403433476,0,0,hi,irr,NileR
Africa_Northern,root,AgroForestLand_SinaiP,AgroForest_NonPasture_SinaiP,CropLand_SinaiP,biomass_grass_SinaiP,biomass_grass_SinaiP_IRR,biomass_grass_SinaiP_IRR_hi,0.9,11.2696709585122,0.9,11.2696709585122,1975,36.7682403433476,0,0,hi,irr,SinaiP
Africa_Southern,root,AgroForestLand_AfrCstE,AgroForest_NonPasture_AfrCstE,CropLand_AfrCstE,biomass_grass_AfrCstE,biomass_grass_AfrCstE_IRR,biomass_grass_AfrCstE_IRR_hi,0.3,9.6,0.3,9.6,1975,30,0,0,hi,irr,AfrCstE
Africa_Southern,root,AgroForestLand_AfrCstS,AgroForest_NonPasture_AfrCstS,CropLand_AfrCstS,biomass_grass_AfrCstS,biomass_grass_AfrCstS_IRR,biomass_grass_AfrCstS_IRR_hi,0.5,9.5,0.5,9.5,1975,30,0,0,hi,irr,AfrCstS
Africa_Southern,root,AgroForestLand_AfrCstSE,AgroForest_NonPasture_AfrCstSE,CropLand_AfrCstSE,biomass_grass_AfrCstSE,biomass_grass_AfrCstSE_IRR,biomass_grass_AfrCstSE_IRR_hi,0.4,9.5,0.4,9.5,1975,30,0,0,hi,irr,AfrCstSE
Africa_Southern,root,AgroForestLand_AfrCstSW,AgroForest_NonPasture_AfrCstSW,CropLand_AfrCstSW,biomass_grass_AfrCstSW,biomass_grass_AfrCstSW_IRR,biomass_grass_AfrCstSW_IRR_hi,0.5,7.6,0.5,7.6,1975,42,0,0,hi,irr,AfrCstSW
Africa_Southern,root,AgroForestLand_AfrIntS,AgroForest_NonPasture_AfrIntS,CropLand_AfrIntS,biomass_grass_AfrIntS,biomass_grass_AfrIntS_IRR,biomass_grass_AfrIntS_IRR_hi,0.3,10.1,0.3,10.1,1975,27,0,0,hi,irr,AfrIntS
Africa_Southern,root,AgroForestLand_AngolaCst,AgroForest_NonPasture_AngolaCst,CropLand_AngolaCst,biomass_grass_AngolaCst,biomass_grass_AngolaCst_IRR,biomass_grass_AngolaCst_IRR_hi,0.2,9.5,0.2,9.5,1975,33,0,0,hi,irr,AngolaCst
Africa_Southern,root,AgroForestLand_CongoR,AgroForest_NonPasture_CongoR,CropLand_CongoR,biomass_grass_CongoR,biomass_grass_CongoR_IRR,biomass_grass_CongoR_IRR_hi,0.4,9.7,0.4,9.7,1975,33,0,0,hi,irr,CongoR
Africa_Southern,root,AgroForestLand_GuineaGulf,AgroForest_NonPasture_GuineaGulf,CropLand_GuineaGulf,biomass_grass_GuineaGulf,biomass_grass_GuineaGulf_IRR,biomass_grass_GuineaGulf_IRR_hi,0,9.6,0,9.6,1975,33,0,0,hi,irr,GuineaGulf
Africa_Southern,root,AgroForestLand_LimpopoR,AgroForest_NonPasture_LimpopoR,CropLand_LimpopoR,biomass_grass_LimpopoR,biomass_grass_LimpopoR_IRR,biomass_grass_LimpopoR_IRR_hi,0.6,9.5,0.6,9.5,1975,29,0,0,hi,irr,LimpopoR
Africa_Southern,root,AgroForestLand_NileR,AgroForest_NonPasture_NileR,CropLand_NileR,biomass_grass_NileR,biomass_grass_NileR_IRR,biomass_grass_NileR_IRR_hi,0.3,10.3,0.3,10.3,1975,25,0,0,hi,irr,NileR
Africa_Southern,root,AgroForestLand_OrangeR,AgroForest_NonPasture_OrangeR,CropLand_OrangeR,biomass_grass_OrangeR,biomass_grass_OrangeR_IRR,biomass_grass_OrangeR_IRR_hi,0.3,8.2,0.3,8.2,1975,39,0,0,hi,irr,OrangeR
Africa_Southern,root,AgroForestLand_RiftValley,AgroForest_NonPasture_RiftValley,CropLand_RiftValley,biomass_grass_RiftValley,biomass_grass_RiftValley_IRR,biomass_grass_RiftValley_IRR_hi,0.3,10.2,0.3,10.2,1975,26,0,0,hi,irr,RiftValley
Africa_Southern,root,AgroForestLand_ZambeziR,AgroForest_NonPasture_ZambeziR,CropLand_ZambeziR,biomass_grass_ZambeziR,biomass_grass_ZambeziR_IRR,biomass_grass_ZambeziR_IRR_hi,0.5,9.6,0.5,9.6,1975,31,0,0,hi,irr,ZambeziR
Africa_Western,root,AgroForestLand_AfrCstNW,AgroForest_NonPasture_AfrCstNW,CropLand_AfrCstNW,biomass_grass_AfrCstNW,biomass_grass_AfrCstNW_IRR,biomass_grass_AfrCstNW_IRR_hi,0.4,4,0.4,4,1975,50,0,0,hi,irr,AfrCstNW
Africa_Western,root,AgroForestLand_AfrCstW,AgroForest_NonPasture_AfrCstW,CropLand_AfrCstW,biomass_grass_AfrCstW,biomass_grass_AfrCstW_IRR,biomass_grass_AfrCstW_IRR_hi,0.3,9.6,0.3,9.6,1975,35,0,0,hi,irr,AfrCstW
Africa_Western,root,AgroForestLand_AfrIntN,AgroForest_NonPasture_AfrIntN,CropLand_AfrIntN,biomass_grass_AfrIntN,biomass_grass_AfrIntN_IRR,biomass_grass_AfrIntN_IRR_hi,0.2,7.9,0.2,7.9,1975,35,0,0,hi,irr,AfrIntN
Africa_Western,root,AgroForestLand_CongoR,AgroForest_NonPasture_CongoR,CropLand_CongoR,biomass_grass_CongoR,biomass_grass_CongoR_IRR,biomass_grass_CongoR_IRR_hi,0.3,9.7,0.3,9.7,1975,36,0,0,hi,irr,CongoR
Africa_Western,root,AgroForestLand_GuineaGulf,AgroForest_NonPasture_GuineaGulf,CropLand_GuineaGulf,biomass_grass_GuineaGulf,biomass_grass_GuineaGulf_IRR,biomass_grass_GuineaGulf_IRR_hi,0.3,9.7,0.3,9.7,1975,36,0,0,hi,irr,GuineaGulf
Africa_Western,root,AgroForestLand_LChad,AgroForest_NonPasture_LChad,CropLand_LChad,biomass_grass_LChad,biomass_grass_LChad_IRR,biomass_grass_LChad_IRR_hi,0.3,9.8,0.3,9.8,1975,27,0,0,hi,irr,LChad
Africa_Western,root,AgroForestLand_NigerR,AgroForest_NonPasture_NigerR,CropLand_NigerR,biomass_grass_NigerR,biomass_grass_NigerR_IRR,biomass_grass_NigerR_IRR_hi,0.4,10.2,0.4,10.2,1975,27,0,0,hi,irr,NigerR
Africa_Western,root,AgroForestLand_NileR,AgroForest_NonPasture_NileR,CropLand_NileR,biomass_grass_NileR,biomass_grass_NileR_IRR,biomass_grass_NileR_IRR_hi,0,9.6,0,9.6,1975,36,0,0,hi,irr,NileR
Africa_Western,root,AgroForestLand_SenegalR,AgroForest_NonPasture_SenegalR,CropLand_SenegalR,biomass_grass_SenegalR,biomass_grass_SenegalR_IRR,biomass_grass_SenegalR_IRR_hi,0.5,8.6,0.5,8.6,1975,32,0,0,hi,irr,SenegalR
Africa_Western,root,AgroForestLand_VoltaR,AgroForest_NonPasture_VoltaR,CropLand_VoltaR,biomass_grass_VoltaR,biomass_grass_VoltaR_IRR,biomass_grass_VoltaR_IRR_hi,0.5,9.7,0.5,9.7,1975,31,0,0,hi,irr,VoltaR
Africa_Western,root,AgroForestLand_ZambeziR,AgroForest_NonPasture_ZambeziR,CropLand_ZambeziR,biomass_grass_ZambeziR,biomass_grass_ZambeziR_IRR,biomass_grass_ZambeziR_IRR_hi,0.3,9.8,0.3,9.8,1975,36,0,0,hi,irr,ZambeziR
Australia_NZ,root,AgroForestLand_AusCstE,AgroForest_NonPasture_AusCstE,CropLand_AusCstE,biomass_grass_AusCstE,biomass_grass_AusCstE_IRR,biomass_grass_AusCstE_IRR_hi,0.6,9,0.6,9,1975,28,0,0,hi,irr,AusCstE
Australia_NZ,root,AgroForestLand_AusCstN,AgroForest_NonPasture_AusCstN,CropLand_AusCstN,biomass_grass_AusCstN,biomass_grass_AusCstN_IRR,biomass_grass_AusCstN_IRR_hi,0.7,8.6,0.7,8.6,1975,32,0,0,hi,irr,AusCstN
Australia_NZ,root,AgroForestLand_AusCstS,AgroForest_NonPasture_AusCstS,CropLand_AusCstS,biomass_grass_AusCstS,biomass_grass_AusCstS_IRR,biomass_grass_AusCstS_IRR_hi,0.5,7.9,0.5,7.9,1975,38,0,0,hi,irr,AusCstS
Australia_NZ,root,AgroForestLand_AusCstW,AgroForest_NonPasture_AusCstW,CropLand_AusCstW,biomass_grass_AusCstW,biomass_grass_AusCstW_IRR,biomass_grass_AusCstW_IRR_hi,0.5,7.5,0.5,7.5,1975,39,0,0,hi,irr,AusCstW
Australia_NZ,root,AgroForestLand_AusInt,AgroForest_NonPasture_AusInt,CropLand_AusInt,biomass_grass_AusInt,biomass_grass_AusInt_IRR,biomass_grass_AusInt_IRR_hi,0.5,8,0.5,8,1975,35,0,0,hi,irr,AusInt
Australia_NZ,root,AgroForestLand_MurrayDrlg,AgroForest_NonPasture_MurrayDrlg,CropLand_MurrayDrlg,biomass_grass_MurrayDrlg,biomass_grass_MurrayDrlg_IRR,biomass_grass_MurrayDrlg_IRR_hi,0.7,8.6,0.7,8.6,1975,30,0,0,hi,irr,MurrayDrlg
Australia_NZ,root,AgroForestLand_NewZealand,AgroForest_NonPasture_NewZealand,CropLand_NewZealand,biomass_grass_NewZealand,biomass_grass_NewZealand_IRR,biomass_grass_NewZealand_IRR_hi,0.5,11.9,0.5,11.9,1975,19,0,0,hi,irr,NewZealand
Australia_NZ,root,AgroForestLand_Tasmania,AgroForest_NonPasture_Tasmania,CropLand_Tasmania,biomass_grass_Tasmania,biomass_grass_Tasmania_IRR,biomass_grass_Tasmania_IRR_hi,0.6,9.7,0.6,9.7,1975,38,0,0,hi,irr,Tasmania
Brazil,root,AgroForestLand_AmazonR,AgroForest_NonPasture_AmazonR,CropLand_AmazonR,biomass_grass_AmazonR,biomass_grass_AmazonR_IRR,biomass_grass_AmazonR_IRR_hi,0.5,9.8,0.5,9.8,1975,36,0,0,hi,irr,AmazonR
Brazil,root,AgroForestLand_BrzCstE,AgroForest_NonPasture_BrzCstE,CropLand_BrzCstE,biomass_grass_BrzCstE,biomass_grass_BrzCstE_IRR,biomass_grass_BrzCstE_IRR_hi,0.5,7.5,0.5,7.5,1975,18,0,0,hi,irr,BrzCstE
Brazil,root,AgroForestLand_BrzCstN,AgroForest_NonPasture_BrzCstN,CropLand_BrzCstN,biomass_grass_BrzCstN,biomass_grass_BrzCstN_IRR,biomass_grass_BrzCstN_IRR_hi,0.4,9.3,0.4,9.3,1975,33,0,0,hi,irr,BrzCstN
Brazil,root,AgroForestLand_BrzCstS,AgroForest_NonPasture_BrzCstS,CropLand_BrzCstS,biomass_grass_BrzCstS,biomass_grass_BrzCstS_IRR,biomass_grass_BrzCstS_IRR_hi,0.6,9.9,0.6,9.9,1975,31,0,0,hi,irr,BrzCstS
Brazil,root,AgroForestLand_ParnaibaR,AgroForest_NonPasture_ParnaibaR,CropLand_ParnaibaR,biomass_grass_ParnaibaR,biomass_grass_ParnaibaR_IRR,biomass_grass_ParnaibaR_IRR_hi,0.3,8.6,0.3,8.6,1975,25,0,0,hi,irr,ParnaibaR
Brazil,root,AgroForestLand_RioLaPlata,AgroForest_NonPasture_RioLaPlata,CropLand_RioLaPlata,biomass_grass_RioLaPlata,biomass_grass_RioLaPlata_IRR,biomass_grass_RioLaPlata_IRR_hi,0.6,10.2,0.6,10.2,1975,30,0,0,hi,irr,RioLaPlata
Brazil,root,AgroForestLand_SAmerCstNE,AgroForest_NonPasture_SAmerCstNE,CropLand_SAmerCstNE,biomass_grass_SAmerCstNE,biomass_grass_SAmerCstNE_IRR,biomass_grass_SAmerCstNE_IRR_hi,0,9.7,0,9.7,1975,37,0,0,hi,irr,SAmerCstNE
Brazil,root,AgroForestLand_SaoFrancR,AgroForest_NonPasture_SaoFrancR,CropLand_SaoFrancR,biomass_grass_SaoFrancR,biomass_grass_SaoFrancR_IRR,biomass_grass_SaoFrancR_IRR_hi,0.5,8.7,0.5,8.7,1975,25,0,0,hi,irr,SaoFrancR
Brazil,root,AgroForestLand_TocantinsR,AgroForest_NonPasture_TocantinsR,CropLand_TocantinsR,biomass_grass_TocantinsR,biomass_grass_TocantinsR_IRR,biomass_grass_TocantinsR_IRR_hi,0.5,9.6,0.5,9.6,1975,31,0,0,hi,irr,TocantinsR
Canada,root,AgroForestLand_CanAtl,AgroForest_NonPasture_CanAtl,CropLand_CanAtl,biomass_grass_CanAtl,biomass_grass_CanAtl_IRR,biomass_grass_CanAtl_IRR_hi,0.4,13.2,0.4,13.2,1975,50,0,0,hi,irr,CanAtl
Canada,root,AgroForestLand_FraserR,AgroForest_NonPasture_FraserR,CropLand_FraserR,biomass_grass_FraserR,biomass_grass_FraserR_IRR,biomass_grass_FraserR_IRR_hi,0.4,17.8,0.4,17.8,1975,41,0,0,hi,irr,FraserR
Canada,root,AgroForestLand_GreatLakes,AgroForest_NonPasture_GreatLakes,CropLand_GreatLakes,biomass_grass_GreatLakes,biomass_grass_GreatLakes_IRR,biomass_grass_GreatLakes_IRR_hi,0.7,12.3,0.7,12.3,1975,50,0,0,hi,irr,GreatLakes
Canada,root,AgroForestLand_HudsonBay,AgroForest_NonPasture_HudsonBay,CropLand_HudsonBay,biomass_grass_HudsonBay,biomass_grass_HudsonBay_IRR,biomass_grass_HudsonBay_IRR_hi,0.4,16.1,0.4,16.1,1975,50,0,0,hi,irr,HudsonBay
Canada,root,AgroForestLand_Mackenzie,AgroForest_NonPasture_Mackenzie,CropLand_Mackenzie,biomass_grass_Mackenzie,biomass_grass_Mackenzie_IRR,biomass_grass_Mackenzie_IRR_hi,0.3,13.5,0.3,13.5,1975,48,0,0,hi,irr,Mackenzie
Canada,root,AgroForestLand_MissouriR,AgroForest_NonPasture_MissouriR,CropLand_MissouriR,biomass_grass_MissouriR,biomass_grass_MissouriR_IRR,biomass_grass_MissouriR_IRR_hi,0.3,12.8,0.3,12.8,1975,12,0,0,hi,irr,MissouriR
Canada,root,AgroForestLand_NelsonR,AgroForest_NonPasture_NelsonR,CropLand_NelsonR,biomass_grass_NelsonR,biomass_grass_NelsonR_IRR,biomass_grass_NelsonR_IRR_hi,0.6,12.3,0.6,12.3,1975,24,0,0,hi,irr,NelsonR
Canada,root,AgroForestLand_NWTerr,AgroForest_NonPasture_NWTerr,CropLand_NWTerr,biomass_grass_NWTerr,biomass_grass_NWTerr_IRR,biomass_grass_NWTerr_IRR_hi,0.3,15.1,0.3,15.1,1975,50,0,0,hi,irr,NWTerr
Canada,root,AgroForestLand_PacArctic,AgroForest_NonPasture_PacArctic,CropLand_PacArctic,biomass_grass_PacArctic,biomass_grass_PacArctic_IRR,biomass_grass_PacArctic_IRR_hi,0.5,19.8,0.5,19.8,1975,50,0,0,hi,irr,PacArctic
Canada,root,AgroForestLand_StLwrncR,AgroForest_NonPasture_StLwrncR,CropLand_StLwrncR,biomass_grass_StLwrncR,biomass_grass_StLwrncR_IRR,biomass_grass_StLwrncR_IRR_hi,0.3,15.3,0.3,15.3,1975,50,0,0,hi,irr,StLwrncR
Canada,root,AgroForestLand_UsaCstNE,AgroForest_NonPasture_UsaCstNE,CropLand_UsaCstNE,biomass_grass_UsaCstNE,biomass_grass_UsaCstNE_IRR,biomass_grass_UsaCstNE_IRR_hi,0.4,11.9,0.4,11.9,1975,50,0,0,hi,irr,UsaCstNE
Canada,root,AgroForestLand_UsaPacNW,AgroForest_NonPasture_UsaPacNW,CropLand_UsaPacNW,biomass_grass_UsaPacNW,biomass_grass_UsaPacNW_IRR,biomass_grass_UsaPacNW_IRR_hi,0.5,18.2,0.5,18.2,1975,42,0,0,hi,irr,UsaPacNW
Central America and Caribbean,root,AgroForestLand_Caribbean,AgroForest_NonPasture_Caribbean,CropLand_Caribbean,biomass_grass_Caribbean,biomass_grass_Caribbean_IRR,biomass_grass_Caribbean_IRR_hi,0.3,10.3,0.3,10.3,1975,32,0,0,hi,irr,Caribbean
Central America and Caribbean,root,AgroForestLand_CntAmer,AgroForest_NonPasture_CntAmer,CropLand_CntAmer,biomass_grass_CntAmer,biomass_grass_CntAmer_IRR,biomass_grass_CntAmer_IRR_hi,0.6,9.9,0.6,9.9,1975,38,0,0,hi,irr,CntAmer
Central America and Caribbean,root,AgroForestLand_ColEcuaCst,AgroForest_NonPasture_ColEcuaCst,CropLand_ColEcuaCst,biomass_grass_ColEcuaCst,biomass_grass_ColEcuaCst_IRR,biomass_grass_ColEcuaCst_IRR_hi,0.9,10.4,0.9,10.4,1975,44,0,0,hi,irr,ColEcuaCst
Central America and Caribbean,root,AgroForestLand_GrijUsuR,AgroForest_NonPasture_GrijUsuR,CropLand_GrijUsuR,biomass_grass_GrijUsuR,biomass_grass_GrijUsuR_IRR,biomass_grass_GrijUsuR_IRR_hi,0.9,10.5,0.9,10.5,1975,37,0,0,hi,irr,GrijUsuR
Central America and Caribbean,root,AgroForestLand_SAmerCstN,AgroForest_NonPasture_SAmerCstN,CropLand_SAmerCstN,biomass_grass_SAmerCstN,biomass_grass_SAmerCstN_IRR,biomass_grass_SAmerCstN_IRR_hi,0.4,9.2,0.4,9.2,1975,33,0,0,hi,irr,SAmerCstN
Central America and Caribbean,root,AgroForestLand_YucatanP,AgroForest_NonPasture_YucatanP,CropLand_YucatanP,biomass_grass_YucatanP,biomass_grass_YucatanP_IRR,biomass_grass_YucatanP_IRR_hi,0.7,10.1,0.7,10.1,1975,36,0,0,hi,irr,YucatanP
