Central,Case(potential,units:,Ej,price,units:,"$2,007 ",/kWh)
123,1.097398,0.022257,3.126068,0.0591,,,
124,1.822485,0.023296,2.220563,0.0587,,,
125,0.796386,0.04444,1.649231,0.0622,,,
126,0.477536,0.099252,3.071686,0.104,,,
127,0.411733,0.074078,2.274787,0.059,,,
128,1.161927,0.014782,1.81694,0.0569,,,
129,0.521658,0.067445,1.981335,0.0599,,,
130,0.813241,0.044407,2.51947,0.0761,,,
131,0.5968,0.014577,1.508699,0.1067,,,
132,0.622366,0.023554,2.179502,0.0582,,,
133,0.026848,0.132674,2.786116,0.0962,,,
134,0.448224,0.014679,2.227827,0.1104,,,
135,0.206072,0.057101,2.197228,0.067,,,
136,0.039641,0.071124,2.315364,0.1308,,,
137,1.003666,0.017147,2.244853,0.0589,,,
138,0.491319,0.099782,2.728163,0.0703,,,
139,0.981142,0.010772,5.089157,0.0962,,,
140,0.246067,0.059269,1.637671,0.0658,,,
141,0.85776,0.013922,4.191489,0.0703,,,
142,0.33007,0.014476,2.93732,0.1041,,,
143,0.650197,0.037732,2.611445,0.0751,,,
144,0.048107,0.056983,3.18876,0.0839,,,
145,0.196554,0.059461,2.29338,0.1007,,,
146,0.043619,0.035848,1.506922,0.0835,,,
147,0.002169,0.046368,1.525457,0.1721,,,
148,0.263504,0.028164,1.614794,0.162,,,
149,0.100828,0.072112,2.505117,0.059,,,
150,0.375892,0.033535,1.97515,0.1366,,,
151,0.218814,0.0423,2.448302,0.1717,,,
152,0.115049,0.062146,2.054112,0.0635,,,
153,0.532442,0.029562,2.068676,0.0901,,,
154,0.357284,0.053176,2.385507,0.1095,,,
155,0.298401,0.062895,2.275712,0.0834,,,
156,0.151167,0.066653,2.302026,0.0849,,,
157,0.01372,0.018544,0.819731,0.1154,,,
158,0.256564,0.01115,1.431309,0.0726,,,
160,0.559741,0.012361,2.208647,0.101,,,
161,0.345357,0.021724,5.012944,0.1374,,,
162,0.070277,0.032819,1.135409,0.2159,,,
163,0.074527,0.045857,3.412205,0.0713,,,
164,0.315,0.017695,2.069758,0.095,,,
165,0.180119,0.039912,4.092891,0.1327,,,
166,0.100623,0.049653,2.4187,0.0878,,,
167,0.178426,0.036634,2.125141,0.0921,,,
168,0.105885,0.00855,0.924396,0.0569,,,
171,0.013831,0.011571,0.383687,0.1115,,,
172,0.024683,0.033195,1.082533,0.0725,,,
173,0.003302,0.023754,1.452392,0.1825,,,
174,0.083818,0.035928,1.512818,0.1244,,,
176,0.004374,0.061723,2.054253,0.2449,,,
178,0.003978,0.024887,0.694927,0.1231,,,
179,0.00868,0.024743,0.750873,0.091,,,
180,0.028071,0.010081,0.77071,0.112,,,
181,0.016368,0.009522,1.029558,0.0565,,,
184,0.059116,0.0085,2.614837,0.0868,,,
188,0.003797,0.005909,0.535894,0.0808,,,
194,0.000562,0.03871,0.966242,0.1049,,,
198,0.001373,0.025363,2.369646,0.0981,,,
199,0.00469,0.035544,2.755458,0.0875,,,
202,0.006381,0.014565,0.965044,0.0733,,,
216,0.002637,0.003778,3.664645,0.122,,,
222,12.561359,0.035355,4.390131,0.0649,,,
