sector,fuel,technology,supplysector,subsector,stub.technology,EPA_agg_sector,EPA_agg_fuel,EPA_agg_fuel_ghg,EDGAR_agg_sector,RCP_agg_sector,BCOC_agg_sector,BCOC_agg_fuel,MAC_type1,sector_driver
Dairy,Pastoral,Scavenging_Other,Dairy,Pastoral,Scavenging_Other,Dairy,all,all,Animals,,Dairy,all,Manure Management,
electricity generation,biomass,biomass (conv),electricity,biomass,biomass (conv),elec_heat,biomass,biomass,elec_heat,ene,electricity generation,biomass (conv),,
electricity generation,coal,coal (conv pul),electricity,coal,coal (conv pul),elec_heat,coal,coal,elec_heat,ene,electricity generation,coal (conv pul),,
electricity generation,gas,gas (CC),electricity,gas,gas (CC),elec_heat,gas,gas,elec_heat,ene,electricity generation,gas (CC),,
electricity generation,gas,gas (steam/CT),electricity,gas,gas (steam/CT),elec_heat,gas,gas,elec_heat,ene,electricity generation,gas (steam/CT),,
electricity generation,refined liquids,refined liquids (steam/CT),electricity,refined liquids,refined liquids (steam/CT),elec_heat,refined liquids,refined liquids,elec_heat,ene,electricity generation,refined liquids (steam/CT),,
FiberCrop,FiberCropAEZ01,FiberCropAEZ01,FiberCrop,FiberCropAEZ01,FiberCropAEZ01,,,,,,,,N2O,
FiberCrop,FiberCropAEZ02,FiberCropAEZ02,FiberCrop,FiberCropAEZ02,FiberCropAEZ02,,,,,,,,N2O,
FiberCrop,FiberCropAEZ03,FiberCropAEZ03,FiberCrop,FiberCropAEZ03,FiberCropAEZ03,,,,,,,,N2O,
FiberCrop,FiberCropAEZ04,FiberCropAEZ04,FiberCrop,FiberCropAEZ04,FiberCropAEZ04,,,,,,,,N2O,
FiberCrop,FiberCropAEZ05,FiberCropAEZ05,FiberCrop,FiberCropAEZ05,FiberCropAEZ05,,,,,,,,N2O,
FiberCrop,FiberCropAEZ06,FiberCropAEZ06,FiberCrop,FiberCropAEZ06,FiberCropAEZ06,,,,,,,,N2O,
FiberCrop,FiberCropAEZ07,FiberCropAEZ07,FiberCrop,FiberCropAEZ07,FiberCropAEZ07,,,,,,,,N2O,
FiberCrop,FiberCropAEZ08,FiberCropAEZ08,FiberCrop,FiberCropAEZ08,FiberCropAEZ08,,,,,,,,N2O,
FiberCrop,FiberCropAEZ09,FiberCropAEZ09,FiberCrop,FiberCropAEZ09,FiberCropAEZ09,,,,,,,,N2O,
FiberCrop,FiberCropAEZ10,FiberCropAEZ10,FiberCrop,FiberCropAEZ10,FiberCropAEZ10,,,,,,,,N2O,
FiberCrop,FiberCropAEZ11,FiberCropAEZ11,FiberCrop,FiberCropAEZ11,FiberCropAEZ11,,,,,,,,N2O,
FiberCrop,FiberCropAEZ12,FiberCropAEZ12,FiberCrop,FiberCropAEZ12,FiberCropAEZ12,,,,,,,,N2O,
FiberCrop,FiberCropAEZ13,FiberCropAEZ13,FiberCrop,FiberCropAEZ13,FiberCropAEZ13,,,,,,,,N2O,
FiberCrop,FiberCropAEZ14,FiberCropAEZ14,FiberCrop,FiberCropAEZ14,FiberCropAEZ14,,,,,,,,N2O,
FiberCrop,FiberCropAEZ15,FiberCropAEZ15,FiberCrop,FiberCropAEZ15,FiberCropAEZ15,,,,,,,,N2O,
FiberCrop,FiberCropAEZ16,FiberCropAEZ16,FiberCrop,FiberCropAEZ16,FiberCropAEZ16,,,,,,,,N2O,
FiberCrop,FiberCropAEZ17,FiberCropAEZ17,FiberCrop,FiberCropAEZ17,FiberCropAEZ17,,,,,,,,N2O,
FiberCrop,FiberCropAEZ18,FiberCropAEZ18,FiberCrop,FiberCropAEZ18,FiberCropAEZ18,,,,,,,,N2O,
FodderGrass,FodderGrassAEZ01,FodderGrassAEZ01,FodderGrass,FodderGrassAEZ01,FodderGrassAEZ01,,,,,,,,N2O,
FodderGrass,FodderGrassAEZ02,FodderGrassAEZ02,FodderGrass,FodderGrassAEZ02,FodderGrassAEZ02,,,,,,,,N2O,
FodderGrass,FodderGrassAEZ03,FodderGrassAEZ03,FodderGrass,FodderGrassAEZ03,FodderGrassAEZ03,,,,,,,,N2O,
FodderGrass,FodderGrassAEZ04,FodderGrassAEZ04,FodderGrass,FodderGrassAEZ04,FodderGrassAEZ04,,,,,,,,N2O,
FodderGrass,FodderGrassAEZ05,FodderGrassAEZ05,FodderGrass,FodderGrassAEZ05,FodderGrassAEZ05,,,,,,,,N2O,
FodderGrass,FodderGrassAEZ06,FodderGrassAEZ06,FodderGrass,FodderGrassAEZ06,FodderGrassAEZ06,,,,,,,,N2O,
FodderGrass,FodderGrassAEZ07,FodderGrassAEZ07,FodderGrass,FodderGrassAEZ07,FodderGrassAEZ07,,,,,,,,N2O,
FodderGrass,FodderGrassAEZ08,FodderGrassAEZ08,FodderGrass,FodderGrassAEZ08,FodderGrassAEZ08,,,,,,,,N2O,
FodderGrass,FodderGrassAEZ09,FodderGrassAEZ09,FodderGrass,FodderGrassAEZ09,FodderGrassAEZ09,,,,,,,,N2O,
FodderGrass,FodderGrassAEZ10,FodderGrassAEZ10,FodderGrass,FodderGrassAEZ10,FodderGrassAEZ10,,,,,,,,N2O,
FodderGrass,FodderGrassAEZ11,FodderGrassAEZ11,FodderGrass,FodderGrassAEZ11,FodderGrassAEZ11,,,,,,,,N2O,
FodderGrass,FodderGrassAEZ12,FodderGrassAEZ12,FodderGrass,FodderGrassAEZ12,FodderGrassAEZ12,,,,,,,,N2O,
FodderGrass,FodderGrassAEZ13,FodderGrassAEZ13,FodderGrass,FodderGrassAEZ13,FodderGrassAEZ13,,,,,,,,N2O,
FodderGrass,FodderGrassAEZ14,FodderGrassAEZ14,FodderGrass,FodderGrassAEZ14,FodderGrassAEZ14,,,,,,,,N2O,
FodderGrass,FodderGrassAEZ15,FodderGrassAEZ15,FodderGrass,FodderGrassAEZ15,FodderGrassAEZ15,,,,,,,,N2O,
FodderGrass,FodderGrassAEZ16,FodderGrassAEZ16,FodderGrass,FodderGrassAEZ16,FodderGrassAEZ16,,,,,,,,N2O,
FodderGrass,FodderGrassAEZ17,FodderGrassAEZ17,FodderGrass,FodderGrassAEZ17,FodderGrassAEZ17,,,,,,,,N2O,
FodderGrass,FodderGrassAEZ18,FodderGrassAEZ18,FodderGrass,FodderGrassAEZ18,FodderGrassAEZ18,,,,,,,,N2O,
FodderHerb,FodderHerbAEZ01,FodderHerbAEZ01,FodderHerb,FodderHerbAEZ01,FodderHerbAEZ01,,,,,,,,N2O,
FodderHerb,FodderHerbAEZ02,FodderHerbAEZ02,FodderHerb,FodderHerbAEZ02,FodderHerbAEZ02,,,,,,,,N2O,
FodderHerb,FodderHerbAEZ03,FodderHerbAEZ03,FodderHerb,FodderHerbAEZ03,FodderHerbAEZ03,,,,,,,,N2O,
FodderHerb,FodderHerbAEZ04,FodderHerbAEZ04,FodderHerb,FodderHerbAEZ04,FodderHerbAEZ04,,,,,,,,N2O,
FodderHerb,FodderHerbAEZ05,FodderHerbAEZ05,FodderHerb,FodderHerbAEZ05,FodderHerbAEZ05,,,,,,,,N2O,
FodderHerb,FodderHerbAEZ06,FodderHerbAEZ06,FodderHerb,FodderHerbAEZ06,FodderHerbAEZ06,,,,,,,,N2O,
FodderHerb,FodderHerbAEZ07,FodderHerbAEZ07,FodderHerb,FodderHerbAEZ07,FodderHerbAEZ07,,,,,,,,N2O,
FodderHerb,FodderHerbAEZ08,FodderHerbAEZ08,FodderHerb,FodderHerbAEZ08,FodderHerbAEZ08,,,,,,,,N2O,
FodderHerb,FodderHerbAEZ09,FodderHerbAEZ09,FodderHerb,FodderHerbAEZ09,FodderHerbAEZ09,,,,,,,,N2O,
FodderHerb,FodderHerbAEZ10,FodderHerbAEZ10,FodderHerb,FodderHerbAEZ10,FodderHerbAEZ10,,,,,,,,N2O,
FodderHerb,FodderHerbAEZ11,FodderHerbAEZ11,FodderHerb,FodderHerbAEZ11,FodderHerbAEZ11,,,,,,,,N2O,
FodderHerb,FodderHerbAEZ12,FodderHerbAEZ12,FodderHerb,FodderHerbAEZ12,FodderHerbAEZ12,,,,,,,,N2O,
FodderHerb,FodderHerbAEZ13,FodderHerbAEZ13,FodderHerb,FodderHerbAEZ13,FodderHerbAEZ13,,,,,,,,N2O,
FodderHerb,FodderHerbAEZ14,FodderHerbAEZ14,FodderHerb,FodderHerbAEZ14,FodderHerbAEZ14,,,,,,,,N2O,
FodderHerb,FodderHerbAEZ15,FodderHerbAEZ15,FodderHerb,FodderHerbAEZ15,FodderHerbAEZ15,,,,,,,,N2O,
FodderHerb,FodderHerbAEZ16,FodderHerbAEZ16,FodderHerb,FodderHerbAEZ16,FodderHerbAEZ16,,,,,,,,N2O,
FodderHerb,FodderHerbAEZ17,FodderHerbAEZ17,FodderHerb,FodderHerbAEZ17,FodderHerbAEZ17,,,,,,,,N2O,
FodderHerb,FodderHerbAEZ18,FodderHerbAEZ18,FodderHerb,FodderHerbAEZ18,FodderHerbAEZ18,,,,,,,,N2O,
heat,biomass,biomass,district heat,biomass,biomass,elec_heat,biomass,biomass,elec_heat,ene,heat,biomass,,
heat,coal,coal,district heat,coal,coal,elec_heat,coal,coal,elec_heat,ene,heat,coal,,
heat,gas,gas,district heat,gas,gas,elec_heat,gas,gas,elec_heat,ene,heat,gas,,
heat,refined liquids,refined liquids,district heat,refined liquids,refined liquids,elec_heat,refined liquids,refined liquids,elec_heat,ene,heat,refined liquids,,
industrial processes,adipic acid,adipic acid,industrial processes,adipic acid,adipic acid,chemicals,adipic acid,adipic acid,chemicals,,,,AdipicAcid,industry
industrial processes,Al_Mg,Al_Mg,industrial processes,Al_Mg,Al_Mg,metals,all,all,metals,,,,,industry
industrial processes,foams,foams,industrial processes,foams,foams,foams,all,all,foams,,,,,industry
industrial processes,HCFC_22_Prod,HCFC_22_Prod,industrial processes,HCFC_22_Prod,HCFC_22_Prod,industry_processes,HCFC22,HCFC22,industry_processes,,,,,industry
industrial processes,nitric acid,nitric acid,industrial processes,nitric acid,nitric acid,chemicals,nitric acid,nitric acid,chemicals,,,,NitricAcid,industry
industrial processes,other industrial processes,other industrial processes,industrial processes,other industrial processes,other industrial processes,industry_processes,other industrial processes,other industrial processes,industry_processes,,,,,industry
industrial processes,semiconductors,semiconductors,industrial processes,semiconductors,semiconductors,semiconductors,all,all,semiconductors,,,,,industry
industrial processes,solvents,solvents,industrial processes,solvents,solvents,solvents,all,all,solvents,,,,,industry
industry_energy,biomass,biomass,industrial energy use,biomass,biomass,industry_energy,biomass,biomass,industry_energy,ind,industry_energy,biomass,,
industry_energy,coal,coal,industrial energy use,coal,coal,industry_energy,coal,coal,industry_energy,ind,industry_energy,coal,,
industry_energy,gas,gas,industrial energy use,gas,gas,industry_energy,gas,gas,industry_energy,ind,industry_energy,gas,,
industry_energy,refined liquids,refined liquids,industrial energy use,refined liquids,refined liquids,industry_energy,refined liquids,refined liquids,industry_energy,ind,industry_energy,refined liquids,,
MiscCrop,MiscCropAEZ01,MiscCropAEZ01,MiscCrop,MiscCropAEZ01,MiscCropAEZ01,,,,,,,,N2O,
MiscCrop,MiscCropAEZ02,MiscCropAEZ02,MiscCrop,MiscCropAEZ02,MiscCropAEZ02,,,,,,,,N2O,
MiscCrop,MiscCropAEZ03,MiscCropAEZ03,MiscCrop,MiscCropAEZ03,MiscCropAEZ03,,,,,,,,N2O,
MiscCrop,MiscCropAEZ04,MiscCropAEZ04,MiscCrop,MiscCropAEZ04,MiscCropAEZ04,,,,,,,,N2O,
MiscCrop,MiscCropAEZ05,MiscCropAEZ05,MiscCrop,MiscCropAEZ05,MiscCropAEZ05,,,,,,,,N2O,
MiscCrop,MiscCropAEZ06,MiscCropAEZ06,MiscCrop,MiscCropAEZ06,MiscCropAEZ06,,,,,,,,N2O,
MiscCrop,MiscCropAEZ07,MiscCropAEZ07,MiscCrop,MiscCropAEZ07,MiscCropAEZ07,,,,,,,,N2O,
MiscCrop,MiscCropAEZ08,MiscCropAEZ08,MiscCrop,MiscCropAEZ08,MiscCropAEZ08,,,,,,,,N2O,
MiscCrop,MiscCropAEZ09,MiscCropAEZ09,MiscCrop,MiscCropAEZ09,MiscCropAEZ09,,,,,,,,N2O,
MiscCrop,MiscCropAEZ10,MiscCropAEZ10,MiscCrop,MiscCropAEZ10,MiscCropAEZ10,,,,,,,,N2O,
MiscCrop,MiscCropAEZ11,MiscCropAEZ11,MiscCrop,MiscCropAEZ11,MiscCropAEZ11,,,,,,,,N2O,
MiscCrop,MiscCropAEZ12,MiscCropAEZ12,MiscCrop,MiscCropAEZ12,MiscCropAEZ12,,,,,,,,N2O,
MiscCrop,MiscCropAEZ13,MiscCropAEZ13,MiscCrop,MiscCropAEZ13,MiscCropAEZ13,,,,,,,,N2O,
MiscCrop,MiscCropAEZ14,MiscCropAEZ14,MiscCrop,MiscCropAEZ14,MiscCropAEZ14,,,,,,,,N2O,
MiscCrop,MiscCropAEZ15,MiscCropAEZ15,MiscCrop,MiscCropAEZ15,MiscCropAEZ15,,,,,,,,N2O,
MiscCrop,MiscCropAEZ16,MiscCropAEZ16,MiscCrop,MiscCropAEZ16,MiscCropAEZ16,,,,,,,,N2O,
MiscCrop,MiscCropAEZ17,MiscCropAEZ17,MiscCrop,MiscCropAEZ17,MiscCropAEZ17,,,,,,,,N2O,
MiscCrop,MiscCropAEZ18,MiscCropAEZ18,MiscCrop,MiscCropAEZ18,MiscCropAEZ18,,,,,,,,N2O,
N fertilizer,coal,coal,N fertilizer,coal,coal,industry_energy,coal,coal,industry_energy,ind,industry_energy,coal,,
N fertilizer,gas,gas,N fertilizer,gas,gas,industry_energy,gas,gas,industry_energy,ind,industry_energy,gas,,
N fertilizer,refined liquids,refined liquids,N fertilizer,refined liquids,refined liquids,industry_energy,refined liquids,refined liquids,industry_energy,ind,industry_energy,refined liquids,,
OilCrop,OilCropAEZ01,OilCropAEZ01,OilCrop,OilCropAEZ01,OilCropAEZ01,,,,,,,,N2O,
OilCrop,OilCropAEZ02,OilCropAEZ02,OilCrop,OilCropAEZ02,OilCropAEZ02,,,,,,,,N2O,
OilCrop,OilCropAEZ03,OilCropAEZ03,OilCrop,OilCropAEZ03,OilCropAEZ03,,,,,,,,N2O,
OilCrop,OilCropAEZ04,OilCropAEZ04,OilCrop,OilCropAEZ04,OilCropAEZ04,,,,,,,,N2O,
OilCrop,OilCropAEZ05,OilCropAEZ05,OilCrop,OilCropAEZ05,OilCropAEZ05,,,,,,,,N2O,
OilCrop,OilCropAEZ06,OilCropAEZ06,OilCrop,OilCropAEZ06,OilCropAEZ06,,,,,,,,N2O,
OilCrop,OilCropAEZ07,OilCropAEZ07,OilCrop,OilCropAEZ07,OilCropAEZ07,,,,,,,,N2O,
OilCrop,OilCropAEZ08,OilCropAEZ08,OilCrop,OilCropAEZ08,OilCropAEZ08,,,,,,,,N2O,
OilCrop,OilCropAEZ09,OilCropAEZ09,OilCrop,OilCropAEZ09,OilCropAEZ09,,,,,,,,N2O,
OilCrop,OilCropAEZ10,OilCropAEZ10,OilCrop,OilCropAEZ10,OilCropAEZ10,,,,,,,,N2O,
OilCrop,OilCropAEZ11,OilCropAEZ11,OilCrop,OilCropAEZ11,OilCropAEZ11,,,,,,,,N2O,
OilCrop,OilCropAEZ12,OilCropAEZ12,OilCrop,OilCropAEZ12,OilCropAEZ12,,,,,,,,N2O,
OilCrop,OilCropAEZ13,OilCropAEZ13,OilCrop,OilCropAEZ13,OilCropAEZ13,,,,,,,,N2O,
OilCrop,OilCropAEZ14,OilCropAEZ14,OilCrop,OilCropAEZ14,OilCropAEZ14,,,,,,,,N2O,
OilCrop,OilCropAEZ15,OilCropAEZ15,OilCrop,OilCropAEZ15,OilCropAEZ15,,,,,,,,N2O,
OilCrop,OilCropAEZ16,OilCropAEZ16,OilCrop,OilCropAEZ16,OilCropAEZ16,,,,,,,,N2O,
OilCrop,OilCropAEZ17,OilCropAEZ17,OilCrop,OilCropAEZ17,OilCropAEZ17,,,,,,,,N2O,
OilCrop,OilCropAEZ18,OilCropAEZ18,OilCrop,OilCropAEZ18,OilCropAEZ18,,,,,,,,N2O,
OtherGrain,OtherGrainAEZ01,OtherGrainAEZ01,OtherGrain,OtherGrainAEZ01,OtherGrainAEZ01,,,,,,,,N2O,
OtherGrain,OtherGrainAEZ02,OtherGrainAEZ02,OtherGrain,OtherGrainAEZ02,OtherGrainAEZ02,,,,,,,,N2O,
OtherGrain,OtherGrainAEZ03,OtherGrainAEZ03,OtherGrain,OtherGrainAEZ03,OtherGrainAEZ03,,,,,,,,N2O,
OtherGrain,OtherGrainAEZ04,OtherGrainAEZ04,OtherGrain,OtherGrainAEZ04,OtherGrainAEZ04,,,,,,,,N2O,
OtherGrain,OtherGrainAEZ05,OtherGrainAEZ05,OtherGrain,OtherGrainAEZ05,OtherGrainAEZ05,,,,,,,,N2O,
OtherGrain,OtherGrainAEZ06,OtherGrainAEZ06,OtherGrain,OtherGrainAEZ06,OtherGrainAEZ06,,,,,,,,N2O,
OtherGrain,OtherGrainAEZ07,OtherGrainAEZ07,OtherGrain,OtherGrainAEZ07,OtherGrainAEZ07,,,,,,,,N2O,
OtherGrain,OtherGrainAEZ08,OtherGrainAEZ08,OtherGrain,OtherGrainAEZ08,OtherGrainAEZ08,,,,,,,,N2O,
OtherGrain,OtherGrainAEZ09,OtherGrainAEZ09,OtherGrain,OtherGrainAEZ09,OtherGrainAEZ09,,,,,,,,N2O,
OtherGrain,OtherGrainAEZ10,OtherGrainAEZ10,OtherGrain,OtherGrainAEZ10,OtherGrainAEZ10,,,,,,,,N2O,
OtherGrain,OtherGrainAEZ11,OtherGrainAEZ11,OtherGrain,OtherGrainAEZ11,OtherGrainAEZ11,,,,,,,,N2O,
OtherGrain,OtherGrainAEZ12,OtherGrainAEZ12,OtherGrain,OtherGrainAEZ12,OtherGrainAEZ12,,,,,,,,N2O,
OtherGrain,OtherGrainAEZ13,OtherGrainAEZ13,OtherGrain,OtherGrainAEZ13,OtherGrainAEZ13,,,,,,,,N2O,
OtherGrain,OtherGrainAEZ14,OtherGrainAEZ14,OtherGrain,OtherGrainAEZ14,OtherGrainAEZ14,,,,,,,,N2O,
OtherGrain,OtherGrainAEZ15,OtherGrainAEZ15,OtherGrain,OtherGrainAEZ15,OtherGrainAEZ15,,,,,,,,N2O,
OtherGrain,OtherGrainAEZ16,OtherGrainAEZ16,OtherGrain,OtherGrainAEZ16,OtherGrainAEZ16,,,,,,,,N2O,
OtherGrain,OtherGrainAEZ17,OtherGrainAEZ17,OtherGrain,OtherGrainAEZ17,OtherGrainAEZ17,,,,,,,,N2O,
OtherGrain,OtherGrainAEZ18,OtherGrainAEZ18,OtherGrain,OtherGrainAEZ18,OtherGrainAEZ18,,,,,,,,N2O,
PalmFruit,PalmFruitAEZ01,PalmFruitAEZ01,PalmFruit,PalmFruitAEZ01,PalmFruitAEZ01,,,,,,,,N2O,
PalmFruit,PalmFruitAEZ02,PalmFruitAEZ02,PalmFruit,PalmFruitAEZ02,PalmFruitAEZ02,,,,,,,,N2O,
PalmFruit,PalmFruitAEZ03,PalmFruitAEZ03,PalmFruit,PalmFruitAEZ03,PalmFruitAEZ03,,,,,,,,N2O,
PalmFruit,PalmFruitAEZ04,PalmFruitAEZ04,PalmFruit,PalmFruitAEZ04,PalmFruitAEZ04,,,,,,,,N2O,
PalmFruit,PalmFruitAEZ05,PalmFruitAEZ05,PalmFruit,PalmFruitAEZ05,PalmFruitAEZ05,,,,,,,,N2O,
PalmFruit,PalmFruitAEZ06,PalmFruitAEZ06,PalmFruit,PalmFruitAEZ06,PalmFruitAEZ06,,,,,,,,N2O,
PalmFruit,PalmFruitAEZ07,PalmFruitAEZ07,PalmFruit,PalmFruitAEZ07,PalmFruitAEZ07,,,,,,,,N2O,
PalmFruit,PalmFruitAEZ08,PalmFruitAEZ08,PalmFruit,PalmFruitAEZ08,PalmFruitAEZ08,,,,,,,,N2O,
PalmFruit,PalmFruitAEZ09,PalmFruitAEZ09,PalmFruit,PalmFruitAEZ09,PalmFruitAEZ09,,,,,,,,N2O,
PalmFruit,PalmFruitAEZ10,PalmFruitAEZ10,PalmFruit,PalmFruitAEZ10,PalmFruitAEZ10,,,,,,,,N2O,
PalmFruit,PalmFruitAEZ11,PalmFruitAEZ11,PalmFruit,PalmFruitAEZ11,PalmFruitAEZ11,,,,,,,,N2O,
