# File: basin_to_country_mapping.csv
# Title: Mapping between basins, countries, and GLUs
# Units: NA
# Comments: Basin assigned to the country which has the largest basin area.
# Source: NA
# Column types: iccccici
# ----------
GCAM_basin_ID,Basin_long_name,GLU_code,GLU_name,ISO,ISO_NUM,Country_name,desal
31,Elbe,GLU031,ElbeR,DEU,276,Germany,0
32,Rhine,GLU032,RhineR,DEU,276,Germany,0
33,Poland_Coast,GLU033,PolandCst,POL,616,Poland,1
34,Churchill,GLU034,ChurchillR,CAN,124,Canada,1
35,Neman,GLU035,NemanR,LTU,440,Lithuania,0
36,Scheldt,GLU036,ScheldtR,BEL,56,Belgium,0
37,Russia_South_East_Coast,GLU037,RusCstSE,RUS,643,Russian Federation,1
38,Ural,GLU038,UralR,RUS,643,Russian Federation,0
39,Dnieper,GLU039,DnieperR,UKR,804,Ukraine,0
40,St_Lawrence,GLU040,StLwrncR,CAN,124,Canada,0
41,France_West_Coast,GLU041,FranceCstW,FRA,250,France,1
42,Gobi_Interior,GLU042,Gobi,CHN,156,China,0
43,Amur,GLU043,AmurR,RUS,643,Russian Federation,0
44,Loire,GLU044,LoireR,FRA,250,France,0
45,Caspian_Sea_Coast,GLU045,CaspianNE,KAZ,398,Kazakhstan,1
46,Seine,GLU046,SeineR,FRA,250,France,0
47,Black_Sea_North_Coast,GLU047,BlackSeaN,UKR,804,Ukraine,0
48,Yenisei,GLU048,YeniseiR,RUS,643,Russian Federation,0
49,Dniester,GLU049,DniesterR,UKR,804,Ukraine,0
50,Italy_East_Coast,GLU050,ItalyCstE,ITA,380,Italy,1
51,Japan,GLU051,Japan,JPN,392,Japan,1
52,Caspian_Sea_East_Coast,GLU052,CaspianE,TKM,795,Turkmenistan,1
53,Don,GLU053,DonR,RUS,643,Russian Federation,0
54,Danube,GLU054,DanubeR,ROM,642,Romania,0
55,Adriatic_Sea_Greece_Black_Sea_Coast,GLU055,AdrBlkSea,GRC,300,Greece,1
56,Ob,GLU056,ObR,RUS,643,Russian Federation,0
57,Po,GLU057,PoR,ITA,380,Italy,0
58,Amu_Darya,GLU058,AmuDaryaR,UZB,860,Uzbekistan,0
59,Italy_West_Coast,GLU059,ItalyCstW,ITA,380,Italy,1
60,Spain_Portugal_Atlantic_Coast,GLU060,IberiaCst,ESP,724,Spain,1
61,France_South_Coast,GLU061,FranceCstS,FRA,250,France,1
62,Rhone,GLU062,RhoneR,FRA,250,France,0
63,Mediterranean_Sea_Islands,GLU063,MeditIsl,ITA,380,Italy,1
64,Gironde,GLU064,Gironde,FRA,250,France,0
65,North_and_South_Korea,GLU065,Korea,KOR,410,"Korea, Republic of",1
66,Bo_Hai_Korean_Bay_North_Coast,GLU066,BoHai,CHN,156,China,1
67,Spain_South_and_East_Coast,GLU067,SpainCstSE,ESP,724,Spain,1
68,Lake_Balkash,GLU068,LBalkash,KAZ,398,Kazakhstan,0
69,Tiber,GLU069,TiberR,ITA,380,Italy,1
70,Black_Sea_South_Coast,GLU070,BlackSeaS,TUR,792,Turkey,1
71,Tagus,GLU071,TagusR,ESP,724,Spain,0
72,Caspian_Sea_South_West_Coast,GLU072,CaspianSW,IRN,364,"Iran, Islamic Republic of",1
73,Ebro,GLU073,EbroR,ESP,724,Spain,0
74,Douro,GLU074,DouroR,ESP,724,Spain,0
75,Mediterranean_Sea_East_Coast,GLU075,MeditE,TUR,792,Turkey,1
76,Syr_Darya,GLU076,SyrDaryaR,KAZ,398,Kazakhstan,0
77,Ziya_He_Interior,GLU077,ZiyaHe,CHN,156,China,0
78,China_Coast,GLU078,ChinaCst,CHN,156,China,1
79,Huang_He,GLU079,HuangHeR,CHN,156,China,0
80,Mediterranean_South_Coast,GLU080,MeditS,LBY,434,Libyan Arab Jamahiriya,1
81,Guadiana,GLU081,GuadianaR,ESP,724,Spain,0
82,Central_Iran,GLU082,Iran,IRN,364,"Iran, Islamic Republic of",0
83,Guadalquivir,GLU083,GuadalqR,ESP,724,Spain,0
84,Tigris_Euphrates,GLU084,TigrEuphR,IRQ,368,Iraq,0
85,Tarim_Interior,GLU085,Tarim,CHN,156,China,0
86,Africa_North_West_Coast,GLU086,AfrCstNW,MAR,504,Morocco,1
87,Nile,GLU087,NileR,SDN,736,Sudan,0
88,Persian_Gulf_Coast,GLU088,PersianGulf,IRN,364,"Iran, Islamic Republic of",1
89,Indus,GLU089,IndusR,PAK,586,Pakistan,1
90,Farahrud,GLU090,FarahrudR,AFG,4,Afghanistan,0
91,Baja_California,GLU091,MexBaja,MEX,484,Mexico,1
92,Plateau_of_Tibet_Interior,GLU092,Tibet,CHN,156,China,0
93,Red_Sea_East_Coast,GLU093,RedSeaE,SAU,682,Saudi Arabia,1
94,Arabian_Peninsula,GLU094,ArabianP,SAU,682,Saudi Arabia,1
95,Dead_Sea,GLU095,DeadSea,JOR,400,Jordan,1
96,Mexico_Northwest_Coast,GLU096,MexCstNW,MEX,484,Mexico,1
97,Helmand,GLU097,Helmand,AFG,4,Afghanistan,0
98,Sinai_Peninsula,GLU098,SinaiP,EGY,818,Egypt,1
99,Eastern_Jordan_Syria,GLU099,EJrdnSyr,SAU,682,Saudi Arabia,1
100,Africa_Red_Sea_Gulf_of_Aden_Coast,GLU100,AfrCstNE,SOM,706,Somalia,1
101,Caribbean,GLU101,Caribbean,CUB,192,Cuba,1
102,HamuniMashkel,GLU102,HamuMashR,PAK,586,Pakistan,0
103,Taiwan,GLU103,Taiwan,TWN,158,Taiwan,0
104,Arabian_Sea_Coast,GLU104,ArabianSea,PAK,586,Pakistan,1
105,North_Gulf,GLU105,MexGulf,MEX,484,Mexico,1
106,Yangtze,GLU106,Yangtze,CHN,156,China,0
107,Sabarmati,GLU107,SabarmatiR,IND,356,India,1
108,Xun_Jiang,GLU108,XunJiang,CHN,156,China,0
109,Hong_(Red_River),GLU109,Hong,VNM,704,Viet Nam,0
110,Ganges_Bramaputra,GLU110,GangesR,IND,356,India,0
111,Yucatan_Peninsula,GLU111,YucatanP,MEX,484,Mexico,0
112,South_China_Sea_Coast,GLU112,SChinaSea,CHN,156,China,1
113,Mahi,GLU113,MahiR,IND,356,India,0
114,Mexico_Interior,GLU114,MexInt,MEX,484,Mexico,0
115,Pacific_Central_Coast,GLU115,MexCstW,MEX,484,Mexico,1
116,Bay_of_Bengal_North_East_Coast,GLU116,BengalBay,MMR,104,Myanmar,1
117,Tapti,GLU117,TaptiR,IND,356,India,0
118,Yasai,GLU118,BengalW,IND,356,India,0
119,Philippines,GLU119,Phlppns,PHL,608,Philippines,0
120,Brahmani,GLU120,BrahmaniR,IND,356,India,0
121,North_Marina_Islands_and_Guam,GLU121,Guam,GUM,316,Guam,0
122,Mahanadi,GLU122,MahanadiR,IND,356,India,0
123,Godavari,GLU123,GodavariR,IND,356,India,0
124,Hainan,GLU124,Hainan,CHN,156,China,0
125,Mekong,GLU125,Mekong,LAO,418,Lao Peoples Democratic Republic,0
126,Viet_Nam_Coast,GLU126,VietnamCst,VNM,704,Viet Nam,0
127,Salween,GLU127,Salween,CHN,156,China,0
128,India_North_East_Coast,GLU128,IndCstNE,IND,356,India,1
129,India_West_Coast,GLU129,IndCstW,IND,356,India,1
130,Papaloapan,GLU130,Papaloapan,MEX,484,Mexico,1
131,Rio_Lerma,GLU131,RioLerma,MEX,484,Mexico,0
132,Rio_Verde,GLU132,RioVerde,MEX,484,Mexico,0
133,Grijalva_Usumacinta,GLU133,GrijUsuR,MEX,484,Mexico,1
134,Rio_Balsas,GLU134,RioBalsas,MEX,484,Mexico,0
135,Southern_Central_America,GLU135,CntAmer,NIC,558,Nicaragua,1
136,Isthmus_of_Tehuantepec,GLU136,Tehuantpc,MEX,484,Mexico,1
137,Irrawaddy,GLU137,IrrawaddyR,MMR,104,Myanmar,0
138,Sittaung,GLU138,SittaungR,MMR,104,Myanmar,0
139,Peninsula_Malaysia,GLU139,MalaysiaP,MYS,458,Malaysia,1
140,Krishna,GLU140,KrishnaR,IND,356,India,0
141,Andaman_Nicobar_Islands,GLU141,AdnNicIsl,IND,356,India,0
142,Africa_West_Coast,GLU142,AfrCstW,CIV,384,Cote dIvoire,1
143,Caribbean_Coast,GLU143,SAmerCstN,VEN,862,Venezuela,1
144,Africa_North_Interior,GLU144,AfrIntN,DZA,12,Algeria,0
145,India_East_Coast,GLU145,IndCstE,IND,356,India,1
146,Chao_Phraya,GLU146,ChaoPhrR,THA,764,Thailand,0
147,Pennar,GLU147,PennarR,IND,356,India,0
148,Gulf_of_Thailand_Coast,GLU148,ThaiGulf,THA,764,Thailand,0
149,Niger,GLU149,NigerR,MLI,466,Mali,1
150,Micronesia,GLU150,Micronesia,FSM,583,"Micronesia, Federated States of",0
151,Lake_Chad,GLU151,LChad,TCD,148,Chad,0
152,Senegal,GLU152,SenegalR,MRT,478,Mauritania,1
153,Cauvery,GLU153,CauveryR,IND,356,India,0
154,Sri_Lanka,GLU154,SriLanka,LKA,144,Sri Lanka,0
155,India_South_Coast,GLU155,IndCstS,IND,356,India,1
156,Orinoco,GLU156,OrinocoR,BRA,76,Brazil,0
157,Colombia_Ecuador_Pacific_Coast,GLU157,ColEcuaCst,ECU,218,Ecuador,1
158,Palau_and_East_Indonesia,GLU158,IdnE,IDN,360,Indonesia,0
159,North_Borneo_Coast,GLU159,BorneoCstN,MYS,458,Malaysia,1
160,Volta,GLU160,VoltaR,BFA,854,Burkina Faso,0
161,Northeast_South_America_South_Atlantic_Coast,GLU161,SAmerCstNE,GUY,328,Guyana,1
162,Gulf_of_Guinea,GLU162,GuineaGulf,GAB,266,Gabon,1
163,Sumatra,GLU163,Sumatra,IDN,360,Indonesia,0
164,Sulawesi,GLU164,Sulawesi,IDN,360,Indonesia,0
165,Kalimantan,GLU165,Kalimantan,IDN,360,Indonesia,0
166,Magdalena,GLU166,MagdalenaR,COL,170,Colombia,0
167,Irian_Jaya_Coast,GLU167,IrianJaya,IDN,360,Indonesia,1
168,Amazon,GLU168,AmazonR,BRA,76,Brazil,0
169,South_Chile_Pacific_Coast,GLU169,ChileCstS,CHL,152,Chile,1
170,Shebelli_Juba,GLU170,ShebJubR,ETH,231,Ethiopia,0
171,Africa_East_Central_Coast,GLU171,AfrCstE,TZA,834,Tanzania,1
172,North_Brazil_South_Atlantic_Coast,GLU172,BrzCstN,BRA,76,Brazil,1
173,Papua_New_Guinea_Coast,GLU173,PapuaCst,PNG,598,Papua New Guinea,0
174,Tocantins,GLU174,TocantinsR,BRA,76,Brazil,0
175,Java_Timor,GLU175,JavaTimor,IDN,360,Indonesia,1
176,Solomon_Islands,GLU176,SolomonIsl,SLB,90,Solomon Islands,0
177,Madagascar,GLU177,Madagascar,MDG,450,Madagascar,1
178,Sepik,GLU178,SepikR,PNG,598,Papua New Guinea,0
179,Rift_Valley,GLU179,RiftValley,ETH,231,Ethiopia,0
180,Peru_Pacific_Coast,GLU180,PeruCst,PER,604,Peru,1
181,Fly,GLU181,FlyR,PNG,598,Papua New Guinea,0
182,Angola_Coast,GLU182,AngolaCst,AGO,24,Angola,1
183,Congo,GLU183,CongoR,COD,180,"Congo, The Democratic Republic of the",0
184,Australia_North_Coast,GLU184,AusCstN,AUS,36,Australia,1
185,South_Pacific_Islands,GLU185,NewCaledn,NCL,540,New Caledonia,0
186,East_Brazil_South_Atlantic_Coast,GLU186,BrzCstE,BRA,76,Brazil,1
187,Parnaiba,GLU187,ParnaibaR,BRA,76,Brazil,0
188,Zambezi,GLU188,ZambeziR,ZMB,894,Zambia,0
189,Australia_East_Coast,GLU189,AusCstE,AUS,36,Australia,1
190,Africa_Indian_Ocean_Coast,GLU190,AfrCstSE,MOZ,508,Mozambique,0
191,Australia_West_Coast,GLU191,AusCstW,AUS,36,Australia,1
192,Sao_Francisco,GLU192,SaoFrancR,BRA,76,Brazil,0
193,Australia_Interior,GLU193,AusInt,AUS,36,Australia,0
194,Orange,GLU194,OrangeR,ZAF,710,South Africa,0
195,Uruguay_Brazil_South_Atlantic_Coast,GLU195,BrzCstS,BRA,76,Brazil,1
196,Namibia_Coast,GLU196,AfrCstSW,NAM,516,Namibia,1
197,Africa_South_Interior,GLU197,AfrIntS,BWA,72,Botswana,0
198,South_Africa_South_Coast,GLU198,AfrCstS,ZAF,710,South Africa,1
199,Limpopo,GLU199,LimpopoR,ZAF,710,South Africa,0
200,La_Puna_Region,GLU200,LaPuna,BOL,68,Bolivia,1
201,New_Zealand,GLU201,NewZealand,NZL,554,New Zealand,0
202,Australia_South_Coast,GLU202,AusCstS,AUS,36,Australia,1
203,Mar_Chiquita,GLU203,MarChiq,ARG,32,Argentina,1
204,South_Africa_West_Coast,GLU204,AfrCstSSW,ZAF,710,South Africa,1
205,Salinas_Grandes,GLU205,Salinas,ARG,32,Argentina,1
206,La_Plata,GLU206,RioLaPlata,BRA,76,Brazil,0
207,North_Chile_Pacific_Coast,GLU207,ChileCstN,CHL,152,Chile,1
208,Murray_Darling,GLU208,MurrayDrlg,AUS,36,Australia,1
209,Pampas_Region,GLU209,Pampas,ARG,32,Argentina,1
210,North_Argentina_South_Atlantic_Coast,GLU210,ArgCstN,ARG,32,Argentina,1
211,Tasmania,GLU211,Tasmania,AUS,36,Australia,0
212,South_America_Colorado,GLU212,ArgColoR,ARG,32,Argentina,1
213,Negro,GLU213,NegroR,ARG,32,Argentina,0
214,Central_Patagonia_Highlands,GLU214,Patagonia,ARG,32,Argentina,0
215,South_Argentina_South_Atlantic_Coast,GLU215,ArgCstS,ARG,32,Argentina,1
216,Antarctica,GLU216,Antarctica,ATF,260,French Southern Territories,0
217,California_River_Basin,GLU217,California,USA,840,United States,1
218,Upper_Mississippi_Basin,GLU218,MissppRN,USA,840,United States,0
219,Lower_Mississippi_River_Basin,GLU219,MissppRS,USA,840,United States,0
220,Upper_Colorado_River_Basin,GLU220,UsaColoRN,USA,840,United States,0
221,Lower_Colorado_River_Basin,GLU221,UsaColoRS,USA,840,United States,1
222,Great_Basin,GLU222,GreatBasin,USA,840,United States,0
223,Missouri_River_Basin,GLU223,MissouriR,USA,840,United States,0
224,Arkansas_White_Red_Basin,GLU224,ArkWhtRedR,USA,840,United States,0
225,Texas_Gulf_Coast_Basin,GLU225,TexasCst,USA,840,United States,1
226,South_Atlantic_Gulf_Basin,GLU226,UsaCstSE,USA,840,United States,1
227,Great_Lakes_Basin,GLU227,GreatLakes,CAN,124,Canada,0
228,Ohio_River_Basin,GLU228,OhioR,USA,840,United States,0
229,Pacific_Northwest_Basin,GLU229,UsaPacNW,USA,840,United States,0
230,Tennessee_River_Basin,GLU230,TennR,USA,840,United States,0
231,Rio_Grande_River_Basin,GLU231,RioGrande,USA,840,United States,1
232,New_England_Basin,GLU232,UsaCstNE,USA,840,United States,0
233,Mid_Atlantic_Basin,GLU233,UsaCstE,USA,840,United States,0
234,Hawaii,GLU234,Hawaii,USA,840,United States,0
235,Narmada,GLU235,NarmadaR,IND,356,India,0
