# File: MOVES_motorcycle_data.csv
# Title: Emissions and Distance data for motorcycles to be used for EF calculations
# Units: emissions are in g/year (mass) and distance is in miles
# Source: EPA-ORD Dan Loughlin using MOVES 3.0. Ran 4 month per year one county per state chosen at random
# Column types: nnnnnnnnnnnnn
# ----------
Year,State,ModelYr,NH3,CO,CH4,N2O,NOx,Total_PM10,Total_PM25,SO2,VOC,Distance
2010,4,1980,1429,4505983,91757,262,50931,9155,8098,1327,1490745,81652
2010,4,1981,218,513998,5985,40,14611,289,256,202,169481,12455
2010,4,1982,241,568002,6614,44,16146,319,283,224,177558,13764
2010,4,1983,266,626371,7291,49,17815,352,312,247,188319,15187
2010,4,1984,299,705479,8212,55,20065,397,351,278,200911,17105
2010,4,1985,341,804593,9366,63,22884,453,400,317,216445,19508
2010,4,1986,412,706066,5998,76,23293,547,484,383,218520,23567
2010,4,1987,315,539841,4585,58,17803,418,370,293,159397,18012
2010,4,1988,268,459153,3898,49,15136,355,314,249,129774,15314
2010,4,1989,278,477013,4047,51,15717,369,326,258,132024,15902
2010,4,1990,260,445815,3782,48,14683,345,305,241,120922,14855
2010,4,1991,354,445449,3777,48,14664,344,305,270,98641,14836
2010,4,1992,448,563388,4775,60,18538,435,385,346,121961,18756
2010,4,1993,643,809278,6856,86,26615,625,553,503,170524,26928
2010,4,1994,753,899908,7920,101,31634,732,648,597,194201,31554
2010,4,1995,943,1128312,9925,127,39641,917,812,759,237630,39541
2010,4,1996,1198,1433792,12605,128,50346,1165,1031,976,258419,50219
2010,4,1997,1393,1667502,14651,148,58518,1354,1198,1149,285669,58370
2010,4,1998,1813,2172234,19074,193,76186,1763,1560,1515,321191,75993
2010,4,1999,2591,3106060,27257,276,108867,2520,2229,2204,437451,108592
2010,4,2000,3659,4388582,38487,390,153722,3558,3147,3112,601136,153333
2010,4,2001,4899,6535988,54091,522,238521,4867,4305,4168,782476,205334
2010,4,2002,6313,8422038,69700,672,307350,6272,5548,5370,980588,264587
2010,4,2003,8483,11316933,93658,904,412994,8427,7455,7216,1278069,355532
2010,4,2004,8599,8354848,66560,916,343001,8542,7556,7314,1086160,360371
2010,4,2005,11654,11323459,90210,1241,464875,11577,10241,9913,1414385,488416
2010,4,2006,35911,14131757,112443,1549,580073,14448,12781,12372,1686916,609547
2010,4,2007,42751,16823598,133861,1844,690567,17200,15216,14728,1908521,725655
2010,4,2008,41972,10534891,76368,1811,633705,16887,14938,14460,1437218,712434
2010,4,2009,44981,11290036,81842,1940,679129,18097,16009,15496,1404614,763501
2010,4,2010,37027,9292138,67360,1597,559043,14897,13178,12756,994509,628497
2010,5,1980,203,596791,11688,32,6242,1235,1092,180,203205,10966
2010,5,1981,31,68178,764,5,1790,39,34,27,23492,1673
2010,5,1982,34,75341,844,5,1978,43,38,30,24560,1849
2010,5,1983,38,83042,930,6,2182,48,42,33,26002,2040
2010,5,1984,42,93529,1048,7,2458,54,47,38,27676,2297
2010,5,1985,48,106669,1195,8,2803,61,54,43,29738,2620
2010,5,1986,59,93190,762,9,2853,74,65,52,30263,3165
2010,5,1987,45,71244,582,7,2180,56,50,40,22034,2419
2010,5,1988,38,60588,495,6,1854,48,42,34,17907,2057
2010,5,1989,39,62937,514,6,1925,50,44,35,18201,2136
2010,5,1990,37,58814,481,6,1798,46,41,33,16657,1995
2010,5,1991,50,58758,480,6,1796,46,41,37,12634,1993
2010,5,1992,64,74306,607,7,2270,59,52,48,15613,2519
2010,5,1993,91,106722,871,11,3260,84,75,70,21816,3617
2010,5,1994,107,118666,1007,12,3874,99,87,83,24831,4238
2010,5,1995,134,148762,1262,16,4855,124,109,105,30366,5311
2010,5,1996,170,189009,1602,16,6166,157,139,135,32172,6745
2010,5,1997,198,219783,1862,18,7166,183,162,159,35625,7839
2010,5,1998,257,286262,2425,24,9330,238,210,210,39091,10206
2010,5,1999,368,409253,3465,34,13332,340,301,305,52963,14585
2010,5,2000,519,578137,4892,48,18826,480,424,431,72807,20594
2010,5,2001,695,883058,6904,64,29157,672,595,577,94356,27578
2010,5,2002,896,1137878,8897,83,37571,866,766,743,118340,35535
2010,5,2003,1204,1528997,11955,111,50485,1164,1030,999,154380,47750
2010,5,2004,1220,1129056,8504,112,41936,1180,1044,1013,130344,48400
2010,5,2005,1654,1530227,11525,152,56836,1599,1414,1372,169896,65597
2010,5,2006,5096,1909732,14342,190,70907,1995,1765,1713,202718,81866
2010,5,2007,6067,2273503,17074,226,84414,2376,2101,2039,229648,97460
2010,5,2008,5956,1426486,9812,222,77499,2332,2063,2002,171543,95684
2010,5,2009,6383,1528733,10515,238,83054,2499,2211,2145,167948,102542
2010,5,2010,5254,1257995,8653,196,68368,2057,1820,1766,119289,84411
2010,6,1980,257,604693,12528,42,9217,1603,1418,17,162440,14656
2010,6,1981,39,69246,821,6,2643,51,45,3,17402,2236
2010,6,1982,43,76522,908,7,2920,56,49,3,18326,2471
2010,6,1983,48,84274,999,8,3222,62,55,3,19502,2726
2010,6,1984,54,94918,1125,9,3629,69,61,4,20925,3070
2010,6,1985,61,108253,1283,10,4139,79,70,4,22685,3502
2010,6,1986,74,93917,815,12,4215,96,85,5,22021,4230
2010,6,1987,57,71790,623,9,3221,73,65,4,16122,3233
2010,6,1988,48,61044,530,8,2739,62,55,3,13173,2749
2010,6,1989,50,63400,550,8,2844,65,57,3,13425,2854
2010,6,1990,47,59237,515,8,2657,60,53,3,12321,2666
2010,6,1991,64,59171,514,8,2653,60,53,3,9263,2663
2010,6,1992,80,74816,650,10,3354,76,67,4,11488,3367
2010,6,1993,116,107435,933,14,4816,109,97,6,16122,4833
2010,6,1994,135,142765,1195,16,5674,128,113,8,19094,5664
2010,6,1995,170,178938,1498,20,7110,161,142,10,23463,7097
2010,6,1996,215,227304,1902,20,9030,204,180,12,25557,9014
2010,6,1997,250,264256,2211,24,10496,237,210,15,28751,10477
2010,6,1998,326,344114,2879,31,13664,309,273,19,33332,13640
2010,6,1999,466,491848,4114,44,19526,441,390,28,45913,19492
2010,6,2000,658,694656,5808,62,27571,623,551,40,63592,27522
2010,6,2001,881,859144,7909,83,38384,815,721,53,82112,36856
2010,6,2002,1135,1107061,10192,107,49461,1050,929,68,103810,47492
2010,6,2003,1525,1487590,13695,144,66462,1410,1248,92,136637,63816
2010,6,2004,1546,1098790,9750,146,55208,1430,1265,93,111219,64684
2010,6,2005,2095,1489208,13215,198,74825,1938,1714,126,146574,87668
2010,6,2006,6457,1858539,16420,247,93347,2418,2139,157,176915,109410
2010,6,2007,7687,2212560,19547,294,111128,2879,2547,187,203421,130251
2010,6,2008,7547,1384603,11111,289,101945,2826,2500,184,144216,127877
2010,6,2009,8088,1483849,11908,310,109252,3029,2679,197,144770,137043
2010,6,2010,6658,1220800,9796,255,89934,2493,2205,162,107474,112811
2010,8,1980,58,171200,3292,9,2053,362,321,33,45590,3271
2010,8,1981,9,19559,215,1,589,11,10,5,4976,499
2010,8,1982,10,21614,238,1,651,13,11,5,5233,551
2010,8,1983,11,23822,262,2,718,14,12,6,5565,608
2010,8,1984,12,26831,295,2,809,16,14,7,5962,685
2010,8,1985,14,30601,337,2,922,18,16,8,6452,781
2010,8,1986,17,26741,215,3,939,22,19,9,6351,944
2010,8,1987,13,20444,164,2,718,17,15,7,4646,722
2010,8,1988,11,17388,140,2,610,14,12,6,3793,613
2010,8,1989,11,18063,145,2,633,15,13,6,3864,637
2010,8,1990,11,16881,136,2,592,14,12,6,3544,595
2010,8,1991,14,16866,135,2,591,14,12,7,2876,594
2010,8,1992,18,21330,171,2,747,17,15,9,3563,751
2010,8,1993,26,30638,246,3,1073,25,22,12,4995,1079
2010,8,1994,31,34820,284,3,1262,29,26,15,5699,1264
2010,8,1995,39,43655,356,4,1582,36,32,19,6991,1584
2010,8,1996,49,55470,452,4,2009,46,41,24,7713,2012
2010,8,1997,57,64507,525,5,2335,54,47,28,8634,2338
2010,8,1998,74,84027,684,6,3040,70,62,38,10003,3044
2010,8,1999,106,120139,977,9,4344,100,88,55,13746,4350
2010,8,2000,150,169733,1379,13,6134,141,125,77,18951,6142
2010,8,2001,200,233090,1830,17,8785,197,174,103,24148,8226
2010,8,2002,258,300351,2358,22,11319,253,224,133,30355,10599
2010,8,2003,347,403591,3168,30,15210,340,301,179,39701,14243
2010,8,2004,352,298032,2254,31,12634,345,305,181,33464,14436
2010,8,2005,477,403928,3055,41,17123,467,414,246,43768,19566
2010,8,2006,1470,504105,3800,52,21363,583,516,306,52423,24418
2010,8,2007,1749,600128,4524,62,25433,695,614,365,59667,29069
2010,8,2008,1718,375344,2576,60,23334,682,603,358,44545,28540
2010,8,2009,1841,402249,2761,65,25007,731,646,384,44009,30586
2010,8,2010,1515,331001,2272,53,20585,601,532,316,31777,25177
2010,9,1980,710,1975636,44411,150,23732,4645,4109,292,647841,42109
2010,9,1981,108,226235,2911,23,6800,147,130,45,71823,6423
2010,9,1982,120,250005,3217,25,7514,162,143,49,75363,7098
2010,9,1983,132,275335,3540,28,8291,179,158,54,79987,7832
2010,9,1984,149,310109,3987,32,9338,201,178,61,85480,8821
2010,9,1985,170,353677,4547,36,10650,230,203,70,92263,10061
2010,9,1986,205,306821,2890,43,10842,277,245,84,91446,12154
2010,9,1987,157,234519,2209,33,8287,212,188,64,66755,9289
2010,9,1988,133,199401,1878,28,7045,180,159,55,54389,7897
2010,9,1989,138,207082,1950,29,7316,187,166,57,55353,8201
2010,9,1990,129,193467,1824,27,6834,175,155,53,50727,7661
2010,9,1991,176,193238,1822,27,6825,175,155,59,36533,7651
2010,9,1992,222,244312,2303,35,8629,221,195,75,45233,9672
2010,9,1993,319,350800,3306,50,12388,317,280,109,63356,13887
2010,9,1994,374,408364,3860,58,14524,371,329,130,72441,16273
2010,9,1995,469,511786,4837,73,18200,466,412,164,88788,20392
2010,9,1996,595,650063,6144,73,23115,591,523,211,93637,25898
2010,9,1997,692,755667,7141,85,26867,687,608,249,104585,30102
2010,9,1998,901,983934,9297,111,34978,895,791,328,116437,39190
2010,9,1999,1287,1406200,13285,159,49984,1278,1131,477,158699,56002
2010,9,2000,1818,1985827,18758,224,70577,1805,1597,674,219315,79075
2010,9,2001,2434,2509535,26183,300,94616,2483,2197,902,284372,105893
2010,9,2002,3136,3233699,33738,387,121919,3200,2831,1163,358814,136449
2010,9,2003,4215,4345208,45335,520,163826,4300,3803,1562,471257,183351
2010,9,2004,4272,3209913,32277,527,136106,4358,3855,1583,385901,185846
2010,9,2005,5790,4350446,43745,714,184466,5907,5225,2146,507137,251881
2010,9,2006,17841,5429380,54361,891,230093,7371,6521,2678,610229,314348
2010,9,2007,21240,6463584,64715,1060,273922,8776,7763,3189,699024,374226
2010,9,2008,20853,4056088,36974,1041,251427,8616,7622,3130,499691,367408
2010,9,2009,22347,4346822,39624,1116,269449,9233,8168,3355,498186,393743
2010,9,2010,18396,3575932,32597,918,221805,7600,6723,2762,365478,324121
2010,10,1980,1294,3635042,83255,286,41772,8607,7614,541,1246927,78099
2010,10,1981,197,415543,5444,44,11975,272,240,83,139192,11914
2010,10,1982,218,459203,6016,48,13233,300,266,91,145997,13165
2010,10,1983,241,506023,6626,53,14601,331,293,101,154946,14526
2010,10,1984,271,569930,7463,60,16445,373,330,113,165520,16361
2010,10,1985,309,650002,8512,68,18755,426,376,129,178573,18659
2010,10,1986,373,566570,5428,82,19091,514,455,156,178000,22542
2010,10,1987,285,433059,4149,63,14591,393,348,119,129923,17228
2010,10,1988,243,368210,3527,54,12405,334,296,101,105843,14647
2010,10,1989,252,382392,3663,56,12882,347,307,105,107711,15210
2010,10,1990,235,357252,3424,52,12034,324,287,98,98691,14209
2010,10,1991,321,356828,3420,52,12018,324,286,108,72390,14191
2010,10,1992,405,451139,4323,66,15193,409,362,138,89609,17940
2010,10,1993,582,647778,6207,94,21814,587,520,201,125478,25756
2010,10,1994,682,754063,7246,110,25574,688,609,239,143443,30181
2010,10,1995,854,945038,9080,138,32047,863,763,303,175768,37821
2010,10,1996,1085,1200372,11532,139,40702,1096,969,390,185989,48034
2010,10,1997,1261,1395372,13404,162,47308,1273,1126,459,207357,55830
2010,10,1998,1642,1816875,17451,211,61591,1658,1467,605,227936,72687
2010,10,1999,2346,2596613,24937,301,88012,2369,2096,879,309767,103868
2010,10,2000,3313,3666914,35212,425,124274,3345,2959,1241,427952,146662
2010,10,2001,4437,4638036,49180,570,166559,4603,4072,1662,556103,196400
2010,10,2002,5717,5976400,63371,734,214622,5931,5247,2142,701340,253075
2010,10,2003,7682,8030661,85154,986,288393,7970,7051,2879,920630,340063
2010,10,2004,7787,5930529,60561,1000,239563,8079,7147,2918,759047,344692
2010,10,2005,10554,8037739,82079,1355,324684,10949,9686,3954,996990,467166
2010,10,2006,32521,10031160,102182,1691,405055,13665,12088,4935,1200145,583026
2010,10,2007,38716,11941914,121645,2013,482212,16268,14391,5875,1373870,694083
2010,10,2008,38010,7485876,69324,1976,442596,15971,14129,5768,993452,681438
2010,10,2009,40735,8022458,74293,2118,474320,17116,15141,6182,990020,730281
2010,10,2010,33532,6601290,61136,1743,390450,14089,12463,5089,725863,601151
2010,11,1980,551,1733323,46216,220,18053,4085,3613,266,1388721,36739
2010,11,1981,84,199773,3047,34,5159,129,114,41,175619,5604
2010,11,1982,93,220763,3367,37,5701,143,126,45,182089,6193
2010,11,1983,103,242601,3698,41,6291,157,139,50,191503,6833
2010,11,1984,116,273241,4165,46,7085,177,157,56,201906,7696
2010,11,1985,132,311629,4750,53,8081,202,179,64,214643,8778
2010,11,1986,159,265247,2986,63,8212,244,216,77,229128,10604
2010,11,1987,122,202742,2282,49,6276,186,165,59,165742,8105
2010,11,1988,103,172382,1940,41,5336,159,140,50,133839,6890
2010,11,1989,107,179023,2015,43,5541,165,146,52,135613,7155
2010,11,1990,100,167253,1886,40,5176,154,136,48,123731,6684
2010,11,1991,137,167055,1884,40,5170,154,136,51,84195,6676
2010,11,1992,173,211209,2382,51,6535,194,172,66,103517,8439
2010,11,1993,248,303270,3419,73,9383,279,247,95,143755,12116
2010,11,1994,291,353054,3992,85,11001,327,289,113,163104,14198
2010,11,1995,364,442469,5003,107,13785,409,362,143,198282,17792
2010,11,1996,462,562019,6354,107,17508,520,460,184,195699,22596
2010,11,1997,537,653320,7385,125,20349,604,535,217,213912,26264
2010,11,1998,700,850673,9615,162,26493,787,696,285,213537,34193
2010,11,1999,1000,1215755,13739,232,37858,1124,995,414,280611,48861
2010,11,2000,1412,1716883,19400,328,53456,1587,1404,585,382120,68993
2010,11,2001,1891,2166080,27027,439,71587,2179,1928,783,475618,92390
2010,11,2002,2436,2791131,34825,565,92244,2808,2484,1009,590151,119051
2010,11,2003,3274,3750523,46796,760,123951,3773,3338,1356,760530,159972
2010,11,2004,3318,2773142,33372,770,103048,3824,3383,1375,654761,162149
2010,11,2005,4498,3758477,45229,1044,139663,5183,4585,1863,840059,219764
2010,11,2006,13859,4690612,56046,1302,174070,6468,5722,2326,982513,274266
2010,11,2007,16499,5584082,66722,1550,207228,7700,6812,2769,1087838,326510
2010,11,2008,16198,3575939,39412,1522,190838,7560,6688,2718,824767,320561
2010,11,2009,17359,3832248,42237,1631,204517,8102,7167,2913,772602,343538
2010,11,2010,14290,3150563,34736,1343,168354,6668,5899,2398,503134,282793
2010,12,1980,1545,4607628,118823,397,45389,10596,9373,694,2037212,96333
2010,12,1981,236,525265,7741,61,13023,334,296,106,234980,14695
2010,12,1982,260,580451,8555,67,14391,370,327,117,245952,16239
2010,12,1983,287,640236,9435,74,15879,408,361,129,260701,17918
2010,12,1984,324,721095,10627,83,17884,459,406,145,277849,20181
2010,12,1985,369,822403,12120,95,20397,524,463,166,298993,23016
2010,12,1986,446,723080,7776,115,20754,633,560,200,304687,27804
2010,12,1987,341,552846,5944,88,15862,484,428,153,222133,21251
2010,12,1988,290,470213,5053,74,13485,411,364,130,180759,18067
2010,12,1989,301,488500,5247,77,14004,427,378,135,183848,18761
2010,12,1990,281,456549,4902,72,13082,399,353,126,168339,17526
2010,12,1991,383,456172,4896,72,13065,398,352,137,132314,17504
2010,12,1992,484,576948,6190,91,16517,504,446,176,163574,22128
2010,12,1993,695,828751,8886,131,23713,723,640,255,228674,31770
2010,12,1994,814,963222,10364,153,27806,847,750,303,261003,37228
2010,12,1995,1020,1207689,12987,192,34844,1062,939,384,319342,46651
2010,12,1996,1296,1534648,16494,194,44254,1349,1193,494,342375,59249
2010,12,1997,1506,1784786,19171,225,51437,1568,1387,581,379544,68865
2010,12,1998,1961,2325002,24959,293,66966,2041,1805,766,410878,89657
2010,12,1999,2802,3324475,35666,419,95693,2916,2580,1114,555324,128118
2010,12,2000,3956,4697152,50361,591,135120,4118,3643,1572,764372,180903
2010,12,2001,5298,6291703,65159,791,177048,6153,5443,2106,962389,242254
2010,12,2002,6826,8107273,83961,1020,228138,7928,7014,2713,1207246,312160
2010,12,2003,9173,10893961,112821,1370,306555,10654,9424,3646,1575238,419458
2010,12,2004,9298,8041472,80136,1389,254590,10799,9553,3695,1346498,425167
2010,12,2005,12601,10898746,108609,1883,345050,14636,12947,5008,1756438,576235
2010,12,2006,38830,13601688,135508,2350,430576,18265,16158,6251,2099938,719146
2010,12,2007,46227,16192589,161320,2797,512594,21744,19236,7441,2381578,856130
2010,12,2008,45384,10131125,91852,2746,470614,21348,18885,7306,1815907,840531
2010,12,2009,48638,10857298,98436,2943,504346,22879,20239,7829,1785094,900779
2010,12,2010,40037,8936903,81027,2423,415167,18833,16660,6445,1277536,741502
2010,13,1980,289,745169,14666,38,9026,1686,1491,106,266207,15105
2010,13,1981,44,85149,959,6,2588,53,47,16,31074,2304
2010,13,1982,49,94095,1060,6,2860,59,52,18,32453,2546
2010,13,1983,54,103704,1168,7,3156,65,57,20,34330,2809
2010,13,1984,60,116801,1315,8,3554,73,65,22,36496,3164
2010,13,1985,69,133211,1500,9,4053,83,74,25,39164,3609
2010,13,1986,83,116295,956,11,4126,101,89,30,40060,4360
2010,13,1987,64,88916,730,8,3153,77,68,23,29142,3332
2010,13,1988,54,75626,621,7,2681,65,58,20,23663,2833
2010,13,1989,56,78567,645,7,2784,68,60,21,24042,2942
2010,13,1990,53,73428,603,7,2600,63,56,19,21993,2748
2010,13,1991,72,73367,602,7,2597,63,56,22,16632,2744
2010,13,1992,90,92792,761,9,3283,80,71,28,20541,3470
2010,13,1993,130,133290,1093,13,4714,115,102,41,28683,4981
2010,13,1994,152,154920,1274,15,5528,135,119,49,32702,5837
2010,13,1995,191,194239,1597,18,6927,169,149,62,39968,7315
2010,13,1996,242,246826,2028,19,8797,215,190,80,42207,9290
2010,13,1997,281,287057,2357,22,10225,249,221,95,46764,10798
2010,13,1998,366,373944,3069,28,13312,325,287,125,50857,14058
2010,13,1999,523,534696,4386,40,19023,464,410,182,68719,20088
2010,13,2000,739,755472,6193,57,26860,655,580,257,94370,28365
2010,13,2001,990,1010887,8006,76,35190,979,866,344,117701,37984
2010,13,2002,1275,1302594,10316,98,45345,1261,1116,443,147294,48945
2010,13,2003,1714,1750330,13861,132,60931,1695,1499,595,191673,65769
2010,13,2004,1737,1292375,9858,134,50611,1718,1520,603,163129,66664
2010,13,2005,2354,1751576,13361,181,68594,2328,2060,818,211978,90351
2010,13,2006,7254,2185977,16633,226,85580,2906,2570,1020,252079,112758
2010,13,2007,8636,2602370,19802,269,101881,3459,3060,1215,284347,134237
2010,13,2008,8478,1629631,11370,264,93519,3396,3004,1193,214288,131791
2010,13,2009,9086,1746441,12185,283,100222,3639,3219,1278,208230,141237
2010,13,2010,7479,1437245,10027,233,82501,2996,2650,1052,145859,116264
2010,16,1980,124,364106,6907,19,4605,762,674,68,97923,6819
2010,16,1981,19,41838,456,3,1319,24,21,10,10778,1040
2010,16,1982,21,46234,503,3,1457,27,24,12,11323,1149
2010,16,1983,23,50859,553,4,1608,29,26,13,12020,1268
2010,16,1984,26,57283,623,4,1811,33,29,14,12862,1428
2010,16,1985,30,65331,710,4,2065,38,33,16,13901,1629
2010,16,1986,36,56236,448,5,2103,46,40,20,13685,1968
2010,16,1987,27,42995,343,4,1607,35,31,15,9999,1504
2010,16,1988,23,36567,291,4,1366,30,26,13,8153,1279
2010,16,1989,24,37987,302,4,1419,31,27,13,8301,1328
2010,16,1990,23,35500,283,3,1326,29,25,12,7614,1241
2010,16,1991,31,35469,283,3,1324,29,25,14,5710,1239
2010,16,1992,39,44858,358,4,1674,36,32,18,7076,1566
2010,16,1993,56,64432,514,6,2403,52,46,26,9921,2249
2010,16,1994,65,73246,594,7,2828,61,54,31,11319,2635
2010,16,1995,82,91830,744,9,3543,76,68,40,13886,3302
2010,16,1996,104,116685,945,9,4500,97,86,51,14964,4194
2010,16,1997,121,135695,1098,11,5231,113,100,60,16784,4874
2010,16,1998,157,176755,1429,14,6810,147,130,79,19634,6346
2010,16,1999,225,252721,2043,20,9731,210,186,115,27047,9069
2010,16,2000,317,357045,2884,28,13740,296,262,162,37317,12805
2010,16,2001,425,488505,3821,38,19689,413,365,217,47084,17148
2010,16,2002,547,629470,4923,48,25371,532,470,280,59263,22096
2010,16,2003,735,845836,6616,65,34091,714,632,376,77621,29691
2010,16,2004,745,625358,4731,66,28329,724,641,382,64934,30095
2010,16,2005,1010,847559,6413,89,38395,982,868,517,85072,40788
2010,16,2006,3112,1057758,7910,111,47879,1225,1084,645,101686,50903
2010,16,2007,3705,1259243,9417,133,56999,1458,1290,768,115985,60600
2010,16,2008,3637,791481,5435,130,52316,1432,1267,754,85782,59495
2010,16,2009,3898,848213,5825,140,56066,1534,1357,808,85035,63760
2010,16,2010,3209,697356,4784,115,46153,1263,1117,665,61715,52486
2010,17,1980,392,1144816,25856,81,12455,2535,2242,171,410777,22898
2010,17,1981,60,130928,1692,12,3570,80,71,26,46558,3493
2010,17,1982,66,144684,1869,14,3945,88,78,29,48796,3860
2010,17,1983,73,159412,2058,15,4353,98,86,32,51755,4259
2010,17,1984,82,179545,2318,17,4903,110,97,36,55239,4797
2010,17,1985,94,204770,2644,19,5592,125,111,41,59537,5471
2010,17,1986,113,178380,1686,23,5691,151,134,49,59922,6609
2010,17,1987,87,136386,1288,18,4350,116,102,38,43720,5051
2010,17,1988,74,116002,1095,15,3698,98,87,32,35604,4294
2010,17,1989,76,120516,1137,16,3840,102,90,33,36226,4459
2010,17,1990,71,112635,1063,15,3587,95,84,31,33187,4166
2010,17,1991,97,112544,1062,15,3583,95,84,34,25214,4161
2010,17,1992,123,142343,1343,19,4529,120,107,44,31204,5260
2010,17,1993,176,204471,1928,27,6503,173,153,64,43680,7552
2010,17,1994,207,236967,2245,31,7628,203,179,76,49891,8849
2010,17,1995,259,297115,2813,39,9558,254,225,97,61118,11089
2010,17,1996,329,377561,3573,40,12140,323,285,125,65396,14083
2010,17,1997,382,439111,4152,46,14110,375,332,147,72861,16369
2010,17,1998,498,572033,5406,60,18370,488,432,193,81224,21311
2010,17,1999,711,817957,7725,85,26250,698,617,281,110650,30453
2010,17,2000,1005,1155720,10908,121,37066,985,871,397,152542,43000
2010,17,2001,1345,1512743,13623,162,49887,1461,1293,531,188258,57583
2010,17,2002,1733,1949268,17554,208,64283,1883,1666,685,236538,74200
2010,17,2003,2329,2619285,23588,280,86378,2531,2239,920,309200,99704
2010,17,2004,2361,1934377,16781,284,71754,2565,2269,932,262464,101061
2010,17,2005,3200,2621693,22744,384,97249,3476,3075,1264,343121,136970
2010,17,2006,9860,3271889,28295,480,121320,4338,3838,1577,410783,170940
2010,17,2007,11739,3895129,33685,571,144429,5165,4569,1878,467253,203501
2010,17,2008,11525,2441520,19254,561,132587,5071,4486,1843,353323,199793
2010,17,2009,12351,2616523,20634,601,142091,5434,4807,1975,349032,214113
2010,17,2010,10167,2152951,16978,495,116966,4473,3957,1626,251967,176254
2010,18,1980,67,190347,3834,11,2287,416,368,27,56196,3767
2010,18,1981,10,21791,251,2,655,13,12,4,6239,575
2010,18,1982,11,24080,278,2,724,15,13,5,6549,635
2010,18,1983,13,26522,306,2,799,16,14,5,6953,701
2010,18,1984,14,29872,344,2,900,18,16,6,7434,789
2010,18,1985,16,34069,393,3,1026,21,18,7,8028,900
2010,18,1986,19,29601,250,3,1045,25,22,8,7968,1087
2010,18,1987,15,22633,191,2,799,19,17,6,5820,831
2010,18,1988,13,19250,162,2,679,16,14,5,4744,707
2010,18,1989,13,19999,168,2,705,17,15,5,4829,734
2010,18,1990,12,18691,157,2,659,16,14,5,4427,685
2010,18,1991,17,18676,157,2,658,16,14,6,3319,685
2010,18,1992,21,23621,199,2,832,20,18,7,4112,865
2010,18,1993,30,33931,285,3,1194,28,25,10,5764,1242
2010,18,1994,35,39324,332,4,1400,33,29,12,6591,1456
2010,18,1995,44,49306,417,5,1755,42,37,16,8084,1824
2010,18,1996,56,62656,529,5,2229,53,47,20,8671,2317
2010,18,1997,66,72869,615,6,2590,62,55,24,9697,2693
2010,18,1998,85,94928,801,8,3373,80,71,32,11003,3506
2010,18,1999,122,135739,1144,11,4819,115,101,46,15069,5010
2010,18,2000,172,191790,1616,16,6805,162,143,65,20811,7074
2010,18,2001,231,250867,2017,21,9163,240,212,87,25619,9474
2010,18,2002,298,323258,2599,27,11807,309,274,112,32258,12207
2010,18,2003,400,434369,3492,36,15865,416,368,150,42268,16403
