# File: MOVES_EV_Efs_ORD.csv
# Title: PM emission factors for electric vehicles accounting for the break and tire wear
# Units: Tg/million-pass-km
# Source: derived from Brake and Tire Wear Emissions from On-road Vehicles in MOVES2014
# Column types: ccccnnnnnnnnnn
# ----------
state,class,fuel,pollutant,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
AZ,Pickup,ELC,PM10,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08
AZ,Pickup,ELC,PM2.5,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09
CA,Compact car,ELC,PM10,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08
CA,Compact car,ELC,PM2.5,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09
CA,Full size car,ELC,PM10,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08
CA,Full size car,ELC,PM2.5,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09
CA,Large SUV,ELC,PM10,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08
CA,Large SUV,ELC,PM2.5,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09
CA,Mini car,ELC,PM10,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08
CA,Mini car,ELC,PM2.5,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09
CA,Minivan,ELC,PM10,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08
CA,Minivan,ELC,PM2.5,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09
CA,Pickup,ELC,PM10,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08
CA,Pickup,ELC,PM2.5,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09
CO,Compact car,ELC,PM10,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08
CO,Compact car,ELC,PM2.5,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09
CO,Full size car,ELC,PM10,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08
CO,Full size car,ELC,PM2.5,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09
CO,Large SUV,ELC,PM10,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08
CO,Large SUV,ELC,PM2.5,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09
CO,Mini car,ELC,PM10,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08
CO,Mini car,ELC,PM2.5,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09
CO,Minivan,ELC,PM10,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08
CO,Minivan,ELC,PM2.5,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09
CO,Pickup,ELC,PM10,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08
CO,Pickup,ELC,PM2.5,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09
CT,Compact car,ELC,PM10,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08
CT,Compact car,ELC,PM2.5,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09
CT,Full size car,ELC,PM10,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08
CT,Full size car,ELC,PM2.5,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09
CT,Large SUV,ELC,PM10,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08
CT,Large SUV,ELC,PM2.5,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09
CT,Mini car,ELC,PM10,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08
CT,Mini car,ELC,PM2.5,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09
CT,Minivan,ELC,PM10,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08
CT,Minivan,ELC,PM2.5,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09
CT,Pickup,ELC,PM10,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08
CT,Pickup,ELC,PM2.5,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09
DC,Compact car,ELC,PM10,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08
DC,Compact car,ELC,PM2.5,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09
DC,Full size car,ELC,PM10,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08
DC,Full size car,ELC,PM2.5,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09
DC,Large SUV,ELC,PM10,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08
DC,Large SUV,ELC,PM2.5,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09
DC,Mini car,ELC,PM10,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08
DC,Mini car,ELC,PM2.5,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09
DC,Minivan,ELC,PM10,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08
DC,Minivan,ELC,PM2.5,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09
DC,Pickup,ELC,PM10,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08
DC,Pickup,ELC,PM2.5,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09
DE,Compact car,ELC,PM10,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08
DE,Compact car,ELC,PM2.5,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09
DE,Full size car,ELC,PM10,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08
DE,Full size car,ELC,PM2.5,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09
DE,Large SUV,ELC,PM10,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08
DE,Large SUV,ELC,PM2.5,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09
DE,Mini car,ELC,PM10,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08
DE,Mini car,ELC,PM2.5,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09
DE,Minivan,ELC,PM10,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08
DE,Minivan,ELC,PM2.5,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09
DE,Pickup,ELC,PM10,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08
DE,Pickup,ELC,PM2.5,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09
FL,Compact car,ELC,PM10,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08
FL,Compact car,ELC,PM2.5,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09
FL,Full size car,ELC,PM10,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08
FL,Full size car,ELC,PM2.5,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09
FL,Large SUV,ELC,PM10,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08
FL,Large SUV,ELC,PM2.5,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09
FL,Mini car,ELC,PM10,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08
FL,Mini car,ELC,PM2.5,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09
FL,Minivan,ELC,PM10,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08
FL,Minivan,ELC,PM2.5,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09
FL,Pickup,ELC,PM10,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08
FL,Pickup,ELC,PM2.5,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09
GA,Compact car,ELC,PM10,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08
GA,Compact car,ELC,PM2.5,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09
GA,Full size car,ELC,PM10,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08
GA,Full size car,ELC,PM2.5,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09
GA,Large SUV,ELC,PM10,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08
GA,Large SUV,ELC,PM2.5,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09
GA,Mini car,ELC,PM10,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08
GA,Mini car,ELC,PM2.5,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09
GA,Minivan,ELC,PM10,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08
GA,Minivan,ELC,PM2.5,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09
GA,Pickup,ELC,PM10,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08
GA,Pickup,ELC,PM2.5,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09
HI,Compact car,ELC,PM10,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08
HI,Compact car,ELC,PM2.5,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09
HI,Full size car,ELC,PM10,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08
HI,Full size car,ELC,PM2.5,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09
HI,Large SUV,ELC,PM10,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08
HI,Large SUV,ELC,PM2.5,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09
HI,Mini car,ELC,PM10,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08
HI,Mini car,ELC,PM2.5,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09
HI,Minivan,ELC,PM10,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08
HI,Minivan,ELC,PM2.5,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09
HI,Pickup,ELC,PM10,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08
HI,Pickup,ELC,PM2.5,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09
IA,Compact car,ELC,PM10,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08
IA,Compact car,ELC,PM2.5,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09
IA,Full size car,ELC,PM10,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08
IA,Full size car,ELC,PM2.5,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09
IA,Large SUV,ELC,PM10,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08
IA,Large SUV,ELC,PM2.5,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09
IA,Mini car,ELC,PM10,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08,1.35E-08
IA,Mini car,ELC,PM2.5,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09,1.79E-09
IA,Minivan,ELC,PM10,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08,1.47E-08
IA,Minivan,ELC,PM2.5,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09,1.93E-09
IA,Pickup,ELC,PM10,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08,1.34E-08
IA,Pickup,ELC,PM2.5,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09,1.76E-09
