# File: USDA_cost_data.csv
# Title: USDA_cost_data
# Units: varying
# Description: Itemized costs and returns of crop production by crop; USA national averages
# Original source: http://www.ers.usda.gov/Data/CostsAndReturns/
# Column types: cccnnnnnnnnnnnnnnnnnnnnnnn 
# ----------
Crop, Item,Unit,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Barley,Opportunity cost of unpaid labor,dollars per planted acre,,,,,,,,21.47,22.02,22.56,23.38,24.9,25.52,26.41,27.58,25.72,25.53,26.85,27.26,26.95,28.6,30.06,32.04
Barley,Purchased irrigation water,dollars per planted acre,,,,,,,,2.11,2.13,2.26,2.38,2.79,2.69,3.07,3.5,6.78,5.77,6.37,6.51,6,6.77,6.97,7.21
Barley,Price,dollars per bushel at harvest,,,,,,,,2.88,2.67,2.54,2.64,3.46,5.22,4.72,3.91,5.19,6.24,5.99,5.44,5.31,4.73,4.45,4.48
Barley,Primary output,dollars per planted acre,,,,,,,,164.74,161,134.87,134.64,178.19,289.19,294.53,238.9,351.88,413.09,407.32,355.23,348.87,336.78,279.46,303.74
Barley,Repairs,dollars per planted acre,,,,,,,,15.13,15.47,16.24,16.58,17.52,18.04,18.41,19,30.39,30,31.01,31.35,30.36,31.42,32.46,33.59
Barley,Secondary output,dollars per planted acre,,,,,,,,7.99,8.38,9.14,9.27,11.56,13.51,11.94,11.98,11.76,10.44,11.07,10.33,8.18,8.45,9.23,10.55
Barley,Seed,dollars per planted acre,,,,,,,,9.65,9.28,9.4,9.2,10.34,14.44,14.09,12.66,16.87,20.38,22.04,21.97,23.28,23.08,23.25,23.1
Barley,Taxes and insurance,dollars per planted acre,,,,,,,,6.6,6.7,7.88,8.29,9.56,10.78,10.35,10.64,8.63,8.71,8.88,10,9.35,9.9,10.07,10.12
Barley,Total allocated overhead,dollars per planted acre,,,,,,,,152.2,155.28,164.87,169.46,192.4,206.8,227.67,241.38,231.39,235.3,250.92,258.72,254.92,259.69,268.3,275.81
Barley,Total costs listed,dollars per planted acre,,,,,,,,230.89,237.35,258.27,268.15,303.07,350.74,360.2,369.27,417.37,420.26,442.04,447.57,422.58,421.41,431.64,441.01
Barley,Total operating costs,dollars per planted acre,,,,,,,,78.69,82.07,93.4,98.69,110.67,143.94,132.53,127.89,185.98,184.96,191.12,188.85,167.66,161.72,163.34,165.2
Barley,Total output,dollars per planted acre,,,,,,,,172.73,169.38,144.01,143.91,189.75,302.7,306.47,250.88,363.64,423.53,418.39,365.56,357.05,345.23,288.69,314.29
Barley,Value of production less operating costs,dollars per planted acre,,,,,,,,94.04,87.31,50.61,45.22,79.08,158.76,173.94,122.99,177.66,238.57,227.27,176.71,189.39,183.51,125.35,149.09
Barley,Value of production less total costs listed,dollars per planted acre,,,,,,,,-58.16,-67.97,-114.26,-124.24,-113.32,-48.04,-53.73,-118.39,-53.73,3.27,-23.65,-82.01,-65.53,-76.18,-142.95,-126.72
Barley,Yield,bushels per planted acre,,,,,,,,57,60,53,51,52,55,62,61,68,66,68,65,66,71,63,68
Corn,Capital recovery of machinery and equipment,dollars per planted acre,63.02,64.5,66.46,68.49,70.16,54.69,55.26,56.67,61.25,64.02,66.71,69.77,76.36,81.12,84.4,89.59,94.05,96.86,100.15,102.63,117.96,120.3,122.65
Corn,Chemicals,dollars per planted acre,27.42,26.87,27.36,28.4,28.82,26.44,26.11,26.2,26.76,22.84,23.62,24.38,25.19,27.83,26.29,26.35,27.52,28.57,29.2,27.95,35.65,34.77,34.02
Corn,Custom operations,dollars per planted acre,11.3,11.3,11.29,11.37,11.48,10.94,10.79,11.17,11.55,9.97,10.58,10.93,10.98,11.76,16.36,16.77,17.07,17.77,18.24,19.04,22.69,22.05,22.48
Corn,Dryland,percent of acres,85,85,85,85,85,86,86,86,86,88,88,88,88,88,89,89,89,89,89,89,89,89,89
Corn,Enterprise size,planted acres,189,189,189,189,189,236,236,236,236,250,250,250,250,250,280,280,280,280,280,280,278,278,278
Corn,Fertilizer,dollars per planted acre,51.21,50.37,45.51,42.84,43.16,55.12,42.51,50.64,54.62,69.35,80.17,93.13,139.18,131.11,112.03,147.36,156.51,153.33,149.23,137.33,126.53,113.46,109.05
Corn,"Fuel, lube, and electricity",dollars per planted acre,24.43,24.55,22.96,23.04,29.12,20.88,18.93,23.06,29.29,26.5,28.73,31.58,42.64,29.13,25.8,32.42,30.63,32.27,32.8,21.28,24.08,27.21,30.93
Corn,General farm overhead,dollars per planted acre,10.38,12.21,11.47,10.88,11.11,11.67,11.91,12.17,12.41,12.61,13.45,13.88,14.18,14.49,18.1,18.73,19.32,19.54,19.88,19.83,17.74,17.99,18.69
Corn,Hired labor,dollars per planted acre,2.83,3.07,3.19,3.28,3.36,2.92,3.06,3.14,3.2,2.08,2.19,2.26,2.37,2.41,2.96,2.92,3.02,3.12,3.16,3.28,4.49,4.58,4.85
Corn,Interest on operating capital,dollars per planted acre,3.86,3.96,3.61,3.5,4.53,2.6,1.17,0.82,1.31,3.12,4.76,4.94,2.17,0.43,0.28,0.17,0.23,0.16,0.12,0.28,0.78,1.72,3.42
Corn,Irrigated,percent of acres,15,15,15,15,15,14,14,14,14,12,12,12,12,12,11,11,11,11,11,11,11,11,11
Corn,Opportunity cost of land (rental rate),dollars per planted acre,80.79,84.81,86.35,86.77,89.36,86.5,87.44,89.2,92.14,93.27,90.84,97.21,107.37,123.87,127.33,138.2,154.94,167.74,175.6,179.15,160.42,158.73,160.63
Corn,Opportunity cost of unpaid labor,dollars per planted acre,28.99,29.89,30.63,31.43,32.21,24.96,25.74,26.53,26.98,22.02,23.56,24.34,25.12,25.67,22.54,22.77,23.65,24.4,24.75,25.63,25.76,26.4,28.14
Corn,Price,dollars per bushel at harvest,2.82,2.52,1.91,1.69,1.77,1.84,2.32,2.13,2.13,1.74,2.54,3.27,4.36,3.59,4.33,5.73,6.79,4.61,3.54,3.66,3.29,3.25,3.42
Corn,Primary output,dollars per planted acre,366.46,327.6,259.76,228.15,244.26,264.96,310.88,317.37,359.97,259.26,350.52,467.61,627.84,560.04,688.47,836.58,801.22,719.16,601.8,611.22,602.07,601.25,629.28
Corn,Purchased irrigation water,dollars per planted acre,0.3,0.32,0.31,0.31,0.31,0.22,0.22,0.22,0.24,0.12,0.12,0.13,0.14,0.14,0.11,0.1,0.11,0.12,0.12,0.12,0.26,0.26,0.27
Corn,Repairs,dollars per planted acre,15.78,16.17,16.65,17.17,17.55,13.76,13.91,14.22,15.35,14,14.45,14.86,15.37,15.69,23.96,24.79,25.48,25.79,26.17,26.18,32.2,32.75,33.9
Corn,Secondary output,dollars per planted acre,3.47,3.77,3.12,2.55,2.41,1.96,1.94,2.25,2.38,1.17,1.35,1.33,1.52,1.18,0.92,1.19,1.33,1.35,1.38,1.38,1.85,2.03,2.26
Corn,Seed,dollars per planted acre,26.65,28.71,30.02,30.29,30.02,32.34,31.84,34.83,36.82,40.47,43.55,49.04,60.02,78.92,81.58,84.37,92.04,97.59,101.04,101.62,98.36,97.07,96.2
Corn,Taxes and insurance,dollars per planted acre,6.98,7,7.05,6.96,7.13,5.49,5.42,5.54,5.58,6.51,7.01,7.52,8.29,8.13,8.46,8.92,9,9.19,9.34,11.01,11.56,11.68,11.79
Corn,Total allocated overhead,dollars per planted acre,192.99,201.48,205.15,207.81,213.33,186.23,188.83,193.25,201.56,200.51,203.76,214.98,233.69,255.69,263.79,281.13,303.98,320.85,332.88,341.53,337.93,339.68,346.75
Corn,Total costs listed,dollars per planted acre,353.94,363.73,362.86,364.73,378.32,348.53,334.31,354.41,377.5,386.88,409.74,443.97,529.38,550.7,550.2,613.46,653.57,676.45,689.8,675.33,678.48,668.97,677.02
Corn,Total operating costs,dollars per planted acre,160.95,162.25,157.71,156.92,164.99,162.3,145.48,161.16,175.94,186.37,205.98,228.99,295.69,295.01,286.41,332.33,349.59,355.6,356.92,333.8,340.55,329.29,330.27
Corn,Total output,dollars per planted acre,369.93,331.37,262.88,230.7,246.67,266.92,312.82,319.62,362.35,260.43,351.87,468.94,629.36,561.22,689.39,837.77,802.55,720.51,603.18,612.6,603.92,603.28,631.54
Corn,Value of production less operating costs,dollars per planted acre,208.98,169.12,105.17,73.78,81.68,104.62,167.34,158.46,186.41,74.06,145.89,239.95,333.67,266.21,402.98,505.44,452.96,364.91,246.26,278.8,263.37,273.99,301.27
Corn,Value of production less total costs listed,dollars per planted acre,15.99,-32.36,-99.98,-134.03,-131.65,-81.61,-21.49,-34.79,-15.15,-126.45,-57.87,24.97,99.98,10.52,139.19,224.31,148.98,44.06,-86.62,-62.73,-74.56,-65.69,-45.48
Corn,Yield,bushels per planted acre,130,130,136,135,138,144,134,149,169,149,138,143,144,156,159,146,118,156,170,167,183,185,184
Cotton,Capital recovery of machinery and equipment,dollars per planted acre,,94.21,93.16,96.8,97.97,101.49,100.39,62.45,64.85,69.33,72.5,113.28,122.08,128.85,133.91,141.8,148.69,151.19,156.87,146.79,148.91,152.28,154.24
Cotton,Chemicals,dollars per planted acre,,60.19,58.54,58.6,58.32,59.25,56.8,65.81,59.85,61.11,62.99,63.35,62.68,67.93,67.12,66.72,69.28,70.04,71.32,62.85,65.77,64.41,62.06
Cotton,Custom operations,dollars per planted acre,,23.27,13.02,19.67,19.93,19.99,19.25,28.38,24.71,26.13,26.66,21.89,20.79,21.69,22.88,23.4,23.66,24.07,24.49,17.11,18.03,17.75,17.75
Cotton,Dryland,percent of acres,,67,67,67,67,67,67,69,69,69,69,57,57,57,57,57,57,57,57,68,68,68,68
Cotton,Enterprise size,planted acres,,472,472,472,472,472,472,740,740,740,740,687,687,687,687,687,687,687,687,626,626,626,626
Cotton,Fertilizer,dollars per planted acre,,35.31,31.76,29.91,31.32,35.26,30.56,34.44,33.51,39.13,44.55,62.81,98.25,90.77,72.86,95.06,99.6,96.72,93.22,75.36,62.06,55.77,52.99
Cotton,"Fuel, lube, and electricity",dollars per planted acre,,31.64,26.29,26.64,36.97,36.49,31.37,24.39,28.63,37.99,39,48.86,61.28,40.77,51.74,62.95,64.5,63.97,64.01,43.49,38.18,43.27,44.62
Cotton,General farm overhead,dollars per planted acre,,15.55,14.21,15.35,15.82,16.11,15.97,18.15,16.61,17.22,17.64,15.5,15.53,15.64,16.29,16.79,17.18,17.15,17.41,13.67,13.88,14.22,14.53
Cotton,Ginning,dollars per planted acre,,62.75,43.78,53.08,51.46,57.14,55.61,88.33,98.43,104.01,91.65,137.17,96.24,99.3,129.88,80.85,110.8,100.58,121.83,117.04,121.72,117.17,95.94
Cotton,Hired labor,dollars per planted acre,,33.72,33.92,35.48,36.98,37.89,38.16,16.48,15.19,15.59,15.84,14.09,14.21,14.35,14.6,14.77,15.19,15.39,15.62,15.48,16.4,16.91,17.71
Cotton,Interest on operating capital,dollars per planted acre,,6.57,5.4,5.61,7.55,4.71,2.31,1.14,1.7,4.1,6.12,6.5,3.26,0.62,0.47,0.23,0.25,0.22,0.16,0.27,0.98,2.19,4.11
Cotton,Irrigated,percent of acres,,33,33,33,33,33,33,31,31,31,31,43,43,43,43,43,43,43,43,32,32,32,32
Cotton,Opportunity cost of land (rental rate),dollars per planted acre,,58.33,46.04,51.84,51.68,43.83,46.76,52.7,47.71,50.41,48.93,54.78,56.93,64.43,67.95,73.59,82.01,86.56,89.52,71.01,69.54,70.24,73.03
Cotton,Opportunity cost of unpaid labor,dollars per planted acre,,28.03,28.76,29.27,29.9,30.28,32.73,33.86,33.75,34.33,35.32,24.32,25.62,26.29,26.3,26.68,27.63,28.61,29.08,36.48,37.51,38.36,40.94
Cotton,Price,dollars per pound,,0.69,0.64,0.47,0.57,0.35,0.42,0.66,0.51,0.48,0.47,0.57,0.6,0.59,0.82,0.96,0.71,0.82,0.68,0.61,0.67,0.69,0.76
Cotton,Price (seed),dollars per pound,,0.06,0.06,0.04,0.05,0.04,0.05,0.06,0.05,0.05,0.06,0.08,0.11,0.08,0.08,0.14,0.13,0.15,0.09,0.12,0.09,0.07,0.07
Cotton,Primary output,dollars per planted acre,,477.48,307.2,274.48,324.33,222.6,257.88,489.72,414.12,392.16,322.42,519.27,379.2,364.62,639.88,475.74,473.57,476.42,465.8,483.12,538.68,547.86,473.48
Cotton,Purchased irrigation water,dollars per planted acre,,8.71,6.89,6.12,6.55,5.05,5.01,3.66,1.76,1.56,1.28,3.19,2.91,2.89,3.13,3.35,3.42,3.52,3.31,2.95,3.12,3.13,3.02
Cotton,Repairs,dollars per planted acre,,25.39,27.32,26.28,27.18,28.53,29.1,20.95,20.85,21.84,22.52,32.75,33.44,33.92,34.84,35.86,36.89,36.83,37.6,47.08,47.51,48.38,49.81
Cotton,Secondary output,dollars per planted acre,,67.14,48.9,40.32,50.85,48.8,49.95,72,69.37,64.53,62.19,117.92,112.53,79.92,100.94,112.27,140.27,141,99.72,153.72,117,89.95,70.56
Cotton,Seed,dollars per planted acre,,17.63,17.87,18.35,30.1,37.82,47.99,37.19,45.91,53.39,61.69,60.34,64.78,73.17,80.98,96.61,98.6,100.74,100.82,70.43,69.1,68.35,67.06
Cotton,Taxes and insurance,dollars per planted acre,,14.97,14.2,15.07,15.93,16.68,17.01,8.81,8.05,8.09,8.39,7.56,7.69,7.43,7.75,8.15,8.19,8.23,8.39,10.21,10.28,10.99,11.02
Cotton,Total allocated overhead,dollars per planted acre,,244.81,230.29,243.81,248.28,246.28,251.02,192.45,186.16,194.97,198.61,229.53,242.06,256.99,266.8,281.78,298.89,307.13,316.89,293.64,296.52,303,311.47
Cotton,Total costs listed,dollars per planted acre,,516.27,461.16,488.07,517.66,530.52,529.02,496.74,501.51,544.23,555.07,666.39,685.69,688.05,730.7,746.81,805.89,803.82,833.65,730.22,722.99,723.42,708.83
Cotton,Total operating costs,dollars per planted acre,,271.46,230.87,244.26,269.38,284.24,278,304.29,315.35,349.26,356.46,436.86,443.63,431.06,463.9,465.03,507,496.69,516.76,436.58,426.47,420.42,397.36
Cotton,Total output,dollars per planted acre,,544.62,356.1,314.8,375.18,271.4,307.83,561.72,483.49,456.69,384.61,637.19,491.73,444.54,740.82,588.01,613.84,617.42,565.52,636.84,655.68,637.81,544.04
Cotton,Value of production less operating costs,dollars per planted acre,,273.16,125.23,70.54,105.8,-12.84,29.83,257.43,168.14,107.43,28.15,200.33,48.1,13.48,276.92,122.98,106.84,120.73,48.76,200.26,229.21,217.39,146.68
Cotton,Value of production less total costs listed,dollars per planted acre,,28.35,-105.06,-173.27,-142.48,-259.12,-221.19,64.98,-18.02,-87.54,-170.46,-29.2,-193.96,-243.51,10.12,-158.8,-192.05,-186.4,-268.13,-93.38,-67.31,-85.61,-164.79
Cotton,Yield,pounds per planted acre,,692,480,584,569,636,614,742,812,817,686,911,632,618,780,496,667,581,685,792,804,794,623
Cotton,Yield (seed),pounds per planted acre,,1119,815,1008,1017,1220,999,1200,1309,1315,1113,1474,1023,999,1262,802,1079,940,1108,1281,1300,1285,1008
Oats,Capital recovery of machinery and equipment,dollars per planted acre,,,,,,,,,,52.23,64.04,58.76,63.55,67.94,69.91,74.03,77.37,81.49,84.08,101.01,102.18,103.59,106.47
Oats,Chemicals,dollars per planted acre,,,,,,,,,,2.21,2.3,2.29,2.38,2.53,2.38,2.38,2.45,2.8,2.76,7.05,7.73,7.19,7.4
Oats,Custom operations,dollars per planted acre,,,,,,,,,,7.44,10.7,7.44,8.97,9.18,9.24,9.15,9.53,9.04,10.17,9.72,9.67,10.01,9.9
Oats,Dryland,percent of acres,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99
Oats,Enterprise size,harvested acres,,,,,,,,,,27,27,27,27,27,27,27,27,27,27,26,26,26,26
Oats,Fertilizer,dollars per planted acre,,,,,,,,,,23.87,32.63,28.16,49.78,46.07,36.48,47.68,51.78,46.02,46.08,52.43,43.36,39.21,37.39
Oats,"Fuel, lube, and electricity",dollars per planted acre,,,,,,,,,,14.79,20.23,17.24,23.27,15.53,19.38,24.36,24.2,23.35,24.06,18.68,15.84,18.17,19.48
Oats,General farm overhead,dollars per planted acre,,,,,,,,,,8.22,9.94,8.2,8.67,8.93,9.07,9.31,9.59,9.6,9.96,12.54,12.6,12.68,13.38
Oats,Hired labor,dollars per planted acre,,,,,,,,,,0.71,1.03,0.67,0.77,0.79,0.81,0.79,0.84,0.79,0.87,1.99,2.17,2.31,2.31
Oats,Interest on operating capital,dollars per planted acre,,,,,,,,,,1.2,1.6,1.79,0.93,0.15,0.1,0.06,0.08,0.05,0.04,0.11,0.28,0.64,1.27
Oats,Irrigated,percent of acres,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Oats,Opportunity cost of land (rental rate),dollars per planted acre,,,,,,,,,,61.9,63.09,61.5,67.85,78.56,80.95,84.53,95.47,101.02,108.31,105.25,94.08,94.01,95.91
Oats,Opportunity cost of unpaid labor,dollars per planted acre,,,,,,,,,,31.13,41.31,31.6,34.46,35.29,35.96,35.99,37.74,36.53,38.83,52.47,50.66,53.04,55.36
Oats,Price,dollars per bushel at harvest,,,,,,,,,,1.49,1.88,2.45,3.69,2.39,2.13,3.58,3.9,4.28,4.01,2.21,1.93,2.48,2.65
Oats,Primary output,dollars per planted acre,,,,,,,,,,94.17,106.03,144.55,225.09,155.35,130.78,190.1,228.93,268.36,263.86,165.31,135.49,160.21,183.38
Oats,Repairs,dollars per planted acre,,,,,,,,,,11.42,13.86,12.33,12.62,12.94,13.11,13.57,13.92,14.35,14.53,24.52,24.75,25.06,26.13
Oats,Secondary output (hay),dollars per planted acre,,,,,,,,,,8.24,13.53,21.95,37.81,21.05,15.77,37.59,45.54,46.24,40.67,5.13,4.95,4.74,5.16
Oats,Secondary output (straw),dollars per planted acre,,,,,,,,,,46.15,46.55,46.77,62.97,59.35,46.47,55.59,65.47,63.63,65.74,79.32,67.17,64.66,72.3
Oats,Seed,dollars per planted acre,,,,,,,,,,8.59,11.11,9.98,12.49,12.54,11.97,12.69,15.76,15.47,16.28,20.65,19.54,19.56,19.08
Oats,Straw baling,dollars per planted acre,,,,,,,,,,2.37,3.25,2.38,2.7,2.84,2.87,2.92,3.03,3.01,3.38,2.21,2.13,2.05,2.13
Oats,Taxes and insurance,dollars per planted acre,,,,,,,,,,4.27,5.41,5.09,5.79,5.55,5.78,6.07,6.23,6.08,6.97,6.13,6.43,6.5,6.59
Oats,Total allocated overhead,dollars per planted acre,,,,,,,,,,158.46,184.82,165.82,181.09,197.06,202.48,210.72,227.24,235.51,249.03,279.39,268.12,272.13,280.02
Oats,Total costs listed,dollars per planted acre,,,,,,,,,,230.35,280.5,247.43,294.23,298.84,298.01,323.53,347.99,349.6,366.33,414.76,391.42,394.02,402.8
Oats,Total operating costs,dollars per planted acre,,,,,,,,,,71.89,95.68,81.61,113.14,101.78,95.53,112.81,120.75,114.09,117.3,135.37,123.3,121.89,122.78
Oats,Total output,dollars per planted acre,,,,,,,,,,148.56,166.11,213.27,325.87,235.75,193.02,283.28,339.94,378.23,370.27,249.76,207.61,229.61,260.84
Oats,Value of production less operating costs,dollars per planted acre,,,,,,,,,,76.67,70.43,131.66,212.73,133.97,97.49,170.47,219.19,264.14,252.96,114.39,84.31,107.72,138.06
Oats,Value of production less total costs listed,dollars per planted acre,,,,,,,,,,-81.79,-114.39,-34.16,31.64,-63.09,-104.99,-40.25,-8.05,28.63,3.94,-165,-183.81,-164.41,-141.96
Oats,Yield,bushels per harvested acre,,,,,,,,,,63,56,59,61,65,61,53,59,63,66,75,70,65,69
Peanuts,Capital recovery of machinery and equipment,dollars per planted acre,108,122.02,120.89,121.91,122.62,122.97,123.85,124.91,119.07,127.27,134.01,140.85,153.88,163.33,169.39,179.88,188.65,152.65,158.14,161.84,168.47,169.25,169.59
Peanuts,Chemicals,dollars per planted acre,99.02,98.22,97.96,97.92,93,93.73,92.18,99.82,97.84,97.29,104.86,103.63,106.93,120,120.2,121.42,126.78,135.46,137.66,132.39,128.72,128.89,129.45
Peanuts,Commercial Drying,dollars per planted acre,17.04,16.65,17.31,17,13.61,18.15,17.16,23.76,23.84,33.44,33.07,39.13,56.76,37.71,46.25,51.14,67.15,74.38,72.18,45.29,35.37,46.77,52.91
Peanuts,Custom operations,dollars per planted acre,9.77,9.67,9.93,9.63,8.04,10.64,9.92,10,11.9,12.65,12.58,13.93,14.94,14.41,13.8,12.93,13.82,15.23,15.7,15.86,18.03,17.47,16.22
Peanuts,Dryland,percent of acres,68,68,68,68,68,68,68,68,65,65,65,65,65,65,65,65,65,62,62,62,62,62,62
Peanuts,Enterprise size,planted acres,105,105,105,105,105,105,105,105,180,180,180,180,180,180,180,180,180,272,272,272,272,272,272
Peanuts,Fertilizer,dollars per planted acre,42.5,39.8,39.52,39.49,37.25,41.84,39.09,48.5,44.7,51.82,55.74,66.86,109.32,102.61,79.54,107.28,113.3,101.33,97.07,88.07,75.18,67.52,64.01
Peanuts,"Fuel, lube, and electricity",dollars per planted acre,40.61,39.54,34.6,33.25,46.46,46.55,41.62,48.52,40.82,57.26,58.19,66.46,87.29,56.01,68.33,83.03,81.73,71.45,71.18,45.27,43.61,47.66,51.46
Peanuts,General farm overhead,dollars per planted acre,16.32,16.96,16.91,17.51,18.65,19.04,18.7,18.01,24.74,26.8,26.58,28.74,29.61,29.69,30.15,31,31.58,44.29,45.12,44.9,45.23,45.99,47.61
Peanuts,Hired labor,dollars per planted acre,32.86,35.06,35.14,37.72,39.1,41.45,42.51,41.62,15.23,14.91,15.57,16.47,16.71,16.98,17.44,18.53,18.65,16.65,16.91,17.45,19.96,19.66,19.97
Peanuts,Interest on operating capital,dollars per planted acre,7.77,7.82,7.31,7.01,8.64,5.3,2.6,1.66,2.35,5.47,8.06,8.09,3.79,0.61,0.41,0.24,0.32,0.25,0.17,0.42,1.08,2.56,5.16
Peanuts,Irrigated,percent of acres,32,32,32,32,32,32,32,32,35,35,35,35,35,35,35,35,35,38,38,38,38,38,38
Peanuts,Opportunity cost of land (rental rate),dollars per planted acre,40.32,42.86,42.32,45.49,38.24,41.17,46.44,48.78,53.58,54.63,55.68,54.28,59.88,69.34,71.44,92.42,88.17,94.47,97.83,101.58,92.93,94.02,96.75
Peanuts,Opportunity cost of quota,dollars per planted acre,88.53,89.8,86.4,87.66,80.42,83.47,,,,,,,,,,,,,,,,,
Peanuts,Opportunity cost of unpaid labor,dollars per planted acre,78.1,81.26,83.6,85.64,89.75,90.49,93,94.38,61.39,62.17,64.27,67.26,69.24,70.51,71.48,73.69,75.66,45.98,46.76,47.8,53.29,53.1,54.18
Peanuts,Price,dollars per pound,0.26,0.26,0.26,0.26,0.27,0.23,0.19,0.18,0.2,0.17,0.17,0.2,0.2,0.22,0.21,0.28,0.34,0.26,0.19,0.17,0.18,0.21,0.2
Peanuts,Primary output,dollars per planted acre,635.18,604.24,641.94,613.34,539.19,593.4,437.76,562.68,645.2,534.99,509.83,646.6,720.4,793.32,737.52,896.56,1420.18,1082.64,772.16,668.1,629.82,853.86,810.8
Peanuts,Purchased irrigation water,dollars per planted acre,,,,,,,,,0.53,0.55,0.6,0.6,0.6,0.68,0.68,0.69,0.71,0.65,0.67,0.72,0.75,0.72,0.72
Peanuts,Repairs,dollars per planted acre,25.3,27.5,30.4,27.74,28.62,29.74,30.93,31.6,33.71,35.74,35.69,37.6,39.07,39.72,40.24,41.26,42.68,53.7,54.66,54.9,56.88,56.99,57.86
Peanuts,Secondary output,dollars per planted acre,13.01,13.3,12.74,11.27,13.18,13.75,13.88,13.6,14.41,16.15,15.58,21.96,27.77,21.57,26.98,21.24,31.31,19.62,18.01,16,13.94,16.46,18.56
Peanuts,Seed,dollars per planted acre,74.8,74.29,75.48,72.89,72.71,73.72,73.57,75.26,67.43,66.53,68.37,71.93,98.1,90.3,89.29,108.15,113.17,111.89,116.6,116.76,122.4,121.74,121.24
Peanuts,Taxes and insurance,dollars per planted acre,18.85,19.27,20.57,19.66,20.42,21.47,22.22,22.37,15.65,17.38,21.88,25.27,27.88,30.68,26.64,28.85,28.64,22.32,25.09,26.74,25.06,25.3,25.41
Peanuts,Total allocated overhead,dollars per planted acre,382.98,407.23,405.83,415.59,409.2,420.06,346.72,350.07,289.66,303.16,317.99,332.87,357.2,380.53,386.53,424.37,431.35,376.36,389.85,400.31,404.94,407.32,413.51
Peanuts,Total costs listed,dollars per planted acre,699.79,720.72,718.34,720.52,717.53,739.73,653.79,689.19,612.78,663.9,695.16,741.1,874,842.58,845.27,950.51,991.01,940.7,955.74,899.99,886.96,897.64,912.54
Peanuts,Total operating costs,dollars per planted acre,316.81,313.49,312.51,304.93,308.33,319.67,307.07,339.12,323.12,360.74,377.17,408.23,516.8,462.05,458.74,526.14,559.66,564.34,565.89,499.68,482.02,490.32,499.03
Peanuts,Total output,dollars per planted acre,648.19,617.54,654.68,624.61,552.37,607.15,451.64,576.28,659.61,551.14,525.41,668.56,748.17,814.89,764.5,917.8,1451.49,1102.26,790.17,684.1,643.76,870.32,829.36
Peanuts,Value of production less operating costs,dollars per planted acre,331.38,304.05,342.17,319.68,244.04,287.48,144.57,237.16,336.49,190.4,148.24,260.33,231.37,352.84,305.76,391.66,891.83,537.92,224.28,184.42,161.74,380,330.33
