# File: USDA_InternationAgProductivity_LaborCapital.csv
# Title: USDA Internation Ag Productivity: Labor and Capital inputs by ISO, 1961-2023
# Units: 1000 persons or million 2015 USD
# Description:  Data is downloaded from USDA and preprocessed to keep labor_Q and capital_Q
# Data source:https://www.ers.usda.gov/data-products/international-agricultural-productivity
# Date of CSV last update: 2026-03-04
# Column types: iccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
fao_area_code,iso,variable,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
9,arg,Capital_Q_Mil2015USD,25565.8571,26211.6006,26045.4036,27450.8304,29103.9156,30057.7255,31076.7705,31330.9522,30528.2052,30302.1599,30890.2779,31830.6501,32939.209,32875.4515,33248.3451,33709.815,34337.2839,32798.7414,32491.3086,31957.0422,35747.4496,34540.7155,34675.1843,34958.8325,34891.8957,36315.7376,37483.5727,39474.8161,39534.7842,39508.5833,39240.6204,39217.9575,38859.559,38792.8131,38491.5607,38786.3421,39187.4017,39657.8466,39531.3364,39578.5826,39416.3262,40658.9128,42333.8019,44118.5897,45789.174,47229.8662,49528.4281,52213.308,53026.4419,55835.2785,59294.292,61519.562,63764.5406,66119.0332,67110.8792,69242.3806,70621.4498,71050.6002,71433.4462,71982.6065,73995.0882,75981.4147,77307.8747
9,arg,Labor_Q_ThousPPL,2376.101,2518.2305,2659.556,2655.4517,2629.0522,2535.2623,2585.1328,2391.0055,2359.3775,2346.9221,2305.3508,2268.9546,2232.6529,2200.8629,2275.2425,2127.6778,2037.5322,2022.2145,1976.1209,1923.8793,1902.7872,1878.2171,1919.2814,1928.5992,1951.1737,2021.5673,1990.6176,2011.0616,2028.3113,2049.1981,2057.99,2071.178,2016.354,1998.005,1837.935,1891.808,1961.28,2010.412,1966.901,1936.456,1868.784,1795.032,1888.941,1907.531,1885.476,1873.498,1840.832,1800.806,1787.919,1742.634,1752.24,1730.683,1703.692,1684.57,1577.347,1545.028,1606.973,1615.845,1607.633,1472.985,1657.25,1713.946,1711.973
10,aus,Capital_Q_Mil2015USD,54422.6276,56051.4726,57454.277,59361.6554,60101.3314,58989.9213,60723.4095,61752.2324,64047.3129,65637.7423,67547.4343,68683.4952,67874.0936,69367.5268,71311.5034,71407.4751,68548.4345,66293.9237,64695.6465,64117.5535,63052.4043,62801.9228,60697.5822,60941.5688,62340.3363,62589.8042,61609.0591,61924.5787,63013.4665,64361.1605,63918.0489,62639.8755,61807.4675,62657.8809,61388.5326,65657.3853,68555.521,69816.8168,73222.5578,73727.3155,74411.7641,76147.3951,80357.6433,84796.1819,88525.1293,93922.1279,98264.3434,100176.3164,102099.6139,102570.2285,104254.1897,105549.4075,106163.8431,105499.7018,104258.8951,104831.6022,104737.3891,104750.8543,107301.1291,113850.3819,114511.113,111088.647,110661.807
10,aus,Labor_Q_ThousPPL,436.3162,435.3938,433.5489,431.704,428.9367,426.1693,423.402,419.7122,415.1,433.9,412.5,442.3,426.2,404.8,397.7,384.6,400.3,374.9,399,407.3,415.9,411.9,415.9,402.5,408.9451,415.4933,422.1465,428.9061,435.774,435.774,410.429,384.474,389.968,385.517,390.122,401.108,409.177,411.034,425.85,430.415,427.33,401.665,366.927,355.875,352.725,344.181,345.593,344.739,348.492,355.062,315.192,317.115,299.287,323.517,311.3,313.969,318.393,329.66,329.869,350.534,326.762,299.687,303.223
11,aut,Capital_Q_Mil2015USD,18247.6061,19936.9763,21540.4015,22909.1902,24352.4223,25719.744,27020.9091,28152.8155,29114.4246,30012.8409,31115.3429,31932.6891,32853.9039,33652.26,34155.2522,34429.2148,35810.0541,36286.9489,36964.9518,37037.9715,37025.1491,37483.7051,37506.1275,37619.4688,37736.7397,37650.6191,37562.3028,39614.0998,39432.4642,38313.0209,38443.9775,38475.6748,38136.9098,38194.1108,37545.0459,38356.3413,39507.6882,40494.3923,41557.2187,41936.8892,42521.0405,43407.9192,44210.0464,45337.6199,45918.9772,46651.1346,47038.1146,47531.3413,48150.9237,49164.9667,49488.6692,50453.9666,51147.885,51370.3268,51211.7463,51976.7813,52612.7571,53358.3651,54331.6039,55335.2415,58181.1565,60186.9664,60401.0164
11,aut,Labor_Q_ThousPPL,755.595,720.36,686.1038,651.8475,618.57,585.2925,552.015,519.7163,487.4175,456.0975,446.31,435.5438,424.7775,413.0325,400.3088,387.585,373.8825,360.18,345.4988,331.7963,324.945,319.0725,313.2,304.1,290.9,282.7,284.7,269.6,265.5,268.7,256.4,250.2,246.5,269.3,269.383,268.435,248.21,235.113,228.757,222.257,214.575,210.785,205.971,182.019,197.679,200.66,216.857,217.734,221.717,218.101,200.097,190.965,187.825,198.926,187.959,183.503,167.428,159.549,159.224,166.736,160.822,157.204,139.744
12,bhs,Capital_Q_Mil2015USD,39.3945,41.7876,43.9748,46.7624,50.2961,54.6256,56.9083,56.2638,53.7556,53.7634,56.353,56.8281,61.943,56.2321,55.6142,68.7161,72.824700000000007,66.1709,60.517,64.5234,73.9697,72.351,72.0361,74.7007,75.9151,76.9931,79.8832,81.7852,86.9119,89.9406,82.554,87.8196,88.545,82.7489,110.6177,115.6897,121.5025,127.2353,131.7718,137.5962,142.3426,154.6751,165.1232,171.4851,177.0438,183.1899,188.9299,193.2623,193.3633,195.103,198.0896,201.8933,203.1245,206.5598,208.8876,212.7053,213.2635,213.8241,212.9942,208.0385,202.0485,197.0316,190.0916
12,bhs,Labor_Q_ThousPPL,8.5834,7.6297,7.6297,7.6297,7.6297,7.6297,6.676,6.676,5.7223,4.7686,4.7686,4.7686,4.7686,4.7686,4.7686,4.7686,4.7686,4.7686,4.7686,4.7686,4.7686,4.7686,5.7223,5.7223,5.7223,5.7223,5.7223,5.7223,5.7223,6.676,6.676,6.644,7.255,7.296,6.145,7.148,5.694,5.451,6.35,6.609,6.881,6.027,4.847,7.333,5.881,4.421,4.128,5.343,4.972,5.72,6.566,6.58,6.341,6.5,6.598,6.456,6.575,6.459,6.42,5.846,6.027,6.237,6.218
13,bhr,Capital_Q_Mil2015USD,13.1673,13.5739,14.0448,14.5287,15.0036,16.7508,17.1168,17.4737,18.109,18.7953,19.8798,22.0875,23.9328,22.7365,26.6246,28.7577,31.4315,31.4507,35.1601,35.0814,34.5462,35.6436,36.3109,37.8858,40.0276,42.233,45.6685,50.518,53.9679,55.4612,54.5937,74.7431,77.0676,64.3811,62.4223,67.8972,73.0667,81.313,90.3212,95.8428,100.2224,104.0577,110.9866,116.1102,119.8405,124.7889,132.0276,139.6961,146.5929,153.4963,159.8802,164.1914,171.8521,177.7954,181.3899,187.2446,192.3144,197.382,203.6588,208.2534,216.8222,225.0876,237.7776
13,bhr,Labor_Q_ThousPPL,8.4615,8.4615,8.4615,7.0513,7.0513,7.0513,7.0513,7.0513,7.0513,5.641,5.641,7.0513,7.0513,7.0513,7.0513,7.0513,7.0513,7.0513,7.0513,8.4615,8.4615,8.4615,7.0513,7.0513,7.0513,7.0513,7.0513,7.0513,7.0513,5.641,5.641,5.558,5.451,5.388,5.332,5.274,5.237,5.18,5.148,5.121,5.192,5.494,5.832,6.131,6.428,6.694,6.957,7.224,7.543,7.452,7.413,7.535,7.756,7.939,8.251,8.432,8.542,8.363,7.955,7.59,7.569,7.743,7.827
16,bgd,Capital_Q_Mil2015USD,3707.8269,3849.5484,3991.6116,4323.0155,4256.1606,4447.8351,4566.8029,4693.5573,4809.8093,4962.8233,4923.9243,4921.5335,4750.8102,4867.3382,4987.8169,5127.7492,5244.4327,5977.6347,6263.3916,4495.3099,4598.0267,4703.6632,4817.348,4845.4034,5040.6331,5242.0661,5458.2924,5691.0548,5938.8201,6159.7133,6340.3635,6589.4039,6848.6281,7164.8532,7505.5438,7695.3203,7929.6233,8220.4447,8657.7543,9049.411,9436.0271,9824.8878,10262.8555,10722.7867,11227.5209,11688.9897,12265.5037,12929.1929,13719.0085,14669.5654,15745.4463,16896.6241,18146.2935,19657.1434,21384.985,23169.0177,25122.4672,27203.9463,29412.8281,31796.1089,34431.0307,37169.7766,40159.2366
16,bgd,Labor_Q_ThousPPL,15790.3462,16039.3058,16297.0894,16561.806,16832.1951,17107.6265,17387.4698,17671.0947,17957.2408,18245.9079,18470.917,18694.0353,18912.7417,19123.8847,19327.4644,19520.9596,19706.2613,19887.7812,20073.0829,20264.6873,20551.4636,20847.6941,21149.5971,21449.6093,21744.5792,22031.9858,22312.4594,22587.2604,22857.6496,23124.8873,23414.815,24081.988,24704.363,25369.598,26048.136,26688.105,27274.306,27829.409,28369.251,28852.675,28095.44,27048.491,25835.16,25396.926,24877.384,25449.587,25714.526,25930.798,26108.916,26874.68,26631.854,26367.202,26070.569,25965.352,25774.038,25558.169,25680.145,25599.802,25440.17,25282.748,25696.54,25399.56,25558.762
18,btn,Capital_Q_Mil2015USD,19.9308,20.5145,21.0763,21.6492,22.1945,22.71,23.2532,23.786,24.3407,24.9534,25.6047,26.2847,26.928,27.5826,28.2967,29.0755,29.8377,30.6273,31.3914,32.1049,33.3775,35.2918,37.3504,39.6507,44.2422,46.9265,51.4877,51.72,53.9082,56.6735,54.6193,54.1687,56.2897,58.246,63.7289,68.268,73.3088,78.0504,84.9688,93.1677,102.2273,113.7076,124.6038,136.8625,144.1956,151.0328,156.9756,166.1209,177.9808,194.1066,211.836,228.9928,238.2814,254.2794,272.9562,294.299,317.6258,341.868,364.8928,386.0075,412.717,441.4442,475.8542
18,btn,Labor_Q_ThousPPL,77.9719,79.9884,81.3327,83.3492,85.3657,88.0544,90.0709,92.7596,95.4483,98.137,101.4979,105.5309,109.5639,113.5969,117.63,121.663,126.3682,130.4012,134.4342,138.4673,141.8281,144.5168,147.8777,151.2385,154.5994,159.3046,164.0098,168.715,172.0758,173.4202,172.748,166.231,159.518,159.814,158.227,158.712,162.326,166.454,171.364,174.934,179.094,184.211,189.348,191.676,193.294,191.758,192.555,192.646,191.051,186.601,188.05,188.5,187.007,183.774,193.214,191.365,189.062,186.172,191.441,189.713,196.654,158.803,170.376
19,bol,Capital_Q_Mil2015USD,806.8054,845.5084,884.131,916.3608,955.8799,992.0579,1034.683,1075.9911,1117.4659,1163.2287,1215.895,1266.7575,1334.2695,1439.4388,1516.8066,1592.2493,1669.9241,1788.6804,1861.5813,1909.5179,1932.6601,1975.0907,2084.8518,2019.4494,2108.2982,2069.7069,2136.5117,2185.8768,2207.7364,2149.6099,2193.6177,2220.7701,2241.3172,2264.1511,2323.5957,2364.6825,2440.7325,2504.0398,2575.3078,2635.2133,2686.7327,2748.5788,2831.0342,2916.7195,2966.2603,3002.9223,3029.4901,3092.3629,3187.0352,3277.9279,3386.7301,3508.702,3666.7158,3827.2726,4014.1137,4271.5313,4592.1716,4932.1506,5303.7082,5617.7312,5908.7502,6191.3544,6460.5944
19,bol,Labor_Q_ThousPPL,1068.6603,1047.8716,1062.0159,1077.0674,1099.9034,1111.9646,1088.5063,1087.994,1035.4926,1048.9384,1050.4859,1050.8495,1037.2001,1020.8738,1002.2241,983.477,967.9095,961.2632,960.6248,969.144,995.7422,1003.991,1018.5581,1019.1779,1043.7601,1063.4104,1096.568,1103.614,1139.1032,1204.0312,1284.126,1300.877,1324.677,1349.279,1377.429,1402.108,1430.838,1435.079,1432.35,1421.128,1641.53,1605.126,1354.017,1382.059,1552.642,1622.16,1512.824,1332.859,1306.801,1411.321,1510.195,1434.096,1545.192,1494.867,1441.274,1463.831,1556.537,1693.655,1570.153,1641.044,1686.451,1571.899,1582.752
20,bwa,Capital_Q_Mil2015USD,31.3048,32.0299,32.2934,32.7105,28.014,24.3757,28.4736,31.7901,36.6502,37.7527,39.2044,44.7501,46.1961,50.0558,54.4707,59.8966,64.3841,61.0022,60.4781,62.2027,63.4623,64.3114,62.0511,59.9916,56.9958,55.3539,54.7456,59.9145,63.2928,68.0925,56.8132,52.4171,48.4367,53.8679,65.5482,76.1055,85.1245,86.342,84.6142,85.5451,93.1505,97.5498,134.1688,134.5791,135.105,138.1147,145.0115,152.589,157.2536,161.8827,167.4297,178.3406,189.3211,198.6881,207.4449,218.9001,229.3797,241.5156,252.8744,264.8277,271.4841,279.8516,287.8716
20,bwa,Labor_Q_ThousPPL,57.3,57.5238,57.5238,57.9715,58.1953,58.4191,58.8668,59.3144,59.7621,60.2098,60.4336,60.8812,61.1051,61.5527,62.0004,62.448,63.1195,63.5672,64.0148,64.2387,64.4625,64.4625,64.4625,64.2387,64.0148,63.791,63.3433,62.8957,62.448,61.7765,63.791,63.279,63.42,63.391,64.05,64.817,78.882,95.353,98.351,101.67,97.708,102.584,107.988,128.578,150.432,174.294,173.309,172.507,172.575,155.425,151.545,150.226,142.473,136.927,135.993,129.983,125.65,121.948,117.528,150.564,140.155,143.552,158.145
21,bra,Capital_Q_Mil2015USD,17962.2404,19226.6007,20622.4658,21898.8573,23271.7459,24529.1472,25730.8952,27003.2658,28267.2121,29499.257,31352.6271,33477.2996,35239.8987,37469.6622,43346.783,46640.9757,48818.8745,51715.5062,55338.4662,60622.0743,62616.3866,64467.9835,65882.9521,68131.0886,69818.9655,71492.0911,73019.0425,74560.9356,76363.1981,77792.5926,79509.0201,80825.4149,81839.9778,83275.5983,84727.4406,83399.444,82378.1904,81496.4758,80315.4661,79206.1426,78379.9734,77897.3207,77846.5547,77694.8831,76872.2179,75990.7869,75513.7287,75292.5695,75170.9037,75055.2442,75301.0086,75595.2617,76247.4853,76442.099,76173.9011,76429.7779,76861.3229,77062.2384,77220.5587,77541.1497,79824.191,81785.6435,84759.9335
21,bra,Labor_Q_ThousPPL,8778.2231,8842.3716,8906.4007,8970.2645,9033.9157,9097.306,9160.3858,9223.1048,9285.4119,9347.2555,9682.1599,10013.6413,10825.2302,10664.8457,10502.146,10337.0189,11234.8188,10973.2403,10403.0637,10820.9963,9740.7493,10377.5603,9730.9169,10962.8789,12280.628,10660.7549,10546.7547,10581.7838,10514.216,10643.6976,10898.38,11474.884,11644.944,11379.105,11293.789,10425.154,10592.272,10256.534,10841.261,11007.794,11269.664,11730.795,12001.847,12848.836,12713.242,12138.873,11518.498,11078.523,10779.568,10128.625,9602.801,8831.713,9125.67,8582.465,8585.741,8826.669,8294.243,8302.006,8307.218,8038.438,8583.135,8449.387,8030.932
23,blz,Capital_Q_Mil2015USD,24.8628,28.3256,31.9314,37.6965,39.1489,43.3982,45.0058,46.5974,48.4515,50.7547,53.5135,55.711,57.8999,61.3077,63.7884,65.5558,66.6695,67.2016,68.7514,69.8645,71.0707,72.5036,74.4765,76.0356,77.2959,79.2759,82.5933,84.0546,85.1657,92.4849,90.9102,101.6092,95.5368,95.4679,85.4134,88.3904,91.1909,93.1689,98.0468,104.2714,108.8639,112.2604,115.1851,119.7353,124.2964,128.0712,130.2972,133.4146,135.2975,136.0519,136.8292,139.1903,142.7163,144.6175,147.2588,147.7769,148.5543,147.0867,145.8839,145.411,145.2768,145.7006,146.8706
23,blz,Labor_Q_ThousPPL,9.0876,9.8449,9.8449,9.8449,9.8449,9.8449,10.6022,10.6022,10.6022,10.6022,11.3595,11.3595,11.3595,11.3595,12.1168,12.1168,12.1168,12.1168,12.8741,12.8741,12.8741,12.8741,13.6314,13.6314,13.6314,14.3887,14.3887,14.3887,14.3887,15.146,15.146,15.443,15.647,15.485,15.857,17.441,19.566,16.74,19.727,20.122,20.17,19.628,19.187,18.827,18.374,19.245,19.951,20.594,21.063,21.619,22.284,22.772,22.851,24.231,25.926,27.871,27.053,28.641,29.118,27.701,25.745,26.179,26.707
25,slb,Capital_Q_Mil2015USD,53.1289,54.3814,59.765,61.0984,69.3417,70.3338,77.3056,84.8842,93.1549,100.0479,108.6115,119.4889,127.2904,144.5487,154.7262,161.6564,165.6489,168.3368,159.2373,165.2352,167.8533,170.4441,167.9972,167.1822,168.8446,156.966,131.7936,128.9688,129.3753,130.5401,130.7609,131.8332,133.4401,132.0484,131.8342,134.3225,137.6888,147.0065,149.5009,147.9928,144.312,139.9228,147.3687,156.4239,170.9268,186.8354,203.7293,221.8669,238.5004,272.3052,289.6497,305.9826,322.1084,339.0878,355.825,375.8295,396.4266,421.1808,444.6782,462.7767,478.2198,492.9421,504.8221
25,slb,Labor_Q_ThousPPL,24.4306,24.8592,25.7164,26.145,27.0022,27.8594,28.288,29.1452,30.0024,30.8597,31.7169,32.5741,33.4313,34.2885,35.1457,36.0029,36.8601,37.7174,38.5746,39.8604,41.1462,42.432,43.7178,45.4323,46.7181,48.0039,49.2897,50.5755,51.8614,53.1472,54.433,55.772,57.261,58.177,59.302,60.375,62.316,63.053,64.649,69.834,71.284,78.264,84.657,87.723,88.598,91.402,94.333,97.331,100.095,104.694,110.214,116.715,123.443,127.652,130.997,134.936,137.753,141.78,143.716,146.779,151.348,153.978,156.481
26,brn,Capital_Q_Mil2015USD,56.8299,57.9,52.4175,43.9654,42.0467,53.3118,55.9241,62.9382,68.0172,73.3916,75.0392,65.1568,65.427,70.0424,71.5571,72.0724,76.5804,72.3977,78.0233,86.7041,104.0072,113.556,112.2366,104.7139,122.8763,101.8661,120.0327,99.6726,87.1863,102.626,105.407,115.3233,125.1435,122.9368,124.6071,138.9522,146.6107,154.2495,159.915,162.7969,166.6796,171.1378,176.7409,181.9732,186.3433,188.1802,190.787,193.2448,197.8884,200.5285,203.3057,209.352,215.8592,223.7494,233.9818,243.4462,251.9082,261.9295,270.6656,280.1602,289.2241,297.4164,305.1064
26,brn,Labor_Q_ThousPPL,8.836,8.836,8.836,8.836,7.7315,7.7315,6.627,6.627,5.5225,5.5225,5.5225,5.5225,5.5225,4.418,4.418,4.418,4.418,4.418,4.418,4.418,3.3135,3.3135,3.3135,3.3135,3.3135,3.3135,3.3135,3.3135,2.209,2.209,2.209,2.191,2.178,2.166,2.135,2.129,2.12,2.1,2.104,2.093,2.072,2.125,2.18,2.235,2.289,2.336,2.373,2.41,2.436,2.481,2.534,2.577,2.614,2.655,2.663,2.675,2.686,2.188,4.085,2.78,3.036,3.307,3.316
27,bgr,Capital_Q_Mil2015USD,1816.6559,1906.2583,1885.6671,1885.0716,1953.2221,1929.8212,1896.9463,1927.9773,1860.7813,1821.6293,1912.7902,2022.3122,2025.1604,2024.7648,2164.7699,2279.915,2248.8249,2276.6312,2310.0916,2337.0405,2328.3195,2335.8346,2326.2586,2319.282,2265.1183,2203.505,2193.8921,2157.0169,2136.8469,2087.8187,1977.2525,1746.1937,1405.8644,1244.0068,1192.6791,1129.1262,803.4213,823.3474,824.0806,807.1363,1204.3651,1368.1269,1624.1581,1960.1699,2137.2214,2278.9016,2432.7735,2908.7746,3067.6866,3239.4035,3540.2095,3783.0793,3981.1706,4291.7706,4613.9742,4670.5449,4837.7233,5064.6888,5160.9262,5231.1466,5348.123,5663.2323,6117.6123
27,bgr,Labor_Q_ThousPPL,2304.6358,2149.2095,2080.1136,2020.3554,1770.5563,1713.1844,1686.1798,1605.421,1524.0253,1461.5848,1399.9067,1369.4283,1315.0959,1269.9827,1187.6672,1129.1667,1083.7113,1056.1661,1081,1062.7,1046.8,1018.4,988.6,957.6,934.8,914.4,884.7,860.6,814.3,757.5,696.5,694,712.6,751.5,782.9,800.29,800.353,825.18,795.6,377.026,266.772,299.468,320.127,318.516,266.364,252.157,245.388,256.269,224.003,205.714,192.077,191.755,190.509,216.667,206.361,208.179,226.504,211.697,206.651,193.071,184.784,192.651,183.101
