state_name,state,NAICS_code,VOS_thousUSD
Kentucky,KY,3273,571229
Kentucky,KY,3311,6394647
Kentucky,KY,3313,5305061
Kentucky,KY,332,5544250
Louisiana,LA,311,7285365
Louisiana,LA,322,5442480
Louisiana,LA,324,129208248
Louisiana,LA,325,61674917
Louisiana,LA,3273,664726
Louisiana,LA,332,5778942
Maine,ME,311,1764527
Maine,ME,322,4490647
Maine,ME,325,517303
Maine,ME,332,1353098
Maryland,MD,311,6890804
Maryland,MD,322,1063471
Maryland,MD,325,5810800
Maryland,MD,3273,909779
Maryland,MD,3311,D
Maryland,MD,332,3004384
Massachusetts,MA,311,6562151
Massachusetts,MA,322,3257158
Massachusetts,MA,325,10450641
Massachusetts,MA,3273,504019
Massachusetts,MA,332,7241660
Michigan,MI,311,14173388
Michigan,MI,322,5189368
Michigan,MI,324,4821108
Michigan,MI,325,14530139
Michigan,MI,3273,1303695
Michigan,MI,3311,5118891
Michigan,MI,3313,1235033
Michigan,MI,332,15712809
Minnesota,MN,311,25053955
Minnesota,MN,322,5419815
Minnesota,MN,324,D
Minnesota,MN,325,5413111
Minnesota,MN,3273,963422
Minnesota,MN,332,10158937
Mississippi,MS,311,5525202
Mississippi,MS,322,2241580
Mississippi,MS,324,D
Mississippi,MS,325,5247102
Mississippi,MS,3273,536180
Mississippi,MS,332,3329572
Missouri,MO,311,18529042
Missouri,MO,322,4573651
Missouri,MO,324,906297
Missouri,MO,325,15191827
Missouri,MO,3273,1413601
Missouri,MO,3313,1260763
Missouri,MO,332,7304339
Montana,MT,311,820333
Montana,MT,324,7091602
Montana,MT,332,279841
Nebraska,NE,311,25330258
Nebraska,NE,322,507096
Nebraska,NE,325,4029750
Nebraska,NE,3273,392079
Nebraska,NE,332,2329409
Nevada,NV,311,1595992
Nevada,NV,325,697842
Nevada,NV,3273,936721
Nevada,NV,332,1552722
New Hampshire,NH,311,842917
New Hampshire,NH,325,574665
New Hampshire,NH,332,2403981
New Jersey,NJ,311,11077163
New Jersey,NJ,322,3198277
New Jersey,NJ,324,26965336
New Jersey,NJ,325,28850077
New Jersey,NJ,3273,1198534
New Jersey,NJ,332,5603636
New Mexico,NM,311,2871784
New Mexico,NM,325,770038
New Mexico,NM,3273,347392
New Mexico,NM,332,443728
New York,NY,311,17382470
New York,NY,322,5190069
New York,NY,324,1330018
New York,NY,325,38837148
New York,NY,3273,1828131
New York,NY,3311,1332006
New York,NY,3313,3011133
New York,NY,332,11868282
North Carolina,NC,311,20279117
North Carolina,NC,322,6589735
North Carolina,NC,325,45885057
North Carolina,NC,3273,1444103
North Carolina,NC,3311,D
North Carolina,NC,332,10985949
North Dakota,ND,311,4203454
North Dakota,ND,332,629681
Ohio,OH,311,25205045
Ohio,OH,322,7784900
Ohio,OH,324,23222332
Ohio,OH,325,30268330
Ohio,OH,3273,1680028
Ohio,OH,3311,17296303
Ohio,OH,3313,1909187
Ohio,OH,332,31449958
Oklahoma,OK,311,6378764
Oklahoma,OK,322,2437291
Oklahoma,OK,324,25598391
Oklahoma,OK,325,3523503
Oklahoma,OK,3273,772200
Oklahoma,OK,3311,1008048
Oklahoma,OK,332,6652904
Oregon,OR,311,7260535
Oregon,OR,322,3831535
Oregon,OR,325,2295600
Oregon,OR,3273,559497
Oregon,OR,332,3739590
Pennsylvania,PA,311,29555680
Pennsylvania,PA,322,11056621
Pennsylvania,PA,324,33404430
Pennsylvania,PA,325,28130134
Pennsylvania,PA,3273,2714210
Pennsylvania,PA,3311,17467276
Pennsylvania,PA,3313,1900007
Pennsylvania,PA,332,21120655
Rhode Island,RI,311,546871
Rhode Island,RI,322,254335
Rhode Island,RI,325,1056711
Rhode Island,RI,332,1716224
South Carolina,SC,311,5304304
South Carolina,SC,322,7253834
South Carolina,SC,325,14014763
South Carolina,SC,3273,1287389
South Carolina,SC,3311,4216872
South Carolina,SC,332,6782185
South Dakota,SD,311,3746504
South Dakota,SD,325,1881261
South Dakota,SD,3273,241150
South Dakota,SD,332,902164
Tennessee,TN,311,17723753
Tennessee,TN,322,5553416
Tennessee,TN,324,D
Tennessee,TN,325,14905029
Tennessee,TN,3273,1208703
Tennessee,TN,3311,1383806
Tennessee,TN,3313,3309914
Tennessee,TN,332,7799836
Texas,TX,311,39313520
Texas,TX,322,6607017
Texas,TX,324,208982383
Texas,TX,325,153404943
Texas,TX,3273,6190191
Texas,TX,3311,5185131
Texas,TX,3313,2578039
Texas,TX,332,32504314
Utah,UT,311,6223468
Utah,UT,322,1291858
Utah,UT,324,6823042
Utah,UT,325,2654392
Utah,UT,3273,585901
Utah,UT,332,2754021
Vermont,VT,311,2378982
Vermont,VT,325,D
Vermont,VT,332,411453
Virginia,VA,311,11411745
Virginia,VA,322,4135986
Virginia,VA,325,9619096
Virginia,VA,3273,1489646
Virginia,VA,3311,1495164
Virginia,VA,332,4990046
Washington,WA,311,10963808
Washington,WA,322,5544051
Washington,WA,324,23070403
Washington,WA,325,2479370
Washington,WA,3273,1182056
Washington,WA,3313,D
Washington,WA,332,4600724
West Virginia,WV,311,720872
West Virginia,WV,325,9352688
West Virginia,WV,3273,335073
West Virginia,WV,3311,1260159
West Virginia,WV,3313,1473401
West Virginia,WV,332,2772023
Wisconsin,WI,311,33752349
Wisconsin,WI,322,14257749
Wisconsin,WI,325,9192458
Wisconsin,WI,3273,920252
Wisconsin,WI,3313,D
Wisconsin,WI,332,14541703
Wyoming,WY,324,6205313
Wyoming,WY,325,D
