# UCS 2000-2008 cooling technology (using saline water) by generation technology and region,,,Fresh,,,,,
region,fuel,UCS_technology,Dry_Cooled,Once_Through,Cooling_Pond,Recirculating,No_Cooling_Needed,error_flag
MAAC,Oil and others,Combustion turbine (oil),0,0,0,0,0,
MAAC,Oil and others,Generic steam plant (oil),0,0,0,0,0,
MAAC,Biopower and Biogas,Combustion Turbine (biopower),0,0,0,0,18819,
MAAC,Biopower and Biogas,Generic steam plant (biopower),0,0,0,0,0,Historical
MAAC,Geothermal Dry Steam,Geothermal EGS,0,0,0,0,0,
MAAC,Geothermal Dry Steam,Geothermal Dry Steam,0,0,0,0,0,
MAAC,Geothermal Dry Steam,Geothermal Binary,0,0,0,0,0,
MAAC,Hydropower,Hydropower,0,0,0,0,0,
MAAC,Hydropower,Pumped Storage,0,0,0,0,0,
MAAC,PV,PV,0,0,0,0,9,
MAAC,Coal,Generic steam plant (coal),0,0,0,0,0,National average
MAAC,Nuclear,Generic steam plant (nuclear),0,0,0,0,0,
MAAC,Concentrated Solar Power (CSP),CSP Trough,0,0,0,0,0,
MAAC,Wind,Wind,0,0,0,0,20885,
FL_SR,Natural Gas,Combined cycle (natural gas),0,4860617.389,0,10040320.54,0,
FL_SR,Natural Gas,Combustion Turbine (natural gas),0,0,0,0,2137,
FL_SR,Natural Gas,Generic steam plant (natural gas),0,0,0,0,0,
FL_SR,Oil and others,Combined cycle (oil),0,0,0,0,0,
FL_SR,Oil and others,Combustion turbine (oil),0,0,0,0,2389.04943,
FL_SR,Oil and others,Generic steam plant (oil),0,0,0,0,0,
FL_SR,Biopower and Biogas,Combustion Turbine (biopower),0,0,0,0,0,
FL_SR,Biopower and Biogas,Generic steam plant (biopower),0,0,0,0,0,
FL_SR,Geothermal Dry Steam,Geothermal EGS,0,0,0,0,0,
FL_SR,Geothermal Dry Steam,Geothermal Dry Steam,0,0,0,0,0,
FL_SR,Geothermal Dry Steam,Geothermal Binary,0,0,0,0,0,
FL_SR,Hydropower,Hydropower,0,0,0,0,0,
FL_SR,Hydropower,Pumped Storage,0,0,0,0,0,
FL_SR,PV,PV,0,0,0,0,0,
FL_SR,Coal,Generic steam plant (coal),0,0,0,0,0,
FL_SR,Nuclear,Generic steam plant (nuclear),0,0,0,0,0,
FL_SR,Concentrated Solar Power (CSP),CSP Trough,0,0,0,0,0,
FL_SR,Wind,Wind,0,0,0,0,0,
MAPP,Natural Gas,Combined cycle (natural gas),0,0,0,0,0,Historical
MAPP,Natural Gas,Combustion Turbine (natural gas),0,0,0,0,0,
MAPP,Natural Gas,Generic steam plant (natural gas),0,0,0,0,0,
MAPP,Oil and others,Combined cycle (oil),0,0,0,0,0,
MAPP,Oil and others,Combustion turbine (oil),0,0,0,0,0,
MAPP,Oil and others,Generic steam plant (oil),0,0,0,0,0,
MAPP,Biopower and Biogas,Combustion Turbine (biopower),0,0,0,0,0,
MAPP,Biopower and Biogas,Generic steam plant (biopower),0,0,0,0,0,
MAPP,Geothermal Dry Steam,Geothermal EGS,0,0,0,0,0,
MAPP,Geothermal Dry Steam,Geothermal Dry Steam,0,0,0,0,0,
MAPP,Geothermal Dry Steam,Geothermal Binary,0,0,0,0,0,
MAPP,Hydropower,Hydropower,0,0,0,0,0,
MAPP,Hydropower,Pumped Storage,0,0,0,0,0,
MAPP,PV,PV,0,0,0,0,0,
MAPP,Coal,Generic steam plant (coal),0,0,0,0,0,
MAPP,Nuclear,Generic steam plant (nuclear),0,0,0,0,0,
MAPP,Concentrated Solar Power (CSP),CSP Trough,0,0,0,0,0,
MAPP,Wind,Wind,0,0,0,0,0,
MAIN,Natural Gas,Combined cycle (natural gas),0,0,0,0,0,Historical
MAIN,Natural Gas,Combustion Turbine (natural gas),0,0,0,0,34980,
MAIN,Natural Gas,Generic steam plant (natural gas),0,0,0,0,0,
MAIN,Oil and others,Combined cycle (oil),0,0,0,0,0,
MAIN,Oil and others,Combustion turbine (oil),0,0,0,0,0,
MAIN,Oil and others,Generic steam plant (oil),0.05,0,0,0,0,Assume
MAIN,Biopower and Biogas,Combustion Turbine (biopower),0,0,0,0,0,
MAIN,Biopower and Biogas,Generic steam plant (biopower),0,0,0,0,0,
MAIN,Geothermal Dry Steam,Geothermal EGS,0,0,0,0,0,
MAIN,Geothermal Dry Steam,Geothermal Dry Steam,0,0,0,0,0,
MAIN,Geothermal Dry Steam,Geothermal Binary,0,0,0,0,0,
MAIN,Hydropower,Hydropower,0,0,0,0,0,
MAIN,Hydropower,Pumped Storage,0,0,0,0,0,
MAIN,PV,PV,0,0,0,0,0,
MAIN,Coal,Generic steam plant (coal),0,0,0,0,0,
MAIN,Nuclear,Generic steam plant (nuclear),0,0,0,0,0,
MAIN,Concentrated Solar Power (CSP),CSP Trough,0,0,0,0,0,
MAIN,Wind,Wind,0,0,0,0,0,
ECAR,Natural Gas,Combined cycle (natural gas),0,0,0,0,0,
ECAR,Natural Gas,Combustion Turbine (natural gas),0,0,0,0,0,
ECAR,Natural Gas,Generic steam plant (natural gas),0,0,0,0,0,
ECAR,Oil and others,Combined cycle (oil),0,0,0,0,0,
ECAR,Oil and others,Combustion turbine (oil),0,0,0,0,0,
ECAR,Oil and others,Generic steam plant (oil),0,0,0,0,0,
ECAR,Biopower and Biogas,Combustion Turbine (biopower),0,0,0,0,0,
ECAR,Biopower and Biogas,Generic steam plant (biopower),0,0,0,0,0,
ECAR,Geothermal Dry Steam,Geothermal EGS,0,0,0,0,0,
ECAR,Geothermal Dry Steam,Geothermal Dry Steam,0,0,0,0,0,
ECAR,Geothermal Dry Steam,Geothermal Binary,0,0,0,0,0,
ECAR,Hydropower,Hydropower,0,0,0,0,0,
ECAR,Hydropower,Pumped Storage,0,0,0,0,0,
ECAR,PV,PV,0,0,0,0,0,
ECAR,Coal,Generic steam plant (coal),0,0,0,0,0,
ECAR,Nuclear,Generic steam plant (nuclear),0,0,0,0,0,
ECAR,Concentrated Solar Power (CSP),CSP Trough,0,0,0,0,0,
ECAR,Wind,Wind,0,0,0,0,0,
NY_SR,Natural Gas,Combined cycle (natural gas),2295311,2652811,0,0,0,
NY_SR,Natural Gas,Combustion Turbine (natural gas),0,0,0,0,463626.0128,
NY_SR,Natural Gas,Generic steam plant (natural gas),0,0,0,0,0,
NY_SR,Oil and others,Combined cycle (oil),0,0,0,0,0,
NY_SR,Oil and others,Combustion turbine (oil),0,0,0,0,0,
NY_SR,Oil and others,Generic steam plant (oil),0,0,0,0,0,
NY_SR,Biopower and Biogas,Combustion Turbine (biopower),0,0,0,0,0,
NY_SR,Biopower and Biogas,Generic steam plant (biopower),0,0,0,0,0,Historical
NY_SR,Geothermal Dry Steam,Geothermal EGS,0,0,0,0,0,
NY_SR,Geothermal Dry Steam,Geothermal Dry Steam,0,0,0,0,0,
NY_SR,Geothermal Dry Steam,Geothermal Binary,0,0,0,0,0,
NY_SR,Hydropower,Hydropower,0,0,0,0,0,
NY_SR,Hydropower,Pumped Storage,0,0,0,0,0,
NY_SR,PV,PV,0,0,0,0,0,
NY_SR,Coal,Generic steam plant (coal),0,0,0,0,0,National average
NY_SR,Nuclear,Generic steam plant (nuclear),0,0,0,0,0,
NY_SR,Concentrated Solar Power (CSP),CSP Trough,0,0,0,0,0,
NY_SR,Wind,Wind,0,0,0,0,0,
ERCOT,Natural Gas,Combined cycle (natural gas),0,0,0,2418654,0,
ERCOT,Natural Gas,Combustion Turbine (natural gas),0,0,0,0,0,
ERCOT,Natural Gas,Generic steam plant (natural gas),0,0,0,0,0,
ERCOT,Oil and others,Combined cycle (oil),0,0,0,0,0,
ERCOT,Oil and others,Combustion turbine (oil),0,0,0,0,0,
ERCOT,Oil and others,Generic steam plant (oil),0,0,0,0,0,Historical
ERCOT,Biopower and Biogas,Combustion Turbine (biopower),0,0,0,0,0,
ERCOT,Biopower and Biogas,Generic steam plant (biopower),0,0,0,0,0,Historical
ERCOT,Geothermal Dry Steam,Geothermal EGS,0,0,0,0,0,
ERCOT,Geothermal Dry Steam,Geothermal Dry Steam,0,0,0,0,0,
ERCOT,Geothermal Dry Steam,Geothermal Binary,0,0,0,0,0,
ERCOT,Hydropower,Hydropower,0,0,0,0,0,
ERCOT,Hydropower,Pumped Storage,0,0,0,0,0,
ERCOT,PV,PV,0,0,0,0,0,
ERCOT,Coal,Generic steam plant (coal),0,0,0,0,0,
ERCOT,Nuclear,Generic steam plant (nuclear),0,0,0,0,0,Historical
ERCOT,Concentrated Solar Power (CSP),CSP Trough,0,0,0,0,0,
ERCOT,Wind,Wind,0,0,0,0,0,
USA,Coal,Combined cycle (coal),0,0,0,0,0,
USA,Coal,Combined cycle (coal)_CCS,0,0,0,0,0,
USA,Oil and others,Combined cycle (oil)_CCS,0,0,0,0,0,
USA,Biopower and Biogas,Combined cycle (biopower),0,0,0,0,0,
USA,Biopower and Biogas,Combined cycle (biopower)_CCS,0,0,0,0,0,
USA,Natural Gas,Combined cycle (natural gas)_CCS,0,0,0,0,0,
