BLDGID5,REGION5,CENDIV5,SQFT5,YRCONC5,PBA5,ADJWT5,ELHTBTU5,ELCLBTU5,ELVNBTU5,ELWTBTU5,ELLTBTU5,ELCKBTU5,ELRFBTU5,ELOFBTU5,ELMSBTU5,NGHTBTU5,NGWTBTU5,NGCKBTU5,NGMSBTU5,FKHTBTU5,FKWTBTU5,FKMSBTU5,DHHTBTU5,DHWTBTU5,DHMSBTU5
19,1,1,8000,2,1,205.19,0,1985,44,9653,4473,0,40,52,301,              ,              ,              ,              ,              ,              ,              ,411000,0,0
20,2,3,30000,1,2,6.9,0,303630,6170,574792,559438,0,9989,237460,185346,              ,              ,              ,              ,              ,              ,              ,6295000,0,0
21,3,7,20000,3,3,293.76,0,18076,46941,0,138046,0,6981,24137,9655,234718,60914,0,0,              ,              ,              ,              ,              ,
22,2,3,2000,4,13,1923.38,0,1008,866,0,1566,0,104,29,142,              ,              ,              ,              ,195969,0,0,              ,              ,
23,3,5,160000,5,3,225.04,3921,12762,179661,342204,656534,0,23540,24317,97479,              ,              ,              ,              ,              ,              ,              ,              ,              ,
24,3,5,1500,3,12,1882.46,0,0,157,0,130,0,28,6,27,              ,              ,              ,              ,              ,              ,              ,              ,              ,
25,3,7,3000,7,3,1678.97,4376,51093,14336,22287,59844,0,2130,9897,1997,              ,              ,              ,              ,              ,              ,              ,              ,              ,
26,4,9,8000,6,5,150.1,0,0,683,66714,177074,0,1395,11696,81718,26592,0,0,471,              ,              ,              ,              ,              ,
27,1,2,350000,5,5,12.03,0,0,0,957377,2803560,0,21156,151647,115541,              ,              ,              ,              ,              ,              ,              ,              ,              ,
28,4,9,35000,5,18,290.6,0,0,0,0,335131,0,21250,9425,77757,847210,510761,0,0,              ,              ,              ,              ,              ,
29,2,3,2500,6,1,1605.92,0,0,0,0,716,0,686,913,5307,              ,              ,              ,              ,              ,              ,              ,              ,              ,
30,3,7,5000,7,2,489.1,8239,162433,31676,102239,273994,0,4030,145819,33394,              ,              ,              ,              ,              ,              ,              ,              ,              ,
31,3,7,2500,4,3,640.23,5277,5526,2750,0,7307,0,593,1884,753,              ,              ,              ,              ,              ,              ,              ,              ,              ,
32,2,3,80000,4,13,2.57,0,232835,0,0,1642702,0,33803,21744,95081,              ,              ,              ,              ,              ,              ,              ,2509718,1397282,0
33,4,9,90000,7,5,20.06,280516,50598,4252,95669,78533,0,3205,22367,17042,1186448,0,0,92599,              ,              ,              ,              ,              ,
34,2,4,10000,4,3,1826.41,0,10384,9329,46393,71967,0,3895,14772,3637,500637,0,0,50907,              ,              ,              ,              ,              ,
35,2,3,600000,8,2,11.47,0,3567980,5312206,1330252,5630408,0,162234,6272772,2146384,15169193,0,259736,0,              ,              ,              ,              ,              ,
36,4,9,17500,7,5,138.47,17411,8137,405,96194,197923,0,2744,20787,13411,              ,              ,              ,              ,              ,              ,              ,              ,              ,
37,3,7,1500,6,3,1795.89,0,3672,1280,0,6791,0,315,1108,443,151892,0,0,30035,              ,              ,              ,              ,              ,
38,4,8,2000,5,14,1387.55,6154,45952,11220,0,19384,0,1222,564,2762,              ,              ,              ,              ,              ,              ,              ,              ,              ,
39,4,9,30000,4,11,145.62,23796,209419,14878,214309,577048,0,970587,48297,472257,33300,0,0,4259,              ,              ,              ,              ,              ,
40,2,3,7000,6,3,2300.89,0,14032,11636,41090,91741,0,3460,14528,3296,143491,0,0,18576,              ,              ,              ,              ,              ,
41,1,2,50000,6,2,21.29,1393797,884640,248674,688364,1920066,0,30195,696424,603320,              ,              ,              ,              ,              ,              ,              ,              ,              ,
42,1,2,9000,6,1,2524.42,0,2829,1823,5462,11421,0,36,48,282,68407,742,0,0,              ,              ,              ,              ,              ,
43,4,9,50000,3,14,1341.63,0,0,10266,0,185446,0,10513,4750,21248,424629,53689,9633,0,              ,              ,              ,              ,              ,
44,3,6,20000,7,18,962.35,335595,640451,57766,592796,280026,0,20000,8871,73182,0,0,0,388756,              ,              ,              ,              ,              ,
45,3,7,3000,3,12,1511.3,0,17193,5062,0,2605,0,667,121,594,109519,49359,0,0,              ,              ,              ,              ,              ,
46,3,6,10001,6,5,1426.16,0,223925,17571,0,596748,0,3919,29001,19702,500220,85898,0,0,              ,              ,              ,              ,              ,
47,2,3,5001,8,15,423.48,0,164543,42917,0,474161,656366,244622,2639,29532,1041693,720576,2161822,0,              ,              ,              ,              ,              ,
48,3,5,50001,9,18,1.77,22030,1351578,94314,0,634076,0,46210,26640,162946,0,1518495,0,0,              ,              ,              ,              ,              ,
49,3,7,3000,6,5,1678.97,              ,              ,              ,              ,              ,              ,              ,              ,,              ,              ,              ,              ,              ,              ,              ,              ,              ,
50,3,7,50000,4,5,225.04,0,202744,9605,0,349503,0,3859,27295,20796,105939,12910,0,0,              ,              ,              ,              ,              ,
51,4,9,20000,4,2,444.28,0,323111,73576,0,299012,0,5161,178719,39714,175678,53789,0,0,              ,              ,              ,              ,              ,
52,4,9,500001,8,20,10.69,6994,98511,19431,217827,336778,0,678,1098,6384,              ,              ,              ,              ,              ,              ,              ,              ,              ,
53,3,5,9000,5,3,1911.82,0,0,2309,37302,43369,0,2145,7588,3035,131638,0,0,19110,              ,              ,              ,              ,              ,
54,3,7,4000,3,1,2416.46,0,4953,1308,0,2742,0,25,32,188,23227,0,0,7129,              ,              ,              ,              ,              ,
55,3,7,1500,3,15,1262.19,0,5500,45810,0,10625,0,6281,65,730,16064,29521,0,0,              ,              ,              ,              ,              ,
56,3,7,8000,4,3,415.45,32746,22509,12271,29946,45813,0,2086,8211,1934,              ,              ,              ,              ,              ,              ,              ,              ,              ,
57,1,1,1500000,6,5,21.29,0,3978909,8561,11968925,26893406,8343,327813,2803979,1654382,20814097,0,0,0,29409076,0,0,              ,              ,
58,3,6,90000,9,3,217.98,0,884765,530362,0,4706113,0,232967,247216,1126935,486840,126032,0,0,              ,              ,              ,              ,              ,
59,2,4,4500,5,2,2145.39,0,15883,6014,0,60068,0,1009,36390,7062,29362,6036,0,0,              ,              ,              ,              ,              ,
60,1,2,17500,4,21,1.81,0,0,18,0,541,0,2,2,14,105466,6,0,0,              ,              ,              ,              ,              ,
61,4,9,250000,9,20,21.37,10481,233885,52050,399737,566076,0,1156,1872,10880,              ,              ,              ,              ,0,0,32870,              ,              ,
62,3,5,30000,8,3,2257.27,0,29870,33272,0,142479,0,10260,38075,10887,              ,              ,              ,              ,              ,              ,              ,              ,              ,
63,4,9,25000,6,5,160.98,6567,26411,1743,74464,212801,0,1360,11903,7022,              ,              ,              ,              ,              ,              ,              ,              ,              ,
64,4,9,45000,9,2,435.97,43497,0,134082,373889,852528,0,18097,650438,222535,              ,              ,              ,              ,              ,              ,              ,              ,              ,
65,4,8,5000,4,12,2115.72,69221,0,2493,2254,5586,0,861,166,812,              ,              ,              ,              ,              ,              ,              ,              ,              ,
66,2,3,10001,2,2,222.14,0,28594,601,61773,41637,0,760,41762,4795,59785,0,0,0,              ,              ,              ,              ,              ,
67,4,9,25000,6,2,10.29,17854,245778,57799,0,506004,0,2559,129352,22129,0,317344,0,0,              ,              ,              ,              ,              ,
68,4,9,2000,5,18,1279.77,0,0,0,0,50215,0,3107,1378,11367,              ,              ,              ,              ,              ,              ,              ,              ,              ,
69,3,5,1500,5,17,1724.46,2601,0,82,50717,13246,0,843,374,3083,              ,              ,              ,              ,              ,              ,              ,              ,              ,
70,3,5,140000,5,2,279.33,0,660316,742549,0,1485150,0,26875,975195,370131,1569384,1304974,326244,0,879017,0,0,              ,              ,
71,4,9,30000,4,14,440.57,0,0,0,0,360671,0,12455,20683,20500,              ,              ,              ,              ,              ,              ,              ,2587000,0,0
72,3,5,2000,5,2,2014.77,28606,54095,15285,45411,85003,0,1370,51534,8235,              ,              ,              ,              ,              ,              ,              ,              ,              ,
73,3,7,3000,7,15,1262.19,0,0,13960,33899,88168,0,66295,670,7497,54233,0,316254,6539,              ,              ,              ,              ,              ,
74,3,7,500000,7,2,10.87,749764,0,4990609,1388337,5241227,0,201995,7242369,2695004,              ,              ,              ,              ,0,0,22745,22103000,0,0
75,2,3,70000,5,18,8.18,0,0,596,0,28424,11964,1979,1913,6207,28560,0,1796,0,              ,              ,              ,4950246,1823754,0
76,3,5,1500,9,3,1880.68,0,803,516,0,2362,0,173,584,234,              ,              ,              ,              ,37585,0,0,              ,              ,
77,2,3,100000,4,14,367.48,0,452303,10713,0,878996,0,70089,25163,111641,6643113,686309,108293,0,              ,              ,              ,              ,              ,
78,1,2,60000,4,14,435.97,0,170850,4331,0,365600,0,31999,11775,50684,173165,0,21728,0,2176391,447901,0,              ,              ,
79,3,6,250000,4,5,1.83,31837,554376,25961,0,6983416,0,46429,390949,263691,2512902,292572,32509,0,0,0,114835,              ,              ,
80,3,6,4500,6,18,461.25,13384,75288,6805,0,35665,0,2357,1046,8626,0,307156,0,0,              ,              ,              ,              ,              ,
81,1,1,50000,6,5,410.38,0,242707,20904,0,3144763,0,24915,222698,137748,5226272,797828,0,4890503,0,0,1571496,              ,              ,
82,4,9,25001,4,5,138.47,0,34851,2247,0,141502,0,1621,11834,8363,17291,28500,0,0,              ,              ,              ,              ,              ,
83,1,2,300000,6,16,2.03,1250992,3054846,3051762,0,13499985,1472647,1795192,3859085,4800989,40915782,27738862,5942628,6572099,65701,289543,1884,              ,              ,
84,2,3,700000,5,20,5.28,1332,239170,52762,759232,967503,0,1610,2346,13634,              ,              ,              ,              ,              ,              ,              ,              ,              ,
85,3,5,4500,4,12,1882.46,0,0,131,4677,4891,0,971,751,3681,              ,              ,              ,              ,98193,0,0,              ,              ,
86,3,5,3500,7,3,1882.46,0,0,2337,0,18390,0,1159,3528,1411,              ,              ,              ,              ,26906,0,0,              ,              ,
87,3,7,17500,7,5,300.02,0,54310,2934,0,154899,0,1874,14275,9210,483983,90919,0,0,              ,              ,              ,              ,              ,
88,2,4,450000,2,4,93.11,0,2052864,1983111,0,5500005,0,5904,873732,5078569,              ,              ,              ,              ,              ,              ,              ,4208394,2403606,0
89,2,4,300000,7,3,260.87,886338,886380,445648,2241719,5748170,0,206989,194372,1052110,5844938,0,874432,0,              ,              ,              ,              ,              ,
90,4,9,2000,6,14,440.57,11364,87417,24915,0,122999,0,6098,2937,14391,9981,0,0,0,              ,              ,              ,              ,              ,
91,1,2,17500,7,3,299.07,65720,80232,40111,0,275710,0,19096,79022,11244,367118,117129,0,0,              ,              ,              ,              ,              ,
92,3,7,1500,6,5,1711.39,6886,82034,5368,0,119586,0,1350,10515,6225,0,70178,0,0,              ,              ,              ,              ,              ,
93,3,5,60000,7,5,1593.18,73415,443428,20178,185969,563370,0,10324,81006,46964,              ,              ,              ,              ,              ,              ,              ,              ,              ,
94,1,2,3500,3,3,1421.18,47202,5645,8891,0,65397,0,1773,6939,2776,              ,              ,              ,              ,              ,              ,              ,              ,              ,
95,3,7,80000,6,3,21.73,186721,451311,244899,1444331,1786408,23181,74620,75129,301073,1860650,0,74487,0,              ,              ,              ,              ,              ,
96,3,7,30000,8,7,378.36,0,43463,13258,0,73046,0,42,393,2285,2553850,1145302,0,0,              ,              ,              ,              ,              ,
97,4,8,4000,4,14,1.02,14135,911,15751,15311,34243,0,1478,1076,3300,              ,              ,              ,              ,              ,              ,              ,380000,0,0
98,3,6,10000,8,5,830.57,9481,76044,3433,127470,340614,0,1648,14936,10371,              ,              ,              ,              ,0,0,7073,              ,              ,
99,2,4,15000,3,3,1379.42,0,7281,10840,0,155879,0,128010,164129,32521,133221,39058,51837,0,              ,              ,              ,              ,              ,
100,4,9,120000,7,1,1496.57,0,112908,39092,1562388,3652134,0,15061,20624,119874,2666684,0,0,16536,              ,              ,              ,              ,              ,
101,4,8,6000,5,12,225.18,0,13503,14437,0,58986,0,9519,2013,9087,680670,74307,0,0,              ,              ,              ,              ,              ,
102,3,5,45000,5,12,150.01,0,172761,77080,0,607808,0,12339,7405,34095,343506,182827,0,0,              ,              ,              ,              ,              ,
103,2,3,10000,2,13,444.28,0,29780,24454,0,20591,9431,16136,3681,18036,118984,10102,10138,0,              ,              ,              ,              ,              ,
104,3,7,1001,2,3,1865.67,0,0,0,0,105025,0,7843,26098,10439,0,0,0,25005,              ,              ,              ,              ,              ,
105,3,6,3500,4,2,1684.34,0,18394,4558,14696,15450,0,240,7700,2649,              ,              ,              ,              ,34673,0,0,              ,              ,
106,1,2,500001,7,3,12.03,1746237,2392953,2037529,9483311,21494223,0,1039434,824566,4689634,3481031,0,482883,0,              ,              ,              ,              ,              ,
107,4,9,15000,7,8,1345.78,11524,122911,28814,73003,114936,0,2256,78754,19967,              ,              ,              ,              ,              ,              ,              ,              ,              ,
108,4,9,2000,6,6,1348.96,0,0,0,12161,23416,0,94638,590,5491,              ,              ,              ,              ,              ,              ,              ,              ,              ,
109,1,1,1500000,5,2,6.92,11742000,4639207,1051496,3960020,41541985,471268,760761,27533665,9818364,0,0,5284018,0,0,0,314272,98613156,1699541,1435303
110,3,7,1500,4,8,2014.77,0,16332,3356,0,9225,0,159,5078,1747,7630,2763,0,0,              ,              ,              ,              ,              ,
111,1,2,8000,6,3,208.05,92888,50424,0,0,190778,0,6895,27501,11000,              ,              ,              ,              ,0,488605,0,              ,              ,
112,2,3,1000000,9,2,1.15,7379573,2604881,3968578,1183520,5413701,204486,155501,6081686,1870586,10457418,0,0,0,0,0,20110,              ,              ,
113,2,3,180000,3,2,297.97,2867581,4141661,175630,0,4083829,0,71768,1718271,1401757,0,206314,0,0,              ,              ,              ,18471177,840823,0
114,3,7,5000,4,5,1678.97,0,0,0,0,866,0,84,512,390,              ,              ,              ,              ,              ,              ,              ,              ,              ,
115,2,4,45000,5,14,440.99,128650,125796,52736,0,288588,0,12890,6651,31514,984994,81925,14457,0,              ,              ,              ,              ,              ,
116,2,4,25000,2,2,92.63,0,81862,1612,0,63459,0,1188,62424,7978,70026,0,0,12500,              ,              ,              ,              ,              ,
117,4,8,1300000,9,3,12.08,0,1639955,185207,7488631,9324589,0,9919854,2666155,12218862,0,0,91581,0,0,0,31760,              ,              ,
118,3,6,30000,6,14,388.31,0,196476,53353,219978,422537,0,21391,10347,45225,1075614,0,0,0,              ,              ,              ,              ,              ,
119,2,3,70000,6,14,437.24,0,71492,352063,0,2239101,0,85411,132281,130605,704453,0,0,0,              ,              ,              ,8989856,2034144,0
120,1,2,10001,2,12,460.39,0,16723,430,0,19681,0,1523,371,1820,0,0,33134,0,145106,198984,0,              ,              ,
121,3,5,45000,7,5,217.98,0,217330,10227,0,629668,0,11159,77867,59327,599804,0,0,0,              ,              ,              ,              ,              ,
122,1,2,1001,3,3,1566.43,0,17089,0,0,31665,0,1061,4716,419,117534,44636,0,0,              ,              ,              ,              ,              ,
123,3,5,60000,9,5,1.07,346,83140,3983,55581,294171,0,1276,10009,7307,              ,              ,              ,              ,              ,              ,              ,              ,              ,
124,1,1,140000,7,2,21.29,1180774,3879502,7759503,2304087,13081882,296802,162089,7865509,2497762,              ,              ,              ,              ,              ,              ,              ,              ,              ,
125,4,9,20000,6,12,450.2,4020,5677,1631,0,15093,0,668,228,1118,0,39925,39925,0,              ,              ,              ,              ,              ,
126,2,3,12500,4,12,475.37,0,185089,5049,172647,463889,0,41748,10178,49873,967328,0,0,124132,              ,              ,              ,              ,              ,
127,3,7,10001,4,18,549.98,0,264991,30088,257965,104343,0,7291,4903,25011,              ,              ,              ,              ,0,0,51315,2135000,0,0
128,3,7,70000,5,3,456.77,0,553917,344495,1796925,2762182,0,114076,95830,469125,477456,0,0,0,              ,              ,              ,              ,              ,
129,3,7,4000,3,3,1426.16,0,10447,10952,0,31896,0,1090,4182,1673,18831,0,0,0,              ,              ,              ,              ,              ,
130,3,5,80000,7,5,22.22,81518,187240,5581,362625,1242139,0,15960,120472,75752,1187784,0,0,152694,0,0,197441,              ,              ,
131,4,8,15000,8,2,148.07,39,362600,58743,111369,232779,0,5260,186400,40005,              ,              ,              ,              ,              ,              ,              ,              ,              ,
132,2,3,60000,2,2,291.24,2356204,545399,516165,113923,597254,0,12711,292825,245216,              ,              ,              ,              ,              ,              ,              ,              ,              ,
133,1,1,1500,7,5,1311.15,53369,2875,1276,13744,34765,6,319,2226,1696,              ,              ,              ,              ,              ,              ,              ,              ,              ,
134,4,9,60000,9,3,288.1,167825,56507,0,1115562,950391,0,109097,109823,526903,              ,              ,              ,              ,              ,              ,              ,              ,              ,
135,3,5,100000,6,1,225.04,444343,80975,26887,1055201,1097977,288,6255,8600,49985,              ,              ,              ,              ,0,0,102076,              ,              ,
136,4,9,3000,4,2,1855.16,7986,9012,2222,0,9737,0,87,3323,872,0,57521,0,0,              ,              ,              ,              ,              ,
137,2,3,5000,3,3,1799.29,0,16880,26529,0,171152,0,5057,20992,4726,322405,71085,0,0,              ,              ,              ,              ,              ,
138,3,7,6000,6,6,1345.78,0,25192,8330,0,45962,0,186391,1162,10816,190510,24448,0,0,              ,              ,              ,              ,              ,
139,2,4,120000,8,18,13.63,0,0,12729,0,1556571,1484153,122761,54448,449197,              ,              ,              ,              ,              ,              ,              ,7728857,2633143,0
140,1,1,30000,4,18,1.06,0,0,0,0,4603156,0,293876,287031,918664,0,3099245,0,0,              ,              ,              ,6498767,1776233,0
141,1,1,2000,5,3,1421.18,18958,0,1462,7583,13868,0,570,2116,846,              ,              ,              ,              ,0,122116,232653,              ,              ,
142,4,9,3000,6,2,1499.83,156297,127307,37108,23797,83164,0,1194,44766,7800,0,377540,0,0,              ,              ,              ,              ,              ,
143,2,3,6000,8,5,523.39,0,0,0,0,38300,0,75,683,521,              ,              ,              ,              ,              ,              ,              ,              ,              ,
144,3,7,20000,7,1,215.34,5265,20060,2455,0,103020,0,256,414,2407,0,723490,0,0,              ,              ,              ,              ,              ,
145,2,4,600000,5,3,12,0,984967,969411,0,5263031,0,3937501,848167,4935364,6081681,1585028,3263843,0,              ,              ,              ,              ,              ,
146,1,2,400000,7,14,10.15,0,0,131415,0,18545380,0,709361,490852,2088772,0,0,254472,0,12160631,3421106,123519,              ,              ,
147,3,5,180000,5,11,21.73,68654,1686704,92305,1287974,5143459,0,6428851,265979,202650,              ,              ,              ,              ,              ,              ,              ,              ,              ,
148,4,9,9000,6,2,435.97,38326,48831,12279,0,20737,0,355,11361,3909,              ,              ,              ,              ,              ,              ,              ,              ,              ,
149,4,8,1500,4,3,2115.72,0,245,5421,0,6885,0,396,1303,521,60094,0,0,0,              ,              ,              ,              ,              ,
150,3,6,90000,5,1,10.03,              ,              ,              ,              ,              ,              ,              ,              ,,              ,              ,              ,              ,              ,              ,              ,              ,              ,
151,3,7,8000,3,2,1438.51,0,86141,65166,0,529,0,29,272,94,111218,16069,0,0,              ,              ,              ,              ,              ,
152,3,5,8000,6,5,1678.97,9379,69922,3085,0,100680,0,2126,17234,11609,              ,              ,              ,              ,              ,              ,              ,              ,              ,
153,2,3,7000,3,13,412.37,0,0,29911,0,36594,0,3681,804,3938,66854,7440,0,0,              ,              ,              ,              ,              ,
154,2,4,5001,3,1,1837.42,              ,              ,              ,              ,              ,              ,              ,              ,,              ,              ,              ,              ,              ,              ,              ,              ,              ,
155,2,4,4500,6,15,1349.78,0,131089,25102,0,209208,470368,86881,940,10525,289623,663334,0,0,              ,              ,              ,              ,              ,
156,3,7,6000,8,5,2030.18,695,57600,2977,34651,143317,0,1294,10362,5548,11290,0,0,1470,              ,              ,              ,              ,              ,
157,4,9,500001,9,2,1.51,4953047,3882949,6753102,0,2784423,0,100560,2693855,1791624,4258842,463916,115704,0,0,0,24548,              ,              ,
158,4,9,90000,6,5,207.73,0,1374,141,0,892390,0,13591,116246,64697,295743,72227,0,0,              ,              ,              ,              ,              ,
159,4,9,6000,1,15,1349.78,36759,545414,31885,85608,17136,0,8959,4345,48635,              ,              ,              ,              ,              ,              ,              ,              ,              ,
160,3,5,30000,2,2,419.05,0,0,197671,0,191324,0,3614,85918,67062,531165,134909,0,4525,              ,              ,              ,              ,              ,
161,4,8,5000,7,5,444.28,4478,7519,19446,0,67793,0,834,6168,4088,0,37867,0,0,              ,              ,              ,              ,              ,
162,4,9,50001,7,2,296.15,33409,497740,323316,108341,1158745,0,19081,707266,220057,              ,              ,              ,              ,              ,              ,              ,              ,              ,
163,3,7,35000,3,15,439.81,0,5151889,463156,0,158767,0,112698,1577,11964,1657984,1452492,4357903,0,              ,              ,              ,              ,              ,
164,2,3,20000,3,13,419.05,0,37561,0,0,13907,0,4711,1077,5276,654928,100049,0,0,              ,              ,              ,              ,              ,
165,3,5,12500,4,5,587.68,0,0,0,0,35288,0,213,1489,1135,              ,              ,              ,              ,              ,              ,              ,              ,              ,
166,2,3,6000,1,15,556.45,59611,107643,664,0,14484,38565,6972,4738,34527,244033,194938,0,0,              ,              ,              ,              ,              ,
167,4,8,50000,7,6,446.86,0,767201,261698,0,2248496,77870,5536133,62192,330000,715861,269770,629463,334,              ,              ,              ,              ,              ,
168,2,3,35000,6,12,450.35,0,0,262,21129,89934,0,4688,1666,8162,782461,0,0,174097,              ,              ,              ,              ,              ,
169,4,8,15000,5,12,222.14,0,2666,2542,9359,51560,0,1751,977,4789,672125,0,0,125144,              ,              ,              ,              ,              ,
170,4,9,8000,9,5,435.97,1675,0,36,24194,36435,0,544,3747,2855,              ,              ,              ,              ,              ,              ,              ,              ,              ,
171,2,3,7000,6,15,1379.42,0,417746,50269,0,180905,0,126898,1860,13773,216066,129543,388686,0,              ,              ,              ,              ,              ,
172,3,5,10000,3,18,460.67,14960,461226,33714,0,108353,0,7062,3132,25842,              ,              ,              ,              ,              ,              ,              ,              ,              ,
173,1,2,4500,3,13,1465.67,0,0,0,0,137974,0,3882,2151,10540,              ,              ,              ,              ,              ,              ,              ,              ,              ,
174,1,1,4000,6,5,1445.54,0,1139,0,0,8626,0,122,874,666,              ,              ,              ,              ,              ,              ,              ,              ,              ,
175,2,4,2000,7,5,20.04,178193,8272,3671,0,73231,0,615,4652,2903,319285,22549,0,0,0,0,0,              ,              ,
176,3,6,25000,5,3,541.42,77873,177187,98215,460970,1010169,0,27096,132830,24183,1733871,1508302,0,0,              ,              ,              ,              ,              ,
177,4,8,35000,5,5,139.66,0,33466,7667,0,834134,0,6031,50778,30285,458347,47098,0,0,              ,              ,              ,              ,              ,
178,4,9,4000,6,13,1525.12,0,59009,21002,0,133883,0,2645,1570,7694,209869,61581,0,0,              ,              ,              ,              ,              ,
179,4,8,20000,7,2,581.23,26045,227733,52592,0,331883,0,5615,248740,28922,337140,93132,0,1598,              ,              ,              ,              ,              ,
180,3,5,400000,9,2,1.07,4373397,3983239,4469587,1343813,5560176,0,147376,3776446,3064526,              ,              ,              ,              ,0,0,128566,              ,              ,
181,1,1,30000,4,14,275.92,0,0,0,0,261059,0,17364,6954,31540,15671,0,2851,0,1131127,177274,0,              ,              ,
182,3,5,3500,8,5,435.97,0,0,0,0,8829,0,168,1529,1165,              ,              ,              ,              ,              ,              ,              ,              ,              ,
183,1,2,900000,7,2,10.06,0,11313246,1044626,0,17118385,0,574157,21430670,7170213,0,0,2737037,0,0,0,0,13110977,8748023,0
184,2,3,8000,6,15,1327.4,33173,0,28895,83888,111092,169278,90956,865,9678,590042,113305,340059,0,              ,              ,              ,              ,              ,
185,4,8,8000,5,3,1361.3,28910,28789,18003,55393,97277,0,4335,17340,4029,420924,0,0,45522,              ,              ,              ,              ,              ,
186,2,3,2000,4,2,1349.78,0,19681,6446,25084,48364,0,603,22347,4785,297036,0,0,33067,              ,              ,              ,              ,              ,
187,3,7,5000,7,2,1543.02,31010,54429,12252,9370,12980,0,260,8340,2870,              ,              ,              ,              ,              ,              ,              ,              ,              ,
188,1,2,1001,4,3,1421.18,142016,35972,29187,100555,205274,36710,54020,69176,27670,              ,              ,              ,              ,              ,              ,              ,              ,              ,
189,4,9,45000,4,1,279.33,              ,              ,              ,              ,              ,              ,              ,              ,,              ,              ,              ,              ,              ,              ,              ,              ,              ,
190,3,6,120000,7,5,96.77,0,0,0,0,2950181,0,81589,561481,427795,15318106,0,0,0,1409032,0,0,1982272,3839728,0
191,3,5,12500,6,2,116.99,35265,75101,18861,34521,48071,0,669,23587,5225,118703,0,0,14552,              ,              ,              ,              ,              ,
192,4,9,25000,6,3,321.96,0,5756,2607,0,24074,0,906,3658,1032,79738,49813,0,0,              ,              ,              ,              ,              ,
193,1,2,180000,4,14,292.29,0,1076483,26613,0,2486548,102876,127644,55630,237263,13269197,1347316,0,36859,0,0,0,              ,              ,
194,3,5,1500,6,3,2260.19,14913,22249,9896,0,55742,0,2248,9393,1587,              ,              ,              ,              ,              ,              ,              ,              ,              ,
195,2,3,100001,3,2,218.62,0,685499,49986,0,332616,0,5614,127787,121823,2614649,528020,0,0,              ,              ,              ,              ,              ,
196,3,6,6000,7,18,468.66,33488,112253,9069,0,65362,0,4677,2074,17113,              ,              ,              ,              ,              ,              ,              ,              ,              ,
197,3,5,40000,5,14,456.77,0,521367,138998,0,1740680,0,78665,103476,106712,613942,137898,24335,0,              ,              ,              ,              ,              ,
