state,1975,1990,2005,2020,2035,2050,2065,2080,2095
MD,1178.137329,1215.056885,1318.164063,1635.692139,1571.216675,2039.590454,1866.798035,2225.851563,2337.077759
ME,305.812927,280.203003,385.863617,555.606873,459.15773,772.990295,668.251648,923.988708,1092.930176
MI,660.055359,596.991882,775.728271,1028.570435,866.245941,1333.397583,1188.632996,1375.645142,1576.176147
MN,714.838379,610.649597,737.128601,1003.643982,833.086609,1225.672363,1180.169556,1378.659302,1726.695068
MO,1548.995605,1554.327637,1932.028442,2276.112305,2318.278687,2988.699951,2891.036255,3238.6521,3593.016846
MS,1878.465332,2128.167969,2560.789063,2913.126953,3005.883301,3449.667969,3719.645752,3789.706543,4343.849121
MT,233.811813,332.952057,453.488831,619.759094,533.893768,742.098755,855.646637,1165.633423,1332.393372
NC,1496.968262,1576.729858,1692.296143,1971.579468,2118.533264,2619.208252,2454.414551,2933.322754,3057.348389
ND,445.466919,501.795807,671.238464,925.930115,744.075226,1126.906738,1116.058716,1391.680176,1642.867432
NE,1178.082642,1180.806763,1522.697266,1778.265015,1670.757568,2186.08667,2078.674622,2592.405518,2850.544434
NH,450.035614,419.566925,560.504028,757.241516,624.70578,971.055176,843.863861,1097.792114,1259.684692
NJ,907.228638,1032.587524,1185.509277,1497.557251,1447.995239,1948.18335,1755.344482,2132.850586,2250.411133
NM,668.803955,884.972961,989.092163,1189.650391,1326.512939,1659.932129,1707.822571,2059.51123,2389.266235
NV,1766.93689,1908.388794,2114.099609,2282.187744,2460.762329,2860.518311,2888.945923,3154.939941,3738.513184
NY,742.606934,796.953186,965.003479,1229.105225,1100.267517,1597.669678,1439.237915,1723.659058,1924.597473
OH,849.384399,692.050232,854.242798,1233.082397,1034.69519,1595.97998,1408.852783,1595.619263,1776.826904
OK,2037.141113,2294.552734,2677.791504,2898.062744,2999.687256,3670.50293,3970.261108,4297.482422,4519.897705
OR,218.320343,380.881805,536.814209,538.660461,725.7005,668.429688,941.612732,1257.943848,1393.467712
PA,775.752686,753.0354,893.601318,1190.140381,1045.814697,1549.955078,1379.776367,1655.686646,1815.630371
RI,567.14093,613.232788,838.575317,1112.231567,977.149414,1427.734497,1277.518738,1641.997559,1795.997742
SC,1854.377563,1981.910522,2135.395508,2492.666992,2610.065186,3138.227295,3112.303711,3494.45166,3677.911865
SD,798.928406,798.296692,1035.98999,1301.886353,1132.014984,1594.911743,1486.702637,1860.126221,2193.417847
TN,1492.130493,1536.823853,1821.203247,2175.19043,2161.805054,2830.227051,2781.545044,2929.430664,3314.026245
TX,2590.506836,2966.75708,3208.588623,3427.674072,3558.127563,4025.018799,4580.166748,4776.402832,5152.863037
UT,280.446228,557.812317,719.341187,1018.191162,1026.790588,1523.121704,1553.56543,1951.718628,2405.795044
VA,1322.819824,1346.612427,1452.987305,1757.550903,1799.59082,2278.029053,2090.374756,2501.177979,2630.880371
VT,420.75708,281.78363,391.099915,532.777527,434.831558,749.93634,645.530365,827.679443,1009.347046
WA,233.849121,361.435822,561.997009,532.939026,719.090637,723.791931,923.633667,1321.828247,1401.029175
WI,593.928101,551.475708,703.873474,913.359619,819.925171,1225.469238,1135.420959,1297.473267,1623.168091
WV,924.402344,771.344849,858.927124,1231.37561,1094.58667,1661.633911,1411.538818,1656.424927,1843.827942
WY,244.194687,295.776276,404.199585,557.595398,458.363174,697.72052,749.152374,1044.231201,1242.244141
