ALL,comm heating,coal,coal boiler,ALL,N2O,,,18,2,,,,,,,,,,,
ALL,comm heating,gas,gas boiler,ALL,N2O,,,20,2,,,,,,,,,,,
ALL,comm heating,refined liquids,oil boiler,ALL,N2O,,,21,2,,,,,,,,,,,
ALL,comm heating,trad biomass,trad biomass boiler,ALL,N2O,,,22,2,,,,,,,,,,,
ALL,comm cooling,gas,gas AC,ALL,N2O,,,25,2,,,,,,,,,,,
ALL,comm others,biomass,biomass generic,ALL,N2O,,,26,2,,,,,,,,,,,
ALL,comm others,coal,coal generic,ALL,N2O,,,27,2,,,,,,,,,,,
ALL,comm others,gas,gas generic,ALL,N2O,,,29,2,,,,,,,,,,,
ALL,comm others,refined liquids,oil generic,ALL,N2O,,,30,2,,,,,,,,,,,
ALL,comm others,trad biomass,trad biomass generic,ALL,N2O,,,31,2,,,,,,,,,,,
ALL,resid heating,biomass,biomass boiler,ALL,NOx,,,1,3,,,,,,,,,,,
ALL,resid heating,coal,coal boiler,ALL,NOx,,,2,3,,,,,,,,,,,
ALL,resid heating,gas,gas boiler,ALL,NOx,,,4,3,,,,,,,,,,,
ALL,resid heating,refined liquids,oil boiler,ALL,NOx,,,5,3,,,,,,,,,,,
ALL,resid heating,trad biomass,trad biomass boiler,ALL,NOx,,,6,3,,,,,,,,,,,
ALL,resid cooling,gas,gas AC,ALL,NOx,,,9,3,,,,,,,,,,,
ALL,resid others,biomass,biomass generic,ALL,NOx,,,10,3,,,,,,,,,,,
ALL,resid others,coal,coal generic,ALL,NOx,,,11,3,,,,,,,,,,,
ALL,resid others,gas,gas generic,ALL,NOx,,,13,3,,,,,,,,,,,
ALL,resid others,refined liquids,oil generic,ALL,NOx,,,14,3,,,,,,,,,,,
ALL,resid others,trad biomass,trad biomass generic,ALL,NOx,,,15,3,,,,,,,,,,,
ALL,comm heating,biomass,biomass boiler,ALL,NOx,,,17,3,,,,,,,,,,,
ALL,comm heating,coal,coal boiler,ALL,NOx,,,18,3,,,,,,,,,,,
ALL,comm heating,gas,gas boiler,ALL,NOx,,,20,3,,,,,,,,,,,
ALL,comm heating,refined liquids,oil boiler,ALL,NOx,,,21,3,,,,,,,,,,,
ALL,comm heating,trad biomass,trad biomass boiler,ALL,NOx,,,22,3,,,,,,,,,,,
ALL,comm cooling,gas,gas AC,ALL,NOx,,,25,3,,,,,,,,,,,
ALL,comm others,biomass,biomass generic,ALL,NOx,,,26,3,,,,,,,,,,,
ALL,comm others,coal,coal generic,ALL,NOx,,,27,3,,,,,,,,,,,
ALL,comm others,gas,gas generic,ALL,NOx,,,29,3,,,,,,,,,,,
ALL,comm others,refined liquids,oil generic,ALL,NOx,,,30,3,,,,,,,,,,,
ALL,comm others,trad biomass,trad biomass generic,ALL,NOx,,,31,3,,,,,,,,,,,
ALL,resid heating,biomass,biomass boiler,ALL,CO,,,1,4,,,,,,,,,,,
ALL,resid heating,coal,coal boiler,ALL,CO,,,2,4,,,,,,,,,,,
ALL,resid heating,gas,gas boiler,ALL,CO,,,4,4,,,,,,,,,,,
ALL,resid heating,refined liquids,oil boiler,ALL,CO,,,5,4,,,,,,,,,,,
ALL,resid heating,trad biomass,trad biomass boiler,ALL,CO,,,6,4,,,,,,,,,,,
ALL,resid cooling,gas,gas AC,ALL,CO,,,9,4,,,,,,,,,,,
ALL,resid others,biomass,biomass generic,ALL,CO,,,10,4,,,,,,,,,,,
ALL,resid others,coal,coal generic,ALL,CO,,,11,4,,,,,,,,,,,
ALL,resid others,gas,gas generic,ALL,CO,,,13,4,,,,,,,,,,,
ALL,resid others,refined liquids,oil generic,ALL,CO,,,14,4,,,,,,,,,,,
ALL,resid others,trad biomass,trad biomass generic,ALL,CO,,,15,4,,,,,,,,,,,
ALL,comm heating,biomass,biomass boiler,ALL,CO,,,17,4,,,,,,,,,,,
ALL,comm heating,coal,coal boiler,ALL,CO,,,18,4,,,,,,,,,,,
ALL,comm heating,gas,gas boiler,ALL,CO,,,20,4,,,,,,,,,,,
ALL,comm heating,refined liquids,oil boiler,ALL,CO,,,21,4,,,,,,,,,,,
ALL,comm heating,trad biomass,trad biomass boiler,ALL,CO,,,22,4,,,,,,,,,,,
ALL,comm cooling,gas,gas AC,ALL,CO,,,25,4,,,,,,,,,,,
ALL,comm others,biomass,biomass generic,ALL,CO,,,26,4,,,,,,,,,,,
ALL,comm others,coal,coal generic,ALL,CO,,,27,4,,,,,,,,,,,
ALL,comm others,gas,gas generic,ALL,CO,,,29,4,,,,,,,,,,,
ALL,comm others,refined liquids,oil generic,ALL,CO,,,30,4,,,,,,,,,,,
ALL,comm others,trad biomass,trad biomass generic,ALL,CO,,,31,4,,,,,,,,,,,
ALL,resid heating,biomass,biomass boiler,ALL,BC,,,1,5,,,,,,,,,,,
ALL,resid heating,coal,coal boiler,ALL,BC,,,2,5,,,,,,,,,,,
ALL,resid heating,gas,gas boiler,ALL,BC,,,4,5,,,,,,,,,,,
ALL,resid heating,refined liquids,oil boiler,ALL,BC,,,5,5,,,,,,,,,,,
ALL,resid heating,trad biomass,trad biomass boiler,ALL,BC,,,6,5,,,,,,,,,,,
ALL,resid cooling,gas,gas AC,ALL,BC,,,9,5,,,,,,,,,,,
ALL,resid others,biomass,biomass generic,ALL,BC,,,10,5,,,,,,,,,,,
ALL,resid others,coal,coal generic,ALL,BC,,,11,5,,,,,,,,,,,
ALL,resid others,gas,gas generic,ALL,BC,,,13,5,,,,,,,,,,,
ALL,resid others,refined liquids,oil generic,ALL,BC,,,14,5,,,,,,,,,,,
ALL,resid others,trad biomass,trad biomass generic,ALL,BC,,,15,5,,,,,,,,,,,
ALL,comm heating,biomass,biomass boiler,ALL,BC,,,17,5,,,,,,,,,,,
ALL,comm heating,coal,coal boiler,ALL,BC,,,18,5,,,,,,,,,,,
ALL,comm heating,gas,gas boiler,ALL,BC,,,20,5,,,,,,,,,,,
ALL,comm heating,refined liquids,oil boiler,ALL,BC,,,21,5,,,,,,,,,,,
ALL,comm heating,trad biomass,trad biomass boiler,ALL,BC,,,22,5,,,,,,,,,,,
ALL,comm cooling,gas,gas AC,ALL,BC,,,25,5,,,,,,,,,,,
ALL,comm others,biomass,biomass generic,ALL,BC,,,26,5,,,,,,,,,,,
ALL,comm others,coal,coal generic,ALL,BC,,,27,5,,,,,,,,,,,
ALL,comm others,gas,gas generic,ALL,BC,,,29,5,,,,,,,,,,,
ALL,comm others,refined liquids,oil generic,ALL,BC,,,30,5,,,,,,,,,,,
ALL,comm others,trad biomass,trad biomass generic,ALL,BC,,,31,5,,,,,,,,,,,
ALL,resid heating,biomass,biomass boiler,ALL,OC,,,1,6,,,,,,,,,,,
ALL,resid heating,coal,coal boiler,ALL,OC,,,2,6,,,,,,,,,,,
ALL,resid heating,gas,gas boiler,ALL,OC,,,4,6,,,,,,,,,,,
ALL,resid heating,refined liquids,oil boiler,ALL,OC,,,5,6,,,,,,,,,,,
ALL,resid heating,trad biomass,trad biomass boiler,ALL,OC,,,6,6,,,,,,,,,,,
ALL,resid cooling,gas,gas AC,ALL,OC,,,9,6,,,,,,,,,,,
ALL,resid others,biomass,biomass generic,ALL,OC,,,10,6,,,,,,,,,,,
ALL,resid others,coal,coal generic,ALL,OC,,,11,6,,,,,,,,,,,
ALL,resid others,gas,gas generic,ALL,OC,,,13,6,,,,,,,,,,,
ALL,resid others,refined liquids,oil generic,ALL,OC,,,14,6,,,,,,,,,,,
ALL,resid others,trad biomass,trad biomass generic,ALL,OC,,,15,6,,,,,,,,,,,
ALL,comm heating,biomass,biomass boiler,ALL,OC,,,17,6,,,,,,,,,,,
ALL,comm heating,coal,coal boiler,ALL,OC,,,18,6,,,,,,,,,,,
ALL,comm heating,gas,gas boiler,ALL,OC,,,20,6,,,,,,,,,,,
ALL,comm heating,refined liquids,oil boiler,ALL,OC,,,21,6,,,,,,,,,,,
ALL,comm heating,trad biomass,trad biomass boiler,ALL,OC,,,22,6,,,,,,,,,,,
ALL,comm cooling,gas,gas AC,ALL,OC,,,25,6,,,,,,,,,,,
ALL,comm others,biomass,biomass generic,ALL,OC,,,26,6,,,,,,,,,,,
ALL,comm others,coal,coal generic,ALL,OC,,,27,6,,,,,,,,,,,
ALL,comm others,gas,gas generic,ALL,OC,,,29,6,,,,,,,,,,,
ALL,comm others,refined liquids,oil generic,ALL,OC,,,30,6,,,,,,,,,,,
ALL,comm others,trad biomass,trad biomass generic,ALL,OC,,,31,6,,,,,,,,,,,
ALL,resid heating,biomass,biomass boiler,ALL,NMVOC,,,1,8,,,,,,,,,,,
ALL,resid heating,coal,coal boiler,ALL,NMVOC,,,2,8,,,,,,,,,,,
ALL,resid heating,gas,gas boiler,ALL,NMVOC,,,4,8,,,,,,,,,,,
ALL,resid heating,refined liquids,oil boiler,ALL,NMVOC,,,5,8,,,,,,,,,,,
ALL,resid heating,trad biomass,trad biomass boiler,ALL,NMVOC,,,6,8,,,,,,,,,,,
ALL,resid cooling,gas,gas AC,ALL,NMVOC,,,9,8,,,,,,,,,,,
ALL,resid others,biomass,biomass generic,ALL,NMVOC,,,10,8,,,,,,,,,,,
ALL,resid others,coal,coal generic,ALL,NMVOC,,,11,8,,,,,,,,,,,
ALL,resid others,gas,gas generic,ALL,NMVOC,,,13,8,,,,,,,,,,,
ALL,resid others,refined liquids,oil generic,ALL,NMVOC,,,14,8,,,,,,,,,,,
ALL,resid others,trad biomass,trad biomass generic,ALL,NMVOC,,,15,8,,,,,,,,,,,
ALL,comm heating,biomass,biomass boiler,ALL,NMVOC,,,17,8,,,,,,,,,,,
ALL,comm heating,coal,coal boiler,ALL,NMVOC,,,18,8,,,,,,,,,,,
ALL,comm heating,gas,gas boiler,ALL,NMVOC,,,20,8,,,,,,,,,,,
ALL,comm heating,refined liquids,oil boiler,ALL,NMVOC,,,21,8,,,,,,,,,,,
ALL,comm heating,trad biomass,trad biomass boiler,ALL,NMVOC,,,22,8,,,,,,,,,,,
ALL,comm cooling,gas,gas AC,ALL,NMVOC,,,25,8,,,,,,,,,,,
ALL,comm others,biomass,biomass generic,ALL,NMVOC,,,26,8,,,,,,,,,,,
ALL,comm others,coal,coal generic,ALL,NMVOC,,,27,8,,,,,,,,,,,
ALL,comm others,gas,gas generic,ALL,NMVOC,,,29,8,,,,,,,,,,,
ALL,comm others,refined liquids,oil generic,ALL,NMVOC,,,30,8,,,,,,,,,,,
ALL,comm others,trad biomass,trad biomass generic,ALL,NMVOC,,,31,8,,,,,,,,,,,
ALL,resid heating,biomass,biomass boiler,ALL,NH3,,,1,9,,,,,,,,,,,
ALL,resid heating,gas,gas boiler,ALL,NH3,,,4,9,,,,,,,,,,,
ALL,resid heating,refined liquids,oil boiler,ALL,NH3,,,5,9,,,,,,,,,,,
ALL,resid heating,trad biomass,trad biomass boiler,ALL,NH3,,,6,9,,,,,,,,,,,
ALL,resid cooling,gas,gas AC,ALL,NH3,,,9,9,,,,,,,,,,,
ALL,resid others,biomass,biomass generic,ALL,NH3,,,10,9,,,,,,,,,,,
ALL,resid others,gas,gas generic,ALL,NH3,,,13,9,,,,,,,,,,,
ALL,resid others,refined liquids,oil generic,ALL,NH3,,,14,9,,,,,,,,,,,
ALL,resid others,trad biomass,trad biomass generic,ALL,NH3,,,15,9,,,,,,,,,,,
ALL,comm heating,biomass,biomass boiler,ALL,NH3,,,17,9,,,,,,,,,,,
ALL,comm heating,gas,gas boiler,ALL,NH3,,,20,9,,,,,,,,,,,
ALL,comm heating,refined liquids,oil boiler,ALL,NH3,,,21,9,,,,,,,,,,,
ALL,comm heating,trad biomass,trad biomass boiler,ALL,NH3,,,22,9,,,,,,,,,,,
ALL,comm cooling,gas,gas AC,ALL,NH3,,,25,9,,,,,,,,,,,
ALL,comm others,biomass,biomass generic,ALL,NH3,,,26,9,,,,,,,,,,,
ALL,comm others,gas,gas generic,ALL,NH3,,,29,9,,,,,,,,,,,
ALL,comm others,refined liquids,oil generic,ALL,NH3,,,30,9,,,,,,,,,,,
ALL,comm others,trad biomass,trad biomass generic,ALL,NH3,,,31,9,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,,,,
13000_dist_heat,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
region,supplysector,subsector,technology,period,generic-ghg,input-driver,,,,,,,,,,,,,,
DIST_HEAT_RGN,district heat,biomass,biomass,ALL,CH4,,,33,1,,,,,,,,,,,
DIST_HEAT_RGN,district heat,coal,coal,ALL,CH4,,,34,1,,,,,,,,,,,
DIST_HEAT_RGN,district heat,gas,gas,ALL,CH4,,,35,1,,,,,,,,,,,
DIST_HEAT_RGN,district heat,refined liquids,refined liquids,ALL,CH4,,,36,1,,,,,,,,,,,
DIST_HEAT_RGN,district heat,biomass,biomass,ALL,N2O,,,33,2,,,,,,,,,,,
DIST_HEAT_RGN,district heat,coal,coal,ALL,N2O,,,34,2,,,,,,,,,,,
DIST_HEAT_RGN,district heat,gas,gas,ALL,N2O,,,35,2,,,,,,,,,,,
DIST_HEAT_RGN,district heat,refined liquids,refined liquids,ALL,N2O,,,36,2,,,,,,,,,,,
DIST_HEAT_RGN,district heat,biomass,biomass,ALL,NOx,,,33,3,,,,,,,,,,,
DIST_HEAT_RGN,district heat,coal,coal,ALL,NOx,,,34,3,,,,,,,,,,,
DIST_HEAT_RGN,district heat,gas,gas,ALL,NOx,,,35,3,,,,,,,,,,,
DIST_HEAT_RGN,district heat,refined liquids,refined liquids,ALL,NOx,,,36,3,,,,,,,,,,,
DIST_HEAT_RGN,district heat,biomass,biomass,ALL,CO,,,33,4,,,,,,,,,,,
DIST_HEAT_RGN,district heat,coal,coal,ALL,CO,,,34,4,,,,,,,,,,,
DIST_HEAT_RGN,district heat,gas,gas,ALL,CO,,,35,4,,,,,,,,,,,
DIST_HEAT_RGN,district heat,refined liquids,refined liquids,ALL,CO,,,36,4,,,,,,,,,,,
DIST_HEAT_RGN,district heat,biomass,biomass,ALL,BC,,,33,5,,,,,,,,,,,
DIST_HEAT_RGN,district heat,coal,coal,ALL,BC,,,34,5,,,,,,,,,,,
DIST_HEAT_RGN,district heat,gas,gas,ALL,BC,,,35,5,,,,,,,,,,,
DIST_HEAT_RGN,district heat,refined liquids,refined liquids,ALL,BC,,,36,5,,,,,,,,,,,
DIST_HEAT_RGN,district heat,biomass,biomass,ALL,OC,,,33,6,,,,,,,,,,,
DIST_HEAT_RGN,district heat,coal,coal,ALL,OC,,,34,6,,,,,,,,,,,
DIST_HEAT_RGN,district heat,gas,gas,ALL,OC,,,35,6,,,,,,,,,,,
DIST_HEAT_RGN,district heat,refined liquids,refined liquids,ALL,OC,,,36,6,,,,,,,,,,,
DIST_HEAT_RGN,district heat,biomass,biomass,ALL,NMVOC,,,33,8,,,,,,,,,,,
DIST_HEAT_RGN,district heat,coal,coal,ALL,NMVOC,,,34,8,,,,,,,,,,,
DIST_HEAT_RGN,district heat,gas,gas,ALL,NMVOC,,,35,8,,,,,,,,,,,
DIST_HEAT_RGN,district heat,refined liquids,refined liquids,ALL,NMVOC,,,36,8,,,,,,,,,,,
DIST_HEAT_RGN,district heat,biomass,biomass,ALL,NH3,,,33,9,,,,,,,,,,,
DIST_HEAT_RGN,district heat,coal,coal,ALL,NH3,,,34,9,,,,,,,,,,,
DIST_HEAT_RGN,district heat,gas,gas,ALL,NH3,,,35,9,,,,,,,,,,,
DIST_HEAT_RGN,district heat,refined liquids,refined liquids,ALL,NH3,,,36,9,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,,,,
130001,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
region,supplysector,tranSubsector,tranTechnology,period,generic-ghg,input-driver,,,,,,,,,,,,,,
SO2 Region 1,resid heating,biomass,biomass boiler,ALL,SO2_1,,,1,7,,,,,,,,,,,
SO2 Region 1,resid heating,coal,coal boiler,ALL,SO2_1,,,2,7,,,,,,,,,,,
SO2 Region 1,resid heating,gas,gas boiler,ALL,SO2_1,,,4,7,,,,,,,,,,,
SO2 Region 1,resid heating,refined liquids,oil boiler,ALL,SO2_1,,,5,7,,,,,,,,,,,
SO2 Region 1,resid heating,trad biomass,trad biomass boiler,ALL,SO2_1,,,6,7,,,,,,,,,,,
SO2 Region 1,resid cooling,gas,gas AC,ALL,SO2_1,,,9,7,,,,,,,,,,,
SO2 Region 1,resid others,biomass,biomass generic,ALL,SO2_1,,,10,7,,,,,,,,,,,
SO2 Region 1,resid others,coal,coal generic,ALL,SO2_1,,,11,7,,,,,,,,,,,
SO2 Region 1,resid others,gas,gas generic,ALL,SO2_1,,,13,7,,,,,,,,,,,
SO2 Region 1,resid others,refined liquids,oil generic,ALL,SO2_1,,,14,7,,,,,,,,,,,
SO2 Region 1,resid others,trad biomass,trad biomass generic,ALL,SO2_1,,,15,7,,,,,,,,,,,
SO2 Region 1,comm heating,biomass,biomass boiler,ALL,SO2_1,,,17,7,,,,,,,,,,,
SO2 Region 1,comm heating,coal,coal boiler,ALL,SO2_1,,,18,7,,,,,,,,,,,
SO2 Region 1,comm heating,gas,gas boiler,ALL,SO2_1,,,20,7,,,,,,,,,,,
SO2 Region 1,comm heating,refined liquids,oil boiler,ALL,SO2_1,,,21,7,,,,,,,,,,,
SO2 Region 1,comm heating,trad biomass,trad biomass boiler,ALL,SO2_1,,,22,7,,,,,,,,,,,
SO2 Region 1,comm cooling,gas,gas AC,ALL,SO2_1,,,25,7,,,,,,,,,,,
SO2 Region 1,comm others,biomass,biomass generic,ALL,SO2_1,,,26,7,,,,,,,,,,,
SO2 Region 1,comm others,coal,coal generic,ALL,SO2_1,,,27,7,,,,,,,,,,,
SO2 Region 1,comm others,gas,gas generic,ALL,SO2_1,,,29,7,,,,,,,,,,,
SO2 Region 1,comm others,refined liquids,oil generic,ALL,SO2_1,,,30,7,,,,,,,,,,,
SO2 Region 1,comm others,trad biomass,trad biomass generic,ALL,SO2_1,,,31,7,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,,,,
130002,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
region,supplysector,tranSubsector,tranTechnology,period,generic-ghg,input-driver,,,,,,,,,,,,,,
SO2 Region 2,resid heating,biomass,biomass boiler,ALL,SO2_2,,,1,7,,,,,,,,,,,
SO2 Region 2,resid heating,coal,coal boiler,ALL,SO2_2,,,2,7,,,,,,,,,,,
SO2 Region 2,resid heating,gas,gas boiler,ALL,SO2_2,,,4,7,,,,,,,,,,,
SO2 Region 2,resid heating,refined liquids,oil boiler,ALL,SO2_2,,,5,7,,,,,,,,,,,
SO2 Region 2,resid heating,trad biomass,trad biomass boiler,ALL,SO2_2,,,6,7,,,,,,,,,,,
SO2 Region 2,resid cooling,gas,gas AC,ALL,SO2_2,,,9,7,,,,,,,,,,,
SO2 Region 2,resid others,biomass,biomass generic,ALL,SO2_2,,,10,7,,,,,,,,,,,
SO2 Region 2,resid others,coal,coal generic,ALL,SO2_2,,,11,7,,,,,,,,,,,
SO2 Region 2,resid others,gas,gas generic,ALL,SO2_2,,,13,7,,,,,,,,,,,
SO2 Region 2,resid others,refined liquids,oil generic,ALL,SO2_2,,,14,7,,,,,,,,,,,
SO2 Region 2,resid others,trad biomass,trad biomass generic,ALL,SO2_2,,,15,7,,,,,,,,,,,
SO2 Region 2,comm heating,biomass,biomass boiler,ALL,SO2_2,,,17,7,,,,,,,,,,,
SO2 Region 2,comm heating,coal,coal boiler,ALL,SO2_2,,,18,7,,,,,,,,,,,
SO2 Region 2,comm heating,gas,gas boiler,ALL,SO2_2,,,20,7,,,,,,,,,,,
SO2 Region 2,comm heating,refined liquids,oil boiler,ALL,SO2_2,,,21,7,,,,,,,,,,,
SO2 Region 2,comm heating,trad biomass,trad biomass boiler,ALL,SO2_2,,,22,7,,,,,,,,,,,
SO2 Region 2,comm cooling,gas,gas AC,ALL,SO2_2,,,25,7,,,,,,,,,,,
SO2 Region 2,comm others,biomass,biomass generic,ALL,SO2_2,,,26,7,,,,,,,,,,,
SO2 Region 2,comm others,coal,coal generic,ALL,SO2_2,,,27,7,,,,,,,,,,,
SO2 Region 2,comm others,gas,gas generic,ALL,SO2_2,,,29,7,,,,,,,,,,,
SO2 Region 2,comm others,refined liquids,oil generic,ALL,SO2_2,,,30,7,,,,,,,,,,,
SO2 Region 2,comm others,trad biomass,trad biomass generic,ALL,SO2_2,,,31,7,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,,,,
130003,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
region,supplysector,tranSubsector,tranTechnology,period,generic-ghg,input-driver,,,,,,,,,,,,,,
SO2 Region 3,resid heating,biomass,biomass boiler,ALL,SO2_3,,,1,7,,,,,,,,,,,
SO2 Region 3,resid heating,coal,coal boiler,ALL,SO2_3,,,2,7,,,,,,,,,,,
SO2 Region 3,resid heating,gas,gas boiler,ALL,SO2_3,,,4,7,,,,,,,,,,,
SO2 Region 3,resid heating,refined liquids,oil boiler,ALL,SO2_3,,,5,7,,,,,,,,,,,
SO2 Region 3,resid heating,trad biomass,trad biomass boiler,ALL,SO2_3,,,6,7,,,,,,,,,,,
SO2 Region 3,resid cooling,gas,gas AC,ALL,SO2_3,,,9,7,,,,,,,,,,,
SO2 Region 3,resid others,biomass,biomass generic,ALL,SO2_3,,,10,7,,,,,,,,,,,
SO2 Region 3,resid others,coal,coal generic,ALL,SO2_3,,,11,7,,,,,,,,,,,
SO2 Region 3,resid others,gas,gas generic,ALL,SO2_3,,,13,7,,,,,,,,,,,
SO2 Region 3,resid others,refined liquids,oil generic,ALL,SO2_3,,,14,7,,,,,,,,,,,
SO2 Region 3,resid others,trad biomass,trad biomass generic,ALL,SO2_3,,,15,7,,,,,,,,,,,
SO2 Region 3,comm heating,biomass,biomass boiler,ALL,SO2_3,,,17,7,,,,,,,,,,,
SO2 Region 3,comm heating,coal,coal boiler,ALL,SO2_3,,,18,7,,,,,,,,,,,
SO2 Region 3,comm heating,gas,gas boiler,ALL,SO2_3,,,20,7,,,,,,,,,,,
SO2 Region 3,comm heating,refined liquids,oil boiler,ALL,SO2_3,,,21,7,,,,,,,,,,,
SO2 Region 3,comm heating,trad biomass,trad biomass boiler,ALL,SO2_3,,,22,7,,,,,,,,,,,
SO2 Region 3,comm cooling,gas,gas AC,ALL,SO2_3,,,25,7,,,,,,,,,,,
SO2 Region 3,comm others,biomass,biomass generic,ALL,SO2_3,,,26,7,,,,,,,,,,,
SO2 Region 3,comm others,coal,coal generic,ALL,SO2_3,,,27,7,,,,,,,,,,,
SO2 Region 3,comm others,gas,gas generic,ALL,SO2_3,,,29,7,,,,,,,,,,,
SO2 Region 3,comm others,refined liquids,oil generic,ALL,SO2_3,,,30,7,,,,,,,,,,,
SO2 Region 3,comm others,trad biomass,trad biomass generic,ALL,SO2_3,,,31,7,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,,,,
130004,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
region,supplysector,tranSubsector,tranTechnology,period,generic-ghg,input-driver,,,,,,,,,,,,,,
SO2 Region 4,resid heating,biomass,biomass boiler,ALL,SO2_4,,,1,7,,,,,,,,,,,
SO2 Region 4,resid heating,coal,coal boiler,ALL,SO2_4,,,2,7,,,,,,,,,,,
SO2 Region 4,resid heating,gas,gas boiler,ALL,SO2_4,,,4,7,,,,,,,,,,,
SO2 Region 4,resid heating,refined liquids,oil boiler,ALL,SO2_4,,,5,7,,,,,,,,,,,
SO2 Region 4,resid heating,trad biomass,trad biomass boiler,ALL,SO2_4,,,6,7,,,,,,,,,,,
SO2 Region 4,resid cooling,gas,gas AC,ALL,SO2_4,,,9,7,,,,,,,,,,,
SO2 Region 4,resid others,biomass,biomass generic,ALL,SO2_4,,,10,7,,,,,,,,,,,
SO2 Region 4,resid others,coal,coal generic,ALL,SO2_4,,,11,7,,,,,,,,,,,
SO2 Region 4,resid others,gas,gas generic,ALL,SO2_4,,,13,7,,,,,,,,,,,
SO2 Region 4,resid others,refined liquids,oil generic,ALL,SO2_4,,,14,7,,,,,,,,,,,
