countries,country codes,item,item codes,element,element codes,2002,2003,2004,2005,2006,2007,2008,2009,2010
Belarus,57,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,247200,310000,346300,406000,479300,447300,523500,553600,529900
Belize,23,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,12140,20694,2594,4109,2861,2594,1668,5858,2340
Benin,53,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,23558,1318,145,413,11,576,357,5308,19
Bhutan,18,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,783,787,818,887,768,800,774,1608,686
Bolivia (Plurinational State of),19,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,6040,6198,6260,12192,8709,11883,13473,13810,19565
Bosnia and Herzegovina,80,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,18600,10768,33671,24647,15500,21396,11700,22677,17985
Brazil,21,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,1834733,2407558,2281346,2072214,2192739,2948784,2483683,2452676,2854819
Brunei Darussalam,26,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,19,78,101,299,82,442,115,203,111
Bulgaria,27,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,283556,315624,240614,189946,146882,200117,213562,370072,287952
Burkina Faso,233,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,2010,26620,29081,35435,30000,23580,30584,28392,41122
Burundi,29,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,514,282,429,1098,1488,809,997,885,1212
Cambodia,115,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,7763,5209,7467,11053,10657,8590,12447,16905,21022
Cameroon,32,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,20791,19370,33167,22773,25383,22299,22895,23646,11642
Canada,33,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,1642988,1649912,1539450,1776685,1371962,2068032,1909243,1914550,1984068
Chile,40,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,246316,221073,292680,240708,271154,324391,394599,345707,412511
China,351,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,29147258,28450218,26547641,28043533,31174342,32593579,33214918,36902118,35069088
Colombia,44,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,356650,369721,351921,481592,543964,574625,465215,547712,526311
Congo,46,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,0,0,734,9,24,64,252,913,110
Cook Islands,47,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,14,15,12,19,28,4,18,8,7
Costa Rica,48,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,37310,65179,61342,88828,71161,66196,67845,71363,57102
Cote dIvoire,107,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,30009,19994,40558,16180,10962,25909,17606,21396,27037
Croatia,98,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,129821,123597,145499,124858,191158,212374,263430,175508,66830
Cuba,49,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,67343,24850,41829,30744,43638,51783,58322,28384,47068
Cyprus,50,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,8629,9591,8209,7225,6638,6340,4496,7040,8475
Czech Republic,167,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,191778,218390,206576,215130,223684,237875,221667,225982,255423
Democratic Republic of the Congo,250,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,0,1075,795,376,1627,2943,4314,2416,3711
Denmark,54,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,158370,218132,182171,179046,190309,192937,218223,186981,178694
Dominica,55,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,157,247,347,408,158,616,203,190,72
Dominican Republic,56,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,51430,40693,41808,36841,49254,44450,43134,37227,55077
Ecuador,58,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,132311,119857,135632,116291,126268,118168,156382,151263,159097
Egypt,59,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,1070036,1598386,1378793,1468102,1038377,1106359,1562670,1205636,1424975
El Salvador,60,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,34510,36496,46957,68253,52360,64920,59338,56703,61858
Eritrea,178,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,2835,684,3,1436,7,660,0,540,259
Estonia,63,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,16700,23255,24833,20083,22610,24982,35455,27328,28628
Ethiopia,238,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,97647,34075,81860,80503,84628,106019,111773,118364,156141
Fiji,66,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,9377,3178,7659,6593,4220,4025,6758,2747,2435
Finland,67,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,179000,163880,173881,192488,158282,184209,223830,172814,210967
France,68,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,2203200,2375400,2324000,2205000,2204665,2402000,2099000,1907000,2050015
French Polynesia,70,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,388,335,383,293,320,333,454,270,359
Gabon,74,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,553,190,680,580,799,890,820,883,593
Gambia,75,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,0,1739,1200,1671,1672,1520,835,1365,1785
Georgia,73,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,21400,11124,14100,24117,21410,18451,16881,19122,12913
Germany,79,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,1787833,1827767,1778438,1784996,1599788,1807176,1550625,1569045,1786485
Ghana,81,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,4330,8559,5702,11105,30171,25924,18374,24844,12433
Greece,84,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,271991,284707,225050,203847,172621,136564,175038,131884,145780
Guatemala,89,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,84157,118070,140350,131425,145722,133081,88314,120544,142138
Guinea,90,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,1794,1663,1674,1970,1978,3178,2795,1259,2457
Guyana,91,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,13610,9619,19117,6180,8300,6364,18262,6704,14136
Honduras,95,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,32539,51670,70653,75381,89464,83396,44657,50910,32495
Hungary,97,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,303000,289000,293000,260000,289000,320000,294000,275000,281000
Iceland,99,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,11085,10344,9889,9775,12342,13832,15321,12000,7669
India,100,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,10469210,11077861,11712729,12723910,13760868,14417665,14863815,15558372,16549642
Indonesia,101,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,1974661,2119780,2309142,2411944,2435520,2503269,2675620,2929034,2784606
Iran (Islamic Republic of),102,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,835038,850146,1048561,946814,1204120,967971,1065216,786579,390374
Iraq,103,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,0,0,102714,153880,167020,126420,164120,171846,107980
Ireland,104,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,468352,391200,238364,229325,277519,308960,306806,362395,372553
Israel,105,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,44700,50200,52400,48800,47500,59400,45900,36100,30200
Italy,106,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,845003,846812,866469,800697,798807,812480,670261,486728,498605
Jamaica,109,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,8209,9752,9829,6417,4844,3800,4936,4603,4826
Japan,110,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,531031,543757,561300,553543,528306,514482,468524,553449,456390
Jordan,112,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,88819,56317,21529,21884,11650,36936,22219,5149,15799
Kazakhstan,108,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,12800,19600,24800,20500,27800,37500,16300,29500,22500
Kenya,114,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,62724,68061,64724,72514,77667,79441,73071,67372,70788
Kuwait,118,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,21160,0,0,47840,23000,0,14260,0,6440
Kyrgyzstan,113,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,9232,31383,27232,29589,26842,26141,22530,24523,25252
Latvia,119,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,36047,24159,39300,40900,42700,47748,50228,53508,58643
Lebanon,121,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,19678,16791,17487,8724,7990,13184,9752,12608,15124
Libya,124,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,76120,32363,47060,75580,36940,68680,42840,47493,47308
Lithuania,126,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,13653,38736,50448,0,31249,0,27261,50018,106716
Luxembourg,256,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,26053,12905,16355,14230,14034,13312,13334,16748,21134
Madagascar,129,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,2645,4095,2716,7257,3744,4413,7627,4439,4482
Malawi,130,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,60083,60989,71630,66172,82959,84330,89264,70671,86098
Malaysia,131,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,450453,429347,565937,634719,587260,690240,902956,963116,998124
Maldives,132,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,9,12,20,34,119,256,64,19,9
Mali,133,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,0,0,152803,59289,66469,87331,55817,30377,89259
Malta,134,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,598,521,643,578,926,571,339,390,333
Marshall Islands,127,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,0,0,0,0,0,0,0,0,0
Mauritius,137,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,11028,10742,10499,9908,8614,8815,7300,6950,5349
Mexico,138,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,886067,912583,942528,1219457,1057564,1141863,938889,1027400,1205659
Mongolia,141,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,4448,3986,5873,3657,6511,5981,6921,7520,11023
Montenegro,273,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,,,,,1738,1389,1319,1089,1360
Morocco,143,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,248163,207532,231504,337370,321350,304810,275060,195952,136427
Mozambique,144,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,17700,1836,3414,6400,17168,11464,41860,15133,43385
Myanmar,28,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,32292,68839,102012,53794,67020,80495,62235,50692,49903
Namibia,147,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,2920,805,1973,1003,1892,1337,210,1268,0
Nepal,149,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,21838,5465,8118,2856,8781,1939,2910,28331,17748
Netherlands,150,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,292195,290559,300495,279246,287767,241217,231058,224188,217959
New Caledonia,153,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,728,1502,601,785,633,789,539,356,559
New Zealand,156,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,308091,346880,299697,309801,268811,277473,256416,244007,246235
Nicaragua,157,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,35236,36667,33379,35608,42671,41872,34115,47383,39944
Niger,158,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,6525,2519,2117,2786,4049,2508,1558,3304,4829
Nigeria,159,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,125131,167778,116343,213221,216854,70115,140846,44847,80140
Norway,162,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,99174,102587,103384,105549,103046,106319,101700,96840,63315
Oman,221,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,4065,3547,5480,30055,14683,930,8830,15823,0
Pakistan,165,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,2384980,2456009,2570230,2818779,2868984,2714053,2820763,3473751,3270531
Panama,166,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,15171,17622,15233,15618,17682,14506,15453,17304,21740
Papua New Guinea,168,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,4983,6869,14752,13832,11317,12198,13695,19011,15968
Paraguay,169,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,34934,41662,50723,41897,47891,76839,58789,58908,81616
Peru,170,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,210580,204092,210640,180300,203041,246705,203051,261876,223422
Philippines,171,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,445244,572571,629808,544134,474332,519960,409905,433616,586861
Poland,173,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,831700,895000,895300,996500,1056200,1142300,1095400,1028000,1294223
Portugal,174,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,163902,110132,125844,102663,87391,110477,96343,100000,126637
Qatar,179,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,0,0,49353,7349,0,70380,0,38180,81880
Republic of Korea,117,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,363412,335863,385933,417303,304404,347381,311796,245611,215328
Republic of Moldova,146,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,14700,13300,14200,14800,12811,17147,19924,14578,16400
Romania,183,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,239071,252139,270131,299195,252201,265487,279886,296055,305757
Russian Federation,185,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,654204,846330,838270,863240,914660,1043750,1209760,1236770,1192680
Rwanda,184,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,0,877,709,1214,589,2573,2799,535,94
Saint Kitts and Nevis,188,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,0,199,27,27,42,22,22,23,24
Samoa,244,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,4,7,14,12,9,16,18,11,6
Saudi Arabia,194,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,98246,250293,230710,182780,228660,255990,180390,129260,165900
Senegal,195,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,19400,13095,19616,12194,1611,1446,1845,8955,26845
Serbia,272,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,,,,,236395,313794,235744,316917,157460
Serbia and Montenegro,186,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,192367,167082,304430,276952,,,,,
Seychelles,196,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,0,8,3,10,4,25,14,24,10
Singapore,200,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,1485,6930,9322,9077,10694,9697,6766,2542,0
Slovakia,199,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,81300,79911,81317,78681,88935,87737,77058,86873,90577
Slovenia,198,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,33001,34035,29974,28864,29947,29220,24883,28026,27102
South Africa,202,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,477072,420827,427571,347260,428719,439480,424123,414304,398192
Spain,203,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,1026546,1198606,1072948,923764,969783,985857,739757,781069,941100
Sri Lanka,38,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,188317,150656,163234,181556,175249,161607,209393,181732,166096
Sudan (former),206,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,54415,57500,74649,39710,44770,55810,55810,86170,0
Suriname,207,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,3912,5593,6279,4208,7524,5167,14450,7562,9844
Sweden,210,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,184800,180100,176800,161500,160300,167100,186500,142400,168000
Switzerland,211,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,40542,43182,45864,53275,53171,48587,52885,51055,50862
Syrian Arab Republic,212,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,221594,241249,226386,266418,275613,263117,270207,210362,119175
Tajikistan,208,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,0,0,26408,28633,54500,55300,52200,48176,45490
Thailand,216,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,1018849,1253606,1146244,1042692,1063402,1188173,1195815,1406155,1584887
The former Yugoslav Republic of Macedonia,154,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,8969,12030,15030,18092,17074,18897,15677,17412,19444
Togo,217,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,4895,6173,4247,6884,4276,5492,201,937,1070
Tonga,219,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,29,3760,765,526,304,6,105,4374,3212
Trinidad and Tobago,220,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,22647,3189,1386,2327,1626,0,19736,4743,71861
Tunisia,222,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,37462,52620,48463,61771,64447,39245,58760,76540,69224
Turkey,223,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,1198855,1340566,1366302,1372053,1406323,1357105,1133068,1413793,1343698
Uganda,226,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,3651,4328,3951,2578,4389,3968,10644,7046,6366
Ukraine,230,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,443492,359617,345280,376880,466820,578160,735780,702783,748365
United Arab Emirates,225,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,38920,49115,22598,4127,41700,46120,19900,64310,29350
United Kingdom,229,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,1182622,1125000,1061000,1003000,1008000,1006000,913000,1016000,1029000
United Republic of Tanzania,215,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,22192,26590,34469,33530,39222,41448,43426,66942,58341
United States of America,231,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,10945100,11536600,11398600,11013700,11625400,11585100,10727000,10898500,11488400
Uruguay,234,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,25998,65918,84440,73884,96465,92564,92584,105213,151476
Uzbekistan,235,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,0,0,0,0,540000,541967,571907,607761,739263
Venezuela (Bolivarian Republic of),236,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,258320,327050,261588,268924,196110,207230,293430,262980,285240
Viet Nam,237,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,1150277,1231476,1532517,1047222,977045,1124727,1008572,1529841,1091601
Yemen,249,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,11300,4918,16965,3945,8923,26220,17020,13800,23920
Zambia,251,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,40335,42816,60177,51637,49225,55754,53215,64145,77617
Zimbabwe,181,Nitrogen Fertilizers (N total nutrients),3102,Consumption in nutrients (tonnes of nutrients),5155,70742,77499,51594,48403,60543,57419,51871,65707,71197
