# Appendix VI of Mekonnen and Hoekstra Water Footprint of Nations report,,,,
country,iso,MH2011_crop,water_type,coefficient
Albania,alb,Olives,Blue,172
Albania,alb,Olives,Gray,0
Albania,alb,Oilcrops other,Green,4416
Albania,alb,Oilcrops other,Blue,431
Albania,alb,Oilcrops other,Gray,105
Albania,alb,Soybean oil,Green,2643
Albania,alb,Soybean oil,Blue,183
Albania,alb,Soybean oil,Gray,13
Albania,alb,Groundnut oil,Green,5338
Albania,alb,Groundnut oil,Blue,464
Albania,alb,Groundnut oil,Gray,256
Albania,alb,Sunflower oil,Green,5195
Albania,alb,Sunflower oil,Blue,259
Albania,alb,Sunflower oil,Gray,839
Albania,alb,Rape and Mustard Oil,Green,3514
Albania,alb,Rape and Mustard Oil,Blue,463
Albania,alb,Rape and Mustard Oil,Gray,644
Albania,alb,Cottonseed Oil,Green,102
Albania,alb,Cottonseed Oil,Blue,103
Albania,alb,Cottonseed Oil,Gray,19
Albania,alb,Palmkernel Oil,Green,4900
Albania,alb,Palmkernel Oil,Blue,1
Albania,alb,Palmkernel Oil,Gray,193
Albania,alb,Palm Oil,Green,4509
Albania,alb,Palm Oil,Blue,1
Albania,alb,Palm Oil,Gray,178
Albania,alb,Coconut Oil,Green,9245
Albania,alb,Coconut Oil,Blue,5
Albania,alb,Coconut Oil,Gray,58
Albania,alb,Sesameseed Oil,Green,11510
Albania,alb,Sesameseed Oil,Blue,4504
Albania,alb,Sesameseed Oil,Gray,1261
Albania,alb,Olive Oil,Green,21393
Albania,alb,Olive Oil,Blue,842
Albania,alb,Olive Oil,Gray,2
Albania,alb,Ricebran Oil,Green,750
Albania,alb,Ricebran Oil,Blue,1408
Albania,alb,Ricebran Oil,Gray,271
Albania,alb,Maize Germ Oil,Green,1354
Albania,alb,Maize Germ Oil,Blue,1147
Albania,alb,Maize Germ Oil,Gray,24
Albania,alb,Oilcrops Oil other,Green,8046
Albania,alb,Oilcrops Oil other,Blue,786
Albania,alb,Oilcrops Oil other,Gray,191
Albania,alb,Tomatoes,Green,95
Albania,alb,Tomatoes,Blue,105
Albania,alb,Tomatoes,Gray,23
Albania,alb,Onions,Green,274
Albania,alb,Onions,Blue,290
Albania,alb,Onions,Gray,50
Albania,alb,Vegetables other,Green,109
Albania,alb,Vegetables other,Blue,63
Albania,alb,Vegetables other,Gray,17
Albania,alb,"Oranges, Mandarines",Green,267
Albania,alb,"Oranges, Mandarines",Blue,80
Albania,alb,"Oranges, Mandarines",Gray,35
Albania,alb,"Lemons, Limes",Green,320
Albania,alb,"Lemons, Limes",Blue,159
Albania,alb,"Lemons, Limes",Gray,64
Albania,alb,Grapefruit,Green,244
Albania,alb,Grapefruit,Blue,77
Albania,alb,Grapefruit,Gray,40
Albania,alb,Citrus other,Green,279
Albania,alb,Citrus other,Blue,87
Albania,alb,Citrus other,Gray,45
Albania,alb,Bananas,Green,328
Albania,alb,Bananas,Blue,61
Albania,alb,Bananas,Gray,2
Albania,alb,Plantains,Green,1570
Albania,alb,Plantains,Blue,27
Albania,alb,Plantains,Gray,6
Albania,alb,Apples,Green,543
Albania,alb,Apples,Blue,153
Albania,alb,Apples,Gray,24
Albania,alb,Pineapples,Green,212
Albania,alb,Pineapples,Blue,9
Albania,alb,Pineapples,Gray,30
Albania,alb,Dates,Green,2175
Albania,alb,Dates,Blue,1071
Albania,alb,Dates,Gray,20
Albania,alb,Grapes,Green,248
Albania,alb,Grapes,Blue,19
Albania,alb,Grapes,Gray,7
Albania,alb,Fruits other,Green,1317
Albania,alb,Fruits other,Blue,264
Albania,alb,Fruits other,Gray,14
Albania,alb,Coffee,Green,13032
Albania,alb,Coffee,Blue,114
Albania,alb,Coffee,Gray,481
Albania,alb,Cocoa Beans,Green,19261
Albania,alb,Cocoa Beans,Blue,4
Albania,alb,Cocoa Beans,Gray,177
Albania,alb,Tea,Green,7171
Albania,alb,Tea,Blue,905
Albania,alb,Tea,Gray,719
Albania,alb,Pepper,Green,6225
Albania,alb,Pepper,Blue,431
Albania,alb,Pepper,Gray,576
Albania,alb,Pimento,Green,4310
Albania,alb,Pimento,Blue,844
Albania,alb,Pimento,Gray,292
Albania,alb,Cloves,Green,57975
Albania,alb,Cloves,Blue,33
Albania,alb,Cloves,Gray,1382
Albania,alb,Spices other,Green,3149
Albania,alb,Spices other,Blue,2602
Albania,alb,Spices other,Gray,20
Albania,alb,Wine,Green,354
Albania,alb,Wine,Blue,27
Albania,alb,Wine,Gray,9
Albania,alb,Beer,Green,197
Albania,alb,Beer,Blue,1
Albania,alb,Beer,Gray,44
Albania,alb,Cotton Lint,Green,3066
Albania,alb,Cotton Lint,Blue,3115
Albania,alb,Cotton Lint,Gray,573
Albania,alb,Jute,Green,2407
Albania,alb,Jute,Blue,34
Albania,alb,Jute,Gray,218
Albania,alb,Jute-Like Fibers,Green,3492
Albania,alb,Jute-Like Fibers,Blue,200
Albania,alb,Jute-Like Fibers,Gray,500
Albania,alb,Soft-Fibers other,Green,3573
Albania,alb,Soft-Fibers other,Blue,783
Albania,alb,Soft-Fibers other,Gray,501
Albania,alb,Sisal,Green,6112
Albania,alb,Sisal,Blue,708
Albania,alb,Sisal,Gray,222
Albania,alb,Abaca,Green,19376
Albania,alb,Abaca,Blue,246
Albania,alb,Abaca,Gray,766
Albania,alb,Hard Fibers other,Green,39
Albania,alb,Hard Fibers other,Blue,119
Albania,alb,Hard Fibers other,Gray,242
Albania,alb,Tobacco,Green,1897
Albania,alb,Tobacco,Blue,260
Albania,alb,Tobacco,Gray,277
Albania,alb,Rubber,Green,12964
Albania,alb,Rubber,Blue,361
Albania,alb,Rubber,Gray,422
Albania,alb,Bovine Meat,Green,13870
Albania,alb,Bovine Meat,Blue,616
Albania,alb,Bovine Meat,Gray,207
Albania,alb,Mutton and Goat Meat,Green,5994
Albania,alb,Mutton and Goat Meat,Blue,612
Albania,alb,Mutton and Goat Meat,Gray,9
Albania,alb,Pigmeat,Green,3638
Albania,alb,Pigmeat,Blue,877
Albania,alb,Pigmeat,Gray,326
Albania,alb,Poultry Meat,Green,4439
Albania,alb,Poultry Meat,Blue,2026
Albania,alb,Poultry Meat,Gray,349
Albania,alb,Meat other,Green,54809
Albania,alb,Meat other,Blue,2588
Albania,alb,Meat other,Gray,964
Albania,alb,Raw Animal Fats,Green,3989
Albania,alb,Raw Animal Fats,Blue,980
Albania,alb,Raw Animal Fats,Gray,159
Albania,alb,Butter and Ghee,Green,3989
Albania,alb,Butter and Ghee,Blue,980
Albania,alb,Butter and Ghee,Gray,159
Albania,alb,Cream,Green,1133
Albania,alb,Cream,Blue,278
Albania,alb,Cream,Gray,45
Albania,alb,Hides and Skins,Green,6511
Albania,alb,Hides and Skins,Blue,403
Albania,alb,Hides and Skins,Gray,180
Albania,alb,Offals,Green,6713
Albania,alb,Offals,Blue,349
Albania,alb,Offals,Gray,73
Albania,alb,Milk excl Butter,Green,744
Albania,alb,Milk excl Butter,Blue,180
Albania,alb,Milk excl Butter,Gray,31
Albania,alb,Eggs,Green,2906
Albania,alb,Eggs,Blue,1455
Albania,alb,Eggs,Gray,216
Algeria,dza,Wheat,Green,1754
Algeria,dza,Wheat,Blue,67
Algeria,dza,Wheat,Gray,123
Algeria,dza,Rice,Green,1462
Algeria,dza,Rice,Blue,813
Algeria,dza,Rice,Gray,268
Algeria,dza,Barley,Green,2305
Algeria,dza,Barley,Blue,7
Algeria,dza,Barley,Gray,54
Algeria,dza,Maize,Green,626
Algeria,dza,Maize,Blue,56
Algeria,dza,Maize,Gray,149
Algeria,dza,Rye,Green,495
Algeria,dza,Rye,Blue,0
Algeria,dza,Rye,Gray,208
Algeria,dza,Oats,Green,3005
Algeria,dza,Oats,Blue,1094
Algeria,dza,Oats,Gray,47
Algeria,dza,Millet,Green,3555
Algeria,dza,Millet,Blue,49
Algeria,dza,Millet,Gray,156
Algeria,dza,Sorghum,Green,1208
Algeria,dza,Sorghum,Blue,49
Algeria,dza,Sorghum,Gray,90
Algeria,dza,Cereals other,Green,4735
Algeria,dza,Cereals other,Blue,89
Algeria,dza,Cereals other,Gray,313
Algeria,dza,Potatoes,Green,64
Algeria,dza,Potatoes,Blue,189
Algeria,dza,Potatoes,Gray,16
Algeria,dza,Cassava,Green,550
Algeria,dza,Cassava,Blue,0
Algeria,dza,Cassava,Gray,13
Algeria,dza,Sweet Potatoes,Green,231
Algeria,dza,Sweet Potatoes,Blue,135
Algeria,dza,Sweet Potatoes,Gray,7
Algeria,dza,Roots other,Green,349
Algeria,dza,Roots other,Blue,15
Algeria,dza,Roots other,Gray,22
Algeria,dza,Yams,Green,341
Algeria,dza,Yams,Blue,0
Algeria,dza,Yams,Gray,1
Algeria,dza,Sugarcane,Green,132
Algeria,dza,Sugarcane,Blue,42
Algeria,dza,Sugarcane,Gray,11
Algeria,dza,Sugar Beet,Green,65
Algeria,dza,Sugar Beet,Blue,54
Algeria,dza,Sugar Beet,Gray,24
Algeria,dza,Sugar Non-centrifugal,Green,1048
Algeria,dza,Sugar Non-centrifugal,Blue,331
Algeria,dza,Sugar Non-centrifugal,Gray,88
Algeria,dza,Sugar Raw equivalent,Green,1048
Algeria,dza,Sugar Raw equivalent,Blue,331
Algeria,dza,Sugar Raw equivalent,Gray,88
Algeria,dza,Sweeteners other,Green,9751
Algeria,dza,Sweeteners other,Blue,0
Algeria,dza,Sweeteners other,Gray,918
Algeria,dza,Beans,Green,2492
Algeria,dza,Beans,Blue,26
Algeria,dza,Beans,Gray,463
Algeria,dza,Peas,Green,1545
Algeria,dza,Peas,Blue,12
Algeria,dza,Peas,Gray,572
Algeria,dza,Pulses other,Green,2215
Algeria,dza,Pulses other,Blue,74
Algeria,dza,Pulses other,Gray,784
Algeria,dza,Nuts,Green,4841
Algeria,dza,Nuts,Blue,1792
Algeria,dza,Nuts,Gray,277
Algeria,dza,Soybean,Green,1760
Algeria,dza,Soybean,Blue,251
Algeria,dza,Soybean,Gray,18
Algeria,dza,Groundnut,Green,2222
Algeria,dza,Groundnut,Blue,144
Algeria,dza,Groundnut,Gray,320
Algeria,dza,Sunflower,Green,2898
Algeria,dza,Sunflower,Blue,68
Algeria,dza,Sunflower,Gray,173
Algeria,dza,Rapeseed,Green,1251
Algeria,dza,Rapeseed,Blue,333
Algeria,dza,Rapeseed,Gray,179
Algeria,dza,Cottonseed,Green,430
Algeria,dza,Cottonseed,Blue,442
Algeria,dza,Cottonseed,Gray,117
Algeria,dza,Coconuts,Green,3018
Algeria,dza,Coconuts,Blue,0
Algeria,dza,Coconuts,Gray,9
Algeria,dza,Sesameseed,Green,9870
Algeria,dza,Sesameseed,Blue,1002
Algeria,dza,Sesameseed,Gray,363
Algeria,dza,Palm kernels,Green,2187
Algeria,dza,Palm kernels,Blue,0
Algeria,dza,Palm kernels,Gray,110
Algeria,dza,Olives,Green,3370
Algeria,dza,Olives,Blue,895
Algeria,dza,Olives,Gray,51
Algeria,dza,Oilcrops other,Green,2632
Algeria,dza,Oilcrops other,Blue,137
Algeria,dza,Oilcrops other,Gray,230
Algeria,dza,Soybean oil,Green,3438
Algeria,dza,Soybean oil,Blue,490
Algeria,dza,Soybean oil,Gray,35
Algeria,dza,Groundnut oil,Green,4210
Algeria,dza,Groundnut oil,Blue,273
Algeria,dza,Groundnut oil,Gray,607
Algeria,dza,Sunflower oil,Green,5848
Algeria,dza,Sunflower oil,Blue,138
Algeria,dza,Sunflower oil,Gray,348
Algeria,dza,Rape and Mustard Oil,Green,2368
Algeria,dza,Rape and Mustard Oil,Blue,631
Algeria,dza,Rape and Mustard Oil,Gray,339
Algeria,dza,Cottonseed Oil,Green,101
Algeria,dza,Cottonseed Oil,Blue,104
Algeria,dza,Cottonseed Oil,Gray,27
Algeria,dza,Palmkernel Oil,Green,4118
Algeria,dza,Palmkernel Oil,Blue,0
Algeria,dza,Palmkernel Oil,Gray,207
Algeria,dza,Palm Oil,Green,3790
Algeria,dza,Palm Oil,Blue,0
Algeria,dza,Palm Oil,Gray,190
Algeria,dza,Coconut Oil,Green,10791
Algeria,dza,Coconut Oil,Blue,1
Algeria,dza,Coconut Oil,Gray,33
Algeria,dza,Sesameseed Oil,Green,22954
Algeria,dza,Sesameseed Oil,Blue,2330
Algeria,dza,Sesameseed Oil,Gray,844
Algeria,dza,Olive Oil,Green,16460
Algeria,dza,Olive Oil,Blue,4372
Algeria,dza,Olive Oil,Gray,250
Algeria,dza,Ricebran Oil,Green,1921
Algeria,dza,Ricebran Oil,Blue,1068
Algeria,dza,Ricebran Oil,Gray,353
Algeria,dza,Maize Germ Oil,Green,1319
Algeria,dza,Maize Germ Oil,Blue,118
Algeria,dza,Maize Germ Oil,Gray,314
Algeria,dza,Oilcrops Oil other,Green,4795
Algeria,dza,Oilcrops Oil other,Blue,249
Algeria,dza,Oilcrops Oil other,Gray,418
Algeria,dza,Tomatoes,Green,121
Algeria,dza,Tomatoes,Blue,66
Algeria,dza,Tomatoes,Gray,4
Algeria,dza,Onions,Green,194
Algeria,dza,Onions,Blue,76
Algeria,dza,Onions,Gray,5
Algeria,dza,Vegetables other,Green,162
Algeria,dza,Vegetables other,Blue,41
Algeria,dza,Vegetables other,Gray,7
Algeria,dza,"Oranges, Mandarines",Green,371
Algeria,dza,"Oranges, Mandarines",Blue,336
Algeria,dza,"Oranges, Mandarines",Gray,7
Algeria,dza,"Lemons, Limes",Green,374
Algeria,dza,"Lemons, Limes",Blue,337
Algeria,dza,"Lemons, Limes",Gray,7
Algeria,dza,Grapefruit,Green,316
Algeria,dza,Grapefruit,Blue,273
Algeria,dza,Grapefruit,Gray,8
Algeria,dza,Citrus other,Green,508
Algeria,dza,Citrus other,Blue,175
Algeria,dza,Citrus other,Gray,59
Algeria,dza,Bananas,Green,358
Algeria,dza,Bananas,Blue,48
Algeria,dza,Bananas,Gray,0
Algeria,dza,Plantains,Green,1570
Algeria,dza,Plantains,Blue,27
Algeria,dza,Plantains,Gray,6
Algeria,dza,Apples,Green,568
Algeria,dza,Apples,Blue,238
Algeria,dza,Apples,Gray,12
Algeria,dza,Pineapples,Green,210
Algeria,dza,Pineapples,Blue,9
Algeria,dza,Pineapples,Gray,30
Algeria,dza,Dates,Green,987
Algeria,dza,Dates,Blue,2284
Algeria,dza,Dates,Gray,21
Algeria,dza,Grapes,Green,599
Algeria,dza,Grapes,Blue,1147
Algeria,dza,Grapes,Gray,22
Algeria,dza,Fruits other,Green,1165
Algeria,dza,Fruits other,Blue,691
Algeria,dza,Fruits other,Gray,21
Algeria,dza,Coffee,Green,25024
Algeria,dza,Coffee,Blue,8
Algeria,dza,Coffee,Gray,183
Algeria,dza,Cocoa Beans,Green,19290
Algeria,dza,Cocoa Beans,Blue,3
Algeria,dza,Cocoa Beans,Gray,164
Algeria,dza,Tea,Green,9115
Algeria,dza,Tea,Blue,780
Algeria,dza,Tea,Gray,1450
Algeria,dza,Pepper,Green,3432
Algeria,dza,Pepper,Blue,230
Algeria,dza,Pepper,Gray,270
Algeria,dza,Pimento,Green,2057
Algeria,dza,Pimento,Blue,1179
Algeria,dza,Pimento,Gray,113
Algeria,dza,Cloves,Green,50358
Algeria,dza,Cloves,Blue,24
Algeria,dza,Cloves,Gray,786
Algeria,dza,Spices other,Green,4829
Algeria,dza,Spices other,Blue,3907
Algeria,dza,Spices other,Gray,1006
Algeria,dza,Wine,Green,856
Algeria,dza,Wine,Blue,1638
Algeria,dza,Wine,Gray,32
Algeria,dza,Beer,Green,482
Algeria,dza,Beer,Blue,1
Algeria,dza,Beer,Gray,11
Algeria,dza,Cotton Lint,Green,3041
Algeria,dza,Cotton Lint,Blue,3124
Algeria,dza,Cotton Lint,Gray,829
Algeria,dza,Jute,Green,2347
Algeria,dza,Jute,Blue,25
Algeria,dza,Jute,Gray,75
Algeria,dza,Jute-Like Fibers,Green,3492
Algeria,dza,Jute-Like Fibers,Blue,200
Algeria,dza,Jute-Like Fibers,Gray,500
Algeria,dza,Soft-Fibers other,Green,1457
Algeria,dza,Soft-Fibers other,Blue,7046
Algeria,dza,Soft-Fibers other,Gray,1947
Algeria,dza,Sisal,Green,6053
Algeria,dza,Sisal,Blue,721
Algeria,dza,Sisal,Gray,221
Algeria,dza,Abaca,Green,19376
Algeria,dza,Abaca,Blue,246
Algeria,dza,Abaca,Gray,766
Algeria,dza,Hard Fibers other,Green,6037
Algeria,dza,Hard Fibers other,Blue,148
Algeria,dza,Hard Fibers other,Gray,185
Algeria,dza,Tobacco,Green,1567
Algeria,dza,Tobacco,Blue,282
Algeria,dza,Tobacco,Gray,174
Algeria,dza,Rubber,Green,12964
Algeria,dza,Rubber,Blue,361
Algeria,dza,Rubber,Gray,422
Algeria,dza,Bovine Meat,Green,26864
Algeria,dza,Bovine Meat,Blue,781
Algeria,dza,Bovine Meat,Gray,662
Algeria,dza,Mutton and Goat Meat,Green,11281
Algeria,dza,Mutton and Goat Meat,Blue,330
Algeria,dza,Mutton and Goat Meat,Gray,48
Algeria,dza,Pigmeat,Green,10331
Algeria,dza,Pigmeat,Blue,735
Algeria,dza,Pigmeat,Gray,478
Algeria,dza,Poultry Meat,Green,7972
Algeria,dza,Poultry Meat,Blue,748
Algeria,dza,Poultry Meat,Gray,617
Algeria,dza,Meat other,Green,140067
Algeria,dza,Meat other,Blue,6412
Algeria,dza,Meat other,Gray,574
Algeria,dza,Raw Animal Fats,Green,10033
Algeria,dza,Raw Animal Fats,Blue,511
Algeria,dza,Raw Animal Fats,Gray,395
Algeria,dza,Butter and Ghee,Green,10033
Algeria,dza,Butter and Ghee,Blue,511
Algeria,dza,Butter and Ghee,Gray,395
Algeria,dza,Cream,Green,2851
Algeria,dza,Cream,Blue,145
Algeria,dza,Cream,Gray,112
Algeria,dza,Hides and Skins,Green,8379
Algeria,dza,Hides and Skins,Blue,277
Algeria,dza,Hides and Skins,Gray,154
Algeria,dza,Offals,Green,9749
Algeria,dza,Offals,Blue,286
Algeria,dza,Offals,Gray,181
Algeria,dza,Milk excl Butter,Green,2209
Algeria,dza,Milk excl Butter,Blue,121
Algeria,dza,Milk excl Butter,Gray,112
Algeria,dza,Eggs,Green,4369
Algeria,dza,Eggs,Blue,424
Algeria,dza,Eggs,Gray,351
Angola,ago,Wheat,Green,870
Angola,ago,Wheat,Blue,66
Angola,ago,Wheat,Gray,164
Angola,ago,Rice,Green,2580
Angola,ago,Rice,Blue,980
Angola,ago,Rice,Gray,225
Angola,ago,Barley,Green,897
Angola,ago,Barley,Blue,46
Angola,ago,Barley,Gray,142
Angola,ago,Maize,Green,5498
Angola,ago,Maize,Blue,30
Angola,ago,Maize,Gray,72
Angola,ago,Rye,Green,6829
Angola,ago,Rye,Blue,2
Angola,ago,Rye,Gray,198
Angola,ago,Oats,Green,1378
Angola,ago,Oats,Blue,2549
Angola,ago,Oats,Gray,82
Angola,ago,Millet,Green,9310
Angola,ago,Millet,Blue,1
Angola,ago,Millet,Gray,22
Angola,ago,Sorghum,Green,1089
Angola,ago,Sorghum,Blue,63
Angola,ago,Sorghum,Gray,105
Angola,ago,Cereals other,Green,1713
Angola,ago,Cereals other,Blue,1190
Angola,ago,Cereals other,Gray,164
Angola,ago,Potatoes,Green,410
Angola,ago,Potatoes,Blue,11
Angola,ago,Potatoes,Gray,16
Angola,ago,Cassava,Green,819
Angola,ago,Cassava,Blue,0
Angola,ago,Cassava,Gray,1
Angola,ago,Sweet Potatoes,Green,790
Angola,ago,Sweet Potatoes,Blue,58
Angola,ago,Sweet Potatoes,Gray,2
Angola,ago,Roots other,Green,349
Angola,ago,Roots other,Blue,16
Angola,ago,Roots other,Gray,23
Angola,ago,Yams,Green,341
Angola,ago,Yams,Blue,0
Angola,ago,Yams,Gray,1
Angola,ago,Sugarcane,Green,120
Angola,ago,Sugarcane,Blue,46
Angola,ago,Sugarcane,Gray,10
Angola,ago,Sugar Beet,Green,80
Angola,ago,Sugar Beet,Blue,26
Angola,ago,Sugar Beet,Gray,24
Angola,ago,Sugar Non-centrifugal,Green,957
Angola,ago,Sugar Non-centrifugal,Blue,362
Angola,ago,Sugar Non-centrifugal,Gray,77
Angola,ago,Sugar Raw equivalent,Green,957
Angola,ago,Sugar Raw equivalent,Blue,362
Angola,ago,Sugar Raw equivalent,Gray,77
Angola,ago,Sweeteners other,Green,9410
Angola,ago,Sweeteners other,Blue,0
Angola,ago,Sweeteners other,Gray,881
Angola,ago,Beans,Green,1850
Angola,ago,Beans,Blue,1
Angola,ago,Beans,Gray,37
Angola,ago,Peas,Green,1028
Angola,ago,Peas,Blue,45
Angola,ago,Peas,Gray,3513
Angola,ago,Pulses other,Green,2010
Angola,ago,Pulses other,Blue,148
Angola,ago,Pulses other,Gray,908
Angola,ago,Nuts,Green,15304
Angola,ago,Nuts,Blue,1264
Angola,ago,Nuts,Gray,19
Angola,ago,Soybean,Green,2017
Angola,ago,Soybean,Blue,48
Angola,ago,Soybean,Gray,27
Angola,ago,Groundnut,Green,17315
Angola,ago,Groundnut,Blue,7
Angola,ago,Groundnut,Gray,69
Angola,ago,Sunflower,Green,5668
Angola,ago,Sunflower,Blue,507
Angola,ago,Sunflower,Gray,130
Angola,ago,Rapeseed,Green,1810
Angola,ago,Rapeseed,Blue,125
Angola,ago,Rapeseed,Gray,213
Angola,ago,Cottonseed,Green,1396
Angola,ago,Cottonseed,Blue,11
Angola,ago,Cottonseed,Gray,91
Angola,ago,Coconuts,Green,2402
Angola,ago,Coconuts,Blue,2
Angola,ago,Coconuts,Gray,15
Angola,ago,Sesameseed,Green,12514
Angola,ago,Sesameseed,Blue,786
Angola,ago,Sesameseed,Gray,65
Angola,ago,Palm kernels,Green,1879
Angola,ago,Palm kernels,Blue,0
Angola,ago,Palm kernels,Gray,23
Angola,ago,Olives,Green,6705
Angola,ago,Olives,Blue,194
Angola,ago,Olives,Gray,10
Angola,ago,Oilcrops other,Green,11911
Angola,ago,Oilcrops other,Blue,902
Angola,ago,Oilcrops other,Gray,65
Angola,ago,Soybean oil,Green,3942
Angola,ago,Soybean oil,Blue,93
Angola,ago,Soybean oil,Gray,52
Angola,ago,Groundnut oil,Green,32804
Angola,ago,Groundnut oil,Blue,14
Angola,ago,Groundnut oil,Gray,130
Angola,ago,Sunflower oil,Green,11436
Angola,ago,Sunflower oil,Blue,1022
Angola,ago,Sunflower oil,Gray,262
Angola,ago,Rape and Mustard Oil,Green,3428
Angola,ago,Rape and Mustard Oil,Blue,238
Angola,ago,Rape and Mustard Oil,Gray,403
Angola,ago,Cottonseed Oil,Green,327
Angola,ago,Cottonseed Oil,Blue,2
Angola,ago,Cottonseed Oil,Gray,21
Angola,ago,Palmkernel Oil,Green,3539
Angola,ago,Palmkernel Oil,Blue,0
Angola,ago,Palmkernel Oil,Gray,43
Angola,ago,Palm Oil,Green,3257
Angola,ago,Palm Oil,Blue,0
Angola,ago,Palm Oil,Gray,39
Angola,ago,Coconut Oil,Green,8591
Angola,ago,Coconut Oil,Blue,6
Angola,ago,Coconut Oil,Gray,52
Angola,ago,Sesameseed Oil,Green,29101
Angola,ago,Sesameseed Oil,Blue,1827
Angola,ago,Sesameseed Oil,Gray,150
Angola,ago,Olive Oil,Green,32751
Angola,ago,Olive Oil,Blue,946
Angola,ago,Olive Oil,Gray,49
Angola,ago,Ricebran Oil,Green,3390
Angola,ago,Ricebran Oil,Blue,1289
Angola,ago,Ricebran Oil,Gray,295
Angola,ago,Maize Germ Oil,Green,11584
Angola,ago,Maize Germ Oil,Blue,64
Angola,ago,Maize Germ Oil,Gray,151
Angola,ago,Oilcrops Oil other,Green,21702
Angola,ago,Oilcrops Oil other,Blue,1643
Angola,ago,Oilcrops Oil other,Gray,118
Angola,ago,Tomatoes,Green,926
Angola,ago,Tomatoes,Blue,112
Angola,ago,Tomatoes,Gray,17
Angola,ago,Onions,Green,196
Angola,ago,Onions,Blue,158
Angola,ago,Onions,Gray,34
Angola,ago,Vegetables other,Green,538
Angola,ago,Vegetables other,Blue,109
Angola,ago,Vegetables other,Gray,15
Angola,ago,"Oranges, Mandarines",Green,311
Angola,ago,"Oranges, Mandarines",Blue,166
Angola,ago,"Oranges, Mandarines",Gray,31
Angola,ago,"Lemons, Limes",Green,289
Angola,ago,"Lemons, Limes",Blue,188
Angola,ago,"Lemons, Limes",Gray,32
Angola,ago,Grapefruit,Green,210
