Country_name,AgaveFibresNes,Almonds_withshell,Anise_badian_fennel_corian.,Apples,Apricots,Arecanuts,Artichokes,Asparagus,Avocados,Bananas,Beans_green,BerriesNes,Blueberries,Brazilnuts_withshell,Buckwheat,Cabbagesandotherbrassicas,Canaryseed,Carobs,Carrotsandturnips,Cashewapple,Cashewnuts,Castoroilseed,Cauliflowersandbroccoli,Cereals_nes,Cherries,Chestnuts,Chilliesandpeppers_dry,Chilliesandpeppers_green,Cinnamon(canella),Cloves,Coconuts,Cranberries,Cucumbersandgherkins,Currants,Eggplants(aubergines),FibreCropsNes,Figs,Flaxfibreandtow,Fonio,Fruit_tropicalfreshnes,FruitFreshNes,Garlic,Ginger,Gooseberries,Hazelnuts_withshell,Hempseed,HempTowWaste,Hops,Jute,Kiwifruit,Kolanuts,Lettuceandchicory,Linseed,Maize_green,Mangoes_mangosteens_guavas,ManilaFibre(Abaca),Melonseed,Mixedgrain,Mustardseed,Naturalrubber,Nutmeg_maceandcardamoms,Nuts_nes,Oats,Oilseeds_Nes,Okra,Olives,Onions_dry,Onions(inc.shallots)_green,OtherBastfibres,Othermelons(inc.cantaloupes),Papayas,Peachesandnectarines,Pears,Peas_green,Pepper(Piperspp.),Peppermint,Pineapples,Pistachios,Plantains,Plumsandsloes,Poppyseed,Pumpkins_squashandgourds,Quinoa,Ramie,Raspberries,Rootsandtubersnes,Safflowerseed,Sesameseed,Sisal,Sourcherries,Spices_nes,Spinach,Stonefruit_nes,Strawberries,Stringbeans,Sugarcrops_nes,Sweetpotatoes,Taro(cocoyam),Tea,Tobacco_unmanufactured,tomato,Tomatoes,Triticale,Vanilla,Vegetablesfreshnes,Walnuts_withshell,Watermelons,Yams,Yautia(cocoyam)
Bhutan,0,0,0,2926,0,10007,0,0,0,0,0,0,0,0,3003,0,0,0,989,0,0,0,872,2898,0,0,4137,1238,0,0,0,0,0,0,0,0,0,0,0,0,1771,745,535,0,0,0,0,0,908,0,0,0,0,0,0,0,0,0,4317,0,11385,0,3317,0,0,0,2578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356,0,0,0,286,0,0,0,0,576,0,0,0,0,0,0,0,0,2328,5766,1153,0,0,1627,0,0,0,0
Bolivia,0,0,0,1117,0,0,0,0,904,773,1236,0,0,0,0,254,0,0,456,0,0,0,458,3126,3424,6151,0,2351,0,0,0,0,260,0,0,0,1121,0,0,0,2031,1063,0,0,0,0,0,0,0,0,0,305,0,1560,851,0,0,0,0,0,0,0,5118,0,0,0,822,0,0,0,664,1224,1298,2178,6239,0,418,0,863,1217,0,382,5741,0,0,823,0,0,0,4258,6180,0,0,766,0,0,1170,0,4192,3372,1296,259,0,0,724,0,453,0,0
Bosnia and Herzegovina,0,13134,0,1779,2619,0,0,0,1585,0,554,382,0,0,0,362,0,0,490,0,0,0,0,0,3426,0,769,401,0,0,0,0,461,0,0,0,1928,0,0,0,2592,565,0,0,0,0,0,0,0,0,0,0,0,564,0,0,0,0,0,0,0,0,870,0,0,0,699,0,0,0,0,1499,1605,0,0,0,0,0,0,2960,0,0,0,0,509,0,0,0,0,2743,0,0,0,746,0,0,0,0,0,2201,2464,493,0,0,661,5026,281,0,0
Botswana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,639,0,0,0,0
Brazil,0,0,0,358,0,0,0,0,826,927,0,0,0,0,1632,0,0,0,0,3787,27543,10102,0,0,0,0,0,0,0,0,1214,0,0,0,0,0,1160,0,0,912,0,975,0,0,0,0,0,0,2954,0,0,0,3790,0,794,0,0,0,0,10686,0,13847,3268,0,0,7279,403,0,2844,208,211,1127,1083,0,1653,0,146,0,0,0,0,0,0,3882,0,0,0,6747,5979,0,0,0,0,522,0,0,427,0,7071,2089,340,68,1822,0,372,7395,286,455,0
Brunei Darussalam,0,0,0,0,0,0,0,0,0,4265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1189,0,0,8568,0,0,0,585,0,0,0,0,0,2240,0,0,0,0,0,0,0,0,0,0,761,0,14519,0,0,0,0,0,279397,0,0,0,0,4054,0,0,397,0,0,0,0,0,0,12794,0,626,0,0,0,0,161,0,0,0,3276,0,0,0,0,0,840,0,0,0,0,928,0,0,0,1,0,0,0,7288,0,201,0,0
Bulgaria,0,13703,2871,670,2519,0,0,965,0,0,507,976,0,0,0,161,0,0,144,0,0,0,241,1990,1639,955,1354,240,0,0,0,0,174,2055,147,0,0,2750,0,0,4947,796,0,0,49104,269640,0,3328,0,5380,0,189,6720,0,0,0,0,0,2647,0,0,3080,1320,1929,0,0,432,411,0,0,0,1070,297,767,0,0,0,0,0,1258,0,295,0,0,514,0,0,0,0,2201,2575,194,0,509,0,0,0,0,0,1790,978,196,1165,0,734,7487,279,0,0
Burkina Faso,0,14007,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,16139,0,0,0,0,0,0,307,0,0,0,0,0,0,0,0,0,0,6387,1350,1449,0,0,0,0,0,0,0,0,0,0,0,0,0,1424,0,0,0,0,0,0,0,0,0,332,0,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9284,0,0,2376,0,0,0,0,0,726,0,0,2819,787,157,0,0,87,0,0,604,0
Myanmar,0,0,0,0,0,0,0,0,0,1091,0,0,0,0,0,0,0,0,0,0,5361,18289,0,0,0,0,0,0,0,0,1671,0,0,0,0,0,0,0,0,925,1229,0,0,0,0,0,0,0,0,0,0,0,0,0,1014,0,0,0,0,0,0,0,0,13192,0,0,1206,0,8981,0,565,0,0,0,0,0,551,0,0,0,0,1594,0,0,0,591,0,7914,14207,0,0,0,0,0,0,0,805,0,4380,1945,1990,398,0,0,703,0,0,0,0
Burundi,0,14007,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,16139,0,0,0,0,0,0,307,0,0,0,0,0,0,0,0,0,0,6387,1350,1449,0,0,0,0,0,0,0,0,0,0,0,0,0,1424,0,0,0,0,0,0,0,0,0,332,0,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9284,0,0,2376,0,0,0,0,0,726,0,0,2819,787,157,0,0,87,0,0,604,0
Cambodia,0,0,0,0,0,0,0,0,0,2767,0,0,0,0,0,0,0,0,0,0,0,12146,0,0,0,0,11450,0,0,0,2462,0,0,0,0,0,0,0,0,0,1972,0,0,0,0,0,0,0,6095,0,0,0,0,0,1293,0,0,0,0,11521,0,7923,0,1370,0,0,0,0,0,0,0,0,0,0,768,0,496,0,0,0,0,0,0,0,0,273,0,8000,0,0,0,0,0,0,0,0,1372,0,0,2688,0,0,0,0,340,0,0,0,0
Cameroon,0,0,0,0,2138,0,0,0,2186,1024,623,0,0,0,0,341,0,0,0,0,0,0,0,0,0,0,6703,1193,0,0,3571,0,2823,0,1119,0,3219,0,0,0,1810,0,1057,0,0,0,0,0,9046,0,33919,0,0,0,2142,0,6463,0,0,9211,0,0,0,0,2007,0,345,0,0,377,0,1721,0,0,15726,0,301,0,1863,2516,0,2318,0,0,0,553,0,31875,0,0,0,0,2131,0,0,0,883,834,4151,1986,1561,312,0,0,153,0,223,498,0
Canada,0,0,4706,270,868,0,0,1954,0,0,399,0,526,0,2857,168,5002,0,55,0,0,0,210,0,871,0,0,159,0,0,0,73,81,0,0,3014,0,0,0,0,0,0,0,0,0,0,0,0,0,212,0,126,2713,432,0,0,0,1337,2102,0,0,0,1047,9555,0,0,86,0,0,114,0,467,484,670,0,0,0,0,0,924,0,212,0,0,291,0,3252,0,0,650,0,255,0,507,0,0,0,0,0,1075,250,50,1293,0,109,0,162,0,0
Cape Verde,0,0,0,0,0,0,0,0,0,160,152,0,0,0,0,135,0,0,79,0,0,9530,168,0,0,0,360,0,0,0,1954,0,125,0,0,0,0,0,0,0,1205,395,0,0,0,0,0,0,0,0,0,119,0,0,125,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,699,0,0,0,467,93,0,0,138,0,221,0,0
Cayman Islands,0,0,0,0,0,0,0,0,0,8395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1460,0,0,0,1761,352,0,0,524,0,0,1129,0
Central African Republic,0,0,0,0,0,0,0,0,1323,1550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2119,0,5569,0,0,11614,0,0,0,0,0,0,0,0,24746,0,0,0,0,0,0,0,744,0,3308,0,0,335,0,0,0,0,0,3894,16292,0,0,0,0,0,0,0,0,1544,0,2711,0,0,0,0,151,0,0,598,0
Chad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1584,0,0,0,0,0,0,0,0,0,0,0,0,0,1388,0,5781,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13022,0,0,0,0,0,0,0,0,1988,1440,0,609,0,0,0,0,68,0,0,471,0
Chile,0,4432,0,213,590,0,608,1163,807,0,171,0,0,0,0,87,0,0,71,0,0,0,54,0,1327,0,0,97,0,0,0,0,66,0,0,0,0,2466,0,0,1096,263,0,0,0,1326,1035,0,0,247,0,74,2930,103,0,0,0,0,0,0,0,0,563,0,0,1784,69,0,1354,95,245,423,262,203,0,0,0,0,0,428,0,80,0,0,0,0,0,0,0,0,0,0,0,94,0,0,394,0,0,474,172,34,305,0,82,4405,154,0,0
China,0,3140,3732,796,1367,3407,1595,1611,750,495,220,207,0,0,1961,237,0,0,144,0,19818,7214,185,1241,1638,1335,1025,215,7567,9939,791,0,239,0,233,353,1665,1243,0,2225,2860,306,336,0,4957,1720,1530,1894,2324,0,0,171,5059,565,1059,0,3339,0,3009,5971,0,2403,707,0,0,773,220,174,1417,124,238,826,877,384,2596,0,155,3260,0,2358,0,199,0,3620,0,178,2250,4266,1484,0,1293,111,898,354,228,0,242,255,9277,2007,911,182,1191,10841,218,4006,138,0,0
Colombia,4375,0,0,1051,0,0,0,2139,911,421,0,0,0,0,0,123,0,0,113,0,0,0,178,0,0,0,0,249,0,0,1689,0,278,0,255,0,552,0,0,1246,878,598,0,0,0,0,0,0,0,0,0,186,0,0,1109,0,0,0,0,0,0,3871,3178,0,0,0,181,0,0,204,388,1043,964,2738,0,0,114,0,1697,1250,0,226,0,0,0,248,0,5574,0,0,490,211,0,213,0,0,0,0,7885,1740,937,187,0,0,298,0,316,322,0
Comoros,0,0,0,0,0,0,0,0,0,2606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51908,5248,0,0,0,0,0,0,0,0,0,2680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4720,0,0,0,0,0,2627,910,0,0,2737,547,0,67269,749,0,0,995,0
Congo,0,0,0,0,0,0,0,0,1013,1500,174,0,0,0,0,257,0,0,653,0,0,0,0,2622,0,0,0,0,0,0,2883,0,0,0,203,0,0,0,0,0,1706,0,0,0,0,0,0,0,0,0,0,29,0,0,1033,0,4177,0,0,12455,0,0,0,0,423,0,428,0,0,0,496,0,0,0,0,0,1246,0,1464,0,0,0,0,0,0,142,0,3424,0,0,0,81,0,0,0,0,312,0,0,8648,4226,845,0,0,547,0,0,408,0
"Congo, Democratic Republic of",0,0,0,0,0,0,0,0,753,2712,173,0,0,0,0,194,0,0,549,0,0,0,0,0,0,0,2047,0,0,0,0,0,400,0,0,0,0,0,0,0,1068,0,0,0,0,0,0,0,0,0,0,22,0,0,498,0,3356,0,0,35580,0,0,0,0,0,0,1113,0,3006,0,406,0,0,0,0,0,159,0,2253,0,0,112,0,0,0,122,0,3071,0,0,0,0,0,0,0,0,465,347,15597,7001,2598,520,0,0,715,0,0,365,0
Cook Islands,0,0,0,0,0,0,0,0,0,2801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,389,0,0,0,0,0,455,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,218,0,0,0,573,115,0,15019,341,0,240,0,0
Costa Rica,0,0,0,0,0,0,0,0,1900,267,0,130,0,0,0,753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2554,0,0,0,0,0,0,0,0,0,1389,0,410,0,0,0,0,0,0,0,0,0,0,0,3693,12988,0,0,0,0,0,18943,0,0,0,0,169,0,0,138,224,0,0,0,1044,0,68,0,1867,0,0,0,0,0,0,340,0,6468,0,0,0,0,0,351,0,0,0,0,0,1330,451,90,0,0,209,0,151,300,0
Cªte d'Ivoire,0,1417,0,674,2133,0,0,0,0,0,765,915,0,0,914,302,0,7169,422,0,0,0,253,964,2152,0,0,435,0,0,0,0,287,0,0,0,1833,7053,0,0,0,579,0,0,4802,0,0,0,0,0,0,441,0,0,0,0,0,1517,0,0,0,0,829,0,0,3471,564,0,0,0,0,897,1265,929,0,0,0,0,0,2584,1187,0,0,0,573,0,0,0,0,1858,0,0,0,679,0,0,0,0,0,1793,1864,373,0,0,427,7410,211,0,0
Croatia,0,1417,0,674,2133,0,0,0,0,0,765,915,0,0,914,302,0,7169,422,0,0,0,253,964,2152,0,0,435,0,0,0,0,287,0,0,0,1833,7053,0,0,0,579,0,0,4802,0,0,0,0,0,0,441,0,0,0,0,0,1517,0,0,0,0,829,0,0,3471,564,0,0,0,0,897,1265,929,0,0,0,0,0,2584,1187,0,0,0,573,0,0,0,0,1858,0,0,0,679,0,0,0,0,0,1793,1864,373,0,0,427,7410,211,0,0
Cuba,7531,0,0,0,0,0,0,0,1052,1107,0,0,0,0,0,230,0,0,0,0,0,0,0,0,0,0,0,347,0,0,3879,0,394,0,0,0,0,0,0,1423,733,336,0,0,0,0,0,0,0,0,0,0,0,0,1986,0,0,0,0,0,0,0,0,0,0,0,295,0,5603,490,564,0,0,0,0,0,535,0,1626,0,0,641,0,0,0,0,0,0,9235,0,0,0,0,0,0,0,949,0,0,3313,1552,310,0,0,111,0,555,653,958
Cyprus,0,11387,0,424,496,0,161,0,277,96,115,0,0,0,0,47,0,2916,49,0,0,0,52,0,999,0,0,72,0,0,0,0,21,0,36,0,284,0,0,3050,795,234,0,0,7629,0,0,0,0,323,0,81,0,0,0,0,0,0,0,0,0,0,2457,0,79,1903,78,189,0,38,0,617,545,123,0,0,0,23010,0,855,0,66,0,0,0,0,0,6092,0,0,0,105,0,72,0,0,0,78,0,446,106,21,0,0,265,6103,50,0,0
Czech Republic,0,0,0,252,1507,0,0,652,0,0,359,381,0,0,1522,99,1183,0,141,0,0,0,208,898,535,0,7577,187,0,0,0,0,258,472,0,0,0,1684,0,0,945,336,0,619,0,0,0,3518,0,0,0,224,4714,0,0,0,0,2307,1558,0,0,0,824,3794,0,0,226,0,0,0,0,1325,201,659,0,0,0,0,0,256,1134,0,0,0,627,0,0,0,0,1238,0,138,0,586,0,0,0,0,0,0,1027,205,812,0,321,3560,0,0,0
Denmark,0,0,4940,262,0,0,0,0,0,0,2393,0,0,0,0,98,0,0,61,0,0,0,255,0,1506,0,0,0,0,0,0,0,12,511,0,0,0,0,0,0,0,0,0,298,4405,0,0,0,0,0,0,81,5644,0,0,0,0,0,1449,0,0,0,435,0,0,0,95,0,0,0,0,0,352,444,0,0,0,0,0,728,0,60,0,0,461,0,0,0,0,824,0,0,0,517,0,0,0,0,0,0,48,10,531,0,109,0,0,0,0
Djibouti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,0,0,0,0
