filename,lines
zchunk_L2242.land_input_4_irr_mgmt.R,59
zchunk_L2252.land_input_5_irr_mgmt.R,172
zchunk_L241.trade_input.R,119
zchunk_L242.ssp34_pasture.R,98
zchunk_L243.bio_trade_input.R,236
zchunk_L101.nonghg_en_USA_S_T_Y.R,265
zchunk_L102.ghg_en_USA_S_T_Y.R,79
zchunk_L103.ghg_an_USA_S_T_Y.R,72
zchunk_L104.bcoc_en_USA_S_T_Y.R,83
zchunk_L105.nh3_an_USA_S_T_Y.R,82
zchunk_L111.nonghg_en_R_S_T_Y.R,177
zchunk_L112.ghg_en_R_S_T_Y.R,130
zchunk_L113.ghg_an_R_S_T_Y.R,102
zchunk_L114.bcoc_en_R_S_T_Y.R,124
zchunk_L115.nh3_an_R_S_T_Y.R,98
zchunk_L121.nonco2_awb_R_S_T_Y.R,126
zchunk_L1211.nonco2_awb_R_S_T_Y_IRR.R,71
zchunk_L122.ghg_agr_R_S_T_Y.R,188
zchunk_L1221.ghg_agr_R_S_T_Y_IRR.R,49
zchunk_L123.bcoc_awb_R_S_T_Y.R,78
zchunk_L124.nonco2_unmgd_R_S_T_Y.R,221
zchunk_L125.bcoc_unmgd_R_S_T_Y.R,157
zchunk_L131.nonco2_proc_R_S_T_Y.R,131
zchunk_L141.hfc_R_S_T_Y.R,156
zchunk_L142.pfc_R_S_T_Y.R,104
zchunk_L151.ctrl_R_en_S_T.R,82
zchunk_L152.MACC.R,98
zchunk_L161.nonghg_en_ssp_R_S_T_Y.R,330
zchunk_L201.en_nonco2.R,207
zchunk_L211.ag_nonco2.R,150
zchunk_L2111.ag_nonco2_IRR.R,109
zchunk_L2112.ag_nonco2_IRR_MGMT.R,99
zchunk_L212.unmgd_nonco2.R,269
zchunk_L231.proc_sector.R,233
zchunk_L232.prc_nonco2.R,79
zchunk_L241.en_newtech_nonco2.R,134
zchunk_L241.fgas.R,141
zchunk_L251.en_ssp_nonco2.R,113
zchunk_L252.MACC.R,256
zchunk_L2521.MACC_IRR.R,90
zchunk_L2522.ag_MACC_IRR_MGMT.R,85
zchunk_LA100.CDIAC_downscale_ctry.R,93
zchunk_LA100.IEA_downscale_ctry.R,185
zchunk_LA101.en_bal_IEA.R,164
zchunk_LA1011.en_bal_adj.R,122
zchunk_LA102.en_emiss_CDIAC.R,98
zchunk_LA111.rsrc_fos_Prod.R,154
zchunk_LA112.U.R,56
zchunk_LA113.MSW.R,73
zchunk_LA114.wind.R,138
zchunk_LA115.roofPV.R,75
zchunk_LA116.geo.R,113
zchunk_LA117.tradbio.R,60
zchunk_LA118.hydro.R,128
zchunk_LA119.solar.R,114
zchunk_LA121.oil.R,99
zchunk_LA122.gasproc_refining.R,211
zchunk_LA123.electricity.R,89
zchunk_LA1231.elec_tech.R,127
zchunk_LA124.heat.R,117
zchunk_LA126.distribution.R,96
zchunk_LA131.enduse.R,119
zchunk_LA132.industry.R,109
zchunk_LA1321.cement.R,236
zchunk_LA142.building_agg.R,69
zchunk_LA143.HDDCDD.R,137
zchunk_LA144.building_det_en.R,377
zchunk_LA144.building_det_flsp.R,193
zchunk_LA152.transportation.R,44
zchunk_LA154.transportation_UCD.R,366
zchunk_LA161.Cstorage.R,73
zchunk_LB1322.Fert.R,290
zchunk_L202.Ccoef.R,79
zchunk_L210.resources.R,381
zchunk_L221.en_supply.R,350
zchunk_L222.en_transformation.R,277
zchunk_L223.electricity.R,591
zchunk_L224.heat.R,221
zchunk_L225.hydrogen.R,149
zchunk_L226.en_distribution.R,197
zchunk_L232.industry.R,430
zchunk_L2321.cement.R,294
zchunk_L2322.Fert.R,270
zchunk_L242.building_agg.R,231
zchunk_L244.building_det.R,698
zchunk_L252.transportation.R,180
zchunk_L254.transportation_UCD.R,474
zchunk_L261.Cstorage.R,179
zchunk_LA100.Socioeconomics.R,89
zchunk_LA101.EIA_SEDS.R,73
zchunk_LA114.Wind.R,69
zchunk_LA115.RooftopPV.R,142
zchunk_LA119.Solar.R,58
zchunk_LA122.Refining.R,167
zchunk_LA132.Industry.R,159
zchunk_LA1321.Cement.R,66
zchunk_LA1322.Fert.R,66
zchunk_LA142.Building.R,89
zchunk_LA144.Commercial.R,319
zchunk_LA144.Residential.R,366
zchunk_LA154.Transport.R,103
zchunk_LB123.Electricity.R,131
zchunk_LB1231.Elec_tech.R,72
zchunk_LB1232.Elec_subregions.R,47
zchunk_LB1233.Elec_water.R,181
zchunk_LB126.Gas_ElecTD.R,237
zchunk_L201.socioeconomics_USA.R,85
zchunk_L210.resources_USA.R,164
zchunk_L222.en_transformation_USA.R,268
zchunk_L223.electricity_USA.R,511
zchunk_L2232.electricity_FERC_USA.R,304
zchunk_L225.hydrogen_USA.R,37
zchunk_L226.en_distribution_USA.R,228
zchunk_L232.industry_USA.R,236
zchunk_L2321.cement_USA.R,197
zchunk_L2322.Fert_USA.R,214
zchunk_L244.building_USA.R,541
zchunk_L254.transportation_USA.R,243
zchunk_L261.carbon_storage_USA.R,140
zchunk_L200.modeltime.R,87
zchunk_L100.GDP_hist.R,49
zchunk_L100.Population_downscale_ctry.R,139
zchunk_L101.Population.R,101
zchunk_L102.GDP.R,263
zchunk_L201.Pop_GDP_scenarios.R,158
zchunk_L242.Bld_Inc_Elas_scenarios.R,78
zchunk_L252.Trn_Inc_Elas_scenarios.R,77
zchunk_L102.water.supply.unlimited.R,58
zchunk_L110.water.demand.primary.R,57
zchunk_L1233.Elec_water.R,210
zchunk_L132.water.demand.manufacturing.R,64
zchunk_L133.water.demand.livestock.R,88
zchunk_L145.water.demand.municipal.R,92
zchunk_L202.water.resources.unlimited.R,65
zchunk_L203.water.mapping.R,109
zchunk_L210.water.demand.primary.R,58
zchunk_L2233.electricity_water.R,539
zchunk_L232.water.demand.manufacturing.R,54
zchunk_L233.water.demand.livestock.R,53
zchunk_L245.water.demand.municipal.R,144
