AEZ_ID,Type,Nfert(kg)
10911,1,3202915.433594
10911,2,60877285.876831
10912,1,1350809.531250
10912,2,45907092.257812
10913,1,23844.249930
10913,2,426018.947711
10914,1,209997.827728
10914,2,2778013.724222
11005,1,512578.358765
11005,2,7801646.739044
11006,1,863912.153344
11006,2,2406988.965674
11105,1,68500.131470
11105,2,104417.738861
11106,1,42234.258728
11106,2,6691150.570879
11201,1,1628.222893
11201,2,20323.151936
11203,1,1155.922371
11203,2,577.612495
11204,1,136826.421814
11204,2,163228.160863
11205,1,4058.661041
11205,2,21678.386582
11206,1,3430.707336
11206,2,368043.038614
11207,1,134.345631
11207,2,4267.205346
11208,1,832.988659
11208,2,8445.470480
11209,1,64.055073
11209,2,4246.956573
11210,2,959.053219
11211,2,28836.194096
11212,1,496663.119228
11212,2,16409061.632898
11301,1,390411.178223
11301,2,19498269.884371
11302,1,48332.994141
11302,2,1873356.679199
11303,1,81019.251953
11303,2,1220381.855713
11304,2,2111326.757812
11305,1,216541.273682
11305,2,5415885.938599
11306,1,4108090.519227
11306,2,16386731.491737
11307,1,462052.562500
11307,2,16472481.789999
11308,1,814199.629395
11308,2,29150050.994263
11309,1,1913009.467773
11309,2,20386842.708496
11310,1,66146.582031
11310,2,4697542.631836
11311,1,267445.366943
11311,2,3155641.731445
11312,1,399431.284912
11312,2,3390475.073730
11313,1,522788.496582
11313,2,5596120.003418
11314,1,1020450.749817
11314,2,14444457.983643
11315,1,3191137.451172
11315,2,13037516.569824
11316,1,1553814.673950
11316,2,13268686.043579
11404,1,306529.319336
11404,2,10438356.013550
11405,1,3241329.836548
11405,2,52497410.330078
11406,1,19281965.976685
11406,2,204384622.894775
11510,1,7859522.000000
11510,2,819177023.238770
11610,1,2653910.575195
11610,2,85919412.346313
11611,1,1440754.650391
11611,2,22535045.247559
11612,1,196892.773438
11612,2,1228516.134277
11808,1,7006198.851074
11808,2,13137278.521484
11809,1,884936.132812
11809,2,46775267.753418
11810,1,2873763.232117
11810,2,140045448.065491
11811,1,1575921.734375
11811,2,20268237.144531
11815,1,212060.322021
11815,2,115568.624512
11816,1,67245.020508
11816,2,788067.274902
11907,1,837912.158310
11907,2,31002963.161213
11908,1,10440009.531998
11908,2,249464868.386520
11909,1,10457311.977036
11909,2,228790326.313887
11910,1,7670865.257965
11910,2,163088501.660965
11911,1,96262.221183
11911,2,1249722.843732
11913,1,1357281.407837
11913,2,23687008.286865
11914,1,3842853.720374
11914,2,66172188.440587
11915,1,11681090.147181
11915,2,141288836.250016
11916,1,34853.449288
11916,2,867400.530784
12005,1,2041.812080
12005,2,36304.454987
12006,1,353.413574
12006,2,50338.119801
12101,1,54749.017700
12101,2,47755049.688354
12107,1,22571059.287651
12107,2,140868886.875290
12201,1,259147.842041
12201,2,1281056.963745
12202,1,1704403.978271
12202,2,4461522.763885
12203,1,811203.207520
12203,2,7788615.048141
12304,1,890.823837
12304,2,181039.653048
12305,1,334.696465
12305,2,19180.696232
12406,2,628058.157959
12510,1,9618946.824219
12510,2,50924512.691406
12515,1,937354.265625
12515,2,1171021.011719
12516,1,534828.953125
12516,2,1193455.101562
12610,1,250633.592773
12610,2,7774850.942383
12611,1,2458109.363281
12611,2,19554942.380493
12615,1,1375573.546875
12615,2,2167767.375000
12701,2,1088883.343284
12702,1,94860.859970
12702,2,367092.980382
12801,1,544508.461914
12801,2,509032.180290
12802,1,702384.105225
12802,2,4874413.923462
12803,1,819194.812744
12803,2,8713691.785461
12804,1,358576.303711
12804,2,1270504.641602
12805,1,94434.977966
12805,2,3675574.987549
12806,1,372800.743164
12806,2,15954005.094543
12807,1,1353598.769193
12807,2,49622165.004833
12808,1,953252.148438
12808,2,75203614.217850
12809,1,2772497.101562
12809,2,74671697.989380
12810,1,2802670.240601
12810,2,105565513.920593
12811,1,245225.002686
12811,2,5942997.241455
12910,1,3703166.445312
12910,2,70715482.162109
12911,1,3286981.304688
12911,2,177881977.637207
13004,1,58194.890625
13004,2,225632.363037
13008,1,330414.335938
13008,2,6152211.440674
13009,1,15715960.060547
13009,2,669705941.782104
13010,1,18867360.142578
13010,2,388646075.395416
13011,1,688108.811523
13011,2,19509180.688843
13012,1,140907.494385
13012,2,10461459.500641
13103,1,98968.898438
13103,2,1372948.568848
13104,1,4656430.291016
13104,2,17997667.294678
13105,1,3106186.156250
13105,2,12215607.324219
13106,1,7831863.312500
13106,2,81076087.501465
13201,1,20885.446260
13201,2,4284059.055777
13202,2,12993441.689850
13203,1,241170.197780
13203,2,6296639.229562
13204,1,627984.967817
13204,2,6060256.554145
13205,1,38062.383753
13205,2,1161074.034346
13207,2,449122.327582
13208,2,353754.410156
13306,1,1137308.074570
13306,2,3771130.642597
13402,2,379408.933594
13403,1,16015.568848
13403,2,270123.387207
13410,2,749686.812500
13411,1,71040.833008
13411,2,645916.191406
13509,1,94591.368188
13509,2,2387895.682426
13510,1,3686387.288363
13510,2,134017932.042783
13515,1,61345.189681
13515,2,3969701.126848
13516,1,9500.532227
13516,2,3528902.726074
13610,1,626930.015625
13610,2,33930620.493530
13614,1,45400.984863
13614,2,815269.555176
13615,1,52464.327759
13615,2,8689173.565430
13707,2,8800469.442871
13708,2,44823017.760254
13709,1,167515.281250
13709,2,56637566.889160
13710,2,32949995.007812
13808,1,202592.278076
13808,2,9637171.402710
13809,1,12875.000488
13809,2,515594.539551
13813,1,25437.870435
13813,2,1189637.641561
13814,1,12785.621094
13814,2,968896.917969
13901,1,5116.542023
13901,2,55677.480713
13902,1,166336.329773
13902,2,613580.687622
13903,1,567408.502953
13903,2,3128840.662762
13904,1,3628809.860051
13904,2,13182904.201769
13905,1,407733.344388
13905,2,1684354.698080
13906,1,44708.261719
13906,2,381856.464844
14004,1,36619440.377441
14004,2,620854464.763428
14005,1,31333400.840576
14005,2,97997995.604858
14006,1,8092395.923828
14006,2,30306403.755371
14010,1,156904.078125
14010,2,993850.906250
14103,2,471497.402832
14104,1,630306.158203
14104,2,3594341.205688
14105,1,125063.408203
14105,2,6186899.518982
14205,2,1756616.425781
14206,2,2683709.006592
14307,2,280446.688660
14308,2,1613984.670349
14309,1,19779.136719
14309,2,19355620.958008
14310,1,380558.578125
14310,2,33108725.253906
14407,2,1499588.730469
14408,1,1970722.687500
14408,2,506756781.759705
14409,1,248864.406250
14409,2,474055924.661865
14410,1,1207900.085938
14410,2,216602688.840332
14411,2,3582078.289551
14414,2,7428567.046875
14415,2,6976846.709961
14416,2,502906.170410
14507,1,175124.448872
14507,2,74021487.047855
14508,1,1288833.515625
14508,2,10722763.664612
14603,1,74484.045776
14603,2,222660.067261
14604,1,91049.002747
14604,2,268529.331116
14605,1,130264.223104
14605,2,1081468.976862
14606,1,31940.131803
14606,2,1213679.505348
14710,2,175972518.707031
14711,2,362893819.749512
14712,1,139587.812500
14712,2,82218002.657715
14716,2,75686973.130371
14808,1,1211743.239014
14808,2,89629187.720215
14809,1,2287365.366211
14809,2,94027888.755615
14810,1,4511126.874451
14810,2,140397515.901611
14816,1,18561.115173
14816,2,79040.703003
14901,1,189212.453125
14901,2,18112002.015137
15012,1,806951.244720
15012,2,44580396.830933
15107,1,28422194.042683
15107,2,1436008474.945007
15108,1,51909534.325020
15108,2,1171129319.401677
15109,1,32492529.282857
15109,2,929644289.954154
15110,1,48717472.013716
15110,2,2854983096.400035
15111,1,48377484.227387
15111,2,1706146643.333675
15112,1,19149707.450729
15112,2,596101387.952051
15113,1,2348917.716072
15113,2,45515095.159084
15114,1,2190223.029541
15114,2,6290170.005271
15115,1,270827.203515
15115,2,538393.750900
15116,1,31819.516968
15116,2,99245.364990
15207,1,530029.632812
15207,2,201945906.562693
15208,1,9227086.135742
15208,2,369849428.115295
15214,1,8491819.382812
15214,2,8626673.023438
15301,1,76409.367188
15301,2,474476.794434
15302,1,340244.314453
15302,2,1816819.911865
15303,1,37892.944092
15303,2,689216.148895
15304,1,5511511.791016
15304,2,51468066.757477
15305,1,15946631.754135
15305,2,73170806.412746
15306,1,3033652.261244
15306,2,7674875.951687
15404,1,766358.562500
15404,2,5730205.992188
