Summary for Type
Type,Area(Km2)
3211,9164.077599
3212,26093.091927
3305,59881.550662
3306,306349.543472
3404,4561.367047
3405,12379.637270
3406,34462.582992
3504,75555.229668
3505,138938.579987
3506,128995.004672
3610,8416.082131
3611,46794.848862
3612,2900.377134
3704,19463.958611
3705,59611.879126
3706,12925.705596
3810,79093.624504
3910,36375.713160
4001,19776.596321
4105,14608.151964
4106,25780.376260
4201,6164.903549
4202,13203.317174
4203,26131.008415
4204,8156.825070
4205,12350.445343
4206,118199.458202
4208,6161.965126
4209,6170.547684
4210,9260.526680
4211,18540.590218
4212,12359.685562
4301,273503.553790
4302,1824.638372
4307,710473.791793
4404,16836.058159
4405,2880.865631
4506,17017.422715
4601,84064.871025
4602,30113.903999
4710,37379.027316
4716,3112.197277
4801,296545.092915
4802,212151.203339
4803,133019.103889
4804,195046.213764
4805,150810.875680
4806,25383.516769
4808,4845.315399
4809,28156.796387
4810,35071.854145
4811,53010.192276
4812,12271.764175
4909,44348.331578
4910,3201.543003
4914,28848.281083
4915,229932.626927
5006,85008.734839
5110,142097.039316
5111,310509.960627
5112,60826.018536
5115,12943.218723
5116,4409.370003
5205,29613.129556
5206,208760.663357
5303,13822.988000
5409,6971.966980
5410,27124.963583
5411,4543.145180
5412,7376.011622
5414,2251.444199
5415,18151.408627
5416,9201.917912
5510,306002.429183
5511,50588.483142
5516,2067.873379
5603,3036.821365
5604,88357.607255
5605,84953.635658
5606,43453.549477
5709,40533.831817
5710,58814.077682
5711,6216.712281
5805,21298.586515
5806,88846.902870
5812,8837.118479
5903,3020.688583
5904,175607.308280
5905,55101.466110
5906,12843.309296
6003,11619.154140
6004,20092.422070
6104,6175.018890
6105,12356.624359
6106,185849.749995
6204,3248.284269
6205,11184.446354
6206,11553.601010
6304,19128.975561
6305,46457.534420
6306,46814.311912
6412,1515.447580
6509,3136.702915
6510,66231.443792
6511,22641.185173
6613,1780.280328
6614,66653.668005
6615,12882.467026
6701,55696.299773
6702,193553.202445
6703,1225910.582821
6704,517020.367281
6705,123766.549695
6706,72584.451504
6707,122437.667908
6708,234607.909813
6709,208094.184710
6710,58952.037556
6711,46733.888466
6712,56356.338593
6713,27406.514928
6714,40888.261166
6715,13761.268543
6716,7256.863836
6804,32787.056174
6805,59734.286432
6806,1518747.033746
6901,59475.243014
6907,1003362.163085
6908,523137.310698
6909,39878.664314
7007,291726.928659
7008,72230.956705
7009,70603.988907
7010,5307.663933
7111,24819.473770
7112,43011.757882
7201,2656.484436
7202,1958.100674
7203,972.064337
7207,7989.572021
7208,5053.316925
7209,4613.151617
7309,2141.660316
7310,70773.491063
7311,155781.251307
7312,2294.983890
7313,2054.600594
7314,10268.653925
7315,14467.873231
7409,6754.161026
7410,152211.957539
7411,126096.177061
7412,55887.594126
7415,4311.702538
7503,2484.472656
7507,74309.174744
7508,12919.952186
7509,5228.405914
7607,1233553.535259
7608,202062.009545
7613,1077216.191734
7614,150145.093937
7615,18936.487652
7701,200301.446763
7702,186861.089445
7703,62979.049459
7704,36181.150831
7705,30826.535969
7706,39285.579759
7807,18014.933337
7907,2537.900627
7908,22645.410912
7913,69968.463884
7914,66310.498184
8004,17730.299114
8005,61021.549721
8006,34379.841507
8010,2943.920975
8011,111116.503855
8012,22939.232826
8110,62786.077850
8208,2555.046021
8210,5677.915659
8309,5367.120575
8310,18825.076126
8311,8090.630356
8405,13929.068796
8406,76603.231738
8501,57862.054694
8502,16647.537965
8507,1511841.685293
8508,26215.867518
8509,15339.667740
8610,77940.529504
8709,25143.548632
8710,2300.574375
8802,35298.816193
8803,124700.810326
8804,116182.258597
8805,74804.314072
8806,219319.001405
8810,4696.115517
8811,5809.253357
8903,36995.267391
8904,41683.825422
8905,4563.145769
8909,8994.406311
9006,331296.257411
9101,810983.331387
9102,181900.742165
9103,190774.119188
9104,41540.268631
9107,42664.959862
9201,939306.886194
9202,22733.184799
9207,53054.639519
9301,70100.382245
9302,38587.107525
9303,107735.937889
9304,202155.333367
9305,145152.567651
9306,117688.341091
9307,688061.430250
9308,222223.936481
9309,181254.493619
9310,116160.554783
9311,7726.405945
9312,2909.239197
9408,4222.453495
9409,18897.026783
9410,8324.739475
9507,749169.360630
9508,64593.753107
9513,222373.520997
9514,406290.880691
9515,78878.026415
9601,34358.164402
9602,1619.323924
9603,1435.618518
9604,5945.231215
9607,128447.649498
9608,116293.367505
9609,75882.248162
9610,48758.530900
9701,13653.970158
9702,38405.477119
9703,218837.779492
9704,357919.021236
9705,109168.811497
9709,20650.163372
9710,8974.371002
9804,86302.208770
9805,416010.845484
9806,13925.553574
9811,90277.910339
9812,63807.515228
9815,2700.299828
9816,2760.259232
9901,33103.297356
9907,489266.713519
9908,278945.066177
9909,14719.604874
10003,2694.182373
10004,20129.352615
10005,5470.174522
10010,18961.699703
10011,40738.449379
10012,19093.052540
10013,10031.364843
10014,7517.139147
10015,12884.608528
10016,5338.062073
10111,29612.714782
10206,2010.420206
10210,2176.158005
10211,47998.927094
10212,142771.526269
10215,10515.272325
10216,45213.522799
10217,4575.955284
10304,26679.769202
10305,25726.107397
10306,60344.298151
10401,757763.669575
10402,131299.247120
10403,9052.121559
10407,304834.171196
10501,14960.405579
10502,177493.084198
10503,226700.293146
10504,267521.064563
10505,144275.132968
10506,40148.167756
10609,11725.768112
10610,80898.657454
10611,3942.650156
10615,16267.566544
10710,13600.845255
10714,104988.514435
10715,164531.336426
10716,15314.699839
10801,297434.771541
10901,111485.173205
10907,518713.162094
10908,44060.215195
10909,35523.272264
10910,38503.958054
10911,15211.773062
10912,15107.254509
10913,26972.207418
10914,34164.640709
11005,29116.734779
11006,38597.296736
11105,9551.060873
11106,368872.553676
11201,5809.253357
11203,2900.014160
11204,37544.434364
11205,34808.564278
11206,22074.645126
11207,22818.072929
11208,89082.833305
11209,11469.145248
11210,2880.901199
11211,19750.255623
11212,147145.380667
11301,97118.465804
11302,9234.070625
11303,9208.694740
11304,3069.643250
11305,20306.445747
11306,676693.216114
11307,77804.997195
11308,66449.203011
11309,54555.210976
11310,18199.999222
11311,19962.086365
11312,22932.624298
11313,41758.720470
11314,72356.825851
11315,62657.086044
11316,39913.378670
11404,10400.278642
11405,47693.510576
11406,159154.049242
11510,305799.032970
11610,61507.619214
11611,32107.953851
11612,3912.065514
11701,8180.666077
11808,14610.335391
11809,27156.820824
11810,161728.681068
11811,21394.608788
11815,5507.577614
11816,6810.820381
11907,206234.251106
11908,635681.569585
11909,963198.488362
11910,696250.307664
11911,13300.411249
11913,476210.368430
11914,7179653.751967
11915,5980333.768742
11916,8078.726939
12005,11855.072779
12006,10465.425466
12101,971751.492738
12107,979184.711020
12201,21108.997549
12202,78956.855220
12203,101971.382809
12304,23173.017345
12305,50225.769894
12406,1213.757350
12510,43223.484562
12515,2017.725407
12516,1995.499706
12610,12883.298470
12611,8051.504780
12615,2137.514420
12701,509290.077466
12702,100947.405116
12801,20635.422033
12802,15704.055693
12803,30354.974124
12804,12887.036339
12805,10531.731458
12806,21978.058042
12807,576897.637587
12808,167312.948451
12809,168708.544060
12810,166973.614039
12811,27863.859455
12910,44803.568653
12911,45329.552526
13004,1011.522835
13008,3240.737120
13009,232435.394022
13010,187356.640119
13011,22023.622049
13012,28014.238604
13103,3584.043944
13104,18693.467701
13105,8138.620023
13106,30078.071512
13201,1150600.260121
13202,307276.873528
13203,349905.792408
13204,398439.600700
13205,80654.259064
13207,210041.250429
13208,9443.128967
13306,150595.356788
13402,2760.259232
13403,2771.280853
13410,2760.259232
13411,2772.295258
13509,12090.718570
13510,110244.789809
13513,772.806801
13514,78010.323355
13515,203558.946661
13516,2987.007273
13610,22393.913642
13614,1787.336905
13615,14216.594629
13707,53340.294823
13708,67560.193812
13709,58204.245304
13710,16689.235441
13808,49700.747080
13809,4978.823002
13813,72120.746646
13814,8655.346775
13901,2594.893757
13902,18411.905445
13903,180182.252292
13904,596853.804391
13905,64004.703405
13906,10081.567871
14004,295765.161854
14005,156099.868238
14006,40510.936092
14010,1803.538162
14103,6073.642731
14104,32378.163360
14105,30507.366840
14205,1358.205677
14206,2456.130837
14307,96538.914879
14308,14136.952290
14309,19581.451718
14310,18226.785923
14407,1670.621475
14408,324992.264244
14409,286755.211723
14410,118243.905018
14411,5748.981220
14414,10300.836922
14415,6949.877689
14416,2323.989029
14507,436887.071920
14508,19478.534897
14603,15434.251968
14604,20577.862976
14605,78839.555547
14606,83369.158646
14710,41134.650778
14711,110418.420469
14712,26671.954208
14715,2423.746319
14716,36789.833859
14808,138862.565561
14809,146889.411063
14810,307464.848906
14816,5531.767330
14901,80533.451037
15012,174560.448123
15107,2501760.400877
15108,944332.824772
15109,364951.957932
15110,1456478.472940
15111,1125098.619395
15112,911749.357836
15113,338731.069997
15114,759131.249054
15115,557297.916622
15116,30334.706181
15207,297976.006170
15208,132712.699216
15214,9255.393188
15301,8131.534613
15302,17840.693196
15303,6274.970570
15304,180383.600732
15305,314113.439749
15306,372872.047108
15404,1489.296717
15405,136902.924654
15406,103720.381237
15411,5761.802399
15412,31570.176918
15501,233842.675859
15507,28129.785347
15601,414994.907228
15710,83338.913879
15711,11454.810185
15716,1388.227005
15804,325239.687629
15805,580390.504422
15806,1412042.629326
15809,3008.782196
15810,6029.701172
15903,255226.933306
15904,343487.546422
15909,118798.237053
15910,20917.985500
16001,16635.182045
16002,25119.834137
16003,90517.939763
16004,5827.483795
16007,17267.253639
16008,62567.327255
16009,164970.776382
16010,13524.930672
16011,2935.585144
