# File: ceds_sector_map.csv,,,,,,,,,
# Title: CEDS-GCAM sector map,,,,,,,,,
# Units: NA,,,,,,,,,
# Description: Maps CEDS sectors to GCAM sectors,,,,,,,,,
CEDS_sector,,CEDS_agg_sector,CEDS_fuel,,,,,,
1A2g_Ind-Comb-mining-quarying,hard_coal,industry_energy,,,,,,,
1A2g_Ind-Comb-mining-quarying,heavy_oil,industry_energy,,,,,,,
1A2g_Ind-Comb-mining-quarying,light_oil,industry_energy,,,,,,,
1A2g_Ind-Comb-mining-quarying,natural_gas,industry_energy,,,,,,,
1A2g_Ind-Comb-other,biomass,industry_energy,,,,,,,
1A2g_Ind-Comb-other,brown_coal,industry_energy,,,,,,,
1A2g_Ind-Comb-other,coal_coke,industry_energy,,,,,,,
1A2g_Ind-Comb-other,diesel_oil,industry_energy,,,,,,,
1A2g_Ind-Comb-other,hard_coal,industry_energy,,,,,,,
1A2g_Ind-Comb-other,heavy_oil,industry_energy,,,,,,,
1A2g_Ind-Comb-other,light_oil,industry_energy,,,,,,,
1A2g_Ind-Comb-other,natural_gas,industry_energy,,,,,,,
1A2g_Ind-Comb-textile-leather,biomass,industry_energy,,,,,,,
1A2g_Ind-Comb-textile-leather,brown_coal,industry_energy,,,,,,,
1A2g_Ind-Comb-textile-leather,coal_coke,industry_energy,,,,,,,
1A2g_Ind-Comb-textile-leather,diesel_oil,industry_energy,,,,,,,
1A2g_Ind-Comb-textile-leather,hard_coal,industry_energy,,,,,,,
1A2g_Ind-Comb-textile-leather,heavy_oil,industry_energy,,,,,,,
1A2g_Ind-Comb-textile-leather,light_oil,industry_energy,,,,,,,
1A2g_Ind-Comb-textile-leather,natural_gas,industry_energy,,,,,,,
1A2g_Ind-Comb-transpequip,biomass,industry_energy,,,,,,,
1A2g_Ind-Comb-transpequip,brown_coal,industry_energy,,,,,,,
1A2g_Ind-Comb-transpequip,coal_coke,industry_energy,,,,,,,
1A2g_Ind-Comb-transpequip,diesel_oil,industry_energy,,,,,,,
1A2g_Ind-Comb-transpequip,hard_coal,industry_energy,,,,,,,
1A2g_Ind-Comb-transpequip,heavy_oil,industry_energy,,,,,,,
1A2g_Ind-Comb-transpequip,light_oil,industry_energy,,,,,,,
1A2g_Ind-Comb-transpequip,natural_gas,industry_energy,,,,,,,
1A2g_Ind-Comb-wood-products,biomass,industry_energy,,,,,,,
1A2g_Ind-Comb-wood-products,brown_coal,industry_energy,,,,,,,
1A2g_Ind-Comb-wood-products,coal_coke,industry_energy,,,,,,,
1A2g_Ind-Comb-wood-products,diesel_oil,industry_energy,,,,,,,
1A2g_Ind-Comb-wood-products,hard_coal,industry_energy,,,,,,,
1A2g_Ind-Comb-wood-products,heavy_oil,industry_energy,,,,,,,
1A2g_Ind-Comb-wood-products,light_oil,industry_energy,,,,,,,
1A2g_Ind-Comb-wood-products,natural_gas,industry_energy,,,,,,,
1A3aii_Domestic-aviation,biomass,trn_domestic air,,,,,,,
1A3aii_Domestic-aviation,brown_coal,trn_domestic air,,,,,,,
1A3aii_Domestic-aviation,coal_coke,trn_domestic air,,,,,,,
1A3aii_Domestic-aviation,diesel_oil,trn_domestic air,,,,,,,
1A3aii_Domestic-aviation,hard_coal,trn_domestic air,,,,,,,
1A3aii_Domestic-aviation,heavy_oil,trn_domestic air,,,,,,,
1A3aii_Domestic-aviation,light_oil,trn_domestic air,,,,,,,
1A3aii_Domestic-aviation,natural_gas,trn_domestic air,,,,,,,
1A3ai_International-aviation,biomass,trn_intl_air,,,,,,,
1A3ai_International-aviation,brown_coal,trn_intl_air,,,,,,,
1A3ai_International-aviation,coal_coke,trn_intl_air,,,,,,,
1A3ai_International-aviation,diesel_oil,trn_intl_air,,,,,,,
1A3ai_International-aviation,hard_coal,trn_intl_air,,,,,,,
1A3ai_International-aviation,heavy_oil,trn_intl_air,,,,,,,
1A3ai_International-aviation,light_oil,trn_intl_air,,,,,,,
1A3ai_International-aviation,natural_gas,trn_intl_air,,,,,,,
1A3b_Road,biomass,trn_road,,,,,,,
1A3b_Road,brown_coal,trn_road,,,,,,,
1A3b_Road,coal_coke,trn_road,,,,,,,
1A3b_Road,diesel_oil,trn_road,,,,,,,
1A3b_Road,hard_coal,trn_road,,,,,,,
1A3b_Road,heavy_oil,trn_road,,,,,,,
1A3b_Road,light_oil,trn_road,,,,,,,
1A3b_Road,natural_gas,trn_road,,,,,,,
1A3c_Rail,biomass,trn_rail,,,,,,,
1A3c_Rail,brown_coal,trn_rail,,,,,,,
1A3c_Rail,coal_coke,trn_rail,,,,,,,
1A3c_Rail,diesel_oil,trn_rail,,,,,,,
1A3c_Rail,hard_coal,trn_rail,,,,,,,
1A3c_Rail,heavy_oil,trn_rail,,,,,,,
1A3c_Rail,light_oil,trn_rail,,,,,,,
1A3c_Rail,natural_gas,trn_rail,,,,,,,
1A3dii_Domestic-navigation,biomass,,,,,,,,
1A3dii_Domestic-navigation,brown_coal,,,,,,,,
1A3dii_Domestic-navigation,coal_coke,,,,,,,,
1A3dii_Domestic-navigation,diesel_oil,,,,,,,,
1A3dii_Domestic-navigation,hard_coal,,,,,,,,
1A3dii_Domestic-navigation,heavy_oil,,,,,,,,
1A3dii_Domestic-navigation,light_oil,,,,,,,,
1A3dii_Domestic-navigation,natural_gas,,,,,,,,
1A3di_International-shipping,biomass,,,,,,,,
1A3di_International-shipping,brown_coal,,,,,,,,
1A3di_International-shipping,coal_coke,,,,,,,,
1A3di_International-shipping,diesel_oil,,,,,,,,
1A3di_International-shipping,hard_coal,,,,,,,,
1A3di_International-shipping,heavy_oil,,,,,,,,
1A3di_International-shipping,light_oil,,,,,,,,
1A3di_International-shipping,natural_gas,,,,,,,,
1A3di_Oil_Tanker_Loading,process,,,,,,,,
1A3eii_Other-transp,biomass,,,,,,,,
1A3eii_Other-transp,brown_coal,,,,,,,,
1A3eii_Other-transp,coal_coke,,,,,,,,
1A3eii_Other-transp,diesel_oil,,,,,,,,
1A3eii_Other-transp,hard_coal,,,,,,,,
1A3eii_Other-transp,heavy_oil,,,,,,,,
1A3eii_Other-transp,light_oil,,,,,,,,
1A3eii_Other-transp,natural_gas,,,,,,,,
1A4a_Commercial-institutional,biomass,,,,,,,,
1A4a_Commercial-institutional,brown_coal,,,,,,,,
1A4a_Commercial-institutional,coal_coke,,,,,,,,
1A4a_Commercial-institutional,diesel_oil,,,,,,,,
1A4a_Commercial-institutional,hard_coal,,,,,,,,
1A4a_Commercial-institutional,heavy_oil,,,,,,,,
1A4a_Commercial-institutional,light_oil,,,,,,,,
1A4a_Commercial-institutional,natural_gas,,,,,,,,
1A4b_Residential,biomass,,,,,,,,
1A4b_Residential,brown_coal,,,,,,,,
1A4b_Residential,coal_coke,,,,,,,,
1A4b_Residential,diesel_oil,,,,,,,,
1A4b_Residential,hard_coal,,,,,,,,
1A4b_Residential,heavy_oil,,,,,,,,
1A4b_Residential,light_oil,,,,,,,,
1A4b_Residential,natural_gas,,,,,,,,
1A4c_Agriculture-forestry-fishing,biomass,,,,,,,,
1A4c_Agriculture-forestry-fishing,brown_coal,,,,,,,,
1A4c_Agriculture-forestry-fishing,coal_coke,,,,,,,,
1A4c_Agriculture-forestry-fishing,diesel_oil,,,,,,,,
1A4c_Agriculture-forestry-fishing,hard_coal,,,,,,,,
1A4c_Agriculture-forestry-fishing,heavy_oil,,,,,,,,
1A4c_Agriculture-forestry-fishing,light_oil,,,,,,,,
1A4c_Agriculture-forestry-fishing,natural_gas,,,,,,,,
1A5_Other-unspecified,biomass,,,,,,,,
1A5_Other-unspecified,brown_coal,,,,,,,,
1A5_Other-unspecified,coal_coke,,,,,,,,
1A5_Other-unspecified,diesel_oil,,,,,,,,
1A5_Other-unspecified,hard_coal,,,,,,,,
1A5_Other-unspecified,heavy_oil,,,,,,,,
1A5_Other-unspecified,light_oil,,,,,,,,
1A5_Other-unspecified,natural_gas,,,,,,,,
1B1_Fugitive-solid-fuels,process,,,,,,,,
1B2d_Fugitive-other-energy,process,,,,,,,,
1B2_Fugitive-petr-and-gas,process,,,,,,,,
2A1_Cement-production,process,,,,,,,,
2A2_Lime-production,process,,,,,,,,
2A6_Other-minerals,process,,,,,,,,
2B_Chemical-industry,process,,,,,,,,
2C_Metal-production,process,,,,,,,,
2D3_Chemical-products-manufacture-processing,process,,,,,,,,
2D3_Other-product-use,process,,,,,,,,
2D_Degreasing-Cleaning,process,,,,,,,,
2D_Paint-application,process,,,,,,,,
2H_Pulp-and-paper-food-beverage-wood,process,,,,,,,,
2L_Other-process-emissions,process,,,,,,,,
3B_Manure-management,process,,,,,,,,
3D_Rice-Cultivation,process,,,,,,,,
3D_Soil-emissions,process,,,,,,,,
3E_Enteric-fermentation,process,,,,,,,,
3F_Agricultural-residue-burning-on-fields,process,,,,,,,,
3I_Agriculture-other,process,,,,,,,,
5A_Solid-waste-disposal,process,,,,,,,,
5C_Waste-incineration,process,,,,,,,,
5D_Wastewater-handling,process,,,,,,,,
5E_Other-waste-handling,process,,,,,,,,
6A_Other-in-total,process,,,,,,,,
6B_Other-not-in-total,process,,,,,,,,
7A_Fossil-fuel-fires,process,,,,,,,,
