36,,,,,,,,,,,,,,,,,,,,,,
Hist_to_2008_Annual,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
 ,Foss CO2,Defo CO2,CH4,N2O,"SO2,1","SO2,2","SO2,3",CF4,C2F6,HFC125,HFC134a,HFC143a,HFC227ea,HFC245ca,SF6,NOx,NMVOCs,CO,BC,OC,,
2025,12.05,1.14,400.33,10.93,10.96,32.61,14.12,13.67,1.55,19.17,408.31,0,0,102.76,5.78,39.5,237.96,1266.36,9678.93,40313.06,,
2030,13.1,1,426.07,11.63,9.66,30.31,14.3,14.29,1.64,20.7,449.52,0,0,105.19,6.28,38.61,239.38,1254.21,9503.57,39274.96,,
2035,14.17,0.72,449.74,12.28,8.67,27.39,14.46,14.87,1.73,22.29,492.24,0,0,107.34,6.75,37.33,232.36,1201.53,9152.61,37304.47,,
2040,15.14,0.69,466.03,12.86,7.81,24.6,14.46,15.41,1.82,24,538.1,0,0,109.11,7.19,35.73,227.92,1153.61,8886.18,36480.92,,
2045,16.09,0.67,482.75,13.44,7.13,22.13,14.53,15.99,1.91,25.82,585.93,0,0,111.01,7.61,34.1,223.08,1095.1,8608.32,35446.36,,
2050,17.11,0.66,500.53,14.05,6.53,19.89,14.59,16.64,2.02,27.78,636.51,0,0,112.85,8.01,32.52,215.7,1040.6,8344.18,34602.64,,
2055,17.91,0.48,502.74,14.28,6.1,17.75,14.69,17.24,2.11,29.91,688.7,0,0,114.56,8.32,31.2,205.42,974.87,8060.26,32765.19,,
2060,18.75,0.35,507.49,14.48,5.76,15.9,14.8,17.91,2.21,32.21,743.78,0,0,116.19,8.61,30.03,201.77,923.65,7847.92,31594.76,,
2065,19.57,0.27,509.93,14.65,5.51,14.28,14.92,18.64,2.31,34.66,800.37,0,0,117.88,8.91,28.98,196.81,874.62,7661.28,30692.76,,
2070,20.14,0.1,510.07,14.74,5.24,12.84,14.62,19.31,2.38,37.31,860.52,0,0,119.18,9.15,27.95,188.93,816.32,7403.17,29217.69,,
2075,20.75,0.01,508.89,14.82,5.07,11.77,14.32,20,2.45,40.05,921.49,0,0,120.49,9.43,27.26,183.12,769.76,7192.49,28212.47,,
2080,21.27,-0.04,506.16,14.86,4.88,10.88,13.87,20.73,2.51,42.77,980.83,0,0,121.87,9.72,26.71,178.28,729.44,7003.81,27394.86,,
2085,21.68,-0.09,502.12,14.87,4.8,10.34,13.26,21.3,2.54,45.52,1039.73,0,0,122.74,9.93,26.4,174.45,698.33,6835.31,26729.21,,
2090,22.01,-0.13,495.29,14.84,4.75,9.93,12.55,21.88,2.57,48.2,1094.71,0,0,123.69,10.09,26.2,170.13,673.25,6681.13,26257.26,,
2095,22.18,-0.18,490.67,14.78,4.71,9.33,11.56,22.44,2.61,50.76,1145.13,0,0,124.66,10.19,25.93,157.06,646.16,6454.44,25760.75,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,NOTE:,"To run in ObjECTS on mac OSX, need to convert to unix line feeds",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
