# File: GCAM_sector_tech_Revised.csv
# Title: Mapping between GCAM agriculture technologies to EPA aggregate sectors, aggregte fuels, EDGAR aggregate sector, RCP aggregate sector, BCOC aggregate sectore, EPA MACC sector, and IIASA sector
# Units: None
# Comments: The fuel column should not be taken literally for all sectors. For agriculture, transportation, and others it is used simply for matching purposes and does not represent a fuel.
# Source: internal
# Column types: ccccccccccccccc
# ----------
sector,fuel,technology,supplysector,subsector,stub.technology,EPA_agg_sector,EPA_agg_fuel,EPA_agg_fuel_ghg,EDGAR_agg_sector,RCP_agg_sector,BCOC_agg_sector,BCOC_agg_fuel,EPA_MACC_Sector,IIASA_sector
industry_energy,refined liquids,refined liquids,other industrial energy use,refined liquids,refined liquids,industry_energy,refined liquids,refined liquids,industry_energy,ind,industry_energy,refined liquids,,ind_oil
Legumes,,,Legumes,,,,,,,,,,Cropland Management,
MiscCrop,,,MiscCrop,,,,,,,,,,Cropland Management,
N fertilizer,coal,coal,N fertilizer,coal,coal,industry_energy,coal,coal,industry_energy,ind,industry_energy,coal,,
N fertilizer,gas,gas,N fertilizer,gas,gas,industry_energy,gas,gas,industry_energy,ind,industry_energy,gas,,
N fertilizer,refined liquids,refined liquids,N fertilizer,refined liquids,refined liquids,industry_energy,refined liquids,refined liquids,industry_energy,ind,industry_energy,refined liquids,,
NutsSeeds,,,NutsSeeds,,,,,,,,,,Cropland Management,
OilCrop,,,OilCrop,,,,,,,,,,Cropland Management,
OtherGrain,,,OtherGrain,,,,,,,,,,Cropland Management,
out_resources,coal,coal,out_resources,coal,coal,coal,all,all,coal,,,,Coal Mining Activities,
out_resources,crude oil,crude oil,out_resources,crude oil,crude oil,oil_gas,all,all,oil_gas,,,,Natural Gas and Oil Systems,
out_resources,unconventional oil,unconventional oil,out_resources,unconventional oil,unconventional oil,oil_gas,all,all,oil_gas,,,,Natural Gas and Oil Systems,
out_resources,natural gas,natural gas,out_resources,natural gas,natural gas,oil_gas,all,all,oil_gas,,,,Natural Gas and Oil Systems,
OilPalm,,,OilPalm,,,,,,,,,,Cropland Management,
Pork,Mixed,FeedCrops,Pork,Mixed,FeedCrops,Pork,all,all,Animals,,Pork,all,Livestock,
Pork,Mixed,FodderHerb_Residue,Pork,Mixed,FodderHerb_Residue,Pork,all,all,Animals,,Pork,all,Livestock,
Pork,Mixed,Pasture_FodderGrass,Pork,Mixed,Pasture_FodderGrass,Pork,all,all,Animals,,Pork,all,Livestock,
Pork,Mixed,Scavenging_Other,Pork,Mixed,Scavenging_Other,Pork,all,all,Animals,,Pork,all,Livestock,
Poultry,Mixed,FeedCrops,Poultry,Mixed,FeedCrops,Poultry,all,all,Animals,,Poultry,all,Livestock,
Poultry,Mixed,FodderHerb_Residue,Poultry,Mixed,FodderHerb_Residue,Poultry,all,all,Animals,,Poultry,all,Livestock,
Poultry,Mixed,Pasture_FodderGrass,Poultry,Mixed,Pasture_FodderGrass,Poultry,all,all,Animals,,Poultry,all,Livestock,
Poultry,Mixed,Scavenging_Other,Poultry,Mixed,Scavenging_Other,Poultry,all,all,Animals,,Poultry,all,Livestock,
resid cooling,electricity,electricity,resid cooling,electricity,electricity,,,,,,,,Refrigeration and Air Conditioning,
resid cooling,gas,gas,resid cooling,gas,gas,bld_resid,gas,gas,bld,dom,bld_resid,gas,Refrigeration and Air Conditioning,bld_gas
resid heating,biomass,biomass,resid heating,biomass,biomass,bld_resid,biomass,biomass,bld,dom,bld_resid,biomass,,bld_bio
resid heating,coal,coal,resid heating,coal,coal,bld_resid,coal,coal,bld,dom,bld_resid,coal,,bld_coal
resid heating,gas,gas,resid heating,gas,gas,bld_resid,gas,gas,bld,dom,bld_resid,gas,,bld_gas
resid heating,refined liquids,refined liquids,resid heating,refined liquids,refined liquids,bld_resid,refined liquids,refined liquids,bld,dom,bld_resid,refined liquids,,bld_oil
resid heating,traditional biomass,traditional biomass,resid heating,traditional biomass,traditional biomass,bld_resid,biomass,biomass,bld,dom,bld_resid,biomass,,bld_tradbio
resid others,biomass,biomass,resid others,biomass,biomass,bld_resid,biomass,biomass,bld,dom,bld_resid,biomass,,bld_bio
resid others,coal,coal,resid others,coal,coal,bld_resid,coal,coal,bld,dom,bld_resid,coal,,bld_coal
resid others,gas,gas,resid others,gas,gas,bld_resid,gas,gas,bld,dom,bld_resid,gas,,bld_gas
resid others,refined liquids,refined liquids,resid others,refined liquids,refined liquids,bld_resid,refined liquids,refined liquids,bld,dom,bld_resid,refined liquids,,bld_oil
resid others,traditional biomass,traditional biomass,resid others,traditional biomass,traditional biomass,bld_resid,biomass,biomass,bld,dom,bld_resid,biomass,,bld_bio
Rice,,,Rice,,,,,,,,,,Rice Cultivation,
RootTuber,,,RootTuber,,,,,,,,,,Cropland Management,
SheepGoat,Mixed,FeedCrops,SheepGoat,Mixed,FeedCrops,SheepGoat,all,all,Animals,,SheepGoat,all,Livestock,
SheepGoat,Mixed,FodderHerb_Residue,SheepGoat,Mixed,FodderHerb_Residue,SheepGoat,all,all,Animals,,SheepGoat,all,Livestock,
SheepGoat,Mixed,Pasture_FodderGrass,SheepGoat,Mixed,Pasture_FodderGrass,SheepGoat,all,all,Animals,,SheepGoat,all,Livestock,
SheepGoat,Mixed,Scavenging_Other,SheepGoat,Mixed,Scavenging_Other,SheepGoat,all,all,Animals,,SheepGoat,all,Livestock,
SheepGoat,Pastoral,FeedCrops,SheepGoat,Pastoral,FeedCrops,SheepGoat,all,all,Animals,,SheepGoat,all,Livestock,
SheepGoat,Pastoral,FodderHerb_Residue,SheepGoat,Pastoral,FodderHerb_Residue,SheepGoat,all,all,Animals,,SheepGoat,all,Livestock,
SheepGoat,Pastoral,Pasture_FodderGrass,SheepGoat,Pastoral,Pasture_FodderGrass,SheepGoat,all,all,Animals,,SheepGoat,all,Livestock,
SheepGoat,Pastoral,Scavenging_Other,SheepGoat,Pastoral,Scavenging_Other,SheepGoat,all,all,Animals,,SheepGoat,all,Livestock,
Soybean,,,Soybean,,,,,,,,,,Cropland Management,
SugarCrop,,,SugarCrop,,,,,,,,,,Cropland Management,
UnmanagedLand,ForestFires,ForestFires,UnmanagedLand,ForestFires,ForestFires,,,,forest,,,,,
UnmanagedLand,GrasslandFires,GrasslandFires,UnmanagedLand,GrasslandFires,GrasslandFires,,,,grassland,,,,,
urban processes,aerosols,aerosols,urban processes,aerosols,aerosols,aerosols,all,all,aerosols,,,,Aerosols Product Use,
urban processes,fire_exting,fire_exting,urban processes,fire_exting,fire_exting,fire exting,all,all,fire exting,,,,Fire Protection,
urban processes,landfills,landfills,urban processes,landfills,landfills,landfills,all,all,landfills,,,,Landfilling of Solid Waste,
urban processes,wastewater,wastewater,urban processes,wastewater,wastewater,wastewater,all,all,wastewater,,,,Wastewater,
Vegetables,,,Vegetables,,,,,,,,,,Cropland Management,
Wheat,,,Wheat,,,,,,,,,,Cropland Management,
Freight,Rail_All,coal,trn_freight,Freight Rail,Coal,trn_rail,all,coal,trn_rail,tra,trn_rail,coal,,trn_coal
Freight,Rail_All,refined liquids,trn_freight,Freight Rail,Liquids,trn_rail,all,refined liquids,trn_rail,tra,trn_rail,refined liquids,,trn_oil
Freight,Rail_All,refined liquids,trn_freight,Freight Rail,Adv-Liquid,trn_rail,all,refined liquids,trn_rail,tra,trn_rail,refined liquids,,trn_oil
Freight,Ship Domestic_All,refined liquids,trn_freight,Domestic Ship,Liquids,trn_ship,all,refined liquids,trn_domestic ship,tra,trn_ship,refined liquids,,trn_oil
Freight,Ship International_All,refined liquids,trn_shipping_intl,International Ship,Liquids,trn_ship,all,refined liquids,trn_intl_ship,tra,trn_ship,refined liquids,,trn_oil
Freight,Truck_Light truck,gas,trn_freight_road,Light truck,NG,trn_road,gas,gas,trn_road,tra,trn_road,gas,,trn_gas
Freight,Truck_Light truck,refined liquids,trn_freight_road,Light truck,Liquids,trn_road,refined liquids,refined liquids,trn_road,tra,trn_road,refined liquids,,trn_oil
Freight,Truck_Medium truck,gas,trn_freight_road,Medium truck,NG,trn_road,gas,gas,trn_road,tra,trn_road,gas,,trn_gas
Freight,Truck_Medium truck,refined liquids,trn_freight_road,Medium truck,Liquids,trn_road,refined liquids,refined liquids,trn_road,tra,trn_road,refined liquids,,trn_oil
Freight,Truck_Heavy truck,gas,trn_freight_road,Heavy truck,NG,trn_road,gas,gas,trn_road,tra,trn_road,gas,,trn_gas
Freight,Truck_Heavy truck,refined liquids,trn_freight_road,Heavy truck,Liquids,trn_road,refined liquids,refined liquids,trn_road,tra,trn_road,refined liquids,,trn_oil
Freight,Truck_Heavy truck,gas,trn_freight_road,Heavy truck,NG,trn_road,gas,gas,trn_road,tra,trn_road,gas,,trn_gas
Freight,Truck_Heavy truck,refined liquids,trn_freight_road,Heavy truck,Liquids,trn_road,refined liquids,refined liquids,trn_road,tra,trn_road,refined liquids,,trn_oil
Freight,Truck_Heavy truck,gas,trn_freight_road,Heavy truck,NG,trn_road,gas,gas,trn_road,tra,trn_road,gas,,trn_gas
Freight,Truck_Heavy truck,refined liquids,trn_freight_road,Heavy truck,Liquids,trn_road,refined liquids,refined liquids,trn_road,tra,trn_road,refined liquids,,trn_oil
Freight,Truck_Heavy truck,gas,trn_freight_road,Heavy truck,NG,trn_road,gas,gas,trn_road,tra,trn_road,gas,,trn_gas
Freight,Truck_Heavy truck,refined liquids,trn_freight_road,Heavy truck,Liquids,trn_road,refined liquids,refined liquids,trn_road,tra,trn_road,refined liquids,,trn_oil
Freight,Truck_Light truck,gas,trn_freight_road,Light truck,NG,trn_road,gas,gas,trn_road,tra,trn_road,gas,,trn_gas
Freight,Truck_Light truck,refined liquids,trn_freight_road,Light truck,Liquids,trn_road,refined liquids,refined liquids,trn_road,tra,trn_road,refined liquids,,trn_oil
Freight,Truck_Light truck,gas,trn_freight_road,Light truck,NG,trn_road,gas,gas,trn_road,tra,trn_road,gas,,trn_gas
Freight,Truck_Light truck,refined liquids,trn_freight_road,Light truck,Liquids,trn_road,refined liquids,refined liquids,trn_road,tra,trn_road,refined liquids,,trn_oil
Freight,Truck_Light truck,gas,trn_freight_road,Light truck,NG,trn_road,gas,gas,trn_road,tra,trn_road,gas,,trn_gas
Freight,Truck_Light truck,refined liquids,trn_freight_road,Light truck,Liquids,trn_road,refined liquids,refined liquids,trn_road,tra,trn_road,refined liquids,,trn_oil
Freight,Truck_Light truck,gas,trn_freight_road,Light truck,NG,trn_road,gas,gas,trn_road,tra,trn_road,gas,,trn_gas
Freight,Truck_Light truck,refined liquids,trn_freight_road,Light truck,Liquids,trn_road,refined liquids,refined liquids,trn_road,tra,trn_road,refined liquids,,trn_oil
Freight,Truck_Light truck,gas,trn_freight_road,Light truck,NG,trn_road,gas,gas,trn_road,tra,trn_road,gas,,trn_gas
Freight,Truck_Light truck,refined liquids,trn_freight_road,Light truck,Liquids,trn_road,refined liquids,refined liquids,trn_road,tra,trn_road,refined liquids,,trn_oil
Freight,Truck_Light truck,gas,trn_freight_road,Light truck,NG,trn_road,gas,gas,trn_road,tra,trn_road,gas,,trn_gas
Freight,Truck_Light truck,refined liquids,trn_freight_road,Light truck,Liquids,trn_road,refined liquids,refined liquids,trn_road,tra,trn_road,refined liquids,,trn_oil
Freight,Truck_Light truck,gas,trn_freight_road,Light truck,NG,trn_road,gas,gas,trn_road,tra,trn_road,gas,,trn_gas
Freight,Truck_Light truck,refined liquids,trn_freight_road,Light truck,Liquids,trn_road,refined liquids,refined liquids,trn_road,tra,trn_road,refined liquids,,trn_oil
Freight,Truck_Heavy truck,gas,trn_freight_road,Heavy truck,NG,trn_road,gas,gas,trn_road,tra,trn_road,gas,,trn_gas
Freight,Truck_Heavy truck,refined liquids,trn_freight_road,Heavy truck,Liquids,trn_road,refined liquids,refined liquids,trn_road,tra,trn_road,refined liquids,,trn_oil
Freight,Truck_Light truck,gas,trn_freight_road,Light truck,NG,trn_road,gas,gas,trn_road,tra,trn_road,gas,,trn_gas
Freight,Truck_Light truck,refined liquids,trn_freight_road,Light truck,Liquids,trn_road,refined liquids,refined liquids,trn_road,tra,trn_road,refined liquids,,trn_oil
Freight,Truck_Medium truck,gas,trn_freight_road,Medium truck,NG,trn_road,gas,gas,trn_road,tra,trn_road,gas,,trn_gas
Freight,Truck_Medium truck,refined liquids,trn_freight_road,Medium truck,Liquids,trn_road,refined liquids,refined liquids,trn_road,tra,trn_road,refined liquids,,trn_oil
Freight,Truck_Medium truck,gas,trn_freight_road,Medium truck,NG,trn_road,gas,gas,trn_road,tra,trn_road,gas,,trn_gas
Freight,Truck_Medium truck,refined liquids,trn_freight_road,Medium truck,Liquids,trn_road,refined liquids,refined liquids,trn_road,tra,trn_road,refined liquids,,trn_oil
Freight,Truck_Medium truck,gas,trn_freight_road,Medium truck,NG,trn_road,gas,gas,trn_road,tra,trn_road,gas,,trn_gas
Freight,Truck_Medium truck,refined liquids,trn_freight_road,Medium truck,Liquids,trn_road,refined liquids,refined liquids,trn_road,tra,trn_road,refined liquids,,trn_oil
Freight,Truck_Medium truck,gas,trn_freight_road,Medium truck,NG,trn_road,gas,gas,trn_road,tra,trn_road,gas,,trn_gas
Freight,Truck_Medium truck,refined liquids,trn_freight_road,Medium truck,Liquids,trn_road,refined liquids,refined liquids,trn_road,tra,trn_road,refined liquids,,trn_oil
Freight,Truck_Medium truck,gas,trn_freight_road,Medium truck,NG,trn_road,gas,gas,trn_road,tra,trn_road,gas,,trn_gas
Freight,Truck_Medium truck,refined liquids,trn_freight_road,Medium truck,Liquids,trn_road,refined liquids,refined liquids,trn_road,tra,trn_road,refined liquids,,trn_oil
Freight,Truck_Medium truck,gas,trn_freight_road,Medium truck,NG,trn_road,gas,gas,trn_road,tra,trn_road,gas,,trn_gas
Freight,Truck_Medium truck,refined liquids,trn_freight_road,Medium truck,Liquids,trn_road,refined liquids,refined liquids,trn_road,tra,trn_road,refined liquids,,trn_oil
Freight,Truck_Medium truck,gas,trn_freight_road,Medium truck,NG,trn_road,gas,gas,trn_road,tra,trn_road,gas,,trn_gas
Freight,Truck_Medium truck,refined liquids,trn_freight_road,Medium truck,Liquids,trn_road,refined liquids,refined liquids,trn_road,tra,trn_road,refined liquids,,trn_oil
Freight,Truck_Heavy truck,gas,trn_freight_road,Heavy truck,NG,trn_road,gas,gas,trn_road,tra,trn_road,gas,,trn_gas
Freight,Truck_Heavy truck,refined liquids,trn_freight_road,Heavy truck,Liquids,trn_road,refined liquids,refined liquids,trn_road,tra,trn_road,refined liquids,,trn_oil
Freight,Truck_Heavy truck,gas,trn_freight_road,Heavy truck,NG,trn_road,gas,gas,trn_road,tra,trn_road,gas,,trn_gas
Freight,Truck_Heavy truck,refined liquids,trn_freight_road,Heavy truck,Liquids,trn_road,refined liquids,refined liquids,trn_road,tra,trn_road,refined liquids,,trn_oil
Passenger,Air Domestic_All,refined liquids,trn_pass,Domestic Aviation,Liquids,trn_air,all,refined liquids,trn_domestic ship,tra,trn_air,refined liquids,,trn_air
Passenger,Air International_All,refined liquids,trn_aviation_intl,International Aviation,Liquids,trn_air,all,refined liquids,trn_intl_air,tra,trn_air,refined liquids,,
Passenger,Bus_All,gas,trn_pass_road,Bus,NG,trn_road,gas,gas,trn_road,tra,trn_road,gas,,trn_gas
Passenger,Bus_All,refined liquids,trn_pass_road,Bus,Liquids,trn_road,refined liquids,refined liquids,trn_road,tra,trn_road,refined liquids,,trn_oil
Passenger,Bus_All,gas,trn_pass_road_bus,Bus,NG,trn_road,gas,gas,trn_road,tra,trn_road,gas,,trn_gas
Passenger,Bus_All,refined liquids,trn_pass_road_bus,Bus,Liquids,trn_road,refined liquids,refined liquids,trn_road,tra,trn_road,refined liquids,,trn_oil
Passenger,Bus_All,gas,trn_pass_road_bus,Bus,NG,trn_road,gas,gas,trn_road,tra,trn_road,gas,,trn_gas
Passenger,Bus_All,refined liquids,trn_pass_road_bus,Bus,Liquids,trn_road,refined liquids,refined liquids,trn_road,tra,trn_road,refined liquids,,trn_oil
Passenger,LDV_2W_3W_2W and 3W,refined liquids,trn_pass_road_LDV,2W and 3W,Liquids,trn_road,refined liquids,refined liquids,trn_road,tra,trn_road,refined liquids,,trn_oil
Passenger,LDV_2W_3W_2W and 3W,refined liquids,trn_pass_road_LDV,2W and 3W,Liquids,trn_road,refined liquids,refined liquids,trn_road,tra,trn_road,refined liquids,,trn_oil
Passenger,LDV_2W_3W_2W and 3W,refined liquids,trn_pass_road_LDV,2W and 3W,Liquids,trn_road,refined liquids,refined liquids,trn_road,tra,trn_road,refined liquids,,trn_oil
Passenger,LDV_2W_3W_2W and 3W,refined liquids,trn_pass_road_LDV,2W and 3W,Liquids,trn_road,refined liquids,refined liquids,trn_road,tra,trn_road,refined liquids,,trn_oil
Passenger,LDV_2W_3W_2W and 3W,gas,trn_pass_road_LDV,2W and 3W,NG,trn_road,gas,gas,trn_road,tra,trn_road,gas,,trn_gas
Passenger,LDV_2W_3W_2W and 3W,refined liquids,trn_pass_road_LDV,2W and 3W,Liquids,trn_road,refined liquids,refined liquids,trn_road,tra,trn_road,refined liquids,,trn_oil
Passenger,LDV_4W_Car,gas,trn_pass_road_LDV_4W,Car,NG,trn_road,gas,gas,trn_road,tra,trn_road,gas,Refrigeration and Air Conditioning,trn_gas
Passenger,LDV_4W_Car,refined liquids,trn_pass_road_LDV_4W,Car,Liquids,trn_road,refined liquids,refined liquids,trn_road,tra,trn_road,refined liquids,Refrigeration and Air Conditioning,trn_oil
Passenger,LDV_4W_Car,refined liquids,trn_pass_road_LDV_4W,Car,Hybrid Liquids,trn_road,refined liquids,refined liquids,trn_road,tra,trn_road,refined liquids,Refrigeration and Air Conditioning,trn_oil
Passenger,LDV_4W_Large Car and Truck,gas,trn_pass_road_LDV_4W,Large Car and Truck,NG,trn_road,gas,gas,trn_road,tra,trn_road,gas,Refrigeration and Air Conditioning,trn_gas
Passenger,LDV_4W_Large Car and Truck,refined liquids,trn_pass_road_LDV_4W,Large Car and Truck,Liquids,trn_road,refined liquids,refined liquids,trn_road,tra,trn_road,refined liquids,Refrigeration and Air Conditioning,trn_oil
Passenger,LDV_4W_Large Car and Truck,refined liquids,trn_pass_road_LDV_4W,Large Car and Truck,Hybrid Liquids,trn_road,refined liquids,refined liquids,trn_road,tra,trn_road,refined liquids,Refrigeration and Air Conditioning,trn_oil
Passenger,LDV_4W_Large Car and Truck,gas,trn_pass_road_LDV_4W,Large Car and Truck,NG,trn_road,gas,gas,trn_road,tra,trn_road,gas,,trn_gas
Passenger,LDV_4W_Large Car and Truck,refined liquids,trn_pass_road_LDV_4W,Large Car and Truck,Liquids,trn_road,refined liquids,refined liquids,trn_road,tra,trn_road,refined liquids,,trn_oil
Passenger,LDV_4W_Large Car and Truck,refined liquids,trn_pass_road_LDV_4W,Large Car and Truck,Hybrid Liquids,trn_road,refined liquids,refined liquids,trn_road,tra,trn_road,refined liquids,,trn_oil
Passenger,LDV_4W_Large Car and Truck,gas,trn_pass_road_LDV_4W,Large Car and Truck,NG,trn_road,gas,gas,trn_road,tra,trn_road,gas,Refrigeration and Air Conditioning,trn_gas
Passenger,LDV_4W_Large Car and Truck,refined liquids,trn_pass_road_LDV_4W,Large Car and Truck,Liquids,trn_road,refined liquids,refined liquids,trn_road,tra,trn_road,refined liquids,Refrigeration and Air Conditioning,trn_oil
Passenger,LDV_4W_Large Car and Truck,refined liquids,trn_pass_road_LDV_4W,Large Car and Truck,Hybrid Liquids,trn_road,refined liquids,refined liquids,trn_road,tra,trn_road,refined liquids,Refrigeration and Air Conditioning,trn_oil
Passenger,LDV_4W_Car,gas,trn_pass_road_LDV_4W,Car,NG,trn_road,gas,gas,trn_road,tra,trn_road,gas,Refrigeration and Air Conditioning,trn_gas
Passenger,LDV_4W_Car,refined liquids,trn_pass_road_LDV_4W,Car,Liquids,trn_road,refined liquids,refined liquids,trn_road,tra,trn_road,refined liquids,Refrigeration and Air Conditioning,trn_oil
