# File: USAbld_emission_mapping.csv
# Title: Emission mapping from standard buildings technologies to detailed USA buildings sector
# Units: None
# Comments: This allows the emissions and emissions coefficients assigned to the buildings sector in all_energy_emissions.xml and all_fgas_emissions.xml to be assigned to detailed USA building technologies
# Source: internal
# Column types: ccccccc
# ----------
region,from.supplysector,from.subsector,from.stub.technology,to.supplysector,to.subsector,to.stub.technology
USA,resid heating modern_d4,gas,gas,resid heating modern_d4,gas,gas furnace hi-eff
USA,resid heating modern_d4,refined liquids,refined liquids,resid heating modern_d4,refined liquids,fuel furnace
USA,resid heating modern_d4,refined liquids,refined liquids,resid heating modern_d4,refined liquids,fuel furnace hi-eff
USA,resid heating modern_d5,biomass,biomass,resid heating modern_d5,biomass,biomass
USA,resid heating modern_d5,gas,gas,resid heating modern_d5,gas,gas furnace
USA,resid heating modern_d5,gas,gas,resid heating modern_d5,gas,gas furnace hi-eff
USA,resid heating modern_d5,refined liquids,refined liquids,resid heating modern_d5,refined liquids,fuel furnace
USA,resid heating modern_d5,refined liquids,refined liquids,resid heating modern_d5,refined liquids,fuel furnace hi-eff
USA,resid heating modern_d6,biomass,biomass,resid heating modern_d6,biomass,biomass
USA,resid heating modern_d6,gas,gas,resid heating modern_d6,gas,gas furnace
USA,resid heating modern_d6,gas,gas,resid heating modern_d6,gas,gas furnace hi-eff
USA,resid heating modern_d6,refined liquids,refined liquids,resid heating modern_d6,refined liquids,fuel furnace
USA,resid heating modern_d6,refined liquids,refined liquids,resid heating modern_d6,refined liquids,fuel furnace hi-eff
USA,resid heating modern_d7,biomass,biomass,resid heating modern_d7,biomass,biomass
USA,resid heating modern_d7,gas,gas,resid heating modern_d7,gas,gas furnace
USA,resid heating modern_d7,gas,gas,resid heating modern_d7,gas,gas furnace hi-eff
USA,resid heating modern_d7,refined liquids,refined liquids,resid heating modern_d7,refined liquids,fuel furnace
USA,resid heating modern_d7,refined liquids,refined liquids,resid heating modern_d7,refined liquids,fuel furnace hi-eff
USA,resid heating modern_d8,biomass,biomass,resid heating modern_d8,biomass,biomass
USA,resid heating modern_d8,gas,gas,resid heating modern_d8,gas,gas furnace
USA,resid heating modern_d8,gas,gas,resid heating modern_d8,gas,gas furnace hi-eff
USA,resid heating modern_d8,refined liquids,refined liquids,resid heating modern_d8,refined liquids,fuel furnace
USA,resid heating modern_d8,refined liquids,refined liquids,resid heating modern_d8,refined liquids,fuel furnace hi-eff
USA,resid heating modern_d9,biomass,biomass,resid heating modern_d9,biomass,biomass
USA,resid heating modern_d9,gas,gas,resid heating modern_d9,gas,gas furnace
USA,resid heating modern_d9,gas,gas,resid heating modern_d9,gas,gas furnace hi-eff
USA,resid heating modern_d9,refined liquids,refined liquids,resid heating modern_d9,refined liquids,fuel furnace
USA,resid heating modern_d9,refined liquids,refined liquids,resid heating modern_d9,refined liquids,fuel furnace hi-eff
USA,resid heating TradBio_d1,traditional biomass,traditional biomass,resid heating TradBio_d1,traditional biomass,traditional biomass
USA,resid heating TradBio_d10,traditional biomass,traditional biomass,resid heating TradBio_d10,traditional biomass,traditional biomass
USA,resid heating TradBio_d2,traditional biomass,traditional biomass,resid heating TradBio_d2,traditional biomass,traditional biomass
USA,resid heating TradBio_d3,traditional biomass,traditional biomass,resid heating TradBio_d3,traditional biomass,traditional biomass
USA,resid heating TradBio_d4,traditional biomass,traditional biomass,resid heating TradBio_d4,traditional biomass,traditional biomass
USA,resid heating TradBio_d5,traditional biomass,traditional biomass,resid heating TradBio_d5,traditional biomass,traditional biomass
USA,resid heating TradBio_d6,traditional biomass,traditional biomass,resid heating TradBio_d6,traditional biomass,traditional biomass
USA,resid heating TradBio_d7,traditional biomass,traditional biomass,resid heating TradBio_d7,traditional biomass,traditional biomass
USA,resid heating TradBio_d8,traditional biomass,traditional biomass,resid heating TradBio_d8,traditional biomass,traditional biomass
USA,resid heating TradBio_d9,traditional biomass,traditional biomass,resid heating TradBio_d9,traditional biomass,traditional biomass
USA,resid others coal_d1,coal,coal,resid others coal_d1,coal,coal
USA,resid others coal_d10,coal,coal,resid others coal_d10,coal,coal
USA,resid others coal_d2,coal,coal,resid others coal_d2,coal,coal
USA,resid others coal_d3,coal,coal,resid others coal_d3,coal,coal
USA,resid others coal_d4,coal,coal,resid others coal_d4,coal,coal
USA,resid others coal_d5,coal,coal,resid others coal_d5,coal,coal
USA,resid others coal_d6,coal,coal,resid others coal_d6,coal,coal
USA,resid others coal_d7,coal,coal,resid others coal_d7,coal,coal
USA,resid others coal_d8,coal,coal,resid others coal_d8,coal,coal
USA,resid others coal_d9,coal,coal,resid others coal_d9,coal,coal
USA,resid others modern_d1,biomass,biomass,DROP,,
USA,resid others modern_d1,gas,gas,resid clothes dryers modern_d1,gas,clothes dryer
USA,resid others modern_d1,gas,gas,resid cooking modern_d1,gas,gas oven
USA,resid others modern_d1,gas,gas,resid cooking modern_d1,gas,gas oven hi-eff
USA,resid others modern_d1,gas,gas,resid hot water modern_d1,gas,gas water heater
USA,resid others modern_d1,gas,gas,resid hot water modern_d1,gas,gas water heater hi-eff
USA,resid others modern_d1,gas,gas,resid other modern_d1,gas,gas
USA,resid others modern_d1,refined liquids,refined liquids,resid cooking modern_d1,refined liquids,lpg oven
USA,resid others modern_d1,refined liquids,refined liquids,resid cooking modern_d1,refined liquids,lpg oven hi-eff
USA,resid others modern_d1,refined liquids,refined liquids,resid hot water modern_d1,refined liquids,fuel water heater
USA,resid others modern_d1,refined liquids,refined liquids,resid hot water modern_d1,refined liquids,fuel water heater hi-eff
USA,resid others modern_d1,refined liquids,refined liquids,resid other modern_d1,refined liquids,refined liquids
USA,resid others modern_d10,biomass,biomass,DROP,,
USA,resid others modern_d10,gas,gas,resid clothes dryers modern_d10,gas,clothes dryer
USA,resid others modern_d10,gas,gas,resid cooking modern_d10,gas,gas oven
USA,resid others modern_d10,gas,gas,resid cooking modern_d10,gas,gas oven hi-eff
USA,resid others modern_d10,gas,gas,resid hot water modern_d10,gas,gas water heater
USA,resid others modern_d10,gas,gas,resid hot water modern_d10,gas,gas water heater hi-eff
USA,resid others modern_d10,gas,gas,resid other modern_d10,gas,gas
USA,resid others modern_d10,refined liquids,refined liquids,resid cooking modern_d10,refined liquids,lpg oven
USA,resid others modern_d10,refined liquids,refined liquids,resid cooking modern_d10,refined liquids,lpg oven hi-eff
USA,resid others modern_d10,refined liquids,refined liquids,resid hot water modern_d10,refined liquids,fuel water heater
USA,resid others modern_d10,refined liquids,refined liquids,resid hot water modern_d10,refined liquids,fuel water heater hi-eff
USA,resid others modern_d10,refined liquids,refined liquids,resid other modern_d10,refined liquids,refined liquids
USA,resid others modern_d2,biomass,biomass,DROP,,
USA,resid others modern_d2,gas,gas,resid clothes dryers modern_d2,gas,clothes dryer
USA,resid others modern_d2,gas,gas,resid cooking modern_d2,gas,gas oven
USA,resid others modern_d2,gas,gas,resid cooking modern_d2,gas,gas oven hi-eff
USA,resid others modern_d2,gas,gas,resid hot water modern_d2,gas,gas water heater
USA,resid others modern_d2,gas,gas,resid hot water modern_d2,gas,gas water heater hi-eff
USA,resid others modern_d2,gas,gas,resid other modern_d2,gas,gas
USA,resid others modern_d2,refined liquids,refined liquids,resid cooking modern_d2,refined liquids,lpg oven
USA,resid others modern_d2,refined liquids,refined liquids,resid cooking modern_d2,refined liquids,lpg oven hi-eff
USA,resid others modern_d2,refined liquids,refined liquids,resid hot water modern_d2,refined liquids,fuel water heater
USA,resid others modern_d2,refined liquids,refined liquids,resid hot water modern_d2,refined liquids,fuel water heater hi-eff
USA,resid others modern_d2,refined liquids,refined liquids,resid other modern_d2,refined liquids,refined liquids
USA,resid others modern_d3,biomass,biomass,DROP,,
USA,resid others modern_d3,gas,gas,resid clothes dryers modern_d3,gas,clothes dryer
USA,resid others modern_d3,gas,gas,resid cooking modern_d3,gas,gas oven
USA,resid others modern_d3,gas,gas,resid cooking modern_d3,gas,gas oven hi-eff
USA,resid others modern_d3,gas,gas,resid hot water modern_d3,gas,gas water heater
USA,resid others modern_d3,gas,gas,resid hot water modern_d3,gas,gas water heater hi-eff
USA,resid others modern_d3,gas,gas,resid other modern_d3,gas,gas
USA,resid others modern_d3,refined liquids,refined liquids,resid cooking modern_d3,refined liquids,lpg oven
USA,resid others modern_d3,refined liquids,refined liquids,resid cooking modern_d3,refined liquids,lpg oven hi-eff
USA,resid others modern_d3,refined liquids,refined liquids,resid hot water modern_d3,refined liquids,fuel water heater
USA,resid others modern_d3,refined liquids,refined liquids,resid hot water modern_d3,refined liquids,fuel water heater hi-eff
USA,resid others modern_d3,refined liquids,refined liquids,resid other modern_d3,refined liquids,refined liquids
USA,resid others modern_d4,biomass,biomass,DROP,,
USA,resid others modern_d4,gas,gas,resid clothes dryers modern_d4,gas,clothes dryer
USA,resid others modern_d4,gas,gas,resid cooking modern_d4,gas,gas oven
USA,resid others modern_d4,gas,gas,resid cooking modern_d4,gas,gas oven hi-eff
USA,resid others modern_d4,gas,gas,resid hot water modern_d4,gas,gas water heater
USA,resid others modern_d4,gas,gas,resid hot water modern_d4,gas,gas water heater hi-eff
USA,resid others modern_d4,gas,gas,resid other modern_d4,gas,gas
USA,resid others modern_d4,refined liquids,refined liquids,resid cooking modern_d4,refined liquids,lpg oven
USA,resid others modern_d4,refined liquids,refined liquids,resid cooking modern_d4,refined liquids,lpg oven hi-eff
USA,resid others modern_d4,refined liquids,refined liquids,resid hot water modern_d4,refined liquids,fuel water heater
USA,resid others modern_d4,refined liquids,refined liquids,resid hot water modern_d4,refined liquids,fuel water heater hi-eff
USA,resid others modern_d4,refined liquids,refined liquids,resid other modern_d4,refined liquids,refined liquids
USA,resid others modern_d5,biomass,biomass,DROP,,
USA,resid others modern_d5,gas,gas,resid clothes dryers modern_d5,gas,clothes dryer
USA,resid others modern_d5,gas,gas,resid cooking modern_d5,gas,gas oven
USA,resid others modern_d5,gas,gas,resid cooking modern_d5,gas,gas oven hi-eff
USA,resid others modern_d5,gas,gas,resid hot water modern_d5,gas,gas water heater
USA,resid others modern_d5,gas,gas,resid hot water modern_d5,gas,gas water heater hi-eff
USA,resid others modern_d5,gas,gas,resid other modern_d5,gas,gas
USA,resid others modern_d5,refined liquids,refined liquids,resid cooking modern_d5,refined liquids,lpg oven
USA,resid others modern_d5,refined liquids,refined liquids,resid cooking modern_d5,refined liquids,lpg oven hi-eff
USA,resid others modern_d5,refined liquids,refined liquids,resid hot water modern_d5,refined liquids,fuel water heater
USA,resid others modern_d5,refined liquids,refined liquids,resid hot water modern_d5,refined liquids,fuel water heater hi-eff
USA,resid others modern_d5,refined liquids,refined liquids,resid other modern_d5,refined liquids,refined liquids
USA,resid others modern_d6,biomass,biomass,DROP,,
USA,resid others modern_d6,gas,gas,resid clothes dryers modern_d6,gas,clothes dryer
USA,resid others modern_d6,gas,gas,resid cooking modern_d6,gas,gas oven
USA,resid others modern_d6,gas,gas,resid cooking modern_d6,gas,gas oven hi-eff
USA,resid others modern_d6,gas,gas,resid hot water modern_d6,gas,gas water heater
USA,resid others modern_d6,gas,gas,resid hot water modern_d6,gas,gas water heater hi-eff
USA,resid others modern_d6,gas,gas,resid other modern_d6,gas,gas
USA,resid others modern_d6,refined liquids,refined liquids,resid cooking modern_d6,refined liquids,lpg oven
USA,resid others modern_d6,refined liquids,refined liquids,resid cooking modern_d6,refined liquids,lpg oven hi-eff
USA,resid others modern_d6,refined liquids,refined liquids,resid hot water modern_d6,refined liquids,fuel water heater
USA,resid others modern_d6,refined liquids,refined liquids,resid hot water modern_d6,refined liquids,fuel water heater hi-eff
USA,resid others modern_d6,refined liquids,refined liquids,resid other modern_d6,refined liquids,refined liquids
USA,resid others modern_d7,biomass,biomass,DROP,,
USA,resid others modern_d7,gas,gas,resid clothes dryers modern_d7,gas,clothes dryer
USA,resid others modern_d7,gas,gas,resid cooking modern_d7,gas,gas oven
USA,resid others modern_d7,gas,gas,resid cooking modern_d7,gas,gas oven hi-eff
USA,resid others modern_d7,gas,gas,resid hot water modern_d7,gas,gas water heater
USA,resid others modern_d7,gas,gas,resid hot water modern_d7,gas,gas water heater hi-eff
USA,resid others modern_d7,gas,gas,resid other modern_d7,gas,gas
USA,resid others modern_d7,refined liquids,refined liquids,resid cooking modern_d7,refined liquids,lpg oven
USA,resid others modern_d7,refined liquids,refined liquids,resid cooking modern_d7,refined liquids,lpg oven hi-eff
USA,resid others modern_d7,refined liquids,refined liquids,resid hot water modern_d7,refined liquids,fuel water heater
USA,resid others modern_d7,refined liquids,refined liquids,resid hot water modern_d7,refined liquids,fuel water heater hi-eff
USA,resid others modern_d7,refined liquids,refined liquids,resid other modern_d7,refined liquids,refined liquids
USA,resid others modern_d8,biomass,biomass,DROP,,
USA,resid others modern_d8,gas,gas,resid clothes dryers modern_d8,gas,clothes dryer
USA,resid others modern_d8,gas,gas,resid cooking modern_d8,gas,gas oven
USA,resid others modern_d8,gas,gas,resid cooking modern_d8,gas,gas oven hi-eff
USA,resid others modern_d8,gas,gas,resid hot water modern_d8,gas,gas water heater
USA,resid others modern_d8,gas,gas,resid hot water modern_d8,gas,gas water heater hi-eff
USA,resid others modern_d8,gas,gas,resid other modern_d8,gas,gas
USA,resid others modern_d8,refined liquids,refined liquids,resid cooking modern_d8,refined liquids,lpg oven
USA,resid others modern_d8,refined liquids,refined liquids,resid cooking modern_d8,refined liquids,lpg oven hi-eff
USA,resid others modern_d8,refined liquids,refined liquids,resid hot water modern_d8,refined liquids,fuel water heater
USA,resid others modern_d8,refined liquids,refined liquids,resid hot water modern_d8,refined liquids,fuel water heater hi-eff
USA,resid others modern_d8,refined liquids,refined liquids,resid other modern_d8,refined liquids,refined liquids
USA,resid others modern_d9,biomass,biomass,DROP,,
USA,resid others modern_d9,gas,gas,resid clothes dryers modern_d9,gas,clothes dryer
USA,resid others modern_d9,gas,gas,resid cooking modern_d9,gas,gas oven
USA,resid others modern_d9,gas,gas,resid cooking modern_d9,gas,gas oven hi-eff
USA,resid others modern_d9,gas,gas,resid hot water modern_d9,gas,gas water heater
USA,resid others modern_d9,gas,gas,resid hot water modern_d9,gas,gas water heater hi-eff
USA,resid others modern_d9,gas,gas,resid other modern_d9,gas,gas
USA,resid others modern_d9,refined liquids,refined liquids,resid cooking modern_d9,refined liquids,lpg oven
USA,resid others modern_d9,refined liquids,refined liquids,resid cooking modern_d9,refined liquids,lpg oven hi-eff
USA,resid others modern_d9,refined liquids,refined liquids,resid hot water modern_d9,refined liquids,fuel water heater
USA,resid others modern_d9,refined liquids,refined liquids,resid hot water modern_d9,refined liquids,fuel water heater hi-eff
USA,resid others modern_d9,refined liquids,refined liquids,resid other modern_d9,refined liquids,refined liquids
USA,resid others TradBio_d1,traditional biomass,traditional biomass,resid others TradBio_d1,traditional biomass,traditional biomass
USA,resid others TradBio_d10,traditional biomass,traditional biomass,resid others TradBio_d10,traditional biomass,traditional biomass
USA,resid others TradBio_d2,traditional biomass,traditional biomass,resid others TradBio_d2,traditional biomass,traditional biomass
USA,resid others TradBio_d3,traditional biomass,traditional biomass,resid others TradBio_d3,traditional biomass,traditional biomass
USA,resid others TradBio_d4,traditional biomass,traditional biomass,resid others TradBio_d4,traditional biomass,traditional biomass
USA,resid others TradBio_d5,traditional biomass,traditional biomass,resid others TradBio_d5,traditional biomass,traditional biomass
USA,resid others TradBio_d6,traditional biomass,traditional biomass,resid others TradBio_d6,traditional biomass,traditional biomass
USA,resid others TradBio_d7,traditional biomass,traditional biomass,resid others TradBio_d7,traditional biomass,traditional biomass
USA,resid others TradBio_d8,traditional biomass,traditional biomass,resid others TradBio_d8,traditional biomass,traditional biomass
USA,resid others TradBio_d9,traditional biomass,traditional biomass,resid others TradBio_d9,traditional biomass,traditional biomass
