# Assumed technology charactoristics including costs and efficiencies,,,,,,,,,,,,
# Source: Tables_RefLiq_Data.xlsx,,,,,,,,,,,,
supplysector,subsector,technology,year,share_weight,coefficient,input_cost,lifetime,shutdown_rate,minicam_energy_input,market,tech_index,input_index
refined liquids,oil,oil,1990,1,1,0,-1,0,oil refined liquids,*,-1,-1
refined liquids,oil,oil,2005,1,1,0,-1,0,oil refined liquids,*,-1,-1
refined liquids,gas,gas,1975,1,1,0,-1,0,gas refined liquids,*,-1,-1
refined liquids,gas,gas,1990,1,1,0,-1,0,gas refined liquids,*,-1,-1
refined liquids,gas,gas,2005,1,1,0,-1,0,gas refined liquids,*,-1,-1
refined liquids,coal,coal,1975,1,1,0,-1,0,coal refined liquids,*,-1,-1
refined liquids,coal,coal,1990,1,1,0,-1,0,coal refined liquids,*,-1,-1
refined liquids,coal,coal,2005,1,1,0,-1,0,coal refined liquids,*,-1,-1
refined liquids,biomass,biomass,1975,1,1,0,-1,0,biomass refined liquids,*,-1,-1
refined liquids,biomass,biomass,1990,1,1,0,-1,0,biomass refined liquids,*,-1,-1
refined liquids,biomass,biomass,2005,1,1,0,-1,0,biomass refined liquids,*,-1,-1
refined liquids enduse,refined liquids enduse,refined liquids enduse,1975,1,1,1.10,-1,0,refined liquids,*,-1,-1
refined liquids industrial,refined liquids industrial,refined liquids industrial,1975,1,1,0,-1,0,refined liquids,*,-1,-1
