# Assumed technology charactoristics including costs and efficiencies,,,,,,,,,,,,,,
# Source: Tables_ElecS_Data.xlsx,,,,,,,,,,,,,,
supplysector,subsector,technology,period,share_weight,capital_cost,lifetime,fixed_om,variable_om,fcr,capacity_factor,capacity_factor_OM,efficiency,minicam_energy_input,market
intermediate generation,biomass,bio_int_exist,1990,1,510.9275158,-1,27.47,0.250523779,0.15,0.520833333,0.520833333,1,regional biomass,USA
intermediate generation,biomass,bio_int_exist,1975,1,510.9275158,-1,27.47,0.250523779,0.15,0.520833333,0.520833333,1,regional biomass,USA
subpeak generation,biomass,bio_subpeak_exist,2005,1,511,#N/A,9.09,1.49,0.15,0.25,0.25,1,regional biomass,USA
subpeak generation,biomass,bio_subpeak_exist,1990,1,510.9275158,-1,9.09421598,1.49305407,0.15,0.25,0.25,1,regional biomass,USA
subpeak generation,biomass,bio_subpeak_exist,1975,1,510.9275158,-1,9.09421598,1.49305407,0.15,0.25,0.25,1,regional biomass,USA
peak generation,biomass,bio_peak_exist,2005,1,511,#N/A,9.09,1.49,0.15,0.0625,0.0625,1,regional biomass,USA
peak generation,biomass,bio_peak_exist,1990,1,510.9275158,-1,9.09421598,1.49305407,0.15,0.0625,0.0625,1,regional biomass,USA
peak generation,biomass,bio_peak_exist,1975,1,510.9275158,-1,9.09421598,1.49305407,0.15,0.0625,0.0625,1,regional biomass,USA
base load generation,geothermal,geo_base,1975,1,3.122758261,-1,-1,-1,-1,-1,-1,0.1,geothermal,USA
base load generation,geothermal,geo_base,1990,1,3.122758261,-1,-1,-1,-1,-1,-1,0.1,geothermal,USA
base load generation,geothermal,geo_base,2005,1,3.122758261,30,-1,-1,-1,-1,-1,0.1,geothermal,USA
base load generation,geothermal,geo_base,2020,1,2.907423578,30,-1,-1,-1,-1,-1,0.1,geothermal,USA
base load generation,geothermal,geo_base,2035,1,2.685034743,30,-1,-1,-1,-1,-1,0.1,geothermal,USA
base load generation,geothermal,geo_base,2050,1,2.526822464,30,-1,-1,-1,-1,-1,0.1,geothermal,USA
base load generation,geothermal,geo_base,2065,1,2.433707019,30,-1,-1,-1,-1,-1,0.1,geothermal,USA
base load generation,geothermal,geo_base,2080,1,2.344022953,30,-1,-1,-1,-1,-1,0.1,geothermal,USA
base load generation,geothermal,geo_base,2095,1,2.257643817,30,-1,-1,-1,-1,-1,0.1,geothermal,USA
intermediate generation,geothermal,geo_int,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,geothermal,USA
subpeak generation,geothermal,geo_subpeak,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,geothermal,USA
peak generation,geothermal,geo_peak,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,geothermal,USA
base load generation,nuclear,nuc_base_gen2,2005,1,620,75,22.02,0.05,0.15,0.9,0.9,0.333,nuclearFuelGenII,USA
base load generation,nuclear,nuc_base_gen2,1990,1,620.33,-1,22.017,0.045549778,0.15,0.9,0.9,0.333,nuclearFuelGenII,USA
base load generation,nuclear,nuc_base_gen2,1975,1,620.33,-1,22.017,0.045549778,0.15,0.9,0.9,0.333,nuclearFuelGenII,USA
intermediate generation,nuclear,nuc_int_gen2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,nuclearFuelGenII,USA
subpeak generation,nuclear,nuc_subpeak_gen2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,nuclearFuelGenII,USA
peak generation,nuclear,nuc_peak_gen2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,nuclearFuelGenII,USA
base load generation,wind,wind_base,1975,0,380.15025,-1,3.746125,2.28025,0.128760156,0.4,0.4,1,large onshore windresource, 
base load generation,wind,wind_base,1990,1,380.15025,-1,3.746125,2.28025,0.128760156,0.4,0.4,1,large onshore windresource, 
base load generation,wind,wind_base,2005,1,380.15025,30,3.746125,2.28025,0.128760156,0.4,0.4,1,large onshore windresource, 
base load generation,wind,wind_base,2020,1,366.1414068,30,3.746125,1.49845,0.128760156,0.45,0.45,1,large onshore windresource, 
base load generation,wind,wind_base,2035,1,352.6488007,30,3.608077273,1.443230909,0.128760156,0.46,0.46,1,large onshore windresource, 
base load generation,wind,wind_base,2050,1,339.653408,30,3.475116716,1.390046686,0.128760156,0.47,0.47,1,large onshore windresource, 
base load generation,wind,wind_base,2065,1,327.1369061,30,3.347055863,1.338822345,0.128760156,0.48,0.48,1,large onshore windresource, 
base load generation,wind,wind_base,2080,1,315.0816473,30,3.223714156,1.289485662,0.128760156,0.49,0.49,1,large onshore windresource, 
base load generation,wind,wind_base,2095,1,303.4706345,30,3.10491769,1.241967076,0.128760156,0.5,0.5,1,large onshore windresource, 
intermediate generation,wind,wind_int,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,large onshore windresource, 
subpeak generation,wind,wind_subpeak,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,large onshore windresource, 
peak generation,wind,wind_peak,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,large onshore windresource, 
base load generation,solar,pv_base,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,global solar resource, 
intermediate generation,solar,pv_int,1975,0,3015.983417,-1,8.9295,0,0.128760156,0.253053653,0.253053653,1,global solar resource, 
intermediate generation,solar,pv_int,1990,0,3015.983417,-1,8.9295,0,0.128760156,0.253053653,0.253053653,1,global solar resource, 
intermediate generation,solar,pv_int,2005,0,3015.983417,30,8.9295,0,0.128760156,0.253053653,0.253053653,1,global solar resource, 
intermediate generation,solar,pv_int,2020,0,1908.974498,30,8.9295,0,0.128760156,0.253053653,0.253053653,1,global solar resource, 
intermediate generation,solar,pv_int,2035,0,1304.904248,30,7.1436,0,0.128760156,0.253053653,0.253053653,1,global solar resource, 
intermediate generation,solar,pv_int,2050,0,962.9285386,30,6.42924,0,0.128760156,0.253053653,0.253053653,1,global solar resource, 
intermediate generation,solar,pv_int,2065,0,766.7921358,30,5.71488,0,0.128760156,0.253053653,0.253053653,1,global solar resource, 
intermediate generation,solar,pv_int,2080,0,658.6616975,30,5.3577,0,0.128760156,0.253053653,0.253053653,1,global solar resource, 
intermediate generation,solar,pv_int,2095,0,610.0746816,30,5.3577,0,0.128760156,0.253053653,0.253053653,1,global solar resource, 
subpeak generation,solar,pv_subpeak,1975,0,3015.983417,-1,8.9295,0,0.128760156,0.253053653,0.253053653,1,global solar resource, 
subpeak generation,solar,pv_subpeak,1990,1,3015.983417,-1,8.9295,0,0.128760156,0.253053653,0.253053653,1,global solar resource, 
subpeak generation,solar,pv_subpeak,2005,1,3015.983417,30,8.9295,0,0.128760156,0.253053653,0.253053653,1,global solar resource, 
subpeak generation,solar,pv_subpeak,2020,1,1908.974498,30,8.9295,0,0.128760156,0.253053653,0.253053653,1,global solar resource, 
subpeak generation,solar,pv_subpeak,2035,1,1304.904248,30,7.1436,0,0.128760156,0.253053653,0.253053653,1,global solar resource, 
subpeak generation,solar,pv_subpeak,2050,1,962.9285386,30,6.42924,0,0.128760156,0.253053653,0.253053653,1,global solar resource, 
subpeak generation,solar,pv_subpeak,2065,1,766.7921358,30,5.71488,0,0.128760156,0.253053653,0.253053653,1,global solar resource, 
subpeak generation,solar,pv_subpeak,2080,1,658.6616975,30,5.3577,0,0.128760156,0.253053653,0.253053653,1,global solar resource, 
subpeak generation,solar,pv_subpeak,2095,1,610.0746816,30,5.3577,0,0.128760156,0.253053653,0.253053653,1,global solar resource, 
peak generation,solar,pv_peak,1975,0,3015.983417,-1,8.9295,0,0.128760156,0.253053653,0.253053653,1,global solar resource, 
peak generation,solar,pv_peak,1990,0,3015.983417,-1,8.9295,0,0.128760156,0.253053653,0.253053653,1,global solar resource, 
peak generation,solar,pv_peak,2005,0,3015.983417,30,8.9295,0,0.128760156,0.253053653,0.253053653,1,global solar resource, 
peak generation,solar,pv_peak,2020,0,1908.974498,30,8.9295,0,0.128760156,0.253053653,0.253053653,1,global solar resource, 
peak generation,solar,pv_peak,2035,0,1304.904248,30,7.1436,0,0.128760156,0.253053653,0.253053653,1,global solar resource, 
peak generation,solar,pv_peak,2050,0,962.9285386,30,6.42924,0,0.128760156,0.253053653,0.253053653,1,global solar resource, 
peak generation,solar,pv_peak,2065,0,766.7921358,30,5.71488,0,0.128760156,0.253053653,0.253053653,1,global solar resource, 
peak generation,solar,pv_peak,2080,0,658.6616975,30,5.3577,0,0.128760156,0.253053653,0.253053653,1,global solar resource, 
peak generation,solar,pv_peak,2095,0,610.0746816,30,5.3577,0,0.128760156,0.253053653,0.253053653,1,global solar resource, 
base load generation,coal,coal_base_conv,2005,0,496.0461319,60,8.829335903,1.47173094,0.15,0.833333333,0.833333333,0.391325288,regional coal,USA
base load generation,coal,coal_base_conv,2020,1,496.0461319,60,8.829335903,1.47173094,0.15,0.833333333,0.833333333,0.391325288,regional coal,USA
base load generation,coal,coal_base_conv,2035,1,467.1024484,60,8.314154981,1.385857244,0.15,0.833333333,0.833333333,0.400223161,regional coal,USA
base load generation,coal,coal_base_conv,2050,1,439.8475934,60,7.829034234,1.304994174,0.15,0.833333333,0.833333333,0.409323353,regional coal,USA
base load generation,coal,coal_base_conv,2065,1,414.1830258,60,7.372219688,1.228849364,0.15,0.833333333,0.833333333,0.418630462,regional coal,USA
base load generation,coal,coal_base_conv,2080,1,390.0159541,60,6.94205971,1.157147511,0.15,0.833333333,0.833333333,0.428149195,regional coal,USA
base load generation,coal,coal_base_conv,2095,1,367.2590015,60,6.53699904,1.089629373,0.15,0.833333333,0.833333333,0.437884362,regional coal,USA
base load generation,coal,coal_base_IGCC,2005,0,574.966669,60,12.40,0.937,0.15,0.833333333,0.83,0.42624803,regional coal,USA
base load generation,coal,coal_base_IGCC,2020,1,574.966669,60,12.40,0.937,0.15,0.833333333,0.83,0.42624803,regional coal,USA
base load generation,coal,coal_base_IGCC,2035,1,517.0974632,60,11.57,0.874,0.15,0.833333333,0.83,0.449038642,regional coal,USA
base load generation,coal,coal_base_IGCC,2050,1,436.9746685,60,10.42,0.787,0.15,0.833333333,0.83,0.46959835,regional coal,USA
base load generation,coal,coal_base_IGCC,2065,1,433.3336432,60,10.36,0.783,0.15,0.833333333,0.83,0.485914627,regional coal,USA
base load generation,coal,coal_base_IGCC,2080,1,410.3416619,60,10.03,0.758,0.15,0.833333333,0.83,0.496390322,regional coal,USA
base load generation,coal,coal_base_IGCC,2095,1,402.4766683,60,9.92,0.750,0.15,0.833333333,0.83,0.5,regional coal,USA
base load generation,coal,coal_base_IGCC_CCS,2020,0.333,758,60,14.22,1.718,0.15,0.833333333,0.83,0.364289077,regional coal,USA
base load generation,coal,coal_base_IGCC_CCS,2035,1,666,60,13.14,1.548,0.15,0.833333333,0.83,0.394133281,regional coal,USA
base load generation,coal,coal_base_IGCC_CCS,2050,1,558,60,11.79,1.374,0.15,0.833333333,0.83,0.42094358,regional coal,USA
base load generation,coal,coal_base_IGCC_CCS,2065,1,550,60,11.69,1.352,0.15,0.833333333,0.83,0.437259857,regional coal,USA
base load generation,coal,coal_base_IGCC_CCS,2080,1,522,60,11.32,1.310,0.15,0.833333333,0.83,0.447735551,regional coal,USA
base load generation,coal,coal_base_IGCC_CCS,2095,1,512,60,11.20,1.296,0.15,0.833333333,0.83,0.451345229,regional coal,USA
base load generation,biomass,bio_base_conv,2005,0,511,60,9.09,1.493,0.15,0.833333333,0.83,0.381695013,regional biomass,USA
base load generation,biomass,bio_base_conv,2020,1,511,60,9.09,1.493,0.15,0.833333333,0.83,0.381695013,regional biomass,USA
base load generation,biomass,bio_base_conv,2035,1,481,60,8.56,1.406,0.15,0.833333333,0.83,0.390373915,regional biomass,USA
base load generation,biomass,bio_base_conv,2050,1,453,60,8.06,1.324,0.15,0.833333333,0.83,0.399250156,regional biomass,USA
base load generation,biomass,bio_base_conv,2065,1,427,60,7.59,1.247,0.15,0.833333333,0.83,0.408328223,regional biomass,USA
base load generation,biomass,bio_base_conv,2080,1,402,60,7.15,1.174,0.15,0.833333333,0.83,0.417612706,regional biomass,USA
base load generation,biomass,bio_base_conv,2095,1,378,60,6.73,1.105,0.15,0.833333333,0.83,0.427108297,regional biomass,USA
base load generation,biomass,bio_base_IGCC,2005,0,592,60,12.77,0.950,0.15,0.833333333,0.83,0.415758327,regional biomass,USA
base load generation,biomass,bio_base_IGCC,2020,1,592,60,12.77,0.950,0.15,0.833333333,0.83,0.415758327,regional biomass,USA
base load generation,biomass,bio_base_IGCC,2035,1,533,60,11.91,0.887,0.15,0.833333333,0.83,0.437988076,regional biomass,USA
base load generation,biomass,bio_base_IGCC,2050,1,450,60,10.73,0.798,0.15,0.833333333,0.83,0.458041823,regional biomass,USA
base load generation,biomass,bio_base_IGCC,2065,1,446,60,10.67,0.794,0.15,0.833333333,0.83,0.473956566,regional biomass,USA
base load generation,biomass,bio_base_IGCC,2080,1,423,60,10.33,0.769,0.15,0.833333333,0.83,0.48417446,regional biomass,USA
base load generation,biomass,bio_base_IGCC,2095,1,415,60,10.22,0.760,0.15,0.833333333,0.83,0.487695307,regional biomass,USA
base load generation,biomass,bio_base_IGCC_CCS,2020,0.333,763,60,14.33,1.616,0.15,0.833333333,0.83,0.363558477,regional biomass,USA
base load generation,biomass,bio_base_IGCC_CCS,2035,1,673,60,13.26,1.463,0.15,0.833333333,0.83,0.391730813,regional biomass,USA
base load generation,biomass,bio_base_IGCC_CCS,2050,1,565,60,11.90,1.301,0.15,0.833333333,0.83,0.417050624,regional biomass,USA
base load generation,biomass,bio_base_IGCC_CCS,2065,1,558,60,11.81,1.282,0.15,0.833333333,0.83,0.432965367,regional biomass,USA
base load generation,biomass,bio_base_IGCC_CCS,2080,1,529,60,11.44,1.242,0.15,0.833333333,0.83,0.443183262,regional biomass,USA
base load generation,biomass,bio_base_IGCC_CCS,2095,1,520,60,11.31,1.228,0.15,0.833333333,0.83,0.446704108,regional biomass,USA
base load generation,gas,gas_base_CC,2005,0,233,45,3.88,0.652,0.15,0.833333333,0.83,0.553563658,wholesale gas,USA
base load generation,gas,gas_base_CC,2020,1,233,45,3.88,0.652,0.15,0.833333333,0.83,0.553563658,wholesale gas,USA
base load generation,gas,gas_base_CC,2035,1,203,45,3.54,0.596,0.15,0.833333333,0.83,0.598814977,wholesale gas,USA
base load generation,gas,gas_base_CC,2050,1,177,45,3.26,0.548,0.15,0.833333333,0.83,0.63963678,wholesale gas,USA
base load generation,gas,gas_base_CC,2065,1,173,45,3.21,0.540,0.15,0.833333333,0.83,0.672033147,wholesale gas,USA
base load generation,gas,gas_base_CC,2080,1,166,45,3.13,0.526,0.15,0.833333333,0.83,0.692832895,wholesale gas,USA
base load generation,gas,gas_base_CC,2095,1,163,45,3.10,0.522,0.15,0.833333333,0.83,0.7,wholesale gas,USA
base load generation,gas,gas_base_CC_CCS,2020,0.3,362,45,4.29,0.827,0.15,0.833333333,0.83,0.490973649,wholesale gas,USA
base load generation,gas,gas_base_CC_CCS,2035,1,313,45,3.90,0.746,0.15,0.833333333,0.83,0.539782716,wholesale gas,USA
base load generation,gas,gas_base_CC_CCS,2050,1,273,45,3.56,0.679,0.15,0.833333333,0.83,0.583960039,wholesale gas,USA
base load generation,gas,gas_base_CC_CCS,2065,1,265,45,3.50,0.665,0.15,0.833333333,0.83,0.616356406,wholesale gas,USA
base load generation,gas,gas_base_CC_CCS,2080,1,254,45,3.41,0.646,0.15,0.833333333,0.83,0.637156154,wholesale gas,USA
base load generation,gas,gas_base_CC_CCS,2095,1,250,45,3.38,0.640,0.15,0.833333333,0.83,0.644323259,wholesale gas,USA
intermediate generation,gas,gas_int_CC,2005,0,233,45,3.88,0.652,0.15,0.520833333,0.52,0.553563658,wholesale gas,USA
intermediate generation,gas,gas_int_CC,2020,1,233,45,3.88,0.652,0.15,0.520833333,0.52,0.553563658,wholesale gas,USA
intermediate generation,gas,gas_int_CC,2035,1,203,45,3.54,0.596,0.15,0.520833333,0.52,0.598814977,wholesale gas,USA
intermediate generation,gas,gas_int_CC,2050,1,177,45,3.26,0.548,0.15,0.520833333,0.52,0.63963678,wholesale gas,USA
intermediate generation,gas,gas_int_CC,2065,1,173,45,3.21,0.540,0.15,0.520833333,0.52,0.672033147,wholesale gas,USA
intermediate generation,gas,gas_int_CC,2080,1,166,45,3.13,0.526,0.15,0.520833333,0.52,0.692832895,wholesale gas,USA
intermediate generation,gas,gas_int_CC,2095,1,163,45,3.10,0.522,0.15,0.520833333,0.52,0.7,wholesale gas,USA
intermediate generation,gas,gas_int_CC_CCS,2020,0.333,362,45,4.29,0.827,0.15,0.520833333,0.52,0.490973649,wholesale gas,USA
intermediate generation,gas,gas_int_CC_CCS,2035,1,313,45,3.90,0.746,0.15,0.520833333,0.52,0.539782716,wholesale gas,USA
intermediate generation,gas,gas_int_CC_CCS,2050,1,273,45,3.56,0.679,0.15,0.520833333,0.52,0.583960039,wholesale gas,USA
intermediate generation,gas,gas_int_CC_CCS,2065,1,265,45,3.50,0.665,0.15,0.520833333,0.52,0.616356406,wholesale gas,USA
intermediate generation,gas,gas_int_CC_CCS,2080,1,254,45,3.41,0.646,0.15,0.520833333,0.52,0.637156154,wholesale gas,USA
intermediate generation,gas,gas_int_CC_CCS,2095,1,250,45,3.38,0.640,0.15,0.520833333,0.52,0.644323259,wholesale gas,USA
intermediate generation,biomass,bio_int_conv,2005,0,511,60,9.09,1.493,0.15,0.520833333,0.52,0.381695013,regional biomass,USA
intermediate generation,biomass,bio_int_conv,2020,1,511,60,9.09,1.493,0.15,0.520833333,0.52,0.381695013,regional biomass,USA
intermediate generation,biomass,bio_int_conv,2035,1,481,60,8.56,1.406,0.15,0.520833333,0.52,0.390373915,regional biomass,USA
intermediate generation,biomass,bio_int_conv,2050,1,453,60,8.06,1.324,0.15,0.520833333,0.52,0.399250156,regional biomass,USA
intermediate generation,biomass,bio_int_conv,2065,1,427,60,7.59,1.247,0.15,0.520833333,0.52,0.408328223,regional biomass,USA
intermediate generation,biomass,bio_int_conv,2080,1,402,60,7.15,1.174,0.15,0.520833333,0.52,0.417612706,regional biomass,USA
intermediate generation,biomass,bio_int_conv,2095,1,378,60,6.73,1.105,0.15,0.520833333,0.52,0.427108297,regional biomass,USA
intermediate generation,biomass,bio_int_IGCC,2005,0,592,60,12.77,0.950,0.15,0.520833333,0.52,0.415758327,regional biomass,USA
intermediate generation,biomass,bio_int_IGCC,2020,1,592,60,12.77,0.950,0.15,0.520833333,0.52,0.415758327,regional biomass,USA
intermediate generation,biomass,bio_int_IGCC,2035,1,533,60,11.91,0.887,0.15,0.520833333,0.52,0.437988076,regional biomass,USA
intermediate generation,biomass,bio_int_IGCC,2050,1,450,60,10.73,0.798,0.15,0.520833333,0.52,0.458041823,regional biomass,USA
intermediate generation,biomass,bio_int_IGCC,2065,1,446,60,10.67,0.794,0.15,0.520833333,0.52,0.473956566,regional biomass,USA
intermediate generation,biomass,bio_int_IGCC,2080,1,423,60,10.33,0.769,0.15,0.520833333,0.52,0.48417446,regional biomass,USA
intermediate generation,biomass,bio_int_IGCC,2095,1,415,60,10.22,0.760,0.15,0.520833333,0.52,0.487695307,regional biomass,USA
intermediate generation,biomass,bio_int_IGCC_CCS,2020,0.333,763,60,14.33,1.616,0.15,0.520833333,0.52,0.363558477,regional biomass,USA
intermediate generation,biomass,bio_int_IGCC_CCS,2035,1,673,60,13.26,1.463,0.15,0.520833333,0.52,0.391730813,regional biomass,USA
intermediate generation,biomass,bio_int_IGCC_CCS,2050,1,565,60,11.90,1.301,0.15,0.520833333,0.52,0.417050624,regional biomass,USA
intermediate generation,biomass,bio_int_IGCC_CCS,2065,1,558,60,11.81,1.282,0.15,0.520833333,0.52,0.432965367,regional biomass,USA
intermediate generation,biomass,bio_int_IGCC_CCS,2080,1,529,60,11.44,1.242,0.15,0.520833333,0.52,0.443183262,regional biomass,USA
intermediate generation,biomass,bio_int_IGCC_CCS,2095,1,520,60,11.31,1.228,0.15,0.520833333,0.52,0.446704108,regional biomass,USA
intermediate generation,oil,oil_int_IGCC,2005,0,517,45,11.16,0.843,0.15,0.520833333,0.52,0.42624803,refined liquids industrial,USA
intermediate generation,oil,oil_int_IGCC,2020,1,517,45,11.16,0.843,0.15,0.520833333,0.52,0.42624803,refined liquids industrial,USA
intermediate generation,oil,oil_int_IGCC,2035,1,451,45,10.20,0.771,0.15,0.520833333,0.52,0.449038642,refined liquids industrial,USA
intermediate generation,oil,oil_int_IGCC,2050,1,393,45,9.37,0.708,0.15,0.520833333,0.52,0.46959835,refined liquids industrial,USA
intermediate generation,oil,oil_int_IGCC,2065,1,384,45,9.24,0.698,0.15,0.520833333,0.52,0.485914627,refined liquids industrial,USA
intermediate generation,oil,oil_int_IGCC,2080,1,368,45,9.01,0.681,0.15,0.520833333,0.52,0.496390322,refined liquids industrial,USA
intermediate generation,oil,oil_int_IGCC,2095,1,362,45,8.93,0.675,0.15,0.520833333,0.52,0.5,refined liquids industrial,USA
intermediate generation,oil,oil_int_IGCC_CCS,2020,0.333,741,45,12.02,1.212,0.15,0.520833333,0.52,0.363613943,refined liquids industrial,USA
intermediate generation,oil,oil_int_IGCC_CCS,2035,1,641,45,10.93,1.083,0.15,0.520833333,0.52,0.38996481,refined liquids industrial,USA
intermediate generation,oil,oil_int_IGCC_CCS,2050,1,558,45,10.01,0.982,0.15,0.520833333,0.52,0.4138824,refined liquids industrial,USA
intermediate generation,oil,oil_int_IGCC_CCS,2065,1,543,45,9.86,0.961,0.15,0.520833333,0.52,0.430198677,refined liquids industrial,USA
intermediate generation,oil,oil_int_IGCC_CCS,2080,1,521,45,9.60,0.934,0.15,0.520833333,0.52,0.440674372,refined liquids industrial,USA
intermediate generation,oil,oil_int_IGCC_CCS,2095,1,513,45,9.51,0.925,0.15,0.520833333,0.52,0.44428405,refined liquids industrial,USA
intermediate generation,coal,coal_int_conv,2005,0,496,60,8.83,1.472,0.15,0.520833333,0.52,0.391325288,regional coal,USA
