# Additional technology charactoristics for technologies with backup requirements,,,,,,,,,,,
# Source: Tables_ElecS_Data.xlsx,,,,,,,,,,,
supplysector,subsector,technology,period,capacity_limit,trial_market_name,electricity_sector,backup_capital_cost,backup_capacity_factor,backup_energy_input,backup_efficiency,backup_market
intermediate generation,solar,csp_int,2095,0.25,renewable,intermediate generation,0,0.05,csp_backup,1,USA
subpeak generation,solar,pv_subpeak,1975,0.25,renewable,subpeak generation,30,0.05,backup_electricity,1,USA
subpeak generation,solar,pv_subpeak,1990,0.25,renewable,subpeak generation,30,0.05,backup_electricity,1,USA
subpeak generation,solar,pv_subpeak,2005,0.25,renewable,subpeak generation,30,0.05,backup_electricity,1,USA
subpeak generation,solar,pv_subpeak,2020,0.25,renewable,subpeak generation,30,0.05,backup_electricity,1,USA
subpeak generation,solar,pv_subpeak,2035,0.25,renewable,subpeak generation,30,0.05,backup_electricity,1,USA
subpeak generation,solar,pv_subpeak,2050,0.25,renewable,subpeak generation,30,0.05,backup_electricity,1,USA
subpeak generation,solar,pv_subpeak,2065,0.25,renewable,subpeak generation,30,0.05,backup_electricity,1,USA
subpeak generation,solar,pv_subpeak,2080,0.25,renewable,subpeak generation,30,0.05,backup_electricity,1,USA
subpeak generation,solar,pv_subpeak,2095,0.25,renewable,subpeak generation,30,0.05,backup_electricity,1,USA
subpeak generation,solar,csp_subpeak,2005,0.25,renewable,subpeak generation,0,0.05,csp_backup,1,USA
subpeak generation,solar,csp_subpeak,2020,0.25,renewable,subpeak generation,0,0.05,csp_backup,1,USA
subpeak generation,solar,csp_subpeak,2035,0.25,renewable,subpeak generation,0,0.05,csp_backup,1,USA
subpeak generation,solar,csp_subpeak,2050,0.25,renewable,subpeak generation,0,0.05,csp_backup,1,USA
subpeak generation,solar,csp_subpeak,2065,0.25,renewable,subpeak generation,0,0.05,csp_backup,1,USA
subpeak generation,solar,csp_subpeak,2080,0.25,renewable,subpeak generation,0,0.05,csp_backup,1,USA
subpeak generation,solar,csp_subpeak,2095,0.25,renewable,subpeak generation,0,0.05,csp_backup,1,USA
peak generation,solar,pv_peak,1975,0.25,renewable,peak generation,30,0.05,backup_electricity,1,USA
peak generation,solar,pv_peak,1990,0.25,renewable,peak generation,30,0.05,backup_electricity,1,USA
peak generation,solar,pv_peak,2005,0.25,renewable,peak generation,30,0.05,backup_electricity,1,USA
peak generation,solar,pv_peak,2020,0.25,renewable,peak generation,30,0.05,backup_electricity,1,USA
peak generation,solar,pv_peak,2035,0.25,renewable,peak generation,30,0.05,backup_electricity,1,USA
peak generation,solar,pv_peak,2050,0.25,renewable,peak generation,30,0.05,backup_electricity,1,USA
peak generation,solar,pv_peak,2065,0.25,renewable,peak generation,30,0.05,backup_electricity,1,USA
peak generation,solar,pv_peak,2080,0.25,renewable,peak generation,30,0.05,backup_electricity,1,USA
peak generation,solar,pv_peak,2095,0.25,renewable,peak generation,30,0.05,backup_electricity,1,USA
peak generation,solar,csp_peak,2005,0.25,renewable,peak generation,0,0.05,csp_backup,1,USA
peak generation,solar,csp_peak,2020,0.25,renewable,peak generation,0,0.05,csp_backup,1,USA
peak generation,solar,csp_peak,2035,0.25,renewable,peak generation,0,0.05,csp_backup,1,USA
peak generation,solar,csp_peak,2050,0.25,renewable,peak generation,0,0.05,csp_backup,1,USA
peak generation,solar,csp_peak,2065,0.25,renewable,peak generation,0,0.05,csp_backup,1,USA
peak generation,solar,csp_peak,2080,0.25,renewable,peak generation,0,0.05,csp_backup,1,USA
peak generation,solar,csp_peak,2095,0.25,renewable,peak generation,0,0.05,csp_backup,1,USA
