# Assumed technology charactoristics including costs and efficiencies,,,,,,,,,
# Source: Tables_Ind_Data.xlsx,,,,,,,,,
supplysector,subsector,technology,year,share_weight,efficiency,input_cost,minicam_energy_input,market,tech_index
industrial energy use,refined liquids,refined liquids,2005,1,0.982398583,3,refined liquids industrial,USA,5
industrial energy use,refined liquids,refined liquids,2020,1,1.000528809,3,refined liquids industrial,USA,5
industrial energy use,refined liquids,refined liquids,2035,1,1.018132684,3,refined liquids industrial,USA,5
industrial energy use,refined liquids,refined liquids,2050,1,1.03309204,3,refined liquids industrial,USA,5
industrial energy use,refined liquids,refined liquids,2065,1,1.047397191,3,refined liquids industrial,USA,5
industrial energy use,refined liquids,refined liquids,2080,1,1.061748878,3,refined liquids industrial,USA,5
industrial energy use,refined liquids,refined liquids,2095,1,1.076858471,3,refined liquids industrial,USA,5
industrial energy use,hydrogen,hydrogen,1975,1,1,0,H2 Enduse,USA,6
industrial energy use,hydrogen,hydrogen,1990,1,1,3,H2 Enduse,USA,6
industrial energy use,hydrogen,hydrogen,2005,1,1,3,H2 Enduse,USA,6
industrial energy use,hydrogen,hydrogen,2020,1,1,3,H2 Enduse,USA,6
industrial energy use,hydrogen,hydrogen,2035,1,1.015105456,3,H2 Enduse,USA,6
industrial energy use,hydrogen,hydrogen,2050,1,1.030439088,3,H2 Enduse,USA,6
industrial energy use,hydrogen,hydrogen,2065,1,1.04600434,3,H2 Enduse,USA,6
industrial energy use,hydrogen,hydrogen,2080,1,1.061804713,3,H2 Enduse,USA,6
industrial energy use,hydrogen,hydrogen,2095,1,1.077843758,3,H2 Enduse,USA,6
industrial energy use,biomass,biomass cogen,1975,1,1,0,delivered biomass,USA,7
industrial energy use,biomass,biomass cogen,1990,1,0.551767301,4.5,delivered biomass,USA,7
industrial energy use,biomass,biomass cogen,2005,1,0.55176888,4.5,delivered biomass,USA,7
industrial energy use,biomass,biomass cogen,2020,0.25,0.560010481,4.5,delivered biomass,USA,7
industrial energy use,biomass,biomass cogen,2035,0.25,0.568424479,4.5,delivered biomass,USA,7
industrial energy use,biomass,biomass cogen,2050,0.25,0.577033655,4.5,delivered biomass,USA,7
industrial energy use,biomass,biomass cogen,2065,0.25,0.585824008,4.5,delivered biomass,USA,7
industrial energy use,biomass,biomass cogen,2080,0.25,0.594710411,4.5,delivered biomass,USA,7
industrial energy use,biomass,biomass cogen,2095,0.25,0.603709927,4.5,delivered biomass,USA,7
industrial energy use,coal,coal cogen,1975,1,1,0,delivered coal,USA,8
industrial energy use,coal,coal cogen,1990,1,0.622804177,4.5,delivered coal,USA,8
industrial energy use,coal,coal cogen,2005,1,0.622809202,4.5,delivered coal,USA,8
industrial energy use,coal,coal cogen,2020,0.1,0.628717506,4.5,delivered coal,USA,8
industrial energy use,coal,coal cogen,2035,0.1,0.636078057,4.5,delivered coal,USA,8
industrial energy use,coal,coal cogen,2050,0.1,0.644226723,4.5,delivered coal,USA,8
industrial energy use,coal,coal cogen,2065,0.1,0.652250294,4.5,delivered coal,USA,8
industrial energy use,coal,coal cogen,2080,0.1,0.660926195,4.5,delivered coal,USA,8
industrial energy use,coal,coal cogen,2095,0.1,0.669743267,4.5,delivered coal,USA,8
industrial energy use,gas,gas cogen,1975,1,1,0,wholesale gas,USA,9
industrial energy use,gas,gas cogen,1990,1,0.60303834,4.5,wholesale gas,USA,9
industrial energy use,gas,gas cogen,2005,1,0.603039613,4.5,wholesale gas,USA,9
industrial energy use,gas,gas cogen,2020,0.15,0.611869014,4.5,wholesale gas,USA,9
industrial energy use,gas,gas cogen,2035,0.15,0.620942471,4.5,wholesale gas,USA,9
industrial energy use,gas,gas cogen,2050,0.15,0.630235778,4.5,wholesale gas,USA,9
industrial energy use,gas,gas cogen,2065,0.15,0.63967963,4.5,wholesale gas,USA,9
industrial energy use,gas,gas cogen,2080,0.15,0.649238731,4.5,wholesale gas,USA,9
industrial energy use,gas,gas cogen,2095,0.15,0.658921335,4.5,wholesale gas,USA,9
industrial energy use,refined liquids,refined liquids cogen,1975,1,1,0,refined liquids industrial,USA,10
industrial energy use,refined liquids,refined liquids cogen,1990,1,0.604572024,4.5,refined liquids industrial,USA,10
industrial energy use,refined liquids,refined liquids cogen,2005,1,0.604571061,4.5,refined liquids industrial,USA,10
industrial energy use,refined liquids,refined liquids cogen,2020,0.15,0.613589694,4.5,refined liquids industrial,USA,10
industrial energy use,refined liquids,refined liquids cogen,2035,0.15,0.623037049,4.5,refined liquids industrial,USA,10
industrial energy use,refined liquids,refined liquids cogen,2050,0.15,0.632452562,4.5,refined liquids industrial,USA,10
industrial energy use,refined liquids,refined liquids cogen,2065,0.15,0.642081304,4.5,refined liquids industrial,USA,10
industrial energy use,refined liquids,refined liquids cogen,2080,0.15,0.651751166,4.5,refined liquids industrial,USA,10
industrial energy use,refined liquids,refined liquids cogen,2095,0.15,0.661561594,4.5,refined liquids industrial,USA,10
industrial energy use,hydrogen,hydrogen cogen,1975,1,1,0,H2 Enduse,USA,11
industrial energy use,hydrogen,hydrogen cogen,1990,1,1,4.5,H2 Enduse,USA,11
industrial energy use,hydrogen,hydrogen cogen,2005,1,1,4.5,H2 Enduse,USA,11
industrial energy use,hydrogen,hydrogen cogen,2020,1,0.457000002,4.5,H2 Enduse,USA,11
industrial energy use,hydrogen,hydrogen cogen,2035,1,0.463999267,4.5,H2 Enduse,USA,11
industrial energy use,hydrogen,hydrogen cogen,2050,1,0.471000275,4.5,H2 Enduse,USA,11
industrial energy use,hydrogen,hydrogen cogen,2065,1,0.478000361,4.5,H2 Enduse,USA,11
industrial energy use,hydrogen,hydrogen cogen,2080,1,0.485001566,4.5,H2 Enduse,USA,11
industrial energy use,hydrogen,hydrogen cogen,2095,1,0.49200088,4.5,H2 Enduse,USA,11
industrial feedstocks,biomass,biomass,1975,1,1,0,delivered biomass,USA,12
industrial feedstocks,biomass,biomass,1990,1,1,0,delivered biomass,USA,12
industrial feedstocks,biomass,biomass,2005,1,1,0,delivered biomass,USA,12
industrial feedstocks,biomass,biomass,2020,1,1.015105923,0,delivered biomass,USA,12
industrial feedstocks,biomass,biomass,2035,1,1.030437541,0,delivered biomass,USA,12
industrial feedstocks,biomass,biomass,2050,1,1.046002141,0,delivered biomass,USA,12
industrial feedstocks,biomass,biomass,2065,1,1.061805871,0,delivered biomass,USA,12
industrial feedstocks,biomass,biomass,2080,1,1.077844932,0,delivered biomass,USA,12
industrial feedstocks,biomass,biomass,2095,1,1.094126763,0,delivered biomass,USA,12
industrial feedstocks,coal,coal,1975,1,1,0,delivered coal,USA,13
industrial feedstocks,coal,coal,1990,1,1,0,delivered coal,USA,13
industrial feedstocks,coal,coal,2005,1,1,0,delivered coal,USA,13
industrial feedstocks,coal,coal,2020,1,1.015105801,0,delivered coal,USA,13
industrial feedstocks,coal,coal,2035,1,1.030440942,0,delivered coal,USA,13
industrial feedstocks,coal,coal,2050,1,1.046004915,0,delivered coal,USA,13
industrial feedstocks,coal,coal,2065,1,1.061804691,0,delivered coal,USA,13
industrial feedstocks,coal,coal,2080,1,1.077844825,0,delivered coal,USA,13
industrial feedstocks,coal,coal,2095,1,1.094125601,0,delivered coal,USA,13
industrial feedstocks,gas,gas,1975,1,1,0,wholesale gas,USA,14
industrial feedstocks,gas,gas,1990,1,1,0,wholesale gas,USA,14
industrial feedstocks,gas,gas,2005,1,1,0,wholesale gas,USA,14
industrial feedstocks,gas,gas,2020,1,1.015106696,0,wholesale gas,USA,14
industrial feedstocks,gas,gas,2035,1,1.030438853,0,wholesale gas,USA,14
industrial feedstocks,gas,gas,2050,1,1.046003393,0,wholesale gas,USA,14
industrial feedstocks,gas,gas,2065,1,1.061803244,0,wholesale gas,USA,14
industrial feedstocks,gas,gas,2080,1,1.077844514,0,wholesale gas,USA,14
industrial feedstocks,gas,gas,2095,1,1.094125987,0,wholesale gas,USA,14
industrial feedstocks,refined liquids,refined liquids,1975,1,1,0,refined liquids industrial,USA,15
industrial feedstocks,refined liquids,refined liquids,1990,1,1,0,refined liquids industrial,USA,15
industrial feedstocks,refined liquids,refined liquids,2005,1,1,0,refined liquids industrial,USA,15
industrial feedstocks,refined liquids,refined liquids,2020,1,1.015105923,0,refined liquids industrial,USA,15
industrial feedstocks,refined liquids,refined liquids,2035,1,1.030437541,0,refined liquids industrial,USA,15
industrial feedstocks,refined liquids,refined liquids,2050,1,1.046002141,0,refined liquids industrial,USA,15
industrial feedstocks,refined liquids,refined liquids,2065,1,1.061805871,0,refined liquids industrial,USA,15
industrial feedstocks,refined liquids,refined liquids,2080,1,1.077844932,0,refined liquids industrial,USA,15
industrial feedstocks,refined liquids,refined liquids,2095,1,1.094126763,0,refined liquids industrial,USA,15
industry,industry,industry,1975,1,1,0,industrial energy use,*,-1
industry,industry,industry,1990,1,1,0,industrial energy use,*,-1
industry,industry,industry,2005,1,1,0,industrial energy use,*,-1
industry,industry,industry,1975,1,1,0,industrial feedstocks,*,-1
industry,industry,industry,1990,1,1,0,industrial feedstocks,*,-1
industry,industry,industry,2005,1,1,0,industrial feedstocks,*,-1
