state,minicam_energy_input,market
IL,delivered gas,USA
IN,delivered gas,USA
KS,delivered gas,USA
KY,delivered gas,USA
LA,delivered gas,USA
MA,delivered gas,USA
MD,delivered gas,USA
ME,delivered gas,USA
MI,delivered gas,USA
MN,delivered gas,USA
MO,delivered gas,USA
MS,delivered gas,USA
MT,delivered gas,USA
NC,delivered gas,USA
ND,delivered gas,USA
NE,delivered gas,USA
NH,delivered gas,USA
NJ,delivered gas,USA
NM,delivered gas,USA
NV,delivered gas,USA
NY,delivered gas,USA
OH,delivered gas,USA
OK,delivered gas,USA
OR,delivered gas,USA
PA,delivered gas,USA
RI,delivered gas,USA
SC,delivered gas,USA
SD,delivered gas,USA
TN,delivered gas,USA
TX,delivered gas,USA
UT,delivered gas,USA
VA,delivered gas,USA
VT,delivered gas,USA
WA,delivered gas,USA
WI,delivered gas,USA
WV,delivered gas,USA
WY,delivered gas,USA
AK,elect_td_bld,USA
AL,elect_td_bld,USA
AR,elect_td_bld,USA
AZ,elect_td_bld,USA
CA,elect_td_bld,USA
CO,elect_td_bld,USA
CT,elect_td_bld,USA
DC,elect_td_bld,USA
DE,elect_td_bld,USA
FL,elect_td_bld,USA
GA,elect_td_bld,USA
HI,elect_td_bld,USA
IA,elect_td_bld,USA
ID,elect_td_bld,USA
IL,elect_td_bld,USA
IN,elect_td_bld,USA
KS,elect_td_bld,USA
KY,elect_td_bld,USA
LA,elect_td_bld,USA
MA,elect_td_bld,USA
MD,elect_td_bld,USA
ME,elect_td_bld,USA
MI,elect_td_bld,USA
MN,elect_td_bld,USA
MO,elect_td_bld,USA
MS,elect_td_bld,USA
MT,elect_td_bld,USA
NC,elect_td_bld,USA
ND,elect_td_bld,USA
NE,elect_td_bld,USA
NH,elect_td_bld,USA
NJ,elect_td_bld,USA
NM,elect_td_bld,USA
NV,elect_td_bld,USA
NY,elect_td_bld,USA
OH,elect_td_bld,USA
OK,elect_td_bld,USA
OR,elect_td_bld,USA
PA,elect_td_bld,USA
RI,elect_td_bld,USA
SC,elect_td_bld,USA
SD,elect_td_bld,USA
TN,elect_td_bld,USA
TX,elect_td_bld,USA
UT,elect_td_bld,USA
VA,elect_td_bld,USA
VT,elect_td_bld,USA
WA,elect_td_bld,USA
WI,elect_td_bld,USA
WV,elect_td_bld,USA
WY,elect_td_bld,USA
AK,refined liquids enduse,USA
AL,refined liquids enduse,USA
AR,refined liquids enduse,USA
AZ,refined liquids enduse,USA
CA,refined liquids enduse,USA
CO,refined liquids enduse,USA
CT,refined liquids enduse,USA
DC,refined liquids enduse,USA
DE,refined liquids enduse,USA
FL,refined liquids enduse,USA
GA,refined liquids enduse,USA
HI,refined liquids enduse,USA
IA,refined liquids enduse,USA
ID,refined liquids enduse,USA
IL,refined liquids enduse,USA
IN,refined liquids enduse,USA
KS,refined liquids enduse,USA
KY,refined liquids enduse,USA
LA,refined liquids enduse,USA
MA,refined liquids enduse,USA
MD,refined liquids enduse,USA
ME,refined liquids enduse,USA
MI,refined liquids enduse,USA
MN,refined liquids enduse,USA
MO,refined liquids enduse,USA
MS,refined liquids enduse,USA
MT,refined liquids enduse,USA
NC,refined liquids enduse,USA
ND,refined liquids enduse,USA
NE,refined liquids enduse,USA
NH,refined liquids enduse,USA
NJ,refined liquids enduse,USA
NM,refined liquids enduse,USA
NV,refined liquids enduse,USA
NY,refined liquids enduse,USA
OH,refined liquids enduse,USA
OK,refined liquids enduse,USA
OR,refined liquids enduse,USA
PA,refined liquids enduse,USA
RI,refined liquids enduse,USA
SC,refined liquids enduse,USA
SD,refined liquids enduse,USA
TN,refined liquids enduse,USA
TX,refined liquids enduse,USA
UT,refined liquids enduse,USA
VA,refined liquids enduse,USA
VT,refined liquids enduse,USA
WA,refined liquids enduse,USA
WI,refined liquids enduse,USA
WV,refined liquids enduse,USA
WY,refined liquids enduse,USA
