# File: LDS_value_milUSD.csv
# Title: Initialization of land value (million USD) by country87/use/GLU
# Units: million USD
# Description: Initialization of land value (million USD) by country87/use/GLU
# Source: many, including HYDE and SAGE
reglr_iso,glu_code,use_sector,value
can,223,gro,3.209124804
can,223,osd,3.554262877
can,223,v_f,9.179759979
can,223,wht,27.913391113
can,227,frs,767.152648926
can,227,gro,146.596801758
can,227,ocr,678.615173340
can,227,osd,124.530532837
can,227,v_f,142.016738892
can,227,wht,45.477157593
can,229,frs,31.209236145
can,229,gro,0.188489318
can,229,osd,0.117167950
can,229,v_f,15.540857315
can,229,wht,0.190252617
can,232,frs,100.614875793
can,232,gro,1.103455901
can,232,ocr,0.463685542
can,232,osd,0.112978362
can,232,v_f,23.909193039
can,232,wht,0.505713284
che,32,c_b,30.360124588
che,32,ctl,164.973999023
che,32,frs,265.686065674
che,32,gro,55.306934357
che,32,ocr,182.641204834
che,32,osd,37.310886383
che,32,rmk,383.327819824
che,32,v_f,141.186660767
che,32,wht,76.630653381
che,32,wol,0.192597613
che,54,c_b,0.072338961
che,54,ctl,16.668617249
che,54,frs,2.493444443
che,54,gro,0.743171155
che,54,ocr,4.155774117
che,54,osd,0.400526673
che,54,rmk,38.730613708
che,54,v_f,1.268988132
che,54,wht,0.475540966
che,54,wol,0.019459648
che,57,c_b,0.616544962
che,57,ctl,19.734115601
che,57,frs,14.292823792
che,57,gro,1.263284445
che,57,ocr,3.747746229
che,57,osd,0.654884934
che,57,rmk,45.853500366
che,57,v_f,3.549450874
che,57,wht,1.516791344
che,57,wol,0.023038441
che,62,c_b,4.070125580
che,62,ctl,40.825485229
che,62,frs,38.021984100
che,62,gro,7.427727699
che,62,ocr,27.299449921
che,62,osd,4.875107288
che,62,rmk,94.860664368
che,62,v_f,18.484413147
che,62,wht,10.324908257
che,62,wol,0.047661398
chl,169,c_b,26.823104858
chl,169,frs,184.582809448
chl,169,gro,63.240131378
chl,169,ocr,52.508834839
chl,169,osd,2.146511078
chl,169,pdr,7.676626682
chl,169,v_f,666.898986816
chl,169,wht,147.980606079
chl,180,c_b,0.004380418
chl,180,ctl,0.045556821
chl,180,gro,0.010643790
chl,180,ocr,0.002453319
chl,180,osd,0.000350588
chl,180,pdr,0.002775501
chl,180,rmk,0.048071869
chl,180,v_f,0.097394049
chl,180,wht,0.000933522
chl,180,wol,0.008163103
chl,200,c_b,0.112379842
chl,200,ctl,3.938439131
chl,200,frs,0.880679429
chl,200,gro,0.078867704
chl,200,ocr,0.051335286
chl,200,osd,0.008969377
chl,200,pdr,0.021299439
chl,200,rmk,4.155867577
chl,200,v_f,2.039547920
chl,200,wht,0.014407149
chl,200,wol,0.705709577
chl,207,c_b,7.713528156
chl,207,ctl,102.066070557
chl,207,frs,13.098095894
chl,207,gro,19.938941956
