# File: AGLU_ctry.csv
# Title: Mapping of countries in AGLU databases to ISO codes
# Units: NA
# Description: Note that both French Guiana and French Guyana are added for now and  Saint Helena; Ascension and Tristan da Cunha is added. Area_code should be used later; though they are the same region. Function FAO_AREA_DISAGGREGATE_HIST_DISSOLUTION_ALL deals with region changes over time in gcamdata.
# Last update: 4-2-2022 (XZ)
# Column types: ciccciccciccc
# ----------
FAO_country,FAO_country_code,iso,GTAP_region,CROSIT_ctry,CROSIT_country_ID,MIRCA_country,IFA2002_country,IFA_region,IMAGE_region_ID,IMAGE_region_name,IMAGEv3p2_region,FAO2050_reg
Tajikistan,208,tjk,xsu,CEAS,198,Tajikistan,,Rest of world,15,Asia-Stan,Asia-Stan,Transition countries
Thailand,216,tha,tha,THAI,87,Thailand,THAILAND,Thailand,21,Southeastern Asia,South East Asia,South Asia
The former Yugoslav Republic of Macedonia,,mkd,xer,OEEU,197,Macedonia,,Rest of world,12,Central Europe,Turkey,Transition countries
North Macedonia,154,mkd,xer,OEEU,197,Macedonia,,Rest of world,12,Central Europe,Turkey,Transition countries
Timor-Leste,176,tls,xse,,,East Timor,,Rest of world,22,Indonesia plus,South East Asia,South Asia
Togo,217,tgo,xss,TOGO,16,Togo,TOGO,Rest of world,8,Western Africa,Western Africa,sub-Saharan Africa
Tokelau,218,tkl,xoc,,,Tokelau,,Rest of world,24,Oceania,South East Asia,Industrial countries
Tonga,219,ton,xoc,TONG,160,Tonga,,Rest of world,24,Oceania,South East Asia,South Asia
Trinidad and Tobago,220,tto,xfa,TRIN,49,Trinidad and Tobago,,Rest of world,4,Rest Central America,Rest Central America,Latin America and Caribbean
Tunisia,222,tun,tun,TUNI,3,Tunisia,,Rest of world,7,Northern Africa,Northern Africa,sub-Saharan Africa
Turkiye,223,tur,tur,TURK,73,Turkey,TURKEY,Turkey,13,Turkey,Turkey,Industrial countries
Turkmenistan,213,tkm,xsu,CEAS,198,Turkmenistan,,Rest of world,15,Asia-Stan,Asia-Stan,Transition countries
Turks and Caicos Islands,224,tca,xcb,,,,,Rest of world,4,Rest Central America,OECD Europe,Latin America and Caribbean
Tuvalu,227,tuv,xoc,,,Tuvalu,,Rest of world,24,Oceania,South East Asia,South Asia
Uganda,226,uga,uga,UGAN,36,Uganda,,Rest of world,9,Eastern Africa,Eastern Africa,sub-Saharan Africa
Ukraine,230,ukr,xsu,OEEU,197,Ukraine,,Rest of world,14,Ukraine plus,Eastern Europe,Transition countries
United Arab Emirates,225,are,xme,UAEM,166,United Arab Emirates,,Rest of world,17,Middle East,Middle East,Near East / North Africa
United Kingdom of Great Britain and Northern Ireland,229,gbr,gbr,EU15,195,United Kingdom,UK,EU-27,11,Western Europe,OECD Europe,Industrial countries
United Republic of Tanzania,215,tza,tza,TANZ,35,Tanzania,,Rest of world,10,Southern Africa,Rest of S. Africa,sub-Saharan Africa
United States of America,231,usa,usa,USA,92,United States,USA,USA,2,USA,USA,Industrial countries
United States Virgin Islands,240,vir,xfa,,,,,USA,4,Rest Central America,USA,Latin America and Caribbean
Uruguay,234,ury,ury,URUG,60,Uruguay,URUGUAY,Rest of world,6,Rest South America,Rest South America,Latin America and Caribbean
USSR,228,arm,xsu,ARME,178,Armenia,,Rest of world,16,Russia plus,Asia-Stan,Transition countries
USSR,228,aze,xsu,CEAS,198,Azerbaijan,AZERBAIJAN,Rest of world,16,Russia plus,Asia-Stan,Transition countries
USSR,228,blr,xsu,OEEU,197,Belarus,BELARUS,Rest of world,14,Ukraine plus,Eastern Europe,Transition countries
USSR,228,est,xsu,EUN9,196,Estonia,ESTONIA,EU-27,12,Central Europe,OECD Europe,Transition countries
USSR,228,geo,xsu,OEEU,197,Georgia,,Rest of world,16,Russia plus,Asia-Stan,Transition countries
USSR,228,kaz,xsu,CEAS,198,Kazakhstan,,Rest of world,15,Asia-Stan,Asia-Stan,Transition countries
USSR,228,kgz,xsu,CEAS,198,Kyrgyzstan,,Rest of world,15,Asia-Stan,Asia-Stan,Transition countries
USSR,228,ltu,xsu,EUN9,196,Lithuania,LITHUANIA,EU-27,12,Central Europe,OECD Europe,Transition countries
USSR,228,lva,xsu,EUN9,196,Latvia,LATVIA,EU-27,12,Central Europe,OECD Europe,Transition countries
USSR,228,mda,xsu,OEEU,197,Moldova,,Rest of world,14,Ukraine plus,Eastern Europe,Transition countries
USSR,228,rus,xsu,RUSS,188,Russia,,Russia,16,Russia plus,Russia +,Transition countries
USSR,228,tjk,xsu,CEAS,198,Tajikistan,,Rest of world,15,Asia-Stan,Asia-Stan,Transition countries
USSR,228,tkm,xsu,CEAS,198,Turkmenistan,,Rest of world,15,Asia-Stan,Asia-Stan,Transition countries
USSR,228,ukr,xsu,OEEU,197,Ukraine,,Rest of world,14,Ukraine plus,Eastern Europe,Transition countries
USSR,228,uzb,xsu,CEAS,198,Uzbekistan,UZBEKISTAN,Rest of world,15,Asia-Stan,Asia-Stan,Transition countries
Uzbekistan,235,uzb,xsu,CEAS,198,Uzbekistan,UZBEKISTAN,Rest of world,15,Asia-Stan,Asia-Stan,Transition countries
Vanuatu,155,vut,xoc,VANU,158,Vanuatu,,Rest of world,24,Oceania,South East Asia,South Asia
Venezuela (Bolivarian Republic of),236,ven,ven,VENE,61,Venezuela,VENEZUELA,Rest of world,6,Rest South America,Rest South America,Latin America and Caribbean
Viet Nam,237,vnm,vnm,VIET,90,Vietnam,,Vietnam,21,Southeastern Asia,South East Asia,East Asia
Wallis and Futuna Islands,243,wlf,xoc,,,Wallis and Futuna Islands,,Rest of world,24,Oceania,OECD Europe,Industrial countries
Western Sahara,205,esh,,,,Western Sahara,,Rest of world,7,Northern Africa,Northern Africa,sub-Saharan Africa
Yemen,249,yem,xme,YEME,74,Yemen,,Rest of world,17,Middle East,Middle East,Near East / North Africa
Yugoslav SFR,248,bih,xer,,,,,Rest of world,12,Central Europe,Turkey,Transition countries
Yugoslav SFR,248,hrv,xer,,,,,Rest of world,12,Central Europe,Turkey,Transition countries
Yugoslav SFR,248,mkd,xer,,,,,Rest of world,12,Central Europe,Turkey,Transition countries
Yugoslav SFR,248,mne,xer,,,,,,12,Central Europe,Turkey,Transition countries
Yugoslav SFR,248,srb,xer,,,,,,12,Central Europe,Turkey,Transition countries
Yugoslav SFR,248,svn,xer,,,,,EU-27,12,Central Europe,OECD Europe,Transition countries
Zambia,251,zmb,zmb,ZAMB,37,Zambia,ZAMBIA,Rest of world,10,Southern Africa,Rest of S. Africa,sub-Saharan Africa
Zimbabwe,181,zwe,zwe,ZIMB,32,Zimbabwe,ZIMBABWE,Rest of world,10,Southern Africa,Rest of S. Africa,sub-Saharan Africa
Palestine,299,pse,pse,,,,,Rest of world,,,Middle East,
