# File: Mekonnen_Hoekstra_Rep47_A2.csv
# Title: Water footprint per ton of crop or derived crop product at national and sub-national level (1996-2005)
# Units: m3/ton
# Description: FAO_crop (item) and item_code are both updated to match primary (land-based) crops aglu/FAO/FAO_ag_items_PRODSTAT
# Source: http://waterfootprint.org/media/downloads/Report47-Appendix-II.zip
# Date of last update: 2022-03-15 (XZ)
# Column types: cicnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
FAO_crop_item,item_code,water_type,afg,alb,dza,asm,ago,atg,arg,arm,aus,aut,aze,bhs,bhr,bgd,brb,blr,bel,blz,ben,bmu,btn,bol,bih,bwa,bra,brn,bgr,bfa,mmr,bdi,khm,cmr,can,cpv,cym,caf,tcd,chl,chn,col,com,cog,cod,cok,cri,civ,hrv,cub,cyp,cze,dnk,dji,dma,dom,tls,ecu,egy,slv,gnq,eri,est,eth,fsm,fji,fin,fra,guf,pyf,gab,gmb,pse,geo,deu,gha,grc,grd,glp,gum,gtm,gin,gnb,guy,hti,hnd,hun,isl,ind,idn,irn,irq,irl,isr,ita,jam,jpn,jor,kaz,ken,kir,prk,kor,kwt,kgz,lao,lva,lbn,lso,lbr,lby,ltu,lux,mkd,mdg,mwi,mys,mdv,mli,mlt,mhl,mtq,mrt,mus,mex,mda,mng,msr,mar,moz,nam,nru,npl,nld,ncl,nzl,nic,ner,nga,niu,nor,omn,pak,pan,png,pry,per,phl,pol,prt,pri,qat,reu,rom,rus,rwa,kna,lca,spm,vct,wsm,stp,sau,sen,scg,syc,sle,sgp,svk,svn,slb,som,zaf,esp,lka,sdn,sur,swz,swe,che,syr,tjk,tza,tha,tgo,tkl,ton,tto,tun,tur,tkm,tuv,uga,ukr,are,gbr,usa,ury,uzb,vut,ven,vnm,wlf,esh,yem,zmb,zwe
Areca nuts,226,Green,,,,,,,,,,,,,,,,,,,,,10007.38381,,,,,,,,9542.294334,,,,,,,,,,3407.042948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10710.89812,31233.21778,,,,,,,,,,,,,,,,,,,,,,,,,,,10188.7,18555.85098,,,,,,,,,,,,,,,5201.261791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6856.261389,,,,,,,,,8849.849138,,,,,,,,,,,,,,,,,,,,,,,
Areca nuts,226,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.92694309,,,,,,,,,,53.84920476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.779813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.69433367,,,,,,,,,,,,,,,,,,,,,,,
Artichokes,366,Green,,,395.8843359,,,,345.4710746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,608.3675266,1595.175459,,,,,,,,,,161.2486154,,,,,,,,62.09268426,,,,,,,,,940.8325423,,,,,850.9075986,,,,369.7030026,,,,,,,,,,,,,,222.6398632,,,380.9643202,574.6071089,,,,307.3935241,,,,,,,,,222.4562057,,,,,,,,,,,,469.980186,,,,,585.1561767,,,,254.5072805,,,,,,,,,,,,,,,,,,405.2588243,,,,,,,535.5573334,,,,,,,,,,,,,,,,,,,,307.7501599,,,,,,,263.0402712,,,,,,,,614.2844557,359.4147344,,,,,,,199.9189863,,294.2980106,,,,,,,,414.7024818
Artichokes,366,Blue,,,248.0655728,,,,162.4874276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,816.202729,109.6742029,,,,,,,,,,589.5692308,,,,,,,,846.138662,,,,,,,,,288.1348713,,,,,461.2547458,,,,164.9107717,,,,,,,,,,,,,,1067.305337,,,1410.848602,164.6551085,,,,826.8530236,,,,,,,,,278.1509985,,,,,,,,,,,,88.2307787,,,,,357.1370263,,,,217.4827427,,,,,,,,,,,,,,,,,,287.4621299,,,,,,,7.433908166,,,,,,,,,,,,,,,,,,,,154.2166581,,,,,,,248.6841169,,,,,,,,106.2279746,112.5794098,,,,,,,473.7254319,,928.4345722,,,,,,,,73.32531301
Asparagus,367,Green,,,,,,,1235.872413,,608.1981471,931.5805471,,,,,,,736.3579312,,,,,,,,,,965.1745229,,,,,,1953.508986,,,,,1162.957579,1610.500578,2139.28975,,,,,,,,,,651.6801814,,,,,,2413.469123,,,,,,,,,,1718.76792,,,,,,,1206.240319,,837.741339,,,,,,,,,,1027.884731,,,,200.5114286,,,778.9190365,835.7888958,,1804.310969,,,1121.937527,,,,,,,,,,,,,,,,,,,,,,,,,1277.808346,,,,477.8263455,,,,,714.4782564,,2843.887675,,,,,,,,,,,582.4822195,1192.899561,490.0656488,,,,,,,,,,,,,,,,,,,,939.3825278,,,,,1005.474785,,,,,,,,,,2439.818224,,,,,,985.3995089,,,,,,2010.820598,952.7199504,,,,,,,,,,1436.597329
Asparagus,367,Blue,,,,,,,576.1431491,,1037.129692,312.4839581,,,,,,,17.15629372,,,,,,,,,,176.3005215,,,,,,1426.34789,,,,,693.520429,28.46795146,121.0863335,,,,,,,,,,64.73377697,,,,,,643.1225596,,,,,,,,,,382.1719654,,,,,,,171.9183353,,1256.148843,,,,,,,,,,248.452177,,,,802.2657143,,,1676.217499,384.3075774,,3.670372098,,,68.77780162,,,,,,,,,,,,,,,,,,,,,,,,,712.3981627,,,,1021.492715,,,,,19.94156283,,455.5864225,,,,,,,,,,,478.4787987,,11.68383134,,,,,,,,,,,,,,,,,,,,287.8006288,,,,,1482.398762,,,,,,,,,,300.2580127,,,,,,626.7392328,,,,,,104.549794,1336.968914,,,,,,,,,,684.5740547
Avocados,572,Green,,,,,,,994.6680048,,624.0244129,,,,,,2410.404814,,,,,,,904.3670988,1585.456667,,825.5698688,,,,,,,2185.500202,,,,1323.322847,,807.1418326,750.4180271,910.9396699,,1012.526302,753.4369816,,1900.283149,2082.887566,,1052.168889,276.8159112,,,,3054.485714,560.4010002,1396.79471,889.4797682,,869.7278274,,,,1016.871912,,,,802.7522033,2835.590105,,,,126.916734,,,1727.253846,801.8548195,1622.31974,861.3863337,,1214.53013,,,2321.013875,1670.553212,2957.674802,,,,948.6579038,,,,230.626046,,1518.570198,,,,543.9688915,,,,,,,,204.655142,,,,,,,,,,,,,,2967.020547,,,746.1875469,,,,361.6012386,,,,,,,1402.168404,,,,,,,,2371.569839,,1863.506616,624.1056693,1481.665807,,3958.816096,3442.515284,,1425.92315,,,,,31.38459048,,,,,,,,,,,,,,,996.4247215,578.7816809,,,,1317.923444,,,,,,,,,,1667.877863,468.3225401,1009.79197,,,,,,,404.103149,,,,1278.100148,,,,,,964.1176038
Avocados,572,Blue,,,,,,,320.5221928,,1045.962381,,,,,,5.531457053,,,,,,,19.99576759,,,51.15229518,,,,,,,12.25575587,,,,,,807.7021994,30.67880437,7.593144378,,,,,107.0331882,10.83850353,,,784.8658649,,,,,1.319914124,,102.7949478,,,,,,13.62943025,,,,142.7291546,85.87423042,,,,54.36534142,,,,278.341519,0.216657261,3.050238448,,7.260019662,,,,1.34339862,94.09585912,,,,,,,,697.9968578,,2.840714695,,,,8.399420148,,,,,,,,209.6876405,,,,,,,,,,,,,,25.47346222,,,265.504597,,,,224.1902436,,,,,,,352.4385034,,,,,,,,57.14836897,,,341.0700711,,,421.3988201,59.26183705,,23.92529115,,,,,0.008142844,,,,,,,,,,,,,,,758.9507725,204.0334901,,,,12.29268101,,,,,,,,,,,58.48399634,242.9554618,,,,,,,598.7541499,,,,108.0006028,,,,,,113.6197043
Bambara beans,203,Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,2516.907271,,,,3537.284283,,,,,,,,,,,4274.319809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3732.933994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bambara beans,203,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.5046658,,,,41.24814288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.9167049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bananas,486,Green,,,171.1557128,5309.24,813.7942526,1289.279346,316.4312846,,183.1184888,,,813.3466533,165.1363073,726.8382176,2553.364096,,,412.1129795,1705.896825,,,773.0994859,,,926.7944495,4264.518087,,,,1600.192908,2767.369306,1024.055912,,159.71661,8395.123457,1549.923913,,,494.5316949,420.850765,2606.155681,1499.770468,2712.412292,2800.639032,266.5166255,255.191439,,1106.637415,96.19144569,,,,1492.446565,639.2641287,332.7445887,315.0498651,39.58779714,971.7821043,,,,1225.433987,2860.22275,1782.72,,,1805.362304,1816.946249,1712.846995,,90.89659594,,,2714.990051,246.6228713,3654.361935,657.6410771,664.8894421,276.4640911,2822.923696,835.8625637,1594.918632,1645.152902,322.9500347,,,305.349383,1070.016343,145.2651975,,,85.22635789,219.1437385,1603.875064,1913.386919,150.0517921,,544.5056736,1816.573895,,,,,1412.422634,,141.7252694,,1125.393617,,,,,1805.237219,413.450334,832.5850465,,82.0944331,,,661.9824966,,549.4043107,320.7353852,,,3201.363636,110.1808974,1091.413459,,,646.3028529,,5439.832067,,240.3436785,,,5261.85,,272.5589768,852.0580287,299.5486046,972.1391753,1687.014011,,990.8831408,,227.7577112,792.1752254,,2038.451312,,,1663.4,,22.11215958,,1152.834081,2746.479949,2013.538047,,202.3409522,,2503.262765,,,,,4412.81,314.6809928,287.6202881,110.4724596,,188.2449636,582.0849759,2004.818726,,,110.45,,1680.156043,828.6600846,842.6185894,,7300.794153,2250.179445,,116.4297331,,,1957.747687,,1091.480782,,371.6646731,,,964.5869947,589.78931,862.225975,2428.006098,,385.1479581,1951.452442,1172.72151
Bananas,486,Blue,,,139.3964885,,130.3216321,2.817688965,368.7024428,,312.6970419,,,,2616.232962,,116.5112079,,,23.64201178,,,,40.40168537,,,39.15102812,33.39346718,,,,,,22.01597572,,302.8863975,,,,,15.51907184,15.60769146,3.413273582,,3.68E-06,,63.03452996,1.626808607,,,267.4683706,,,,,6.391160481,,50.39622058,472.0911053,,,,,478.0217331,,,,,148.0228365,,,,83.28683475,,,,270.6474999,7.804124732,20.91091439,,18.39054764,43.91502728,282.0366425,,5.089829469,41.54387783,,,170.1858181,,712.8752386,,,282.5378899,102.3671875,5.939487664,46.35154194,847.4898476,,12.46475106,,,,,,,,443.8069909,,,,,,,,5.28E-06,,,,,,28.00271244,,,180.6646676,,,,197.3846777,,,,,,,,66.35566904,,,,,185.3680018,1411.381612,24.90938645,,,,,,52.06381965,62.89417143,,173.0102935,,,,,0.137788826,,,,,,62.7216323,,,,,,,,916.1818742,431.2509033,133.2044756,,,158.6038108,842.9804386,,,411.7519685,,199.3125948,514.1368124,48.12126725,,,,,63.46853984,,,,,11.58271669,,314.7938286,,,,149.8107254,73.68748022,,,1513.682128,3097.483851,
Barley,44,Green,1398.85791,1359.612621,2859.011196,,,,1446.273741,1933.95559,1638.61687,399.5123145,1097.452537,,,,,1391.313464,238.6431727,,,,2691.33417,6560.982223,773.3143806,,1871.399472,,777.3502199,,,,,,888.5437055,,,,,655.6105673,555.6636661,2398.499944,,,7061.384709,,,,625.7792281,,1621.551971,656.5514924,441.1635829,,,,,7764.46388,619.2281108,,,6463.563032,1533.396512,4891.479917,,,649.9200862,531.9269698,,,,,2618.34885,2124.105042,499.6156368,,1049.114233,,,,3588.091494,,,,,,591.1477567,,1246.150813,,1293.686494,3459.697754,287.0702379,3033.103555,720.0513789,,493.3985764,3167.750813,2834.795465,1578.275579,,1640.569454,536.0610392,929.2813936,738.5495409,,1544.731282,1919.888268,9287.240933,,6417.615061,1304.015815,324.6807902,1285.833131,,,,,,733.0359661,,,588.1532335,,1038.196157,1042.578689,1185.232738,,3692.318962,,,,4142.643639,362.9824821,,654.3785627,,,,,338.8465535,322.8957373,2821.2496,,,,3499.469264,,1040.569154,2553.021775,,485.6347218,,772.8482121,2205.360637,,,,,,,,193.5868763,,1022.68263,,,,1015.243525,965.544802,,,1225.066894,1003.054294,,,,,537.4669761,376.9761211,5083.999451,1683.068489,1530.592573,2048.117732,,,,,3561.126712,1433.944862,3200.244764,,,1403.925512,,338.0132888,926.3496114,1838.090643,1753.712163,,,,,2346.34965,1904.551916,1789.417115,209.5588873
Barley,44,Blue,2058.07791,,,,,,10.35196073,343.4329461,,0.000425066,446.5759075,,,,,2.68663685,,,,,22.49763839,192.0647996,,,0.000996536,,,,,,,,8.280515308,,,,,210.8834606,28.16756321,,,,,,,,,,32.22305004,,0.17851047,,,,,122.2950783,1694.693494,,,0.0675608,0.000594281,3.287654217,,,,4.091742294,,,,,,57.7615921,,,,,,,,,,,,,1.045232869,,781.2985372,,85.40757814,4321.4428,,,,,0.139155861,320.3302364,162.0669572,,,99.74700021,,2256.290583,16.14192207,,0.000157952,0.003031842,,,1808.169162,0.001044133,0.000115854,,,,,,,,,,,,863.6815161,4.547332316,,,,,,,,,,,,,,,,2336.212033,2879.625383,,,,1135.218751,,,0.000122221,,1714.292297,,0.000299433,52.08741658,,,,,,,,799.849879,,,,,,6.300469298,,,,214.2214988,83.69023075,,,,,,,41.59176764,72.32681304,,,,,,,75.06131793,17.1215556,763.0296834,,,19.48806956,,0.037722184,220.8793514,,113.9513753,,,,,,3234.444762,,446.1331082
"Beans, dry",176,Green,,1590.393833,2411.979255,,1851.698561,,1107.14183,893.3458903,3406.793155,,850.1328097,,,3875.484862,599.5995935,1394.823315,721.7125537,3940.322886,3777.524261,,1124.090911,1450.533819,2075.259357,,2761.220709,,3253.447399,,3604.704679,3059.710448,4649.246012,3142.422398,1133.914245,,,,5628.945202,855.1553955,1896.477169,2638.624013,,2429.381633,3405.764038,,6078.016633,3059.271032,910.6436097,3908.514809,1064.973218,1577.360843,,6540.321951,,4396.75413,2108.829806,4188.215616,315.4904069,4145.61234,,5868.803232,1002.778191,4233.881524,,,,861.083113,,,,,,2111.140544,,,726.310949,3330.35841,,,4443.799969,,,,3750.768645,4252.317673,1849.015798,,8800.868372,3348.785121,766.6080083,998.4647861,364.7122672,,1274.700497,3278.606902,1462.629092,,1917.067961,8318.751096,,3177.993614,2840.835559,,882.4213473,3027.102484,1056.405609,439.3283406,1937.840608,,331.3394473,1109.736402,673.6023792,1020.125598,1610.337167,1629.537989,,,,569.905,,,2748.665298,,4368.533813,2440.018801,,,1924.754254,,,,5183.244215,614.8288093,,,7284.530192,4986.5625,,,,,4652.837962,6855.638476,,2948.300613,1635.686243,4171.158419,1144.410525,3244.111254,863.0757576,,2677.886647,1769.66512,1707.293994,3587.531231,,,,,,,,,2103.373406,,,,1651.8506,1211.520158,,4567.932096,772.5999885,1956.566818,3426.903062,1290.403163,,1995.809491,1332.831358,,590.4942123,788.5619609,1586.309535,4170.879639,9102.015209,,,,2510.469316,985.413825,,,5641.740834,1370.624451,,,1216.290859,2525.994876,,,3681.252121,4163.251566,,,790.2808498,,959.5254319
"Beans, dry",176,Blue,,198.2488944,,,,,28.83766074,,,,,,,,,0.712612057,,,,,,,,,61.98504367,,,,0.053738908,,,,,,,,,25.96821667,,,,,,,0.73185614,,,,4499.011125,,,1477.376038,,,,556.8406847,1891.645736,,,,,4.697176813,,,,38.10882367,,,,,,,,,300.8316215,,,,,,,,33.42574032,2.960010243,109.0548154,,166.9455785,105.3613082,1450.865908,1239.102913,,,,,29.44912732,,,,,0.68940901,,,95.94444085,,,,,,855.5171057,,,,,,,,,,,,,,174.2619555,66.95805825,,,539.0451695,,,,,,,,273.4383298,,,,,,1284.723262,,,,881.2160271,,,0.004752012,,,,,38.53447253,,,,,,,,,,,,,,,,,,835.2221638,215.0874864,,280.7614223,,,,,112.6959782,1643.691735,,,,,,,101.9890204,168.856732,,,,,,,427.895823,,,,59.96312133,,,,1041.096564,,29.6052542
